@relation 'Original signal'

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute destClass {1.0,2.0}

@data
-2.393368,-0.869585,-1.226103,-1.418074,-1.527772,-1.527772,-1.472923,-1.555196,-0.650189,0.501639,1.187251,1.214676,1.296949,1.022704,0.693611,0.693611,0.803309,0.803309,0.666186,0.391941,0.337093,0.090272,0.117697,0.44679,-0.019426,3.293852,2.0
-2.393368,-1.07068,-1.313981,-1.48242,-1.557282,-1.557282,-1.48242,-1.051965,-0.172338,0.463987,0.969305,0.931874,0.913158,0.688573,0.632426,0.482703,0.520134,0.651142,1.287467,1.081597,1.062882,0.669857,0.314264,-0.265915,-0.715086,3.293852,1.0
-2.393368,-1.041966,-1.348803,-1.521399,-1.617285,-1.636462,-1.214562,-1.099498,-0.255697,0.779877,1.144245,1.163422,0.97165,0.856586,0.492217,0.453863,0.530572,0.703167,0.68399,1.105891,1.010004,0.511394,0.242912,-0.217343,-0.696775,3.293852,1.0
-2.393368,-0.812868,-1.172714,-1.506857,-1.558264,-1.609671,-1.378341,-1.121307,-0.632944,0.626519,1.320508,1.397618,1.397618,1.166288,0.755035,0.652222,0.703628,0.677925,0.420892,0.292375,0.086749,0.009639,0.523705,0.189562,-0.427318,3.293852,2.0
-2.393368,-1.094495,-1.361399,-1.606062,-1.650546,-1.650546,-1.47261,-1.116737,0.262271,0.840564,1.129711,1.107469,1.018501,0.773838,0.373481,0.373481,0.595902,0.551418,0.351239,0.506934,1.174195,0.751596,0.462449,0.017608,-0.338265,3.293852,1.0
-2.393368,-0.838943,-1.151107,-1.463272,-1.588138,-1.713004,-1.432055,-1.026241,-0.433129,0.222417,0.440933,0.971613,1.034045,0.81553,0.440933,0.097551,0.097551,0.128768,1.034045,1.377427,1.471076,1.096478,0.690664,0.066335,-0.339479,3.293852,1.0
-2.393368,-0.965506,-1.344988,-1.558447,-1.653317,-1.6296,-1.463576,-1.060376,0.078071,0.623576,1.263953,1.1928,0.955623,0.7896,0.362682,0.410118,0.338965,0.504988,0.338965,0.528706,1.429976,0.813317,0.504988,-0.0168,-0.443718,3.293852,1.0
-2.393368,-0.404977,-1.009922,-1.332559,-1.453548,-1.493878,-1.292229,-0.848603,-0.525966,0.804913,1.409858,1.409858,1.208209,0.764583,0.119309,-0.324318,-0.243658,-0.162999,-0.445307,-0.162999,1.732495,1.409858,0.925902,0.159638,-0.243658,3.293852,1.0
-2.393368,-0.920247,-1.382511,-1.536598,-1.613642,-1.639324,-1.433873,-0.997291,-0.303896,0.671994,1.134258,1.211302,1.211302,0.77472,0.363819,0.3895,0.338137,0.466544,0.3895,0.3895,1.391071,0.903126,0.620632,-0.098445,-0.329577,3.293852,1.0
-2.393368,-0.648466,-1.094721,-1.373631,-1.485195,-1.652541,-1.429413,-0.815812,-0.871593,0.132482,1.080776,1.359686,1.359686,1.303904,0.857648,0.801866,0.91343,1.080776,0.578738,0.35561,-0.034864,-0.704248,0.188264,0.299828,-0.20221,3.293852,2.0
-2.393368,-0.973864,-1.295138,-1.562867,-1.643186,-1.509321,-1.509321,-1.080955,-0.38486,0.471872,1.38215,1.328604,1.275059,0.900238,0.659282,0.712828,0.712828,0.632509,0.364781,0.284462,0.123825,0.311235,0.846692,0.230916,-0.277769,3.293852,2.0
-2.393368,-0.888219,-1.36083,-1.584698,-1.609573,-1.584698,-1.460327,-0.987716,-0.515105,0.50474,1.101723,1.176346,1.0271,0.67886,0.33062,0.454992,0.454992,0.579363,0.430118,0.454992,1.449963,0.952477,0.753483,0.057004,-0.415608,3.293852,1.0
-2.393368,-1.043411,-1.348334,-1.500796,-1.577027,-1.6342,-1.462681,-1.081526,-0.281102,0.843305,0.976709,0.976709,0.862362,0.7099,0.385919,0.538381,0.519323,0.748016,1.014824,1.167286,1.033882,0.519323,0.309688,-0.109582,-0.566967,3.293852,1.0
-2.393368,0.339263,-0.325416,-0.713146,-0.934705,-1.100875,-1.100875,-0.879316,-0.546976,-0.990095,-0.325416,0.283874,0.616213,0.505433,0.117704,-0.380806,-0.546976,-0.713146,-0.713146,-0.380806,0.450043,2.388692,2.056352,1.724012,1.170113,3.293852,2.0
-2.393368,-0.752127,-1.069275,-1.359995,-1.49214,-1.518569,-1.386424,-1.49214,-0.593552,0.410751,1.150765,1.309339,1.28291,1.071478,0.860045,0.939332,0.912903,0.99219,0.7279,0.46361,0.278606,-0.170688,-0.197117,-0.11783,-0.249975,3.293852,2.0
-2.393368,-0.35731,-0.852048,-1.305557,-1.47047,-1.511698,-1.47047,-1.016961,-0.728364,-0.439767,0.013743,0.673393,0.755849,0.755849,0.178655,-0.398539,-0.274854,-0.027485,1.085674,1.539183,1.662868,1.539183,1.085674,0.590936,-0.027485,3.293852,1.0
-2.393368,0.065389,-0.529878,-1.125146,-1.395722,-1.449838,-1.287492,-1.99099,-0.746339,0.552426,1.472386,1.851192,1.742962,1.255925,0.498311,-0.096956,0.17362,0.119504,0.065389,0.065389,0.28185,0.011274,-0.096956,0.552426,0.011274,3.293852,2.0
-2.393368,-0.896041,-1.23125,-1.411748,-1.489104,-1.489104,-1.437533,-1.489104,-0.741329,0.470583,1.218357,1.192572,1.141001,1.115216,0.754221,0.728436,0.857363,0.831577,0.960504,0.290085,0.367441,0.006446,0.058017,0.2643,-0.07091,3.293852,2.0
-2.393368,-1.114926,-1.338419,-1.521277,-1.602547,-1.602547,-1.50096,-1.033656,-0.078731,0.490161,0.733972,0.693337,0.937147,0.977782,0.551114,0.551114,0.733972,0.815242,1.099688,1.038735,1.07937,0.612066,0.24635,-0.160001,-0.606987,3.293852,1.0
-2.393368,0.208101,-0.564847,-1.040507,-1.278337,-1.337795,-1.099964,-1.813455,-0.743219,0.327016,1.69454,2.229657,1.813455,1.040507,0.208101,-0.029729,0.029729,0.029729,0.029729,-0.148644,0.029729,-0.208101,-0.267559,0.743219,0.148644,3.293852,2.0
-2.393368,-1.145491,-1.388782,-1.607743,-1.632072,-1.583414,-1.340124,-0.902201,-0.488608,0.533211,1.165766,1.092778,0.971133,0.703514,0.460224,0.387237,0.581869,0.55754,0.387237,0.31425,1.336069,1.117108,0.703514,0.07096,-0.293976,3.293852,1.0
-2.393368,-0.880085,-1.258303,-1.461959,-1.54924,-1.607427,-1.520146,-1.025553,-0.792804,0.341851,0.778257,1.243756,1.243756,1.156475,0.661882,0.720069,0.807351,1.069194,0.865538,0.48732,0.429132,0.225476,0.516413,-0.094555,-0.356398,3.293852,2.0
-2.393368,-0.411372,-0.673485,-1.11034,-1.241396,-1.416139,-1.328767,-0.848227,-0.586114,-0.804541,0.069169,0.680766,0.768137,0.63708,0.069169,-0.367686,-0.498743,-0.367686,-0.018202,1.772903,2.035016,1.554476,1.423419,0.63708,0.025483,3.293852,1.0
-2.393368,-0.986737,-1.384414,-1.503718,-1.583253,-1.623021,-1.344646,-0.986737,-0.091963,0.922114,1.120953,1.120953,1.00165,0.802811,0.325598,0.345482,0.38525,0.524437,0.74316,1.220372,1.140837,0.544321,0.265947,-0.270918,-0.688479,3.293852,1.0
-2.393368,-0.889962,-1.267741,-1.442101,-1.529281,-1.529281,-1.471161,-1.180562,-0.715602,0.243377,1.057057,1.260476,1.318596,1.086117,0.737397,0.824577,0.882697,0.969877,0.621157,0.446797,0.185257,0.098077,0.592097,0.098077,-0.395942,3.293852,2.0
-2.393368,-0.026952,-0.627603,-1.18205,-1.597885,-1.459274,-1.228254,-1.782701,-1.228254,0.342679,1.359165,1.682593,1.543981,0.897126,0.435087,0.065456,0.157863,-0.026952,0.157863,-0.026952,0.111659,0.157863,1.081942,0.897126,0.296475,3.293852,2.0
-2.393368,-1.06441,-1.323759,-1.561495,-1.60472,-1.583107,-1.431821,-0.913123,-0.07024,0.642968,0.902317,0.902317,0.859092,0.664581,0.362007,0.362007,0.513294,0.599744,0.642968,1.356177,1.377789,0.83748,0.362007,-0.048628,-0.783449,3.293852,1.0
-2.393368,-0.78046,-1.135939,-1.38204,-1.464074,-1.464074,-1.38204,-1.491418,-0.671081,0.231289,1.243038,1.461795,1.407106,1.297728,0.696147,0.696147,0.83287,0.860214,0.450046,0.368012,0.258634,-0.014812,0.039877,0.203945,-0.260913,3.293852,2.0
-2.393368,0.322199,-0.084789,-0.549918,-0.840623,-0.956905,-1.015046,-0.724341,-1.480175,-1.131328,-0.375494,0.264057,0.496622,0.496622,0.147775,-0.259212,-0.259212,-0.6662,-0.433636,-0.491777,0.205916,2.182713,2.240854,1.717584,1.194315,3.293852,2.0
-2.393368,-0.760221,-1.236186,-1.394841,-1.579939,-1.685708,-1.394841,-1.474169,-0.601567,0.588345,1.117195,1.302292,1.249407,0.932098,0.720558,0.747,0.826328,0.85277,0.614788,0.509018,0.403248,0.191708,0.085938,0.191708,-0.204929,3.293852,2.0
-2.393368,0.506321,-0.349433,-0.862886,-1.262238,-1.376338,-1.205188,-0.862886,-1.60454,-0.976986,-0.064182,0.734523,0.791573,0.791573,0.16402,-0.349433,-0.235332,-0.235332,-0.292383,-0.064182,1.019774,1.019774,2.331931,1.476176,0.905673,3.293852,2.0
-2.393368,-0.468801,-0.898535,-1.367336,-1.44547,-1.484537,-1.250136,-0.742268,-0.507868,0.507868,1.44547,1.484537,1.211069,0.820402,0.195334,-0.312534,-0.312534,-0.429734,-0.429734,-0.1172,1.718937,1.484537,0.937602,0.195334,-0.2344,3.293852,1.0
-2.393368,-1.066756,-1.388795,-1.549815,-1.641826,-1.618823,-1.434801,-0.974744,-0.353668,0.635453,1.233526,1.049503,0.796472,0.589447,0.382422,0.474433,0.543441,0.543441,0.359419,0.45143,1.417548,1.026501,0.77347,0.083385,-0.330665,3.293852,1.0
-2.393368,-0.199345,-0.705915,-1.212484,-1.550198,-1.550198,-1.493912,-1.099913,-0.931057,-0.25563,1.151508,1.714364,1.489222,1.151508,1.095223,0.082083,-0.199345,-0.030488,-0.030488,-0.086774,0.025798,0.476082,1.489222,0.532367,0.138369,3.293852,2.0
-2.393368,-0.981614,-1.342207,-1.534523,-1.654721,-1.606642,-1.438365,-0.981614,-0.452745,0.749232,1.302141,1.37426,1.230023,0.989627,0.773272,0.653074,0.412679,0.677113,0.484797,0.244402,0.196323,0.148244,0.749232,0.244402,-0.236389,3.293852,2.0
-2.393368,0.298284,-0.518072,-1.083242,-1.334429,-1.271632,-1.208836,-1.962396,-0.769259,0.486674,1.617014,1.993794,1.679811,1.240234,0.549471,-0.204089,-0.015699,0.109894,-0.078496,-0.015699,-0.015699,-0.015699,-0.266886,0.737861,0.047097,3.293852,2.0
-2.393368,-0.459503,-0.931099,-1.438971,-1.511524,-1.620354,-1.402694,-0.894822,0.012092,0.483688,1.318049,1.354326,1.10039,0.519964,0.193475,-0.314397,-0.205567,-0.314397,-0.241844,0.302305,1.680815,1.680815,0.846453,0.120922,-0.27812,3.293852,1.0
-2.393368,-0.953237,-1.621199,-1.370714,-1.454209,-1.454209,-1.565536,-1.14806,-0.257444,0.661004,1.189807,1.217639,1.245471,0.994985,0.605341,0.661004,0.716668,0.91149,0.521845,0.466182,0.27136,0.744499,0.299191,-0.173948,-0.507929,3.293852,2.0
-2.393368,-0.82904,-1.194379,-1.503513,-1.644028,-1.587822,-1.47541,-1.447307,-0.210773,0.688524,1.278688,1.250585,1.250585,0.997658,0.660421,0.632318,0.857143,0.772834,0.604215,0.295082,0.154567,0.126464,0.210773,0.323185,-0.210773,3.293852,2.0
-2.393368,-1.118982,-1.402097,-1.543655,-1.604323,-1.543655,-1.381875,-1.058314,-0.208966,0.458378,0.963942,1.004387,0.660604,0.721271,0.559491,0.599936,0.883052,0.802162,1.065055,1.1055,1.004387,0.579713,0.276375,-0.249412,-0.572973,3.293852,1.0
-2.393368,-0.052621,-0.575199,-1.097777,-1.359066,-1.446163,-1.402614,-0.967133,-0.618747,-0.836488,-0.139717,0.557054,0.600602,0.557054,0.121572,-0.357458,-0.31391,-0.531651,-0.052621,1.471566,1.558662,1.907048,1.558662,1.12318,0.295765,3.293852,1.0
-2.393368,1.209007,0.570286,-0.250926,-0.342172,-0.707155,-0.615909,-0.342172,-1.345875,-0.980892,-0.433417,0.114057,0.387795,0.296549,-0.15968,-0.433417,-0.707155,-0.524663,-0.889646,-0.707155,-0.433417,-0.250926,2.21271,2.21271,2.121464,3.293852,2.0
-2.393368,-0.815954,-1.080588,-1.345222,-1.433433,-1.521644,-1.433433,-1.521644,-0.668935,0.15437,1.183501,1.33052,1.301116,1.242308,0.801252,0.801252,0.86006,0.918867,0.654233,0.477811,0.360196,-0.139668,-0.169072,0.15437,-0.110264,3.293852,2.0
-2.393368,-1.238569,-1.333539,-1.504486,-1.561468,-1.542474,-1.485492,-1.010641,-0.136915,0.603852,1.002727,1.002727,0.907756,0.755804,0.527876,0.508882,0.64184,0.717816,1.097697,1.135685,0.92675,0.527876,0.299947,-0.269874,-0.573778,3.293852,1.0
-2.393368,-1.03793,-1.301658,-1.469484,-1.589361,-1.613336,-1.517435,-1.061905,-0.006993,1.215746,1.14382,1.119845,1.09587,0.975993,0.352636,0.424562,0.448537,0.448537,0.304686,0.448537,1.215746,0.664315,0.352636,-0.102894,-0.510474,3.293852,1.0
-2.393368,-0.373579,-0.986632,-1.446422,-1.676316,-1.752948,-1.36979,-0.91,-0.986632,-0.220316,0.852527,1.00579,1.312316,1.235685,0.775895,0.469369,0.775895,0.929158,0.392737,0.162842,0.009579,-0.373579,1.312316,0.929158,-0.067053,3.293852,2.0
-2.393368,-1.159152,-1.3014,-1.524933,-1.565575,-1.606217,-1.443648,-1.077867,0.019474,0.730714,1.17778,1.17778,1.096495,1.035532,0.791678,0.710393,0.486861,0.446218,0.486861,0.263328,0.893284,0.669751,0.46654,-0.122774,-0.651123,3.293852,1.0
-2.393368,-0.694919,-1.235829,-1.416133,-1.506285,-1.506285,-1.506285,-1.055526,-1.01045,-0.063857,1.108115,1.37857,1.333494,1.108115,0.747508,0.61228,1.063039,0.927811,0.61228,0.251673,0.161522,0.026294,0.657356,0.206598,-0.199085,3.293852,2.0
-2.393368,0.984033,0.169661,-0.519423,-0.832643,-0.895287,-0.707355,-0.707355,-1.772304,-0.895287,0.482881,0.670813,0.733457,0.733457,0.420237,-0.519423,-0.644711,-0.707355,-0.769999,-0.707355,-0.268847,0.232305,2.424845,1.923693,1.171965,3.293852,2.0
-2.393368,0.472973,-0.39603,-0.721906,-1.156408,-1.21072,-1.047782,-0.776219,-1.319346,-0.830532,0.255722,0.961787,1.124725,0.581598,0.20141,-0.233092,-0.341717,-0.667593,-0.721906,-0.450343,-0.015841,0.798849,2.265292,1.939416,1.287663,3.293852,2.0
-2.393368,-1.098737,-1.134565,-1.600335,-1.70782,-1.636163,-1.457021,-1.02708,-0.704625,0.477712,1.230108,1.265936,1.122623,0.764339,0.656854,0.51354,0.621025,0.72851,0.370227,0.406055,0.370227,0.0836,1.015138,0.621025,0.119428,3.293852,2.0
-2.393368,-1.029442,-1.240159,-1.345518,-1.556235,-1.477216,-1.345518,-1.450876,-0.766045,0.261202,0.972372,1.13041,1.18309,0.761655,0.893353,0.893353,1.077731,1.104071,0.787995,0.629957,0.36656,0.050484,-0.054874,0.261202,-0.107554,3.293852,2.0
-2.393368,0.291274,-0.323897,-0.883144,-1.106842,-1.274616,-0.659445,-0.883144,-0.491671,-1.162767,-0.323897,0.570898,0.626822,0.626822,-0.100198,-0.323897,-0.323897,-0.659445,-0.547596,-0.547596,0.403124,2.360487,2.024939,1.80124,0.906446,3.293852,2.0
-2.393368,-0.814606,-1.271144,-1.56655,-1.620261,-1.647116,-1.405419,-1.029447,-0.465489,0.796703,1.414371,1.306951,1.333806,1.092109,0.555006,0.689282,0.555006,0.528151,0.2596,0.125324,0.205889,0.232745,0.796703,0.2596,-0.331214,3.293852,2.0
-2.393368,-1.146064,-1.416747,-1.583321,-1.583321,-1.624964,-1.45839,-0.875381,-0.000868,0.394746,1.019398,0.977755,0.832003,0.623785,0.373924,0.436389,0.540498,0.56132,0.644607,1.290081,1.352546,0.727894,0.478033,-0.021689,-0.542233,3.293852,1.0
-2.393368,-0.974033,-1.092547,-1.299946,-1.448088,-1.448088,-1.299946,-1.329574,-0.707378,0.270359,1.218468,1.307353,1.425866,1.040697,0.80367,0.951812,1.070326,0.892555,0.80367,0.537015,-0.055553,-0.233324,-0.262952,0.092589,-0.262952,3.293852,2.0
-2.393368,0.159761,-0.260433,-0.8382,-1.100821,-1.20587,-1.153346,-1.153346,-1.626064,-0.995773,-0.10286,0.474907,0.737528,0.737528,0.527431,-0.207909,-0.10286,-0.260433,-0.312957,0.107237,0.317334,0.737528,2.208208,2.10316,1.210247,3.293852,2.0
-2.393368,-0.947921,-1.267595,-1.48071,-1.560629,-1.613908,-1.533989,-1.107758,-0.255295,0.543889,1.236515,1.343073,1.343073,0.970121,0.570529,0.597168,0.730365,0.836923,0.51725,0.357413,0.197576,0.650447,0.463971,-0.095458,-0.49505,3.293852,2.0
-2.393368,-0.782128,-1.059806,-1.281949,-1.476324,-1.476324,-1.420788,-1.476324,-0.837663,0.328586,1.05055,1.272693,1.217157,1.106086,0.800639,0.828407,1.022782,1.106086,0.856175,0.550729,0.189747,-0.115699,-0.087931,0.050908,-0.36561,3.293852,2.0
-2.393368,0.590997,-0.081517,-0.448343,-0.631756,-0.754031,-0.815169,-1.854509,-1.915646,-0.998582,-0.448343,0.713273,0.896685,0.835548,0.468722,-0.020379,-0.203792,-0.570618,-0.326067,-0.203792,-0.081517,0.77441,1.324649,2.302851,1.446924,3.293852,2.0
-2.393368,-0.948467,-1.280373,-1.556961,-1.58462,-1.639937,-1.529302,-1.252714,-0.422949,0.185545,0.959991,1.042968,1.042968,0.849356,0.711062,0.76638,0.932333,1.042968,0.600427,0.434474,0.406815,0.76638,0.655744,0.130227,-0.312314,3.293852,2.0
-2.393368,-0.420863,-0.9957,-1.406299,-1.488418,-1.488418,-1.324179,-0.9957,-1.570538,-0.010265,0.810931,1.13941,1.05729,1.385769,0.728812,0.564572,0.646692,0.482453,0.482453,0.153974,-0.092385,-0.502983,1.385769,1.05729,0.400333,3.293852,2.0
-2.393368,-0.90972,-1.269215,-1.532844,-1.628709,-1.628709,-1.436979,-1.269215,-0.334529,0.648088,1.079482,1.031549,1.055515,0.839819,0.360493,0.600156,0.504291,0.432392,0.288594,0.360493,1.41501,0.935684,0.696021,0.12083,-0.358496,3.293852,1.0
-2.393368,-0.897636,-1.220517,-1.453708,-1.489583,-1.561334,-1.399894,-1.166703,-0.825885,0.734702,1.057582,1.093457,1.021706,0.949955,0.645013,0.537386,0.627075,0.842328,1.093457,0.967893,0.752639,0.447697,0.106879,-0.287752,-0.574756,3.293852,1.0
-2.393368,0.177392,-0.438812,-0.998997,-1.223071,-1.223071,-1.223071,-1.503164,-0.942979,0.513503,1.745911,2.13804,2.026003,1.185725,0.289429,-0.046682,-0.046682,-0.046682,-0.270756,-0.270756,0.009336,-0.158719,-0.382793,0.569522,0.121373,3.293852,2.0
-2.393368,-1.071009,-1.351418,-1.538358,-1.575746,-1.575746,-1.50097,-0.940151,-0.04284,0.555367,0.966634,1.078798,1.04141,0.873164,0.536673,0.630143,0.704919,0.835776,1.060104,1.022716,0.704919,0.387121,0.200181,-0.32325,-0.678435,3.293852,1.0
-2.393368,-1.025421,-1.420235,-1.595708,-1.66151,-1.595708,-1.486037,-1.047355,-0.104187,0.707376,0.970585,1.014454,0.970585,0.817046,0.575771,0.553837,0.641573,0.641573,0.575771,0.904783,0.970585,0.751244,0.4661,-0.038385,-0.586738,3.293852,1.0
-2.393368,-0.556962,-0.861749,-1.297159,-1.471323,-1.689028,-1.297159,-1.166536,-0.644044,-0.556962,-0.078011,0.618645,0.83635,0.879891,0.183235,-0.121552,-0.252175,-0.121552,1.097596,1.358842,1.489465,1.445924,1.27176,0.662186,0.270317,3.293852,1.0
-2.393368,-0.940573,-1.396609,-1.53912,-1.624626,-1.710133,-1.482115,-1.111586,0,0.570044,1.368106,1.2826,1.2826,0.940573,0.427533,0.228018,0.684053,0.684053,0.51304,0.25652,0.399031,0.541542,0.541542,0.342027,-0.25652,3.293852,2.0
-2.393368,-0.831049,-1.219785,-1.518813,-1.608522,-1.728133,-1.48891,-0.890854,-0.472215,0.723897,1.441564,1.381759,1.142536,0.903314,0.365063,0.484675,0.514577,0.424869,0.185647,0.155744,0.7538,1.022925,0.664091,-0.023673,-0.382507,3.293852,1.0
-2.393368,-0.190436,-0.703011,-1.172871,-1.301014,-1.429158,-1.301014,-1.002012,-0.574867,-0.703011,-0.147721,0.535712,0.578426,0.193995,-0.062292,-0.275865,-0.318579,-0.404009,0.151281,1.646291,1.902578,1.646291,1.603576,1.048287,0.279424,3.293852,1.0
-2.393368,-1.008549,-1.353202,-1.618319,-1.379713,-1.697854,-1.591807,-1.035061,-0.266222,0.714711,1.244945,1.297969,1.138899,0.900293,0.502618,0.582153,0.6882,0.794246,0.290524,0.370059,0.237501,0.926805,0.529129,0.051919,-0.319245,3.293852,2.0
-2.393368,-0.995585,-1.381318,-1.574185,-1.638474,-1.595614,-1.488466,-1.038444,0.161615,0.654496,1.190237,1.318815,1.083089,0.718785,0.418771,0.504489,0.568778,0.525919,0.547348,0.847363,0.997371,0.654496,0.183045,-0.1384,-0.524133,3.293852,1.0
