@relation 'Original signal'

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric
@attribute a62 numeric
@attribute a63 numeric
@attribute a64 numeric
@attribute a65 numeric
@attribute a66 numeric
@attribute a67 numeric
@attribute a68 numeric
@attribute a69 numeric
@attribute a70 numeric
@attribute a71 numeric
@attribute a72 numeric
@attribute a73 numeric
@attribute a74 numeric
@attribute a75 numeric
@attribute a76 numeric
@attribute a77 numeric
@attribute a78 numeric
@attribute a79 numeric
@attribute a80 numeric
@attribute a81 numeric
@attribute a82 numeric
@attribute a83 numeric
@attribute a84 numeric
@attribute destClass {2.0,1.0}

@data
-3.796645,-0.059018,-0.059018,-0.070513,-0.024532,0.032943,0.101914,0.124905,0.251352,0.262847,0.193876,0.15939,0.124905,0.032943,0.044439,-0.047523,-0.059018,-0.093503,-0.127989,-0.17397,-0.208455,-0.254436,-0.254436,-0.242941,-0.254436,-0.277426,-0.288921,-0.288921,-0.277426,-0.277426,0.032943,0.021448,-0.817699,-1.737312,-2.335061,-2.530479,-2.59945,-2.518984,-2.185624,-1.990206,-1.90974,-1.771798,-1.668341,-1.438438,-1.139564,-0.840689,-0.53032,-0.323407,-0.093503,0.193876,0.446769,0.630692,0.734149,0.768634,0.745644,0.791624,0.837605,0.895081,0.918071,0.964052,1.021528,1.113489,1.18246,1.205451,1.251431,1.308907,1.308907,1.343392,1.343392,1.320402,1.239936,1.170965,1.067508,0.918071,0.814615,0.665178,0.584711,0.481255,0.354808,0.274342,0.251352,0.147895,0.090419,1.929262,1.0
-3.796645,0.109385,0.090422,0.090422,0.147312,0.204201,0.261091,0.31798,0.355907,0.204201,0.185238,0.185238,0.090422,0.071459,0.052496,-0.004394,0.014569,0.014569,-0.004394,-0.04232,-0.09921,-0.118173,-0.118173,-0.137136,-0.118173,-0.156099,-0.156099,-0.212989,-0.118173,0.014569,-0.459511,-1.445597,-2.640278,-3.114358,-3.114358,-3.019542,-2.602351,-1.93864,-1.786934,-1.521449,-1.180112,-1.009443,-0.706032,-0.440547,-0.231952,-0.023357,0.090422,0.299017,0.545539,0.735171,0.773097,0.773097,0.79206,0.84895,0.867913,0.886876,0.924803,1.000655,1.038582,1.076508,1.133398,1.171324,1.20925,1.247177,1.247177,1.228214,1.171324,1.057545,0.943766,0.867913,0.735171,0.583465,0.469686,0.336944,0.242128,0.147312,0.052496,0.014569,-0.080247,-0.118173,-0.04232,-0.061283,-0.09921,1.929262,2.0
-3.796645,0.124167,0.11144,0.149622,0.136894,0.124167,0.136894,0.187803,0.213257,0.251439,0.353256,0.429619,0.340529,0.353256,0.327802,0.187803,0.20053,0.098713,0.060532,0.035077,-0.028558,-0.015831,-0.092194,-0.181284,-0.181284,-0.194011,-0.206738,-0.219466,-0.219466,-0.24492,-0.270374,-0.283101,-0.054013,0.28962,-0.206738,-1.339454,-2.281263,-2.599442,-2.663077,-2.65035,-2.306717,-2.052174,-1.963084,-1.835813,-1.746723,-1.644906,-1.339454,-1.034003,-0.715824,-0.474009,-0.257647,-0.003104,0.276893,0.544163,0.658707,0.709616,0.73507,0.773252,0.82416,0.862342,0.875069,0.951432,1.065976,1.09143,1.142339,1.205975,1.244156,1.26961,1.282337,1.307792,1.307792,1.26961,1.167793,1.065976,0.925977,0.785979,0.64598,0.531436,0.365983,0.238712,0.149622,-0.015831,-0.06674,1.929262,1.0
-3.796645,0.210323,0.210323,0.198211,0.198211,0.246657,0.258768,0.367769,0.391992,0.452548,0.46466,0.343547,0.28299,0.161878,0.077099,0.125544,0.113432,0.101321,0.101321,0.064987,0.004431,-0.080348,-0.104571,-0.116682,-0.116682,-0.140904,-0.153016,-0.140904,-0.165127,-0.177238,-0.213572,-0.00768,0.246657,-0.249906,-1.291476,-2.115043,-2.490492,-2.672162,-2.744829,-2.442047,-2.115043,-2.006041,-1.957596,-1.848595,-1.763816,-1.461034,-1.158252,-0.794913,-0.540577,-0.38313,-0.104571,0.258768,0.537327,0.622106,0.646329,0.646329,0.682663,0.682663,0.718996,0.743219,0.791664,0.85222,0.876443,0.936999,0.997556,1.021778,1.082335,1.13078,1.155002,1.203447,1.203447,1.215559,1.203447,1.13078,1.058112,0.936999,0.791664,0.646329,0.476771,0.391992,0.210323,0.08921,-0.00768,1.929262,1.0
-3.796645,-0.04372,0.003764,0.039377,0.110602,0.181827,0.300536,0.241181,0.205569,0.169956,0.074989,0.063118,0.015635,-0.031849,-0.067461,-0.079332,-0.091203,-0.150557,-0.221783,-0.245524,-0.257395,-0.257395,-0.245524,-0.233654,-0.245524,-0.281137,-0.257395,-0.257395,0.039377,0.098731,-0.708489,-1.776867,-2.35854,-2.536603,-2.584087,-2.429765,-2.097381,-1.990543,-1.919318,-1.81248,-1.764996,-1.586933,-1.254549,-0.874681,-0.577909,-0.376104,-0.150557,0.181827,0.466728,0.573566,0.668533,0.692275,0.692275,0.739758,0.7635,0.810983,0.846596,0.882209,0.953434,1.000917,1.048401,1.107755,1.16711,1.238335,1.273947,1.285818,1.333302,1.357044,1.333302,1.273947,1.190851,1.060272,0.953434,0.810983,0.692275,0.573566,0.442986,0.336148,0.21744,0.146214,0.08686,0.027506,-0.008107,1.929262,1.0
-3.796645,0.023235,0.00399,0.023235,0.061726,0.119463,0.177199,0.234936,0.273427,0.157954,0.119463,0.100217,0.00399,-0.015256,-0.015256,-0.053746,0.00399,-0.053746,-0.053746,-0.092237,-0.130728,-0.149974,-0.130728,-0.149974,-0.149974,-0.149974,-0.149974,-0.188465,-0.130728,-0.015256,-0.477147,-1.651121,-2.863585,-2.979058,-2.921322,-2.786603,-2.382449,-1.959048,-1.82433,-1.574139,-1.285457,-1.073756,-0.708093,-0.41941,-0.188465,0.00399,0.157954,0.331163,0.6006,0.754563,0.8123,0.831545,0.850791,0.889282,0.927773,0.927773,0.985509,1.043245,1.100982,1.139473,1.177964,1.254946,1.293437,1.274191,1.293437,1.274191,1.216455,1.081736,0.985509,0.831545,0.696827,0.581354,0.485127,0.350408,0.254181,0.157954,0.080972,0.042481,-0.015256,-0.072992,-0.053746,-0.053746,-0.072992,1.929262,2.0
-3.796645,0.138466,0.187832,0.150808,0.237199,0.286565,0.397639,0.471688,0.397639,0.348273,0.335931,0.24954,0.311248,0.200174,0.101442,0.064417,0.064417,0.002709,-0.034316,-0.096023,-0.108365,-0.157731,-0.14539,-0.14539,-0.157731,-0.170073,-0.096023,-0.244122,-0.108365,0.335931,0.138466,-0.762467,-1.73745,-2.490285,-2.811166,-2.934582,-2.737117,-2.305162,-2.13238,-1.910232,-1.73745,-1.601693,-1.342521,-1.145056,-0.737784,-0.515636,-0.219439,-0.021974,0.224857,0.545738,0.533396,0.595104,0.706178,0.718519,0.706178,0.817252,0.730861,0.866618,0.854277,0.965351,0.977692,1.051741,1.162815,1.101108,1.187499,1.236865,1.236865,1.175157,1.212182,1.064083,0.990034,0.903643,0.780227,0.619787,0.471688,0.422322,0.32359,0.200174,0.015051,0.039734,0.002709,-0.133048,-0.120706,1.929262,1.0
-3.796645,0.378541,0.378541,0.402182,0.425822,0.449463,0.544026,0.567667,0.66223,0.567667,0.402182,0.449463,0.378541,0.307618,0.283978,0.213055,0.307618,0.283978,0.189415,0.189415,0.118492,0.094851,0.04757,0.04757,0.04757,0.023929,-0.046993,-0.023352,-0.070634,-0.070634,0.04757,-0.070634,-0.85078,-2.103742,-2.978451,-3.025732,-2.836606,-2.576557,-2.387431,-2.221945,-1.985538,-1.701848,-1.46544,-1.252673,-0.898062,-0.638013,-0.377964,-0.23612,-0.023352,0.260337,0.473104,0.66223,0.709512,0.63859,0.685871,0.66223,0.733153,0.709512,0.709512,0.780434,0.851357,0.874997,0.898638,0.922279,1.016842,1.016842,1.040483,1.064124,1.040483,1.016842,0.94592,0.827716,0.733153,0.591308,0.425822,0.3549,0.213055,0.094851,-0.046993,-0.117916,-0.165197,-0.283401,-0.307042,1.929262,2.0
-3.796645,-0.138851,-0.119084,-0.059783,-0.020249,0.039052,0.019285,-0.000482,-0.119084,-0.099317,-0.138851,-0.237686,-0.198152,-0.217919,-0.198152,-0.178385,-0.198152,-0.217919,-0.27722,-0.296987,-0.257453,-0.257453,-0.257453,-0.296987,-0.237686,-0.237686,-0.27722,-0.198152,-0.138851,-0.395822,-1.146968,-2.25392,-2.748096,-2.78763,-2.530658,-2.332989,-2.036483,-1.917881,-1.720211,-1.443473,-1.245803,-0.969065,-0.652793,-0.435356,-0.217919,-0.040016,0.216955,0.454159,0.71113,0.790198,0.790198,0.790198,0.829732,0.869266,0.829732,0.849499,0.968101,0.987868,1.047169,1.10647,1.146004,1.205305,1.284373,1.363441,1.402975,1.422742,1.363441,1.323907,1.244839,1.165771,1.027402,0.889033,0.809965,0.671596,0.533227,0.394858,0.335557,0.276256,0.11812,0.197188,0.11812,0.078586,0.078586,1.929262,2.0
-3.796645,0.125055,0.111509,0.111509,0.016685,0.07087,0.097962,0.125055,0.084416,0.17924,0.287609,0.368887,0.274063,0.246971,0.233425,0.192786,0.043777,-0.118777,0.016685,0.084416,-0.132323,-0.294878,-0.281332,-0.281332,-0.443887,-0.389702,-0.403248,-0.403248,-0.362609,-0.457433,-0.484525,-0.362609,0.043777,-0.186508,-1.175382,-1.933971,-2.272626,-2.408089,-2.502912,-2.326811,-2.001702,-1.933971,-1.839147,-1.730778,-1.690139,-1.392122,-1.14829,-0.850273,-0.525164,-0.416794,-0.010407,0.274063,0.450164,0.531441,0.57208,0.612719,0.707542,0.734635,0.78882,0.870097,0.937828,1.005559,1.154568,1.195206,1.195206,1.262937,1.411946,1.411946,1.439038,1.371307,1.466131,1.371307,1.222299,1.154568,1.032652,0.883643,0.761727,0.57208,0.531441,0.436618,0.355341,0.192786,0.138601,1.929262,1.0
-3.796645,0.178767,0.158464,0.158464,0.219374,0.25998,0.280283,0.32089,0.239677,0.19907,0.178767,0.097554,0.056948,0.097554,0.016342,0.036645,-0.003962,-0.003962,-0.003962,-0.064871,-0.105478,-0.064871,-0.064871,-0.105478,-0.085174,-0.105478,-0.146084,-0.146084,-0.024265,0.016342,-0.531845,-1.628218,-2.704288,-3.110353,-2.947927,-2.826108,-2.663682,-2.074889,-1.851554,-1.547006,-1.303367,-1.100335,-0.775484,-0.531845,-0.30851,-0.125781,-0.003962,0.239677,0.442709,0.645741,0.686347,0.686347,0.747257,0.747257,0.787864,0.76756,0.808167,0.909683,0.929986,0.929986,1.031502,1.092412,1.112715,1.173625,1.193928,1.234534,1.234534,1.173625,1.112715,1.011199,0.88938,0.787864,0.686347,0.544225,0.402103,0.280283,0.19907,0.138161,0.056948,-0.003962,-0.024265,-0.044568,-0.166387,1.929262,2.0
-3.796645,1.870479,0.085998,0.109251,0.132505,0.109251,0.132505,0.132505,0.202265,0.179012,0.248772,0.272025,0.341786,0.318532,0.179012,0.155758,0.085998,0.085998,0.062744,-0.030269,0.062744,0.039491,-0.007016,0.016238,-0.030269,-0.076776,-0.030269,-0.146537,-0.053523,-0.030269,-0.146537,-0.123283,-0.123283,-0.076776,0.062744,-0.286057,-1.123181,-2.2626,-2.913696,-2.960203,-2.704415,-2.564894,-2.285853,-2.123079,-1.867291,-1.495236,-1.285955,-1.123181,-0.820886,-0.565098,-0.332564,-0.216297,0.039491,0.365039,0.527813,0.597574,0.620827,0.597574,0.620827,0.620827,0.64408,0.690587,0.737094,0.783601,0.853361,0.899868,0.946375,1.016136,1.109149,1.155656,1.155656,1.155656,1.132403,1.132403,1.039389,0.946375,0.830108,0.713841,0.620827,0.50456,0.388293,0.295279,0.179012,1.929262,2.0
-3.796645,0.249107,0.210493,0.2298,0.2298,0.191186,0.210493,0.249107,0.268414,0.326334,0.345641,0.403562,0.442176,0.307027,0.307027,0.307027,0.210493,0.152572,0.152572,0.113958,0.133265,0.094651,0.113958,0.03673,-0.040497,-0.059804,-0.059804,-0.079111,-0.137032,-0.175646,-0.21426,-0.194953,-0.137032,-0.117725,-0.600399,-1.623667,-2.762776,-3.148915,-3.110301,-2.975152,-2.60832,-2.067726,-1.893964,-1.60436,-1.295449,-1.1603,-0.774161,-0.46525,-0.233567,-0.098418,0.075344,0.287721,0.500097,0.577325,0.596632,0.635245,0.654552,0.654552,0.673859,0.73178,0.770394,0.809008,0.886236,0.944156,1.002077,1.002077,1.098612,1.156533,1.137226,1.117919,1.137226,1.079305,1.002077,0.866929,0.770394,0.673859,0.538711,0.403562,0.307027,0.210493,0.094651,0.017423,-0.059804,1.929262,2.0
-3.796645,0.368079,0.387365,0.387365,0.348794,0.329508,0.445223,0.406651,0.522367,0.522367,0.580225,0.445223,0.368079,0.310222,0.290936,0.213792,0.233078,0.194506,0.17522,0.194506,0.117362,0.117362,0.059504,0.040218,-0.01764,0.020932,-0.01764,-0.01764,-0.036926,-0.075497,-0.01764,0.040218,-0.075497,-0.885507,-2.196952,-3.06482,-3.199822,-3.16125,-3.006962,-2.389812,-1.984807,-1.695517,-1.464086,-1.136225,-0.962651,-0.673362,-0.364787,-0.114069,-0.01764,0.155934,0.464509,0.522367,0.618797,0.638083,0.638083,0.638083,0.657369,0.753798,0.695941,0.773084,0.79237,0.869514,0.8888,0.965944,0.98523,0.98523,1.043088,1.004516,1.120232,1.023802,0.927372,0.830942,0.657369,0.599511,0.483795,0.310222,0.17522,0.098076,-0.01764,-0.133355,-0.191213,-0.210499,-0.306929,1.929262,2.0
-3.796645,-0.04334,-0.02392,-0.04334,-0.1016,-0.04334,0.03434,0.11202,0.11202,0.07318,-0.02392,-0.04334,-0.1016,-0.14044,-0.1016,-0.15986,-0.12102,-0.14044,-0.1016,-0.14044,-0.21812,-0.17928,-0.1987,-0.17928,-0.1987,-0.17928,-0.17928,-0.1987,-0.25696,-0.06276,-0.15986,-0.897819,-2.121279,-2.878659,-2.898078,-2.898078,-2.742719,-2.198959,-1.791139,-1.655199,-1.363899,-1.072599,-0.897819,-0.56768,-0.31522,-0.1016,0.11202,0.22854,0.3839,0.61694,0.79172,0.81114,0.81114,0.83056,0.88882,0.90824,0.94708,1.00534,1.04418,1.14128,1.14128,1.21896,1.31606,1.33548,1.3549,1.37432,1.3549,1.27722,1.12186,1.04418,0.92766,0.7723,0.61694,0.51984,0.42274,0.30622,0.22854,0.1897,0.11202,0.0926,0.05376,0.07318,0.03434,1.929262,2.0
-3.796645,-0.058386,-0.027794,-0.073682,-0.04309,-0.058386,-0.012498,0.048686,0.125166,0.216941,0.385197,0.385197,0.247533,0.247533,0.201645,0.063982,0.079278,0.018094,-0.104274,-0.134865,-0.104274,-0.165457,-0.318417,-0.318417,-0.333713,-0.318417,-0.303121,-0.303121,-0.333713,-0.318417,-0.440784,-0.272529,0.048686,-0.073682,-1.129102,-2.016267,-2.429257,-2.628104,-2.71988,-2.245706,-1.863307,-1.848011,-1.817419,-1.633868,-1.603276,-1.205582,-0.869071,-0.60904,-0.394897,-0.211345,0.03339,0.324013,0.492268,0.660524,0.629932,0.691116,0.798187,0.782891,0.966443,1.01233,1.042922,1.195882,1.272361,1.379433,1.333545,1.425321,1.486505,1.57828,1.517097,1.501801,1.318249,1.226474,1.042922,0.920555,0.737003,0.584044,0.52286,0.339309,0.186349,0.171053,0.048686,0.048686,0.002798,1.929262,1.0
