@relation 'Original signal'

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute a52 numeric
@attribute a53 numeric
@attribute a54 numeric
@attribute a55 numeric
@attribute a56 numeric
@attribute a57 numeric
@attribute a58 numeric
@attribute a59 numeric
@attribute a60 numeric
@attribute a61 numeric
@attribute a62 numeric
@attribute a63 numeric
@attribute a64 numeric
@attribute a65 numeric
@attribute a66 numeric
@attribute a67 numeric
@attribute a68 numeric
@attribute a69 numeric
@attribute a70 numeric
@attribute a71 numeric
@attribute a72 numeric
@attribute a73 numeric
@attribute a74 numeric
@attribute a75 numeric
@attribute a76 numeric
@attribute a77 numeric
@attribute a78 numeric
@attribute a79 numeric
@attribute a80 numeric
@attribute a81 numeric
@attribute a82 numeric
@attribute a83 numeric
@attribute a84 numeric
@attribute a85 numeric
@attribute a86 numeric
@attribute destClass {2.0,1.0}

@data
-8.637996,-0.629474,-0.670746,-0.692199,-0.718074,-0.737969,-0.761447,-0.779983,-0.822689,-0.848787,-0.857832,-0.877356,-0.877356,-0.886747,-0.878443,0.05456,0.370702,0.601601,0.779966,1.034026,1.234457,1.295007,1.38793,1.651134,1.278201,0.965025,-7.217389,0.68803,0.607957,0.566437,0.581265,0.553091,0.58296,0.58868,0.596093,0.590162,0.567425,0.505146,0.459673,0.47806,0.424579,0.323251,0.152428,-0.063559,-0.21255,-0.303497,0.191913,0.292747,0.340056,0.354885,0.358097,0.351424,0.334372,0.313365,0.29656,0.27061,0.247626,0.210555,0.292747,0.162363,0.096079,0.059306,0.023717,-0.007917,-0.047459,-0.127532,-0.075633,-0.245567,-0.289162,-0.329199,-0.398893,-0.452769,-0.509513,-0.539763,-0.555184,-0.571961,-0.535017,-0.609085,-0.593639,0.063118,0.03558,0.071909,0.281731,0.460859,0.696927,8.544441,1.0
-8.637996,-0.210625,-0.119578,-0.145975,-0.089906,-0.13204,-0.111512,-0.088813,0.030626,-0.017302,-0.047656,-0.10309,0.129193,0.165461,0.234257,-0.028468,-0.013137,0.031719,0.084138,0.114672,0.18866,0.184315,0.173876,0.206037,0.252892,0.456699,0.557559,0.696373,0.782465,0.823813,0.918963,0.980079,0.876016,0.849829,0.778571,0.656939,0.5104,0.511472,0.666536,0.526847,0.476481,0.452408,0.491087,0.491087,0.459569,-5.754465,0.525417,0.529703,0.482497,0.437771,0.503093,0.476049,0.397503,0.371627,0.30574,0.220515,0.173012,0.131231,0.134275,0.100138,0.019471,-0.065536,-0.162649,-0.181659,-0.303844,-0.352597,-0.476016,-0.66837,-0.734663,-0.802245,-0.846262,-0.86886,-0.831963,-0.712396,-5.754465,-0.377015,-0.303838,-0.179025,-0.086608,0.013494,0.026472,0.168004,0.211251,0.232082,0.352196,8.544441,2.0
-8.637996,-0.032347,-0.022037,0.009403,-0.099033,-0.060332,-0.011448,-0.090197,-0.0946,-0.079543,-0.207232,-0.32615,-0.361747,-0.332222,0.726419,0.725674,0.876594,0.923162,0.92856,0.921646,0.942403,0.972356,0.968904,0.991549,1.02669,1.005981,1.014951,1.049458,1.062761,1.082216,1.061184,1.077043,1.061184,1.101172,1.137566,1.211259,1.278944,1.27306,1.306501,1.252471,1.350749,1.301644,1.415534,1.378419,1.445613,1.465589,1.428295,1.495456,-0.337647,-0.47085,-0.769588,-0.871604,-0.897538,-0.821571,-0.956701,-1.107744,-0.923309,-0.652715,-0.587714,-0.855983,-0.949297,-1.132198,-1.229283,-1.256539,-1.329304,-1.50147,-1.300184,-1.305038,-1.209713,-1.136211,-1.131033,-1.145545,-1.028085,-0.981082,-0.920903,-0.903733,-0.976267,-0.981082,-0.966634,-0.97747,-0.985211,-0.983494,-1.040384,-0.989763,-0.940629,8.544441,2.0
-8.637996,-1.450245,-1.511089,-1.537508,-1.592747,-1.631174,-1.68041,-1.692019,-1.756065,-1.835321,-1.837723,-1.823313,-1.449444,-0.903452,-0.467778,-0.09407,0.2806,0.487148,0.570407,0.62885,0.770552,0.811863,0.902646,0.965092,0.980303,1.083737,1.222075,1.258584,1.424782,1.515087,1.599148,1.612116,1.631971,1.606352,1.542946,1.475059,1.346967,1.377708,1.234085,1.064523,0.970238,0.919459,0.775355,0.708107,0.634453,0.54575,0.444718,0.362258,0.270992,0.203744,0.132894,0.090863,0.040426,0.040427,0.021213,-0.030024,-0.091668,-0.12289,-0.156514,-0.211755,-0.271798,-0.305422,-0.342889,-0.353456,-0.430312,-0.49756,-0.579218,-0.62245,-0.620849,-0.660877,-0.670484,-0.732929,-0.741335,-0.849413,-0.88744,-0.883438,-0.893045,-0.863823,-0.87343,-0.857819,0.020012,-0.098874,0.18453,0.428306,0.72572,8.544441,1.0
-8.637996,-1.038137,-1.077525,-1.101542,-1.13695,-1.170583,-1.212598,-1.232552,-1.276957,-1.333772,-1.361212,-1.397113,-1.42113,-1.436319,-1.458277,-1.458277,0.242137,1.018278,1.497503,1.875393,2.187844,1.165035,0.961797,0.994815,0.871705,0.687254,0.674189,0.678608,0.688215,0.823945,0.860177,0.796132,0.863105,0.800934,0.815025,0.816626,0.830899,0.824738,0.760266,0.733915,0.681215,0.449187,0.385728,0.334636,0.311214,0.284067,0.232895,0.170679,0.136033,0.079186,-0.007428,-0.069197,-0.121643,-0.174481,-0.237566,-0.296809,-0.39768,-0.45436,-0.483074,-0.502716,-0.526626,-0.557978,-0.587622,-0.647778,-0.717268,-0.768047,-0.823584,-0.890511,-0.911875,-0.945911,-0.991384,-1.025755,-1.053188,-1.051516,-1.043581,-1.039418,-1.040379,0.231248,1.496608,2.04118,2.468436,1.324437,1.083056,1.085385,1.216592,8.544441,1.0
-8.637996,-0.296329,-0.52524,-0.643229,-0.664426,-0.466136,-4.393546,-0.472768,-0.451816,-0.249817,0.07162,0.188933,0.330158,0.485391,-4.393546,0.952312,1.079018,1.320075,1.585751,1.746868,0.899524,0.665884,0.758019,0.756728,0.754145,0.752209,0.737359,0.754146,0.778657,0.801346,0.822459,0.835321,0.830172,0.81731,0.81216,0.805208,0.789616,0.805401,0.816988,0.7309,0.651692,0.658691,0.684346,0.673467,0.66258,0.634768,0.581577,0.481494,0.353806,0.278843,0.195717,0.160399,0.107652,0.032583,-0.032577,-0.083859,-0.143699,-0.194014,-0.234339,-0.663733,0.025263,0.035576,-0.044384,-0.22512,-0.397301,-0.559276,-0.68428,-0.799539,-0.842382,-0.981724,-1.195869,-1.30428,-1.297275,-1.258434,-1.295179,-1.200792,-1.080243,-0.943109,-0.785109,-0.595412,-0.405225,-0.281471,-0.106872,0.11478,0.375436,8.544441,2.0
-8.637996,0.778537,0.748841,0.726004,0.703763,0.646384,0.672664,-1.012529,-1.012529,-1.012529,-1.012529,-1.012529,-1.012529,-1.012529,-1.012529,-1.012529,0.829229,-1.012529,0.735615,0.713929,0.679291,0.632906,0.614661,-1.012529,0.562876,0.522967,0.553991,0.69676,0.925071,1.319796,-1.012529,1.640237,1.324565,1.025737,1.012927,0.956428,0.900794,0.865057,0.838304,0.807516,0.771233,0.714915,0.661931,0.613388,0.572966,0.537726,0.736311,0.974589,1.064433,1.371934,1.617599,1.528008,1.347055,1.201062,-1.012529,1.272357,1.578843,1.501948,-1.012529,-1.012529,-1.012529,-1.012529,-1.012529,-1.012529,-1.012529,-1.012529,-1.012529,-1.012529,-1.012529,-1.012529,-1.012529,-1.012529,-1.012529,-1.012529,-1.012529,-1.012529,-1.012529,-1.012529,-1.012529,-1.012529,-1.012529,-1.012529,-1.012529,-1.012529,-1.012529,8.544441,1.0
-8.637996,-0.933234,-0.962813,-0.992107,-1.015009,-1.033652,-1.053122,-1.065964,-1.072356,-1.092595,-1.101384,-1.097448,-1.091649,-0.972009,-0.683806,-0.366893,-0.086642,0.179315,0.445549,0.68886,0.934437,1.115759,1.248614,1.353754,1.483253,1.599414,1.693452,1.740885,1.710081,1.70511,1.612256,1.584603,1.547631,1.423601,1.445721,1.431636,1.39311,1.256678,1.070575,0.728629,0.449534,0.296759,0.184285,0.081312,-0.028646,-0.120944,-0.179852,-0.26312,-0.326253,-0.378285,-0.422819,-0.457548,-0.518307,-0.565947,-0.619978,-0.655345,-0.691884,-0.729788,-0.76583,-0.810446,-0.857175,-0.896589,-0.937069,-0.967369,-0.997362,-1.036137,-1.058507,-1.084784,-1.116386,-1.141597,-1.164145,-1.151895,-1.045014,-0.828058,-0.537086,-0.270853,-0.030895,0.229027,0.477585,0.636663,0.842966,0.99086,1.124548,1.197025,1.373107,8.544441,1.0
-8.637996,-0.506599,-0.476512,-0.391933,-0.351531,-0.372799,-0.356689,-0.330925,-0.249535,-0.139991,-0.038713,0.01566,0.070046,0.169136,0.197654,0.223266,0.249408,0.310803,0.321255,0.30035,0.279432,0.337963,0.370305,0.388028,0.424119,0.449076,0.414807,0.418572,0.379692,0.433826,0.45295,0.519828,0.456001,0.500286,0.462093,0.419959,0.344645,0.182949,0.088201,0.055686,0.011713,0.055123,0.002812,0.001555,-6.108715,0.079336,0.077643,0.1479,0.205002,0.21655,0.173142,0.173842,0.139306,0.102967,0.129937,0.159824,0.142092,0.262676,0.297001,0.326827,0.402191,0.420652,0.468464,0.509617,0.512728,0.537588,0.553455,0.572765,-6.108715,0.458774,0.323344,0.254296,0.060756,-0.330924,-0.218187,-0.254881,-0.382472,-0.358128,-0.31967,-0.206189,-0.018576,0.05794,0.115603,0.154354,0.177906,8.544441,2.0
-8.637996,-0.408374,-0.327766,-0.342879,-1.498422,-0.219988,-0.477569,-0.625531,-0.601788,-0.490599,-0.427114,-0.492002,-0.468204,-0.466046,-0.493276,-0.138244,-0.028,-0.002573,0.153289,0.08199,0.131912,-1.484847,0.458765,0.468681,0.554983,0.707244,0.772606,0.793368,1.051594,1.164367,1.373886,1.646653,1.74789,0.992732,0.929655,1.065993,0.900182,0.897381,0.959118,0.960328,0.942281,0.999066,0.953109,0.952113,0.924052,0.897386,0.862859,0.904997,0.954915,0.878276,0.9026,0.926854,0.818276,0.774716,0.858042,0.894175,0.85488,0.800194,0.719336,0.629869,0.475476,0.2323,-0.005137,-0.112482,-0.246948,-0.339289,-0.463168,-0.620823,-0.740216,-0.83704,-0.909267,-0.959168,-2.275026,-1.382559,-1.567758,-1.887928,-1.849862,-1.84028,-1.642866,-1.200945,-1.455205,-1.572626,-1.518062,-1.722039,-1.826469,8.544441,2.0
-8.637996,-0.34297,-0.313041,-0.278998,-0.266379,-0.258249,-0.23938,-0.240004,-0.239376,-0.225352,-0.188627,-0.169313,-0.137153,-0.105412,-0.074357,-0.062804,-0.067136,-0.034417,-0.005097,0.020224,0.039145,0.053943,0.08367,0.108165,0.152477,0.186066,0.216002,-0.502099,0.781398,0.954565,1.042772,1.117478,1.112101,1.199815,1.199507,1.350058,2.260723,1.871606,1.967436,2.094035,2.078047,1.996868,1.998894,1.986676,1.760296,1.801692,1.276996,0.963262,0.627206,0.384874,0.135862,-0.141677,-0.253962,-0.339674,-0.207486,-0.124989,0.288456,-1.138803,-1.30471,-1.209875,-1.117295,-1.219241,-1.123098,-1.05985,-1.046494,-1.040561,-1.054241,-1.058583,-1.054899,-1.029177,-1.048567,-1.076015,-1.039737,-1.026354,-1.053584,-1.041712,-0.982737,-0.903577,-0.871315,-0.858517,-0.858942,-0.821831,-0.795969,-0.73766,-0.719023,8.544441,2.0
-8.637996,-0.56638,-0.667902,-0.746947,-0.786947,-0.844087,-0.899324,-0.960512,-1.018368,-1.062176,-1.111509,-1.186936,-1.225029,-1.248363,-1.252648,-1.205506,-1.100271,-0.508859,0.526488,0.921579,1.05529,0.531113,1.037767,1.327283,1.449184,1.470137,1.345378,1.441566,1.247284,1.228873,1.392043,1.507278,1.462994,1.322385,1.403853,1.182144,0.933008,0.737584,0.630158,0.538733,0.458735,0.366493,0.263025,0.149029,0.098744,-0.021252,-0.064516,-0.094108,-0.152678,-0.181248,-0.235532,-0.250961,-0.272674,-0.309408,-0.3441,-0.388861,-0.442193,-0.495525,-0.524096,-0.564095,-0.626951,-0.675112,-0.712662,-0.758375,-0.804906,-0.863134,-0.887515,-0.9098,-0.924086,-0.976465,-1.031702,-1.082653,-1.159793,-1.223125,-1.289791,-1.35074,-1.392645,1.102528,1.288712,1.18443,1.315856,1.360425,1.433947,1.730129,1.958287,8.544441,1.0
-8.637996,-0.236042,-0.207425,-0.213435,-1.098995,0.321766,-0.578797,-0.837535,-1.001627,-0.773978,-0.652225,-0.80829,-0.892254,-1.040363,-0.847707,-0.876975,-0.88716,-0.045628,0.213737,0.18389,0.243562,-0.873506,0.911927,0.484441,0.550009,0.823685,1.216822,0.853145,1.114619,1.502692,1.038324,1.131662,1.311514,0.506494,0.433248,0.605503,0.642463,0.767883,0.800415,0.862943,0.942515,0.981016,1.058549,1.118269,1.153583,1.108525,1.106087,1.123396,1.130283,1.138634,1.213175,1.221685,1.078064,0.943739,0.91977,0.86246,0.858044,0.825683,0.730109,0.586399,0.342841,0.034355,-0.207171,-0.375612,-0.414665,-0.533789,-0.654758,-0.788136,-0.918997,-1.029957,-1.099512,-1.156549,-2.40808,-1.271929,-1.609051,-2.035832,-2.242515,-2.432944,-0.664577,-0.719915,-0.541185,-0.580071,-0.899353,-1.215521,-1.325865,8.544441,2.0
-8.637996,1.2225,1.029721,0.371278,-0.090633,-0.203244,-0.346409,-0.415976,-0.216492,-0.33648,-0.787697,-0.649062,-0.26306,-0.235994,0.131029,0.326013,0.434191,0.519274,0.578408,0.580146,0.597328,0.624288,0.659112,0.757654,0.828745,0.925128,1.028951,1.058172,1.134366,1.181493,1.161406,1.145161,1.080882,1.058745,1.108126,1.182907,1.190452,1.158143,1.134461,1.098721,1.076341,1.096017,1.05736,1.029764,1.002942,0.866369,0.575278,0.273736,0.122856,-0.030574,-0.208287,-0.342952,-0.514888,-0.647856,-0.756228,-0.791289,-0.824237,-0.859203,-0.911232,-0.951591,-1.14827,-1.361462,-1.575855,-1.708247,-1.903903,-2.099694,-2.266233,-2.375526,-2.298954,-2.07072,-1.887262,-1.426063,-0.829802,-0.533726,-0.377147,-0.240086,-0.107627,0.009074,0.123528,0.246111,0.277475,0.323939,0.408914,0.379662,0.417792,8.544441,2.0
-8.637996,-1.022556,-1.060102,-1.071255,-1.116264,-1.167048,-1.19468,-1.218567,-1.258373,-1.291031,-1.328499,-1.346719,-1.36754,-1.374219,-1.40447,-0.407117,0.10256,0.398387,0.831874,1.195248,1.615777,1.90354,1.517464,1.237644,1.195362,1.330001,1.34249,1.320441,1.397835,1.464294,1.423502,1.363657,1.237506,1.241999,1.108392,1.101746,0.980744,0.882964,0.745614,0.502103,0.263242,0.01888,-0.087193,0.181624,0.157561,0.11906,0.053452,-0.025593,-0.063666,-0.135517,-0.185017,-0.239135,-0.302921,-0.358349,-0.4007,-0.423879,-0.459368,-0.492675,-0.527661,-0.551168,-0.555925,-0.560203,-0.611354,-0.714894,-0.765847,-0.826042,-0.863102,-0.907741,-0.947961,-0.957128,-0.98799,-1.012129,-1.040088,-1.046177,-1.039401,-1.06307,-1.035963,0.436232,0.837282,1.408442,1.886734,1.319802,0.575913,0.896932,1.219999,8.544441,1.0
