@relation 'Sax dominant'

@attribute o1atMgg numeric
@attribute o1atLgg numeric
@attribute o1atMhh numeric
@attribute o1atLhh numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMee numeric
@attribute o1atLee numeric
@attribute o1atMff numeric
@attribute o1atLff numeric
@attribute o1atMaa numeric
@attribute o1atMgh numeric
@attribute o1atLgh numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMef numeric
@attribute o1atLef numeric
@attribute o1atMfg numeric
@attribute o1atLfg numeric
@attribute o1atMgi numeric
@attribute o1atLgi numeric
@attribute o1atMik numeric
@attribute o1atLik numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMdg numeric
@attribute o1atLdg numeric
@attribute o1atMhe numeric
@attribute o1atLhe numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMge numeric
@attribute o1atLge numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMhg numeric
@attribute o1atLhg numeric
@attribute o1atMfe numeric
@attribute o1atLfe numeric
@attribute o1atMgf numeric
@attribute o1atLgf numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMhi numeric
@attribute o1atLhi numeric
@attribute o1atMih numeric
@attribute o1atLih numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMii numeric
@attribute o1atLii numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMdf numeric
@attribute o1atLdf numeric
@attribute o1atMfi numeric
@attribute o1atLfi numeric
@attribute o1atMaf numeric
@attribute o1atLaf numeric
@attribute o1atMga numeric
@attribute o1atLga numeric
@attribute o1atMjj numeric
@attribute o1atLjj numeric
@attribute o1atMij numeric
@attribute o1atLij numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMji numeric
@attribute o1atLji numeric
@attribute o1atMjk numeric
@attribute o1atLjk numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMhk numeric
@attribute o1atLhk numeric
@attribute o1atMcf numeric
@attribute o1atLcf numeric
@attribute o1atMeh numeric
@attribute o1atLeh numeric
@attribute o1atMhf numeric
@attribute o1atLhf numeric
@attribute o1atMfh numeric
@attribute o1atLfh numeric
@attribute o1atMgk numeric
@attribute o1atLgk numeric
@attribute o1atMeg numeric
@attribute o1atLeg numeric
@attribute o1atMbg numeric
@attribute o1atLbg numeric
@attribute o1atMgb numeric
@attribute o1atLgb numeric
@attribute o1atMig numeric
@attribute o1atLig numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMgj numeric
@attribute o1atLgj numeric
@attribute o1atMha numeric
@attribute o1atLha numeric
@attribute o1atMfk numeric
@attribute o1atLfk numeric
@attribute o1atMcg numeric
@attribute o1atLcg numeric
@attribute o1atMkj numeric
@attribute o1atLkj numeric
@attribute o1atMgc numeric
@attribute o1atLgc numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMah numeric
@attribute o1atLah numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMdh numeric
@attribute o1atLdh numeric
@attribute o1atMfj numeric
@attribute o1atLfj numeric
@attribute o1atMie numeric
@attribute o1atLie numeric
@attribute o1atMif numeric
@attribute o1atLif numeric
@attribute o1atMhc numeric
@attribute o1atLhc numeric
@attribute o1atMfd numeric
@attribute o1atLfd numeric
@attribute o1atMjh numeric
@attribute o1atLjh numeric
@attribute o1atLkk numeric
@attribute o1atMag numeric
@attribute o1atLag numeric
@attribute o1atMfa numeric
@attribute o1atLfa numeric
@attribute o1atMdk numeric
@attribute o1atLdk numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMci numeric
@attribute o1atLci numeric
@attribute o1atMhj numeric
@attribute o1atLhj numeric
@attribute o1atMgd numeric
@attribute o1atLgd numeric
@attribute o1atMjg numeric
@attribute o1atLjg numeric
@attribute o1atMia numeric
@attribute o1atLia numeric
@attribute o1atMea numeric
@attribute o1atLea numeric
@attribute o1atMch numeric
@attribute o1atLch numeric
@attribute o1atMhb numeric
@attribute o1atLhb numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMbf numeric
@attribute o1atLbf numeric
@attribute o1atMbh numeric
@attribute o1atLbh numeric
@attribute o1atMfb numeric
@attribute o1atLfb numeric
@attribute o1atMfc numeric
@attribute o1atLfc numeric
@attribute o1atMdi numeric
@attribute o1atLdi numeric
@attribute o1atMki numeric
@attribute o1atLki numeric
@attribute o1atMdj numeric
@attribute o1atLdj numeric
@attribute o1atMjf numeric
@attribute o1atLjf numeric
@attribute o1atMje numeric
@attribute o1atLje numeric
@attribute o1atMej numeric
@attribute o1atLej numeric
@attribute o1atMai numeric
@attribute o1atLai numeric
@attribute o1atMak numeric
@attribute o1atLak numeric
@attribute o1atMkh numeric
@attribute o1atLkh numeric
@attribute o1atMck numeric
@attribute o1atLck numeric
@attribute o1atMid numeric
@attribute o1atLid numeric
@attribute o1atMhd numeric
@attribute o1atLhd numeric
@attribute o1atMkg numeric
@attribute o1atLkg numeric
@attribute o1atMei numeric
@attribute o1atLei numeric
@attribute o1atMib numeric
@attribute o1atLib numeric
@attribute o1atMaj numeric
@attribute o1atLaj numeric
@attribute o1atMbi numeric
@attribute o1atLbi numeric
@attribute o1atMic numeric
@attribute o1atLic numeric
@attribute o1atMek numeric
@attribute o1atLek numeric
@attribute o1atMcj numeric
@attribute o1atLcj numeric
@attribute o1atMke numeric
@attribute o1atLke numeric
@attribute o1atMja numeric
@attribute o1atLja numeric
@attribute o1atMbk numeric
@attribute o1atLbk numeric
@attribute o1atMjd numeric
@attribute o1atLjd numeric
@attribute o1atMkd numeric
@attribute o1atLkd numeric
@attribute o1atMjc numeric
@attribute o1atLjc numeric
@attribute destClass {2,1}

@data
53,48,81,33,34,70,40,56,44,52,0,57,36,36,58,40,53,44,48,58,12,89,2,1,73,36,50,41,37,0,72,41,49,36,58,57,37,41,53,45,49,0,94,2,93,84,11,82,11,1,93,20,92,86,9,0,95,22,73,22,72,36,54,46,12,1,54,0,49,92,4,88,7,1,94,88,5,94,1,1,58,23,59,1,59,0,94,84,2,23,54,42,37,45,37,46,36,58,2,40,49,2,50,1,49,57,11,2,73,58,7,0,37,46,2,23,50,93,1,22,49,0,93,1,38,1,72,37,38,46,7,41,11,45,11,22,37,36,53,83,6,0,1,50,0,53,37,2,22,58,23,12,84,7,36,49,57,6,0,11,0,58,23,38,1,37,2,59,2,54,2,38,1,53,22,53,37,12,88,1,37,7,45,6,41,6,42,7,1,12,1,2,83,1,23,2,36,11,36,37,57,1,42,12,1,11,1,7,2,12,22,11,42,2,23,7,41,1,0,6,2,2,36,6,36,1,22,6,1.0
65,45,72,23,24,75,38,66,43,52,0,67,26,25,68,39,53,46,47,68,21,95,0,0,77,27,49,40,26,0,76,40,48,26,68,68,26,39,54,46,47,9,94,10,84,74,19,74,20,10,84,17,83,94,18,0,95,18,76,18,76,26,54,47,21,1,55,0,48,94,0,94,0,0,85,94,0,95,0,10,68,18,68,0,69,0,94,75,0,19,54,41,27,46,26,47,27,69,1,41,48,11,49,10,48,68,20,10,76,68,1,0,26,47,1,19,49,94,0,18,48,0,84,1,27,10,76,27,27,47,1,40,20,46,20,18,26,26,54,74,0,0,1,49,0,54,27,1,18,68,19,21,74,0,26,48,68,0,0,20,0,68,19,27,10,26,10,68,11,54,11,27,10,54,18,54,27,21,94,0,27,1,46,0,40,0,41,1,1,21,1,1,74,0,19,1,26,20,26,26,68,0,41,21,10,20,1,1,11,21,18,20,41,1,19,1,40,0,0,0,11,1,26,0,26,0,18,0,2.0
57,47,72,35,34,65,39,58,45,53,0,59,37,35,60,41,54,47,49,59,22,94,1,1,68,36,49,40,36,0,67,40,48,35,59,58,36,40,54,46,48,6,94,8,88,74,22,73,21,7,87,25,86,93,20,1,95,28,68,27,67,36,55,47,22,1,55,0,48,94,1,94,2,1,88,93,1,95,1,7,59,28,60,1,60,0,94,74,1,28,55,41,37,46,36,47,37,59,1,41,49,8,49,7,48,58,21,8,68,59,2,0,36,47,1,28,49,94,0,27,48,0,87,1,37,7,67,36,37,47,2,40,21,46,21,27,36,35,54,73,1,0,1,49,0,54,36,1,27,59,28,22,74,2,35,48,58,1,0,21,0,59,28,37,7,36,8,60,8,55,8,37,7,54,27,54,36,22,93,0,36,2,46,1,40,1,41,2,1,22,1,1,73,0,28,1,35,21,35,36,58,0,41,22,7,21,1,2,8,22,27,21,41,1,28,2,40,0,0,1,8,1,35,1,35,0,27,1,2.0
58,44,83,34,26,82,37,64,48,53,0,60,36,28,66,40,55,50,46,60,11,94,1,2,86,29,46,39,34,1,85,38,44,27,64,59,34,38,54,48,44,3,90,3,89,85,11,84,10,3,88,6,87,93,9,2,93,9,83,7,83,29,55,50,11,3,56,2,45,94,1,94,2,2,90,93,1,95,1,4,65,9,66,2,67,1,92,85,1,10,55,40,36,49,34,50,36,60,1,40,46,6,46,4,45,59,10,5,85,60,2,2,35,50,1,10,46,94,0,8,44,1,89,3,36,3,84,29,36,50,2,39,10,49,10,9,34,27,54,84,1,0,3,46,2,55,29,1,8,64,10,11,85,2,27,44,59,1,2,10,2,66,10,36,5,35,5,66,6,55,6,36,4,55,8,54,29,11,93,0,29,2,49,1,39,1,40,2,3,11,3,1,84,0,10,1,28,10,28,34,59,0,40,11,5,10,3,2,6,11,9,10,40,1,10,2,39,0,2,1,6,1,28,1,28,0,9,1,2.0
69,41,78,21,23,82,36,67,49,54,0,70,23,25,70,38,56,51,43,71,14,94,1,2,85,25,44,37,22,0,84,37,42,24,68,70,22,37,55,50,42,1,92,1,92,80,13,80,13,1,91,8,91,93,12,1,94,11,83,9,83,25,57,52,14,2,57,0,43,94,1,94,1,1,93,93,1,95,1,1,68,11,70,2,70,0,93,81,1,11,57,38,23,50,22,51,23,72,1,38,43,3,44,1,42,71,13,3,84,72,2,0,23,52,1,11,44,94,0,9,42,0,92,2,24,1,83,25,24,52,2,38,13,51,13,9,22,24,55,80,1,0,2,44,0,56,26,1,9,68,11,15,81,1,24,42,71,1,1,14,0,69,11,24,1,22,3,70,3,57,3,24,1,55,9,55,26,15,93,0,26,2,51,1,38,1,39,2,2,15,2,1,80,0,11,1,25,13,24,22,71,0,39,14,2,13,2,2,3,15,10,13,39,1,11,2,38,0,1,1,3,1,25,1,25,0,10,1,1.0
64,33,71,28,38,76,50,54,59,42,0,66,30,40,56,52,44,61,35,66,23,83,2,1,79,40,35,51,29,0,78,51,34,39,55,65,29,51,43,60,34,1,94,1,94,73,23,72,22,1,93,14,93,81,21,1,95,17,78,16,78,40,44,61,23,1,44,0,34,93,11,82,13,1,94,82,12,94,1,1,55,17,56,1,56,0,94,73,2,17,44,52,30,60,29,61,30,66,2,52,35,2,35,1,34,65,22,2,79,66,13,0,29,61,2,17,35,93,1,16,34,0,93,1,30,1,78,40,30,61,13,51,22,60,22,16,29,39,43,72,12,1,1,35,0,43,40,2,16,55,17,23,73,13,39,34,65,12,0,22,0,55,17,30,1,29,2,56,2,44,2,30,1,43,16,43,40,23,82,1,40,13,60,12,51,12,52,13,1,23,1,2,72,1,17,2,39,22,39,29,65,1,52,23,1,22,1,13,2,23,16,22,52,2,17,13,51,1,0,12,2,2,39,12,39,1,16,12,1.0
65,33,72,27,32,80,48,60,59,44,0,67,29,33,62,50,45,61,35,67,22,84,2,1,81,34,35,49,28,0,80,49,34,33,61,66,28,49,45,60,34,1,94,2,94,74,22,73,21,1,93,14,93,82,20,1,95,15,81,14,80,34,46,61,22,1,46,0,34,93,10,83,12,1,94,83,11,94,1,1,61,15,62,1,62,0,94,74,2,15,46,50,29,60,28,61,29,67,2,50,35,2,35,1,34,66,21,2,81,67,12,0,28,61,2,15,35,93,1,14,34,0,93,1,29,1,80,34,29,61,12,49,21,60,21,14,28,33,45,73,11,1,1,35,0,45,34,2,14,61,15,22,74,12,33,34,66,11,0,21,0,61,15,29,1,28,2,62,2,46,2,29,1,45,14,45,34,22,83,1,34,12,60,11,49,11,50,12,1,22,1,2,73,1,15,2,33,21,33,28,66,1,50,22,1,21,1,12,2,22,14,21,50,2,15,12,49,1,0,11,2,2,33,11,33,1,14,11,1.0
63,37,71,29,37,72,46,55,55,46,0,65,31,37,56,47,46,57,38,65,23,92,2,1,75,39,38,47,30,0,74,47,38,38,56,64,30,47,47,56,38,1,94,1,94,73,23,72,22,1,93,18,93,91,21,1,95,20,74,20,74,38,47,57,23,1,48,0,38,93,3,92,4,1,94,91,3,94,2,1,56,20,57,1,57,0,94,73,2,20,48,48,31,56,30,57,31,65,2,48,38,2,39,1,38,64,22,2,75,65,4,0,30,57,2,21,39,93,1,20,38,0,93,1,31,1,74,39,31,57,4,47,22,56,22,20,30,38,47,72,3,1,1,39,0,47,39,2,20,56,21,23,73,4,38,38,64,3,0,22,0,56,21,31,1,30,2,57,2,48,2,31,1,47,20,47,39,23,91,1,39,4,56,3,47,3,48,4,1,23,1,2,72,1,21,2,38,22,38,30,64,1,48,23,1,22,1,4,2,23,20,22,48,2,21,4,47,1,0,3,2,2,38,3,38,1,20,3,1.0
62,34,68,30,34,70,46,58,58,46,0,63,32,35,59,46,47,60,34,64,25,88,2,1,73,36,36,47,31,0,72,47,35,35,59,63,31,47,47,59,35,1,94,1,94,71,24,70,24,1,93,20,93,86,22,1,95,22,72,22,72,35,48,60,25,1,48,0,35,93,6,88,8,1,94,87,7,94,2,1,59,23,60,1,60,0,94,71,2,23,48,48,32,59,31,60,32,64,2,48,35,2,36,1,35,63,24,2,73,64,8,0,31,60,2,23,36,93,1,22,35,0,93,1,32,1,72,36,32,60,8,47,24,59,24,22,31,35,47,70,7,1,1,36,0,47,36,2,22,59,23,25,71,8,35,35,63,7,0,24,0,59,23,32,1,31,2,60,2,48,2,32,1,47,22,47,36,25,87,1,36,8,59,7,47,7,48,8,1,25,1,2,70,1,23,2,35,24,35,31,63,1,48,25,1,24,1,8,2,25,22,24,48,2,23,8,47,1,0,7,2,2,35,7,35,1,22,7,1.0
65,43,79,27,23,75,31,67,49,57,0,66,28,25,69,35,60,50,45,67,14,95,1,2,78,26,45,34,28,0,77,34,44,24,68,66,27,34,59,49,44,2,92,2,92,81,14,80,14,2,90,15,90,94,13,2,94,17,76,16,76,26,60,51,15,2,61,1,44,94,0,94,1,2,92,94,0,95,0,2,68,17,69,2,70,0,93,81,1,18,60,35,29,50,28,50,29,67,1,35,45,4,45,3,44,66,14,3,78,67,1,1,28,51,1,18,45,94,0,17,44,0,91,2,29,2,76,26,29,51,1,34,14,50,14,17,28,25,59,80,0,0,2,45,1,60,26,1,16,68,18,15,81,1,25,44,66,0,1,14,0,69,18,29,3,28,3,70,4,61,4,29,3,59,17,59,26,15,94,0,26,1,50,0,34,0,35,1,2,15,2,1,80,0,18,1,25,14,25,28,66,0,35,15,3,14,2,1,4,15,17,14,35,1,18,1,34,0,1,0,4,1,25,0,25,0,17,0,2.0
77,35,90,15,8,90,35,82,51,53,1,79,17,8,83,37,54,56,38,79,5,93,2,2,92,11,39,38,16,1,91,38,39,9,83,78,16,38,55,55,39,1,91,2,91,91,5,90,4,1,91,2,91,92,4,1,93,2,91,2,90,9,55,56,5,2,57,2,39,93,2,93,3,2,93,92,2,94,2,1,83,2,84,2,85,1,92,91,2,3,56,39,17,55,16,56,17,79,2,39,38,3,39,2,39,78,4,2,91,79,3,2,16,56,2,4,39,93,1,3,39,1,92,3,17,1,90,11,17,56,3,38,4,55,4,3,16,10,55,90,2,1,3,40,2,56,11,2,2,83,4,5,91,3,10,39,78,2,2,4,1,84,4,17,2,16,2,84,2,56,3,17,2,55,3,55,11,5,92,1,11,3,55,2,38,2,39,3,3,5,3,2,90,1,4,2,10,4,10,16,78,1,39,5,2,4,3,3,3,5,3,4,39,2,4,3,38,1,2,2,3,2,10,2,10,1,3,2,1.0
73,35,93,19,4,85,8,84,51,68,0,74,21,4,85,15,74,56,37,75,2,95,1,3,89,8,38,17,20,1,88,17,38,4,84,74,20,15,74,55,37,3,88,3,87,94,1,93,1,3,86,3,85,94,1,2,92,4,85,3,85,5,75,56,2,4,78,3,39,94,0,94,1,2,89,94,0,95,0,3,85,4,85,3,88,1,91,94,1,5,75,18,21,55,20,56,21,75,1,18,37,7,40,6,38,74,1,4,87,75,1,3,20,56,1,7,38,94,0,6,38,1,88,4,21,3,86,8,21,56,1,17,1,55,1,6,20,6,74,93,0,0,4,40,2,77,8,1,3,84,7,2,94,1,7,38,74,0,3,1,1,87,7,21,6,20,4,87,5,77,7,21,5,75,5,74,8,2,94,0,8,1,55,0,17,0,18,1,4,2,4,1,93,0,7,1,7,1,7,20,74,0,18,2,6,1,4,1,7,2,6,1,18,1,7,1,17,0,3,0,7,1,7,0,7,0,6,0,2.0
42,40,66,40,37,55,39,45,42,43,0,48,40,38,50,41,44,42,42,48,24,93,2,0,58,40,47,43,42,0,57,40,42,38,50,46,40,40,44,42,41,0,94,0,94,70,24,70,22,0,94,35,94,92,20,0,95,36,57,36,57,40,49,48,25,1,50,0,46,93,2,93,2,0,95,92,2,94,2,0,51,37,51,1,52,0,94,71,2,38,50,46,43,46,41,48,42,49,2,41,43,1,47,0,46,48,22,0,57,49,2,0,46,49,2,38,47,93,1,37,46,0,94,1,47,0,57,44,47,49,3,45,22,48,22,37,46,39,49,70,2,1,1,47,0,49,44,2,37,51,38,25,71,2,39,46,48,2,0,24,0,51,38,47,0,46,1,51,1,50,1,47,0,49,37,49,44,25,92,1,44,3,48,2,45,2,46,3,1,25,1,2,70,1,38,2,43,24,41,46,48,1,46,25,0,24,1,3,1,25,37,24,46,2,38,3,45,1,0,2,1,2,43,2,43,1,37,2,1.0
83,30,83,9,26,85,45,62,58,45,0,83,11,29,63,45,47,62,31,84,11,86,6,1,88,30,33,47,10,0,87,47,33,29,65,83,10,47,47,61,33,0,94,1,94,84,9,83,9,0,94,5,94,84,9,0,95,5,88,7,87,29,47,62,11,1,48,0,33,87,8,85,9,1,95,84,8,89,6,0,65,7,66,1,66,0,94,85,6,7,48,48,11,61,10,62,11,85,7,48,33,1,34,0,33,83,10,1,88,84,10,0,10,62,7,8,34,88,5,7,33,0,94,1,11,0,87,30,11,62,10,47,10,61,10,7,10,29,47,83,8,5,1,34,0,47,30,7,7,65,8,11,84,9,29,33,83,9,0,10,0,65,8,11,0,10,1,66,1,48,1,11,0,47,7,47,30,11,85,5,30,10,61,9,47,9,48,10,1,11,1,7,84,5,8,7,29,10,29,10,84,6,48,11,0,10,1,10,1,11,7,10,48,7,8,10,47,6,0,9,1,7,29,9,29,6,7,9,1.0
57,38,87,29,23,87,40,61,48,44,0,60,30,25,64,42,46,49,39,62,5,92,2,3,90,27,41,45,33,0,89,44,40,26,64,60,32,42,47,51,39,2,90,3,90,89,5,88,5,2,88,3,88,90,5,2,93,3,88,3,87,26,47,53,6,3,50,2,42,92,2,91,4,3,91,91,3,94,1,2,64,3,65,3,67,0,92,89,2,4,48,45,32,52,32,51,31,62,2,43,40,4,43,4,40,61,6,3,90,62,4,2,33,53,2,5,41,93,1,5,40,0,90,3,34,2,87,29,33,53,4,45,6,52,6,5,33,26,47,88,3,0,3,43,0,49,29,2,3,64,6,7,89,4,28,40,61,3,2,6,0,66,6,33,4,33,3,67,3,50,5,34,2,47,3,47,29,7,91,1,29,4,52,3,45,3,46,4,3,7,3,2,88,1,6,2,28,6,28,33,61,1,46,7,4,6,3,4,5,7,5,6,46,2,6,4,45,1,2,3,5,2,28,3,28,1,5,3,1.0
78,50,93,10,4,81,21,80,36,63,1,81,12,7,81,23,66,39,51,82,2,95,1,2,87,10,54,26,13,3,86,25,52,6,80,81,12,23,65,39,51,2,83,2,82,94,1,93,1,3,83,3,82,94,1,1,89,4,81,3,82,8,67,41,2,6,69,6,54,94,0,94,1,1,88,94,0,95,0,4,82,7,81,5,86,2,88,94,1,8,67,27,14,40,12,41,12,82,1,25,53,8,54,7,52,81,1,3,81,82,1,6,13,41,1,9,54,94,0,8,52,3,87,7,14,3,83,10,14,41,1,26,1,40,1,8,13,7,65,93,0,0,7,55,4,68,10,1,5,81,9,2,94,1,9,52,81,0,6,1,4,85,9,14,7,13,6,81,7,67,8,14,5,66,6,65,10,2,94,0,10,1,40,0,26,0,27,1,7,2,7,1,93,0,9,1,9,1,9,13,81,0,27,2,7,1,7,1,8,2,8,1,27,1,9,1,26,0,6,0,8,1,9,0,9,0,8,0,2.0
57,49,85,33,27,75,35,63,43,57,0,59,35,29,64,36,58,44,50,59,8,93,0,1,78,29,51,36,35,0,77,36,50,29,65,59,35,36,58,44,50,11,94,13,81,86,8,86,8,13,81,15,79,91,7,0,95,16,77,17,77,29,59,44,8,1,59,0,50,94,1,92,2,1,82,92,2,95,0,13,65,18,66,1,66,0,94,87,0,18,59,36,35,44,35,44,35,60,0,36,50,14,51,13,50,59,8,14,78,59,2,0,35,45,0,18,51,94,0,17,50,0,81,1,36,13,77,29,36,44,2,36,8,44,8,17,35,29,58,86,2,0,1,51,0,58,30,1,17,65,18,9,86,2,29,50,59,2,0,8,0,65,18,36,13,35,14,66,14,59,14,36,13,58,17,58,29,9,92,0,29,3,44,2,36,2,36,2,1,9,1,1,86,0,18,1,29,8,29,35,59,0,36,8,13,8,1,3,14,9,17,8,37,0,18,3,36,0,0,2,14,1,29,2,29,0,17,2,2.0
67,37,73,25,33,70,46,59,55,46,0,68,27,35,61,48,48,57,39,69,21,85,1,1,74,35,39,47,26,0,73,47,38,34,60,68,26,47,47,56,38,1,94,1,94,75,20,74,20,1,93,18,93,83,19,1,95,22,73,21,73,35,48,57,21,1,48,0,38,94,9,84,11,1,94,84,10,95,0,1,60,22,61,1,61,0,94,75,1,22,48,48,27,56,26,57,27,69,1,48,39,2,39,1,38,68,20,2,74,69,11,0,26,57,1,22,39,94,0,21,38,0,93,1,27,1,73,35,27,57,11,47,20,56,20,21,26,34,47,74,10,0,1,39,0,47,35,1,21,60,22,21,75,11,34,38,68,10,0,20,0,60,22,27,1,26,2,61,2,48,2,27,1,47,21,47,35,21,84,0,35,11,56,10,47,10,48,11,1,21,1,1,74,0,22,1,34,20,34,26,68,0,48,21,1,20,1,11,2,21,21,20,48,1,22,11,47,0,0,10,2,1,34,10,34,0,21,10,1.0
66,36,69,26,34,73,47,56,56,45,0,68,28,37,57,49,47,58,38,68,25,87,3,1,76,37,38,48,27,0,75,48,37,36,58,67,27,48,46,57,37,0,94,1,94,71,25,70,24,0,94,17,94,84,23,0,95,18,76,19,75,37,47,58,25,1,47,0,37,92,6,87,9,1,95,86,8,93,3,0,58,20,59,1,59,0,94,71,3,20,47,49,28,57,27,58,28,68,3,49,38,1,38,0,37,67,24,1,76,68,9,0,27,58,3,20,38,92,2,19,37,0,94,1,28,0,75,37,28,58,9,48,24,57,24,19,27,36,46,70,8,2,1,38,0,46,37,3,19,58,20,25,71,9,36,37,67,8,0,24,0,58,20,28,0,27,1,59,1,47,1,28,0,46,19,46,37,25,86,2,37,9,57,8,48,8,49,9,1,25,1,3,70,2,20,3,36,24,36,27,67,2,49,25,0,24,1,9,1,25,19,24,49,3,20,9,48,2,0,8,1,3,36,8,36,2,19,8,1.0
55,45,72,37,42,78,44,50,45,48,0,56,39,43,51,44,49,48,46,56,22,92,0,0,80,44,48,45,38,0,79,45,47,43,51,56,37,45,49,46,47,0,94,0,94,73,21,72,21,0,94,14,94,90,20,0,95,15,79,15,79,43,50,48,22,1,50,0,47,94,2,91,3,0,95,91,2,95,0,0,51,16,51,1,52,0,94,74,0,16,50,46,39,47,38,48,39,57,1,46,47,1,48,0,47,56,21,0,79,56,4,0,38,48,1,16,48,94,0,15,47,0,94,1,39,0,79,44,39,48,4,45,21,47,21,15,38,43,49,73,3,0,1,48,0,49,44,1,15,51,16,22,73,3,43,47,56,3,0,21,0,51,16,39,0,38,1,51,1,50,1,39,0,49,15,49,44,22,91,0,44,4,47,3,45,3,46,4,1,22,1,1,73,0,16,1,43,21,43,38,56,0,46,22,0,21,1,4,1,22,15,21,46,1,16,4,45,0,0,3,1,1,43,3,43,0,15,3,2.0
55,44,88,37,23,76,35,67,48,57,0,57,38,26,69,36,59,49,45,57,6,95,0,2,78,26,46,36,38,1,77,36,45,25,69,56,38,36,58,49,45,1,92,2,92,89,6,89,5,2,91,16,91,94,4,1,94,17,77,17,77,26,59,50,6,2,59,1,45,94,0,94,0,2,93,94,0,95,0,2,69,18,70,2,70,0,93,90,1,18,59,37,39,49,38,50,38,57,1,36,46,3,46,2,45,56,5,3,78,57,1,1,38,50,1,18,46,94,0,17,45,1,92,2,39,2,77,26,39,50,1,36,5,49,5,17,38,25,58,89,0,0,2,46,1,58,26,1,17,69,18,6,89,1,25,45,56,0,1,5,1,69,18,39,2,38,3,70,3,59,3,39,2,58,17,58,26,6,94,0,26,1,49,0,36,0,37,1,2,6,2,1,89,0,18,1,25,5,25,38,56,0,37,6,2,5,2,1,3,6,17,5,37,1,18,1,36,0,1,0,3,1,25,0,25,0,17,0,2.0
66,30,73,24,19,88,49,69,60,41,0,68,26,22,70,51,43,62,32,68,19,85,1,1,91,22,32,50,25,0,90,50,31,21,70,67,25,50,42,61,31,0,92,2,91,74,19,75,18,0,91,2,90,83,17,0,94,2,90,2,88,22,43,62,19,1,44,1,32,94,9,85,9,1,93,84,10,95,1,1,71,4,72,1,73,0,93,76,1,4,43,51,26,61,25,62,26,69,1,51,32,2,32,1,32,68,18,2,90,69,10,1,26,63,1,4,32,94,0,3,31,0,92,1,27,0,89,22,26,63,10,51,18,62,18,3,25,21,42,75,10,0,1,33,1,43,23,1,3,70,4,19,76,10,21,31,68,10,1,19,1,72,4,26,1,26,2,72,2,43,2,26,1,43,3,42,22,19,84,0,23,10,62,10,51,10,52,10,1,20,2,1,75,0,5,1,22,18,21,25,68,0,51,19,2,19,2,11,2,19,4,18,52,1,5,10,51,0,1,10,3,1,22,10,22,0,4,10,1.0
66,37,75,26,35,69,46,57,55,46,0,68,28,37,59,48,48,57,39,68,19,83,1,1,72,37,39,47,27,0,71,47,38,36,58,67,27,47,47,56,38,1,94,1,94,76,19,76,18,1,93,21,93,81,17,1,95,24,71,23,71,37,48,57,19,1,48,0,38,94,11,83,12,1,94,82,12,95,1,1,58,24,59,1,59,0,94,77,1,24,48,48,28,56,27,57,28,68,1,48,39,2,39,1,38,67,18,2,72,68,13,0,27,57,1,24,39,94,0,23,38,0,93,1,28,1,71,37,28,57,13,47,18,56,18,23,27,36,47,76,12,0,1,39,0,47,37,1,23,58,24,19,77,13,36,38,67,12,0,18,0,58,24,28,1,27,2,59,2,48,2,28,1,47,23,47,37,19,82,0,37,13,56,12,47,12,48,13,1,19,1,1,76,0,24,1,36,18,36,27,67,0,48,19,1,18,1,13,2,19,23,18,48,1,24,13,47,0,0,12,2,1,36,12,36,0,23,12,1.0
