@relation 'Sax dominant'

@attribute o1atMadd numeric
@attribute o1atLadd numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMdcb numeric
@attribute o1atLdcb numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMdde numeric
@attribute o1atLdde numeric
@attribute o1atLeee numeric
@attribute o1atMedd numeric
@attribute o1atLedd numeric
@attribute o1atMddd numeric
@attribute o1atLddd numeric
@attribute o1atMdee numeric
@attribute o1atLdee numeric
@attribute o1atMeed numeric
@attribute o1atLeed numeric
@attribute o1atMedc numeric
@attribute o1atLedc numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMbcd numeric
@attribute o1atLbcd numeric
@attribute o1atMded numeric
@attribute o1atLded numeric
@attribute o1atMcee numeric
@attribute o1atLcee numeric
@attribute o1atMeec numeric
@attribute o1atLeec numeric
@attribute o1atMeca numeric
@attribute o1atLeca numeric
@attribute o1atMace numeric
@attribute o1atLace numeric
@attribute o1atMacd numeric
@attribute o1atLacd numeric
@attribute o1atMdcd numeric
@attribute o1atLdcd numeric
@attribute o1atMcac numeric
@attribute o1atLcac numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMbce numeric
@attribute o1atLbce numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMadc numeric
@attribute o1atLadc numeric
@attribute o1atMcde numeric
@attribute o1atLcde numeric
@attribute o1atMaee numeric
@attribute o1atLaee numeric
@attribute o1atMced numeric
@attribute o1atLced numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o1atMdce numeric
@attribute o1atLdce numeric
@attribute o1atMbdc numeric
@attribute o1atLbdc numeric
@attribute o1atMabd numeric
@attribute o1atLabd numeric
@attribute o1atMade numeric
@attribute o1atLade numeric
@attribute o1atMcdc numeric
@attribute o1atLcdc numeric
@attribute o1atMede numeric
@attribute o1atLede numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMcce numeric
@attribute o1atLcce numeric
@attribute o1atMeeb numeric
@attribute o1atLeeb numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMeba numeric
@attribute o1atLeba numeric
@attribute o1atMecb numeric
@attribute o1atLecb numeric
@attribute o1atMecc numeric
@attribute o1atLecc numeric
@attribute o1atMebe numeric
@attribute o1atLebe numeric
@attribute o1atMbdd numeric
@attribute o1atLbdd numeric
@attribute o1atMcbd numeric
@attribute o1atLcbd numeric
@attribute o1atMedb numeric
@attribute o1atLedb numeric
@attribute o1atMdbd numeric
@attribute o1atLdbd numeric
@attribute o1atMbde numeric
@attribute o1atLbde numeric
@attribute o1atMbbe numeric
@attribute o1atLbbe numeric
@attribute o1atMdbb numeric
@attribute o1atLdbb numeric
@attribute o1atMebc numeric
@attribute o1atLebc numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMdec numeric
@attribute o1atLdec numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute o1atMdba numeric
@attribute o1atLdba numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMdca numeric
@attribute o1atLdca numeric
@attribute o1atMece numeric
@attribute o1atLece numeric
@attribute o1atMddb numeric
@attribute o1atLddb numeric
@attribute o1atMdbe numeric
@attribute o1atLdbe numeric
@attribute o1atMdbc numeric
@attribute o1atLdbc numeric
@attribute o1atMebb numeric
@attribute o1atLebb numeric
@attribute o1atMbbd numeric
@attribute o1atLbbd numeric
@attribute o1atMabe numeric
@attribute o1atLabe numeric
@attribute o1atMaae numeric
@attribute o1atLaae numeric
@attribute o1atMcdb numeric
@attribute o1atLcdb numeric
@attribute o1atMebd numeric
@attribute o1atLebd numeric
@attribute o1atMaca numeric
@attribute o1atLaca numeric
@attribute o1atMdac numeric
@attribute o1atLdac numeric
@attribute o1atMeda numeric
@attribute o1atLeda numeric
@attribute o1atMbed numeric
@attribute o1atLbed numeric
@attribute o1atMcbe numeric
@attribute o1atLcbe numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMbee numeric
@attribute o1atLbee numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMaed numeric
@attribute o1atLaed numeric
@attribute o1atMecd numeric
@attribute o1atLecd numeric
@attribute o1atMdaa numeric
@attribute o1atLdaa numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMdab numeric
@attribute o1atLdab numeric
@attribute o1atMdad numeric
@attribute o1atLdad numeric
@attribute o1atMbae numeric
@attribute o1atLbae numeric
@attribute destClass {-1,1}

@data
16,40,16,76,14,16,77,28,43,27,65,27,65,45,63,49,39,28,64,28,64,26,75,15,77,15,78,83,8,5,82,7,80,38,85,7,84,6,50,8,47,42,26,65,28,42,80,8,51,7,51,7,16,9,16,10,16,43,49,38,16,63,47,43,28,9,14,78,49,40,16,65,28,63,16,43,51,8,17,7,49,8,16,65,50,8,28,42,16,43,17,9,46,42,85,5,16,75,48,9,28,7,16,66,16,9,28,9,48,9,28,5,28,39,28,42,28,8,28,38,29,8,27,9,27,43,28,9,16,65,49,9,16,65,16,43,15,65,16,43,51,5,28,40,28,8,28,43,27,9,27,42,16,10,15,10,28,42,28,7,14,66,16,43,16,8,28,8,28,9,16,66,29,7,16,64,16,8,50,7,15,43,15,66,16,43,16,38,16,9,1.0
22,48,21,71,19,21,72,27,51,26,66,26,66,37,64,42,48,27,65,27,65,25,70,20,72,20,73,84,7,4,83,7,81,45,86,6,85,6,42,8,40,51,25,66,28,51,81,8,43,6,42,6,21,8,22,9,22,52,42,46,21,64,39,51,28,9,19,73,41,48,21,66,27,64,21,51,43,8,22,6,42,8,21,66,43,8,27,51,21,52,22,8,37,51,86,4,21,70,40,9,27,6,21,67,21,8,27,8,39,8,27,4,28,48,27,51,27,8,27,46,28,8,26,9,26,51,27,8,21,66,41,8,21,66,21,51,20,66,21,51,43,4,27,48,27,8,27,51,26,8,26,51,21,9,20,9,27,51,27,7,19,67,21,51,21,8,28,8,27,9,21,67,28,6,21,65,22,8,42,7,20,51,20,67,21,51,21,46,21,9,1.0
24,38,23,69,21,23,70,28,43,27,64,28,64,41,60,50,38,30,62,28,62,26,68,22,70,22,71,85,7,3,84,5,83,34,87,5,86,4,48,5,44,44,26,64,30,44,83,6,50,5,49,4,23,6,24,7,24,44,49,37,23,61,43,42,30,7,21,71,48,37,23,64,29,61,24,43,50,7,24,5,50,6,23,64,49,7,30,43,24,45,24,7,43,43,87,3,23,68,44,7,29,5,24,65,23,7,28,6,43,5,30,4,30,38,29,45,28,6,29,38,30,7,28,8,27,44,29,6,24,62,48,6,23,64,23,44,22,64,23,43,50,3,28,38,29,8,29,43,27,7,28,45,24,8,22,8,28,44,29,6,21,64,23,43,23,6,30,6,29,8,23,64,30,5,23,62,24,6,49,5,22,44,22,65,23,44,23,38,23,8,1.0
18,36,18,73,15,17,74,36,40,32,56,32,55,46,48,52,34,35,51,35,51,29,72,16,75,16,76,83,6,3,83,6,81,32,86,4,86,4,53,7,49,36,31,56,35,38,82,6,54,4,54,5,18,8,18,8,18,39,52,32,18,50,49,38,36,7,16,76,52,36,18,56,36,50,18,40,53,6,19,5,52,6,18,56,53,6,35,39,18,40,18,7,46,38,86,4,18,73,50,6,37,5,18,57,18,8,37,8,50,7,37,4,36,35,37,37,37,7,37,32,37,6,32,7,32,40,36,7,18,52,52,7,18,55,18,40,16,56,18,40,54,4,36,36,37,6,36,38,32,8,32,39,18,8,16,8,35,38,37,6,16,57,18,38,18,7,36,6,37,6,17,57,38,4,18,51,18,7,53,6,16,40,16,57,18,40,18,32,18,7,1.0
18,41,17,75,15,17,76,31,44,30,62,30,62,45,60,50,40,31,61,31,61,29,74,16,76,16,77,85,8,6,84,7,83,39,86,7,85,7,50,8,47,43,29,62,31,43,83,8,50,7,50,7,17,8,17,9,17,44,49,40,17,60,47,44,31,9,15,77,49,41,17,62,31,60,17,44,50,8,18,7,50,8,17,62,50,9,31,43,17,44,18,8,46,43,86,6,17,74,47,9,31,7,17,63,17,8,31,8,47,8,31,6,32,40,31,43,31,8,31,40,32,8,30,9,30,44,31,8,17,62,49,8,17,62,17,44,16,62,17,44,50,6,31,41,31,9,31,44,30,8,30,43,17,9,16,9,31,43,31,7,15,63,17,44,17,8,32,8,31,9,17,63,32,7,17,61,18,8,49,7,16,44,16,63,17,44,17,40,17,9,-1.0
16,35,16,76,14,15,77,35,38,32,58,32,57,50,53,54,34,34,55,34,55,29,75,15,77,15,78,84,6,4,84,7,82,32,86,5,86,6,56,8,52,36,30,58,34,37,82,7,56,5,56,6,16,8,16,8,16,38,55,32,16,53,53,37,35,7,14,78,55,35,16,58,35,53,16,38,55,6,17,6,54,7,16,58,56,6,34,37,16,38,16,7,50,37,86,4,16,75,53,6,35,6,16,59,16,8,35,8,53,8,35,4,34,34,35,36,35,8,35,32,35,6,32,7,32,38,35,8,16,56,55,7,16,57,16,38,15,58,16,38,56,4,35,35,35,6,35,37,32,8,32,37,16,8,15,8,34,37,35,7,14,59,16,37,16,8,34,7,35,6,15,59,36,5,16,55,16,8,55,7,15,38,15,59,16,38,16,32,16,7,1.0
19,39,19,72,16,18,73,24,42,23,68,23,67,44,64,49,37,24,66,24,66,22,70,17,74,17,75,84,6,2,83,6,81,35,87,4,86,4,51,6,46,40,22,68,24,41,82,7,51,4,51,4,19,7,19,8,19,42,50,35,19,65,47,41,24,7,16,75,50,38,19,68,24,65,19,42,51,6,20,4,49,7,19,68,51,6,24,41,19,43,20,7,44,40,87,3,19,71,47,7,25,4,19,69,19,7,24,7,47,6,25,3,25,38,24,41,25,7,25,36,26,6,23,7,23,43,24,6,19,67,50,7,19,67,19,43,17,68,19,42,51,3,24,39,25,6,24,42,23,7,23,42,19,8,17,8,24,41,25,6,16,69,19,42,19,7,25,7,24,7,18,69,26,4,19,66,19,7,50,6,17,43,17,69,19,43,19,36,19,7,1.0
17,38,17,75,15,17,76,34,41,29,58,29,58,45,49,49,36,33,52,33,52,25,74,16,76,16,77,85,4,2,84,5,81,34,88,3,87,3,52,5,47,38,28,58,33,40,83,6,52,3,52,3,17,6,17,7,17,41,51,34,17,51,48,39,34,6,15,77,51,37,17,58,34,51,17,41,52,4,18,3,49,6,17,58,52,4,33,40,17,42,18,6,45,39,88,2,17,74,48,4,35,3,17,59,17,6,34,6,48,5,35,2,33,37,34,39,35,6,35,35,36,5,29,6,29,42,34,5,17,53,51,6,17,58,17,42,16,58,17,41,52,2,34,38,35,4,34,40,29,6,29,41,17,7,16,7,33,40,35,5,15,59,17,40,17,6,33,6,34,4,17,59,36,3,17,52,17,6,51,5,16,42,16,59,17,42,17,35,17,6,1.0
26,37,26,66,24,26,67,31,43,31,61,31,61,39,59,50,36,32,60,31,60,30,65,25,67,25,68,79,12,9,79,11,78,32,81,10,81,10,49,12,43,43,30,61,32,43,78,11,51,10,50,11,26,13,26,13,26,44,49,35,26,59,42,42,32,12,24,68,48,36,26,61,32,59,26,44,50,12,27,11,50,11,26,61,49,12,32,43,26,44,26,13,42,43,81,10,26,65,43,12,32,11,26,62,26,13,32,13,43,12,32,10,32,36,32,43,32,12,32,35,32,12,31,12,31,43,32,12,26,61,48,12,26,61,26,43,25,61,26,43,50,10,31,36,32,12,32,42,31,13,31,43,26,13,25,13,31,43,32,11,24,62,26,42,26,12,32,11,32,12,26,62,33,10,26,60,26,12,50,11,25,43,25,62,26,43,26,35,26,12,-1.0
20,42,20,72,18,20,73,34,44,32,59,32,59,44,56,49,41,34,57,34,57,30,71,19,73,19,74,81,10,5,80,9,78,38,84,7,83,7,49,10,46,44,31,59,34,44,79,10,50,7,49,7,20,10,20,11,20,45,49,39,20,56,46,44,34,10,18,74,48,41,20,59,34,56,20,45,50,10,21,7,49,10,20,59,49,10,34,44,20,45,21,11,44,44,84,6,20,71,46,10,34,7,20,60,20,10,34,10,46,10,34,6,34,41,34,44,34,10,34,39,35,10,32,10,32,44,34,10,20,58,48,10,20,59,20,44,19,59,20,44,49,6,34,41,34,10,34,44,32,10,32,44,20,11,19,11,34,44,34,9,18,60,20,44,20,10,34,10,34,10,20,60,35,7,20,57,20,10,49,9,19,44,19,60,20,44,20,39,20,10,-1.0
21,48,20,71,17,21,72,33,50,32,59,33,60,36,57,42,48,34,58,32,58,32,69,18,73,18,74,80,12,8,79,11,77,45,82,10,81,10,42,11,39,51,32,59,34,51,77,12,43,10,42,10,20,12,21,12,21,51,42,45,20,57,39,49,35,12,17,74,41,47,20,59,33,57,21,50,43,12,21,10,42,12,20,59,43,12,34,50,21,52,21,12,36,50,82,8,20,70,40,12,34,10,21,60,20,12,33,12,39,11,35,8,34,48,33,51,34,12,34,45,35,12,34,13,33,51,34,11,21,58,41,12,20,60,20,51,18,59,20,50,43,8,33,48,35,12,34,49,33,12,33,52,21,13,18,13,32,51,34,11,17,59,20,49,20,12,34,12,34,12,21,59,35,10,20,58,21,12,42,11,18,51,18,60,20,51,20,45,20,13,1.0
23,58,22,69,21,23,70,26,58,25,65,25,66,29,62,33,58,26,64,26,64,24,68,22,70,22,71,87,4,2,86,3,84,56,89,2,88,2,32,3,31,59,24,66,27,60,85,3,35,3,33,2,23,4,24,6,23,61,32,56,23,63,30,57,28,5,21,71,31,56,23,66,26,63,23,59,34,5,24,3,33,4,23,65,33,4,26,59,23,61,24,5,30,59,89,2,23,68,32,5,27,3,23,67,23,5,26,4,31,3,27,2,27,58,26,59,26,4,26,56,28,5,25,5,25,59,27,4,23,65,31,3,23,66,23,59,22,66,23,58,34,2,26,57,26,4,26,58,25,5,25,60,23,6,22,6,26,60,27,3,21,67,23,58,23,4,27,4,26,5,23,67,28,3,23,64,23,4,33,3,22,59,22,67,23,59,23,56,23,5,1.0
