@relation 'Sax dominant'

@attribute o1atMaa numeric
@attribute o1atLee numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMea numeric
@attribute o1atLea numeric
@attribute o2atMcc numeric
@attribute o2atLcc numeric
@attribute o2atMbb numeric
@attribute o2atLbb numeric
@attribute o2atLee numeric
@attribute o2atMbc numeric
@attribute o2atLbc numeric
@attribute o2atMce numeric
@attribute o2atLce numeric
@attribute o2atMeb numeric
@attribute o2atLeb numeric
@attribute o2atMcb numeric
@attribute o2atLcb numeric
@attribute o2atMdd numeric
@attribute o2atLdd numeric
@attribute o2atMcd numeric
@attribute o2atLcd numeric
@attribute o2atMde numeric
@attribute o2atLde numeric
@attribute o2atMdb numeric
@attribute o2atLdb numeric
@attribute o2atMed numeric
@attribute o2atLed numeric
@attribute o2atMaa numeric
@attribute o2atMab numeric
@attribute o2atLab numeric
@attribute o2atMba numeric
@attribute o2atLba numeric
@attribute o2atMbd numeric
@attribute o2atLbd numeric
@attribute o2atMec numeric
@attribute o2atLec numeric
@attribute o2atMad numeric
@attribute o2atLad numeric
@attribute o2atMac numeric
@attribute o2atLac numeric
@attribute o2atMdc numeric
@attribute o2atLdc numeric
@attribute o2atMca numeric
@attribute o2atLca numeric
@attribute o3atMcc numeric
@attribute o3atLcc numeric
@attribute o3atMaa numeric
@attribute o3atMae numeric
@attribute o3atLae numeric
@attribute o3atMcb numeric
@attribute o3atLcb numeric
@attribute o3atMba numeric
@attribute o3atLba numeric
@attribute o3atMbb numeric
@attribute o3atLbb numeric
@attribute o3atMdd numeric
@attribute o3atLdd numeric
@attribute o3atMde numeric
@attribute o3atLde numeric
@attribute o3atMbd numeric
@attribute o3atLbd numeric
@attribute o3atMbc numeric
@attribute o3atLbc numeric
@attribute o3atMce numeric
@attribute o3atLce numeric
@attribute o3atMbe numeric
@attribute o3atLbe numeric
@attribute o3atMdc numeric
@attribute o3atLdc numeric
@attribute o3atMcd numeric
@attribute o3atLcd numeric
@attribute o3atMca numeric
@attribute o3atLca numeric
@attribute o3atMda numeric
@attribute o3atLda numeric
@attribute o3atMad numeric
@attribute o3atLad numeric
@attribute o3atMdb numeric
@attribute o3atLdb numeric
@attribute o3atLee numeric
@attribute o3atMab numeric
@attribute o3atLab numeric
@attribute o3atMed numeric
@attribute o3atLed numeric
@attribute o3atMac numeric
@attribute o3atLac numeric
@attribute destClass {1,-1}

@data
19,0,27,7,20,11,31,0,22,8,23,3,28,0,20,8,31,1,29,2,21,3,22,2,21,9,21,9,28,2,22,8,23,0,20,2,31,0,29,0,20,10,22,0,21,0,20,0,0,31,0,31,0,0,31,0,0,0,0,0,31,31,31,0,31,31,0,0,31,31,0,0,0,31,0,31,0,31,0,0,0,31,0,31,0,31,0,31,16,13,16,17,1,16,13,16,14,16,13,30,13,31,0,16,13,16,13,17,0,17,0,17,13,16,13,16,14,17,14,16,14,17,13,0,16,14,30,0,16,14,1
0,1,28,22,0,31,29,1,8,23,8,2,29,1,0,23,28,1,28,2,1,2,6,2,6,30,1,24,28,1,6,23,8,2,0,2,29,1,29,2,0,30,7,2,1,2,0,2,28,20,7,31,0,9,22,29,1,9,1,8,22,29,1,29,2,30,1,8,2,30,0,0,0,31,0,31,9,2,29,0,0,2,0,22,28,1,0,22,30,22,0,0,1,6,25,0,31,3,31,30,0,31,0,6,1,6,25,31,1,6,1,30,0,30,1,0,25,0,0,0,1,6,0,0,0,31,30,0,0,25,1
20,6,21,8,21,10,24,7,21,9,22,9,22,7,20,9,23,8,22,8,21,9,22,8,21,9,21,9,22,8,21,8,22,7,21,9,24,7,22,7,20,10,22,7,21,7,21,7,3,28,2,29,0,3,29,4,0,2,0,2,28,31,27,4,28,31,0,2,27,31,0,1,2,30,1,29,3,28,3,0,2,28,2,29,3,27,1,28,11,19,9,10,1,11,20,10,21,10,20,30,18,31,0,10,18,10,19,12,0,11,0,12,19,11,18,10,20,10,19,9,19,11,19,0,9,21,30,0,9,20,1
10,11,16,16,12,20,19,12,13,18,14,14,17,12,11,17,18,13,17,13,12,14,13,14,12,18,12,18,16,14,13,16,14,12,11,14,19,11,17,12,10,19,13,12,12,12,11,12,31,31,0,31,0,0,31,31,0,0,0,0,31,31,0,31,0,31,0,0,0,31,0,0,0,31,0,31,0,0,31,0,0,0,0,31,31,0,0,31,30,17,11,12,1,13,18,12,19,12,18,30,0,31,0,12,0,12,17,31,0,13,0,30,0,30,0,12,18,12,0,11,1,13,0,0,11,19,30,0,11,18,1
0,0,10,20,0,31,31,0,8,21,9,18,12,0,0,22,31,17,12,18,1,19,9,19,7,30,0,22,12,17,7,22,9,0,0,19,31,0,12,0,0,30,9,0,1,0,0,0,31,0,31,22,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,7,8,23,8,23,31,0,31,0,8,0,8,0,31,0,8,0,1,29,0,1,1,1,29,1,30,1,29,30,29,31,1,2,29,1,29,2,1,2,1,1,29,2,29,1,29,1,29,1,30,1,29,0,0,30,30,0,0,30,-1
0,0,23,7,1,31,31,0,22,9,23,7,24,0,0,8,31,5,25,6,1,7,22,6,21,30,1,9,24,6,22,8,23,0,0,6,31,0,25,0,0,30,22,0,1,0,0,0,0,31,0,31,0,0,31,0,0,0,0,0,31,31,31,0,31,31,0,0,31,31,0,0,0,31,0,31,0,31,0,0,0,31,0,31,0,31,0,31,21,8,0,0,1,21,9,0,31,21,31,30,8,31,0,21,9,21,9,22,0,22,1,22,8,21,8,0,9,0,9,0,9,22,9,0,0,31,30,0,0,9,1
0,7,22,8,1,31,23,7,21,9,21,8,23,8,0,9,22,7,22,7,1,8,22,8,21,30,1,9,22,8,22,9,22,8,0,8,23,7,23,7,0,30,22,8,1,8,0,8,1,29,1,31,0,1,30,2,0,1,0,1,29,31,29,2,29,31,0,1,29,31,0,0,0,31,0,31,2,30,1,0,0,30,0,30,1,29,0,29,14,15,0,0,1,14,16,0,31,14,31,30,15,31,0,14,16,14,16,15,0,15,1,15,15,14,15,0,16,0,16,0,16,15,16,0,0,31,30,0,0,16,1
21,0,28,7,22,9,31,0,22,8,23,2,29,0,22,8,31,1,29,1,22,2,23,2,22,8,22,8,29,2,23,7,23,0,22,2,31,0,29,0,21,9,23,0,22,0,22,0,2,28,2,29,0,2,29,3,0,2,0,2,28,31,28,3,28,31,0,2,28,31,0,1,2,30,1,29,3,29,2,0,2,29,2,29,2,28,1,28,11,19,10,11,1,11,19,10,20,10,19,30,18,31,0,10,18,10,19,12,0,11,0,12,19,11,18,11,20,11,19,10,19,11,19,0,10,20,30,0,10,20,1
21,6,22,8,21,9,24,7,21,8,22,7,23,7,22,9,23,7,23,7,22,8,22,8,21,8,21,9,22,8,22,8,22,7,22,8,24,6,23,7,21,9,22,7,22,7,22,7,2,29,1,30,0,2,30,3,0,1,0,1,29,31,28,3,29,31,0,1,28,31,0,0,1,31,0,30,2,29,2,0,1,29,1,30,2,28,0,29,12,18,11,12,1,12,18,11,19,11,18,30,17,31,0,11,17,11,18,13,0,12,0,13,18,12,17,12,19,12,18,11,18,12,18,0,11,19,30,0,11,19,1
21,0,22,7,21,9,31,0,22,7,23,7,23,0,22,8,31,7,23,7,22,8,23,8,22,8,21,8,23,7,22,8,23,0,22,8,31,0,23,0,22,9,23,0,22,0,22,0,0,31,0,31,0,0,31,1,0,0,0,0,31,31,30,1,31,31,0,0,30,31,0,0,0,31,0,31,0,31,0,0,0,31,0,31,0,30,0,31,14,15,13,14,1,14,16,14,17,14,16,30,15,31,0,14,15,14,15,15,0,15,0,15,15,14,15,14,16,14,16,13,16,15,16,0,13,17,30,0,13,16,1
10,11,17,15,12,20,19,12,14,17,15,13,18,11,11,16,18,12,18,12,12,13,13,13,13,18,12,17,17,12,13,16,15,12,11,13,19,11,18,12,11,19,14,12,12,12,11,12,31,31,0,31,0,0,31,31,0,0,0,0,31,31,0,31,0,31,0,0,0,31,0,0,0,31,0,31,0,0,31,0,0,0,0,31,31,0,0,31,30,9,0,0,1,21,10,0,31,20,31,30,0,31,0,20,1,20,10,31,0,21,1,30,0,30,0,0,10,0,0,0,1,21,0,0,0,31,30,0,0,10,1
19,0,22,8,20,11,31,0,21,9,22,8,23,0,20,9,31,6,24,7,21,8,21,7,20,9,21,10,23,7,21,8,22,0,20,7,31,0,24,0,19,10,21,0,21,0,20,0,0,31,0,31,0,0,31,0,0,0,0,0,31,31,31,0,31,31,0,0,31,31,0,0,0,31,0,31,0,31,0,0,0,31,0,31,0,31,0,31,17,12,16,17,1,17,13,17,14,17,13,30,12,31,0,17,12,17,12,18,0,18,0,18,12,17,12,17,13,17,13,16,13,18,13,0,16,14,30,0,16,13,1
0,19,7,30,0,31,11,20,0,30,0,22,8,20,0,30,9,21,8,22,0,23,0,22,0,30,0,31,8,22,0,30,1,20,0,22,10,20,9,20,0,30,0,20,1,21,0,20,29,1,29,31,0,29,1,29,0,30,1,29,2,30,1,29,1,30,0,30,2,31,1,0,0,31,0,31,29,1,30,1,0,1,0,1,30,1,0,2,22,9,0,0,9,21,9,0,31,21,31,22,8,23,8,22,9,22,10,23,9,22,9,22,8,22,9,0,9,0,8,0,9,21,8,8,0,31,22,8,0,10,1
0,0,7,30,0,31,31,0,0,30,1,21,9,0,0,30,31,20,9,21,1,22,0,22,0,30,0,31,9,22,0,30,1,0,0,22,31,0,9,0,0,30,0,0,1,0,0,0,31,0,31,13,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,14,16,15,16,15,31,0,31,0,16,0,16,0,31,0,16,0,8,22,0,0,1,8,22,0,31,8,31,30,22,31,1,9,23,8,23,9,1,9,1,8,22,9,22,0,22,0,22,0,23,8,22,0,0,31,30,0,0,23,1
0,0,0,29,0,31,31,0,0,29,1,28,2,0,0,30,31,27,2,28,1,29,1,29,0,30,0,30,2,28,0,30,1,0,0,29,31,0,2,0,0,30,1,0,1,0,0,0,31,0,31,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,0,0,31,0,31,31,0,31,0,0,0,0,0,31,0,0,0,13,18,0,0,1,12,18,0,31,12,31,30,17,31,1,13,18,13,19,14,1,13,1,13,17,14,18,0,18,0,17,0,18,12,17,0,0,31,30,0,0,19,1
0,0,22,7,1,31,31,0,22,8,23,8,23,0,0,8,31,7,23,7,1,8,23,8,22,30,1,8,23,7,22,8,23,0,0,8,31,0,23,0,0,30,23,0,1,0,0,0,0,31,0,31,0,0,31,0,0,0,0,0,31,31,31,0,31,31,0,0,31,31,0,0,0,31,0,31,0,31,0,0,0,31,0,31,0,31,0,31,18,12,0,0,1,18,13,0,31,17,31,30,11,31,0,17,12,17,13,19,0,18,1,19,12,18,11,0,13,0,12,0,12,18,12,0,0,31,30,0,0,13,1
17,0,25,10,17,13,31,0,19,10,20,4,26,0,18,11,31,3,27,4,19,5,19,4,18,11,18,12,26,4,19,11,20,0,18,4,31,0,27,0,18,12,19,0,19,0,18,0,0,31,0,31,0,0,31,0,0,0,0,0,31,31,31,0,31,31,0,0,31,31,0,0,0,31,0,31,0,31,0,0,0,31,0,31,0,31,0,31,19,11,18,19,1,19,11,18,12,18,11,30,10,31,0,18,10,18,11,20,0,19,0,20,11,19,10,19,12,19,11,18,11,19,11,0,18,12,30,0,18,12,1
0,0,1,30,0,31,31,0,0,30,1,27,3,0,0,30,31,26,3,27,1,28,0,28,0,30,0,31,3,28,0,30,1,0,0,28,31,0,3,0,0,30,0,0,1,0,0,0,31,0,31,29,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,0,1,30,1,30,31,0,31,0,1,0,1,0,31,0,1,0,11,19,0,0,1,11,19,0,31,11,31,30,19,31,1,12,20,11,20,12,1,12,1,11,19,12,19,0,19,0,19,0,20,11,19,0,0,31,30,0,0,20,1
19,6,21,8,20,11,24,7,21,9,22,9,22,7,20,9,23,8,22,8,20,9,22,9,21,10,20,9,22,8,21,9,22,7,20,9,24,7,22,7,20,11,22,7,20,7,20,7,2,29,1,30,0,2,30,3,0,1,0,1,29,31,28,3,29,31,0,1,28,31,0,0,1,31,0,30,2,29,2,0,1,29,1,30,2,28,0,29,13,17,12,13,1,13,17,12,18,12,17,30,16,31,0,12,16,12,17,14,0,13,0,14,17,13,16,13,18,13,17,12,17,13,17,0,12,18,30,0,12,18,1
0,0,1,30,0,31,31,0,0,30,1,27,3,0,0,30,31,26,3,27,1,28,0,28,0,30,0,31,3,28,0,30,1,0,0,28,31,0,3,0,0,30,0,0,1,0,0,0,31,0,31,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,0,0,31,0,31,31,0,31,0,0,0,0,0,31,0,0,0,14,17,0,0,1,13,17,0,31,13,31,30,16,31,1,14,17,14,18,15,1,14,1,14,16,15,17,0,17,0,16,0,17,13,16,0,0,31,30,0,0,18,1
0,0,3,29,0,31,31,0,0,29,1,25,5,0,0,30,31,24,5,25,1,26,1,26,0,30,0,30,5,25,0,30,1,0,0,26,31,0,5,0,0,30,1,0,1,0,0,0,31,0,31,18,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,11,12,19,12,19,31,0,31,0,12,0,12,0,31,0,12,0,9,22,0,0,1,8,22,0,31,8,31,30,21,31,1,9,22,9,23,10,1,9,1,9,21,10,22,0,22,0,21,0,22,8,21,0,0,31,30,0,0,23,1
11,11,16,15,13,19,19,12,14,17,15,14,17,12,11,16,18,13,17,13,13,14,14,13,13,17,13,17,17,13,13,15,15,12,12,14,19,12,17,12,11,18,14,12,13,12,12,12,31,31,0,31,0,0,31,31,0,0,0,0,31,31,0,31,0,31,0,0,0,31,0,0,0,31,0,31,0,0,31,0,0,0,0,31,31,0,0,31,30,15,0,0,1,15,16,0,31,14,31,30,0,31,0,14,1,14,16,31,0,15,1,30,0,30,0,0,16,0,0,0,1,15,0,0,0,31,30,0,0,16,1
0,0,29,22,0,31,30,0,8,23,8,1,30,1,0,23,29,0,29,1,1,1,7,1,6,30,1,24,29,1,7,23,8,1,0,1,30,0,30,1,0,30,7,1,1,1,0,1,29,18,4,31,0,8,22,30,1,9,1,9,23,29,0,29,1,30,0,9,1,30,0,0,0,31,0,31,8,1,30,1,0,1,0,22,29,1,0,23,30,11,0,0,1,18,13,0,31,16,31,30,0,31,0,18,1,18,13,31,1,18,1,30,0,30,1,0,13,0,0,0,1,18,0,0,0,31,30,0,0,13,1
0,7,22,7,1,31,23,7,22,9,22,8,23,7,0,8,22,7,22,7,1,8,21,8,21,30,1,9,22,7,21,8,23,8,0,8,23,7,23,7,0,30,22,8,1,8,0,8,0,31,0,31,0,0,31,0,0,0,0,0,31,31,31,0,31,31,0,0,31,31,0,0,0,31,0,31,0,31,0,0,0,31,0,31,0,31,0,31,17,13,0,0,1,17,14,0,31,16,31,30,12,31,0,16,13,16,14,18,0,17,1,18,13,17,12,0,14,0,13,0,13,17,13,0,0,31,30,0,0,14,1
21,0,23,8,21,9,31,0,22,8,22,7,24,0,22,9,31,6,24,7,22,7,22,7,21,8,22,9,24,7,22,8,22,0,22,7,31,0,24,0,21,9,22,0,22,0,22,0,0,30,0,30,0,0,30,1,0,0,0,0,30,31,30,1,30,31,0,0,30,31,0,0,0,31,0,30,1,30,0,0,1,31,0,31,0,30,0,30,15,15,14,15,1,15,15,14,16,14,15,30,14,31,0,14,14,14,15,16,0,15,0,16,15,15,14,15,16,15,15,14,15,15,15,0,14,16,30,0,14,16,1
10,11,17,15,12,20,19,12,14,17,15,13,18,11,11,16,18,12,18,12,12,13,13,13,13,18,12,17,17,12,13,16,15,12,11,13,19,11,18,12,11,19,14,12,12,12,11,12,31,31,0,31,0,0,31,31,0,0,0,0,31,31,0,31,0,31,0,0,0,31,0,0,0,31,0,31,0,0,31,0,0,0,0,31,31,0,0,31,30,13,0,0,1,17,14,0,31,16,31,30,0,31,0,16,1,16,14,31,0,17,1,30,0,30,0,0,14,0,0,0,1,17,0,0,0,31,30,0,0,14,1
0,0,28,7,1,31,31,0,23,9,23,2,29,0,0,8,31,1,29,2,1,2,22,2,21,30,1,9,29,2,22,8,23,0,0,2,31,0,29,0,0,30,22,0,1,0,0,0,0,31,0,31,0,0,31,0,0,0,0,0,31,31,31,0,31,31,0,0,31,31,0,0,0,31,0,31,0,31,0,0,0,31,0,31,0,31,0,31,18,12,7,8,1,18,13,8,23,17,22,30,11,31,0,17,11,17,12,19,0,18,0,19,12,18,11,8,13,8,12,7,12,18,12,0,7,23,30,0,7,13,1
0,1,6,22,0,31,29,3,6,23,8,23,7,1,0,23,27,22,8,22,1,24,6,23,6,30,0,24,6,22,6,23,8,3,0,23,28,1,8,3,0,30,7,2,1,3,0,2,31,0,31,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,0,0,31,0,31,31,0,31,0,0,0,0,0,31,0,0,0,21,9,0,0,1,21,9,0,31,21,31,30,9,31,1,22,10,21,10,22,1,22,1,21,9,22,9,0,9,0,9,0,10,21,9,0,0,31,30,0,0,10,1
20,0,23,8,21,10,31,0,22,8,22,7,24,0,21,9,31,6,24,7,22,7,22,7,21,8,22,9,24,7,22,8,22,0,21,7,31,0,24,0,20,9,22,0,22,0,21,0,0,31,0,31,0,0,31,0,0,0,0,0,31,31,31,0,31,31,0,0,31,31,0,0,0,31,0,31,0,31,0,0,0,31,0,31,0,31,0,31,13,17,12,13,1,13,17,12,18,12,17,30,16,31,0,12,16,12,17,14,0,13,0,14,17,13,16,13,18,13,17,12,17,13,17,0,12,18,30,0,12,18,1
