@relation 'Sax dominant'

@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMff numeric
@attribute o1atLff numeric
@attribute o1atMhh numeric
@attribute o1atLhh numeric
@attribute o1atMhi numeric
@attribute o1atLhi numeric
@attribute o1atMfg numeric
@attribute o1atLfg numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMfh numeric
@attribute o1atLfh numeric
@attribute o1atMdf numeric
@attribute o1atLdf numeric
@attribute o1atMdh numeric
@attribute o1atLdh numeric
@attribute o1atMdk numeric
@attribute o1atLdk numeric
@attribute o1atMgd numeric
@attribute o1atLgd numeric
@attribute o1atMge numeric
@attribute o1atLge numeric
@attribute o1atMig numeric
@attribute o1atLig numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMkj numeric
@attribute o1atLkj numeric
@attribute o1atMih numeric
@attribute o1atLih numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atLkk numeric
@attribute o1atMii numeric
@attribute o1atLii numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMee numeric
@attribute o1atLee numeric
@attribute o1atMef numeric
@attribute o1atLef numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMgh numeric
@attribute o1atLgh numeric
@attribute o1atMgi numeric
@attribute o1atLgi numeric
@attribute o1atMeg numeric
@attribute o1atLeg numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMcf numeric
@attribute o1atLcf numeric
@attribute o1atMeh numeric
@attribute o1atLeh numeric
@attribute o1atMcg numeric
@attribute o1atLcg numeric
@attribute o1atMak numeric
@attribute o1atLak numeric
@attribute o1atMhe numeric
@attribute o1atLhe numeric
@attribute o1atMhf numeric
@attribute o1atLhf numeric
@attribute o1atMfd numeric
@attribute o1atLfd numeric
@attribute o1atMji numeric
@attribute o1atLji numeric
@attribute o1atMhg numeric
@attribute o1atLhg numeric
@attribute o1atMfe numeric
@attribute o1atLfe numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMhj numeric
@attribute o1atLhj numeric
@attribute o1atMdg numeric
@attribute o1atLdg numeric
@attribute o1atMif numeric
@attribute o1atLif numeric
@attribute o1atMgf numeric
@attribute o1atLgf numeric
@attribute o1atMgg numeric
@attribute o1atLgg numeric
@attribute o1atMei numeric
@attribute o1atLei numeric
@attribute o1atMjh numeric
@attribute o1atLjh numeric
@attribute o1atMfi numeric
@attribute o1atLfi numeric
@attribute o1atMek numeric
@attribute o1atLek numeric
@attribute o1atMfj numeric
@attribute o1atLfj numeric
@attribute o1atMjg numeric
@attribute o1atLjg numeric
@attribute o1atMgj numeric
@attribute o1atLgj numeric
@attribute o1atMfc numeric
@attribute o1atLfc numeric
@attribute o1atMki numeric
@attribute o1atLki numeric
@attribute o1atMhk numeric
@attribute o1atLhk numeric
@attribute o1atMkh numeric
@attribute o1atLkh numeric
@attribute o1atMjd numeric
@attribute o1atLjd numeric
@attribute o1atMhd numeric
@attribute o1atLhd numeric
@attribute o1atMje numeric
@attribute o1atLje numeric
@attribute o1atMij numeric
@attribute o1atLij numeric
@attribute o1atMjj numeric
@attribute o1atLjj numeric
@attribute o1atMjf numeric
@attribute o1atLjf numeric
@attribute o1atMie numeric
@attribute o1atLie numeric
@attribute o1atMck numeric
@attribute o1atLck numeric
@attribute o1atMgk numeric
@attribute o1atLgk numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMfk numeric
@attribute o1atLfk numeric
@attribute o1atMci numeric
@attribute o1atLci numeric
@attribute o1atMgc numeric
@attribute o1atLgc numeric
@attribute o1atMej numeric
@attribute o1atLej numeric
@attribute o1atMaa numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMbk numeric
@attribute o1atLbk numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMbf numeric
@attribute o1atLbf numeric
@attribute o1atMfb numeric
@attribute o1atLfb numeric
@attribute o1atMkf numeric
@attribute o1atLkf numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMdi numeric
@attribute o1atLdi numeric
@attribute o1atMkg numeric
@attribute o1atLkg numeric
@attribute o1atMaf numeric
@attribute o1atLaf numeric
@attribute o1atMjk numeric
@attribute o1atLjk numeric
@attribute o1atMah numeric
@attribute o1atLah numeric
@attribute o1atMbj numeric
@attribute o1atLbj numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMch numeric
@attribute o1atLch numeric
@attribute o1atMbh numeric
@attribute o1atLbh numeric
@attribute o1atMhc numeric
@attribute o1atLhc numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMbi numeric
@attribute o1atLbi numeric
@attribute o1atMic numeric
@attribute o1atLic numeric
@attribute destClass {1,3,2}

@data
12,85,60,28,83,13,84,6,64,21,17,69,67,13,23,42,23,17,25,4,22,26,49,24,76,6,4,70,90,3,84,6,20,68,2,85,3,1,94,36,58,46,36,4,89,76,13,76,6,47,25,4,70,5,43,50,16,5,26,1,5,50,15,67,15,22,42,87,3,76,15,46,39,3,89,85,5,23,26,67,6,66,21,73,18,50,6,86,5,67,6,52,3,67,5,77,5,76,5,5,43,88,3,88,3,87,4,24,6,23,17,51,5,86,3,88,3,68,5,50,6,6,4,78,3,0,95,69,3,5,7,5,26,50,5,0,0,95,0,70,1,4,0,94,0,94,0,43,0,43,68,4,0,89,23,7,77,4,0,44,91,2,0,18,0,6,0,94,5,17,0,17,5,17,0,90,0,89,0,71,0,7,5,7,1
12,90,60,26,83,12,84,5,65,21,18,68,67,13,23,41,23,16,25,4,23,26,50,25,77,6,1,70,90,3,84,6,21,68,2,85,3,0,94,36,58,47,36,0,92,76,13,77,6,49,25,1,70,2,42,51,15,2,26,1,5,51,15,67,14,23,41,87,3,77,14,47,39,0,92,85,5,23,26,67,6,66,21,74,18,51,6,86,5,67,6,53,3,67,5,78,5,77,5,2,42,88,3,88,3,87,4,24,6,24,16,52,6,86,3,88,3,68,5,51,7,3,4,79,3,0,95,69,3,2,7,2,26,51,5,0,0,95,0,70,1,4,0,94,0,94,0,42,0,42,68,4,0,92,23,7,78,4,0,43,91,2,0,17,0,6,0,94,2,16,0,16,2,16,0,93,0,92,0,71,0,7,2,7,3
18,94,51,31,73,12,78,9,57,21,26,61,62,18,28,43,32,23,34,3,33,30,48,30,71,10,0,61,91,3,80,10,28,61,2,87,7,0,94,39,46,42,36,0,94,66,16,70,12,46,25,0,61,0,43,49,20,0,30,1,4,51,23,60,20,33,43,89,5,67,13,46,38,0,94,79,4,30,30,64,14,54,25,60,17,50,13,80,5,63,12,52,2,63,4,71,5,70,4,0,43,89,3,81,2,80,3,33,5,33,23,51,5,88,3,90,3,64,5,51,14,1,3,72,2,0,95,65,2,0,14,0,30,50,4,0,0,95,0,61,1,3,0,94,0,94,0,43,0,43,64,3,0,94,32,14,71,3,0,44,92,2,0,24,0,5,0,94,0,23,0,23,0,23,0,95,0,94,0,62,0,14,0,14,2
10,94,61,28,83,9,85,6,66,22,17,74,67,12,19,40,20,13,21,3,20,26,54,25,80,7,0,74,91,3,85,6,17,74,2,87,3,0,94,42,64,50,37,0,94,80,11,80,6,53,25,0,74,0,40,53,13,0,26,1,4,54,13,68,13,19,40,89,3,80,13,50,37,0,94,86,4,20,26,68,7,68,22,77,19,53,7,87,4,67,6,55,3,67,4,81,5,80,4,0,40,89,3,88,2,87,3,20,5,20,13,54,5,88,3,90,3,68,5,54,7,1,3,82,2,0,95,69,2,0,7,0,26,53,5,0,0,95,0,74,1,3,0,94,0,94,0,40,0,40,68,3,0,94,20,7,81,3,0,41,92,2,0,14,0,5,0,94,0,13,0,13,0,13,0,95,0,94,0,75,0,7,0,7,3
4,94,67,25,84,7,86,5,70,16,11,83,72,10,11,35,11,12,12,3,11,20,58,20,82,7,0,83,91,3,87,5,10,83,2,89,4,0,94,49,76,55,35,0,94,80,8,81,5,57,20,0,83,0,35,58,12,0,20,1,4,59,12,74,11,11,35,90,4,80,11,54,34,0,94,86,3,11,20,74,7,73,15,77,13,58,7,87,4,73,6,60,3,73,3,82,4,81,3,0,35,90,3,88,2,87,3,11,4,11,12,59,4,89,3,90,3,74,4,59,7,1,3,83,2,0,95,75,2,0,7,0,20,58,4,0,0,95,0,83,1,3,0,94,0,94,0,35,0,35,74,3,0,94,11,7,82,3,0,36,92,2,0,13,0,4,0,94,0,12,0,12,0,12,0,95,0,94,0,84,0,7,0,7,1
0,94,62,21,80,10,82,7,64,15,0,94,70,14,0,32,0,19,1,4,0,22,59,22,74,8,0,94,90,4,82,7,0,94,3,84,6,0,94,51,94,55,32,0,94,72,11,74,8,57,22,0,94,0,32,60,19,0,22,1,5,62,19,70,16,0,32,87,5,72,11,57,32,0,94,83,6,0,22,72,10,64,17,66,12,61,10,84,6,71,8,63,4,71,6,75,7,74,6,0,32,87,4,85,3,84,4,0,7,0,19,62,7,86,5,89,4,72,7,62,10,1,4,76,3,0,95,73,3,0,10,0,22,61,7,0,0,95,0,94,1,4,0,94,0,94,0,32,0,32,72,4,0,94,0,10,75,4,0,33,91,3,0,20,0,7,0,94,0,19,0,19,0,19,0,95,0,94,0,95,0,10,0,10,1
16,94,60,28,83,13,84,6,64,20,23,66,67,15,27,42,28,17,29,4,28,26,50,26,76,6,0,66,90,3,84,6,23,66,2,85,3,0,94,38,54,46,37,0,94,76,13,76,6,50,25,0,66,0,42,51,17,0,26,1,5,51,17,67,15,28,42,87,3,76,15,48,37,0,94,85,5,28,26,67,6,66,22,73,18,51,7,86,5,67,6,53,4,67,5,77,5,76,5,0,42,88,3,88,3,87,4,28,6,28,17,52,6,86,3,88,3,68,5,51,7,1,4,78,3,0,95,69,3,0,7,0,26,51,6,0,0,95,0,66,1,4,0,94,0,94,0,42,0,42,68,4,0,94,28,7,77,4,0,43,91,2,0,18,0,6,0,94,0,17,0,17,0,17,0,95,0,94,0,67,0,7,0,7,3
6,94,67,24,85,6,86,4,71,16,10,82,72,9,10,35,12,10,13,3,12,21,59,21,83,6,0,82,91,3,86,4,10,82,2,87,3,0,94,48,76,54,33,0,94,82,8,82,5,58,19,0,82,0,35,58,10,0,21,1,4,59,10,73,10,12,35,89,3,82,9,56,33,0,94,87,3,12,21,73,6,72,18,80,15,58,6,88,4,72,5,60,3,72,4,84,5,83,4,0,35,89,3,89,2,88,3,12,5,12,10,59,5,88,3,90,3,73,5,59,6,1,3,85,2,0,95,74,2,0,6,0,21,58,5,0,0,95,0,82,1,3,0,94,0,94,0,35,0,35,73,3,0,94,12,6,84,3,0,36,92,2,0,11,0,5,0,94,0,10,0,10,0,10,0,95,0,94,0,83,0,6,0,6,3
23,94,53,29,81,11,84,7,59,21,28,59,62,16,29,40,34,19,36,4,35,30,54,30,75,8,0,59,90,4,85,8,33,59,3,88,5,0,94,43,47,45,33,0,94,73,14,74,7,51,24,0,59,0,40,52,17,0,30,1,5,54,19,63,19,35,40,89,5,74,15,49,38,0,94,84,4,33,30,64,9,60,25,67,19,53,8,85,5,63,7,55,3,63,4,75,5,74,4,0,40,89,4,86,3,85,4,35,5,35,19,54,5,88,4,89,4,64,5,54,9,1,4,76,3,0,95,65,3,0,9,0,30,53,4,0,0,95,0,59,1,4,0,94,0,94,0,40,0,40,64,4,0,94,34,9,75,4,0,41,91,3,0,20,0,5,0,94,0,19,0,19,0,19,0,95,0,94,0,60,0,9,0,9,3
20,92,50,33,74,11,79,7,55,23,25,58,61,19,28,48,34,23,36,3,35,31,42,30,71,12,1,59,91,3,81,10,26,59,2,87,6,0,94,31,44,38,38,0,93,65,15,70,11,42,24,1,59,1,48,45,19,1,31,1,4,46,23,62,19,34,48,89,5,68,14,40,39,1,93,80,4,31,31,63,13,54,25,59,18,45,12,81,5,62,12,47,2,62,4,71,5,70,4,1,48,89,3,82,2,81,3,35,5,35,23,46,5,88,3,90,3,63,5,46,13,2,3,72,2,0,95,64,2,1,13,1,31,45,4,0,0,95,0,59,1,3,0,94,0,94,0,48,0,48,63,3,0,93,34,13,71,3,0,49,92,2,0,24,0,5,0,94,1,23,0,23,1,23,0,94,0,93,0,60,0,13,1,13,3
19,94,53,27,76,11,79,7,59,20,26,60,63,18,27,40,33,22,35,3,34,30,50,30,72,11,0,60,91,3,81,10,30,60,2,84,6,0,94,41,45,44,32,0,94,67,17,70,11,50,23,0,60,0,40,53,20,0,30,1,4,54,22,63,18,34,40,87,6,70,13,49,36,0,94,81,5,32,30,64,12,55,25,61,19,53,11,82,7,63,11,55,2,63,6,72,7,71,6,0,40,87,3,83,2,82,3,34,7,34,22,54,7,86,4,90,4,64,7,54,12,1,3,73,2,0,95,65,2,0,12,0,30,53,6,0,0,95,0,60,1,3,0,94,0,94,0,40,0,40,64,3,0,94,33,12,72,3,0,41,92,2,0,23,0,7,0,94,0,22,0,22,0,22,0,95,0,94,0,61,0,12,0,12,2
15,80,47,38,83,5,85,4,57,25,17,65,59,8,22,50,25,11,27,3,26,34,42,33,81,6,6,68,91,3,85,4,23,64,2,87,3,2,94,28,57,33,43,5,86,80,8,81,6,39,30,6,68,7,52,41,10,8,34,1,4,42,11,59,11,25,50,89,3,80,10,36,49,4,86,86,3,25,33,59,7,59,28,77,21,41,6,87,3,59,6,43,2,59,4,83,4,82,4,8,52,89,3,88,2,87,3,26,5,26,11,42,5,88,3,90,3,60,5,42,7,9,3,84,2,0,95,61,2,8,7,8,34,41,4,0,0,95,0,68,1,3,0,94,0,94,0,52,0,52,60,3,0,86,25,7,83,3,0,53,92,2,0,12,0,5,0,94,8,11,0,11,8,11,0,87,0,86,0,69,0,7,8,7,3
18,81,37,34,82,7,83,5,50,29,23,60,52,11,25,48,30,14,32,3,31,41,45,38,78,8,7,63,91,3,84,4,25,61,2,85,4,1,94,30,50,33,41,4,87,77,11,78,7,42,35,6,63,7,49,44,13,7,41,1,4,45,14,53,14,28,49,88,4,76,13,34,43,5,87,85,4,30,41,53,8,52,30,73,25,44,7,86,4,52,7,46,2,52,5,80,6,79,5,7,49,88,3,87,2,86,3,31,6,31,14,45,6,87,3,90,3,53,6,45,8,8,3,81,2,0,95,54,2,7,8,7,41,44,5,0,0,95,0,63,1,3,0,94,0,94,0,49,0,49,53,3,0,87,30,8,80,3,0,50,92,2,0,15,0,6,0,94,7,14,0,14,7,14,0,88,0,87,0,64,0,8,7,8,3
17,75,46,33,76,15,81,8,51,25,22,58,57,20,25,46,30,26,32,3,31,35,45,34,68,11,11,63,91,3,82,10,26,59,2,89,6,3,94,33,49,37,38,6,83,64,18,67,10,41,29,10,63,10,47,45,22,11,35,1,4,47,26,58,24,30,47,90,4,66,19,40,42,7,83,81,3,27,34,59,12,52,28,57,22,46,11,82,4,58,10,48,2,58,3,68,4,67,3,11,47,90,3,83,2,82,3,31,4,31,26,47,4,89,3,90,3,59,4,47,12,12,3,69,2,0,95,60,2,11,12,11,35,46,3,0,0,95,0,63,1,3,0,94,0,94,0,47,0,47,59,3,0,83,30,12,68,3,0,48,92,2,0,27,0,4,0,94,11,26,0,26,11,26,0,84,0,83,0,64,0,12,11,12,2
