@relation 'Sax dominant'

@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMff numeric
@attribute o1atLff numeric
@attribute o1atMjj numeric
@attribute o1atLjj numeric
@attribute o1atMhh numeric
@attribute o1atLhh numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMhi numeric
@attribute o1atLhi numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMdf numeric
@attribute o1atLdf numeric
@attribute o1atMfh numeric
@attribute o1atLfh numeric
@attribute o1atMhj numeric
@attribute o1atLhj numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMih numeric
@attribute o1atLih numeric
@attribute o1atMgf numeric
@attribute o1atLgf numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMaa numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMii numeric
@attribute o1atLii numeric
@attribute o1atMee numeric
@attribute o1atLee numeric
@attribute o1atLkk numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMij numeric
@attribute o1atLij numeric
@attribute o1atMgh numeric
@attribute o1atLgh numeric
@attribute o1atMeg numeric
@attribute o1atLeg numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMek numeric
@attribute o1atLek numeric
@attribute o1atMhf numeric
@attribute o1atLhf numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMji numeric
@attribute o1atLji numeric
@attribute o1atMhg numeric
@attribute o1atLhg numeric
@attribute o1atMfe numeric
@attribute o1atLfe numeric
@attribute o1atMgg numeric
@attribute o1atLgg numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMgi numeric
@attribute o1atLgi numeric
@attribute o1atMjk numeric
@attribute o1atLjk numeric
@attribute o1atMhk numeric
@attribute o1atLhk numeric
@attribute o1atMbj numeric
@attribute o1atLbj numeric
@attribute o1atMkj numeric
@attribute o1atLkj numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMef numeric
@attribute o1atLef numeric
@attribute o1atMfd numeric
@attribute o1atLfd numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMdg numeric
@attribute o1atLdg numeric
@attribute o1atMdk numeric
@attribute o1atLdk numeric
@attribute o1atMge numeric
@attribute o1atLge numeric
@attribute o1atMfg numeric
@attribute o1atLfg numeric
@attribute o1atMbg numeric
@attribute o1atLbg numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMik numeric
@attribute o1atLik numeric
@attribute o1atMgj numeric
@attribute o1atLgj numeric
@attribute o1atMbf numeric
@attribute o1atLbf numeric
@attribute o1atMki numeric
@attribute o1atLki numeric
@attribute o1atMig numeric
@attribute o1atLig numeric
@attribute o1atMcf numeric
@attribute o1atLcf numeric
@attribute o1atMeh numeric
@attribute o1atLeh numeric
@attribute o1atMgk numeric
@attribute o1atLgk numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMfi numeric
@attribute o1atLfi numeric
@attribute o1atMdh numeric
@attribute o1atLdh numeric
@attribute o1atMbi numeric
@attribute o1atLbi numeric
@attribute o1atMif numeric
@attribute o1atLif numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMfk numeric
@attribute o1atLfk numeric
@attribute o1atMjh numeric
@attribute o1atLjh numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMcg numeric
@attribute o1atLcg numeric
@attribute o1atMfj numeric
@attribute o1atLfj numeric
@attribute o1atMaf numeric
@attribute o1atLaf numeric
@attribute o1atMck numeric
@attribute o1atLck numeric
@attribute o1atMbh numeric
@attribute o1atLbh numeric
@attribute o1atMei numeric
@attribute o1atLei numeric
@attribute o1atMej numeric
@attribute o1atLej numeric
@attribute o1atMhe numeric
@attribute o1atLhe numeric
@attribute o1atMch numeric
@attribute o1atLch numeric
@attribute o1atMdi numeric
@attribute o1atLdi numeric
@attribute o1atMgd numeric
@attribute o1atLgd numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMjg numeric
@attribute o1atLjg numeric
@attribute o1atMdj numeric
@attribute o1atLdj numeric
@attribute o1atMfc numeric
@attribute o1atLfc numeric
@attribute o1atMhc numeric
@attribute o1atLhc numeric
@attribute o1atMie numeric
@attribute o1atLie numeric
@attribute o1atMbk numeric
@attribute o1atLbk numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMci numeric
@attribute o1atLci numeric
@attribute o1atMjf numeric
@attribute o1atLjf numeric
@attribute o1atMcj numeric
@attribute o1atLcj numeric
@attribute o1atMkh numeric
@attribute o1atLkh numeric
@attribute o1atMgb numeric
@attribute o1atLgb numeric
@attribute destClass {1,2}

@data
35,64,21,91,45,51,91,12,65,42,22,71,67,26,36,58,36,53,46,44,67,13,23,71,67,27,46,48,36,58,3,28,69,80,25,41,57,3,29,64,81,13,49,43,42,48,4,66,43,4,46,44,29,65,81,13,50,44,42,52,48,47,3,72,50,27,92,3,68,3,24,14,91,3,3,92,42,52,36,52,23,65,36,49,37,4,42,48,45,48,24,49,29,58,30,58,82,3,50,14,24,53,81,3,50,27,30,53,43,44,51,4,3,91,23,65,24,59,47,28,37,45,24,28,46,27,3,71,47,4,67,13,4,59,30,49,47,14,4,53,30,4,24,45,43,28,43,14,42,44,30,45,37,28,36,48,3,65,50,13,37,14,29,52,29,44,42,27,24,4,23,58,30,28,46,13,30,14,67,3,23,48,2.0
31,66,21,87,35,60,91,7,71,45,23,72,72,20,31,63,31,62,36,47,73,8,22,72,73,21,35,58,32,62,5,28,71,83,19,32,61,3,29,67,85,8,46,47,33,57,7,67,34,3,36,47,28,66,85,9,47,46,33,61,45,57,7,73,46,21,92,3,74,3,23,10,91,3,6,89,32,60,32,61,22,66,32,59,33,4,33,58,36,57,23,59,28,62,29,63,86,3,47,9,23,62,85,3,47,21,29,62,33,47,48,3,6,88,23,67,23,63,36,21,32,48,23,22,36,21,6,72,37,3,73,9,7,63,29,59,36,9,7,62,29,4,23,48,33,21,33,9,33,47,29,48,32,22,32,58,6,66,47,9,32,10,28,61,28,47,33,21,23,4,22,62,29,22,36,9,29,10,73,3,22,58,1.0
31,66,21,91,38,54,91,8,67,41,23,72,69,25,32,63,32,56,39,42,69,9,22,72,69,25,39,54,32,62,3,28,71,84,23,38,61,3,29,67,85,9,51,42,38,55,4,67,40,3,39,43,28,66,85,9,51,43,38,55,49,54,4,73,51,25,92,3,70,3,23,10,91,3,3,92,38,55,32,55,22,66,32,56,33,4,39,55,38,54,23,56,28,62,29,63,86,3,51,9,23,56,85,3,51,25,29,56,39,43,52,3,3,91,23,67,23,63,39,25,32,44,23,26,39,25,3,72,40,3,69,9,4,63,29,56,39,9,4,56,29,4,23,44,39,25,39,9,39,43,29,44,32,26,32,55,3,66,51,9,32,10,28,55,28,43,39,25,23,4,22,62,29,26,39,9,29,10,69,3,22,55,1.0
29,65,24,83,38,58,91,9,68,45,26,69,71,23,30,65,30,60,39,47,71,10,25,69,71,23,38,55,29,65,9,29,68,83,20,34,65,3,29,66,84,10,47,47,35,56,11,66,36,4,39,47,29,65,84,10,47,46,35,59,45,54,11,70,47,23,92,3,72,3,26,11,91,3,10,85,34,60,29,59,25,65,30,56,30,4,35,55,39,54,26,56,29,65,30,66,85,3,47,10,26,60,84,3,47,23,30,60,35,48,48,3,10,84,26,66,26,66,39,23,30,48,26,24,39,23,10,69,40,3,71,10,11,66,30,56,39,10,11,60,30,4,26,48,35,24,35,11,35,47,30,48,30,24,29,55,10,65,47,10,30,11,29,59,29,47,35,23,26,4,25,65,30,24,39,10,30,11,71,3,25,55,2.0
31,66,21,87,38,57,91,5,71,37,23,72,72,21,32,63,32,59,39,40,73,6,22,72,73,21,38,55,32,62,5,28,71,87,19,35,61,3,29,67,88,5,54,40,36,55,7,67,37,3,39,40,28,66,88,6,54,39,36,58,51,54,7,73,54,21,92,3,74,3,23,7,91,3,6,89,35,58,32,58,22,66,32,56,33,4,36,55,39,54,23,56,28,62,29,63,89,3,54,6,23,59,88,3,54,21,29,59,36,40,55,3,6,88,23,67,23,63,39,21,32,41,23,22,39,21,6,72,40,3,73,6,7,63,29,56,39,6,7,59,29,4,23,41,36,21,36,6,36,40,29,41,32,22,32,55,6,66,54,6,32,7,28,58,28,40,36,21,23,4,22,62,29,22,39,6,29,7,73,3,22,55,1.0
33,68,12,87,57,45,86,14,69,27,13,82,72,23,35,59,35,47,59,29,72,15,13,80,71,22,57,35,35,59,5,24,80,80,21,45,57,6,25,69,80,15,65,29,47,35,7,70,48,8,58,29,25,69,80,14,64,27,47,47,63,33,7,82,66,23,88,7,72,8,14,15,87,7,7,89,46,47,35,47,13,69,35,35,36,8,47,35,59,34,13,36,25,59,25,59,81,8,66,15,13,48,80,7,65,22,25,47,47,29,66,8,5,88,13,70,13,60,60,23,35,29,14,24,59,23,6,81,60,8,71,14,7,60,25,35,60,15,7,48,26,8,13,30,48,23,48,15,47,29,25,29,36,23,35,35,6,69,65,14,36,15,25,47,25,29,47,23,14,8,13,59,26,23,59,14,26,15,71,7,13,35,2.0
38,67,17,87,51,50,91,17,72,33,18,76,73,21,39,56,40,52,53,36,73,18,18,76,72,21,53,41,39,55,5,25,75,75,20,42,54,3,27,68,76,18,59,34,44,42,7,69,44,4,53,35,26,68,76,17,59,35,43,51,57,39,6,77,59,21,92,3,74,3,19,19,91,3,6,89,44,51,39,51,18,68,40,42,40,4,43,41,52,42,19,42,26,55,27,56,77,3,59,18,19,52,76,3,59,21,27,52,44,36,60,3,6,88,19,68,19,56,53,22,40,36,19,22,53,21,6,76,54,4,73,18,7,56,27,42,53,19,7,52,27,4,19,36,44,22,44,19,43,35,27,36,40,22,39,41,6,68,59,18,40,19,26,51,26,35,43,21,19,4,18,55,27,22,53,18,27,19,73,3,18,41,1.0
32,61,16,91,53,46,91,17,69,30,17,77,70,23,33,60,34,47,55,33,70,18,17,77,70,24,54,40,33,61,3,31,76,75,23,46,60,3,31,62,76,18,61,33,48,41,3,63,48,4,54,32,32,62,76,18,62,32,47,47,60,39,3,78,62,25,92,3,71,3,18,19,91,3,3,92,47,47,33,47,17,62,34,41,34,4,47,40,55,40,18,41,32,61,32,61,77,3,62,19,18,48,76,3,62,24,33,48,48,33,63,4,3,91,17,62,18,61,55,25,34,33,18,25,54,24,3,77,55,4,70,18,4,62,33,41,55,19,4,48,33,4,18,33,48,25,48,19,47,32,33,33,34,25,33,40,3,62,62,18,34,19,32,47,32,32,47,24,18,4,17,61,33,25,54,18,33,19,70,3,17,40,1.0
32,65,24,91,40,62,91,13,67,38,25,69,68,25,32,63,32,63,42,40,69,14,25,69,69,25,42,52,32,62,3,29,68,79,23,32,62,3,30,65,80,13,55,39,33,52,4,66,33,4,42,39,29,65,80,14,55,39,32,62,54,50,4,70,55,25,92,3,70,3,26,15,91,3,3,92,32,62,32,62,25,65,33,53,33,4,32,52,42,52,26,53,29,62,30,63,81,3,55,14,26,63,80,3,55,25,30,63,33,40,56,3,3,91,26,66,26,63,42,26,33,40,26,26,42,25,3,69,43,4,69,14,4,63,30,53,42,15,4,63,30,4,26,40,33,26,33,15,32,39,30,40,33,26,32,52,3,65,55,14,33,15,29,62,29,39,32,25,26,4,25,62,30,26,42,14,30,15,69,3,25,52,2.0
32,66,21,91,38,54,91,5,66,47,23,72,68,26,33,62,33,56,39,48,68,6,22,72,68,26,39,54,33,61,3,28,71,87,24,38,60,3,29,67,88,6,46,48,39,55,4,67,40,3,39,48,28,66,88,6,46,48,38,55,45,54,4,73,46,26,92,3,69,3,23,7,91,3,3,92,38,55,33,55,22,66,33,56,34,4,39,55,39,54,23,56,28,61,29,62,89,3,46,6,23,56,88,3,46,26,29,56,39,48,47,3,3,91,23,67,23,62,39,26,33,49,23,27,39,26,3,72,40,3,68,6,4,62,29,56,39,6,4,56,29,4,23,49,39,26,39,6,39,48,29,49,33,27,33,55,3,66,46,6,33,7,28,55,28,48,39,26,23,4,22,61,29,27,39,6,29,7,68,3,22,55,1.0
31,66,21,91,38,54,91,3,67,45,23,72,69,25,32,63,32,56,39,46,69,3,22,72,69,25,39,54,32,62,3,28,71,91,23,38,61,3,29,67,91,3,47,46,38,55,4,67,40,3,39,47,28,66,91,3,47,47,38,55,45,54,4,73,47,25,92,3,70,3,23,4,91,3,3,92,38,55,32,55,22,66,32,56,33,4,39,55,38,54,23,56,28,62,29,63,92,3,47,3,23,56,91,3,47,25,29,56,39,47,48,3,3,91,23,67,23,63,39,25,32,48,23,26,39,25,3,72,40,3,69,3,4,63,29,56,39,3,4,56,29,4,23,48,39,25,39,3,39,47,29,48,32,26,32,55,3,66,47,3,32,4,28,55,28,47,39,25,23,4,22,62,29,26,39,3,29,4,69,3,22,55,1.0
34,65,23,91,41,58,91,13,75,37,25,70,75,18,34,60,34,60,43,39,76,14,24,70,76,18,43,51,34,59,3,29,69,79,17,34,58,3,30,66,80,13,55,39,35,50,4,66,36,3,43,39,29,65,80,14,55,39,35,58,53,49,4,71,55,18,92,3,77,3,25,15,91,3,3,92,34,58,35,59,24,65,35,52,36,4,35,51,43,50,25,52,29,59,30,60,81,3,55,14,25,60,80,3,55,18,30,60,35,39,56,3,3,91,25,66,25,60,43,18,35,40,25,19,43,18,3,70,44,3,76,14,4,60,30,52,43,14,4,60,30,4,25,40,35,18,35,14,35,39,30,40,35,19,35,51,3,65,55,14,35,15,29,59,29,39,35,18,25,4,24,59,30,19,43,14,30,15,76,3,24,51,2.0
29,66,24,91,35,60,91,3,71,38,25,69,73,21,29,66,29,62,36,41,73,3,25,69,73,21,36,58,29,65,3,28,68,91,19,32,65,3,29,66,91,3,53,41,33,58,4,67,34,4,36,41,28,66,91,3,53,41,33,61,50,57,4,70,53,21,92,3,74,3,26,4,91,3,3,92,32,61,29,61,25,66,30,59,30,4,33,58,36,57,26,59,28,65,29,66,92,3,53,3,26,62,91,3,53,21,29,62,33,42,54,3,3,91,26,67,26,66,36,21,30,42,26,22,36,21,3,69,37,3,73,3,4,66,29,59,36,3,4,62,29,4,26,42,33,22,33,4,33,41,29,42,30,22,29,58,3,66,53,3,30,4,28,61,28,41,33,21,26,4,25,65,29,22,36,3,29,4,73,3,25,58,1.0
32,65,20,86,48,58,91,10,65,32,22,73,67,27,32,63,33,60,50,34,67,11,21,73,67,27,49,44,32,62,6,29,72,82,25,34,62,3,30,66,83,11,60,33,35,45,8,66,36,4,50,34,29,65,83,11,60,33,35,59,58,42,8,74,60,27,92,3,68,3,22,12,91,3,7,88,35,59,32,59,21,65,33,45,33,4,35,44,49,44,22,45,29,62,30,63,84,3,60,11,22,60,83,3,60,27,30,60,35,35,61,3,7,87,22,66,22,63,50,27,33,35,22,28,50,27,7,73,51,3,67,11,8,63,30,45,50,11,8,60,30,4,22,35,35,28,35,12,35,34,30,35,33,28,32,44,7,65,60,11,33,12,29,59,29,34,35,27,22,4,21,62,30,28,50,11,30,12,67,3,21,44,1.0
