@relation 'Sax dominant'

@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atLcc numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute destClass {1.0,2.0}

@data
60,56,33,29,36,59,63,32,36,59,63,32,36,32,36,32,1.0
60,62,29,28,31,64,64,32,31,64,63,31,31,32,31,31,1.0
59,61,27,30,31,65,62,33,30,64,62,33,31,33,30,33,2.0
64,60,29,26,32,63,67,29,32,63,66,28,32,29,32,28,1.0
59,52,37,29,40,55,63,33,40,55,62,32,40,33,40,32,2.0
59,60,31,29,33,62,63,33,33,62,62,32,33,33,33,32,1.0
52,59,30,37,33,62,55,40,33,62,55,40,33,40,33,40,1.0
59,62,28,30,31,65,62,33,30,64,62,33,31,33,30,33,1.0
59,59,32,29,34,61,63,33,34,61,62,32,34,33,34,32,1.0
58,57,30,30,34,61,62,34,34,61,61,33,34,34,34,33,1.0
59,59,32,29,34,61,63,33,34,61,62,32,34,33,34,32,1.0
60,58,33,28,35,60,64,32,35,60,63,31,35,32,35,31,1.0
56,64,25,30,28,67,61,35,28,67,60,34,28,35,28,34,2.0
62,59,32,26,34,61,66,30,34,61,65,29,34,30,34,29,2.0
58,57,34,33,36,59,60,35,36,59,60,35,36,35,36,35,2.0
61,58,32,28,35,61,64,31,34,60,64,31,35,31,34,31,2.0
57,66,25,29,27,68,62,34,27,68,61,33,27,34,27,33,1.0
61,52,37,28,40,55,64,31,40,55,64,31,40,31,40,31,1.0
58,63,25,29,29,67,62,33,28,66,62,33,29,33,28,33,2.0
56,56,34,31,37,59,60,35,36,58,60,35,37,35,36,35,1.0
59,57,34,32,36,59,61,34,36,59,61,34,36,34,36,34,1.0
63,58,33,25,35,60,67,29,35,60,66,28,35,29,35,28,1.0
62,62,28,26,31,65,66,30,30,64,65,29,31,30,30,29,1.0
58,58,31,30,34,61,62,34,34,61,61,33,34,34,34,33,2.0
58,56,34,31,37,59,61,34,36,58,61,34,37,34,36,34,2.0
62,61,29,28,32,64,65,31,31,63,64,30,32,31,31,30,1.0
58,58,33,30,35,60,62,34,35,60,61,33,35,34,35,33,2.0
55,52,39,33,41,54,59,37,41,54,58,36,41,37,41,36,1.0
60,60,28,29,32,64,63,32,31,63,63,32,32,32,31,32,2.0
50,63,28,36,30,65,55,41,30,65,54,40,30,41,30,40,2.0
52,58,31,36,34,61,56,40,34,61,55,39,34,40,34,39,2.0
55,59,30,34,33,62,58,37,33,62,58,37,33,37,33,37,2.0
60,58,32,29,35,61,63,32,34,60,63,32,35,32,34,32,2.0
56,56,35,35,37,58,58,37,37,58,58,37,37,37,37,37,2.0
61,59,30,27,33,62,65,31,33,62,64,30,33,31,33,30,2.0
63,68,22,27,25,71,66,30,24,70,65,29,25,30,24,29,2.0
59,61,28,27,31,64,64,32,31,64,63,31,31,32,31,31,1.0
52,63,26,36,29,66,56,40,29,66,55,39,29,40,29,39,1.0
59,57,34,32,36,59,61,34,36,59,61,34,36,34,36,34,2.0
60,59,32,28,34,61,64,32,34,61,63,31,34,32,34,31,1.0
59,68,22,30,25,71,62,33,24,70,62,33,25,33,24,33,1.0
57,62,28,32,31,65,60,35,30,64,60,35,31,35,30,35,2.0
59,59,28,29,32,63,63,33,32,63,62,32,32,33,32,32,1.0
59,60,30,30,33,63,62,33,32,62,62,33,33,33,32,33,1.0
58,57,34,33,36,59,60,35,36,59,60,35,36,35,36,35,1.0
52,61,28,37,31,64,55,40,31,64,55,40,31,40,31,40,2.0
56,55,36,35,38,57,58,37,38,57,58,37,38,37,38,37,2.0
54,59,30,35,33,62,57,38,33,62,57,38,33,38,33,38,2.0
60,57,30,28,34,61,64,32,34,61,63,31,34,32,34,31,1.0
58,56,34,33,37,59,60,35,36,58,60,35,37,35,36,35,2.0
57,55,36,31,38,57,61,35,38,57,60,34,38,35,38,34,2.0
52,60,29,37,32,63,55,40,32,63,55,40,32,40,32,40,2.0
54,61,28,33,31,64,58,37,31,64,58,37,31,37,31,37,2.0
55,62,29,34,31,64,58,37,31,64,58,37,31,37,31,37,2.0
59,54,34,30,38,58,62,33,37,57,62,33,38,33,37,33,2.0
58,57,34,33,36,59,60,35,36,59,60,35,36,35,36,35,2.0
55,56,35,33,37,58,59,37,37,58,58,36,37,37,37,36,1.0
52,57,32,35,35,60,56,39,35,60,56,39,35,39,35,39,2.0
59,57,30,29,34,61,63,33,34,61,62,32,34,33,34,32,1.0
58,57,32,29,35,60,62,33,35,60,62,33,35,33,35,33,2.0
59,60,27,29,31,64,63,33,31,64,62,32,31,33,31,32,1.0
60,57,32,29,35,60,63,32,35,60,63,32,35,32,35,32,1.0
56,56,35,35,37,58,58,37,37,58,58,37,37,37,37,37,2.0
60,61,30,28,32,63,64,32,32,63,63,31,32,32,32,31,2.0
58,55,33,31,37,59,61,34,36,58,61,34,37,34,36,34,2.0
57,62,29,34,31,64,59,36,31,64,59,36,31,36,31,36,2.0
59,59,32,29,34,61,63,33,34,61,62,32,34,33,34,32,2.0
60,62,29,28,31,64,64,32,31,64,63,31,31,32,31,31,1.0
58,57,34,33,36,59,60,35,36,59,60,35,36,35,36,35,1.0
59,58,33,32,35,60,61,34,35,60,61,34,35,34,35,34,1.0
55,59,30,36,33,62,57,38,33,62,57,38,33,38,33,38,2.0
61,60,30,27,33,63,65,31,32,62,64,30,33,31,32,30,2.0
59,59,32,32,34,61,61,34,34,61,61,34,34,34,34,34,1.0
51,64,25,33,28,67,57,39,28,67,56,38,28,39,28,38,2.0
53,63,28,33,30,65,58,38,30,65,57,37,30,38,30,37,2.0
59,60,31,27,33,62,64,32,33,62,63,31,33,32,33,31,2.0
59,53,38,32,40,55,61,34,40,55,61,34,40,34,40,34,1.0
56,53,35,33,39,57,59,36,38,56,59,36,39,36,38,36,1.0
53,64,25,33,28,67,58,38,28,67,57,37,28,38,28,37,1.0
55,63,30,33,31,64,59,37,31,64,58,36,31,37,31,36,1.0
56,62,29,35,31,64,58,37,31,64,58,37,31,37,31,37,2.0
61,60,31,25,33,62,66,30,33,62,65,29,33,30,33,29,2.0
59,57,34,31,36,59,62,34,36,59,61,33,36,34,36,33,2.0
58,52,37,30,40,55,62,34,40,55,61,33,40,34,40,33,2.0
59,58,33,27,35,60,64,32,35,60,63,31,35,32,35,31,2.0
62,54,35,29,38,57,64,31,38,57,64,31,38,31,38,31,1.0
57,53,38,31,40,55,61,35,40,55,60,34,40,35,40,34,2.0
61,59,30,28,33,62,64,31,33,62,64,31,33,31,33,31,1.0
64,67,24,27,26,69,66,29,26,69,66,29,26,29,26,29,1.0
61,60,31,27,33,62,65,31,33,62,64,30,33,31,33,30,2.0
62,62,28,26,31,65,66,30,30,64,65,29,31,30,30,29,1.0
60,62,29,28,31,64,64,32,31,64,63,31,31,32,31,31,1.0
59,66,24,29,27,69,63,33,26,68,62,32,27,33,26,32,2.0
60,62,28,28,31,65,64,32,30,64,63,31,31,32,30,31,2.0
59,61,28,28,31,64,63,32,31,64,63,32,31,32,31,32,1.0
59,56,35,29,37,58,63,33,37,58,62,32,37,33,37,32,1.0
58,57,34,33,36,59,60,35,36,59,60,35,36,35,36,35,1.0
60,57,34,28,36,59,64,32,36,59,63,31,36,32,36,31,1.0
59,60,30,30,33,63,62,33,32,62,62,33,33,33,32,33,2.0
59,59,28,29,32,63,63,33,32,63,62,32,32,33,32,32,1.0
61,60,31,27,33,62,65,31,33,62,64,30,33,31,33,30,2.0
57,57,34,34,36,59,59,36,36,59,59,36,36,36,36,36,1.0
60,58,29,28,33,62,64,32,33,62,63,31,33,32,33,31,2.0
58,64,27,30,29,66,62,34,29,66,61,33,29,34,29,33,2.0
53,59,30,36,33,62,56,39,33,62,56,39,33,39,33,39,2.0
56,57,34,35,36,59,58,37,36,59,58,37,36,37,36,37,2.0
61,59,30,28,33,62,64,31,33,62,64,31,33,31,33,31,1.0
49,62,27,40,30,65,52,43,30,65,52,43,30,43,30,43,2.0
59,56,35,32,37,58,61,34,37,58,61,34,37,34,37,34,2.0
58,57,34,28,36,59,63,33,36,59,62,32,36,33,36,32,2.0
60,58,29,28,33,62,64,32,33,62,63,31,33,32,33,31,1.0
59,57,30,29,34,61,63,33,34,61,62,32,34,33,34,32,1.0
61,57,34,30,36,59,63,32,36,59,63,32,36,32,36,32,1.0
51,64,27,38,29,66,54,41,29,66,54,41,29,41,29,41,1.0
58,62,26,31,30,66,61,34,29,65,61,34,30,34,29,34,1.0
55,58,33,36,35,60,57,38,35,60,57,38,35,38,35,38,2.0
59,58,33,32,35,60,61,34,35,60,61,34,35,34,35,34,2.0
60,61,28,30,31,64,63,33,31,64,62,32,31,33,31,32,2.0
62,53,36,27,39,56,65,30,39,56,65,30,39,30,39,30,1.0
57,55,36,34,38,57,59,36,38,57,59,36,38,36,38,36,2.0
55,59,30,32,33,62,59,36,33,62,59,36,33,36,33,36,1.0
62,60,31,26,33,62,66,30,33,62,65,29,33,30,33,29,2.0
56,56,35,35,37,58,58,37,37,58,58,37,37,37,37,37,2.0
62,53,36,29,39,56,64,31,39,56,64,31,39,31,39,31,1.0
56,60,31,30,33,62,61,35,33,62,60,34,33,35,33,34,2.0
58,60,27,30,31,64,62,34,31,64,61,33,31,34,31,33,2.0
59,62,29,29,31,64,63,33,31,64,62,32,31,33,31,32,1.0
58,55,36,33,38,57,60,35,38,57,60,35,38,35,38,35,1.0
60,57,34,31,36,59,62,33,36,59,62,33,36,33,36,33,2.0
58,56,35,33,37,58,60,35,37,58,60,35,37,35,37,35,2.0
57,56,33,34,36,59,59,36,36,59,59,36,36,36,36,36,2.0
54,57,34,37,36,59,56,39,36,59,56,39,36,39,36,39,2.0
66,71,21,24,23,73,69,27,22,72,68,26,23,27,22,26,1.0
55,59,31,32,34,62,59,36,33,61,59,36,34,36,33,36,2.0
58,57,34,30,36,59,62,34,36,59,61,33,36,34,36,33,1.0
53,56,33,35,36,59,57,39,36,59,56,38,36,39,36,38,2.0
58,52,37,33,40,55,60,35,40,55,60,35,40,35,40,35,1.0
58,61,27,31,31,65,61,34,30,64,61,34,31,34,30,34,2.0
59,58,33,32,35,60,61,34,35,60,61,34,35,34,35,34,1.0
59,59,32,32,34,61,61,34,34,61,61,34,34,34,34,34,1.0
60,57,34,28,36,59,64,32,36,59,63,31,36,32,36,31,1.0
54,58,33,35,35,60,57,38,35,60,57,38,35,38,35,38,2.0
63,62,28,27,31,65,66,30,30,64,65,29,31,30,30,29,2.0
60,60,31,28,33,62,64,32,33,62,63,31,33,32,33,31,1.0
59,57,30,29,34,61,63,33,34,61,62,32,34,33,34,32,1.0
56,59,32,32,34,61,60,36,34,61,59,35,34,36,34,35,2.0
59,56,33,30,36,59,62,33,36,59,62,33,36,33,36,33,1.0
56,56,35,35,37,58,58,37,37,58,58,37,37,37,37,37,1.0
61,60,29,27,32,63,65,31,32,63,64,30,32,31,32,30,1.0
57,59,30,34,33,62,59,36,33,62,59,36,33,36,33,36,2.0
56,56,35,35,37,58,58,37,37,58,58,37,37,37,37,37,1.0
56,62,28,33,31,65,59,36,30,64,59,36,31,36,30,36,2.0
53,59,30,34,33,62,57,38,33,62,57,38,33,38,33,38,1.0
62,57,34,28,36,59,65,31,36,59,64,30,36,31,36,30,2.0
57,58,32,32,35,61,60,35,34,60,60,35,35,35,34,35,1.0
60,56,33,30,36,59,63,33,36,59,62,32,36,33,36,32,1.0
57,56,33,34,36,59,59,36,36,59,59,36,36,36,36,36,2.0
60,59,32,31,34,61,62,33,34,61,62,33,34,33,34,33,2.0
53,64,27,38,29,66,55,40,29,66,55,40,29,40,29,40,1.0
59,63,27,29,30,66,63,33,29,65,62,32,30,33,29,32,2.0
60,57,34,31,36,59,62,33,36,59,62,33,36,33,36,33,2.0
56,56,35,35,37,58,58,37,37,58,58,37,37,37,37,37,2.0
59,59,32,29,34,61,63,33,34,61,62,32,34,33,34,32,2.0
59,59,32,29,34,61,63,33,34,61,62,32,34,33,34,32,2.0
53,66,25,33,27,68,58,38,27,68,57,37,27,38,27,37,1.0
59,60,29,30,32,63,62,33,32,63,62,33,32,33,32,33,1.0
57,51,37,34,41,55,59,36,40,54,59,36,41,36,40,36,1.0
58,57,34,33,36,59,60,35,36,59,60,35,36,35,36,35,2.0
60,60,27,28,31,64,64,32,31,64,63,31,31,32,31,31,2.0
60,56,31,31,35,60,62,33,35,60,62,33,35,33,35,33,1.0
56,57,34,35,36,59,58,37,36,59,58,37,36,37,36,37,2.0
58,60,31,30,33,62,62,34,33,62,61,33,33,34,33,33,1.0
59,65,25,29,28,68,63,33,27,67,62,32,28,33,27,32,1.0
52,56,35,37,37,58,55,40,37,58,55,40,37,40,37,40,1.0
63,55,34,26,37,58,66,29,37,58,66,29,37,29,37,29,1.0
63,53,36,28,39,56,65,30,39,56,65,30,39,30,39,30,1.0
59,61,28,29,31,64,63,33,31,64,62,32,31,33,31,32,2.0
62,63,28,29,30,65,64,31,30,65,64,31,30,31,30,31,2.0
59,61,28,29,31,64,63,33,31,64,62,32,31,33,31,32,2.0
58,63,27,30,30,66,62,34,29,65,61,33,30,34,29,33,2.0
59,56,35,27,37,58,64,32,37,58,63,31,37,32,37,31,1.0
60,60,31,28,33,62,64,32,33,62,63,31,33,32,33,31,1.0
62,63,27,28,30,66,65,31,29,65,64,30,30,31,29,30,2.0
60,57,30,28,34,61,64,32,34,61,63,31,34,32,34,31,1.0
58,58,33,33,35,60,60,35,35,60,60,35,35,35,35,35,1.0
61,59,32,27,34,61,65,31,34,61,64,30,34,31,34,30,1.0
58,58,33,33,35,60,60,35,35,60,60,35,35,35,35,35,2.0
58,57,34,33,36,59,60,35,36,59,60,35,36,35,36,35,2.0
59,56,35,32,37,58,61,34,37,58,61,34,37,34,37,34,2.0
54,54,37,37,39,56,56,39,39,56,56,39,39,39,39,39,1.0
53,58,31,35,34,61,57,39,34,61,56,38,34,39,34,38,2.0
59,60,31,29,33,62,63,33,33,62,62,32,33,33,33,32,1.0
55,54,37,36,39,56,57,38,39,56,57,38,39,38,39,38,2.0
59,60,31,29,33,62,63,33,33,62,62,32,33,33,33,32,2.0
53,57,32,34,35,60,57,38,35,60,57,38,35,38,35,38,2.0
58,54,37,33,39,56,60,35,39,56,60,35,39,35,39,35,1.0
55,56,35,31,37,58,60,36,37,58,59,35,37,36,37,35,2.0
57,56,35,34,37,58,59,36,37,58,59,36,37,36,37,36,2.0
58,61,30,30,32,63,62,34,32,63,61,33,32,34,32,33,2.0
57,58,32,34,35,61,59,36,34,60,59,36,35,36,34,36,2.0
60,57,28,28,33,62,64,32,33,62,63,31,33,32,33,31,1.0
50,66,25,36,27,68,55,41,27,68,54,40,27,41,27,40,1.0
58,54,37,33,39,56,60,35,39,56,60,35,39,35,39,35,2.0
59,57,30,29,34,61,63,33,34,61,62,32,34,33,34,32,1.0
54,61,28,33,31,64,58,37,31,64,58,37,31,37,31,37,2.0
54,65,24,32,27,68,59,37,27,68,58,36,27,37,27,36,2.0
59,62,28,29,31,65,63,33,30,64,62,32,31,33,30,32,2.0
59,58,31,30,34,61,62,33,34,61,62,33,34,33,34,33,1.0
49,60,29,40,32,63,52,43,32,63,52,43,32,43,32,43,2.0
60,67,24,28,26,69,64,32,26,69,63,31,26,32,26,31,1.0
60,60,31,28,33,62,64,32,33,62,63,31,33,32,33,31,2.0
55,58,31,35,34,61,58,38,34,61,57,37,34,38,34,37,2.0
55,57,34,33,36,59,59,37,36,59,58,36,36,37,36,36,2.0
62,61,30,28,32,63,65,31,32,63,64,30,32,31,32,30,1.0
58,56,35,33,37,58,60,35,37,58,60,35,37,35,37,35,2.0
52,58,31,36,34,61,56,40,34,61,55,39,34,40,34,39,2.0
58,60,31,30,33,62,62,34,33,62,61,33,33,34,33,33,2.0
60,60,29,28,32,63,64,32,32,63,63,31,32,32,32,31,2.0
58,57,34,33,36,59,60,35,36,59,60,35,36,35,36,35,2.0
61,58,33,27,35,60,65,31,35,60,64,30,35,31,35,30,2.0
60,60,27,28,31,64,64,32,31,64,63,31,31,32,31,31,1.0
58,58,33,33,35,60,60,35,35,60,60,35,35,35,35,35,2.0
61,59,30,28,33,62,64,31,33,62,64,31,33,31,33,31,1.0
59,59,30,30,33,62,62,33,33,62,62,33,33,33,33,33,2.0
55,57,32,35,35,60,58,38,35,60,57,37,35,38,35,37,1.0
57,53,34,31,38,57,61,35,38,57,60,34,38,35,38,34,1.0
58,58,32,31,35,61,61,34,34,60,61,34,35,34,34,34,2.0
54,62,29,33,31,64,58,37,31,64,58,37,31,37,31,37,1.0
59,55,34,29,37,58,63,33,37,58,62,32,37,33,37,32,1.0
59,57,34,32,36,59,61,34,36,59,61,34,36,34,36,34,2.0
57,55,36,34,38,57,59,36,38,57,59,36,38,36,38,36,1.0
56,58,33,32,35,60,60,36,35,60,59,35,35,36,35,35,2.0
57,54,35,33,38,57,60,36,38,57,59,35,38,36,38,35,2.0
56,61,29,33,32,64,59,36,31,63,59,36,32,36,31,36,2.0
60,58,31,29,34,61,63,32,34,61,63,32,34,32,34,32,1.0
51,64,27,37,29,66,55,41,29,66,54,40,29,41,29,40,1.0
60,58,33,31,35,60,62,33,35,60,62,33,35,33,35,33,1.0
59,61,29,30,32,64,62,33,31,63,62,33,32,33,31,33,2.0
64,63,28,26,30,65,67,29,30,65,66,28,30,29,30,28,1.0
57,54,37,34,39,56,59,36,39,56,59,36,39,36,39,36,2.0
62,66,24,28,27,69,65,31,26,68,64,30,27,31,26,30,1.0
54,57,32,35,35,60,57,38,35,60,57,38,35,38,35,38,2.0
58,58,33,33,35,60,60,35,35,60,60,35,35,35,35,35,2.0
62,54,35,29,38,57,64,31,38,57,64,31,38,31,38,31,1.0
61,62,27,28,30,65,64,31,30,65,64,31,30,31,30,31,2.0
58,57,34,33,36,59,60,35,36,59,60,35,36,35,36,35,1.0
60,61,30,28,32,63,64,32,32,63,63,31,32,32,32,31,1.0
59,57,32,30,35,60,62,33,35,60,62,33,35,33,35,33,2.0
59,57,32,30,35,60,62,33,35,60,62,33,35,33,35,33,1.0
63,63,27,27,30,66,66,30,29,65,65,29,30,30,29,29,2.0
58,66,24,31,27,69,61,34,26,68,61,34,27,34,26,34,2.0
58,59,28,30,32,63,62,34,32,63,61,33,32,34,32,33,1.0
59,60,27,29,31,64,63,33,31,64,62,32,31,33,31,32,2.0
61,62,29,27,31,64,65,31,31,64,64,30,31,31,31,30,2.0
58,58,30,31,34,62,61,34,33,61,61,34,34,34,33,34,1.0
56,54,36,33,39,57,59,36,38,56,59,36,39,36,38,36,1.0
60,64,27,30,29,66,63,33,29,66,62,32,29,33,29,32,2.0
59,57,34,29,36,59,63,33,36,59,62,32,36,33,36,32,1.0
60,59,32,28,34,61,64,32,34,61,63,31,34,32,34,31,1.0
55,57,34,32,36,59,59,36,36,59,59,36,36,36,36,36,2.0
60,65,25,28,28,68,64,32,27,67,63,31,28,32,27,31,2.0
56,58,31,33,34,61,59,36,34,61,59,36,34,36,34,36,2.0
60,56,35,28,37,58,64,32,37,58,63,31,37,32,37,31,1.0
62,63,27,28,30,66,65,31,29,65,64,30,30,31,29,30,2.0
59,58,33,32,35,60,61,34,35,60,61,34,35,34,35,34,2.0
51,64,27,37,29,66,55,41,29,66,54,40,29,41,29,40,2.0
59,60,31,29,33,62,63,33,33,62,62,32,33,33,33,32,2.0
63,59,32,25,34,61,67,29,34,61,66,28,34,29,34,28,2.0
60,69,23,28,25,71,64,32,24,70,63,31,25,32,24,31,2.0
53,62,29,37,31,64,56,40,31,64,55,39,31,40,31,39,2.0
63,63,28,27,30,65,66,30,30,65,65,29,30,30,30,29,2.0
62,61,27,27,31,65,65,30,30,64,65,30,31,30,30,30,1.0
56,64,25,31,28,67,60,35,28,67,60,35,28,35,28,35,1.0
58,58,33,30,35,60,62,34,35,60,61,33,35,34,35,33,2.0
58,57,30,30,34,61,62,34,34,61,61,33,34,34,34,33,1.0
53,57,32,35,35,60,57,39,35,60,56,38,35,39,35,38,2.0
58,58,33,33,35,60,60,35,35,60,60,35,35,35,35,35,2.0
58,55,36,31,38,57,61,34,38,57,61,34,38,34,38,34,1.0
59,60,29,29,32,63,63,33,32,63,62,32,32,33,32,32,1.0
58,57,34,33,36,59,60,35,36,59,60,35,36,35,36,35,1.0
54,53,37,35,40,56,57,38,39,55,57,38,40,38,39,38,1.0
60,57,34,28,36,59,64,32,36,59,63,31,36,32,36,31,2.0
52,59,30,36,33,62,56,40,33,62,55,39,33,40,33,39,2.0
62,62,29,26,31,64,66,30,31,64,65,29,31,30,31,29,2.0
57,60,31,31,33,62,61,35,33,62,60,34,33,35,33,34,1.0
60,56,35,31,37,58,62,33,37,58,62,33,37,33,37,33,2.0
55,59,30,32,33,62,59,36,33,62,59,36,33,36,33,36,1.0
58,57,34,30,36,59,62,34,36,59,61,33,36,34,36,33,2.0
60,55,34,28,37,58,64,32,37,58,63,31,37,32,37,31,1.0
55,58,31,36,34,61,57,38,34,61,57,38,34,38,34,38,2.0
49,65,26,37,28,67,54,42,28,67,53,41,28,42,28,41,2.0
62,60,31,26,33,62,66,30,33,62,65,29,33,30,33,29,1.0
62,57,34,29,36,59,64,31,36,59,64,31,36,31,36,31,2.0
60,59,30,29,33,62,63,32,33,62,63,32,33,32,33,32,1.0
60,62,29,28,31,64,64,32,31,64,63,31,31,32,31,31,1.0
