@relation 'Sax dominant'

@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atLcc numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o2atLcc numeric
@attribute o2atMbb numeric
@attribute o2atLbb numeric
@attribute o2atMaa numeric
@attribute o2atMab numeric
@attribute o2atLab numeric
@attribute o2atMcb numeric
@attribute o2atLcb numeric
@attribute o2atMba numeric
@attribute o2atLba numeric
@attribute o2atMbc numeric
@attribute o2atLbc numeric
@attribute o2atMac numeric
@attribute o2atLac numeric
@attribute o3atMbb numeric
@attribute o3atLbb numeric
@attribute o3atLcc numeric
@attribute o3atMbc numeric
@attribute o3atLbc numeric
@attribute o3atMcb numeric
@attribute o3atLcb numeric
@attribute o3atMaa numeric
@attribute o3atMab numeric
@attribute o3atLab numeric
@attribute o3atMba numeric
@attribute o3atLba numeric
@attribute o3atMac numeric
@attribute o3atLac numeric
@attribute o3atMca numeric
@attribute o3atLca numeric
@attribute destClass {1,2}

@data
17,28,0,10,2,30,19,12,1,29,19,12,5,25,11,18,19,12,25,5,19,12,26,6,19,6,18,16,12,18,12,19,13,13,14,17,14,17,14,12,14,13,1.0
13,29,1,14,1,29,15,16,2,30,15,16,12,18,16,14,15,17,18,12,14,16,19,13,15,13,26,14,3,27,4,27,4,15,16,15,16,15,16,4,16,4,2.0
12,27,2,16,3,28,13,17,3,28,14,18,12,18,15,15,16,16,18,12,15,15,19,13,16,13,20,16,9,21,10,21,10,13,14,17,14,17,14,10,14,10,2.0
13,30,0,14,0,30,15,16,1,31,15,16,13,17,18,12,13,19,17,13,12,18,18,14,13,14,26,12,3,27,4,27,4,17,18,13,18,13,18,4,18,4,2.0
14,28,2,13,2,28,16,15,3,29,16,15,10,20,13,17,18,14,20,10,17,13,21,11,18,11,25,19,4,26,5,26,5,8,10,21,10,21,10,5,10,5,2.0
14,30,0,13,1,31,16,15,0,30,16,15,3,27,9,20,21,10,27,3,21,10,28,4,21,4,16,18,14,16,14,17,15,11,12,19,12,19,12,14,12,15,1.0
18,29,1,12,1,29,18,12,2,30,19,13,16,14,18,12,13,19,14,16,12,18,15,17,13,17,22,13,7,23,8,23,8,16,17,14,17,14,17,8,17,8,2.0
15,23,5,12,6,24,17,14,7,25,17,14,10,20,13,17,18,14,20,10,17,13,21,11,18,11,23,20,6,24,7,24,7,7,9,22,9,22,9,7,9,7,1.0
21,21,7,9,9,23,22,10,8,22,21,9,5,25,9,20,21,10,26,6,21,10,25,5,21,5,15,31,13,17,15,16,14,0,0,31,0,31,0,15,0,14,2.0
21,15,15,9,15,15,21,9,16,16,22,10,18,11,28,2,3,29,12,19,2,28,12,19,3,19,23,12,7,24,8,23,7,18,19,13,18,12,19,8,18,7,2.0
13,22,7,15,8,23,14,16,8,23,15,17,4,25,10,20,20,10,26,5,21,11,26,5,20,5,19,28,9,21,11,20,10,2,3,29,2,28,3,11,2,10,1.0
14,24,5,13,6,25,16,15,6,25,16,15,12,18,15,14,15,16,18,12,15,16,19,13,15,13,20,16,9,21,10,21,10,13,14,17,14,17,14,10,14,10,2.0
21,20,9,8,10,21,22,9,10,21,22,9,9,20,18,11,12,19,21,10,12,19,21,10,12,10,19,17,10,20,11,20,11,12,13,18,13,18,13,11,13,11,1.0
16,26,2,12,3,27,17,13,4,28,18,14,13,17,20,10,11,21,17,13,10,20,18,14,11,14,21,15,8,22,9,22,9,14,15,16,15,16,15,9,15,9,2.0
11,28,2,14,2,28,14,17,3,29,14,17,9,19,19,11,12,20,20,10,11,19,21,11,12,11,23,14,6,24,7,24,7,15,16,15,16,15,16,7,16,7,2.0
22,18,12,8,12,18,22,8,13,19,23,9,17,12,26,4,5,27,13,18,4,26,13,18,5,18,23,13,7,24,8,23,7,16,17,14,17,14,17,8,17,7,1.0
14,24,5,13,6,25,16,15,6,25,16,15,11,19,14,15,16,15,19,11,16,15,20,12,16,12,19,17,10,20,11,20,11,12,13,18,13,18,13,11,13,11,2.0
16,24,4,11,5,25,18,13,6,26,18,13,10,20,13,17,18,14,20,10,17,13,21,11,18,11,23,21,6,24,7,24,7,6,8,23,8,23,8,7,8,7,1.0
17,27,3,10,3,27,19,12,4,28,19,12,8,22,13,17,18,14,22,8,17,13,23,9,18,9,21,16,8,22,9,22,9,13,14,17,14,17,14,9,14,9,1.0
14,26,2,13,3,27,16,15,4,28,16,15,10,20,13,17,18,14,20,10,17,13,21,11,18,11,23,17,6,24,7,24,7,10,12,19,12,19,12,7,12,7,1.0
12,24,5,17,6,25,13,18,6,25,13,18,6,24,10,20,21,11,24,6,20,10,25,7,21,7,19,16,10,20,11,20,11,13,14,17,14,17,14,11,14,11,1.0
12,27,1,15,2,28,14,17,3,29,14,17,11,17,17,13,14,18,18,12,13,17,19,13,14,13,19,16,10,20,11,20,11,13,14,17,14,17,14,11,14,11,2.0
12,30,0,16,0,30,13,17,1,31,14,18,14,16,17,13,14,18,16,14,13,17,17,15,14,15,20,16,9,21,10,21,10,13,14,17,14,17,14,10,14,10,2.0
20,27,3,7,3,27,22,9,4,28,22,9,15,14,22,8,9,23,15,16,8,22,15,16,9,16,18,15,12,19,13,18,12,14,15,16,15,16,15,13,15,12,1.0
16,22,8,12,8,22,17,13,9,23,18,14,2,28,8,20,22,10,28,2,21,9,29,3,22,3,14,21,15,15,16,15,16,8,9,22,9,22,9,16,9,16,1.0
15,28,2,10,2,28,18,13,3,29,18,13,9,21,13,17,18,14,21,9,17,13,22,10,18,10,21,16,8,22,9,22,9,13,14,17,14,17,14,9,14,9,2.0
21,19,11,9,11,19,21,9,12,20,22,10,18,11,25,5,6,26,12,19,5,25,12,19,6,19,25,12,5,26,6,25,5,17,18,13,18,13,18,6,18,5,2.0
13,31,0,15,0,31,15,17,0,31,14,16,0,30,7,21,22,8,31,1,23,9,30,0,22,0,15,24,13,17,15,16,14,6,7,25,6,24,7,15,6,14,2.0
13,28,2,14,2,28,15,16,3,29,15,16,15,15,18,12,13,19,15,15,12,18,16,16,13,16,21,15,8,22,9,22,9,14,15,16,15,16,15,9,15,9,2.0
20,18,11,9,12,19,21,10,12,19,21,10,11,18,19,10,11,20,19,12,11,20,19,12,11,12,20,18,9,21,10,21,10,11,12,19,12,19,12,10,12,10,2.0
19,26,4,10,4,26,20,11,5,27,20,11,13,15,23,7,8,24,16,14,7,23,17,15,8,15,20,15,10,21,11,20,10,14,15,16,15,16,15,11,15,10,1.0
21,28,1,7,2,29,23,9,2,29,22,8,5,25,11,19,19,11,26,6,20,12,25,5,19,5,13,26,15,15,17,14,16,2,4,28,3,27,4,17,3,16,1.0
19,17,13,11,13,17,19,11,14,18,20,12,17,12,27,3,4,28,13,18,3,27,13,18,4,18,24,11,6,25,7,24,6,18,19,12,19,12,19,7,19,6,2.0
15,30,0,12,0,30,17,14,1,31,17,14,12,18,17,13,14,18,18,12,13,17,19,13,14,13,26,13,3,27,4,27,4,16,17,14,17,14,17,4,17,4,2.0
21,19,10,8,11,20,22,9,11,20,22,9,10,19,19,10,11,20,20,11,11,20,20,11,11,11,20,16,9,21,10,21,10,13,14,17,14,17,14,10,14,10,1.0
15,31,0,12,0,31,17,14,0,31,17,14,12,18,17,13,14,18,18,12,13,17,19,13,14,13,26,13,3,27,4,27,4,16,17,14,17,14,17,4,17,4,1.0
21,26,2,7,4,28,23,9,3,27,22,8,5,25,9,20,21,10,26,6,21,10,25,5,21,5,12,24,17,13,18,13,18,5,6,25,6,25,6,18,6,18,2.0
18,21,8,12,9,22,19,13,9,22,18,12,0,30,6,21,23,8,31,1,23,8,30,0,23,0,15,31,13,17,15,16,14,0,0,31,0,31,0,15,0,14,1.0
16,23,7,11,7,23,18,13,8,24,18,13,5,25,9,19,21,11,25,5,20,10,26,6,21,6,17,19,12,18,13,18,13,10,11,20,11,20,11,13,11,13,2.0
16,30,0,11,0,30,18,13,1,31,18,13,10,20,15,15,16,16,20,10,15,15,21,11,16,11,22,14,7,23,8,23,8,15,16,15,16,15,16,8,16,8,1.0
14,26,3,14,4,27,15,15,4,27,16,16,12,18,15,15,16,16,18,12,15,15,19,13,16,13,19,17,10,20,11,20,11,12,13,18,13,18,13,11,13,11,1.0
21,24,6,7,7,25,23,9,6,24,22,8,3,27,10,20,20,10,28,4,21,11,27,3,20,3,10,27,19,11,20,11,20,1,3,29,2,28,3,20,2,20,1.0
17,29,1,10,1,29,19,12,2,30,19,12,9,21,13,17,18,14,21,9,17,13,22,10,18,10,20,16,9,21,10,21,10,13,14,17,14,17,14,10,14,10,1.0
16,22,6,11,7,23,18,13,8,24,18,13,11,19,15,15,16,16,19,11,15,15,20,12,16,12,22,19,7,23,8,23,8,8,10,21,10,21,10,8,10,8,1.0
15,28,2,12,2,28,17,14,3,29,17,14,9,21,14,16,17,15,21,9,16,14,22,10,17,10,22,16,7,23,8,23,8,13,14,17,14,17,14,8,14,8,1.0
17,27,3,10,3,27,19,12,4,28,19,12,9,21,13,17,18,14,21,9,17,13,22,10,18,10,21,17,8,22,9,22,9,12,13,18,13,18,13,9,13,9,1.0
17,28,1,9,2,29,20,12,2,29,19,11,3,27,8,21,22,9,28,4,22,9,27,3,22,3,11,26,17,13,19,12,18,3,4,27,4,27,4,19,4,18,2.0
17,27,3,10,3,27,19,12,4,28,19,12,9,21,13,17,18,14,21,9,17,13,22,10,18,10,23,18,6,24,7,24,7,11,12,19,12,19,12,7,12,7,2.0
20,19,11,10,11,19,20,10,12,20,21,11,18,11,25,5,6,26,12,19,5,25,12,19,6,19,25,12,5,26,6,25,5,17,18,13,18,13,18,6,18,5,2.0
15,30,0,12,1,31,17,14,0,30,17,14,0,30,7,22,23,8,30,0,23,8,31,1,23,1,15,19,15,15,15,16,16,10,11,20,11,20,11,15,11,16,2.0
15,29,1,12,1,29,17,14,2,30,17,14,6,24,11,19,20,12,24,6,19,11,25,7,20,7,17,25,10,19,12,19,12,4,5,26,5,26,5,12,5,12,1.0
18,17,13,12,13,17,18,12,14,18,19,13,5,24,15,13,15,17,25,6,14,16,25,6,15,6,17,19,11,19,13,18,12,10,11,20,11,20,11,13,11,12,1.0
15,30,0,13,1,31,17,15,0,30,16,14,0,31,6,23,24,7,31,0,24,7,31,0,24,0,11,25,16,13,18,13,18,2,4,27,4,27,4,18,4,18,2.0
11,30,0,14,1,31,14,17,0,30,14,17,4,26,9,21,22,10,26,4,21,9,27,5,22,5,18,16,12,18,12,19,13,13,14,17,14,17,14,12,14,13,1.0
22,18,12,8,12,18,22,8,13,19,23,9,18,11,26,4,5,27,12,19,4,26,12,19,5,19,24,12,6,25,7,24,6,17,18,13,18,13,18,7,18,6,1.0
20,27,3,7,3,27,22,9,4,28,22,9,8,22,12,18,19,13,22,8,18,12,23,9,19,9,20,18,9,21,10,21,10,11,12,19,12,19,12,10,12,10,1.0
23,18,10,7,12,20,24,8,11,19,23,7,4,26,12,18,18,12,27,5,19,13,26,4,18,4,12,31,14,15,17,14,16,0,0,31,0,31,0,17,0,16,1.0
16,28,2,11,2,28,18,13,3,29,18,13,10,20,13,17,18,14,20,10,17,13,21,11,18,11,21,16,8,22,9,22,9,11,13,18,13,18,13,9,13,9,2.0
19,23,7,9,8,24,21,11,7,23,20,10,3,27,7,22,23,8,28,4,23,8,27,3,23,3,11,24,18,12,19,12,19,5,6,25,6,25,6,19,6,19,2.0
17,21,7,13,9,23,18,14,8,22,17,13,3,27,7,22,23,8,28,4,23,8,27,3,23,3,17,31,11,19,13,18,12,0,0,31,0,31,0,13,0,12,1.0
15,28,2,12,2,28,17,14,3,29,17,14,9,21,13,17,18,14,21,9,17,13,22,10,18,10,21,16,8,22,9,22,9,13,14,17,14,17,14,9,14,9,2.0
11,26,4,16,4,26,13,18,5,27,13,18,1,29,4,26,27,5,29,1,26,4,30,2,27,2,14,21,15,15,16,15,16,8,9,22,9,22,9,16,9,16,1.0
19,28,2,9,3,29,21,11,2,28,20,10,3,27,8,19,21,10,28,4,21,10,27,3,21,3,13,22,16,14,17,14,17,7,8,23,8,23,8,17,8,17,2.0
13,28,2,14,2,28,15,16,3,29,15,16,13,15,19,11,12,20,16,14,11,19,17,15,12,15,21,15,8,22,9,22,9,14,15,16,15,16,15,9,15,9,2.0
13,25,4,14,5,26,15,16,5,26,15,16,12,18,15,14,15,16,18,12,15,16,19,13,15,13,20,16,9,21,10,21,10,13,14,17,14,17,14,10,14,10,2.0
18,25,3,12,4,26,18,12,5,27,19,13,14,14,19,11,12,20,15,15,11,19,16,16,12,16,22,14,7,23,8,23,8,15,16,15,16,15,16,8,16,8,2.0
15,30,0,13,1,31,17,15,0,30,16,14,1,29,8,21,22,9,29,1,22,9,30,2,22,2,16,18,14,16,14,17,15,11,12,19,12,19,12,14,12,15,2.0
19,17,13,11,13,17,19,11,14,18,20,12,18,11,27,3,4,28,12,19,3,27,12,19,4,19,24,11,6,25,7,24,6,18,19,12,19,12,19,7,19,6,2.0
23,18,11,6,12,19,24,7,12,19,24,7,7,21,16,13,14,17,22,8,14,17,23,9,14,9,16,23,13,17,14,17,14,6,7,24,7,24,7,14,7,14,2.0
22,28,0,8,2,30,23,9,1,29,22,8,4,26,7,22,23,8,27,5,23,8,26,4,23,4,14,31,14,16,16,15,15,0,0,31,0,31,0,16,0,15,2.0
19,25,4,8,5,26,21,10,5,26,21,10,4,25,10,20,20,10,26,5,21,11,26,5,20,5,13,25,15,15,17,14,16,3,5,27,4,26,5,17,4,16,1.0
16,29,0,11,1,30,18,13,1,30,18,13,13,17,16,14,15,17,17,13,14,16,18,14,15,14,18,17,11,19,12,19,12,12,13,18,13,18,13,12,13,12,1.0
22,19,11,8,11,19,22,8,12,20,23,9,18,11,26,4,5,27,12,19,4,26,12,19,5,19,24,11,6,25,7,24,6,18,19,12,19,12,19,7,19,6,2.0
15,28,2,12,2,28,17,14,3,29,17,14,11,19,16,14,15,17,19,11,14,16,20,12,15,12,25,14,4,26,5,26,5,15,16,15,16,15,16,5,16,5,1.0
15,30,0,13,1,31,17,15,0,30,16,14,0,30,7,22,23,8,31,1,23,8,30,0,23,0,13,29,16,14,17,14,17,0,1,30,1,30,1,17,1,17,1.0
22,20,8,6,10,22,24,8,9,21,23,7,7,23,11,19,19,11,24,8,20,12,23,7,19,7,11,30,18,12,19,12,19,0,1,31,0,30,1,19,0,19,2.0
15,24,4,12,5,25,17,14,6,26,17,14,10,20,14,16,17,15,20,10,16,14,21,11,17,11,23,20,6,24,7,24,7,7,9,22,9,22,9,7,9,7,1.0
14,30,0,13,1,31,16,15,0,30,16,15,0,30,8,21,22,9,30,0,22,9,31,1,22,1,14,20,16,14,16,15,17,9,10,21,10,21,10,16,10,17,1.0
21,18,12,9,12,18,21,9,13,19,22,10,18,11,26,4,5,27,12,19,4,26,12,19,5,19,24,12,6,25,7,24,6,17,18,13,18,13,18,7,18,6,1.0
15,27,1,13,2,28,16,14,3,29,17,15,14,16,18,12,13,19,16,14,12,18,17,15,13,15,20,15,9,21,10,21,10,14,15,16,15,16,15,10,15,10,2.0
20,15,15,10,15,15,20,10,16,16,21,11,18,11,28,1,2,29,12,19,2,29,12,19,2,19,23,12,7,24,8,23,7,18,19,13,18,12,19,8,18,7,2.0
14,27,2,14,3,28,15,15,3,28,16,16,12,18,16,14,15,17,18,12,14,16,19,13,15,13,21,15,8,22,9,22,9,14,15,16,15,16,15,9,15,9,2.0
16,23,5,11,6,24,18,13,7,25,18,13,10,20,13,17,18,14,20,10,17,13,21,11,18,11,23,20,6,24,7,24,7,7,9,22,9,22,9,7,9,7,1.0
12,29,0,17,1,30,13,18,1,30,13,18,7,23,13,17,18,14,23,7,17,13,24,8,18,8,22,13,8,22,8,23,9,16,17,14,17,14,17,8,17,9,2.0
13,27,3,14,3,27,15,16,4,28,15,16,7,23,10,20,21,11,23,7,20,10,24,8,21,8,20,17,9,21,10,21,10,12,13,18,13,18,13,10,13,10,2.0
14,27,1,14,2,28,15,15,3,29,16,16,13,17,17,13,14,18,17,13,13,17,18,14,14,14,20,15,9,21,10,21,10,14,15,16,15,16,15,10,15,10,2.0
13,24,5,14,6,25,15,16,6,25,15,16,6,24,9,21,21,9,25,7,22,10,24,6,21,6,16,27,12,18,14,17,13,2,3,28,3,28,3,14,3,13,2.0
18,29,1,10,1,29,19,11,2,30,20,12,16,14,19,11,12,20,14,16,11,19,15,17,12,17,22,13,7,23,8,23,8,16,17,14,17,14,17,8,17,8,2.0
12,25,4,17,5,26,13,18,5,26,13,18,4,24,16,12,14,18,25,5,13,17,26,6,14,6,22,12,8,22,8,23,9,17,18,13,18,13,18,8,18,9,2.0
21,18,12,9,12,18,21,9,13,19,22,10,18,11,26,4,5,27,12,19,4,26,12,19,5,19,24,12,6,25,7,24,6,17,18,13,18,13,18,7,18,6,2.0
21,16,13,7,14,17,23,9,14,17,22,8,9,21,12,18,18,12,22,10,19,13,21,9,18,9,12,27,16,14,18,13,17,3,4,28,3,27,4,18,3,17,1.0
11,23,6,17,7,24,12,18,7,24,13,19,3,26,7,22,23,8,27,4,23,8,27,4,23,4,13,25,15,15,17,14,16,4,5,26,5,26,5,17,5,16,2.0
15,25,3,12,4,26,17,14,5,27,17,14,10,20,13,17,18,14,20,10,17,13,21,11,18,11,23,18,6,24,7,24,7,9,11,20,11,20,11,7,11,7,1.0
20,18,11,9,12,19,21,10,12,19,21,10,9,18,19,10,11,20,20,11,11,20,20,11,11,11,20,18,9,21,10,21,10,11,12,19,12,19,12,10,12,10,2.0
16,24,4,11,5,25,18,13,6,26,18,13,10,20,13,17,18,14,20,10,17,13,21,11,18,11,22,22,7,23,8,23,8,5,7,24,7,24,7,8,7,8,1.0
21,19,10,8,11,20,22,9,11,20,22,9,9,20,18,11,12,19,21,10,12,19,21,10,12,10,19,18,10,20,11,20,11,11,12,19,12,19,12,11,12,11,1.0
20,16,14,10,14,16,20,10,15,17,21,11,17,12,27,2,3,28,13,18,3,28,13,18,3,18,22,13,8,23,9,22,8,17,18,14,17,13,18,9,17,8,2.0
15,30,0,12,0,30,17,14,1,31,17,14,13,17,17,13,14,18,17,13,13,17,18,14,14,14,27,13,2,28,3,28,3,16,17,14,17,14,17,3,17,3,2.0
10,27,2,19,3,28,11,20,3,28,11,20,0,29,11,17,19,13,30,1,18,12,30,1,19,1,18,16,12,18,12,19,13,13,14,17,14,17,14,12,14,13,2.0
