@relation 'Sax dominant'

@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMdcb numeric
@attribute o1atLdcb numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atLddd numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMacd numeric
@attribute o1atLacd numeric
@attribute o1atMcdc numeric
@attribute o1atLcdc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMadd numeric
@attribute o1atLadd numeric
@attribute o1atMbdd numeric
@attribute o1atLbdd numeric
@attribute o1atMcbd numeric
@attribute o1atLcbd numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMdca numeric
@attribute o1atLdca numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o1atMdba numeric
@attribute o1atLdba numeric
@attribute o1atMddb numeric
@attribute o1atLddb numeric
@attribute o1atMdcd numeric
@attribute o1atLdcd numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMdbb numeric
@attribute o1atLdbb numeric
@attribute o1atMbbd numeric
@attribute o1atLbbd numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMbcd numeric
@attribute o1atLbcd numeric
@attribute o1atMdbc numeric
@attribute o1atLdbc numeric
@attribute o1atMcac numeric
@attribute o1atLcac numeric
@attribute o1atMabd numeric
@attribute o1atLabd numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute o1atMbdc numeric
@attribute o1atLbdc numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMadc numeric
@attribute o1atLadc numeric
@attribute o1atMdda numeric
@attribute o1atLdda numeric
@attribute o1atMdaa numeric
@attribute o1atLdaa numeric
@attribute o1atMdab numeric
@attribute o1atLdab numeric
@attribute o2atMaaa numeric
@attribute o2atMabb numeric
@attribute o2atLabb numeric
@attribute o2atMbbc numeric
@attribute o2atLbbc numeric
@attribute o2atMccc numeric
@attribute o2atLccc numeric
@attribute o2atMaab numeric
@attribute o2atLaab numeric
@attribute o2atMbbb numeric
@attribute o2atLbbb numeric
@attribute o2atMbcc numeric
@attribute o2atLbcc numeric
@attribute o2atMcdd numeric
@attribute o2atLcdd numeric
@attribute o2atMddc numeric
@attribute o2atLddc numeric
@attribute o2atMdcb numeric
@attribute o2atLdcb numeric
@attribute o2atMcdc numeric
@attribute o2atLcdc numeric
@attribute o2atMdcd numeric
@attribute o2atLdcd numeric
@attribute o2atMccd numeric
@attribute o2atLccd numeric
@attribute o2atLddd numeric
@attribute o2atMcbc numeric
@attribute o2atLcbc numeric
@attribute o2atMdcc numeric
@attribute o2atLdcc numeric
@attribute o2atMbcb numeric
@attribute o2atLbcb numeric
@attribute o2atMccb numeric
@attribute o2atLccb numeric
@attribute o2atMcbb numeric
@attribute o2atLcbb numeric
@attribute o2atMabc numeric
@attribute o2atLabc numeric
@attribute o2atMbba numeric
@attribute o2atLbba numeric
@attribute o2atMbaa numeric
@attribute o2atLbaa numeric
@attribute o2atMbdc numeric
@attribute o2atLbdc numeric
@attribute o2atMcbd numeric
@attribute o2atLcbd numeric
@attribute o2atMbab numeric
@attribute o2atLbab numeric
@attribute o2atMbdd numeric
@attribute o2atLbdd numeric
@attribute o2atMbcd numeric
@attribute o2atLbcd numeric
@attribute o3atMccc numeric
@attribute o3atLccc numeric
@attribute o3atMcdd numeric
@attribute o3atLcdd numeric
@attribute o3atMddc numeric
@attribute o3atLddc numeric
@attribute o3atMccd numeric
@attribute o3atLccd numeric
@attribute o3atLddd numeric
@attribute o3atMdcc numeric
@attribute o3atLdcc numeric
@attribute o3atMbcb numeric
@attribute o3atLbcb numeric
@attribute o3atMabb numeric
@attribute o3atLabb numeric
@attribute o3atMdcb numeric
@attribute o3atLdcb numeric
@attribute o3atMcbb numeric
@attribute o3atLcbb numeric
@attribute o3atMbbc numeric
@attribute o3atLbbc numeric
@attribute o3atMbab numeric
@attribute o3atLbab numeric
@attribute o3atMbcd numeric
@attribute o3atLbcd numeric
@attribute o3atMabd numeric
@attribute o3atLabd numeric
@attribute o3atMcdc numeric
@attribute o3atLcdc numeric
@attribute o3atMbbb numeric
@attribute o3atLbbb numeric
@attribute o3atMcba numeric
@attribute o3atLcba numeric
@attribute o3atMdca numeric
@attribute o3atLdca numeric
@attribute o3atMdcd numeric
@attribute o3atLdcd numeric
@attribute o3atMcab numeric
@attribute o3atLcab numeric
@attribute o3atMccb numeric
@attribute o3atLccb numeric
@attribute o3atMbcc numeric
@attribute o3atLbcc numeric
@attribute o3atMcbc numeric
@attribute o3atLcbc numeric
@attribute o3atMddb numeric
@attribute o3atLddb numeric
@attribute o3atMdbd numeric
@attribute o3atLdbd numeric
@attribute o3atMbbd numeric
@attribute o3atLbbd numeric
@attribute o3atMcbd numeric
@attribute o3atLcbd numeric
@attribute o3atMbba numeric
@attribute o3atLbba numeric
@attribute o3atMbaa numeric
@attribute o3atLbaa numeric
@attribute o3atMaad numeric
@attribute o3atLaad numeric
@attribute o3atMaaa numeric
@attribute o3atMbdd numeric
@attribute o3atLbdd numeric
@attribute o3atMdbc numeric
@attribute o3atLdbc numeric
@attribute o3atMdbb numeric
@attribute o3atLdbb numeric
@attribute o3atMaab numeric
@attribute o3atLaab numeric
@attribute o3atMcaa numeric
@attribute o3atLcaa numeric
@attribute o3atMbad numeric
@attribute o3atLbad numeric
@attribute destClass {-1.0,1.0}

@data
6,12,8,22,6,24,5,24,5,17,6,15,14,13,21,7,23,23,5,4,6,22,6,23,7,21,7,6,22,6,16,12,6,22,23,5,22,10,7,5,16,5,16,5,13,13,14,12,8,6,6,13,8,14,7,14,8,6,17,5,24,4,15,11,16,10,15,6,14,5,7,14,16,5,16,5,7,10,6,6,7,12,15,6,6,14,6,13,6,6,8,5,7,6,7,6,9,11,20,13,18,21,16,10,21,12,19,14,17,25,3,25,3,12,5,22,5,25,2,23,5,2,13,16,23,5,12,17,12,16,12,16,11,18,9,19,9,19,14,5,13,5,10,19,14,3,14,5,20,25,23,6,22,6,22,8,5,21,7,1,27,0,30,3,7,2,27,2,27,0,30,3,8,0,8,20,7,1,30,0,27,0,7,23,5,0,27,3,26,3,26,3,25,3,6,3,5,2,8,3,8,0,30,0,30,0,8,0,3,6,3,7,2,7,0,30,0,27,0,8,1.0
13,9,14,16,12,24,5,24,5,20,6,18,11,17,15,13,17,23,6,4,12,16,12,17,13,15,13,6,22,6,19,9,12,16,23,5,22,7,13,5,19,5,19,6,17,10,17,9,14,6,12,10,14,11,13,11,14,6,20,5,24,4,19,8,19,8,18,6,17,6,13,11,19,6,19,5,13,8,12,6,13,9,19,6,12,11,12,10,13,6,14,5,13,6,13,6,8,10,21,13,18,30,16,9,22,12,20,14,17,30,0,30,0,12,0,30,0,30,0,30,0,0,13,16,30,0,12,17,12,16,12,16,10,18,8,20,8,20,14,0,13,0,9,20,14,0,14,0,19,30,22,7,21,7,21,9,6,20,8,0,30,0,30,0,8,0,30,0,30,0,30,0,9,0,9,19,8,0,30,0,30,0,8,22,6,0,30,0,30,0,30,0,30,0,7,0,6,0,9,0,9,0,30,0,30,0,9,0,0,7,0,8,0,8,0,30,0,30,0,9,1.0
25,0,24,4,22,30,0,30,0,29,0,28,1,27,3,23,5,30,0,0,25,5,22,6,24,3,25,0,30,0,29,0,23,6,30,0,30,0,25,0,29,0,29,0,28,1,28,1,24,0,25,1,24,1,24,1,24,0,29,0,30,0,29,0,29,0,28,0,28,0,23,1,29,0,29,0,24,0,25,0,24,1,29,0,25,1,23,1,25,0,24,0,23,0,24,0,0,0,30,0,28,27,24,0,30,0,30,3,26,29,0,29,0,2,1,28,1,29,0,28,1,0,2,26,28,1,1,28,2,25,0,27,0,28,0,30,0,30,3,1,2,1,0,30,3,0,3,1,17,28,21,7,20,6,19,9,5,18,7,0,29,0,30,0,8,0,30,0,29,0,30,0,9,0,10,17,8,0,30,0,30,0,8,21,5,0,30,0,29,0,28,0,29,1,7,1,6,0,10,0,10,0,30,0,30,0,10,0,0,7,0,8,0,9,0,30,0,30,0,10,1.0
13,8,15,15,13,21,5,22,6,20,8,18,10,17,14,14,16,19,5,5,13,15,13,16,14,14,13,7,18,6,18,8,13,15,20,6,18,6,14,7,20,6,19,5,17,9,17,8,15,8,13,9,15,10,14,10,15,9,21,7,21,5,17,7,18,6,19,9,18,7,14,10,18,6,19,6,14,6,13,8,14,8,17,7,13,10,13,9,13,8,15,7,14,9,14,9,2,4,27,6,25,17,23,3,28,5,26,7,24,21,7,21,7,5,9,18,9,21,6,19,9,6,6,23,19,9,5,24,5,23,5,23,4,25,2,26,2,26,7,9,6,9,3,26,7,7,7,9,29,13,30,0,29,0,30,0,0,29,0,14,14,0,30,16,0,15,15,14,14,0,30,15,0,0,1,29,0,14,30,0,15,0,0,30,0,0,15,16,14,14,13,15,13,16,0,16,0,15,1,16,0,0,30,0,30,0,1,0,15,0,15,0,15,0,0,30,0,15,0,1,1.0
1,15,1,29,0,21,8,21,8,13,9,10,18,8,28,0,29,20,9,7,0,29,0,30,0,28,1,9,19,9,13,15,0,29,20,9,19,12,1,8,12,8,12,9,8,17,9,16,1,9,0,17,1,18,0,18,1,9,13,8,21,7,12,14,12,13,10,9,9,9,0,18,12,9,12,9,0,13,0,9,0,16,12,9,0,18,0,17,1,9,1,8,0,9,0,9,20,22,9,29,2,30,0,21,10,28,8,30,1,30,0,30,0,28,0,30,0,30,0,30,0,0,29,0,30,0,28,1,28,0,28,0,22,2,20,8,20,8,30,0,29,0,21,8,30,0,30,0,25,30,28,1,27,1,27,3,0,26,2,0,30,0,30,0,2,0,30,0,30,0,30,0,3,0,3,25,2,0,30,0,30,0,2,28,0,0,30,0,30,0,30,0,30,0,1,0,0,0,3,0,3,0,30,0,30,0,3,0,0,1,0,2,0,2,0,30,0,30,0,3,-1.0
13,10,15,15,13,21,6,22,7,20,9,19,11,18,14,14,16,19,7,5,13,15,13,16,14,14,13,8,19,8,19,10,13,15,20,8,19,9,14,7,19,6,19,7,18,10,18,9,15,9,13,10,15,11,14,11,15,9,20,7,21,6,18,9,19,9,19,9,18,7,14,11,18,7,19,8,14,9,13,8,14,9,18,8,13,11,13,10,13,9,15,7,14,9,14,9,2,4,27,5,26,24,24,3,28,4,26,6,25,26,3,26,3,4,4,24,4,26,2,25,4,2,5,24,25,4,4,25,4,24,4,24,4,26,2,26,2,26,6,4,5,4,3,26,6,3,6,4,29,10,30,0,29,0,30,0,0,29,0,14,13,0,30,17,0,15,14,14,13,0,30,16,0,0,1,29,0,14,30,0,14,0,0,30,0,0,14,17,12,15,11,16,11,17,0,17,0,15,1,17,0,0,30,0,30,0,1,0,16,0,16,0,15,0,0,30,0,14,0,1,1.0
16,7,17,12,16,26,3,26,3,21,4,18,9,17,11,17,13,25,3,2,16,12,16,13,17,11,17,4,24,4,20,7,16,12,25,3,24,4,17,3,20,3,20,3,17,9,17,8,18,4,16,9,18,10,17,9,18,4,21,3,26,2,19,6,20,6,18,4,17,3,17,10,20,3,20,3,17,6,16,4,17,8,19,4,16,10,16,9,16,4,18,3,17,4,17,4,2,4,27,5,26,16,24,3,28,4,26,6,25,22,4,22,4,4,8,18,8,22,4,18,8,2,5,24,18,8,4,25,4,24,4,24,4,26,2,26,2,26,6,8,5,8,3,26,6,4,6,8,26,14,29,0,28,0,28,1,0,27,1,13,15,0,30,15,1,14,16,13,15,0,30,14,1,0,2,27,1,13,30,0,16,0,1,29,0,0,16,15,15,13,14,14,14,15,0,15,0,14,2,15,1,0,30,0,30,0,2,0,14,0,14,1,14,1,0,30,0,16,0,2,1.0
14,9,16,14,14,23,3,23,4,20,7,18,11,17,13,15,15,20,4,2,14,14,14,15,15,13,15,6,19,6,18,9,14,14,20,5,18,7,15,4,19,4,19,5,17,10,17,9,16,7,14,10,16,11,15,11,16,7,20,4,23,3,17,8,18,8,18,7,17,6,15,11,18,5,18,5,15,8,14,7,15,9,17,7,14,11,14,10,14,7,16,4,15,7,15,7,3,5,26,6,25,15,23,4,27,5,25,7,24,21,6,21,6,5,9,17,9,21,5,18,9,5,6,23,18,9,5,24,5,23,5,23,5,25,3,25,3,25,7,9,6,9,4,25,7,6,7,9,29,10,30,0,29,0,30,0,0,29,0,15,12,0,30,18,0,16,13,15,12,0,30,17,0,0,1,29,0,14,30,0,13,0,0,30,0,0,13,18,11,16,10,17,10,18,0,18,0,16,1,18,0,0,30,0,30,0,1,0,17,0,17,0,16,0,0,30,0,13,0,1,1.0
20,7,21,8,20,23,5,24,6,23,7,22,7,21,7,21,9,22,5,5,20,8,20,9,21,7,20,6,22,6,22,7,20,8,23,6,22,6,21,6,22,5,22,5,21,7,21,6,22,7,20,7,22,8,21,7,22,7,23,6,23,5,21,6,22,6,22,7,21,5,21,8,21,5,22,6,21,6,20,6,21,6,21,6,20,8,20,7,20,7,22,6,21,7,21,7,4,6,25,10,21,30,19,5,26,9,24,11,20,30,0,30,0,9,0,30,0,30,0,30,0,0,10,19,30,0,9,20,9,19,9,19,6,21,4,24,4,24,11,0,10,0,5,24,11,0,11,0,19,30,23,5,22,5,21,8,4,20,7,0,30,0,30,0,7,0,30,0,30,0,30,0,8,0,8,20,7,0,30,0,30,0,7,23,5,0,30,0,30,0,30,0,30,0,5,0,5,0,8,0,8,0,30,0,30,0,8,0,0,5,0,7,0,7,0,30,0,30,0,8,-1.0
7,9,9,20,5,23,6,23,6,21,7,20,10,19,19,7,22,22,6,5,7,20,6,22,8,19,8,7,21,7,21,9,6,21,22,7,21,8,8,6,20,6,20,6,19,9,19,8,9,7,7,9,9,10,8,10,9,7,21,6,23,5,19,8,20,8,20,7,19,6,7,10,20,6,20,7,8,8,7,7,8,8,19,7,7,10,6,9,7,7,9,6,7,7,8,7,12,14,17,18,13,30,11,13,18,17,16,19,12,30,0,30,0,17,0,30,0,30,0,30,0,0,18,11,30,0,17,12,17,11,17,11,14,13,12,16,12,16,19,0,18,0,13,16,19,0,19,0,13,30,18,9,17,9,15,13,6,14,12,0,30,0,30,0,12,0,30,0,30,0,30,0,13,0,13,13,12,0,30,0,30,0,12,18,8,0,30,0,30,0,30,0,30,0,9,0,8,0,13,0,13,0,30,0,30,0,13,0,0,9,0,12,0,12,0,30,0,30,0,13,-1.0
22,0,23,7,21,30,0,30,0,30,0,30,0,30,6,22,8,30,0,0,22,7,21,8,22,6,22,0,30,0,30,0,21,7,30,0,30,0,22,0,30,0,30,0,30,0,30,0,23,0,22,0,23,0,22,0,23,0,30,0,30,0,30,0,30,0,30,0,30,0,22,0,30,0,30,0,22,0,22,0,22,0,30,0,22,0,21,0,22,0,23,0,22,0,22,0,0,1,30,2,29,26,27,0,30,1,29,3,28,28,3,26,2,1,2,26,3,27,2,27,4,2,2,27,26,2,1,28,1,27,1,27,1,29,0,29,0,29,3,3,2,4,0,29,3,3,3,4,16,27,19,8,20,9,18,9,7,18,10,0,28,0,30,2,11,1,29,0,28,0,30,1,9,0,10,16,10,0,30,0,29,0,11,20,7,0,29,1,28,0,27,1,27,2,9,2,7,1,10,2,9,0,30,0,30,0,10,0,1,8,1,10,1,11,0,30,0,29,0,10,1.0
18,6,19,10,18,26,3,26,2,22,3,20,7,19,9,19,11,25,3,2,18,10,18,11,19,9,19,4,24,3,21,6,18,10,25,2,24,4,19,3,22,3,21,3,19,7,20,6,20,3,18,7,20,8,19,7,20,4,23,3,26,2,21,5,21,4,21,4,20,3,19,8,22,3,22,2,19,4,18,4,19,6,21,3,18,8,18,7,18,3,20,3,19,4,19,4,3,5,26,6,25,30,23,4,27,5,25,7,24,30,0,30,0,5,0,30,0,30,0,30,0,0,6,23,30,0,5,24,5,23,5,23,5,25,3,25,3,25,7,0,6,0,4,25,7,0,7,0,22,30,25,4,24,4,24,6,3,23,5,0,30,0,30,0,5,0,30,0,30,0,30,0,6,0,6,22,5,0,30,0,30,0,5,25,3,0,30,0,30,0,30,0,30,0,4,0,3,0,6,0,6,0,30,0,30,0,6,0,0,4,0,5,0,5,0,30,0,30,0,6,1.0
13,6,14,14,12,25,4,25,3,21,4,18,8,16,12,13,16,24,4,3,12,14,12,16,14,13,14,5,23,4,20,6,12,15,24,3,23,4,14,4,21,4,20,4,17,8,18,6,15,4,13,8,14,9,14,8,15,5,22,4,25,3,20,5,20,4,19,4,18,4,13,9,21,4,21,3,14,4,13,5,14,6,20,4,12,9,12,8,13,4,15,4,13,5,14,4,4,6,25,7,24,12,22,5,26,6,24,8,23,20,5,20,5,6,10,16,10,20,6,15,10,4,7,22,15,10,6,23,6,22,6,22,6,24,4,24,4,24,8,10,7,10,5,24,8,5,8,10,23,15,27,1,26,1,25,3,0,24,3,9,18,0,30,12,3,9,19,9,18,0,30,11,3,0,4,24,3,7,30,0,19,0,3,27,1,0,19,12,16,11,15,11,16,12,1,12,1,9,4,12,4,0,30,0,30,0,4,0,11,1,11,3,9,3,0,30,0,19,0,4,1.0
18,9,16,10,16,23,4,24,5,20,6,19,7,18,9,16,11,21,5,3,18,11,16,12,17,9,18,6,21,6,19,7,17,12,22,6,21,7,19,5,21,4,20,5,18,8,19,9,18,7,18,10,17,8,18,7,17,7,20,5,23,4,20,8,20,7,19,6,19,5,17,9,20,5,20,6,18,7,18,6,17,9,20,6,18,9,17,10,18,7,18,5,17,7,18,6,0,0,30,1,26,18,24,0,30,0,30,2,25,18,10,20,11,4,12,18,11,19,10,18,10,10,3,24,19,12,0,27,4,26,2,28,0,26,0,30,0,30,2,11,3,10,0,30,2,10,2,10,29,4,30,0,29,0,30,0,0,29,0,18,8,0,30,21,0,19,7,20,9,0,30,23,1,0,1,29,0,17,30,0,7,0,0,30,0,0,7,21,5,22,6,22,4,21,0,22,0,20,1,22,0,0,30,0,30,0,1,0,23,0,22,0,19,0,0,30,0,7,0,1,-1.0
15,8,17,13,15,23,5,23,4,20,6,19,10,18,12,16,14,21,5,3,15,13,15,14,16,12,16,7,19,6,19,8,15,13,21,4,19,6,16,5,20,5,19,5,18,9,18,8,17,6,15,9,17,10,16,10,17,7,21,5,23,3,18,7,19,7,19,7,18,6,16,10,20,6,20,5,16,7,15,7,16,8,18,6,15,10,15,9,15,6,17,5,16,7,16,7,3,4,26,5,25,24,24,4,27,4,25,6,25,26,3,26,3,4,4,24,4,26,2,25,4,2,5,24,25,4,4,25,4,24,4,24,5,26,3,25,3,25,6,4,5,4,4,25,6,3,6,4,29,17,30,0,29,0,30,0,0,29,0,7,20,0,30,10,0,8,21,8,20,0,30,9,0,0,1,29,0,7,30,0,21,0,0,30,0,0,21,10,19,9,18,9,18,10,0,10,0,8,1,10,1,0,30,0,30,0,1,0,9,0,9,0,8,0,0,30,0,21,0,1,1.0
22,3,21,6,18,30,0,30,0,27,0,26,4,25,5,19,8,30,0,0,21,7,19,9,21,6,22,0,30,0,27,3,19,9,30,0,30,2,22,0,26,0,26,0,25,3,25,2,21,0,21,3,21,4,21,4,21,0,27,0,30,0,26,2,26,2,26,0,25,0,19,4,26,0,26,0,21,2,21,0,21,2,26,0,21,4,19,3,22,0,21,0,19,0,21,0,0,0,30,0,30,27,30,0,30,0,30,0,30,29,0,29,0,0,1,28,1,29,0,28,1,0,0,30,28,1,0,30,0,30,0,30,0,30,0,30,0,30,0,1,0,1,0,30,0,0,0,1,19,28,23,5,22,4,21,7,3,20,5,0,29,0,30,0,6,0,30,0,29,0,30,0,7,0,8,19,6,0,30,0,30,0,6,23,3,0,30,0,29,0,28,0,29,1,5,1,4,0,8,0,8,0,30,0,30,0,8,0,0,5,0,6,0,7,0,30,0,30,0,8,1.0
14,11,16,14,14,20,7,21,8,19,10,18,12,17,13,15,15,18,8,6,14,14,14,15,15,13,14,9,18,9,18,11,14,14,19,9,18,10,15,8,18,7,18,8,17,11,17,10,16,10,14,11,16,12,15,12,16,10,19,8,20,7,17,10,18,10,18,10,17,8,15,12,17,8,18,9,15,10,14,9,15,10,17,9,14,12,14,11,14,10,16,8,15,10,15,10,2,4,27,5,26,30,24,3,28,4,26,6,25,30,0,30,0,4,0,30,0,30,0,30,0,0,5,24,30,0,4,25,4,24,4,24,4,26,2,26,2,26,6,0,5,0,3,26,6,0,6,0,29,30,30,0,29,0,30,1,0,29,0,0,30,0,30,0,0,0,30,0,30,0,30,0,1,0,1,29,0,0,30,0,30,0,0,30,0,0,30,0,30,0,30,0,30,0,0,0,0,0,1,0,1,0,30,0,30,0,1,0,0,0,0,0,0,0,0,30,0,30,0,1,1.0
10,9,11,17,5,24,5,24,5,21,6,20,10,19,14,8,20,23,6,4,9,17,5,20,10,14,10,6,22,6,21,9,7,19,23,6,22,8,10,5,20,5,20,6,19,9,19,8,11,6,9,9,11,10,10,10,11,6,21,5,24,4,20,8,20,8,20,6,19,6,8,10,20,6,20,6,10,8,9,6,10,8,20,6,9,10,7,9,10,6,11,5,8,6,10,6,13,16,14,22,9,30,7,14,15,21,12,23,8,30,0,30,0,21,0,30,0,30,0,30,0,0,22,7,30,0,21,8,21,7,21,7,16,9,15,13,14,14,23,0,22,0,15,12,23,0,23,0,21,30,23,8,21,7,22,9,7,21,7,0,30,0,30,0,7,0,30,0,30,0,30,0,9,0,9,21,8,0,30,0,30,0,7,22,7,0,30,0,30,0,30,0,30,0,7,0,7,0,9,0,9,0,30,0,30,0,9,0,0,8,0,7,0,7,0,30,0,30,0,9,-1.0
14,4,15,15,13,30,0,30,0,25,0,23,6,21,14,14,16,30,0,0,13,15,13,16,14,14,14,0,30,0,25,4,13,15,30,0,30,3,14,0,24,0,24,0,22,5,22,4,15,0,13,5,15,6,14,6,15,0,25,0,30,0,24,3,24,3,23,0,22,0,14,6,24,0,24,0,14,3,13,0,14,4,24,0,13,6,13,5,14,0,15,0,14,0,14,0,3,4,26,5,25,10,24,4,27,4,25,6,25,18,7,18,7,4,12,10,12,18,4,13,12,2,5,24,13,12,4,25,4,24,4,24,5,26,3,25,3,25,6,12,5,12,4,25,6,7,6,12,24,30,28,0,28,0,26,2,0,26,2,0,30,0,30,0,2,0,30,0,30,0,30,0,2,0,2,26,2,0,30,0,30,0,2,28,0,0,30,0,30,0,30,0,30,0,0,0,0,0,2,0,2,0,30,0,30,0,2,0,0,0,0,2,0,2,0,30,0,30,0,2,1.0
16,9,17,11,15,26,3,26,3,20,3,18,9,17,9,16,13,25,3,2,15,11,15,13,16,10,17,4,24,4,19,8,15,12,25,3,24,7,17,3,19,3,19,3,17,8,17,7,18,4,15,9,17,10,16,10,17,4,20,3,26,2,18,7,19,7,18,3,17,3,16,11,19,3,19,3,17,8,15,4,16,8,18,4,15,10,15,10,16,4,18,3,16,4,16,3,3,5,26,6,25,16,23,4,27,5,25,7,24,20,8,20,8,5,10,17,10,20,7,18,10,7,6,23,18,10,5,24,5,23,5,23,5,25,3,25,3,25,7,10,6,10,4,25,7,8,7,10,29,14,30,0,29,0,30,0,0,29,0,9,18,0,30,12,0,10,18,10,18,0,30,12,1,0,1,29,0,9,30,0,18,0,0,30,0,0,18,12,16,11,16,12,15,12,0,12,0,10,1,12,0,0,30,0,30,0,1,0,12,0,12,0,10,0,0,30,0,18,0,1,1.0
18,5,18,9,17,26,2,26,2,22,3,20,5,19,7,18,11,25,2,2,17,9,17,11,19,8,19,3,24,2,21,5,17,10,25,2,24,3,19,3,23,3,22,2,19,7,20,5,20,3,18,7,19,7,19,5,20,4,23,3,26,2,21,5,21,3,21,3,21,3,18,7,22,3,22,2,19,3,19,4,19,5,21,3,17,7,17,7,18,3,20,3,18,4,19,3,2,4,27,6,25,9,23,3,28,5,26,7,24,15,11,15,11,5,15,11,15,15,11,11,15,9,6,23,11,15,5,24,5,23,5,23,4,25,2,26,2,26,7,15,6,15,3,26,7,11,7,15,29,16,30,0,29,0,30,0,0,29,0,3,23,0,30,7,0,3,23,3,23,0,30,7,1,0,1,29,0,2,30,0,23,0,0,30,0,0,23,7,19,6,19,7,19,7,0,7,0,3,1,7,0,0,30,0,30,0,1,0,7,0,7,0,3,0,0,30,0,23,0,1,1.0
14,9,16,12,14,25,3,25,3,20,4,18,9,17,10,15,14,23,3,2,14,12,14,14,15,11,16,5,22,5,19,8,14,13,23,4,21,7,16,3,19,3,19,3,17,8,17,7,17,5,14,9,16,10,15,10,16,5,20,3,25,2,17,7,19,7,18,4,17,3,15,11,19,3,19,4,16,8,14,5,15,8,17,5,14,10,14,10,14,5,17,3,15,5,15,4,2,4,27,6,25,20,23,3,28,5,26,7,24,23,5,23,5,5,7,21,7,23,5,21,7,4,6,23,21,7,5,24,5,23,5,23,4,25,2,26,2,26,7,7,6,7,3,26,7,5,7,7,29,12,30,0,29,0,30,0,0,29,0,15,13,0,30,17,0,16,14,15,13,0,30,16,0,0,1,29,0,15,30,0,14,0,0,30,0,0,14,17,13,15,12,16,12,17,0,17,0,16,1,17,0,0,30,0,30,0,1,0,16,0,16,0,16,0,0,30,0,14,0,1,1.0
15,9,17,13,15,21,7,22,8,21,9,20,10,19,12,16,14,20,7,7,15,13,15,14,16,12,15,8,20,8,20,9,15,13,21,8,20,8,16,8,20,7,20,7,19,9,19,8,17,9,15,9,17,10,16,10,17,9,21,8,21,7,19,8,20,8,20,9,19,7,16,10,19,7,20,8,16,8,15,8,16,8,19,8,15,10,15,9,15,9,17,8,16,9,16,9,2,4,27,5,26,24,24,3,28,4,26,6,25,26,3,26,3,4,4,24,4,26,2,25,4,2,5,24,25,4,4,25,4,24,4,24,4,26,2,26,2,26,6,4,5,4,3,26,6,3,6,4,29,15,30,0,29,0,30,0,0,29,0,11,17,0,30,13,0,12,17,12,17,0,30,13,1,0,1,29,0,11,30,0,17,0,0,30,0,0,17,13,16,12,16,13,15,13,0,13,0,12,1,13,0,0,30,0,30,0,1,0,13,0,13,0,12,0,0,30,0,17,0,1,1.0
16,8,17,13,15,26,3,26,2,20,3,18,10,17,12,16,14,25,4,2,15,13,15,14,16,12,16,4,24,3,19,8,15,13,25,2,24,6,16,3,20,3,19,4,17,9,18,8,17,3,15,9,17,10,16,10,17,4,21,3,26,2,20,7,19,6,19,4,18,4,16,10,20,4,20,2,16,6,15,4,16,8,20,3,15,10,15,9,16,3,17,3,16,4,16,4,3,5,26,6,25,20,23,4,27,5,25,7,24,22,7,22,7,5,8,20,8,22,6,21,8,6,6,23,21,8,5,24,5,23,5,23,5,25,3,25,3,25,7,8,6,8,4,25,7,7,7,8,29,23,30,0,29,0,30,1,0,29,0,0,27,0,30,3,0,1,27,1,27,0,30,3,1,0,1,29,0,0,30,0,27,0,0,30,0,0,27,3,25,3,25,3,24,3,0,3,0,1,1,3,1,0,30,0,30,0,1,0,3,0,3,0,1,0,0,30,0,27,0,1,1.0
