@relation 'Sax dominant'

@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atLcc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o2atMaa numeric
@attribute o2atMbb numeric
@attribute o2atLbb numeric
@attribute o2atLcc numeric
@attribute o2atMab numeric
@attribute o2atLab numeric
@attribute o2atMbc numeric
@attribute o2atLbc numeric
@attribute o2atMba numeric
@attribute o2atLba numeric
@attribute o2atMcb numeric
@attribute o2atLcb numeric
@attribute o3atLcc numeric
@attribute o3atMbb numeric
@attribute o3atLbb numeric
@attribute o3atMaa numeric
@attribute o3atMab numeric
@attribute o3atLab numeric
@attribute o3atMcb numeric
@attribute o3atLcb numeric
@attribute o3atMba numeric
@attribute o3atLba numeric
@attribute o3atMbc numeric
@attribute o3atLbc numeric
@attribute destClass {2,3,7,6,4,5,1}

@data
31,4,26,26,4,27,5,0,31,0,31,0,9,18,20,12,10,21,19,13,10,21,18,12,6,24,19,8,10,21,25,7,10,21,24,6,7.0
31,9,21,22,10,21,9,0,31,0,31,0,14,22,14,8,16,16,23,9,15,15,22,8,12,18,31,0,0,31,19,13,0,31,18,12,6.0
31,15,14,15,16,15,16,0,31,0,31,0,20,25,9,5,21,10,26,6,21,10,25,5,20,10,31,0,0,31,11,21,0,31,10,20,4.0
31,11,18,19,12,19,12,0,31,0,31,0,15,31,15,0,15,15,31,0,16,16,31,0,23,7,25,5,6,26,7,23,5,25,8,24,5.0
31,5,25,26,6,25,5,0,31,0,31,0,20,22,10,8,21,11,23,9,20,10,22,8,11,18,31,0,0,31,19,12,0,31,19,12,4.0
31,6,23,24,7,24,7,0,31,0,31,0,13,21,16,9,14,17,22,10,14,17,21,9,10,20,29,0,1,30,21,11,1,30,20,10,4.0
31,20,9,10,21,10,21,0,31,0,31,0,18,26,11,4,19,12,27,5,19,12,26,4,22,8,31,0,0,31,9,23,0,31,8,22,3.0
31,7,23,23,7,24,8,0,31,0,31,0,8,23,21,7,9,22,24,8,9,22,23,7,18,12,22,8,8,22,13,19,9,23,12,18,2.0
28,8,21,22,9,22,9,2,29,3,28,2,14,26,15,4,15,16,27,5,15,16,26,4,13,16,31,0,0,31,17,14,0,31,17,14,6.0
26,31,0,0,31,0,31,3,27,4,27,4,18,24,11,6,19,12,25,7,19,12,24,6,16,14,24,5,6,25,15,17,6,25,14,16,6.0
31,17,13,14,18,13,17,0,31,0,31,0,21,31,9,0,21,9,31,0,22,10,31,0,26,2,31,0,0,31,3,27,0,31,4,28,5.0
31,7,23,24,8,23,7,0,31,0,31,0,9,20,20,10,10,21,21,11,10,21,20,10,8,22,31,0,0,31,23,9,0,31,22,8,5.0
29,29,1,2,30,1,29,0,30,1,30,1,18,20,12,10,19,13,21,11,18,12,20,10,11,19,24,5,6,25,20,12,6,25,19,11,6.0
31,14,16,17,15,16,14,0,31,0,31,0,16,29,12,1,18,14,30,2,17,13,29,1,21,9,31,0,0,31,10,22,0,31,9,21,6.0
31,8,22,23,9,22,8,0,31,0,31,0,17,22,11,8,19,13,23,9,18,12,22,8,14,16,31,0,0,31,17,15,0,31,16,14,4.0
31,4,26,26,4,27,5,0,31,0,31,0,10,25,19,5,11,20,26,6,11,20,25,5,17,13,26,3,4,27,14,18,4,27,13,17,5.0
31,5,25,25,5,26,6,0,31,0,31,0,7,18,22,12,8,23,19,13,8,23,18,12,11,19,19,10,11,20,20,12,11,20,19,11,4.0
31,9,21,22,10,21,9,0,31,0,31,0,12,22,16,8,14,18,23,9,13,17,22,8,14,16,31,0,0,31,17,15,0,31,16,14,7.0
31,0,29,30,1,30,1,0,31,0,31,0,18,20,12,10,19,13,21,11,18,12,20,10,5,24,31,0,0,31,25,6,0,31,25,6,3.0
31,15,14,15,16,15,16,0,31,0,31,0,14,21,15,9,15,16,22,10,15,16,21,9,8,22,27,2,3,28,23,9,3,28,22,8,2.0
27,8,22,23,9,22,8,3,28,4,27,3,13,24,15,6,15,17,25,7,14,16,24,6,13,16,31,0,0,31,17,14,0,31,17,14,6.0
31,5,25,26,6,25,5,0,31,0,31,0,19,21,11,9,20,12,22,10,19,11,21,9,16,13,31,0,0,31,14,17,0,31,14,17,1.0
31,5,25,26,6,25,5,0,31,0,31,0,20,21,10,9,21,11,22,10,20,10,21,9,14,15,31,0,0,31,16,15,0,31,16,15,2.0
31,14,15,16,15,16,15,0,31,0,31,0,13,21,16,9,14,17,22,10,14,17,21,9,9,21,26,3,4,27,22,10,4,27,21,9,2.0
