@relation 'Sax dominant'

@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atLccc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute destClass {-1.0,1.0}

@data
27,31,26,66,24,26,67,28,57,34,57,33,60,31,54,65,25,67,25,68,60,30,60,28,54,33,24,68,26,65,26,34,26,34,26,31,25,34,25,34,26,34,26,33,1.0
27,26,26,66,24,26,67,22,57,31,58,31,62,26,54,65,25,67,25,68,63,26,63,24,55,31,24,68,26,65,27,32,26,31,26,26,25,31,25,32,26,31,26,31,1.0
28,23,26,65,24,28,66,21,62,27,63,28,66,23,59,64,25,66,26,68,67,23,67,22,61,27,24,67,27,64,28,28,26,27,26,23,25,27,26,28,27,27,27,28,1.0
28,25,27,62,21,27,63,20,59,30,59,29,64,25,55,59,23,66,23,67,64,24,64,21,55,29,22,67,27,61,27,30,27,30,27,25,23,30,23,30,27,30,27,29,1.0
28,32,27,64,24,27,65,28,54,36,54,35,58,32,52,62,25,66,25,67,58,31,58,30,52,35,24,67,27,63,27,36,27,36,27,32,25,36,25,36,27,36,27,35,-1.0
23,25,22,70,20,22,71,23,65,27,65,26,67,25,63,69,21,71,21,72,67,24,67,23,63,26,20,72,22,69,22,27,22,27,22,25,21,27,21,27,22,27,22,26,1.0
25,25,23,67,21,24,68,21,60,28,61,29,64,25,57,65,22,69,22,70,65,25,65,22,57,29,21,70,24,66,25,30,24,29,24,25,22,29,22,30,24,28,24,29,1.0
28,26,26,62,21,26,63,20,56,31,56,30,62,26,52,59,23,66,23,67,62,25,62,22,52,31,22,67,27,61,27,32,27,32,27,26,23,32,23,32,27,31,27,30,1.0
31,23,30,62,28,30,63,19,63,27,63,26,67,23,61,61,29,63,29,64,67,22,67,21,61,26,28,64,30,61,30,27,30,27,30,23,29,27,29,27,30,27,30,26,-1.0
28,32,27,64,24,27,65,30,56,34,56,34,59,31,53,63,25,66,25,67,60,31,59,30,55,34,25,67,27,64,27,35,27,34,27,31,25,34,25,35,27,34,27,34,-1.0
31,30,30,61,26,31,62,26,51,36,52,37,57,30,46,60,28,63,28,64,58,30,58,27,48,36,27,64,30,60,31,37,30,36,30,30,28,36,28,37,30,36,30,37,1.0
27,34,26,66,24,26,67,28,41,42,42,43,50,33,35,65,25,67,25,68,52,34,51,31,39,43,24,68,26,65,27,44,26,42,26,33,25,42,25,44,26,42,26,43,1.0
25,23,22,67,20,24,68,19,59,27,59,28,65,22,55,65,21,69,22,70,65,22,65,21,57,27,20,70,23,65,24,29,23,28,24,23,22,29,22,29,24,27,23,28,1.0
20,19,18,73,17,19,74,16,69,21,69,21,72,19,67,72,18,74,18,75,72,18,72,17,67,21,17,75,19,72,19,22,19,22,19,19,18,22,18,22,19,21,19,21,-1.0
25,32,24,68,22,24,69,28,54,36,54,35,58,32,50,67,23,69,23,70,58,31,58,28,50,35,22,70,24,67,24,36,24,36,24,32,23,36,23,36,24,36,24,35,1.0
24,24,23,69,21,23,70,18,56,31,56,30,63,24,52,68,22,70,22,71,63,23,63,21,53,30,21,71,23,68,23,31,23,31,23,24,22,31,22,31,23,31,23,30,1.0
24,24,23,69,21,23,70,19,60,29,60,28,65,24,56,68,22,70,22,71,65,23,65,20,56,28,21,71,23,68,23,29,23,29,23,24,22,29,22,29,23,29,23,28,1.0
36,19,35,56,31,36,57,16,68,21,69,23,71,18,65,54,33,58,33,59,73,19,72,16,66,22,31,59,35,54,36,23,35,21,35,18,33,21,33,23,35,21,35,23,-1.0
23,30,21,68,18,22,69,24,45,38,46,39,54,30,38,65,19,71,19,72,55,30,55,26,41,39,18,72,22,67,23,40,22,39,22,30,19,39,19,40,22,38,22,39,1.0
26,27,24,66,22,24,67,24,56,31,57,31,61,27,52,64,23,68,23,69,62,27,62,25,54,32,22,69,25,65,26,33,25,32,25,27,23,32,23,33,25,31,25,31,1.0
27,25,24,65,22,26,66,20,56,29,57,31,62,24,53,63,23,67,24,68,63,25,63,23,54,30,22,68,25,63,27,32,25,30,26,25,24,31,24,32,26,29,25,31,1.0
26,25,24,66,22,24,67,22,59,29,59,28,64,25,55,64,23,68,23,69,64,24,64,23,57,29,22,69,25,65,25,30,25,30,25,25,23,30,23,30,25,29,25,28,1.0
24,26,23,69,21,23,70,23,62,29,62,28,65,26,59,68,22,70,22,71,65,25,65,23,59,28,21,71,23,68,23,29,23,29,23,26,22,29,22,29,23,29,23,28,1.0
25,26,23,67,21,24,68,22,59,29,60,30,63,26,56,65,22,69,22,70,64,26,64,23,56,30,21,70,24,66,25,31,24,30,24,26,22,30,22,31,24,29,24,30,1.0
27,24,26,63,21,26,64,20,60,29,60,28,65,24,55,60,22,67,22,68,65,23,65,20,56,28,22,68,26,63,26,29,26,29,26,24,22,29,22,29,26,29,26,28,1.0
25,32,22,68,22,24,69,28,54,33,54,35,58,30,50,67,22,69,23,70,59,31,58,28,51,34,22,70,23,67,24,36,23,34,24,31,23,35,23,36,24,33,23,35,-1.0
26,22,23,66,22,24,67,16,56,28,56,28,64,22,50,64,23,68,23,69,64,21,64,18,52,29,22,69,25,65,25,30,25,30,25,22,23,30,23,30,25,28,25,28,1.0
25,24,24,68,22,24,69,20,62,28,62,27,66,24,59,67,23,69,23,70,66,23,66,21,59,27,22,70,24,67,24,28,24,28,24,24,23,28,23,28,24,28,24,27,1.0
33,27,32,60,30,32,61,23,57,32,57,31,62,27,53,59,31,61,31,62,62,26,62,24,54,31,30,62,32,59,32,32,32,32,32,27,31,32,31,32,32,32,32,31,1.0
25,26,23,67,21,23,68,21,57,29,58,30,62,25,53,65,22,69,22,70,64,26,63,22,54,31,21,70,24,66,25,32,24,30,24,25,22,30,22,32,24,29,24,30,1.0
29,23,28,64,26,28,65,21,67,25,67,24,69,23,65,63,27,65,27,66,69,22,69,21,65,24,26,66,28,63,28,25,28,25,28,23,27,25,27,25,28,25,28,24,1.0
34,40,34,58,30,32,58,38,49,42,50,41,51,40,47,56,32,60,31,60,52,40,52,38,47,42,30,60,33,56,34,42,34,42,34,40,32,42,32,43,33,42,34,41,1.0
26,27,24,66,22,25,67,22,54,32,55,33,60,27,50,64,23,68,23,69,61,27,61,24,51,33,22,69,25,65,26,34,25,33,25,27,23,33,23,34,25,32,25,33,1.0
30,40,29,63,27,29,64,37,47,43,48,43,50,40,46,62,28,64,28,65,51,40,51,39,46,43,27,65,29,62,30,44,29,43,29,40,28,43,28,44,29,43,29,43,-1.0
25,35,24,68,22,24,69,30,45,42,45,41,52,35,42,67,23,69,23,70,52,34,52,34,44,41,22,70,24,67,24,42,24,42,24,35,23,42,23,42,24,42,24,41,-1.0
25,29,23,68,22,24,69,25,55,33,55,33,60,29,50,67,23,69,23,70,60,28,60,25,51,33,22,70,24,67,24,34,24,34,24,29,23,34,23,34,24,33,24,33,1.0
22,20,20,71,19,21,72,18,70,21,70,21,72,20,68,70,20,72,20,73,72,19,72,18,68,21,19,73,21,70,21,22,21,22,21,20,20,22,20,22,21,21,21,21,-1.0
33,15,32,60,30,32,61,12,73,17,73,17,76,14,71,59,31,61,31,62,77,14,76,13,72,17,30,62,32,59,32,18,32,17,32,14,31,17,31,18,32,17,32,17,-1.0
24,26,23,68,19,23,69,22,60,30,60,29,64,26,56,66,21,70,21,71,64,25,64,22,56,29,19,71,23,66,23,30,23,30,23,26,21,30,21,30,23,30,23,29,1.0
21,13,20,72,18,20,73,10,72,17,73,17,76,13,69,71,19,73,19,74,77,13,77,11,70,17,18,74,20,71,21,18,20,17,20,13,19,17,19,18,20,17,20,17,-1.0
23,15,22,70,20,22,71,10,69,20,69,19,74,15,66,69,21,71,21,72,74,14,74,12,66,19,20,72,22,69,22,20,22,20,22,15,21,20,21,20,22,20,22,19,1.0
26,34,25,67,23,25,68,31,52,38,52,37,56,34,48,66,24,68,24,69,56,33,56,31,49,37,23,69,25,66,25,38,25,38,25,34,24,38,24,38,25,38,25,37,1.0
25,25,24,68,22,24,69,23,63,28,63,27,66,25,60,67,23,69,23,70,66,24,66,23,61,27,22,70,24,67,24,28,24,28,24,25,23,28,23,28,24,28,24,27,1.0
40,46,39,52,35,40,53,45,47,45,48,47,47,45,47,51,37,54,37,55,49,46,48,45,47,46,36,55,39,51,40,47,39,45,39,45,37,45,37,47,39,45,39,47,-1.0
26,28,24,67,23,25,68,24,58,31,58,31,62,28,55,66,24,68,24,69,62,27,62,25,55,31,23,69,25,66,25,32,25,32,25,28,24,32,24,32,25,31,25,31,1.0
26,27,25,67,23,25,68,22,57,32,57,31,62,27,53,66,24,68,24,69,62,26,62,23,53,31,23,69,25,66,25,32,25,32,25,27,24,32,24,32,25,32,25,31,1.0
23,30,22,70,20,22,71,25,54,34,54,34,59,29,51,69,21,71,21,72,60,29,59,27,52,34,20,72,22,69,22,35,22,34,22,29,21,34,21,35,22,34,22,34,-1.0
30,40,29,63,27,30,64,37,49,41,50,43,51,39,48,62,28,64,28,65,53,40,52,38,48,42,27,65,29,62,30,43,29,41,29,39,28,41,28,43,29,41,29,43,-1.0
26,28,24,67,23,25,68,24,56,32,56,32,61,28,53,66,24,68,24,69,61,27,61,26,54,32,23,69,25,66,25,33,25,33,25,28,24,33,24,33,25,32,25,32,1.0
25,24,23,67,21,24,68,19,60,28,60,28,65,24,56,65,22,69,22,70,65,23,65,20,56,28,21,70,24,66,24,29,24,29,24,24,22,29,22,29,24,28,24,28,1.0
26,27,24,65,21,24,66,23,59,30,59,29,63,27,55,62,22,68,22,69,63,26,63,23,55,30,21,69,25,64,25,31,25,31,25,27,22,31,22,31,25,30,25,29,1.0
19,12,18,74,16,18,75,8,74,16,74,15,78,12,71,73,17,75,17,76,78,11,78,9,71,15,16,76,18,73,18,16,18,16,18,12,17,16,17,16,18,16,18,15,-1.0
30,20,29,63,27,29,64,17,68,23,68,22,71,20,65,62,28,64,28,65,71,19,71,17,65,22,27,65,29,62,29,23,29,23,29,20,28,23,28,23,29,23,29,22,1.0
27,29,25,65,22,25,66,25,52,34,53,34,58,29,47,63,24,67,24,68,59,29,59,26,49,35,22,68,26,63,27,36,26,35,26,29,24,35,24,36,26,34,26,34,1.0
28,39,26,64,24,28,65,37,50,40,51,42,52,39,48,62,25,66,25,67,53,39,53,37,48,41,24,67,27,63,28,42,27,41,27,39,25,41,25,42,27,40,27,42,1.0
24,23,23,68,20,24,69,19,62,27,63,28,66,23,60,67,21,70,21,71,67,23,67,21,60,27,21,71,23,68,24,28,23,27,23,23,21,27,21,28,23,27,23,28,-1.0
26,37,24,66,22,25,67,33,48,39,49,41,52,36,46,64,23,68,23,69,54,37,53,35,47,41,22,69,25,65,26,42,25,40,25,36,23,40,23,42,25,39,25,41,1.0
23,28,21,70,20,22,71,24,57,31,58,32,61,28,53,69,21,71,21,72,62,28,62,24,53,32,20,72,22,69,23,33,22,32,22,28,21,32,21,33,22,31,22,32,1.0
25,28,24,68,22,24,69,24,58,32,58,31,62,28,54,67,23,69,23,70,62,27,62,24,54,31,22,70,24,67,24,32,24,32,24,28,23,32,23,32,24,32,24,31,1.0
24,21,23,69,21,23,70,16,63,26,63,25,68,21,59,68,22,70,22,71,68,20,68,17,59,25,21,71,23,68,23,26,23,26,23,21,22,26,22,26,23,26,23,25,1.0
31,35,30,62,28,30,63,31,50,38,51,39,54,34,48,61,29,63,29,64,56,35,55,33,49,39,28,64,30,61,31,40,30,38,30,34,29,38,29,40,30,38,30,39,1.0
24,20,22,69,21,23,70,15,56,28,56,28,65,20,50,68,22,70,22,71,65,19,65,18,54,28,21,71,23,68,23,29,23,29,23,20,22,29,22,29,23,28,23,28,1.0
35,37,35,56,29,33,56,33,49,41,49,39,53,37,47,54,32,59,31,59,53,36,53,35,47,40,30,59,34,54,34,40,35,41,35,37,32,41,32,41,34,41,35,39,-1.0
27,36,25,65,23,26,66,33,51,38,52,39,54,36,49,63,24,67,24,68,55,36,55,34,49,39,23,68,26,64,27,40,26,39,26,36,24,39,24,40,26,38,26,39,1.0
26,32,24,66,22,24,67,29,52,36,52,35,57,32,48,64,23,68,23,69,57,31,57,30,50,36,22,69,25,65,25,37,25,37,25,32,23,37,23,37,25,36,25,35,1.0
24,22,22,68,20,23,69,18,60,26,60,27,66,21,55,66,21,70,21,71,67,21,66,19,58,27,20,71,23,67,23,28,23,27,23,21,21,27,21,28,23,26,23,27,1.0
24,20,22,67,19,22,68,17,66,23,66,22,70,20,63,64,20,70,20,71,70,19,70,18,64,23,19,71,23,66,23,24,23,24,23,20,20,24,20,24,23,23,23,22,1.0
25,26,23,67,21,24,68,23,59,29,60,30,63,26,55,65,22,69,22,70,64,26,64,23,56,30,21,70,24,66,25,31,24,30,24,26,22,30,22,31,24,29,24,30,1.0
30,20,29,59,21,29,60,16,64,25,64,24,69,20,60,56,24,64,24,65,69,19,69,17,61,24,23,65,29,58,29,25,29,25,29,20,24,25,24,25,29,25,29,24,1.0
29,31,28,64,26,28,65,29,58,32,59,33,60,30,56,63,27,65,27,66,62,31,61,29,57,33,26,66,28,63,29,34,28,32,28,30,27,32,27,34,28,32,28,33,1.0
24,18,22,69,21,23,70,13,66,21,66,22,71,17,61,68,22,70,22,71,72,17,71,13,62,22,21,71,23,68,23,23,23,22,23,17,22,22,22,23,23,21,23,22,1.0
24,28,22,68,20,22,69,25,60,29,60,29,63,27,57,66,21,70,21,71,63,27,63,25,57,29,20,71,22,67,23,31,22,30,23,28,21,31,21,31,23,30,22,29,1.0
24,20,23,69,21,23,70,17,64,25,64,24,69,20,60,68,22,70,22,71,69,19,69,18,62,24,21,71,23,68,23,25,23,25,23,20,22,25,22,25,23,25,23,24,1.0
33,23,32,60,30,32,61,21,67,25,67,24,69,23,65,59,31,61,31,62,69,22,69,21,65,24,30,62,32,59,32,25,32,25,32,23,31,25,31,25,32,25,32,24,-1.0
29,43,28,64,26,28,65,40,45,46,45,45,48,43,43,63,27,65,27,66,48,42,48,41,43,45,26,66,28,63,28,46,28,46,28,43,27,46,27,46,28,46,28,45,-1.0
33,29,31,58,28,32,59,24,55,33,55,33,60,29,52,55,29,61,29,62,60,28,60,26,52,33,28,62,32,57,32,34,32,34,32,29,29,34,29,34,32,33,32,33,-1.0
21,14,19,72,18,20,73,11,72,17,72,17,76,14,69,71,19,73,19,74,76,13,76,12,70,17,18,74,20,71,20,18,20,18,20,14,19,18,19,18,20,17,20,17,-1.0
24,18,22,68,20,22,69,13,60,24,60,24,68,17,54,66,21,70,21,71,68,17,68,15,57,24,20,71,22,67,23,26,22,25,23,18,21,26,21,26,23,25,22,24,1.0
21,10,20,72,18,20,73,6,66,18,66,18,75,9,61,71,19,73,19,74,76,9,75,10,67,18,18,74,20,71,20,19,20,18,20,9,19,18,19,19,20,18,20,18,-1.0
21,22,20,72,18,20,73,17,58,29,58,28,65,22,54,71,19,73,19,74,65,21,65,20,56,28,18,74,20,71,20,29,20,29,20,22,19,29,19,29,20,29,20,28,1.0
34,36,33,59,31,33,60,33,54,37,54,37,56,35,52,58,32,60,32,61,57,35,56,33,52,37,31,61,33,58,33,38,33,37,33,35,32,37,32,38,33,37,33,37,-1.0
28,40,26,64,23,27,65,38,50,41,50,41,52,40,48,62,25,66,25,67,52,39,52,38,48,41,23,67,27,62,27,42,27,42,27,40,25,42,25,42,27,41,27,41,1.0
24,29,23,68,20,23,69,26,58,32,59,32,61,29,55,67,21,70,21,71,62,29,62,26,55,32,21,71,23,68,24,33,23,32,23,29,21,32,21,33,23,32,23,32,1.0
36,44,35,55,29,36,56,43,49,43,50,45,49,43,49,53,32,58,32,59,51,44,50,43,49,44,30,59,35,53,36,45,35,43,35,43,32,43,32,45,35,43,35,45,-1.0
27,21,25,65,22,26,66,19,67,23,67,23,70,21,65,63,24,67,24,68,70,20,70,20,66,23,22,68,26,63,26,24,26,24,26,21,24,24,24,24,26,23,26,23,1.0
32,40,31,60,29,31,60,37,48,42,48,41,51,40,45,58,30,62,30,62,51,39,51,37,45,42,29,62,31,59,31,42,32,43,32,40,30,43,30,43,31,42,32,42,1.0
24,23,22,69,21,23,70,20,65,25,65,25,68,23,62,68,22,70,22,71,68,22,68,20,62,25,21,71,23,68,23,26,23,26,23,23,22,26,22,26,23,25,23,25,-1.0
26,31,25,66,22,26,67,27,54,35,55,36,58,31,51,64,23,68,23,69,59,31,59,28,51,35,22,69,25,65,26,36,25,35,25,31,23,35,23,36,25,35,25,36,-1.0
27,28,25,65,22,26,66,23,51,34,52,35,58,28,46,63,24,67,24,68,59,28,59,25,48,35,22,68,26,63,27,36,26,35,26,28,24,35,24,36,26,34,26,35,1.0
32,34,30,61,29,31,62,31,51,37,52,38,55,34,47,60,30,62,30,63,56,34,56,31,48,38,29,63,31,60,32,39,31,38,31,34,30,38,30,39,31,37,31,38,1.0
26,24,23,66,22,24,67,19,57,28,58,29,63,24,52,64,23,68,23,69,64,24,64,20,53,30,22,69,25,65,26,31,25,30,25,24,23,30,23,31,25,28,25,29,1.0
26,20,24,66,22,25,67,16,60,26,60,26,67,20,54,64,23,68,23,69,67,19,67,17,57,26,22,69,25,65,25,27,25,27,25,20,23,27,23,27,25,26,25,26,1.0
33,26,32,60,30,32,61,23,59,30,60,30,63,26,56,59,31,61,31,62,64,26,64,24,57,30,30,62,32,59,33,31,32,30,32,26,31,30,31,31,32,30,32,30,1.0
25,32,23,68,22,24,69,28,54,35,54,35,58,32,51,67,23,69,23,70,58,31,58,29,51,35,22,70,24,67,24,36,24,36,24,32,23,36,23,36,24,35,24,35,1.0
36,18,35,57,33,35,58,15,71,19,72,20,73,17,69,56,34,58,34,59,75,18,74,15,69,20,33,59,35,56,36,21,35,19,35,17,34,19,34,21,35,19,35,20,-1.0
27,28,25,65,22,26,66,25,59,30,60,31,62,28,56,63,24,67,24,68,63,28,63,25,56,31,22,68,26,63,27,32,26,31,26,28,24,31,24,32,26,30,26,31,1.0
32,31,31,61,29,31,62,28,57,34,57,33,60,31,55,60,30,62,30,63,60,30,60,29,55,33,29,63,31,60,31,34,31,34,31,31,30,34,30,34,31,34,31,33,1.0
25,28,24,68,22,24,69,21,54,33,54,33,60,27,50,67,23,69,23,70,61,27,60,23,50,33,22,70,24,67,24,34,24,33,24,27,23,33,23,34,24,33,24,33,1.0
26,23,24,67,23,25,68,19,61,27,61,27,66,23,57,66,24,68,24,69,66,22,66,20,58,27,23,69,25,66,25,28,25,28,25,23,24,28,24,28,25,27,25,27,1.0
28,19,27,65,25,27,66,14,63,25,63,24,69,19,58,64,26,66,26,67,69,18,69,15,59,24,25,67,27,64,27,25,27,25,27,19,26,25,26,25,27,25,27,24,-1.0
22,23,20,69,17,21,70,18,61,27,61,27,66,23,58,66,18,72,18,73,66,22,66,20,58,27,17,73,21,68,21,28,21,28,21,23,18,28,18,28,21,27,21,27,-1.0
27,23,26,66,24,27,67,19,56,30,57,31,63,23,49,65,25,67,25,68,64,23,64,19,52,30,24,68,26,65,27,31,26,30,26,23,25,30,25,31,26,30,26,31,1.0
34,35,32,60,32,34,61,33,52,38,53,39,55,35,50,60,32,60,33,62,56,35,56,34,51,38,32,61,33,60,34,39,32,38,32,35,32,38,33,39,33,38,33,39,-1.0
38,32,37,54,33,37,55,30,60,32,60,32,61,31,59,52,35,56,35,57,62,31,61,30,59,32,33,57,37,52,37,33,37,32,37,31,35,32,35,33,37,32,37,32,-1.0
30,27,29,61,24,29,62,25,65,27,65,27,66,26,64,59,26,64,26,65,67,26,66,25,64,27,25,65,29,60,29,28,29,27,29,26,26,27,26,28,29,27,29,27,-1.0
29,30,28,64,26,28,65,26,54,34,54,34,59,29,52,63,27,65,27,66,60,29,59,29,54,34,26,66,28,63,28,35,28,34,28,29,27,34,27,35,28,34,28,34,1.0
27,32,24,65,22,25,66,28,54,34,54,34,58,31,50,63,23,67,24,68,58,31,58,28,50,34,22,68,25,63,26,36,25,35,26,32,24,36,24,36,26,34,25,34,1.0
27,39,26,66,24,26,67,35,49,41,49,41,52,38,47,65,25,67,25,68,53,38,52,36,47,41,24,68,26,65,26,42,26,41,26,38,25,41,25,42,26,41,26,41,1.0
24,41,22,69,21,23,70,36,45,43,45,44,49,40,43,68,22,70,22,71,50,40,49,38,43,44,21,71,23,68,23,45,23,44,23,40,22,44,22,45,23,43,23,44,-1.0
25,24,23,67,21,23,68,20,58,29,58,28,64,24,53,65,22,69,22,70,64,23,64,21,55,29,21,70,24,66,24,30,24,30,24,24,22,30,22,30,24,29,24,28,1.0
15,18,13,78,12,14,79,14,70,19,70,20,73,17,67,77,13,79,13,80,74,17,73,14,67,20,12,80,14,77,14,21,14,20,14,17,13,20,13,21,14,19,14,20,-1.0
23,28,22,70,20,22,71,24,58,32,58,31,62,28,54,69,21,71,21,72,62,27,62,24,54,31,20,72,22,69,22,32,22,32,22,28,21,32,21,32,22,32,22,31,1.0
28,37,26,64,23,27,65,34,48,40,49,41,52,37,46,62,25,66,25,67,53,37,53,36,47,41,23,67,27,62,28,42,27,41,27,37,25,41,25,42,27,40,27,41,1.0
25,25,23,67,21,24,68,20,56,29,57,31,62,24,53,65,22,69,22,70,63,25,63,23,54,30,21,70,23,66,25,32,23,30,24,25,22,31,22,32,24,30,23,31,1.0
24,11,21,64,15,21,64,6,65,17,65,17,74,10,58,59,17,70,17,70,74,10,74,8,62,18,16,70,22,62,23,19,23,19,24,11,18,20,18,20,23,17,23,17,1.0
26,22,25,66,22,25,66,16,53,30,54,31,62,22,50,64,24,68,23,68,63,22,63,22,53,31,22,68,25,64,26,31,26,31,26,22,24,31,24,32,25,30,26,31,1.0
33,40,32,60,30,32,61,38,48,43,48,42,51,40,46,59,31,61,31,62,51,39,51,39,47,42,30,62,32,59,32,43,32,43,32,40,31,43,31,43,32,43,32,42,-1.0
27,33,26,66,24,26,67,29,52,36,53,37,56,32,49,65,25,67,25,68,58,33,57,30,50,37,24,68,26,65,27,38,26,36,26,32,25,36,25,38,26,36,26,37,1.0
24,30,23,69,21,23,70,27,60,31,60,31,62,29,58,68,22,70,22,71,63,29,62,27,58,31,21,71,23,68,23,32,23,31,23,29,22,31,22,32,23,31,23,31,-1.0
27,32,25,65,23,26,66,29,55,34,56,35,58,32,52,63,24,67,24,68,59,32,59,29,52,35,23,68,26,64,27,36,26,35,26,32,24,35,24,36,26,34,26,35,1.0
27,33,25,65,23,27,66,30,52,36,53,38,56,33,48,63,24,67,24,68,57,33,57,30,49,37,23,68,26,64,27,38,26,37,26,33,24,37,24,38,26,36,26,38,1.0
29,29,27,62,22,28,63,26,58,31,59,32,61,29,55,61,25,65,25,66,62,29,62,26,55,32,24,66,28,61,29,33,28,32,28,29,25,32,25,33,28,31,28,32,1.0
31,30,30,62,28,30,63,26,56,33,56,33,60,29,54,61,29,63,29,64,61,29,60,28,55,33,28,64,30,61,30,34,30,33,30,29,29,33,29,34,30,33,30,33,-1.0
21,19,19,72,18,20,73,14,63,24,63,24,69,19,58,71,19,73,19,74,69,18,69,15,59,24,18,74,20,71,20,25,20,25,20,19,19,25,19,25,20,24,20,24,-1.0
27,12,26,66,24,27,67,9,69,18,70,19,75,12,64,65,25,67,25,68,76,12,76,10,67,18,24,68,26,65,27,19,26,18,26,12,25,18,25,19,26,18,26,19,1.0
30,20,29,63,27,29,64,18,68,23,68,22,71,20,65,62,28,64,28,65,71,19,71,18,66,22,27,65,29,62,29,23,29,23,29,20,28,23,28,23,29,23,29,22,1.0
29,36,27,63,24,28,64,32,50,39,50,39,54,36,48,61,26,65,26,66,54,35,54,34,48,39,24,66,28,61,28,40,28,40,28,36,26,40,26,40,28,39,28,39,1.0
