@relation 'Sax dominant'

@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMaaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMbcd numeric
@attribute o1atLbcd numeric
@attribute o1atMded numeric
@attribute o1atLded numeric
@attribute o1atMacd numeric
@attribute o1atLacd numeric
@attribute o1atMcdc numeric
@attribute o1atLcdc numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMdcd numeric
@attribute o1atLdcd numeric
@attribute o1atMdde numeric
@attribute o1atLdde numeric
@attribute o1atMedd numeric
@attribute o1atLedd numeric
@attribute o1atMddd numeric
@attribute o1atLddd numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMcde numeric
@attribute o1atLcde numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atLeee numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMdee numeric
@attribute o1atLdee numeric
@attribute o1atMeed numeric
@attribute o1atLeed numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMdca numeric
@attribute o1atLdca numeric
@attribute o1atMcce numeric
@attribute o1atLcce numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMadd numeric
@attribute o1atLadd numeric
@attribute o1atMdcb numeric
@attribute o1atLdcb numeric
@attribute o1atMaed numeric
@attribute o1atLaed numeric
@attribute o1atMedc numeric
@attribute o1atLedc numeric
@attribute o1atMcdb numeric
@attribute o1atLcdb numeric
@attribute o1atMdba numeric
@attribute o1atLdba numeric
@attribute o1atMbce numeric
@attribute o1atLbce numeric
@attribute o1atMadc numeric
@attribute o1atLadc numeric
@attribute o1atMede numeric
@attribute o1atLede numeric
@attribute o1atMbdc numeric
@attribute o1atLbdc numeric
@attribute o1atMabd numeric
@attribute o1atLabd numeric
@attribute o1atMedb numeric
@attribute o1atLedb numeric
@attribute o1atMdbb numeric
@attribute o1atLdbb numeric
@attribute o1atMbdd numeric
@attribute o1atLbdd numeric
@attribute o1atMecb numeric
@attribute o1atLecb numeric
@attribute o1atMaec numeric
@attribute o1atLaec numeric
@attribute o1atMabe numeric
@attribute o1atLabe numeric
@attribute o1atMaee numeric
@attribute o1atLaee numeric
@attribute o1atMbbe numeric
@attribute o1atLbbe numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute destClass {2,1}

@data
15,73,13,15,78,57,35,56,34,52,72,14,74,18,75,20,38,73,18,16,38,53,37,14,79,16,76,57,33,75,18,74,18,73,33,54,36,55,38,58,19,16,76,20,74,18,73,15,74,14,78,16,19,72,76,17,75,17,16,75,17,73,15,36,55,19,14,77,16,35,18,36,16,18,56,18,18,37,15,36,20,19,16,37,76,16,20,37,16,38,18,18,17,36,20,35,18,18,16,18,16,19,16,17,18,19,16,74,1.0
13,75,11,13,80,59,32,59,32,55,74,12,76,16,77,18,35,76,15,14,35,55,34,12,81,14,78,59,30,78,15,77,15,76,30,57,34,57,35,60,15,14,78,18,76,16,75,13,76,12,80,13,17,74,79,14,78,14,14,77,15,75,13,34,58,16,12,79,14,32,16,34,14,15,59,15,16,34,13,34,18,16,14,34,79,13,18,34,14,35,16,15,15,34,18,32,16,15,14,15,14,16,14,14,16,16,14,76,2.0
15,74,13,15,78,56,35,56,35,52,73,14,75,17,76,19,38,75,16,16,38,52,37,14,79,15,76,56,33,77,16,76,16,75,33,54,37,54,38,57,16,16,77,19,75,17,73,14,74,13,78,14,18,73,78,15,77,15,15,75,16,73,15,37,55,17,13,77,16,35,17,37,16,16,56,16,17,37,14,37,19,17,16,37,78,14,19,37,16,38,17,16,16,37,19,35,17,16,16,16,16,17,16,15,17,17,16,75,1.0
15,72,13,15,78,52,40,51,39,47,71,14,73,19,74,21,43,76,15,16,43,47,42,14,79,17,76,52,37,78,15,77,15,76,37,49,41,50,43,53,16,16,75,21,73,19,72,15,73,14,78,13,20,71,79,14,78,14,17,74,18,72,15,41,50,16,14,77,16,40,19,41,16,15,51,15,19,42,15,41,21,16,16,42,79,13,21,42,16,43,19,15,18,41,21,40,19,15,16,15,16,16,16,14,19,16,16,73,1.0
14,73,12,14,79,58,34,57,33,53,72,13,74,18,75,20,37,74,17,15,37,54,36,13,80,16,77,58,32,76,17,75,17,74,32,55,35,56,37,59,18,15,76,20,74,18,73,14,74,13,79,15,19,72,77,16,76,16,16,75,17,73,14,35,56,18,13,78,15,34,18,35,15,17,57,17,18,36,14,35,20,18,15,36,77,15,20,36,15,37,18,17,17,35,20,34,18,17,15,17,15,18,15,16,18,18,15,74,1.0
13,75,11,13,80,61,30,61,30,57,74,12,76,16,77,18,33,73,18,14,33,58,32,12,81,14,78,61,29,75,18,74,18,73,29,59,32,59,33,62,18,14,78,18,76,16,75,13,76,12,80,16,17,74,76,17,75,17,14,77,15,75,13,32,60,19,12,79,14,30,16,32,14,18,61,18,16,32,13,32,18,19,14,32,76,16,18,32,14,33,16,18,15,32,18,30,16,18,14,18,14,19,14,17,16,19,14,76,2.0
14,73,12,14,79,50,40,50,40,44,72,13,74,18,75,20,44,76,15,15,44,45,43,13,80,16,77,50,38,78,15,77,15,76,38,47,42,47,44,51,15,15,76,20,74,17,73,14,74,13,79,13,19,72,79,14,78,14,16,75,17,73,14,43,48,16,13,78,15,40,18,43,15,15,50,15,17,43,14,43,20,16,15,43,79,13,20,43,15,44,18,15,17,43,20,40,18,15,15,15,15,16,15,14,18,16,15,74,1.0
14,74,12,14,79,45,45,45,45,40,73,13,75,17,75,19,48,81,10,15,49,40,48,13,80,16,77,45,43,83,10,82,10,81,42,42,48,42,48,46,10,14,76,18,74,18,74,14,75,13,79,8,18,73,84,9,83,9,16,75,17,74,14,48,43,11,13,78,15,45,18,48,15,10,45,10,18,48,14,48,19,11,14,48,84,8,18,48,14,49,18,10,17,48,19,45,18,10,14,10,14,11,15,9,17,11,14,75,2.0
13,74,11,13,80,57,36,56,35,54,73,12,75,17,76,19,38,73,18,14,38,54,37,12,81,15,78,57,34,75,18,74,18,73,34,55,36,56,38,58,19,14,77,19,75,17,74,13,75,12,80,16,18,73,76,17,75,17,15,76,16,75,13,36,56,19,13,79,14,36,17,36,14,18,56,18,17,37,13,36,19,19,14,37,76,16,19,37,14,38,17,18,16,36,19,36,17,18,14,18,14,19,14,17,17,19,14,75,2.0
15,62,13,15,78,56,36,55,35,52,60,14,64,27,65,30,39,73,18,16,39,52,38,14,79,24,76,56,34,75,18,74,18,73,33,53,37,54,39,57,19,16,66,30,63,28,62,15,64,14,78,16,29,60,76,17,75,17,24,65,26,63,15,37,54,19,14,77,16,36,28,37,16,18,55,18,28,38,15,37,30,19,16,38,76,16,30,38,16,39,28,18,26,37,30,36,28,18,16,18,16,19,16,17,27,19,16,63,1.0
13,74,11,13,80,56,35,56,35,52,73,12,75,17,76,19,38,77,14,14,38,52,37,12,81,15,78,56,33,79,14,78,14,77,33,54,37,54,38,57,14,14,77,19,75,17,74,13,75,12,80,12,18,73,80,13,79,13,15,76,16,74,13,37,55,15,12,79,14,35,17,37,14,14,56,14,17,37,13,37,19,15,14,37,80,12,19,37,14,38,17,14,16,37,19,35,17,14,14,14,14,15,14,13,17,15,14,75,2.0
14,75,12,14,79,54,37,53,37,50,74,13,76,16,76,17,39,78,12,14,40,50,39,13,80,15,77,54,35,79,13,79,12,77,35,52,39,52,39,54,13,14,77,17,75,17,74,13,75,12,79,10,17,74,81,11,81,11,15,75,16,74,14,39,52,13,12,78,14,38,17,39,15,13,54,13,17,39,13,39,17,13,14,40,81,10,17,39,14,40,17,13,16,39,17,37,17,13,14,13,14,13,15,11,16,13,14,76,2.0
13,75,11,13,80,53,38,53,38,49,74,12,76,16,77,18,41,79,12,14,41,49,40,12,81,14,78,53,36,81,12,80,12,79,36,51,40,51,41,54,12,14,78,18,76,16,75,13,76,12,80,10,17,74,82,11,81,11,14,77,15,75,13,40,52,13,12,79,14,38,16,40,14,12,53,12,16,40,13,40,18,13,14,40,82,10,18,40,14,41,16,12,15,40,18,38,16,12,14,12,14,13,14,11,16,13,14,76,2.0
13,76,11,13,80,48,43,48,43,44,75,12,77,15,77,17,45,82,9,14,46,44,45,12,81,14,78,48,41,84,9,83,9,82,41,46,45,46,45,49,9,13,78,16,76,16,76,13,77,12,80,7,16,75,85,8,84,8,14,77,15,76,13,45,47,10,12,79,14,43,16,45,14,9,48,9,16,45,13,45,17,10,13,45,85,7,16,45,13,46,16,9,15,45,17,43,16,9,13,9,13,10,14,8,15,10,13,77,2.0
12,75,10,12,81,61,32,60,31,58,74,11,76,16,77,18,34,73,18,13,34,58,33,11,82,14,79,61,30,75,18,74,18,73,30,59,32,60,34,62,19,13,78,18,76,16,75,12,76,11,81,16,17,74,76,17,75,17,14,77,15,75,12,32,60,19,11,80,13,32,16,32,13,18,60,18,16,33,12,32,18,19,13,33,76,16,18,33,13,34,16,18,15,32,18,32,16,18,13,18,13,19,13,17,16,19,13,76,2.0
14,62,12,14,79,60,32,59,31,55,60,13,64,27,65,30,35,73,18,15,35,55,34,13,80,24,77,60,29,75,18,74,18,73,29,57,33,58,35,61,19,15,66,30,63,28,61,13,63,12,79,16,29,60,76,17,75,17,24,64,26,62,14,33,58,19,12,78,15,32,28,33,15,18,59,18,28,34,13,33,30,19,15,34,76,16,30,34,15,35,28,18,26,33,30,32,28,18,15,18,15,19,15,17,27,19,15,63,1.0
13,63,11,13,80,58,35,57,34,55,61,12,66,24,67,28,37,72,19,14,37,55,36,12,81,20,78,58,33,74,19,73,19,72,33,56,35,57,37,59,20,14,68,28,64,26,63,13,66,12,80,17,27,61,75,18,74,18,21,67,23,65,13,35,57,20,12,79,14,35,26,35,14,19,57,19,26,36,13,35,28,20,14,36,75,17,28,36,14,37,26,19,23,35,28,35,26,19,14,19,14,20,14,18,24,20,14,64,1.0
14,71,12,14,79,59,34,58,33,56,69,13,73,18,74,21,36,71,20,15,36,56,35,13,80,16,77,59,32,73,20,72,20,71,32,57,34,58,36,60,21,15,75,21,72,19,71,14,73,13,79,18,20,70,74,19,73,19,16,74,17,72,14,34,58,21,13,78,15,34,19,34,15,20,58,20,19,35,14,34,21,21,15,35,74,18,21,35,15,36,19,20,17,34,21,34,19,20,15,20,15,21,15,19,18,21,15,72,1.0
14,72,13,15,78,53,37,53,37,47,71,14,73,19,74,21,41,74,17,16,41,48,39,14,79,17,76,53,35,76,17,75,17,74,35,50,39,50,41,54,17,16,75,21,73,17,72,14,73,14,78,15,19,71,77,16,76,16,17,74,17,72,15,39,51,18,14,77,16,37,18,39,16,17,53,17,18,40,15,40,21,18,16,39,77,15,21,39,16,41,19,17,18,39,21,37,18,17,16,17,16,18,16,16,19,18,16,73,1.0
14,75,12,14,79,52,37,52,37,48,74,13,76,16,76,17,40,78,12,14,41,48,40,13,80,15,77,53,35,79,12,79,12,77,34,50,40,50,40,53,13,14,77,17,75,17,74,13,75,12,79,10,17,74,81,11,81,11,15,75,16,74,14,40,50,13,12,78,14,38,17,40,15,13,53,13,17,40,13,40,17,13,14,41,81,10,17,40,14,41,17,13,16,40,17,37,17,13,14,13,14,13,15,11,16,13,14,76,2.0
14,73,12,14,79,56,37,55,36,53,72,13,74,18,75,20,39,72,19,15,39,53,38,13,80,16,77,56,35,74,19,73,19,72,35,54,37,55,39,57,20,15,76,20,74,18,73,14,74,13,79,17,19,72,75,18,74,18,16,75,17,73,14,37,55,20,13,78,15,37,18,37,15,19,55,19,18,38,14,37,20,20,15,38,75,17,20,38,15,39,18,19,17,37,20,37,18,19,15,19,15,20,15,18,18,20,15,74,1.0
13,75,11,13,80,58,34,57,34,56,74,12,76,16,76,17,35,75,15,13,36,56,35,12,81,15,78,58,33,76,16,76,15,74,33,57,35,57,35,58,16,13,77,17,75,17,75,13,76,12,80,13,17,74,78,14,78,14,15,76,16,75,13,35,57,16,12,79,13,35,17,35,14,16,58,16,17,35,13,35,17,16,13,36,78,13,17,35,13,36,17,16,16,35,17,34,17,16,13,16,13,16,14,14,16,16,13,76,2.0
11,50,9,13,81,58,37,56,36,56,48,10,54,35,56,40,38,70,21,13,38,56,37,11,83,30,79,57,36,72,22,71,21,70,36,56,36,57,38,58,22,13,56,40,51,38,50,11,54,10,81,19,39,48,73,20,72,20,32,55,34,53,11,36,57,22,10,80,13,37,38,36,13,21,56,21,38,37,11,36,40,22,13,37,73,19,40,37,13,38,38,21,34,36,40,37,38,21,13,21,13,22,13,20,35,22,13,51,2.0
14,73,12,14,79,58,37,56,36,56,72,13,74,18,75,20,38,73,18,15,38,56,37,13,80,16,77,57,36,75,19,74,18,73,36,56,36,57,38,58,19,15,76,20,74,18,73,14,74,13,79,16,19,72,76,17,75,17,16,75,17,73,14,36,57,19,13,78,15,37,18,36,15,18,56,18,18,37,14,36,20,19,15,37,76,16,20,37,15,38,18,18,17,36,20,37,18,18,15,18,15,19,15,17,18,19,15,74,1.0
10,77,8,10,83,56,37,55,36,53,76,9,78,14,79,16,39,74,17,11,39,53,38,9,84,12,81,56,35,76,17,75,17,74,35,54,37,55,39,57,18,11,80,16,78,14,77,10,78,9,83,15,15,76,77,16,76,16,12,79,13,77,10,37,55,18,9,82,11,37,14,37,11,17,55,17,14,38,10,37,16,18,11,38,77,15,16,38,11,39,14,17,13,37,16,37,14,17,11,17,11,18,11,16,14,18,11,78,2.0
12,75,10,12,81,60,33,59,32,57,74,11,76,16,77,18,35,74,17,13,35,57,34,11,82,14,79,60,31,76,17,75,17,74,31,58,33,59,35,61,18,13,78,18,76,16,75,12,76,11,81,15,17,74,77,16,76,16,14,77,15,75,12,33,59,18,11,80,13,33,16,33,13,17,59,17,16,34,12,33,18,18,13,34,77,15,18,34,13,35,16,17,15,33,18,33,16,17,13,17,13,18,13,16,16,18,13,76,2.0
13,74,11,13,80,59,33,58,32,54,73,12,75,17,76,19,36,74,17,14,36,54,35,12,81,15,78,59,30,76,17,75,17,74,30,56,34,57,36,60,18,14,77,19,75,17,74,13,75,12,80,15,18,73,77,16,76,16,15,76,16,74,13,34,57,18,12,79,14,33,17,34,14,17,58,17,17,35,13,34,19,18,14,35,77,15,19,35,14,36,17,17,16,34,19,33,17,17,14,17,14,18,14,16,17,18,14,75,2.0
14,74,13,15,78,56,35,55,35,49,73,14,75,17,75,18,38,75,16,15,39,50,37,14,79,16,76,55,33,77,17,76,16,75,33,52,37,52,38,56,17,15,76,18,74,16,74,14,75,14,78,14,17,73,78,15,77,15,16,75,16,74,15,37,52,17,14,77,16,36,17,37,16,16,55,16,17,38,15,38,18,17,15,38,78,14,18,37,15,39,18,16,17,37,19,35,17,16,15,16,15,17,16,15,17,17,15,75,1.0
15,73,13,15,78,56,36,55,35,51,72,14,74,18,75,20,39,74,17,16,39,51,38,14,79,16,76,56,33,76,17,75,17,74,33,53,37,54,39,57,18,16,76,20,74,18,72,14,73,13,78,15,19,72,77,16,76,16,16,74,17,72,15,37,54,18,13,77,16,36,18,37,16,17,55,17,18,38,14,37,20,18,16,38,77,15,20,38,16,39,18,17,17,37,20,36,18,17,16,17,16,18,16,16,18,18,16,74,1.0
12,68,10,13,81,58,37,56,36,56,67,11,69,23,71,25,38,68,23,13,38,56,37,11,82,21,79,57,36,70,24,69,23,68,36,56,36,57,38,58,24,13,71,25,69,23,68,12,69,11,81,21,24,67,71,22,70,22,21,70,22,68,12,36,57,24,11,80,13,37,23,36,13,23,56,23,23,37,12,36,25,24,13,37,71,21,25,37,13,38,23,23,22,36,25,37,23,23,13,23,13,24,13,22,23,24,13,69,2.0
13,75,11,13,80,57,34,57,34,53,74,12,76,16,77,18,37,77,14,14,37,53,36,12,81,14,78,57,32,79,14,78,14,77,32,55,36,55,37,58,14,14,78,18,76,16,75,13,76,12,80,12,17,74,80,13,79,13,14,77,15,75,13,36,56,15,12,79,14,34,16,36,14,14,57,14,16,36,13,36,18,15,14,36,80,12,18,36,14,37,16,14,15,36,18,34,16,14,14,14,14,15,14,13,16,15,14,76,2.0
14,72,12,14,79,53,36,54,37,48,70,13,74,17,74,19,39,75,16,14,40,48,39,13,80,16,77,53,34,77,16,76,16,75,34,51,40,50,39,54,16,14,75,19,72,19,72,14,74,13,79,14,19,71,78,15,77,15,16,74,17,73,14,40,51,17,13,78,15,37,19,40,15,16,54,16,19,39,14,40,19,17,14,40,78,14,19,39,14,40,19,16,17,40,20,36,19,16,14,16,14,17,15,15,17,17,14,73,1.0
14,73,12,14,79,57,36,56,35,54,72,13,74,18,75,20,38,75,16,15,38,54,37,13,80,16,77,57,34,77,16,76,16,75,34,55,36,56,38,58,17,15,76,20,74,18,73,14,74,13,79,14,19,72,78,15,77,15,16,75,17,73,14,36,56,17,13,78,15,36,18,36,15,16,56,16,18,37,14,36,20,17,15,37,78,14,20,37,15,38,18,16,17,36,20,36,18,16,15,16,15,17,15,15,18,17,15,74,2.0
14,75,12,14,79,51,40,50,40,47,74,13,76,16,76,17,42,78,12,14,43,47,42,13,80,15,77,51,38,79,13,79,12,77,38,49,42,49,42,51,13,14,77,17,75,17,74,13,75,12,79,10,17,74,81,11,81,11,15,75,16,74,14,42,49,13,12,78,14,41,17,42,15,13,51,13,17,42,13,42,17,13,14,43,81,10,17,42,14,43,17,13,16,42,17,40,17,13,14,13,14,13,15,11,16,13,14,76,2.0
14,73,12,14,79,55,38,54,37,53,72,13,74,18,75,20,40,75,16,15,40,53,39,13,80,16,77,55,37,77,16,76,16,75,36,53,38,54,40,56,17,15,76,20,74,18,73,14,74,13,79,14,19,72,78,15,77,15,16,75,17,73,14,38,54,17,13,78,15,38,18,38,15,16,54,16,18,39,14,38,20,17,15,39,78,14,20,39,15,40,18,16,17,38,20,38,18,16,15,16,15,17,15,15,18,17,15,74,2.0
14,73,12,14,79,58,35,57,34,55,72,13,74,18,75,20,37,73,18,15,37,55,36,13,80,16,77,58,33,75,18,74,18,73,33,56,35,57,37,59,19,15,76,20,74,18,73,14,74,13,79,16,19,72,76,17,75,17,16,75,17,73,14,35,57,19,13,78,15,35,18,35,15,18,57,18,18,36,14,35,20,19,15,36,76,16,20,36,15,37,18,18,17,35,20,35,18,18,15,18,15,19,15,17,18,19,15,74,2.0
13,73,11,13,80,47,44,47,44,43,71,12,75,16,75,18,46,82,9,14,47,43,46,12,81,14,78,47,42,84,9,83,9,82,42,45,46,45,45,48,9,13,76,17,73,18,73,13,75,12,80,7,18,71,85,8,84,8,14,75,16,74,13,46,46,9,12,79,14,44,18,46,14,9,47,9,18,46,13,46,19,10,13,46,85,7,17,46,13,47,18,9,16,46,18,44,18,9,13,9,13,10,14,8,16,10,13,74,2.0
14,63,12,14,79,59,35,58,34,56,61,13,65,26,65,28,36,72,19,14,36,57,35,13,80,24,77,58,34,74,20,73,19,72,34,57,35,57,36,59,20,14,66,28,63,28,63,14,65,13,79,17,28,61,75,18,74,18,24,65,26,64,14,35,57,20,13,78,15,35,28,35,15,19,58,19,28,35,14,35,28,20,15,36,75,17,29,35,14,36,28,19,26,35,29,35,28,19,15,19,14,20,15,18,26,20,14,64,1.0
12,75,10,12,81,56,39,54,38,54,74,11,76,16,77,18,40,74,17,13,40,54,39,11,82,14,79,55,38,76,18,75,17,74,38,54,38,55,40,56,18,13,78,18,76,16,75,12,76,11,81,15,17,74,77,16,76,16,14,77,15,75,12,38,55,18,11,80,13,39,16,38,13,17,54,17,16,39,12,38,18,18,13,39,77,15,18,39,13,40,16,17,15,38,18,39,16,17,13,17,13,18,13,16,16,18,13,76,2.0
