@relation 'Sax dominant'

@attribute o1atMhh numeric
@attribute o1atLhh numeric
@attribute o1atMii numeric
@attribute o1atLii numeric
@attribute o1atMgg numeric
@attribute o1atLgg numeric
@attribute o1atMff numeric
@attribute o1atLff numeric
@attribute o1atMaa numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMee numeric
@attribute o1atLee numeric
@attribute o1atMhi numeric
@attribute o1atLhi numeric
@attribute o1atMfg numeric
@attribute o1atLfg numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMef numeric
@attribute o1atLef numeric
@attribute o1atMgh numeric
@attribute o1atLgh numeric
@attribute o1atMfi numeric
@attribute o1atLfi numeric
@attribute o1atMhk numeric
@attribute o1atLhk numeric
@attribute o1atMaf numeric
@attribute o1atLaf numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMge numeric
@attribute o1atLge numeric
@attribute o1atMih numeric
@attribute o1atLih numeric
@attribute o1atMhg numeric
@attribute o1atLhg numeric
@attribute o1atMgf numeric
@attribute o1atLgf numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMjj numeric
@attribute o1atLjj numeric
@attribute o1atMdf numeric
@attribute o1atLdf numeric
@attribute o1atMfh numeric
@attribute o1atLfh numeric
@attribute o1atMij numeric
@attribute o1atLij numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMgk numeric
@attribute o1atLgk numeric
@attribute o1atMfe numeric
@attribute o1atLfe numeric
@attribute o1atMji numeric
@attribute o1atLji numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMjk numeric
@attribute o1atLjk numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMkj numeric
@attribute o1atLkj numeric
@attribute o1atLkk numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMik numeric
@attribute o1atLik numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMfd numeric
@attribute o1atLfd numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMeg numeric
@attribute o1atLeg numeric
@attribute o1atMfc numeric
@attribute o1atLfc numeric
@attribute o1atMfk numeric
@attribute o1atLfk numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMgd numeric
@attribute o1atLgd numeric
@attribute o1atMag numeric
@attribute o1atLag numeric
@attribute o1atMdg numeric
@attribute o1atLdg numeric
@attribute o1atMeh numeric
@attribute o1atLeh numeric
@attribute o1atMaj numeric
@attribute o1atLaj numeric
@attribute o1atMjh numeric
@attribute o1atLjh numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMig numeric
@attribute o1atLig numeric
@attribute o1atMhf numeric
@attribute o1atLhf numeric
@attribute o1atMek numeric
@attribute o1atLek numeric
@attribute o1atMgi numeric
@attribute o1atLgi numeric
@attribute o1atMgc numeric
@attribute o1atLgc numeric
@attribute o1atMcf numeric
@attribute o1atLcf numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMjg numeric
@attribute o1atLjg numeric
@attribute o1atMhe numeric
@attribute o1atLhe numeric
@attribute o1atMfb numeric
@attribute o1atLfb numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMck numeric
@attribute o1atLck numeric
@attribute o1atMea numeric
@attribute o1atLea numeric
@attribute destClass {2.0,1.0}

@data
65,32,77,27,60,46,46,60,10,13,82,30,75,66,28,48,48,11,84,14,80,17,78,18,77,33,62,61,34,48,29,67,0,12,63,14,76,32,47,66,28,61,33,47,47,11,83,94,15,19,63,48,34,78,16,12,79,62,1,32,62,78,16,17,77,95,0,18,75,94,0,0,11,81,79,0,13,78,17,77,18,62,11,80,15,79,33,48,16,62,48,1,12,77,15,78,16,75,18,47,12,48,19,48,33,34,12,17,66,16,11,78,61,28,47,33,33,1,61,29,16,47,17,63,13,80,61,16,32,33,14,62,15,77,17,1,11,76,1.0
68,28,80,24,64,43,47,71,8,11,84,19,77,69,25,50,46,9,86,12,82,15,80,16,79,22,73,65,30,50,26,70,0,10,74,12,78,21,45,69,25,65,29,49,45,9,85,94,12,17,74,50,30,81,13,10,81,66,1,21,73,81,13,15,79,95,0,16,77,94,0,0,9,83,82,0,11,80,15,79,16,73,9,82,13,81,22,46,14,73,50,1,10,79,13,80,14,77,16,45,10,46,17,46,22,30,10,14,69,13,9,80,65,25,49,29,22,1,65,26,14,45,15,74,11,82,65,13,21,29,12,73,13,79,15,1,9,78,2.0
67,30,79,25,60,50,38,61,11,13,81,29,75,68,26,42,53,12,83,14,80,17,78,18,77,31,63,62,33,42,27,69,0,13,64,14,76,31,53,68,26,62,32,41,52,12,82,94,13,18,64,42,33,80,14,13,79,63,1,30,63,80,14,17,77,95,0,18,75,94,0,0,12,81,81,0,13,78,17,77,18,63,12,80,15,79,32,53,16,63,42,1,13,77,15,78,16,75,18,53,13,54,19,54,32,33,13,15,68,14,12,78,62,26,41,32,32,1,62,27,16,53,17,64,13,80,62,14,31,32,14,63,15,77,17,1,12,76,1.0
66,35,80,26,55,52,34,65,11,14,81,23,76,67,27,39,55,12,83,15,79,16,78,18,77,25,69,57,38,39,28,68,0,13,69,15,77,26,56,67,27,57,37,38,55,12,82,94,12,18,69,39,38,81,13,12,79,58,1,25,68,81,13,16,77,95,0,17,76,94,0,0,12,80,82,0,14,78,17,77,17,68,12,79,15,78,27,57,16,68,39,1,13,78,15,78,16,76,17,56,13,57,18,57,27,38,13,14,67,13,12,78,57,27,38,37,27,1,57,28,16,56,17,69,14,79,57,13,26,37,15,68,15,77,17,1,12,77,1.0
64,32,77,28,60,44,46,60,11,13,81,30,74,65,29,49,47,12,83,14,80,16,79,19,76,33,62,61,34,49,30,66,0,13,63,14,75,32,46,65,29,61,33,48,46,12,82,94,15,20,63,49,34,78,16,13,80,62,1,32,61,78,16,18,78,95,0,18,75,94,0,0,12,81,79,0,14,79,16,76,19,62,12,80,14,79,33,47,15,62,49,1,13,76,15,79,15,75,19,46,13,47,20,47,33,34,13,17,65,16,12,79,61,29,48,33,33,1,61,30,15,46,16,63,13,80,61,16,32,33,14,62,15,78,16,1,12,75,1.0
68,29,79,24,63,40,50,66,9,12,83,22,77,69,25,53,43,10,85,13,81,15,80,16,79,26,69,64,31,53,26,70,0,11,70,13,78,25,42,69,25,64,30,52,42,10,84,94,13,17,70,53,31,80,14,11,81,65,1,25,69,80,14,15,79,95,0,16,77,94,0,0,10,82,81,0,12,80,15,79,16,69,10,81,13,80,26,43,14,69,53,1,11,79,14,80,14,77,16,42,11,43,17,43,26,31,11,15,69,14,10,80,64,25,52,30,26,1,64,26,14,42,15,70,12,81,64,14,25,30,13,69,13,79,15,1,10,78,2.0
68,33,81,24,57,49,39,64,10,13,82,24,76,69,25,43,52,11,84,14,80,16,79,17,78,27,67,59,36,43,26,70,0,12,68,14,77,27,52,69,25,59,35,42,51,11,83,94,11,17,68,43,36,82,12,12,80,60,1,26,67,82,12,16,78,95,0,17,76,94,0,0,11,81,83,0,13,79,16,78,17,67,11,80,14,79,28,52,15,67,43,1,12,78,15,79,15,76,17,52,12,53,18,53,28,36,12,13,69,12,11,79,59,25,42,35,28,1,59,26,15,52,16,68,13,80,59,12,27,35,14,67,14,78,16,1,11,77,1.0
66,40,86,24,50,52,38,69,9,12,83,21,76,68,26,39,54,10,85,13,81,15,79,18,77,23,72,52,41,40,27,69,0,11,72,13,77,23,54,68,26,52,42,40,54,10,84,94,6,18,72,40,42,87,7,10,80,53,0,23,70,87,7,16,78,95,0,16,77,94,0,0,10,82,88,0,13,79,16,77,17,71,10,81,14,80,23,55,15,71,41,1,11,78,13,79,15,77,17,54,11,55,18,55,24,43,11,8,68,7,10,79,52,26,40,42,24,1,52,26,15,54,16,72,12,81,52,7,23,42,13,71,15,78,16,1,10,77,2.0
64,32,77,28,60,40,52,53,9,11,83,37,76,65,29,54,42,10,85,12,82,15,80,17,78,40,55,61,34,54,30,66,0,11,56,12,77,39,41,65,29,61,33,53,41,9,84,94,15,18,56,54,34,78,16,11,81,62,1,39,55,78,16,16,79,95,0,17,76,94,0,0,10,83,79,0,12,80,15,78,17,55,10,82,13,81,40,42,14,55,54,1,11,78,13,80,14,77,17,41,11,42,18,42,40,34,11,17,65,16,10,80,61,29,53,33,40,1,61,30,14,41,15,56,12,81,61,16,39,33,12,55,13,80,15,1,10,77,2.0
69,33,77,23,59,45,43,59,11,14,81,31,68,70,25,47,48,12,83,15,79,17,78,22,72,33,60,61,35,47,25,71,2,13,62,15,71,33,48,70,24,60,34,46,48,12,82,92,15,23,62,47,35,78,16,13,79,61,2,33,61,78,16,20,77,94,1,23,70,93,1,0,12,80,79,1,14,78,17,72,23,61,12,79,15,78,34,48,16,61,47,2,13,72,16,78,16,70,23,48,13,49,24,49,34,35,13,17,70,16,12,78,60,24,46,34,34,2,61,25,16,48,17,62,14,79,60,16,33,34,15,61,15,77,17,2,12,71,1.0
66,30,81,26,62,45,45,71,8,12,84,19,78,67,27,48,47,9,86,13,81,14,80,16,79,21,74,63,32,48,28,68,0,10,74,13,79,21,47,67,27,63,31,47,47,9,85,94,11,16,74,48,32,82,12,9,81,64,1,21,73,82,12,14,79,95,0,15,78,94,0,0,9,82,83,0,12,80,15,79,15,73,9,81,13,80,22,48,14,73,48,1,10,80,13,80,14,78,15,47,10,48,16,48,22,32,10,13,67,12,9,80,63,27,47,31,22,1,63,28,14,47,15,74,12,81,63,12,21,31,13,73,13,79,15,1,9,79,2.0
70,32,81,20,58,52,40,72,9,12,83,18,77,71,22,41,53,10,85,13,81,15,79,16,78,20,74,60,34,41,22,73,1,10,75,13,78,20,53,71,22,60,34,41,53,9,84,94,9,16,74,41,34,83,10,10,80,61,1,20,74,83,10,15,78,95,0,16,77,94,0,0,10,82,84,0,13,79,15,78,16,74,10,81,14,80,20,53,15,74,42,1,10,79,13,79,15,78,16,53,10,54,16,53,20,34,11,12,72,11,10,79,60,22,41,34,21,1,60,22,15,53,15,74,13,80,60,11,20,34,13,74,14,79,16,1,10,78,2.0
69,31,83,23,59,55,33,69,9,11,83,21,77,70,24,37,58,10,85,12,82,14,80,17,78,23,72,61,34,37,25,71,0,11,72,12,78,23,58,70,24,61,33,36,58,9,84,94,9,17,72,37,34,84,10,10,81,62,1,23,71,84,10,15,79,95,0,16,78,94,0,0,10,83,85,0,12,79,15,78,16,71,9,82,13,81,24,59,14,71,37,1,11,79,12,80,14,78,16,58,11,59,17,59,24,34,11,11,70,10,10,80,61,24,36,33,24,1,61,25,14,58,15,72,11,81,61,10,23,33,12,71,14,79,15,1,10,78,2.0
71,36,86,21,52,54,36,71,8,11,84,19,78,72,22,37,56,9,86,12,82,14,80,16,79,21,74,55,38,38,23,73,0,10,74,12,79,21,56,72,22,55,39,38,56,9,85,94,6,16,74,38,39,87,7,9,81,56,0,21,73,87,7,14,79,95,0,15,78,94,0,0,9,83,88,0,11,80,15,79,15,73,9,82,13,81,21,57,14,73,39,1,10,80,12,80,14,78,15,56,10,57,16,57,22,40,10,8,72,7,9,80,55,22,38,39,22,1,55,22,14,56,15,74,11,82,55,7,21,39,12,73,13,79,15,1,9,79,2.0
67,30,78,25,62,39,51,61,8,11,84,27,77,68,26,54,42,9,86,12,82,14,81,16,79,31,64,63,32,54,27,69,0,10,65,12,78,30,41,68,26,63,31,53,41,9,85,94,14,17,65,54,32,79,15,10,82,64,1,30,63,79,15,15,80,95,0,15,78,94,0,0,9,83,80,0,12,81,14,79,16,64,9,82,12,81,31,42,13,64,54,1,10,79,13,81,13,78,16,41,10,42,17,42,31,32,10,16,68,15,9,81,63,26,53,31,31,1,63,27,13,41,14,65,11,82,63,15,30,31,12,64,13,80,14,1,9,78,2.0
68,28,76,24,62,41,49,60,10,13,82,30,74,69,25,52,44,11,84,14,80,16,79,18,77,33,62,64,31,52,26,70,5,12,63,14,76,32,43,69,25,64,30,51,43,11,83,88,16,19,63,52,31,77,17,12,80,65,6,32,62,77,17,16,78,90,5,18,75,89,5,4,11,81,78,5,13,79,16,77,18,62,11,80,14,79,33,44,15,62,52,6,12,77,15,79,15,75,18,43,12,44,19,44,33,31,12,18,69,17,11,79,64,25,51,30,33,6,64,26,15,43,16,63,13,80,64,17,32,30,14,62,14,78,16,6,11,76,1.0
66,32,76,26,60,44,48,53,9,12,83,37,76,67,28,50,46,10,85,14,81,15,80,18,77,40,56,62,34,50,28,68,1,11,56,13,77,39,45,67,27,61,33,49,45,10,84,94,16,18,56,50,34,77,17,11,80,62,1,39,54,77,17,16,78,95,0,16,77,94,0,0,11,82,78,0,13,79,16,78,17,55,10,81,14,80,40,46,15,55,50,1,11,78,14,80,15,77,17,45,11,46,18,46,40,34,11,18,67,17,10,79,61,27,49,33,40,1,62,28,15,45,16,56,12,81,61,17,39,33,13,55,15,78,16,1,10,77,1.0
65,31,76,27,61,41,51,60,10,13,82,30,74,66,28,53,43,11,84,14,80,16,79,19,76,33,62,62,33,53,29,67,0,12,63,14,75,32,42,66,28,62,32,52,42,11,83,94,16,20,63,53,33,77,17,12,80,63,1,32,61,77,17,18,78,95,0,18,75,94,0,0,11,81,78,0,14,79,16,76,19,62,11,80,14,79,33,43,15,62,53,1,12,76,15,79,15,75,19,42,12,43,20,43,33,33,12,18,66,17,11,79,62,28,52,32,33,1,62,29,15,42,16,63,13,80,62,17,32,32,14,62,15,78,16,1,11,75,1.0
69,32,78,23,58,45,43,58,10,14,82,30,75,70,24,47,47,11,84,15,79,17,78,18,77,32,61,60,35,47,25,71,1,12,62,15,76,33,48,70,24,60,34,46,47,11,83,92,14,18,62,47,35,79,15,12,79,61,2,32,61,79,15,17,77,94,1,18,75,93,1,0,11,80,80,1,14,78,17,77,18,61,11,79,15,78,34,48,16,61,47,2,12,77,16,78,16,75,18,48,12,49,19,49,34,35,12,16,70,15,11,78,60,24,46,34,34,2,60,25,16,48,17,62,14,79,60,15,33,34,15,61,15,77,17,2,11,76,1.0
63,34,83,27,54,53,37,72,10,13,82,18,76,64,29,39,55,11,84,14,80,15,79,17,77,20,74,57,37,39,29,66,1,11,75,14,77,20,55,65,28,56,37,39,55,11,83,94,7,17,74,39,37,85,8,11,80,58,1,20,74,85,9,16,78,95,0,17,76,94,0,0,11,81,86,0,13,79,15,77,17,74,11,80,14,79,20,55,15,74,40,1,11,78,14,79,15,76,17,55,11,56,17,55,20,37,12,10,65,9,11,79,57,29,39,37,21,1,57,29,15,55,15,74,13,80,57,9,20,37,14,74,14,78,16,1,11,77,2.0
63,34,77,29,58,40,52,55,10,13,82,35,75,64,31,54,42,11,84,15,80,16,79,19,76,38,58,60,36,54,31,65,1,12,58,14,76,37,41,64,30,59,35,53,41,11,83,94,15,19,58,54,36,78,16,12,79,60,1,37,56,78,16,17,77,95,0,17,76,94,0,0,12,81,79,0,14,78,17,77,18,57,11,80,15,79,38,42,16,57,54,1,12,77,15,79,16,76,18,41,12,42,19,42,38,36,12,17,64,16,11,78,59,30,53,35,38,1,60,31,16,41,17,58,13,80,59,16,37,35,14,57,16,77,17,1,11,76,1.0
64,34,78,26,58,38,52,63,8,11,84,25,77,65,28,54,40,9,86,12,82,14,80,16,78,28,66,59,35,54,28,67,1,9,67,12,78,28,40,65,28,59,34,53,40,9,85,94,12,16,66,54,35,80,13,9,81,60,1,28,65,80,13,15,79,95,0,15,78,94,0,0,9,83,81,0,12,80,14,78,16,66,9,82,13,81,28,40,14,66,55,1,9,79,12,80,14,78,16,40,9,41,16,40,28,35,10,15,66,14,9,80,59,28,54,35,29,1,59,28,14,40,14,66,11,82,59,14,28,35,12,66,14,79,15,1,9,78,2.0
60,36,75,32,58,38,56,40,7,10,85,52,71,62,34,57,39,8,87,12,83,15,81,23,73,54,42,59,37,57,34,62,4,9,42,11,72,53,38,61,33,58,36,56,38,7,86,90,17,23,42,57,37,76,19,9,81,59,4,53,41,76,18,21,79,92,3,22,71,91,3,2,9,84,77,4,11,80,15,73,22,41,8,83,13,82,54,39,14,41,57,4,9,73,12,81,14,72,22,38,9,39,23,39,54,37,9,19,61,18,8,80,58,33,56,36,54,4,59,34,14,38,15,42,11,82,58,18,53,36,11,41,13,80,15,4,8,72,2.0
61,36,76,31,58,39,53,57,11,13,81,33,75,62,33,55,41,12,83,15,80,17,78,19,76,36,60,59,37,55,33,63,1,13,60,14,76,35,40,62,32,58,36,54,40,11,82,94,16,19,60,55,37,77,17,13,78,59,1,35,59,77,17,17,76,95,0,18,75,94,0,0,13,81,78,0,14,77,18,77,18,59,12,80,16,79,36,41,17,59,55,1,13,77,15,78,17,76,18,40,13,41,19,41,36,37,13,18,62,17,12,77,58,32,54,36,36,1,59,33,17,40,18,60,14,79,58,17,35,36,14,59,16,77,18,1,12,76,1.0
66,32,78,26,60,41,53,52,7,9,85,38,78,67,28,54,42,8,87,11,84,13,82,16,79,41,55,62,34,54,28,68,1,9,55,10,79,40,41,67,27,61,33,53,41,8,86,94,14,16,55,54,34,79,15,9,82,62,1,40,54,79,15,14,80,95,0,15,79,94,0,0,9,85,80,0,10,81,14,80,15,54,8,84,12,83,41,42,13,54,54,1,9,80,11,82,13,79,15,41,9,42,16,42,41,34,9,16,67,15,8,81,61,27,53,33,41,1,62,28,13,41,14,55,9,84,61,15,40,33,10,54,13,80,14,1,8,79,2.0
67,29,79,25,63,40,50,71,9,11,83,19,77,68,26,53,43,10,85,12,82,15,80,16,79,22,73,64,31,53,27,69,0,11,74,12,78,21,42,68,26,64,30,52,42,9,84,94,13,17,74,53,31,80,14,11,81,65,1,21,73,80,14,15,79,95,0,16,77,94,0,0,10,83,81,0,12,80,15,79,16,73,10,82,13,81,22,43,14,73,53,1,11,79,13,80,14,78,16,42,11,43,17,43,22,31,11,15,68,14,10,80,64,26,52,30,22,1,64,27,14,42,15,74,12,81,64,14,21,30,12,73,13,80,15,1,10,78,2.0
