@relation 'Sax dominant'

@attribute o1atMff numeric
@attribute o1atLff numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMjj numeric
@attribute o1atLjj numeric
@attribute o1atMfg numeric
@attribute o1atLfg numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMhi numeric
@attribute o1atLhi numeric
@attribute o1atMjk numeric
@attribute o1atLjk numeric
@attribute o1atMgf numeric
@attribute o1atLgf numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMkj numeric
@attribute o1atLkj numeric
@attribute o1atMih numeric
@attribute o1atLih numeric
@attribute o1atMgg numeric
@attribute o1atLgg numeric
@attribute o1atMee numeric
@attribute o1atLee numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atLkk numeric
@attribute o1atMef numeric
@attribute o1atLef numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMgh numeric
@attribute o1atLgh numeric
@attribute o1atMij numeric
@attribute o1atLij numeric
@attribute o1atMeg numeric
@attribute o1atLeg numeric
@attribute o1atMfe numeric
@attribute o1atLfe numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMji numeric
@attribute o1atLji numeric
@attribute o1atMhg numeric
@attribute o1atLhg numeric
@attribute o1atMhh numeric
@attribute o1atLhh numeric
@attribute o1atMii numeric
@attribute o1atLii numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMgj numeric
@attribute o1atLgj numeric
@attribute o1atMaa numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMgi numeric
@attribute o1atLgi numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMhk numeric
@attribute o1atLhk numeric
@attribute o1atMeh numeric
@attribute o1atLeh numeric
@attribute o1atMdg numeric
@attribute o1atLdg numeric
@attribute o1atMik numeric
@attribute o1atLik numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMdf numeric
@attribute o1atLdf numeric
@attribute o1atMei numeric
@attribute o1atLei numeric
@attribute o1atMhj numeric
@attribute o1atLhj numeric
@attribute o1atMdh numeric
@attribute o1atLdh numeric
@attribute o1atMfh numeric
@attribute o1atLfh numeric
@attribute o1atMfi numeric
@attribute o1atLfi numeric
@attribute o1atMge numeric
@attribute o1atLge numeric
@attribute o1atMcf numeric
@attribute o1atLcf numeric
@attribute o1atMfj numeric
@attribute o1atLfj numeric
@attribute o1atMfd numeric
@attribute o1atLfd numeric
@attribute o1atMcg numeric
@attribute o1atLcg numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMig numeric
@attribute o1atLig numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMhf numeric
@attribute o1atLhf numeric
@attribute destClass {2,3,7,6,4,5,1}

@data
68,41,35,67,9,88,81,15,69,25,10,85,37,57,76,18,82,12,69,25,37,58,10,85,82,13,77,18,72,24,45,56,24,84,12,49,46,25,69,73,21,78,15,49,26,49,45,26,69,79,16,73,22,76,21,78,17,26,58,73,16,5,6,89,73,18,6,89,77,13,50,22,37,26,79,12,10,69,37,46,50,18,76,16,37,22,70,21,70,18,49,25,26,46,70,16,37,45,26,26,6,85,73,18,26,58,69,22,5
67,27,46,59,6,95,77,20,68,26,7,88,49,47,71,23,78,17,68,27,48,46,7,88,78,17,71,24,69,26,66,44,30,87,16,66,28,33,62,69,25,74,21,67,27,67,28,33,62,74,21,70,25,70,24,73,23,33,47,70,21,0,0,95,70,24,0,95,71,17,67,25,49,27,74,17,7,62,49,28,67,24,71,21,49,25,68,25,68,24,67,27,33,28,68,21,48,28,33,27,0,88,70,24,33,46,68,25,5
66,31,46,70,4,95,82,14,68,26,5,90,50,46,77,17,83,11,68,27,49,45,5,90,83,12,77,18,75,25,60,42,20,89,11,61,33,23,73,75,19,79,15,62,27,62,33,22,72,80,15,76,19,76,18,79,17,23,46,76,15,0,0,95,76,18,0,95,77,12,62,19,50,27,80,12,5,73,50,33,62,18,77,15,50,19,68,19,68,18,62,27,23,33,68,15,49,33,23,27,0,90,76,18,22,45,68,19,2
60,39,36,70,8,88,83,12,61,32,9,86,38,56,80,14,84,10,62,33,38,57,9,86,84,11,80,15,70,31,52,55,21,85,10,53,41,22,72,71,22,81,13,53,33,54,41,23,72,82,13,72,23,79,21,81,14,23,57,72,13,5,6,89,72,14,6,89,80,11,53,23,38,33,82,11,9,72,38,41,54,15,80,13,38,23,61,22,62,14,54,33,23,41,62,13,38,41,23,33,6,86,72,15,23,57,62,23,3
70,32,37,68,11,95,81,16,70,23,13,82,40,55,74,20,82,13,71,24,39,55,13,82,82,13,75,20,72,23,59,53,24,80,12,60,34,25,70,73,21,78,16,60,24,61,34,25,69,78,17,73,22,74,21,77,19,26,56,73,17,0,0,95,73,20,0,95,75,13,61,22,40,24,78,13,13,70,40,34,61,20,75,17,40,22,71,21,71,20,61,24,26,34,71,17,39,34,26,24,0,82,73,20,25,55,71,22,4
63,35,40,63,6,95,82,14,65,29,7,88,42,54,77,17,83,11,65,30,41,53,7,88,83,12,77,18,74,28,55,52,28,87,11,57,38,30,65,74,20,79,15,58,30,57,37,30,65,80,15,75,20,76,19,79,17,30,54,75,15,0,0,95,75,18,0,95,77,12,58,20,42,30,80,12,7,65,42,38,58,18,77,15,42,20,65,20,65,18,57,30,30,38,65,15,41,37,30,30,0,88,75,18,30,53,65,20,4
67,27,46,62,6,95,78,20,67,26,7,88,48,45,71,23,79,16,68,27,49,47,7,88,79,16,72,23,69,26,66,44,27,87,15,66,28,29,65,70,24,74,20,66,27,67,28,30,65,74,21,70,25,71,24,73,22,30,46,70,21,0,0,95,70,23,0,95,72,16,67,25,48,27,74,16,7,65,48,28,67,23,72,21,48,25,68,24,68,23,67,27,30,28,68,21,49,28,30,27,0,88,70,23,30,47,68,25,5
72,28,23,76,12,90,85,10,73,21,13,82,24,71,80,14,86,10,73,22,24,71,13,82,85,9,80,15,76,21,63,70,17,81,9,64,30,18,77,76,18,85,11,65,22,65,30,18,77,84,10,77,18,79,17,84,14,18,71,77,11,3,4,91,77,15,4,91,80,10,65,18,24,22,85,10,13,77,24,30,65,15,80,11,24,18,73,18,73,15,65,22,18,30,73,11,24,30,18,22,4,82,77,15,18,71,73,18,1
74,21,47,80,7,95,82,13,75,19,8,87,49,46,81,14,83,13,75,20,49,46,8,87,82,12,81,13,77,19,72,44,13,86,12,72,22,14,81,78,17,82,13,73,20,73,22,14,81,81,13,78,17,81,16,81,13,14,46,78,14,0,0,95,78,14,0,95,82,13,73,17,49,20,82,13,8,81,49,22,73,14,82,14,49,17,75,17,75,14,73,20,14,22,75,14,49,22,14,20,0,87,78,13,14,46,75,17,3
53,50,33,68,13,84,83,18,55,39,13,81,34,60,72,21,84,11,55,40,35,60,14,81,84,11,73,22,68,38,41,58,23,80,10,42,51,25,69,69,26,76,18,43,39,43,52,25,70,76,19,69,25,72,24,75,21,25,60,70,19,9,10,85,69,22,10,85,73,11,43,26,35,40,76,11,14,70,34,52,43,22,73,18,35,26,55,26,55,22,43,40,25,52,55,19,35,52,25,40,10,81,69,22,25,60,55,25,4
59,43,31,68,13,84,82,20,60,34,13,81,32,62,70,24,83,12,60,34,33,62,14,81,83,12,71,24,65,33,48,60,23,80,11,49,44,25,69,67,28,74,20,49,34,50,45,25,70,74,21,66,28,70,27,73,23,25,62,67,21,9,10,85,67,24,10,85,71,12,50,28,32,35,74,12,14,70,32,45,50,24,71,21,33,29,61,28,61,24,50,34,25,45,61,21,33,45,25,35,10,81,66,24,25,62,60,28,3
52,49,22,78,13,83,82,19,54,40,13,81,24,70,71,23,83,11,54,40,25,70,14,81,83,12,72,23,63,38,44,67,15,80,11,44,49,16,78,65,29,74,19,44,40,45,50,16,79,75,20,65,30,71,28,74,22,16,70,65,20,10,11,84,65,23,11,84,72,12,45,29,24,41,75,11,14,79,24,50,45,23,71,20,25,30,55,29,55,23,45,40,16,50,55,20,25,50,16,41,11,81,65,23,16,70,54,30,3
69,33,38,64,11,95,82,14,70,24,12,83,40,55,77,17,83,12,70,24,40,55,12,83,83,12,78,17,73,23,57,53,27,82,11,59,36,29,66,74,20,80,14,59,25,59,35,29,66,80,15,74,21,77,20,79,16,29,55,74,15,0,0,95,74,17,0,95,78,12,60,21,40,25,80,12,12,66,40,36,60,17,78,15,40,21,71,20,71,17,59,24,29,36,71,15,40,35,29,25,0,83,74,17,29,55,70,21,4
65,34,48,66,6,95,80,16,68,27,7,88,48,46,75,19,81,13,68,26,49,46,7,88,81,14,76,19,73,23,58,45,25,87,13,60,35,27,68,74,20,77,16,60,27,59,35,27,68,78,17,74,21,75,20,77,18,27,46,74,17,0,0,95,74,19,0,95,76,14,60,21,49,27,78,13,7,68,49,36,60,19,75,17,49,21,69,21,69,19,59,26,27,36,69,17,49,35,27,27,0,88,74,19,27,46,68,21,3
59,41,36,66,12,87,82,16,59,34,13,82,38,56,72,23,83,12,60,35,38,57,13,82,83,12,72,22,68,34,52,55,25,81,11,52,42,26,68,70,25,78,16,52,35,53,42,27,68,78,17,69,25,71,24,77,21,27,57,70,17,6,7,88,70,23,7,88,73,12,53,26,38,35,78,12,13,68,38,42,53,23,73,17,38,26,60,25,60,23,53,35,27,42,60,17,38,42,27,35,7,82,69,22,27,57,60,25,5
73,41,32,67,11,95,84,12,73,20,13,82,34,61,79,15,85,9,74,21,33,61,13,82,85,10,80,15,76,20,48,60,25,80,9,50,44,26,69,77,17,81,12,50,21,51,44,26,68,82,13,77,18,79,17,81,14,27,62,77,13,0,0,95,77,15,0,95,80,10,51,18,34,21,82,9,13,69,34,44,51,15,79,13,34,18,74,17,74,15,51,21,27,44,74,13,33,44,27,21,0,82,77,15,26,61,74,18,4
58,37,40,77,13,84,75,21,60,34,13,81,41,53,71,23,76,18,60,35,42,53,14,81,76,19,71,24,63,33,54,51,16,80,18,55,38,17,77,64,30,72,22,56,34,56,39,17,78,73,22,65,30,70,28,72,23,17,53,65,22,9,10,85,65,24,10,85,71,19,56,30,42,35,73,19,14,78,41,39,56,24,71,22,42,30,60,30,60,24,56,35,17,39,60,22,42,39,17,35,10,81,65,24,17,53,60,30,1
63,39,48,59,7,93,82,16,65,30,7,87,48,47,73,20,83,12,64,30,48,46,8,87,83,12,74,21,70,29,53,46,32,86,11,54,40,34,60,70,24,78,16,55,30,54,40,34,61,78,17,71,24,73,23,77,20,34,47,71,17,0,1,94,70,21,1,94,74,12,55,24,49,31,78,12,8,61,48,41,55,21,74,16,49,24,65,24,65,21,54,30,34,41,65,17,48,40,34,31,1,87,71,21,34,46,64,24,6
72,33,42,70,4,95,82,14,72,22,5,90,45,49,78,16,83,11,73,22,46,49,5,90,83,12,78,17,74,21,58,45,21,89,11,60,34,23,72,74,19,79,15,60,22,60,35,23,72,80,15,75,20,77,19,79,16,23,49,75,15,0,0,95,75,16,0,95,78,12,60,20,46,22,80,12,5,72,46,35,60,17,78,15,46,20,72,20,73,17,60,22,23,35,73,15,46,35,23,22,0,90,75,17,23,49,73,20,4
80,15,31,84,0,95,84,12,81,15,0,95,34,62,82,13,85,11,80,14,33,61,0,95,84,10,82,12,81,14,79,59,9,95,10,80,16,10,85,82,14,83,12,80,15,79,15,10,85,82,12,81,13,82,13,82,12,10,62,82,13,0,0,95,82,13,0,95,83,11,80,14,34,15,83,11,0,85,34,16,80,13,83,13,34,14,81,14,81,13,79,14,10,16,81,13,33,15,10,15,0,95,81,12,10,61,80,13,3
65,30,52,61,11,95,75,23,65,29,13,82,55,41,69,25,76,19,66,29,54,40,13,82,76,19,70,25,66,28,63,38,29,80,18,64,31,32,64,67,27,71,23,64,29,64,31,31,63,71,24,67,28,69,27,70,24,32,41,67,24,0,0,95,67,25,0,95,70,19,64,28,55,29,71,19,13,64,55,31,64,25,70,24,55,28,66,28,66,25,64,29,32,31,66,24,54,31,32,29,0,82,67,25,31,40,66,28,2
49,47,36,61,19,85,81,20,49,44,21,74,37,57,71,23,82,13,51,45,38,57,21,74,82,13,72,23,52,43,44,55,30,72,12,46,48,32,63,53,40,74,20,46,44,46,49,32,63,74,21,54,42,71,40,73,22,32,57,53,21,8,9,86,53,23,9,86,72,13,46,41,38,44,74,13,21,63,38,49,46,23,72,21,38,41,50,41,50,23,46,45,32,49,50,21,38,49,32,44,9,74,54,23,32,57,51,42,2
61,35,38,64,15,88,74,22,63,32,16,79,41,53,70,24,75,20,62,32,41,54,16,79,75,20,70,24,65,31,55,51,29,78,19,57,38,29,65,66,29,72,22,58,33,57,37,30,65,72,23,66,28,69,27,71,23,30,54,67,23,5,6,89,66,25,6,89,71,20,58,29,41,33,72,20,16,65,41,38,58,25,71,22,41,29,63,29,63,25,57,32,30,38,63,23,41,37,30,33,6,79,66,24,30,54,62,28,6
65,32,48,58,11,95,74,22,66,29,12,83,50,45,69,25,75,20,66,29,50,45,12,83,75,20,69,26,67,28,59,43,30,82,19,61,34,34,62,67,27,72,23,61,29,61,34,33,61,72,23,68,27,68,26,71,25,34,45,68,23,0,0,95,68,26,0,95,69,20,61,27,50,29,72,20,12,62,50,34,61,26,69,23,50,27,66,27,66,26,61,29,34,34,66,23,50,34,34,29,0,83,68,26,33,45,66,27,3
71,31,43,66,6,95,82,14,71,23,6,88,43,51,77,17,83,11,72,23,44,51,7,88,83,12,77,18,73,22,60,50,25,87,11,62,32,27,67,73,20,79,15,62,23,62,33,27,68,80,15,74,21,76,20,79,17,27,51,74,15,0,0,95,74,17,0,95,77,12,62,21,44,23,80,12,7,68,44,33,62,18,77,15,44,21,71,21,72,18,62,23,27,33,72,15,44,33,27,23,0,88,74,18,27,51,72,21,6
73,27,46,72,5,95,82,14,74,20,6,89,49,47,78,16,83,12,74,21,48,46,6,89,83,12,78,17,75,20,63,44,20,88,11,65,30,22,74,75,19,80,15,66,21,65,29,21,73,80,15,76,19,77,18,79,16,22,47,76,15,0,0,95,76,17,0,95,78,12,66,19,49,21,80,12,6,74,49,30,66,17,78,15,49,19,74,19,74,17,65,21,22,30,74,15,48,29,22,21,0,89,76,17,21,46,74,19,2
54,44,33,64,14,85,81,22,56,38,15,80,36,59,70,24,82,13,56,39,35,59,15,80,82,13,70,25,62,37,47,57,27,79,12,48,46,28,66,63,31,72,23,49,39,49,46,29,66,72,23,64,31,69,29,71,24,29,60,64,23,8,9,86,64,25,9,86,70,13,49,31,36,39,72,13,15,66,36,46,49,25,70,23,36,31,56,31,56,25,49,39,29,46,56,23,35,46,29,39,9,80,64,25,29,59,56,31,7
70,39,42,60,5,95,82,15,70,24,6,89,43,51,76,18,83,12,71,24,44,51,6,89,83,12,77,18,72,23,53,49,31,88,11,55,40,33,62,73,21,79,15,55,24,54,40,33,62,79,16,73,22,76,21,78,17,33,51,73,16,0,0,95,73,18,0,95,77,12,55,22,44,24,79,12,6,62,44,41,55,18,77,16,44,22,71,22,71,18,54,24,33,41,71,16,44,40,33,24,0,89,73,18,33,51,71,22,4
58,45,46,65,9,90,83,12,59,35,9,85,46,48,77,18,84,10,60,35,47,48,10,85,84,11,76,18,65,33,48,47,26,84,10,49,45,28,66,66,28,81,13,49,35,49,46,28,67,82,13,66,28,74,27,81,16,28,48,67,13,3,4,91,67,18,4,91,77,11,49,29,47,35,82,11,10,67,47,46,49,19,77,13,47,29,59,29,60,19,49,35,28,46,60,13,47,46,28,35,4,85,66,18,28,48,60,28,2
48,51,28,68,15,83,83,19,51,44,16,79,30,64,72,22,84,11,50,44,30,65,16,79,84,11,72,23,62,42,39,63,23,78,10,41,54,24,70,63,31,75,20,42,45,41,53,25,70,75,20,64,31,71,29,74,22,25,65,64,20,10,11,84,64,23,11,84,72,11,42,31,30,45,75,11,16,70,30,54,42,23,72,20,30,31,51,31,51,23,41,44,25,54,51,20,30,53,25,45,11,79,64,23,25,65,50,31,5
66,32,48,60,0,95,82,14,67,27,0,95,50,45,78,16,83,12,68,27,50,45,0,95,83,12,79,16,76,25,59,43,28,95,11,61,34,32,64,77,17,80,14,61,27,61,34,31,63,80,15,77,18,78,17,79,15,32,45,77,15,0,0,95,77,16,0,95,79,12,61,18,50,27,80,12,0,64,50,34,61,16,79,15,50,18,68,18,68,16,61,27,32,34,68,15,50,34,32,27,0,95,77,16,31,45,68,18,2
72,38,34,65,16,95,80,15,73,21,18,77,36,58,76,18,81,13,73,22,36,59,18,77,81,14,76,19,74,21,50,57,26,75,13,53,42,27,67,74,20,78,16,54,22,53,41,28,67,79,16,75,20,75,19,78,18,28,59,75,16,0,0,95,75,19,0,95,76,14,54,20,36,22,79,14,18,67,36,42,54,19,76,16,36,20,73,20,73,19,53,22,28,42,73,16,36,41,28,22,0,77,75,19,28,59,73,20,2
70,30,45,57,4,95,77,19,70,24,7,88,47,48,73,21,78,17,71,24,47,47,7,88,78,17,74,21,71,23,61,45,33,85,16,63,31,36,60,72,22,75,19,63,24,63,32,35,59,75,20,72,23,73,22,74,20,36,48,72,20,0,0,95,72,21,0,95,74,17,63,23,48,24,75,17,7,60,48,32,63,21,74,20,48,23,71,23,71,21,63,24,36,32,71,20,47,32,36,24,0,88,72,21,35,47,71,23,4
47,47,42,54,19,87,88,18,48,47,21,75,43,52,63,32,90,5,48,45,43,51,20,74,89,5,62,32,51,45,45,50,38,73,4,47,48,40,56,52,42,75,20,47,47,45,48,39,55,75,19,52,42,60,41,74,30,40,52,53,20,5,7,89,53,32,6,88,63,6,47,43,44,47,76,6,21,56,44,49,47,33,63,20,44,43,48,43,49,33,46,46,40,49,49,20,43,48,40,47,7,75,52,32,39,51,48,42,1
67,33,43,58,10,95,76,21,67,27,12,83,45,49,71,24,77,18,68,27,45,50,12,83,77,18,71,24,68,26,58,48,32,81,17,60,35,34,61,69,25,73,22,60,27,60,35,34,60,73,22,69,26,70,25,72,23,35,50,69,22,0,0,95,69,24,0,95,71,18,60,26,45,27,73,18,12,61,45,35,60,24,71,22,45,26,68,26,68,24,60,27,35,35,68,22,45,35,35,27,0,83,69,24,34,50,68,26,4
52,46,29,69,11,85,82,16,53,41,12,83,31,63,74,20,83,11,53,41,31,64,12,83,83,12,74,21,68,40,46,62,22,82,11,47,48,23,71,69,24,77,17,47,42,47,47,24,71,78,17,70,25,73,23,77,20,24,64,70,17,8,9,86,70,20,9,86,74,12,47,25,31,42,78,12,12,71,31,48,48,21,74,17,31,25,53,24,54,20,47,41,24,48,54,17,31,47,24,42,9,83,70,21,24,64,53,25,4
67,28,43,67,8,90,79,19,68,26,9,86,46,48,72,22,80,14,68,27,47,48,9,86,80,15,72,23,69,26,65,44,22,85,14,65,28,25,70,69,25,74,20,66,26,66,29,25,70,75,20,70,25,71,24,74,22,25,48,70,20,3,4,91,70,23,4,91,72,15,66,25,47,27,75,15,9,70,46,29,66,23,72,20,47,25,68,25,68,23,66,27,25,29,68,20,47,29,25,27,4,86,70,23,25,48,68,25,7
65,35,39,64,9,95,81,16,66,28,12,83,40,54,74,20,82,13,67,28,41,54,12,83,82,13,75,20,71,26,56,52,27,80,12,58,36,29,66,73,22,78,16,58,28,58,37,29,66,78,17,72,22,74,21,77,19,29,54,73,17,0,0,95,73,20,0,95,75,13,58,23,41,28,78,13,12,66,41,37,58,20,75,17,41,23,67,23,67,20,58,28,29,37,67,17,41,37,29,28,0,83,72,20,29,54,67,22,4
57,42,31,70,16,85,74,24,58,36,17,78,33,62,68,26,76,19,59,36,33,61,17,78,76,19,69,26,66,34,48,59,21,77,17,51,44,23,72,67,27,70,24,51,36,50,44,23,72,70,25,67,28,68,27,69,25,23,62,67,25,8,9,86,67,26,9,86,69,19,51,28,34,36,70,19,17,72,34,45,51,26,69,25,34,28,59,28,59,26,50,36,23,45,59,25,33,44,23,36,9,78,67,26,23,61,59,28,7
77,35,42,67,6,95,80,15,78,18,7,88,43,52,79,16,81,15,77,17,43,51,7,88,80,14,78,16,78,17,57,50,24,87,14,59,36,26,69,78,17,80,16,59,18,58,36,26,69,79,15,78,16,78,16,79,16,26,52,79,16,0,0,95,79,17,0,95,79,15,59,17,44,18,80,15,7,69,44,37,59,17,79,16,44,17,78,17,78,17,58,17,26,37,78,16,43,36,26,18,0,88,78,16,26,51,77,16,3
