@relation 'Sax dominant'

@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atLccc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute destClass {1,2}

@data
32,60,32,60,28,57,34,27,57,33,54,58,30,62,30,62,61,31,60,30,32,58,60,27,28,62,54,34,32,34,30,34,32,33,32,31,32,30,30,33,32,33,2
31,61,31,61,27,58,33,26,58,32,55,59,29,63,29,63,62,30,61,29,31,59,61,26,27,63,55,33,31,33,29,33,31,32,31,30,31,29,29,32,31,32,1
32,61,31,60,27,58,33,27,58,33,55,58,29,62,29,63,61,30,61,30,31,58,61,27,27,63,55,33,32,33,29,33,31,33,32,30,31,30,29,33,31,33,2
35,56,35,56,29,52,39,32,52,38,49,53,32,59,32,59,56,36,55,35,35,53,55,32,29,59,49,39,35,39,32,39,35,38,35,36,35,35,32,38,35,38,2
32,60,32,60,28,56,34,26,56,34,53,58,30,62,30,62,60,30,60,30,32,58,60,27,28,62,53,34,32,34,30,34,32,34,32,30,32,30,30,34,32,34,2
37,55,37,55,33,60,31,24,60,30,57,53,35,57,35,57,64,28,63,27,37,53,63,24,33,57,57,31,37,31,35,31,37,30,37,28,37,27,35,30,37,30,1
30,63,29,62,25,60,32,25,59,31,56,60,27,64,27,65,63,28,62,28,29,60,63,25,25,65,56,31,30,32,27,32,29,31,30,28,29,28,27,31,29,31,2
39,52,39,52,33,54,38,34,54,38,52,50,36,55,36,55,56,36,56,36,39,50,56,34,34,55,52,38,39,38,36,38,39,38,39,36,39,36,36,38,39,38,2
30,61,30,61,24,54,36,28,54,36,50,58,27,64,27,64,58,32,58,32,30,58,58,28,24,64,50,36,30,36,27,36,30,36,30,32,30,32,27,36,30,36,1
35,57,35,57,31,59,33,29,59,33,57,55,33,59,33,59,61,31,61,31,35,55,61,29,31,59,57,33,35,33,33,33,35,33,35,31,35,31,33,33,35,33,1
36,56,36,56,32,56,36,32,56,36,54,54,34,58,34,58,58,34,58,34,36,54,58,32,32,58,54,36,36,36,34,36,36,36,36,34,36,34,34,36,36,36,1
36,55,36,55,30,53,37,29,53,37,49,52,33,58,33,58,57,33,57,33,36,52,57,29,30,58,49,37,36,37,33,37,36,37,36,33,36,33,33,37,36,37,2
33,58,33,58,27,53,37,29,53,37,50,55,30,61,30,61,57,33,57,33,33,55,57,30,27,61,50,37,33,37,30,37,33,37,33,33,33,33,30,37,33,37,1
32,58,32,58,24,59,32,25,59,31,56,54,28,62,28,62,63,29,62,28,32,54,62,25,24,62,56,32,32,32,28,32,32,31,32,29,32,28,28,31,32,31,1
34,58,33,58,29,58,33,27,58,33,55,56,31,60,32,61,61,30,61,30,34,56,61,27,29,60,55,33,34,33,32,33,33,33,34,30,33,30,31,33,34,33,2
33,59,33,59,29,59,32,26,59,32,56,57,31,61,31,61,62,29,62,29,33,57,62,26,29,61,56,32,33,32,31,32,33,32,33,29,33,29,31,32,33,32,2
31,61,31,61,27,60,31,24,60,30,57,59,29,63,29,63,64,28,63,27,31,59,63,24,27,63,57,31,31,31,29,31,31,30,31,28,31,27,29,30,31,30,1
37,55,37,55,33,57,34,29,57,34,54,53,35,57,35,57,60,31,60,31,37,53,60,29,33,57,55,34,37,34,35,34,37,34,37,31,37,31,35,34,37,34,2
33,58,33,58,27,60,31,25,60,31,57,55,30,61,30,61,63,28,63,28,33,55,63,25,27,61,57,31,33,31,30,31,33,31,33,28,33,28,30,31,33,31,1
31,62,30,61,26,61,31,25,60,30,57,59,28,63,28,64,64,27,63,27,30,59,64,25,26,64,58,30,31,31,28,31,30,30,31,27,30,27,28,30,30,30,2
35,57,35,57,31,56,35,29,56,35,53,55,33,59,33,59,59,32,59,32,35,55,59,29,31,59,53,35,35,35,33,35,35,35,35,32,35,32,33,35,35,35,1
35,56,35,56,29,62,29,23,62,29,59,53,32,59,32,59,65,26,65,26,35,53,65,23,29,59,59,29,35,29,32,29,35,29,35,26,35,26,32,29,35,29,2
34,57,34,57,28,58,33,27,58,33,55,54,31,60,31,60,61,30,61,30,34,54,61,27,28,60,55,33,34,33,31,33,34,33,34,30,34,30,31,33,34,33,1
36,55,36,55,30,59,32,26,59,32,56,52,33,58,33,58,62,29,62,29,36,52,62,26,30,58,56,32,36,32,33,32,36,32,36,29,36,29,33,32,36,32,1
29,64,28,63,24,60,32,25,59,31,56,61,26,65,26,66,63,28,62,28,28,61,63,25,24,66,56,31,29,32,26,32,28,31,29,28,28,28,26,31,28,31,2
36,56,36,56,32,57,33,24,57,32,54,54,34,58,34,58,62,29,61,28,36,54,61,25,32,58,54,33,36,33,34,33,36,32,36,29,36,28,34,32,36,32,1
31,61,30,60,24,61,30,24,61,30,58,58,27,63,27,64,64,27,64,27,30,58,64,24,25,64,58,30,31,30,27,30,30,30,31,27,30,27,27,30,30,30,2
33,60,31,59,27,57,33,25,57,33,53,57,29,61,30,63,61,29,61,29,32,57,61,25,27,62,53,33,33,33,30,33,31,33,33,29,31,29,29,33,32,33,2
38,54,38,54,34,57,35,31,57,35,55,52,36,56,36,56,59,33,59,33,38,52,59,31,34,56,55,35,38,35,36,35,38,35,38,33,38,33,36,35,38,35,1
38,54,38,54,34,55,37,33,55,37,53,52,36,56,36,56,57,35,57,35,38,52,57,33,34,56,53,37,38,37,36,37,38,37,38,35,38,35,36,37,38,37,1
32,60,32,60,28,59,33,29,59,33,57,58,30,62,30,62,61,31,61,31,32,58,61,29,28,62,57,33,32,33,30,33,32,33,32,31,32,31,30,33,32,33,2
37,55,37,55,33,58,33,26,58,32,55,53,35,57,35,57,62,30,61,29,37,53,61,26,33,57,55,33,37,33,35,33,37,32,37,30,37,29,35,32,37,32,1
29,64,28,63,24,61,31,25,60,30,58,61,26,65,26,66,64,27,63,27,28,61,64,26,24,66,59,30,29,31,26,31,28,30,29,27,28,27,26,30,28,30,2
31,61,31,61,27,63,30,24,62,28,60,59,29,63,29,63,66,27,64,26,31,59,65,24,27,63,60,29,31,30,29,30,31,28,31,27,31,26,29,28,31,28,1
31,61,31,61,27,51,40,34,51,40,48,59,29,63,29,63,54,37,54,37,31,59,54,34,27,63,48,40,31,40,29,40,31,40,31,37,31,37,29,40,31,40,2
30,61,30,61,24,55,34,24,55,34,50,58,27,64,27,64,60,29,60,29,30,58,60,24,24,64,50,34,30,34,27,34,30,34,30,29,30,29,27,34,30,34,1
34,57,34,57,29,60,31,26,60,31,57,54,31,60,31,60,63,28,63,28,34,55,63,26,29,60,58,31,34,31,31,31,34,31,34,28,34,28,31,31,34,31,1
33,59,33,59,29,58,33,27,58,33,55,57,31,61,31,61,61,30,61,30,33,57,61,27,29,61,55,33,33,33,31,33,33,33,33,30,33,30,31,33,33,33,2
33,58,33,58,27,51,40,34,51,40,48,55,30,61,30,61,54,37,54,37,33,55,54,34,27,61,48,40,33,40,30,40,33,40,33,37,33,37,30,40,33,40,2
32,60,32,60,28,57,34,27,57,33,54,58,30,62,30,62,61,31,60,30,32,58,60,27,28,62,54,34,32,34,30,34,32,33,32,31,32,30,30,33,32,33,2
31,60,31,60,25,60,31,25,60,31,57,57,28,63,28,63,63,28,63,28,31,57,63,25,25,63,57,31,31,31,28,31,31,31,31,28,31,28,28,31,31,31,2
33,59,33,59,29,57,34,28,57,34,54,57,31,61,31,61,60,31,60,31,33,57,60,28,29,61,54,34,33,34,31,34,33,34,33,31,33,31,31,34,33,34,1
32,60,32,60,28,55,37,33,55,37,53,58,30,62,30,62,57,35,57,35,32,58,57,33,28,62,53,37,32,37,30,37,32,37,32,35,32,35,30,37,32,37,2
34,56,34,56,26,59,32,25,59,31,56,52,30,60,30,60,63,29,62,28,34,52,62,25,26,60,56,32,34,32,30,32,34,31,34,29,34,28,30,31,34,31,1
30,63,29,62,25,62,31,26,61,30,59,60,27,64,27,65,64,28,63,28,29,60,64,26,25,65,59,30,30,31,27,31,29,30,30,28,29,28,27,30,29,30,2
38,54,38,54,34,57,35,31,57,35,55,52,36,56,36,56,59,33,59,33,38,52,59,31,34,56,55,35,38,35,36,35,38,35,38,33,38,33,36,35,38,35,2
32,60,32,60,28,59,31,23,59,31,55,58,30,62,30,62,63,27,63,27,32,58,63,23,28,62,55,31,32,31,30,31,32,31,32,27,32,27,30,31,32,31,1
35,56,35,56,29,53,38,31,53,37,50,53,32,59,32,59,57,35,56,34,35,53,56,31,29,59,50,38,35,38,32,38,35,37,35,35,35,34,32,37,35,37,2
35,56,35,56,29,60,31,25,60,31,57,53,32,59,32,59,63,28,63,28,35,53,63,25,29,59,57,31,35,31,32,31,35,31,35,28,35,28,32,31,35,31,1
30,61,30,61,25,55,36,30,55,36,52,58,27,64,27,64,58,33,58,33,30,59,58,30,25,64,52,36,30,36,27,36,30,36,30,33,30,33,27,36,30,36,2
31,61,31,61,27,54,35,25,54,34,50,59,29,63,29,63,60,30,59,29,31,59,59,26,27,63,51,35,31,35,29,35,31,34,31,30,31,29,29,34,31,34,2
35,57,35,57,31,59,33,29,59,33,57,55,33,59,33,59,61,31,61,31,35,55,61,29,31,59,57,33,35,33,33,33,35,33,35,31,35,31,33,33,35,33,1
35,56,35,56,29,53,38,31,53,37,50,53,32,59,32,59,57,35,56,34,35,53,56,31,29,59,50,38,35,38,32,38,35,37,35,35,35,34,32,37,35,37,2
32,58,32,58,24,60,31,24,60,30,57,54,28,62,28,62,64,28,63,27,32,54,63,24,24,62,57,31,32,31,28,31,32,30,32,28,32,27,28,30,32,30,1
36,56,36,56,32,61,30,23,61,29,58,54,34,58,34,58,65,27,64,26,36,54,64,23,32,58,58,30,36,30,34,30,36,29,36,27,36,26,34,29,36,29,1
34,56,34,56,26,58,33,26,58,32,55,52,30,60,30,60,62,30,61,29,34,52,61,26,26,60,55,33,34,33,30,33,34,32,34,30,34,29,30,32,34,32,1
40,51,41,50,37,56,35,32,55,36,53,48,39,52,39,53,58,34,57,34,41,48,58,32,37,53,53,36,42,37,39,37,41,36,42,34,41,34,39,36,41,36,1
31,60,31,60,26,49,41,32,49,40,45,57,28,63,28,63,54,37,53,36,31,58,53,32,26,63,45,41,31,41,28,41,31,40,31,37,31,36,28,40,31,40,2
29,63,29,63,25,49,42,36,49,42,46,61,27,65,27,65,52,39,52,39,29,61,52,36,25,65,46,42,29,42,27,42,29,42,29,39,29,39,27,42,29,42,2
28,64,28,64,24,54,37,30,54,36,51,62,26,66,26,66,58,34,57,33,28,62,57,30,24,66,51,37,28,37,26,37,28,36,28,34,28,33,26,36,28,36,1
40,51,40,51,34,59,32,26,59,32,56,48,37,54,37,54,62,29,62,29,40,48,62,26,34,54,56,32,40,32,37,32,40,32,40,29,40,29,37,32,40,32,1
35,57,35,57,31,58,32,25,58,32,55,55,33,59,33,59,62,28,62,28,35,55,62,26,31,59,56,32,35,32,33,32,35,32,35,28,35,28,33,32,35,32,2
36,56,36,56,32,59,33,29,59,33,57,54,34,58,34,58,61,31,61,31,36,54,61,29,32,58,57,33,36,33,34,33,36,33,36,31,36,31,34,33,36,33,2
30,62,30,62,26,59,33,25,58,31,55,60,28,64,28,64,63,29,61,28,30,60,62,25,26,64,55,32,30,33,28,33,30,31,30,29,30,28,28,31,30,31,2
31,61,31,61,27,50,41,34,50,40,47,59,29,63,29,63,54,38,53,37,31,59,53,34,27,63,47,41,31,41,29,41,31,40,31,38,31,37,29,40,31,40,2
35,56,35,56,29,58,33,27,58,33,55,53,32,59,32,59,61,30,61,30,35,53,61,27,29,59,55,33,35,33,32,33,35,33,35,30,35,30,32,33,35,33,2
28,64,28,64,24,55,36,29,55,35,52,62,26,66,26,66,59,33,58,32,28,62,58,29,24,66,52,36,28,36,26,36,28,35,28,33,28,32,26,35,28,35,1
26,65,26,65,20,60,32,24,59,30,56,62,23,68,23,68,64,28,62,27,26,62,63,24,20,68,56,31,26,32,23,32,26,30,26,28,26,27,23,30,26,30,1
37,55,37,55,33,57,35,31,57,35,55,53,35,57,35,57,59,33,59,33,37,53,59,31,33,57,55,35,37,35,35,35,37,35,37,33,37,33,35,35,37,35,2
32,60,32,60,28,60,31,25,60,31,57,58,30,62,30,62,63,28,63,28,32,58,63,25,28,62,57,31,32,31,30,31,32,31,32,28,32,28,30,31,32,31,2
36,55,36,55,30,60,31,25,60,31,57,52,33,58,33,58,63,28,63,28,36,52,63,25,30,58,57,31,36,31,33,31,36,31,36,28,36,28,33,31,36,31,1
31,61,31,61,27,60,31,25,60,31,57,59,29,63,29,63,63,28,63,28,31,59,63,25,27,63,57,31,31,31,29,31,31,31,31,28,31,28,29,31,31,31,1
31,61,30,60,24,58,33,27,58,33,55,57,27,63,27,64,61,30,61,30,30,57,61,27,24,64,55,33,31,33,27,33,30,33,31,30,30,30,27,33,30,33,2
32,59,32,59,26,64,29,24,63,28,61,56,29,62,29,62,66,26,65,26,32,56,66,24,26,62,61,28,32,29,29,29,32,28,32,26,32,26,29,28,32,28,1
40,51,40,51,34,59,32,25,59,31,56,49,37,54,37,54,63,29,62,28,40,49,62,25,35,54,56,32,40,32,37,32,40,31,40,29,40,28,37,31,40,31,2
33,59,33,59,29,59,32,25,59,31,56,57,31,61,31,61,63,29,62,28,33,57,62,25,29,61,56,32,33,32,31,32,33,31,33,29,33,28,31,31,33,31,1
33,58,33,58,27,52,39,33,52,39,49,55,30,61,30,61,55,36,55,36,33,55,55,33,27,61,49,39,33,39,30,39,33,39,33,36,33,36,30,39,33,39,1
30,62,29,62,25,58,33,27,58,33,55,60,27,64,28,65,61,30,61,30,30,60,61,27,25,64,55,33,30,33,28,33,29,33,30,30,29,30,27,33,30,33,1
34,58,34,58,30,59,32,25,59,31,56,56,32,60,32,60,63,29,62,28,34,56,62,25,30,60,56,32,34,32,32,32,34,31,34,29,34,28,32,31,34,31,1
34,56,34,56,26,58,33,26,58,32,55,52,30,60,30,60,62,30,61,29,34,52,61,26,26,60,55,33,34,33,30,33,34,32,34,30,34,29,30,32,34,32,1
34,58,34,58,30,59,32,25,59,31,56,56,32,60,32,60,63,29,62,28,34,56,62,25,30,60,56,32,34,32,32,32,34,31,34,29,34,28,32,31,34,31,1
35,57,35,57,31,60,31,24,60,30,57,55,33,59,33,59,64,28,63,27,35,55,63,24,31,59,57,31,35,31,33,31,35,30,35,28,35,27,33,30,35,30,1
28,63,28,63,22,56,34,25,56,33,52,60,25,66,25,66,61,30,60,29,28,60,60,25,22,66,52,34,28,34,25,34,28,33,28,30,28,29,25,33,28,33,2
34,58,34,58,30,62,29,23,62,29,59,56,32,60,32,60,65,26,65,26,34,56,65,23,30,60,59,29,34,29,32,29,34,29,34,26,34,26,32,29,34,29,2
36,56,36,56,32,58,34,30,58,34,56,54,34,58,34,58,60,32,60,32,36,54,60,30,32,58,56,34,36,34,34,34,36,34,36,32,36,32,34,34,36,34,2
34,58,34,58,30,60,31,25,60,31,57,56,32,60,32,60,63,28,63,28,34,56,63,25,30,60,57,31,34,31,32,31,34,31,34,28,34,28,32,31,34,31,2
27,65,27,65,23,57,33,25,57,32,54,63,25,67,25,67,62,29,61,28,27,63,61,26,23,67,55,33,27,33,25,33,27,32,27,29,27,28,25,32,27,32,1
40,51,40,51,34,61,30,24,61,30,58,49,37,54,37,54,64,27,64,27,40,49,64,24,35,54,58,30,40,30,37,30,40,30,40,27,40,27,37,30,40,30,1
28,63,28,63,23,57,33,25,57,33,54,60,25,66,25,66,61,29,61,29,28,61,61,26,23,66,54,33,28,33,25,33,28,33,28,29,28,29,25,33,28,33,2
36,56,36,56,32,55,35,28,55,35,52,54,34,58,34,58,59,31,59,31,36,54,59,29,32,58,53,35,36,35,34,35,36,35,36,31,36,31,34,35,36,35,1
36,56,36,56,32,59,33,29,59,33,57,54,34,58,34,58,61,31,61,31,36,54,61,29,32,58,57,33,36,33,34,33,36,33,36,31,36,31,34,33,36,33,1
35,57,35,57,31,63,28,22,63,27,60,55,33,59,33,59,67,25,66,24,35,55,66,22,31,59,61,28,35,28,33,28,35,27,35,25,35,24,33,27,35,27,1
31,62,30,61,26,62,30,23,61,29,58,59,28,63,28,64,65,26,64,26,30,59,65,23,26,64,58,29,31,30,28,30,30,29,31,26,30,26,28,29,30,29,1
34,57,34,57,28,58,33,26,58,32,55,55,31,60,31,60,62,30,61,29,34,55,61,26,29,60,55,33,34,33,31,33,34,32,34,30,34,29,31,32,34,32,2
36,56,35,56,31,57,34,28,57,34,54,54,33,58,34,59,60,31,60,31,36,54,60,28,31,58,54,34,36,34,34,34,35,34,36,31,35,31,33,34,36,34,2
32,61,31,60,27,62,31,26,61,30,59,58,29,62,29,63,64,28,63,28,31,58,64,26,27,63,59,30,32,31,29,31,31,30,32,28,31,28,29,30,31,30,1
35,57,35,57,31,58,33,27,58,33,55,55,33,59,33,59,61,30,61,30,35,55,61,27,31,59,55,33,35,33,33,33,35,33,35,30,35,30,33,33,35,33,2
41,51,41,51,37,55,36,30,55,36,52,49,39,53,39,53,58,33,58,33,41,49,58,30,37,53,52,36,41,36,39,36,41,36,41,33,41,33,39,36,41,36,1
31,60,30,60,25,59,32,26,59,32,56,58,27,63,28,64,62,29,62,29,31,59,62,26,26,63,56,32,31,32,28,32,30,32,31,29,30,29,27,32,31,32,2
30,62,30,62,26,50,40,31,50,39,46,60,28,64,28,64,55,36,54,35,30,60,54,31,26,64,46,40,30,40,28,40,30,39,30,36,30,35,28,39,30,39,2
34,57,34,57,28,52,39,32,52,38,49,54,31,60,31,60,56,36,55,35,34,54,55,32,28,60,49,39,34,39,31,39,34,38,34,36,34,35,31,38,34,38,2
33,58,33,58,27,55,36,30,55,36,52,55,30,61,30,61,58,33,58,33,33,55,58,30,27,61,52,36,33,36,30,36,33,36,33,33,33,33,30,36,33,36,2
34,58,34,58,30,59,32,26,59,32,56,56,32,60,32,60,62,29,62,29,34,56,62,26,30,60,56,32,34,32,32,32,34,32,34,29,34,29,32,32,34,32,2
37,55,37,55,33,56,36,32,56,36,54,53,35,57,35,57,58,34,58,34,37,53,58,32,33,57,54,36,37,36,35,36,37,36,37,34,37,34,35,36,37,36,2
33,58,33,58,27,61,30,23,61,29,58,55,30,61,30,61,65,27,64,26,33,55,64,23,27,61,58,30,33,30,30,30,33,29,33,27,33,26,30,29,33,29,2
25,68,24,67,21,63,30,25,62,29,60,65,22,69,22,70,65,27,64,27,24,66,65,25,21,70,60,29,25,30,22,30,24,29,25,27,24,27,22,29,24,29,2
31,60,31,60,25,59,31,23,59,30,55,57,28,63,28,63,64,27,63,26,31,57,63,23,25,63,56,31,31,31,28,31,31,30,31,27,31,26,28,30,31,30,1
29,62,29,62,24,52,39,32,52,38,49,59,26,65,26,65,56,36,55,35,29,60,55,32,24,65,49,39,29,39,26,39,29,38,29,36,29,35,26,38,29,38,1
36,56,36,56,32,59,33,29,59,33,57,54,34,58,34,58,61,31,61,31,36,54,61,29,32,58,57,33,36,33,34,33,36,33,36,31,36,31,34,33,36,33,2
34,58,34,58,30,60,31,24,60,30,57,56,32,60,32,60,64,28,63,27,34,56,63,24,30,60,57,31,34,31,32,31,34,30,34,28,34,27,32,30,34,30,1
25,68,24,67,21,58,33,27,58,33,55,65,22,69,22,70,61,30,61,30,24,66,61,27,21,70,55,33,25,33,22,33,24,33,25,30,24,30,22,33,24,33,1
31,62,30,61,26,56,35,29,56,35,53,59,28,63,28,64,59,32,59,32,30,59,59,29,26,64,53,35,31,35,28,35,30,35,31,32,30,32,28,35,30,35,2
32,58,32,58,24,59,32,25,59,31,56,54,28,62,28,62,63,29,62,28,32,54,62,25,24,62,56,32,32,32,28,32,32,31,32,29,32,28,28,31,32,31,1
33,60,32,59,28,58,33,27,58,33,55,57,30,61,30,62,61,30,61,30,32,57,61,27,28,62,55,33,33,33,30,33,32,33,33,30,32,30,30,33,32,33,1
36,56,36,56,32,58,34,30,58,34,56,54,34,58,34,58,60,32,60,32,36,54,60,30,32,58,56,34,36,34,34,34,36,34,36,32,36,32,34,34,36,34,1
31,60,31,60,26,52,39,33,52,39,49,57,28,63,28,63,55,36,55,36,31,58,55,33,26,63,49,39,31,39,28,39,31,39,31,36,31,36,28,39,31,39,2
38,54,38,54,34,56,36,32,56,36,54,52,36,56,36,56,58,34,58,34,38,52,58,32,34,56,54,36,38,36,36,36,38,36,38,34,38,34,36,36,38,36,2
33,58,33,58,27,54,37,31,54,37,51,55,30,61,30,61,57,34,57,34,33,55,57,31,27,61,51,37,33,37,30,37,33,37,33,34,33,34,30,37,33,37,2
34,56,34,56,26,60,31,24,60,30,57,52,30,60,30,60,64,28,63,27,34,52,63,24,26,60,57,31,34,31,30,31,34,30,34,28,34,27,30,30,34,30,1
36,56,36,56,32,57,35,31,57,35,55,54,34,58,34,58,59,33,59,33,36,54,59,31,32,58,55,35,36,35,34,35,36,35,36,33,36,33,34,35,36,35,2
38,54,38,54,34,57,34,27,57,33,54,52,36,56,36,56,61,31,60,30,38,52,60,27,34,56,54,34,38,34,36,34,38,33,38,31,38,30,36,33,38,33,2
32,59,32,59,26,52,39,33,52,39,49,56,29,62,29,62,55,36,55,36,32,56,55,33,26,62,49,39,32,39,29,39,32,39,32,36,32,36,29,39,32,39,2
31,60,31,60,25,54,36,28,54,36,50,57,28,63,28,63,58,32,58,32,31,57,58,28,25,63,50,36,31,36,28,36,31,36,31,32,31,32,28,36,31,36,2
31,61,31,61,27,55,36,31,55,36,52,59,29,63,29,63,58,33,58,33,31,59,58,31,27,63,53,36,31,36,29,36,31,36,31,33,31,33,29,36,31,36,2
37,54,37,54,31,58,33,27,58,33,55,51,34,57,34,57,61,30,61,30,37,51,61,27,31,57,55,33,37,33,34,33,37,33,37,30,37,30,34,33,37,33,2
36,56,36,56,32,58,34,30,58,34,56,54,34,58,34,58,60,32,60,32,36,54,60,30,32,58,56,34,36,34,34,34,36,34,36,32,36,32,34,34,36,34,2
37,55,37,55,33,55,36,30,55,35,52,53,35,57,35,57,59,33,58,32,37,53,58,30,33,57,53,36,37,36,35,36,37,35,37,33,37,32,35,35,37,35,1
35,56,35,56,29,52,38,30,52,38,48,53,32,59,32,59,56,34,56,34,35,53,56,30,29,59,48,38,35,38,32,38,35,38,35,34,35,34,32,38,35,38,2
34,56,34,56,26,59,32,25,59,31,56,52,30,60,30,60,63,29,62,28,34,52,62,25,26,60,56,32,34,32,30,32,34,31,34,29,34,28,30,31,34,31,1
35,56,35,56,29,58,32,25,58,32,55,53,32,59,32,59,62,28,62,28,35,53,62,26,29,59,56,32,35,32,32,32,35,32,35,28,35,28,32,32,35,32,2
31,59,31,59,24,59,32,25,59,31,56,55,27,63,27,63,63,29,62,28,31,56,62,25,24,63,56,32,31,32,27,32,31,31,31,29,31,28,27,31,31,31,1
35,56,35,56,29,60,31,25,60,31,57,53,32,59,32,59,63,28,63,28,35,53,63,25,29,59,57,31,35,31,32,31,35,31,35,28,35,28,32,31,35,31,1
37,55,37,55,33,56,36,32,56,36,54,53,35,57,35,57,58,34,58,34,37,53,58,32,33,57,54,36,37,36,35,36,37,36,37,34,37,34,35,36,37,36,2
32,60,32,60,28,60,31,25,60,31,57,58,30,62,30,62,63,28,63,28,32,58,63,25,28,62,57,31,32,31,30,31,32,31,32,28,32,28,30,31,32,31,2
36,55,36,55,30,57,34,29,57,34,54,52,33,58,33,58,60,31,60,31,36,52,60,29,30,58,55,34,36,34,33,34,36,34,36,31,36,31,33,34,36,34,2
31,61,31,61,27,57,35,31,57,35,55,59,29,63,29,63,59,33,59,33,31,59,59,31,27,63,55,35,31,35,29,35,31,35,31,33,31,33,29,35,31,35,2
34,58,34,58,30,59,32,26,59,32,56,56,32,60,32,60,62,29,62,29,34,56,62,26,30,60,56,32,34,32,32,32,34,32,34,29,34,29,32,32,34,32,2
31,61,31,61,27,60,31,24,60,30,57,59,29,63,29,63,64,28,63,27,31,59,63,24,27,63,57,31,31,31,29,31,31,30,31,28,31,27,29,30,31,30,1
