@relation 'Sax dominant'

@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atLccc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o2atMaaa numeric
@attribute o2atMabb numeric
@attribute o2atLabb numeric
@attribute o2atMbbc numeric
@attribute o2atLbbc numeric
@attribute o2atLccc numeric
@attribute o2atMaab numeric
@attribute o2atLaab numeric
@attribute o2atMbbb numeric
@attribute o2atLbbb numeric
@attribute o2atMbcc numeric
@attribute o2atLbcc numeric
@attribute o2atMccb numeric
@attribute o2atLccb numeric
@attribute o2atMcbc numeric
@attribute o2atLcbc numeric
@attribute o2atMcbb numeric
@attribute o2atLcbb numeric
@attribute o2atMbcb numeric
@attribute o2atLbcb numeric
@attribute o2atMaba numeric
@attribute o2atLaba numeric
@attribute o2atMbab numeric
@attribute o2atLbab numeric
@attribute o2atMbaa numeric
@attribute o2atLbaa numeric
@attribute o2atMbba numeric
@attribute o2atLbba numeric
@attribute o3atLccc numeric
@attribute o3atMccb numeric
@attribute o3atLccb numeric
@attribute o3atMcbc numeric
@attribute o3atLcbc numeric
@attribute o3atMbba numeric
@attribute o3atLbba numeric
@attribute o3atMabb numeric
@attribute o3atLabb numeric
@attribute o3atMaaa numeric
@attribute o3atMaba numeric
@attribute o3atLaba numeric
@attribute o3atMcbb numeric
@attribute o3atLcbb numeric
@attribute o3atMbab numeric
@attribute o3atLbab numeric
@attribute o3atMbbc numeric
@attribute o3atLbbc numeric
@attribute o3atMbbb numeric
@attribute o3atLbbb numeric
@attribute o3atMbaa numeric
@attribute o3atLbaa numeric
@attribute o3atMaab numeric
@attribute o3atLaab numeric
@attribute o3atMbcc numeric
@attribute o3atLbcc numeric
@attribute o3atMcba numeric
@attribute o3atLcba numeric
@attribute o3atMabc numeric
@attribute o3atLabc numeric
@attribute o3atMbcb numeric
@attribute o3atLbcb numeric
@attribute o3atMaac numeric
@attribute o3atLaac numeric
@attribute o3atMcca numeric
@attribute o3atLcca numeric
@attribute o3atMcab numeric
@attribute o3atLcab numeric
@attribute o3atMbac numeric
@attribute o3atLbac numeric
@attribute o3atMcaa numeric
@attribute o3atLcaa numeric
@attribute destClass {-1,1}

@data
13,6,14,16,12,5,23,7,24,6,22,15,13,17,22,6,12,16,12,6,12,16,22,5,23,5,23,5,14,7,13,15,12,17,14,6,13,7,13,7,10,12,19,16,13,11,11,20,15,18,17,12,17,12,17,11,16,13,15,13,10,19,11,18,10,18,10,18,12,15,13,16,12,0,30,0,30,0,0,30,14,14,0,30,15,15,13,30,0,30,0,30,16,13,0,14,0,15,13,14,0,15,0,13,0,14,0,15,0,14,1.0
14,6,15,15,13,5,22,7,23,6,21,14,14,16,21,7,13,15,14,7,13,15,22,6,23,6,23,5,15,7,14,14,13,16,15,6,14,7,14,7,9,11,20,21,7,1,10,21,19,19,24,3,23,3,24,3,20,6,20,6,9,20,10,19,9,19,9,19,15,14,16,14,15,0,30,0,30,0,0,30,13,17,0,30,13,16,12,30,0,30,0,30,13,15,0,17,0,16,12,16,0,16,0,16,0,17,0,16,0,17,1.0
27,0,26,2,24,0,30,0,30,0,30,1,25,3,30,0,27,2,27,0,26,4,30,0,30,0,30,0,26,0,27,1,24,3,26,0,25,0,27,0,0,0,30,16,13,9,0,30,13,30,19,10,17,9,18,9,15,11,15,12,0,30,0,30,0,30,0,30,10,17,12,17,11,0,30,0,30,0,0,30,15,14,0,30,15,13,14,30,0,30,0,30,16,11,0,14,0,13,14,13,0,13,0,12,0,14,0,13,0,14,1.0
17,7,18,12,16,5,20,9,22,7,18,11,17,13,18,8,16,12,16,8,16,12,19,7,21,6,21,5,18,9,17,11,16,13,18,7,17,9,17,9,3,5,26,10,18,14,4,27,9,25,12,16,12,16,12,15,10,18,9,18,3,26,4,25,3,25,3,25,1,26,2,27,1,4,23,4,23,0,1,26,25,3,4,23,26,4,24,21,1,26,1,26,27,2,4,3,4,4,24,3,1,4,4,2,4,3,4,4,1,3,1.0
2,11,3,26,0,10,18,12,19,11,17,24,1,28,17,11,1,26,1,11,0,27,17,10,18,10,18,10,3,12,2,25,0,28,3,11,1,12,2,12,22,24,7,30,0,0,23,8,30,6,30,0,30,0,30,0,30,0,30,0,22,7,23,6,22,6,22,6,18,5,21,6,20,0,30,0,30,0,0,30,2,24,0,30,3,25,1,30,0,30,0,30,6,21,0,24,0,25,1,24,0,25,0,21,0,24,0,25,0,24,-1.0
16,9,17,13,15,8,20,10,21,9,19,12,16,14,19,9,15,13,15,9,15,13,19,8,20,8,20,8,17,10,16,12,15,14,17,9,16,10,16,10,3,5,26,12,17,15,4,27,11,25,13,16,13,16,13,15,12,17,11,17,3,26,4,25,3,25,3,25,0,29,0,30,0,0,30,0,30,0,0,30,29,0,0,30,30,1,29,30,0,30,0,30,30,0,0,0,0,1,29,0,0,1,0,0,0,0,0,1,0,0,1.0
18,3,18,10,16,2,25,3,26,3,24,8,17,12,24,4,17,10,18,4,16,11,25,3,26,3,26,2,19,4,18,9,16,12,19,3,17,4,18,3,3,5,26,6,22,18,4,27,5,25,8,20,8,20,8,19,6,22,5,22,3,26,4,25,3,25,3,25,1,26,2,27,1,0,30,0,30,0,0,30,25,3,0,30,26,4,24,30,0,30,0,30,27,2,0,3,0,4,24,3,0,4,0,2,0,3,0,4,0,3,1.0
17,8,17,12,16,6,19,9,21,8,17,11,17,13,17,9,16,12,16,9,16,12,18,8,20,7,20,6,18,10,17,11,16,13,18,8,17,10,17,9,3,5,26,8,19,13,4,27,7,25,11,16,11,16,11,15,8,19,7,19,3,26,4,25,3,25,3,25,1,26,2,27,1,4,23,3,23,0,1,26,25,3,4,23,26,3,24,21,1,26,1,26,27,2,4,3,4,4,24,3,1,4,4,2,4,3,4,3,1,3,1.0
21,6,22,8,20,5,23,7,24,6,22,7,21,9,22,6,20,8,20,6,20,8,22,5,23,5,23,5,22,7,21,7,20,9,22,6,21,7,21,7,6,8,23,30,0,0,7,24,30,22,30,0,30,0,30,0,30,0,30,0,6,23,7,22,6,22,6,22,14,11,17,11,16,0,30,0,30,0,0,30,8,20,0,30,8,19,7,30,0,30,0,30,10,16,0,20,0,19,7,19,0,19,0,17,0,20,0,19,0,20,-1.0
10,8,11,19,9,7,21,9,22,8,20,18,10,20,20,8,9,19,9,8,9,19,20,7,21,7,21,7,11,9,10,18,9,20,11,8,10,9,10,9,13,16,14,28,1,0,14,16,27,13,29,0,29,0,29,0,28,1,28,1,14,15,15,14,13,14,14,13,23,5,23,5,23,0,30,0,30,0,0,30,4,24,0,30,4,25,3,30,0,30,0,30,6,24,0,24,0,25,4,25,0,25,0,23,0,24,0,25,0,24,-1.0
27,0,28,1,24,0,30,0,30,0,30,0,26,3,30,0,27,1,27,0,25,2,30,0,30,0,30,0,28,0,27,0,25,3,28,0,26,0,27,0,0,2,29,9,18,10,1,30,5,28,14,13,12,12,13,11,8,16,7,17,0,29,1,28,0,28,0,28,14,13,16,13,14,0,30,0,30,0,0,30,11,18,0,30,11,17,9,30,0,30,0,30,12,15,0,18,0,17,9,17,0,17,0,16,0,18,0,17,0,18,1.0
19,3,20,10,18,2,23,5,25,3,21,9,19,11,22,5,18,10,19,5,18,10,23,4,25,3,25,2,20,5,19,9,18,11,20,3,19,5,19,5,4,6,25,11,16,11,5,26,8,24,14,13,14,13,14,11,11,16,9,16,4,25,5,24,4,24,4,24,15,8,17,9,18,0,30,0,30,0,0,30,5,21,0,30,5,22,4,30,0,30,0,30,9,18,0,21,0,22,5,21,0,22,0,17,0,21,0,22,0,21,1.0
16,5,15,12,13,4,24,4,25,4,23,10,14,14,23,4,15,12,15,5,14,13,23,4,24,4,24,4,16,5,15,10,13,14,17,5,15,6,16,4,5,7,24,11,17,12,6,25,9,23,14,14,13,14,13,13,10,16,10,17,5,24,6,23,5,23,5,23,3,24,4,25,3,0,30,0,30,0,0,30,23,6,0,30,23,6,21,30,0,30,0,30,24,4,0,6,0,6,21,5,0,6,0,4,0,6,0,6,0,6,1.0
20,5,18,9,17,3,21,6,23,5,20,8,18,10,20,6,19,10,19,7,18,11,21,6,23,4,23,4,19,7,19,8,17,11,19,5,18,7,19,6,0,0,30,16,12,12,0,30,16,30,16,12,18,13,17,12,17,14,16,13,0,30,0,30,0,30,0,30,0,29,0,30,0,0,30,0,30,0,0,30,29,0,0,30,30,1,29,30,0,30,0,30,30,0,0,0,0,1,29,0,0,1,0,0,0,0,0,1,0,0,-1.0
18,6,19,11,17,4,21,8,23,6,19,10,18,12,19,7,17,11,17,7,17,11,20,6,22,5,22,4,19,8,18,10,17,12,19,6,18,8,18,8,3,5,26,7,24,22,4,27,6,25,8,23,6,22,7,22,6,22,6,23,3,26,4,25,3,25,3,25,2,25,3,26,2,0,30,0,30,0,0,30,24,4,0,30,25,5,23,30,0,30,0,30,26,3,0,4,0,5,23,4,0,5,0,3,0,4,0,5,0,4,1.0
23,1,23,6,21,0,28,2,29,1,27,5,22,7,27,1,22,6,22,1,22,7,27,0,28,0,28,0,23,2,23,5,21,7,23,1,22,2,23,2,0,0,30,6,19,13,0,30,5,30,10,16,11,16,10,15,7,20,6,20,0,30,0,30,0,30,0,30,5,20,7,21,6,0,30,0,30,0,0,30,18,9,0,30,19,10,17,30,0,30,0,30,21,7,0,9,0,10,17,9,0,10,0,7,0,9,0,10,0,9,1.0
17,8,18,12,16,6,19,10,21,8,18,11,17,13,18,9,16,12,16,9,16,12,18,8,20,7,20,7,18,10,17,11,16,13,18,8,17,10,17,10,3,5,26,13,15,11,4,27,11,25,15,13,15,13,15,11,13,15,11,15,3,26,4,25,3,25,3,25,2,25,3,26,2,0,30,0,30,0,0,30,24,4,0,30,25,5,23,30,0,30,0,30,26,3,0,4,0,5,23,4,0,5,0,3,0,4,0,5,0,4,1.0
14,6,15,14,11,5,22,7,23,6,21,12,13,16,21,7,14,14,14,7,12,15,22,7,23,6,23,5,15,7,14,12,11,16,15,6,13,7,14,7,18,20,11,26,3,1,19,12,25,10,27,2,27,2,27,1,26,3,25,3,18,11,19,10,18,10,18,10,10,17,10,18,10,0,30,0,30,0,0,30,16,11,0,30,17,13,15,30,0,30,0,30,19,11,0,11,0,13,16,12,0,13,0,10,0,11,0,13,0,11,-1.0
16,1,16,11,13,0,25,2,27,1,23,8,14,14,24,3,15,11,16,3,13,13,25,2,27,1,27,0,17,3,16,10,13,14,17,1,14,3,16,2,3,5,26,8,22,18,4,27,7,25,10,20,8,19,9,19,7,20,7,21,3,26,4,25,3,25,3,25,4,17,8,17,5,0,30,0,30,0,0,30,11,14,0,30,11,13,6,30,0,30,0,30,16,7,0,14,0,13,8,13,0,13,0,8,0,14,0,13,0,14,1.0
18,3,18,10,16,2,21,5,24,3,19,8,17,12,21,6,16,10,18,6,16,11,21,4,24,3,24,3,19,6,18,9,16,12,19,3,17,6,18,5,4,6,25,8,23,21,5,26,7,24,9,22,7,21,8,21,7,21,7,22,4,25,5,24,4,24,4,24,1,26,2,27,1,0,30,0,30,0,0,30,25,3,0,30,26,4,24,30,0,30,0,30,27,2,0,3,0,4,24,3,0,4,0,2,0,3,0,4,0,3,1.0
20,3,19,8,17,2,25,2,26,2,24,6,18,10,24,3,19,8,20,4,18,9,25,3,26,3,26,2,20,3,19,6,17,10,21,3,19,4,20,2,3,5,26,7,22,16,4,27,6,25,10,19,8,18,9,18,6,20,6,21,3,26,4,25,3,25,3,25,2,25,3,25,2,0,30,0,30,0,0,30,23,5,0,30,23,5,21,30,0,30,0,30,25,3,0,5,0,5,22,5,0,5,0,3,0,5,0,5,0,5,1.0
19,4,19,9,17,3,23,5,25,4,21,7,18,11,22,5,17,9,18,5,17,10,22,3,24,3,24,3,20,6,19,8,17,11,20,4,18,6,19,5,3,5,26,8,21,18,4,27,7,25,10,19,9,19,9,19,7,20,8,21,3,26,4,25,3,25,3,25,1,26,2,27,1,0,30,0,30,0,0,30,25,3,0,30,26,4,24,30,0,30,0,30,27,2,0,3,0,4,24,3,0,4,0,2,0,3,0,4,0,3,1.0
18,9,19,11,17,8,20,10,21,9,19,10,18,12,19,9,17,11,17,9,17,11,19,8,20,8,20,8,19,10,18,10,17,12,19,9,18,10,18,10,2,4,27,12,17,15,3,28,11,26,13,16,13,16,13,15,12,17,11,17,2,27,3,26,2,26,2,26,0,27,1,28,0,0,30,0,30,0,0,30,26,2,0,30,27,3,25,30,0,30,0,30,28,1,0,2,0,3,25,2,0,3,0,1,0,2,0,3,0,2,1.0
18,4,18,10,16,3,24,4,25,4,23,8,17,12,23,5,17,10,18,5,16,11,24,4,25,4,25,3,19,5,18,9,16,12,19,4,17,5,18,4,3,5,26,8,20,16,4,27,7,25,10,18,10,18,10,17,8,20,7,20,3,26,4,25,3,25,3,25,3,24,4,25,3,0,30,0,30,0,0,30,23,5,0,30,24,6,22,30,0,30,0,30,25,4,0,5,0,6,22,5,0,6,0,4,0,5,0,6,0,5,1.0
15,6,16,14,14,4,21,8,23,6,19,13,15,15,19,7,14,14,14,7,14,14,20,6,22,5,22,4,16,8,15,13,14,15,16,6,15,8,15,8,5,7,24,11,19,16,6,25,9,23,12,17,11,17,12,16,10,18,9,18,5,24,6,23,5,23,5,23,0,27,1,28,0,3,24,3,24,0,1,27,26,2,3,25,27,3,25,22,0,27,0,27,28,1,3,2,3,3,25,2,0,3,3,1,3,2,3,3,0,2,1.0
25,4,22,4,22,3,25,3,26,3,24,3,22,5,24,3,24,5,24,4,23,6,24,3,25,3,25,3,23,4,23,3,22,6,24,4,23,5,24,3,0,0,30,3,25,22,0,30,1,30,5,23,5,23,5,22,3,25,2,25,0,30,0,30,0,30,0,30,3,25,3,26,3,0,30,0,30,0,0,30,25,3,0,30,26,5,25,30,0,30,0,30,27,4,0,3,0,5,25,4,0,5,0,3,0,3,0,5,0,3,-1.0
24,4,23,5,22,3,25,4,26,4,24,4,23,6,24,4,23,5,23,4,23,6,24,3,25,3,25,3,24,5,24,4,22,6,24,4,23,5,24,4,0,0,30,7,18,10,0,30,4,30,12,13,12,13,12,12,7,18,6,18,0,30,0,30,0,30,0,30,3,23,5,23,3,0,28,0,28,0,0,29,21,6,1,28,21,6,19,27,0,29,0,29,23,5,1,7,1,7,19,7,0,7,1,5,1,6,1,6,0,7,1.0
17,8,18,12,16,6,19,10,21,8,18,11,17,13,18,9,16,12,16,9,16,12,18,8,20,7,20,7,18,10,17,11,16,13,18,8,17,10,17,10,4,6,25,14,15,13,5,26,13,24,15,14,15,14,15,13,14,15,13,15,4,25,5,24,4,24,4,24,1,26,2,27,1,0,30,0,30,0,0,30,25,3,0,30,26,4,24,30,0,30,0,30,27,2,0,3,0,4,24,3,0,4,0,2,0,3,0,4,0,3,1.0
15,4,16,14,14,3,25,5,26,4,24,13,15,15,24,4,14,14,14,4,14,14,24,3,25,3,25,3,16,5,15,13,14,15,16,4,15,5,15,5,14,16,15,27,3,0,15,16,25,14,29,1,27,0,28,0,26,1,26,2,14,15,15,14,14,14,14,14,20,6,22,6,20,0,30,0,30,0,0,30,4,24,0,30,4,24,2,30,0,30,0,30,6,22,0,24,0,24,2,24,0,24,0,22,0,24,0,24,0,24,1.0
18,3,18,10,16,2,23,4,25,3,21,8,17,12,22,5,16,10,18,5,16,11,23,3,25,3,25,2,19,5,18,9,16,12,19,3,17,5,18,4,3,5,26,7,21,17,4,27,6,25,9,19,9,19,9,18,7,21,6,21,3,26,4,25,3,25,3,25,2,24,3,25,2,0,30,0,30,0,0,30,23,4,0,30,24,6,22,30,0,30,0,30,26,4,0,4,0,6,22,5,0,6,0,3,0,4,0,6,0,4,1.0
13,8,14,16,12,7,21,9,22,8,20,15,13,17,20,8,12,16,12,8,12,16,20,7,21,7,21,7,14,9,13,15,12,17,14,8,13,9,13,9,12,14,17,30,0,0,13,18,30,16,30,0,30,0,30,0,30,0,30,0,12,17,13,16,12,16,12,16,14,13,15,14,14,0,30,0,30,0,0,30,12,16,0,30,13,17,11,30,0,30,0,30,14,15,0,16,0,17,11,16,0,17,0,15,0,16,0,17,0,16,1.0
12,6,13,17,11,5,22,7,23,6,21,16,12,18,21,7,11,17,12,7,11,17,22,6,23,6,23,5,13,7,12,16,11,18,13,6,12,7,12,7,16,18,13,22,9,7,17,14,21,12,23,8,21,7,22,7,21,7,21,8,16,13,17,12,16,12,16,12,24,5,25,5,24,3,27,1,26,1,1,27,4,26,2,26,4,24,3,26,2,28,1,27,4,24,3,26,2,24,3,25,2,25,3,25,2,26,3,24,2,26,1.0
19,3,19,9,17,2,25,3,26,3,24,7,18,11,24,4,18,9,19,4,17,10,25,3,26,3,26,2,20,4,19,8,17,11,20,3,18,4,19,3,3,5,26,7,22,17,4,27,6,25,9,19,8,19,9,19,6,21,6,21,3,26,4,25,3,25,3,25,3,23,4,24,3,0,30,0,30,0,0,30,21,7,0,30,21,7,18,30,0,30,0,30,23,4,0,7,0,7,19,6,0,7,0,4,0,7,0,7,0,7,1.0
10,8,11,19,9,7,20,9,21,8,19,18,10,20,19,9,9,19,10,9,9,19,20,8,21,8,21,7,11,9,10,18,9,20,11,8,10,9,10,9,16,18,13,26,5,3,17,14,25,12,27,4,25,3,26,3,25,3,25,4,16,13,17,12,16,12,16,12,25,2,27,2,27,0,30,0,30,0,0,30,0,29,0,30,0,28,0,30,0,30,0,30,1,26,0,29,0,28,0,28,0,28,0,27,0,29,0,28,0,29,-1.0
23,4,24,6,22,3,25,5,26,4,24,5,23,7,24,4,22,6,22,4,22,6,24,3,25,3,25,3,24,5,23,5,22,7,24,4,23,5,23,5,0,0,30,12,18,15,0,30,11,30,13,16,12,16,13,16,11,17,11,17,0,30,0,30,0,30,0,30,11,12,14,12,14,0,30,0,30,0,0,30,7,19,0,30,7,18,5,30,0,30,0,30,11,13,0,19,0,18,7,18,0,18,0,14,0,19,0,18,0,19,-1.0
17,8,17,12,16,6,19,9,21,8,17,11,17,13,17,9,16,12,16,9,16,12,18,8,20,7,20,6,18,10,17,11,16,13,18,8,17,10,17,9,4,6,25,9,20,17,5,26,7,24,11,18,10,18,10,17,8,19,8,20,4,25,5,24,4,24,4,24,2,25,3,26,2,0,30,0,30,0,0,30,24,4,0,30,25,5,23,30,0,30,0,30,26,3,0,4,0,5,23,4,0,5,0,3,0,4,0,5,0,4,1.0
19,9,19,10,18,8,20,9,21,9,19,9,19,11,19,9,18,10,18,9,18,10,19,8,20,8,20,8,20,10,19,9,18,11,20,9,19,10,19,9,0,1,30,17,12,10,0,30,16,29,18,11,18,11,18,10,17,12,16,12,0,30,0,29,0,29,0,29,0,29,0,30,0,0,30,0,30,0,0,30,29,0,0,30,30,1,29,30,0,30,0,30,30,0,0,0,0,1,29,0,0,1,0,0,0,0,0,1,0,0,-1.0
