@relation 'Sax dominant'

@attribute o1atMff numeric
@attribute o1atLff numeric
@attribute o1atMgg numeric
@attribute o1atLgg numeric
@attribute o1atMee numeric
@attribute o1atLee numeric
@attribute o1atLkk numeric
@attribute o1atMaa numeric
@attribute o1atMhh numeric
@attribute o1atLhh numeric
@attribute o1atMii numeric
@attribute o1atLii numeric
@attribute o1atMjj numeric
@attribute o1atLjj numeric
@attribute o1atMfg numeric
@attribute o1atLfg numeric
@attribute o1atMef numeric
@attribute o1atLef numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMgh numeric
@attribute o1atLgh numeric
@attribute o1atMhi numeric
@attribute o1atLhi numeric
@attribute o1atMij numeric
@attribute o1atLij numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMaf numeric
@attribute o1atLaf numeric
@attribute o1atMfk numeric
@attribute o1atLfk numeric
@attribute o1atMkb numeric
@attribute o1atLkb numeric
@attribute o1atMgf numeric
@attribute o1atLgf numeric
@attribute o1atMfe numeric
@attribute o1atLfe numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMji numeric
@attribute o1atLji numeric
@attribute o1atMih numeric
@attribute o1atLih numeric
@attribute o1atMhg numeric
@attribute o1atLhg numeric
@attribute o1atMjk numeric
@attribute o1atLjk numeric
@attribute o1atMeh numeric
@attribute o1atLeh numeric
@attribute o1atMek numeric
@attribute o1atLek numeric
@attribute o1atMia numeric
@attribute o1atLia numeric
@attribute o1atMig numeric
@attribute o1atLig numeric
@attribute o1atMkj numeric
@attribute o1atLkj numeric
@attribute o1atMfh numeric
@attribute o1atLfh numeric
@attribute o1atMai numeric
@attribute o1atLai numeric
@attribute o1atMha numeric
@attribute o1atLha numeric
@attribute o1atMge numeric
@attribute o1atLge numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMeg numeric
@attribute o1atLeg numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMjh numeric
@attribute o1atLjh numeric
@attribute o1atMag numeric
@attribute o1atLag numeric
@attribute o1atMfa numeric
@attribute o1atLfa numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMka numeric
@attribute o1atLka numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMdf numeric
@attribute o1atLdf numeric
@attribute o1atMhk numeric
@attribute o1atLhk numeric
@attribute o1atMgd numeric
@attribute o1atLgd numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMfi numeric
@attribute o1atLfi numeric
@attribute o1atMik numeric
@attribute o1atLik numeric
@attribute o1atMgk numeric
@attribute o1atLgk numeric
@attribute o1atMki numeric
@attribute o1atLki numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMcf numeric
@attribute o1atLcf numeric
@attribute o1atMhb numeric
@attribute o1atLhb numeric
@attribute o1atMhf numeric
@attribute o1atLhf numeric
@attribute o1atMib numeric
@attribute o1atLib numeric
@attribute o1atMei numeric
@attribute o1atLei numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMfj numeric
@attribute o1atLfj numeric
@attribute o1atMjc numeric
@attribute o1atLjc numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMja numeric
@attribute o1atLja numeric
@attribute o1atMic numeric
@attribute o1atLic numeric
@attribute o1atMgi numeric
@attribute o1atLgi numeric
@attribute o1atMah numeric
@attribute o1atLah numeric
@attribute o1atMke numeric
@attribute o1atLke numeric
@attribute o1atMea numeric
@attribute o1atLea numeric
@attribute o1atMga numeric
@attribute o1atLga numeric
@attribute o1atMkc numeric
@attribute o1atLkc numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMkf numeric
@attribute o1atLkf numeric
@attribute o1atMif numeric
@attribute o1atLif numeric
@attribute o1atMhe numeric
@attribute o1atLhe numeric
@attribute o1atMjf numeric
@attribute o1atLjf numeric
@attribute o1atMhj numeric
@attribute o1atLhj numeric
@attribute o1atMgj numeric
@attribute o1atLgj numeric
@attribute o1atMjb numeric
@attribute o1atLjb numeric
@attribute o1atMdk numeric
@attribute o1atLdk numeric
@attribute o1atMhd numeric
@attribute o1atLhd numeric
@attribute o1atMjd numeric
@attribute o1atLjd numeric
@attribute o1atMid numeric
@attribute o1atLid numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMkh numeric
@attribute o1atLkh numeric
@attribute o1atMjg numeric
@attribute o1atLjg numeric
@attribute o1atMie numeric
@attribute o1atLie numeric
@attribute o1atMje numeric
@attribute o1atLje numeric
@attribute o1atMkd numeric
@attribute o1atLkd numeric
@attribute o1atMkg numeric
@attribute o1atLkg numeric
@attribute o1atMej numeric
@attribute o1atLej numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMhc numeric
@attribute o1atLhc numeric
@attribute o1atMgc numeric
@attribute o1atLgc numeric
@attribute o1atMck numeric
@attribute o1atLck numeric
@attribute o1atMfd numeric
@attribute o1atLfd numeric
@attribute o1atMbf numeric
@attribute o1atLbf numeric
@attribute o1atMgb numeric
@attribute o1atLgb numeric
@attribute o1atMdg numeric
@attribute o1atLdg numeric
@attribute destClass {1.0,2.0}

@data
76,47,79,14,39,88,5,1,82,11,85,8,87,7,77,16,43,51,2,93,80,12,84,9,86,8,4,89,3,52,79,6,4,6,76,15,42,50,2,92,86,7,83,9,80,11,89,6,43,14,44,7,2,10,81,9,88,6,77,13,3,11,2,13,42,15,5,89,4,88,43,17,2,91,84,8,3,17,2,51,4,90,2,6,4,89,6,51,85,6,4,15,2,90,78,10,87,6,82,6,86,6,2,91,5,51,3,13,77,12,4,10,43,11,4,89,78,8,4,8,2,90,2,8,4,9,81,9,3,14,43,6,2,89,2,16,4,6,2,90,78,6,78,9,42,12,78,8,84,8,81,8,4,8,6,7,4,12,5,8,5,9,3,89,4,89,84,6,81,8,43,9,43,8,5,6,81,6,43,9,3,89,3,12,3,15,5,7,4,50,5,51,3,16,6,17,1.0
73,56,79,15,32,89,4,2,80,11,86,10,88,6,75,17,34,59,3,92,80,12,82,11,87,7,4,90,4,60,77,5,4,5,75,17,34,58,2,91,87,7,82,10,79,12,90,5,34,14,36,6,3,12,81,11,89,5,75,12,4,13,2,13,34,17,4,89,3,89,34,19,3,91,82,7,4,19,2,59,3,90,3,5,3,89,5,59,83,5,3,17,2,90,76,11,88,5,82,5,87,5,3,91,5,59,3,12,75,12,4,11,35,13,4,89,76,7,4,7,2,90,3,7,4,11,81,11,4,14,35,5,2,90,2,18,4,5,3,91,76,5,76,11,34,12,76,7,82,7,81,7,4,7,5,6,3,12,4,7,4,11,3,89,3,89,82,5,81,7,35,11,35,7,4,5,81,5,35,8,3,89,3,12,3,17,5,6,3,58,5,59,3,17,5,19,1.0
75,55,79,15,33,89,5,2,83,11,85,9,87,7,76,16,35,58,2,92,81,12,84,10,86,8,3,90,4,59,78,6,3,6,76,17,36,57,2,91,86,8,84,9,80,12,89,6,36,14,37,7,3,10,81,10,88,6,77,12,4,11,3,13,36,17,4,89,3,89,35,18,3,91,84,8,4,18,3,58,3,90,3,6,3,89,5,58,85,6,4,17,2,90,77,10,87,6,82,6,86,6,3,92,5,58,3,13,77,13,3,10,36,11,4,90,77,8,4,8,2,91,3,8,4,10,81,10,4,14,36,6,2,90,3,17,4,6,3,91,77,6,77,10,36,13,77,8,84,8,81,8,3,8,5,7,4,13,4,8,4,10,3,90,3,90,84,6,81,8,36,10,36,8,4,6,81,6,36,9,3,89,4,13,4,17,5,7,4,57,4,58,3,17,5,18,1.0
65,56,79,21,28,88,4,2,81,9,84,7,88,6,67,24,32,61,2,92,80,10,83,8,86,7,3,89,3,62,70,5,3,5,68,24,32,60,2,91,86,6,82,8,80,11,90,5,32,12,34,6,3,10,81,9,89,5,67,11,4,11,3,12,32,24,5,88,4,88,32,25,3,90,84,7,3,26,3,61,3,89,3,5,4,88,5,61,85,5,4,24,3,89,68,9,87,5,83,5,86,5,3,92,5,61,3,12,68,11,3,10,33,10,5,89,69,8,5,8,3,91,3,8,4,10,81,8,3,13,33,5,3,89,3,25,5,5,3,90,69,5,68,9,32,11,69,7,84,7,82,7,3,8,6,6,4,11,5,7,4,9,4,90,4,89,84,5,82,7,32,9,33,7,5,5,82,5,33,9,4,89,4,12,4,25,6,6,4,60,3,61,3,25,5,25,2.0
68,64,79,18,20,88,3,3,82,11,85,8,89,5,71,20,23,69,3,91,80,12,84,9,87,7,4,89,4,70,73,4,4,4,70,21,24,68,3,90,87,6,83,9,80,11,91,4,24,14,26,5,3,10,80,9,90,4,71,12,5,11,3,13,24,21,5,89,4,88,24,22,4,91,84,6,5,23,3,69,4,89,4,4,4,89,5,69,85,4,4,21,3,90,72,9,88,4,82,4,87,4,3,91,4,69,3,12,71,12,3,9,25,11,4,89,72,7,4,6,3,90,4,7,3,9,81,9,5,14,25,4,3,89,3,22,4,4,4,90,72,4,71,9,24,12,72,6,84,7,81,7,4,6,6,5,4,12,5,6,4,9,3,89,4,89,84,4,81,6,24,9,25,6,5,4,81,4,25,8,3,89,3,12,3,21,5,5,4,68,4,69,3,21,6,22,2.0
42,54,62,46,34,84,0,2,85,24,90,5,94,2,44,48,36,57,3,92,65,27,87,6,91,3,4,86,3,58,46,0,4,0,44,48,36,56,2,91,91,3,87,6,65,27,95,0,37,28,38,1,3,7,66,6,94,0,45,27,4,8,3,28,36,48,8,85,7,85,36,49,3,90,87,3,3,50,3,57,3,89,3,0,6,88,8,57,88,0,7,48,3,89,45,7,92,0,67,0,91,0,3,91,5,57,4,28,44,27,4,7,37,8,5,85,45,3,5,3,3,90,3,3,5,7,66,7,4,29,37,0,3,86,3,49,5,0,3,87,45,0,45,6,36,27,45,3,87,3,66,3,4,3,9,1,7,27,8,3,8,6,4,89,4,88,87,0,66,3,37,6,37,3,8,0,66,0,37,4,4,89,4,28,4,49,6,1,7,56,4,57,4,49,8,49,2.0
74,49,79,16,35,88,5,2,82,11,85,8,87,7,75,18,40,54,2,92,80,12,84,9,86,8,4,89,4,55,77,6,4,6,75,17,39,53,3,91,86,7,83,9,80,12,89,6,40,14,41,7,3,10,81,9,88,6,75,13,4,11,3,13,39,17,5,89,4,88,40,19,3,91,84,8,4,19,3,54,4,89,3,6,4,89,6,54,85,6,4,17,3,90,76,10,87,6,82,6,86,6,2,91,5,54,3,13,75,12,4,10,40,11,4,89,76,8,4,8,3,90,3,8,4,9,81,9,4,14,40,6,3,89,3,18,4,6,3,90,76,6,76,9,39,12,76,8,84,8,81,8,4,8,6,7,4,12,5,8,5,9,3,89,4,89,84,6,81,8,40,9,40,8,5,6,81,6,40,9,3,89,3,12,3,17,5,7,4,53,5,54,3,18,6,19,1.0
55,62,78,29,24,89,1,2,84,10,88,6,91,2,59,33,27,66,2,92,81,12,85,8,89,3,3,90,3,67,61,2,3,1,59,33,27,65,2,91,89,3,85,7,80,12,93,1,28,14,29,3,2,8,80,7,92,1,60,13,4,9,2,13,27,33,4,90,3,89,28,34,3,92,85,3,4,35,2,66,3,90,3,2,3,90,4,66,87,2,3,33,2,91,60,8,91,1,82,2,90,1,2,92,3,66,2,12,59,12,2,7,28,9,3,90,60,4,2,3,2,91,2,4,2,7,81,8,4,14,28,1,2,90,2,34,3,1,3,91,60,1,59,7,27,12,59,3,85,4,81,4,2,3,5,3,3,12,3,3,3,7,2,90,3,90,86,1,80,3,27,7,27,3,4,1,81,1,28,5,2,90,2,12,2,33,4,3,3,65,3,66,2,33,5,34,1.0
71,55,80,15,33,89,3,2,82,10,84,8,87,6,75,18,35,58,2,92,81,12,83,9,85,7,3,90,3,59,76,6,3,5,74,18,35,58,2,91,85,7,83,8,80,11,90,4,37,13,37,6,3,10,81,9,89,4,75,13,4,11,3,12,35,19,4,90,4,89,37,19,3,92,83,7,4,20,3,58,3,90,3,5,3,90,4,58,85,4,4,19,2,91,75,11,87,4,83,5,86,4,2,92,3,58,3,12,74,11,3,10,37,11,3,90,75,9,3,8,2,91,3,8,3,10,81,10,4,13,36,5,3,90,3,19,3,5,3,91,75,4,74,9,35,12,74,7,83,7,81,8,3,8,5,6,4,12,4,8,4,10,2,90,3,90,84,4,81,7,35,10,35,8,4,5,82,4,37,9,2,90,3,12,3,19,4,6,4,58,3,58,3,19,5,19,1.0
70,59,79,16,27,89,5,2,81,11,84,9,85,6,73,19,30,63,2,92,80,12,82,10,85,7,3,90,4,64,75,7,3,6,73,18,29,62,2,91,84,7,82,10,80,12,88,6,31,14,32,8,2,11,80,10,87,5,73,13,4,12,2,13,30,19,4,89,3,89,31,21,3,91,82,7,4,21,2,63,3,90,3,7,3,89,5,63,84,6,3,19,2,90,73,11,87,6,82,6,86,6,3,92,5,63,2,12,73,12,2,10,31,12,4,90,73,8,3,7,2,91,2,8,3,10,80,10,4,14,31,6,2,90,2,20,4,6,3,91,74,6,73,10,30,12,73,7,82,7,80,7,2,7,5,8,3,12,3,7,3,10,3,90,3,90,83,6,80,7,30,10,30,7,4,6,81,6,31,9,3,89,3,12,3,19,5,8,3,62,4,63,2,19,5,21,1.0
74,49,80,16,37,89,4,2,81,10,85,9,88,7,75,17,40,53,2,92,81,11,83,10,86,8,3,90,4,54,77,5,3,5,76,17,40,52,2,91,86,8,83,9,80,12,90,5,40,13,42,6,3,11,82,11,89,5,75,11,4,12,3,12,41,17,4,89,3,89,40,19,3,91,83,8,4,19,2,53,3,90,3,5,3,89,5,53,84,5,4,17,2,90,76,10,87,5,83,5,86,5,3,92,5,53,3,12,76,12,3,11,41,12,4,90,76,8,4,8,2,91,3,8,4,11,82,10,4,13,41,5,2,90,3,18,4,5,3,91,76,5,76,11,41,12,76,8,83,8,82,8,3,8,5,6,4,12,4,8,4,11,3,90,3,90,83,5,82,8,41,11,41,8,4,5,82,5,41,9,3,89,4,12,4,17,5,6,3,52,4,53,3,17,5,19,1.0
