@relation 'Sax dominant'

@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atLcc numeric
@attribute o1atMaa numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute destClass {2,1}

@data
60,73,28,15,19,77,64,32,63,30,17,76,18,31,19,32,2
83,71,9,17,21,75,85,11,84,10,20,74,20,10,21,11,2
71,84,17,4,7,88,75,20,74,20,7,87,7,20,8,21,1
68,72,24,18,21,75,70,26,69,25,20,74,20,25,21,26,1
62,61,30,29,32,64,64,32,63,31,31,63,31,31,32,32,2
56,64,36,28,30,66,58,38,57,37,29,65,29,37,30,38,2
84,79,8,13,15,81,86,10,85,9,14,80,14,9,15,10,2
58,57,32,35,37,59,61,35,60,34,36,58,36,34,37,35,1
83,77,9,11,15,81,85,11,84,10,14,80,14,10,15,11,2
75,77,17,9,14,82,77,19,76,18,13,81,13,18,14,19,2
70,67,22,25,27,69,72,24,71,23,26,68,26,23,27,24,1
72,84,20,6,9,87,74,22,73,21,8,86,8,21,9,22,1
68,61,20,29,31,64,72,23,71,23,31,63,31,23,32,24,1
69,61,23,29,32,64,71,25,70,24,31,63,31,24,32,25,1
61,60,27,32,34,62,65,31,64,30,33,61,33,30,34,31,1
81,82,9,4,9,87,84,12,83,10,7,86,8,11,9,12,1
70,80,20,8,12,84,73,23,72,22,11,83,11,22,12,23,1
68,60,16,32,34,62,74,22,73,21,33,61,33,21,34,22,1
62,73,26,13,18,78,66,30,65,28,16,77,17,29,18,30,2
73,90,19,2,4,92,75,21,74,20,3,91,3,20,4,21,2
62,58,30,34,36,60,64,32,63,31,35,59,35,31,36,32,1
58,65,34,27,29,67,60,36,59,35,28,66,28,35,29,36,2
58,55,28,29,35,61,63,33,62,32,34,60,34,32,35,33,2
69,60,23,32,34,62,71,25,70,24,33,61,33,24,34,25,1
53,60,37,32,33,62,56,39,55,39,33,61,33,39,34,40,2
59,58,27,32,34,61,64,31,63,31,34,60,34,31,35,32,1
67,68,23,22,25,71,70,26,69,25,24,70,24,25,25,26,2
60,60,32,32,34,62,62,34,61,33,33,61,33,33,34,34,2
67,67,25,23,26,70,69,27,68,25,24,69,25,26,26,27,2
72,76,18,14,17,79,75,21,74,19,15,78,16,20,17,21,1
67,58,25,34,36,60,69,27,68,26,35,59,35,26,36,27,1
67,67,25,25,27,69,69,27,68,26,26,68,26,26,27,27,1
64,57,28,33,36,60,66,30,65,29,35,59,35,29,36,30,1
64,60,28,32,34,62,66,30,65,29,33,61,33,29,34,30,1
70,69,22,19,23,73,72,24,71,23,22,72,22,23,23,24,2
80,90,12,2,4,92,82,14,81,13,3,91,3,13,4,14,1
90,84,2,4,8,88,92,4,91,3,7,87,7,3,8,4,2
57,47,29,37,42,53,62,33,61,30,39,52,42,33,43,34,1
83,68,9,18,23,73,85,11,84,10,22,72,22,10,23,11,1
74,79,12,9,13,83,79,17,78,16,12,82,12,16,13,17,1
93,81,1,3,9,87,94,2,93,1,8,86,8,1,9,2,2
64,66,28,22,25,70,66,29,65,29,25,69,25,29,26,30,2
69,61,23,31,33,63,71,25,70,24,32,62,32,24,33,25,1
66,61,26,29,32,64,68,28,67,27,31,63,31,27,32,28,1
58,53,32,37,40,56,61,35,60,34,39,55,39,34,40,35,2
58,71,34,21,23,73,60,36,59,35,22,72,22,35,23,36,2
70,73,20,15,18,77,73,22,72,21,17,76,18,22,19,23,1
69,61,23,31,33,63,71,25,70,24,32,62,32,24,33,25,1
59,66,33,24,27,69,61,35,60,34,26,68,26,34,27,35,2
54,60,36,26,31,65,57,39,56,38,30,64,30,38,31,39,2
60,63,28,27,30,66,64,32,63,31,29,65,29,31,30,32,2
68,69,24,23,25,71,70,26,69,25,24,70,24,25,25,26,1
60,65,26,23,26,69,65,30,64,30,26,68,26,30,27,31,1
71,72,17,16,20,76,75,21,74,20,19,75,19,20,20,21,2
66,61,26,31,33,63,68,28,67,27,32,62,32,27,33,28,1
71,73,21,17,20,76,73,23,72,22,19,75,19,22,20,23,1
74,91,14,1,3,93,78,18,77,17,2,92,2,17,3,18,1
69,61,23,29,32,64,71,25,70,24,31,63,31,24,32,25,1
57,56,35,36,38,58,59,37,58,36,37,57,37,36,38,37,1
85,87,5,3,6,90,88,8,87,7,5,89,5,7,6,8,1
56,43,32,41,46,49,60,35,59,34,45,48,46,35,47,36,1
74,83,18,7,10,86,76,20,75,19,9,85,9,19,10,20,2
70,77,20,11,15,81,73,23,72,22,14,80,14,22,15,23,2
66,61,22,29,32,64,70,26,69,25,31,63,31,25,32,26,2
78,87,12,3,6,90,81,15,80,14,5,89,5,14,6,15,1
64,58,20,32,34,61,70,25,69,25,34,60,34,25,35,26,1
62,73,28,19,21,75,65,31,64,30,20,74,20,30,21,31,2
84,90,6,2,4,92,87,9,86,8,3,91,3,8,4,9,2
71,55,21,37,39,57,73,23,72,22,38,56,38,22,39,23,2
62,84,30,4,8,88,64,32,63,31,7,87,7,31,8,32,2
55,46,29,44,46,49,61,34,60,34,46,48,46,34,47,35,1
65,57,27,35,37,59,67,29,66,28,36,58,36,28,37,29,1
68,60,24,30,33,63,70,26,69,25,32,62,32,25,33,26,1
62,55,30,37,39,57,64,32,63,31,38,56,38,31,39,32,1
66,67,26,25,27,69,68,28,67,27,26,68,26,27,27,28,1
69,63,21,25,29,67,72,24,71,23,28,66,28,23,29,24,1
66,58,24,34,36,60,69,27,68,26,35,59,35,26,36,27,1
64,77,26,15,17,79,67,29,66,28,16,78,16,28,17,29,1
63,67,25,25,27,69,67,29,66,28,26,68,26,28,27,29,1
59,66,33,26,28,68,61,35,60,34,27,67,27,34,28,35,2
68,61,24,29,32,64,70,26,69,25,31,63,31,25,32,26,1
70,76,22,16,18,78,72,24,71,23,17,77,17,23,18,24,2
75,65,17,19,25,71,77,19,76,18,24,70,24,18,25,19,1
67,60,25,32,34,62,69,27,68,26,33,61,33,26,34,27,1
59,93,17,1,2,94,69,27,68,26,1,93,1,26,2,27,2
63,63,27,27,30,66,66,30,65,29,29,65,29,29,30,30,1
54,69,34,23,25,71,58,38,57,37,24,70,24,37,25,38,2
53,62,39,26,30,66,55,41,54,40,29,65,29,40,30,41,2
60,58,32,34,36,60,62,34,61,33,35,59,35,33,36,34,1
67,65,25,27,29,67,69,27,68,26,28,66,28,26,29,27,1
56,68,36,24,26,70,58,38,57,37,25,69,25,37,26,38,2
88,87,4,3,6,90,90,6,89,5,5,89,5,5,6,6,1
66,60,26,32,34,62,68,28,67,27,33,61,33,27,34,28,1
66,71,24,21,23,73,69,27,68,26,22,72,22,26,23,27,2
68,57,24,35,37,59,70,26,69,25,36,58,36,25,37,26,1
64,62,26,30,32,64,67,29,66,28,31,63,31,28,32,29,1
68,69,24,23,25,71,70,26,69,25,24,70,24,25,25,26,1
73,59,19,31,33,62,75,20,74,20,33,61,33,20,34,21,1
94,81,0,9,12,84,95,1,94,0,11,83,11,0,12,1,2
65,70,27,20,23,73,67,29,66,28,22,72,22,28,23,29,2
72,68,20,24,26,70,74,22,73,21,25,69,25,21,26,22,1
64,67,24,21,25,71,68,28,67,27,24,70,24,27,25,28,2
85,90,7,2,4,92,87,9,86,8,3,91,3,8,4,9,1
73,87,19,3,6,90,75,21,74,19,4,89,5,20,6,21,1
79,89,11,3,4,91,82,13,81,13,4,90,4,13,5,14,1
61,62,31,28,31,65,63,33,62,32,30,64,30,32,31,33,2
71,78,19,10,12,82,74,20,73,21,13,81,13,21,14,22,2
71,83,19,7,10,86,74,22,73,21,9,85,9,21,10,22,1
85,75,5,13,17,79,88,8,87,7,16,78,16,7,17,8,2
70,69,22,23,25,71,72,24,71,23,24,70,24,23,25,24,1
61,72,29,20,22,74,64,32,63,31,21,73,21,31,22,32,2
70,62,20,26,30,66,73,23,72,22,29,65,29,22,30,23,2
77,71,15,17,21,75,79,17,78,16,20,74,20,16,21,17,1
71,93,17,1,2,94,75,21,74,20,1,93,1,20,2,21,2
71,80,21,12,14,82,73,23,72,22,13,81,13,22,14,23,1
75,78,17,14,16,80,77,19,76,18,15,79,15,18,16,19,2
73,88,19,2,4,91,75,20,74,20,4,90,4,20,5,21,1
69,67,19,23,26,70,73,23,72,22,25,69,25,22,26,23,2
58,57,32,31,35,61,61,35,60,34,34,60,34,34,35,35,1
62,61,30,31,33,63,64,32,63,31,32,62,32,31,33,32,1
61,62,29,26,29,66,64,31,63,30,28,65,29,31,30,32,2
57,67,31,23,26,70,61,35,60,34,25,69,25,34,26,35,2
58,72,34,20,22,74,60,36,59,35,21,73,21,35,22,36,2
66,70,24,20,23,73,69,27,68,26,22,72,22,26,23,27,2
61,64,31,28,30,66,63,33,62,32,29,65,29,32,30,33,2
74,63,18,29,31,65,76,20,75,19,30,64,30,19,31,20,1
68,62,24,28,31,65,70,26,69,25,30,64,30,25,31,26,1
69,61,21,27,31,65,72,24,71,23,30,64,30,23,31,24,1
67,69,25,19,23,73,69,27,68,26,22,72,22,26,23,27,1
67,59,25,31,34,62,69,27,68,26,33,61,33,26,34,27,1
70,83,16,3,6,88,75,19,74,17,4,87,7,20,8,21,1
67,72,21,14,18,77,71,24,70,23,17,76,18,24,19,25,1
63,62,29,30,32,64,65,31,64,30,31,63,31,30,32,31,1
67,60,25,30,33,63,69,27,68,26,32,62,32,26,33,27,1
71,60,21,32,34,62,73,23,72,22,33,61,33,22,34,23,1
66,70,24,18,21,74,69,26,68,25,20,73,21,26,22,27,1
75,83,17,7,10,86,77,19,76,18,9,85,9,18,10,19,2
62,61,30,31,33,63,64,32,63,31,32,62,32,31,33,32,1
63,62,29,30,32,64,65,31,64,30,31,63,31,30,32,31,1
68,61,24,31,33,63,70,26,69,25,32,62,32,25,33,26,1
74,66,18,26,28,68,76,20,75,19,27,67,27,19,28,20,1
60,58,32,34,36,60,62,34,61,33,35,59,35,33,36,34,1
69,76,21,16,18,78,72,24,71,23,17,77,17,23,18,24,2
88,85,4,3,7,89,90,6,89,5,6,88,6,5,7,6,2
67,57,25,35,37,59,69,27,68,26,36,58,36,26,37,27,1
60,49,10,37,42,54,73,23,72,21,40,53,41,22,42,23,1
75,77,17,13,15,80,77,18,76,18,15,79,15,18,16,19,2
61,65,29,21,25,70,64,31,63,30,24,69,25,31,26,32,2
63,71,25,19,22,74,67,29,66,28,21,73,21,28,22,29,2
65,61,27,31,33,63,67,29,66,28,32,62,32,28,33,29,1
65,61,23,23,29,67,69,27,68,25,27,66,28,26,29,27,1
67,62,25,30,32,64,69,27,68,26,31,63,31,26,32,27,1
65,78,27,8,13,83,67,29,66,28,12,82,12,28,13,29,2
68,83,20,3,7,88,72,23,71,22,6,87,7,23,8,24,1
78,83,14,7,10,86,80,16,79,15,9,85,9,15,10,16,2
67,72,25,16,20,76,69,27,68,26,19,75,19,26,20,27,2
66,74,24,18,20,76,69,27,68,26,19,75,19,26,20,27,2
60,69,32,21,24,72,62,34,61,33,23,71,23,33,24,34,2
69,60,23,30,33,63,71,25,70,24,32,62,32,24,33,25,1
62,67,30,25,27,69,64,32,63,31,26,68,26,31,27,32,2
64,57,28,33,36,60,66,30,65,29,35,59,35,29,36,30,1
64,57,28,35,37,59,66,30,65,29,36,58,36,29,37,30,1
55,68,33,20,24,72,59,37,58,36,23,71,23,36,24,37,2
65,65,23,23,27,69,69,27,68,26,26,68,26,26,27,27,1
53,61,39,25,30,66,55,41,54,40,29,65,29,40,30,41,2
62,63,28,29,31,65,65,31,64,30,30,64,30,30,31,31,1
75,93,11,1,2,94,80,16,79,15,1,93,1,15,2,16,2
68,73,24,19,21,75,70,26,69,25,20,74,20,25,21,26,2
78,87,10,3,6,90,82,14,81,13,5,89,5,13,6,14,2
61,62,31,30,32,64,63,33,62,32,31,63,31,32,32,33,1
74,85,14,3,6,89,78,17,77,16,5,88,6,17,7,18,1
62,61,30,29,32,64,64,32,63,31,31,63,31,31,32,32,2
87,90,5,2,3,92,89,6,88,6,3,91,3,6,4,7,2
64,59,26,31,33,62,67,28,66,28,33,61,33,28,34,29,1
58,62,34,30,32,64,60,36,59,35,31,63,31,35,32,36,2
59,58,33,34,36,60,61,35,60,34,35,59,35,34,36,35,1
57,61,29,29,32,64,62,34,61,33,31,63,31,33,32,34,2
64,61,28,31,33,63,66,30,65,29,32,62,32,29,33,30,1
66,65,26,27,29,67,68,28,67,27,28,66,28,27,29,28,1
62,57,30,33,36,60,64,32,63,31,35,59,35,31,36,32,1
61,85,29,3,7,89,64,32,63,30,5,88,6,31,7,32,1
65,84,25,6,9,87,68,28,67,27,8,86,8,27,9,28,2
64,70,26,22,24,72,67,29,66,28,23,71,23,28,24,29,1
65,67,25,25,27,69,68,28,67,27,26,68,26,27,27,28,2
61,61,31,31,33,63,63,33,62,32,32,62,32,32,33,33,2
80,87,12,3,6,90,82,14,81,13,5,89,5,13,6,14,1
70,59,18,25,30,65,74,21,73,21,30,64,30,21,31,22,1
73,67,17,23,26,70,76,20,75,19,25,69,25,19,26,20,1
72,86,16,2,5,90,76,19,75,19,5,89,5,19,6,20,1
68,60,24,32,34,62,70,26,69,25,33,61,33,25,34,26,1
41,57,47,31,35,61,45,51,44,49,33,60,34,50,35,51,2
66,62,26,30,32,64,68,28,67,27,31,63,31,27,32,28,2
64,69,24,21,23,72,68,27,67,27,23,71,23,27,24,28,2
70,61,22,25,30,66,72,24,71,23,29,65,29,23,30,24,2
75,73,17,11,17,79,77,19,76,18,16,78,16,18,17,19,2
71,63,17,29,31,65,75,21,74,20,30,64,30,20,31,21,2
54,60,38,28,32,64,56,40,55,39,31,63,31,39,32,40,2
82,89,10,3,5,91,84,12,83,11,4,90,4,11,5,12,1
65,67,27,25,27,69,67,29,66,28,26,68,26,28,27,29,1
73,68,17,22,24,71,76,19,75,19,24,70,24,19,25,20,2
57,65,35,27,29,67,59,37,58,36,28,66,28,36,29,37,2
67,60,25,32,34,62,69,27,68,26,33,61,33,26,34,27,1
71,56,19,34,37,59,74,22,73,21,36,58,36,21,37,22,2
59,63,33,29,31,65,61,35,60,34,30,64,30,34,31,35,2
66,66,16,26,28,68,73,23,72,22,27,67,27,22,28,23,2
78,69,10,19,23,73,82,14,81,13,22,72,22,13,23,14,2
68,74,20,14,18,78,72,24,71,23,17,77,17,23,18,24,2
61,71,29,15,19,76,64,31,63,31,19,75,19,31,20,32,2
82,79,10,7,12,84,84,12,83,11,11,83,11,11,12,12,2
93,90,1,2,4,92,94,2,93,1,3,91,3,1,4,2,1
71,65,19,25,28,68,74,22,73,21,27,67,27,21,28,22,1
67,67,25,21,25,71,69,27,68,26,24,70,24,26,25,27,2
68,72,20,18,21,75,72,24,71,23,20,74,20,23,21,24,1
69,87,21,3,5,90,72,23,71,22,4,89,5,23,6,24,1
72,86,20,4,7,89,74,22,73,21,6,88,6,21,7,22,1
75,75,15,15,18,78,78,18,77,17,17,77,17,17,18,18,2
68,62,22,28,31,65,71,25,70,24,30,64,30,24,31,25,2
71,82,19,8,11,85,74,22,73,21,10,84,10,21,11,22,2
74,81,14,7,11,85,78,18,77,17,10,84,10,17,11,18,2
66,61,26,31,33,63,68,28,67,27,32,62,32,27,33,28,1
54,61,34,31,33,63,58,38,57,37,32,62,32,37,33,38,2
66,66,26,26,28,68,68,28,67,27,27,67,27,27,28,28,2
70,67,22,25,27,69,72,24,71,23,26,68,26,23,27,24,1
52,54,38,36,39,57,55,41,54,40,38,56,38,40,39,41,2
62,55,30,37,39,57,64,32,63,31,38,56,38,31,39,32,1
78,77,14,11,15,81,80,16,79,15,14,80,14,15,15,16,2
56,57,34,33,36,60,59,37,58,36,35,59,35,36,36,37,1
60,57,32,35,37,59,62,34,61,33,36,58,36,33,37,34,1
71,61,21,31,33,63,73,23,72,22,32,62,32,22,33,23,1
65,59,27,33,35,61,67,29,66,28,34,60,34,28,35,29,1
62,59,30,33,35,61,64,32,63,31,34,60,34,31,35,32,1
76,71,16,17,21,75,78,18,77,17,20,74,20,17,21,18,1
69,60,23,30,33,63,71,25,70,24,32,62,32,24,33,25,1
57,61,35,31,33,63,59,37,58,36,32,62,32,36,33,37,2
63,63,23,27,30,66,68,28,67,26,28,65,29,27,30,28,2
66,59,26,31,33,62,68,27,67,27,33,61,33,27,34,28,1
61,59,27,23,30,66,65,31,64,29,28,65,29,30,30,31,2
67,60,23,30,32,63,70,25,69,24,31,62,32,25,33,26,1
77,63,13,27,29,66,80,15,79,15,29,65,29,15,30,16,1
62,66,30,24,27,69,64,32,63,31,26,68,26,31,27,32,2
61,60,31,32,34,62,63,33,62,32,33,61,33,32,34,33,1
59,73,33,19,21,75,61,35,60,34,20,74,20,34,21,35,2
56,67,36,25,27,69,58,38,57,37,26,68,26,37,27,38,2
75,71,17,21,23,73,77,19,76,18,22,72,22,18,23,19,1
64,71,26,21,22,73,67,28,66,28,22,72,22,28,23,29,2
72,58,18,28,33,63,75,21,74,20,32,62,32,20,33,21,2
80,65,10,23,26,69,83,12,82,12,26,68,26,12,27,13,1
68,67,24,25,27,69,70,26,69,25,26,68,26,25,27,26,1
65,59,27,33,35,61,67,29,66,28,34,60,34,28,35,29,1
66,60,24,30,33,63,69,27,68,26,32,62,32,26,33,27,2
67,59,25,33,35,61,69,27,68,26,34,60,34,26,35,27,1
70,60,22,32,34,62,72,24,71,23,33,61,33,23,34,24,1
63,71,25,21,23,73,67,29,66,28,22,72,22,28,23,29,2
68,75,24,15,18,78,70,26,69,25,17,77,17,25,18,26,1
75,73,17,17,19,76,77,18,76,18,19,75,19,18,20,19,2
93,87,1,3,6,90,94,2,93,1,5,89,5,1,6,2,2
66,58,26,34,36,60,68,28,67,27,35,59,35,27,36,28,1
66,64,22,28,30,66,70,26,69,25,29,65,29,25,30,26,1
57,58,35,34,36,60,59,37,58,36,35,59,35,36,36,37,2
59,63,29,29,30,65,63,32,62,32,30,64,30,32,31,33,1
68,66,24,24,27,69,70,26,69,25,26,68,26,25,27,26,1
64,60,22,32,34,62,69,27,68,26,33,61,33,26,34,27,1
57,68,35,20,24,72,59,37,58,36,23,71,23,36,24,37,2
63,58,29,32,34,61,65,30,64,30,34,60,34,30,35,31,1
80,71,10,19,21,74,83,12,82,11,20,73,21,12,22,13,2
61,61,31,31,33,63,63,33,62,32,32,62,32,32,33,33,2
56,66,36,26,28,68,58,38,57,37,27,67,27,37,28,38,2
62,63,24,25,28,67,67,28,66,28,28,66,28,28,29,29,2
69,61,23,31,33,63,71,25,70,24,32,62,32,24,33,25,1
67,56,25,34,37,59,69,27,68,26,36,58,36,26,37,27,1
90,85,2,3,7,89,92,4,91,3,6,88,6,3,7,4,2
55,59,35,31,34,62,58,38,57,37,33,61,33,37,34,38,2
63,59,29,33,35,61,65,31,64,30,34,60,34,30,35,31,2
54,65,38,25,28,68,56,40,55,39,27,67,27,39,28,40,2
52,70,38,22,24,72,55,41,54,40,23,71,23,40,24,41,2
68,79,24,9,13,83,70,26,69,25,12,82,12,25,13,26,1
60,57,32,35,37,59,62,34,61,33,36,58,36,33,37,34,1
64,65,28,27,29,67,66,30,65,29,28,66,28,29,29,30,2
75,64,15,28,29,66,78,17,77,17,29,65,29,17,30,18,1
73,75,17,15,18,78,76,20,75,18,16,77,17,19,18,20,1
76,88,16,2,5,91,78,18,77,17,4,90,4,17,5,18,1
69,68,23,24,26,70,71,25,70,24,25,69,25,24,26,25,1
56,56,36,34,37,59,58,38,57,37,36,58,36,37,37,38,2
57,65,35,25,28,68,59,37,58,36,27,67,27,36,28,37,2
62,60,30,32,34,62,64,32,63,31,33,61,33,31,34,32,1
61,55,29,37,39,57,64,32,63,31,38,56,38,31,39,32,2
58,59,26,31,34,62,64,32,63,31,33,61,33,31,34,32,2
56,63,36,27,30,66,58,38,57,37,29,65,29,37,30,38,2
70,56,20,34,37,59,73,23,72,22,36,58,36,22,37,23,1
66,66,24,20,25,71,69,27,68,25,23,70,24,26,25,27,1
63,54,29,38,40,56,65,31,64,30,39,55,39,30,40,31,1
79,86,13,4,6,89,81,14,80,14,6,88,6,14,7,15,1
72,69,20,23,25,71,74,22,73,21,24,70,24,21,25,22,1
89,82,1,6,10,86,92,4,91,3,9,85,9,3,10,4,2
62,71,28,21,23,73,65,31,64,30,22,72,22,30,23,31,2
59,61,31,31,33,63,62,34,61,33,32,62,32,33,33,34,1
85,77,5,13,16,80,88,8,87,7,15,79,15,7,16,8,2
65,55,27,37,39,57,67,29,66,28,38,56,38,28,39,29,1
46,47,36,33,38,55,53,40,52,40,38,54,40,42,41,43,1
94,78,0,10,14,82,95,1,94,0,13,81,13,0,14,1,2
80,90,10,2,4,92,83,13,82,12,3,91,3,12,4,13,1
66,68,26,24,26,70,68,28,67,27,25,69,25,27,26,28,1
71,69,19,21,23,72,74,21,73,21,23,71,23,21,24,22,2
93,78,1,8,13,83,94,2,93,1,12,82,12,1,13,2,2
58,70,34,20,23,73,60,36,59,35,22,72,22,35,23,36,2
68,70,24,22,24,72,70,26,69,25,23,71,23,25,24,26,1
55,68,37,20,24,72,57,39,56,38,23,71,23,38,24,39,2
59,66,33,26,28,68,61,35,60,34,27,67,27,34,28,35,2
67,63,21,27,29,66,71,24,70,24,29,65,29,24,30,25,1
69,57,23,33,36,60,71,25,70,24,35,59,35,24,36,25,2
62,59,28,31,34,62,65,31,64,29,32,61,33,30,34,31,1
83,81,7,5,10,86,86,10,85,9,9,85,9,9,10,10,2
89,83,3,3,8,88,91,5,90,4,7,87,7,4,8,5,2
61,58,31,34,36,60,63,33,62,32,35,59,35,32,36,33,1
72,66,20,26,28,68,74,22,73,21,27,67,27,21,28,22,1
65,57,27,33,35,60,67,28,66,28,35,59,35,28,36,29,1
50,50,28,20,31,63,59,35,58,33,29,62,32,36,33,37,2
62,65,28,23,26,69,65,30,64,30,26,68,26,30,27,31,2
76,77,14,7,12,83,79,16,78,16,12,82,12,16,13,17,2
75,64,11,28,30,66,80,16,79,15,29,65,29,15,30,16,1
93,90,1,2,4,92,94,2,93,1,3,91,3,1,4,2,2
66,67,26,21,25,71,68,28,67,27,24,70,24,27,25,28,1
72,66,18,22,25,70,75,20,74,20,25,69,25,20,26,21,2
