@relation 'Sax dominant'

@attribute o1atMaaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMaee numeric
@attribute o1atLaee numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMaae numeric
@attribute o1atLaae numeric
@attribute o1atLeee numeric
@attribute o1atMedd numeric
@attribute o1atLedd numeric
@attribute o1atMeed numeric
@attribute o1atLeed numeric
@attribute o1atMddd numeric
@attribute o1atLddd numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMadd numeric
@attribute o1atLadd numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMaad numeric
@attribute o1atLaad numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMdcb numeric
@attribute o1atLdcb numeric
@attribute o1atMedc numeric
@attribute o1atLedc numeric
@attribute o1atMdba numeric
@attribute o1atLdba numeric
@attribute o1atMddb numeric
@attribute o1atLddb numeric
@attribute o1atMbdd numeric
@attribute o1atLbdd numeric
@attribute o1atMbbd numeric
@attribute o1atLbbd numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMdca numeric
@attribute o1atLdca numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMabd numeric
@attribute o1atLabd numeric
@attribute o1atMdbb numeric
@attribute o1atLdbb numeric
@attribute o2atMcdd numeric
@attribute o2atLcdd numeric
@attribute o2atMddc numeric
@attribute o2atLddc numeric
@attribute o2atMccc numeric
@attribute o2atLccc numeric
@attribute o2atMcbb numeric
@attribute o2atLcbb numeric
@attribute o2atMbbc numeric
@attribute o2atLbbc numeric
@attribute o2atMccb numeric
@attribute o2atLccb numeric
@attribute o2atMbbb numeric
@attribute o2atLbbb numeric
@attribute o2atMbcc numeric
@attribute o2atLbcc numeric
@attribute o2atMdde numeric
@attribute o2atLdde numeric
@attribute o2atLeee numeric
@attribute o2atMedd numeric
@attribute o2atLedd numeric
@attribute o2atMddd numeric
@attribute o2atLddd numeric
@attribute o2atMdee numeric
@attribute o2atLdee numeric
@attribute o2atMeed numeric
@attribute o2atLeed numeric
@attribute o2atMdcc numeric
@attribute o2atLdcc numeric
@attribute o2atMbdd numeric
@attribute o2atLbdd numeric
@attribute o2atMaaa numeric
@attribute o2atMabb numeric
@attribute o2atLabb numeric
@attribute o2atMaab numeric
@attribute o2atLaab numeric
@attribute o2atMccd numeric
@attribute o2atLccd numeric
@attribute o2atMbba numeric
@attribute o2atLbba numeric
@attribute o2atMacc numeric
@attribute o2atLacc numeric
@attribute o2atMaac numeric
@attribute o2atLaac numeric
@attribute o2atMbaa numeric
@attribute o2atLbaa numeric
@attribute o2atMcde numeric
@attribute o2atLcde numeric
@attribute o2atMbcd numeric
@attribute o2atLbcd numeric
@attribute o2atMabc numeric
@attribute o2atLabc numeric
@attribute o2atMcee numeric
@attribute o2atLcee numeric
@attribute o2atMcce numeric
@attribute o2atLcce numeric
@attribute o2atMedc numeric
@attribute o2atLedc numeric
@attribute o2atMdcb numeric
@attribute o2atLdcb numeric
@attribute o2atMbbd numeric
@attribute o2atLbbd numeric
@attribute o2atMadd numeric
@attribute o2atLadd numeric
@attribute o2atMaad numeric
@attribute o2atLaad numeric
@attribute o2atMacd numeric
@attribute o2atLacd numeric
@attribute o2atMcba numeric
@attribute o2atLcba numeric
@attribute o2atMbce numeric
@attribute o2atLbce numeric
@attribute o2atMbee numeric
@attribute o2atLbee numeric
@attribute o2atMbbe numeric
@attribute o2atLbbe numeric
@attribute o2atMbde numeric
@attribute o2atLbde numeric
@attribute o2atMddb numeric
@attribute o2atLddb numeric
@attribute o2atMdbb numeric
@attribute o2atLdbb numeric
@attribute o2atMeec numeric
@attribute o2atLeec numeric
@attribute o2atMecc numeric
@attribute o2atLecc numeric
@attribute o3atMccc numeric
@attribute o3atLccc numeric
@attribute o3atMcdd numeric
@attribute o3atLcdd numeric
@attribute o3atMddc numeric
@attribute o3atLddc numeric
@attribute o3atMcee numeric
@attribute o3atLcee numeric
@attribute o3atMdde numeric
@attribute o3atLdde numeric
@attribute o3atLeee numeric
@attribute o3atMedd numeric
@attribute o3atLedd numeric
@attribute o3atMcce numeric
@attribute o3atLcce numeric
@attribute o3atMccd numeric
@attribute o3atLccd numeric
@attribute o3atMddd numeric
@attribute o3atLddd numeric
@attribute o3atMdee numeric
@attribute o3atLdee numeric
@attribute o3atMeed numeric
@attribute o3atLeed numeric
@attribute o3atMdcc numeric
@attribute o3atLdcc numeric
@attribute o3atMcbb numeric
@attribute o3atLcbb numeric
@attribute o3atMccb numeric
@attribute o3atLccb numeric
@attribute o3atMbbb numeric
@attribute o3atLbbb numeric
@attribute o3atMbee numeric
@attribute o3atLbee numeric
@attribute o3atMbbe numeric
@attribute o3atLbbe numeric
@attribute o3atMcde numeric
@attribute o3atLcde numeric
@attribute o3atMbba numeric
@attribute o3atLbba numeric
@attribute o3atMaaa numeric
@attribute o3atMabb numeric
@attribute o3atLabb numeric
@attribute o3atMbbc numeric
@attribute o3atLbbc numeric
@attribute o3atMbcd numeric
@attribute o3atLbcd numeric
@attribute o3atMbaa numeric
@attribute o3atLbaa numeric
@attribute o3atMaab numeric
@attribute o3atLaab numeric
@attribute o3atMbdd numeric
@attribute o3atLbdd numeric
@attribute o3atMbbd numeric
@attribute o3atLbbd numeric
@attribute o3atMbcc numeric
@attribute o3atLbcc numeric
@attribute o3atMedc numeric
@attribute o3atLedc numeric
@attribute o3atMbde numeric
@attribute o3atLbde numeric
@attribute o3atMdcb numeric
@attribute o3atLdcb numeric
@attribute o3atMbce numeric
@attribute o3atLbce numeric
@attribute o3atMcaa numeric
@attribute o3atLcaa numeric
@attribute o3atMdca numeric
@attribute o3atLdca numeric
@attribute o3atMabc numeric
@attribute o3atLabc numeric
@attribute destClass {1.0,2.0}

@data
22,26,4,24,3,24,6,30,2,23,4,26,0,30,0,26,0,30,0,30,0,30,0,24,0,24,0,0,30,0,30,0,30,0,30,0,30,0,26,0,30,0,24,0,26,0,24,0,30,0,30,0,24,0,30,0,30,0,30,0,30,0,23,0,24,0,30,0,24,0,26,0,30,0,2,29,0,28,0,29,0,29,0,30,0,29,0,30,0,30,25,4,2,25,4,24,28,26,3,26,3,0,28,1,29,0,0,30,0,30,1,29,0,30,0,30,0,30,0,30,2,4,1,30,0,30,2,3,1,4,0,4,0,28,0,30,0,29,0,30,0,30,0,29,1,4,1,3,0,4,1,4,0,28,0,28,0,3,0,4,5,25,5,21,7,22,7,4,23,5,3,22,5,6,5,5,21,21,21,25,4,23,4,6,23,2,27,3,26,1,30,3,5,2,7,6,5,0,30,0,0,30,1,27,1,22,0,30,0,30,1,22,1,23,1,26,7,5,2,6,3,23,2,6,0,27,0,23,0,27,1.0
27,28,2,27,1,28,3,28,1,27,1,29,2,30,1,29,0,30,0,30,0,28,0,27,0,28,0,0,30,0,30,0,30,0,30,0,29,1,29,0,28,0,28,0,29,1,28,2,28,0,30,0,27,0,28,0,30,0,29,0,30,0,27,0,27,0,30,0,27,0,29,0,28,0,1,30,0,29,0,30,0,30,0,30,0,30,0,30,0,30,30,0,0,30,0,30,29,30,0,30,0,0,29,0,30,0,0,30,0,30,0,30,0,30,0,30,0,30,0,30,1,0,0,30,0,30,1,0,0,0,0,0,0,29,0,30,0,30,0,30,0,30,0,30,0,0,0,0,0,0,0,0,0,29,0,29,0,0,0,0,9,21,9,17,11,18,11,3,24,4,2,23,4,10,4,9,17,22,17,26,3,24,3,10,19,6,23,7,22,5,30,7,4,6,6,10,4,0,30,0,0,30,5,23,5,18,0,30,0,30,5,18,5,19,5,22,11,4,6,5,7,19,6,5,0,23,0,19,0,23,1.0
22,25,4,24,3,24,6,28,2,23,4,26,2,30,1,26,0,30,0,30,0,28,0,24,0,24,0,0,30,0,30,0,30,0,30,0,29,1,26,0,28,0,24,0,26,1,24,2,28,0,30,0,24,0,28,0,30,0,29,0,30,0,23,0,24,0,30,0,24,0,26,0,28,0,6,24,4,23,2,30,0,30,0,30,0,30,0,30,0,30,22,7,5,22,7,21,22,23,6,23,6,3,24,0,24,0,0,30,0,30,4,26,0,30,0,30,0,30,0,30,6,7,0,26,0,30,6,6,4,7,4,7,0,24,0,26,0,24,0,26,0,26,0,30,0,7,0,6,0,7,0,7,0,23,0,24,4,6,3,7,5,25,5,21,7,22,7,9,18,10,8,17,10,6,10,5,21,16,21,20,9,18,9,6,23,2,27,3,26,1,30,3,10,2,12,6,10,0,30,0,0,30,1,27,1,22,0,30,0,30,1,22,1,23,1,26,7,10,2,11,3,23,2,11,0,27,0,23,0,27,1.0
18,22,8,20,7,20,10,30,6,19,8,22,0,30,0,22,0,30,0,30,0,30,0,20,0,20,0,0,30,0,30,0,30,0,30,0,30,0,22,0,30,0,20,0,22,0,20,0,30,0,30,0,20,0,30,0,30,0,30,0,30,0,19,0,20,0,30,0,20,0,22,0,30,0,19,10,19,10,17,21,6,23,6,23,7,22,5,30,7,22,30,0,0,30,0,30,9,30,0,30,0,18,11,7,10,0,0,30,0,30,18,11,0,30,0,22,0,23,0,30,19,0,7,11,0,23,19,0,18,0,19,0,7,11,6,11,0,10,0,11,0,11,0,23,7,0,7,0,6,0,7,0,7,10,6,11,19,0,18,0,0,28,2,28,0,28,2,17,11,19,15,10,17,1,19,1,28,9,28,13,17,11,16,0,28,0,28,0,28,0,30,2,17,1,19,2,19,0,30,0,0,30,0,30,1,29,0,30,0,30,2,29,1,30,0,29,0,17,2,19,0,28,1,19,0,28,0,28,0,30,1.0
27,28,2,27,1,28,3,28,1,27,1,29,2,30,1,29,0,30,0,30,0,28,0,27,0,28,0,0,30,0,30,0,30,0,30,0,29,1,29,0,28,0,28,0,29,1,28,2,28,0,30,0,27,0,28,0,30,0,29,0,30,0,27,0,27,0,30,0,27,0,29,0,28,0,1,30,0,29,0,30,0,30,0,30,0,30,0,30,0,30,22,7,5,22,7,21,29,23,6,23,6,0,29,0,30,0,0,30,0,30,0,30,0,30,0,30,0,30,0,30,1,7,0,30,0,30,1,6,0,7,0,7,0,29,0,30,0,30,0,30,0,30,0,30,0,7,0,6,0,7,0,7,0,29,0,29,0,6,0,7,5,25,5,21,7,22,7,4,23,5,3,22,5,6,5,5,21,21,21,25,4,23,4,6,23,2,27,3,26,1,30,3,5,2,7,6,5,0,30,0,0,30,1,27,1,22,0,30,0,30,1,22,1,23,1,26,7,5,2,6,3,23,2,6,0,27,0,23,0,27,1.0
21,24,5,23,4,23,7,28,3,22,5,25,2,30,1,25,0,30,0,30,0,28,0,23,0,23,0,0,30,0,30,0,30,0,30,0,29,1,25,0,28,0,23,0,25,1,23,2,28,0,30,0,23,0,28,0,30,0,29,0,30,0,22,0,23,0,30,0,23,0,25,0,28,0,3,26,3,25,3,30,0,30,0,30,0,30,0,30,0,30,15,12,12,15,14,14,25,16,12,16,13,3,25,0,26,0,0,30,0,30,3,27,0,30,0,30,0,30,0,30,4,13,0,27,0,30,5,13,4,14,3,14,0,25,0,27,0,26,0,27,0,27,0,30,0,14,0,13,0,14,0,13,0,25,0,25,3,13,3,14,14,30,16,10,18,10,18,3,27,2,2,26,2,16,4,15,12,26,8,28,2,26,2,16,12,0,30,0,30,0,30,0,3,0,4,17,3,0,30,0,0,30,0,30,0,12,0,30,0,30,0,10,0,12,0,30,18,2,0,3,0,12,0,4,0,30,0,12,0,30,2.0
27,28,2,27,1,28,3,28,1,27,1,29,2,30,1,29,0,30,0,30,0,28,0,27,0,28,0,0,30,0,30,0,30,0,30,0,29,1,29,0,28,0,28,0,29,1,28,2,28,0,30,0,27,0,28,0,30,0,29,0,30,0,27,0,27,0,30,0,27,0,29,0,28,0,4,26,3,25,1,30,0,30,0,30,0,30,0,30,0,30,30,0,0,30,0,30,24,30,0,30,0,2,26,0,26,0,0,30,0,30,2,27,0,30,0,30,0,30,0,30,4,0,0,27,0,30,4,0,2,0,3,0,0,26,0,27,0,26,0,27,0,27,0,30,0,0,0,0,0,0,0,0,0,25,0,26,3,0,2,0,8,25,8,18,10,19,10,8,19,9,7,18,9,9,9,8,18,17,18,21,8,19,8,9,20,2,27,3,26,1,30,3,9,2,11,9,9,0,30,0,0,30,1,27,1,19,0,30,0,30,1,19,1,20,1,26,10,9,2,10,3,20,2,10,0,27,0,20,0,27,1.0
27,29,2,27,1,28,3,30,1,27,1,29,0,30,0,29,0,30,0,30,0,30,0,27,0,28,0,0,30,0,30,0,30,0,30,0,30,0,29,0,30,0,28,0,29,0,28,0,30,0,30,0,27,0,30,0,30,0,30,0,30,0,27,0,27,0,30,0,27,0,29,0,30,0,2,29,0,28,0,29,0,29,0,30,0,29,0,30,0,30,21,8,6,21,8,20,28,22,7,22,7,0,28,1,29,0,0,30,0,30,1,29,0,30,0,30,0,30,0,30,2,8,1,30,0,30,2,7,1,8,0,8,0,28,0,30,0,29,0,30,0,30,0,29,1,8,1,7,0,8,1,8,0,28,0,28,0,7,0,8,11,30,13,13,15,13,15,3,27,2,2,26,2,13,4,12,15,26,11,28,2,26,2,13,15,0,30,0,30,0,30,0,3,0,4,14,3,0,30,0,0,30,0,30,0,15,0,30,0,30,0,13,0,15,0,30,15,2,0,3,0,15,0,4,0,30,0,15,0,30,2.0
19,23,7,21,6,21,9,30,5,20,7,23,0,30,0,23,0,30,0,30,0,30,0,21,0,21,0,0,30,0,30,0,30,0,30,0,30,0,23,0,30,0,21,0,23,0,21,0,30,0,30,0,21,0,30,0,30,0,30,0,30,0,20,0,21,0,30,0,21,0,23,0,30,0,3,26,3,25,3,29,0,29,0,30,0,29,0,30,1,30,14,13,13,14,15,13,25,15,13,15,14,3,25,1,26,0,0,30,0,30,3,27,0,30,0,30,0,30,0,30,4,14,1,27,0,30,5,14,4,15,3,15,0,25,0,27,0,26,0,27,0,27,0,29,1,15,1,14,0,15,1,14,0,25,0,25,3,14,3,15,16,25,16,11,18,11,18,3,27,2,2,26,2,17,4,16,12,26,10,28,2,26,2,17,12,2,27,3,26,1,30,3,3,2,4,17,3,0,30,0,0,30,2,27,3,12,0,30,0,30,3,11,2,12,3,26,18,2,3,3,3,12,3,4,0,27,0,12,0,27,2.0
16,20,8,20,8,18,10,30,6,18,10,20,0,30,0,20,0,30,0,30,0,30,0,20,0,18,0,0,30,0,30,0,30,0,30,0,30,0,20,0,30,0,18,0,20,0,18,0,30,0,30,0,20,0,30,0,30,0,30,0,30,0,18,0,20,0,30,0,20,0,20,0,30,0,8,22,6,21,4,29,0,29,0,29,0,29,0,29,1,29,18,11,9,18,11,17,20,19,10,19,10,5,22,1,22,0,0,30,0,30,6,24,0,29,1,30,0,30,0,29,8,11,1,24,0,30,8,10,6,11,6,11,0,22,0,24,1,22,0,24,1,24,0,29,1,11,1,10,0,11,1,11,0,21,0,22,6,10,5,11,9,24,11,17,11,18,11,5,23,7,3,22,5,10,7,10,17,21,17,25,5,23,4,10,19,3,26,4,25,2,30,4,5,3,7,11,7,0,30,0,0,30,2,26,3,18,0,30,0,30,4,18,3,19,2,25,11,5,4,7,4,19,3,7,0,26,0,19,0,26,2.0
7,9,19,9,18,8,21,21,17,8,19,10,6,23,5,11,0,30,0,30,5,23,6,9,7,9,0,0,30,0,30,0,30,0,30,0,22,5,11,0,22,7,9,0,11,6,9,7,23,0,30,0,9,0,23,0,23,0,22,0,30,0,8,7,9,0,30,0,9,6,10,0,22,0,30,0,30,0,30,9,18,11,18,11,19,10,17,30,19,10,30,0,0,30,0,30,0,30,0,30,0,30,0,19,0,0,0,30,0,30,30,0,0,30,0,10,0,11,0,30,30,0,19,0,0,11,30,0,30,0,30,0,19,0,18,0,0,0,0,0,0,0,0,11,19,0,19,0,18,0,19,0,19,0,18,0,30,0,30,0,4,27,4,25,4,24,6,20,8,20,18,7,20,5,22,4,26,6,24,10,19,8,19,4,24,1,27,1,27,1,30,3,20,2,22,5,21,0,30,0,0,30,2,29,3,26,0,30,0,30,3,25,2,26,3,28,4,20,3,21,1,24,3,22,0,27,0,24,0,29,1.0
11,13,15,13,14,12,17,24,13,12,15,14,3,26,2,15,0,30,0,30,2,26,3,13,4,13,0,0,30,0,30,0,30,0,30,0,25,2,15,0,25,4,13,0,15,3,13,4,26,0,30,0,13,0,26,0,26,0,25,0,30,0,12,4,13,0,30,0,13,3,14,0,25,0,19,10,19,10,17,14,10,17,10,18,12,16,8,22,11,16,30,0,0,30,0,30,9,30,0,30,0,18,11,12,10,5,6,22,6,23,18,10,6,23,6,16,6,18,6,24,19,0,12,11,6,18,19,0,18,0,19,0,12,11,10,11,6,10,6,11,6,11,7,18,12,0,12,0,10,0,12,0,12,10,10,11,19,0,18,0,5,27,5,21,7,20,9,17,11,15,15,10,17,7,19,5,23,9,19,13,15,11,16,6,21,1,27,1,27,1,30,3,17,2,19,7,17,0,30,0,0,30,2,29,3,23,0,30,0,30,3,21,2,23,3,28,7,17,3,17,1,21,3,19,0,27,0,21,0,29,1.0
27,28,2,27,1,28,3,28,1,27,1,29,2,30,1,29,0,30,0,30,0,28,0,27,0,28,0,0,30,0,30,0,30,0,30,0,29,1,29,0,28,0,28,0,29,1,28,2,28,0,30,0,27,0,28,0,30,0,29,0,30,0,27,0,27,0,30,0,27,0,29,0,28,0,1,30,0,29,0,30,0,30,0,30,0,30,0,30,0,30,30,0,0,30,0,30,29,30,0,30,0,0,29,0,30,0,0,30,0,30,0,30,0,30,0,30,0,30,0,30,1,0,0,30,0,30,1,0,0,0,0,0,0,29,0,30,0,30,0,30,0,30,0,30,0,0,0,0,0,0,0,0,0,29,0,29,0,0,0,0,5,25,5,21,7,22,7,8,19,9,7,18,9,6,9,5,21,17,21,21,8,19,8,6,23,2,27,3,26,1,30,3,9,2,11,6,9,0,30,0,0,30,1,27,1,22,0,30,0,30,1,22,1,23,1,26,7,9,2,10,3,23,2,10,0,27,0,23,0,27,1.0
21,25,5,23,4,23,7,30,3,22,5,25,0,30,0,25,0,30,0,30,0,30,0,23,0,23,0,0,30,0,30,0,30,0,30,0,30,0,25,0,30,0,23,0,25,0,23,0,30,0,30,0,23,0,30,0,30,0,30,0,30,0,22,0,23,0,30,0,23,0,25,0,30,0,2,29,0,28,0,29,0,29,0,30,0,29,0,30,0,30,18,11,9,18,11,17,28,19,10,19,10,0,28,1,29,0,0,30,0,30,1,29,0,30,0,30,0,30,0,30,2,11,1,30,0,30,2,10,1,11,0,11,0,28,0,30,0,29,0,30,0,30,0,29,1,11,1,10,0,11,1,11,0,28,0,28,0,10,0,11,6,30,8,18,10,18,10,3,27,2,2,26,2,8,4,7,20,26,16,28,2,26,2,8,20,0,30,0,30,0,30,0,3,0,4,9,3,0,30,0,0,30,0,30,0,20,0,30,0,30,0,18,0,20,0,30,10,2,0,3,0,20,0,4,0,30,0,20,0,30,2.0
19,23,7,21,6,21,9,30,5,20,7,23,0,30,0,23,0,30,0,30,0,30,0,21,0,21,0,0,30,0,30,0,30,0,30,0,30,0,23,0,30,0,21,0,23,0,21,0,30,0,30,0,21,0,30,0,30,0,30,0,30,0,20,0,21,0,30,0,21,0,23,0,30,0,1,29,0,29,0,29,0,29,0,30,0,29,0,30,0,30,18,11,9,18,11,17,29,19,10,19,10,0,29,1,30,0,0,30,0,30,0,29,0,30,0,30,0,30,0,30,1,11,0,30,0,30,1,10,0,11,0,11,0,29,0,30,0,30,0,30,0,30,0,29,0,11,1,10,0,11,1,11,0,29,0,29,0,10,0,11,19,30,19,8,21,8,21,3,27,2,2,26,2,20,4,19,9,26,7,28,2,26,2,20,9,0,30,0,30,0,30,0,3,0,4,20,3,0,30,0,0,30,0,30,0,9,0,30,0,30,0,8,0,9,0,30,21,2,0,3,0,9,0,4,0,30,0,9,0,30,2.0
4,6,20,8,20,5,22,21,18,6,22,6,6,21,5,8,0,27,2,25,5,23,6,8,7,6,0,0,30,0,30,0,30,1,26,3,21,5,8,2,22,7,6,3,6,6,5,7,23,3,27,0,8,3,23,2,23,1,22,1,27,1,6,7,8,3,26,1,8,6,7,2,22,3,26,3,26,3,24,14,13,16,13,16,14,15,12,25,14,15,30,0,0,30,0,30,2,30,0,30,0,25,4,14,3,3,5,26,4,27,25,4,3,25,5,15,4,16,3,25,26,0,14,4,5,16,26,0,25,0,26,0,14,4,13,4,5,3,4,4,5,4,3,16,14,0,14,0,13,0,14,0,14,3,13,4,26,0,25,0,8,20,10,20,8,20,10,18,12,19,17,11,17,9,19,9,20,11,20,13,18,11,17,8,20,8,20,8,20,8,30,10,18,9,19,10,19,0,30,0,0,30,8,22,9,21,0,30,0,30,10,21,9,22,8,21,8,17,10,19,8,20,9,19,0,20,0,20,0,22,2.0
2,2,25,3,25,2,26,9,24,3,26,2,16,11,14,4,2,23,6,21,13,13,15,4,17,3,3,1,26,3,27,2,25,5,22,7,10,15,2,6,11,16,2,7,2,15,2,17,13,7,23,3,4,7,13,6,11,5,10,5,21,5,3,17,4,7,21,5,4,15,2,6,11,7,30,0,30,0,30,13,14,15,14,15,15,14,13,25,15,14,30,0,0,30,0,30,0,30,0,30,0,30,0,15,0,3,5,26,4,27,30,0,3,25,5,14,4,15,3,25,30,0,15,0,5,15,30,0,30,0,30,0,15,0,14,0,5,0,4,0,5,0,3,15,15,0,15,0,14,0,15,0,15,0,14,0,30,0,30,0,15,24,15,14,15,13,17,14,16,13,13,15,13,16,15,15,15,15,13,17,13,15,13,15,13,4,24,4,24,4,30,6,14,5,15,16,14,0,30,0,0,30,5,26,6,15,0,30,0,30,6,14,5,15,6,25,15,13,6,14,4,13,6,15,0,24,0,13,0,26,2.0
22,26,4,24,3,24,6,30,2,23,4,26,0,30,0,26,0,30,0,30,0,30,0,24,0,24,0,0,30,0,30,0,30,0,30,0,30,0,26,0,30,0,24,0,26,0,24,0,30,0,30,0,24,0,30,0,30,0,30,0,30,0,23,0,24,0,30,0,24,0,26,0,30,0,2,29,0,28,0,29,0,29,0,30,0,29,0,30,0,30,15,14,12,15,14,14,28,16,13,16,13,0,28,1,29,0,0,30,0,30,1,29,0,30,0,30,0,30,0,30,2,14,1,30,0,30,2,13,1,14,0,14,0,28,0,30,0,29,0,30,0,30,0,29,1,14,1,13,0,14,1,14,0,28,0,28,0,13,0,14,19,25,21,4,23,5,23,2,27,2,2,26,2,21,2,20,5,26,3,28,2,26,2,21,7,2,27,3,26,1,30,3,3,2,4,22,2,0,30,0,0,30,1,27,1,6,0,30,0,30,1,5,1,7,1,26,23,2,2,3,3,7,2,3,0,27,0,7,0,27,2.0
27,28,2,27,1,28,3,28,1,27,1,29,2,30,1,29,0,30,0,30,0,28,0,27,0,28,0,0,30,0,30,0,30,0,30,0,29,1,29,0,28,0,28,0,29,1,28,2,28,0,30,0,27,0,28,0,30,0,29,0,30,0,27,0,27,0,30,0,27,0,29,0,28,0,1,30,0,29,0,30,0,30,0,30,0,30,0,30,0,30,26,3,1,26,3,25,29,27,2,27,2,0,29,0,30,0,0,30,0,30,0,30,0,30,0,30,0,30,0,30,1,3,0,30,0,30,1,2,0,3,0,3,0,29,0,30,0,30,0,30,0,30,0,30,0,3,0,2,0,3,0,3,0,29,0,29,0,2,0,3,5,30,5,22,7,22,7,6,22,6,4,21,6,6,8,5,23,20,21,24,5,22,5,6,23,0,30,0,30,0,30,0,6,0,8,6,7,0,30,0,0,30,0,30,0,23,0,30,0,30,0,22,0,23,0,30,7,6,0,7,0,23,0,8,0,30,0,23,0,30,1.0
15,17,11,17,10,16,13,25,9,16,11,18,2,27,1,19,0,30,0,30,1,27,2,17,3,17,0,0,30,0,30,0,30,0,30,0,26,1,19,0,26,3,17,0,19,2,17,3,27,0,30,0,17,0,27,0,27,0,26,0,30,0,16,3,17,0,30,0,17,2,18,0,26,0,19,10,19,10,17,17,10,19,10,19,11,18,9,30,10,18,30,0,0,30,0,30,9,30,0,30,0,18,11,11,10,0,0,30,0,30,18,10,0,30,0,18,0,19,0,30,19,0,11,11,0,19,19,0,18,0,19,0,11,11,10,11,0,10,0,11,0,11,0,19,11,0,11,0,10,0,11,0,11,10,10,11,19,0,18,0,4,24,6,24,4,24,6,14,14,16,12,13,14,5,16,5,24,12,24,16,14,14,13,4,24,4,24,4,24,4,30,6,14,5,16,6,16,0,30,0,0,30,4,26,5,25,0,30,0,30,6,25,5,26,4,25,4,14,6,16,4,24,5,16,0,24,0,24,0,26,1.0
21,25,5,23,4,23,7,30,3,22,5,25,0,30,0,25,0,30,0,30,0,30,0,23,0,23,0,0,30,0,30,0,30,0,30,0,30,0,25,0,30,0,23,0,25,0,23,0,30,0,30,0,23,0,30,0,30,0,30,0,30,0,22,0,23,0,30,0,23,0,25,0,30,0,1,29,0,29,0,29,0,29,0,30,0,29,0,30,0,30,18,11,9,18,11,17,29,19,10,19,10,0,29,1,30,0,0,30,0,30,0,29,0,30,0,30,0,30,0,30,1,11,0,30,0,30,1,10,0,11,0,11,0,29,0,30,0,30,0,30,0,30,0,29,0,11,1,10,0,11,1,11,0,29,0,29,0,10,0,11,14,30,16,10,18,10,18,3,27,2,2,26,2,16,4,15,12,26,8,28,2,26,2,16,12,0,30,0,30,0,30,0,3,0,4,17,3,0,30,0,0,30,0,30,0,12,0,30,0,30,0,10,0,12,0,30,18,2,0,3,0,12,0,4,0,30,0,12,0,30,2.0
19,23,7,21,6,21,9,28,5,20,7,23,2,30,1,23,0,30,0,30,0,28,0,21,0,21,0,0,30,0,30,0,30,0,30,0,29,2,23,0,28,0,21,0,23,1,21,2,28,0,30,0,21,0,28,0,30,0,29,0,30,0,20,0,21,0,30,0,21,0,23,0,28,0,8,22,7,21,5,30,0,30,0,30,0,30,0,30,0,30,22,7,5,22,7,21,20,23,6,23,6,6,22,0,22,0,0,30,0,30,6,23,0,30,0,30,0,30,0,30,8,7,0,23,0,30,8,6,6,7,7,7,0,22,0,23,0,22,0,23,0,23,0,30,0,7,0,6,0,7,0,7,0,21,0,22,7,6,6,7,8,25,8,18,10,19,10,7,20,8,6,19,8,9,8,8,18,18,18,22,7,20,7,9,20,2,27,3,26,1,30,3,8,2,10,9,8,0,30,0,0,30,1,27,1,19,0,30,0,30,1,19,1,20,1,26,10,8,2,9,3,20,2,9,0,27,0,20,0,27,1.0
