@relation 'Sax dominant'

@attribute o1atMaa numeric
@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute destClass {1.0,-1.0}

@data
38,43,47,52,40,55,50,45,41,46,49,45,40,54,40,45,1.0
34,47,43,56,36,59,46,49,37,50,45,49,36,58,36,49,1.0
27,12,80,63,29,66,82,13,30,14,81,13,29,65,29,13,1.0
45,38,52,45,46,48,55,39,48,41,54,40,47,47,47,40,-1.0
36,45,45,54,37,57,48,46,39,48,47,47,38,56,38,47,1.0
25,13,79,65,27,68,81,14,28,15,80,13,26,67,27,14,1.0
34,11,81,56,36,59,83,12,37,13,82,11,35,58,36,12,-1.0
38,51,39,52,39,55,42,52,41,54,41,51,38,54,40,53,1.0
36,31,59,54,38,57,62,33,39,34,61,32,37,56,38,33,1.0
26,11,81,64,28,67,83,12,29,13,82,11,27,66,28,12,1.0
42,40,50,50,43,52,53,42,44,43,52,42,43,51,43,42,1.0
37,30,60,53,38,56,63,31,40,33,62,32,39,55,39,32,1.0
35,51,39,55,37,58,42,53,38,54,41,53,37,57,37,53,1.0
24,13,79,66,26,69,81,14,27,15,80,14,26,68,26,14,1.0
43,25,67,47,46,50,69,27,46,27,68,26,45,49,45,26,-1.0
38,25,67,54,40,56,69,27,40,27,68,26,39,55,39,26,-1.0
49,40,50,41,50,44,53,41,52,43,52,40,49,43,51,42,-1.0
43,45,45,47,44,50,48,46,46,48,47,46,44,49,45,47,-1.0
49,32,58,43,50,45,61,34,51,35,60,34,50,44,50,34,1.0
43,39,51,49,43,51,54,40,45,42,53,41,44,50,44,41,1.0
44,44,46,46,44,49,49,44,47,47,48,46,46,48,46,46,1.0
0,1,89,94,1,95,92,4,1,4,91,3,0,94,0,3,1.0
47,39,51,45,48,47,54,41,49,42,53,40,47,46,48,41,1.0
37,28,62,53,39,56,65,30,40,31,64,30,39,55,39,30,1.0
30,7,85,60,31,63,87,7,33,9,86,7,31,62,32,8,1.0
44,37,53,48,45,50,56,39,46,40,55,39,45,49,45,39,1.0
37,49,41,53,39,56,44,51,40,52,43,51,39,55,39,51,1.0
37,51,39,53,38,56,42,52,40,54,41,52,38,55,39,53,1.0
9,15,71,83,9,85,76,18,11,20,75,19,10,84,10,19,-1.0
36,51,39,54,37,57,42,52,39,54,41,53,38,56,38,53,1.0
29,12,80,61,31,64,82,13,32,14,81,12,30,63,31,13,1.0
29,11,81,61,31,64,83,12,32,13,82,11,30,63,31,12,1.0
37,45,45,53,38,56,48,46,40,48,47,47,39,55,39,47,1.0
38,44,46,52,40,55,49,46,41,47,48,45,39,54,40,46,1.0
36,52,38,54,37,57,41,53,39,55,40,53,37,56,38,54,1.0
0,0,90,92,2,94,93,3,2,3,92,2,1,93,1,2,-1.0
36,29,61,54,37,57,64,30,39,32,63,31,38,56,38,31,1.0
45,37,53,47,45,49,56,38,47,40,55,39,46,48,46,39,1.0
33,19,71,57,34,60,74,20,36,22,73,20,34,59,35,21,1.0
39,34,56,51,40,54,59,35,42,37,58,35,40,53,41,36,1.0
34,26,64,56,35,59,67,27,37,29,66,28,36,58,36,28,1.0
35,51,39,55,37,58,42,53,38,54,41,53,37,57,37,53,1.0
44,44,46,46,45,49,49,45,47,47,48,45,45,48,46,46,-1.0
43,40,50,49,43,51,53,41,45,43,52,41,43,50,44,42,1.0
39,44,46,53,40,55,49,46,41,47,48,46,40,54,40,46,-1.0
50,35,55,38,53,42,58,37,54,38,57,36,52,41,53,37,1.0
47,40,50,43,48,46,53,41,50,43,52,42,49,45,49,42,-1.0
31,10,82,59,33,62,84,11,34,12,83,11,33,61,33,11,1.0
42,44,46,48,44,51,49,46,45,47,48,46,44,50,44,46,-1.0
44,42,48,46,46,49,51,44,47,45,50,44,46,48,46,44,-1.0
38,49,41,52,40,55,44,51,41,52,43,50,39,54,40,51,1.0
38,8,84,52,40,55,86,9,41,10,85,8,39,54,40,9,-1.0
38,48,42,52,40,55,45,50,41,51,44,50,40,54,40,50,1.0
33,19,71,57,34,60,74,20,36,22,73,20,34,59,35,21,1.0
40,47,43,50,41,53,46,48,43,50,45,49,42,52,42,49,1.0
0,0,90,94,1,95,93,3,1,3,92,2,0,94,0,2,1.0
44,39,51,46,46,49,54,41,47,42,53,40,45,48,46,41,-1.0
43,43,47,47,45,50,50,45,46,46,49,45,45,49,45,45,-1.0
48,32,58,44,49,46,61,34,50,35,60,34,49,45,49,34,1.0
34,26,64,56,36,59,67,28,37,29,66,27,35,58,36,28,1.0
45,40,50,47,45,49,53,41,47,43,52,42,46,48,46,42,1.0
46,36,54,46,46,48,57,37,48,39,56,38,47,47,47,38,1.0
41,40,50,49,43,52,53,42,44,43,52,42,43,51,43,42,1.0
50,34,56,38,53,42,59,36,54,37,58,36,53,41,53,36,1.0
35,26,64,55,36,58,67,27,38,29,66,28,37,57,37,28,1.0
50,37,53,40,52,43,56,39,53,40,55,38,51,42,52,39,1.0
51,37,53,39,51,42,56,37,54,40,55,39,53,41,53,39,1.0
0,1,91,94,1,95,93,3,1,3,92,2,0,94,0,2,1.0
35,46,46,55,37,58,48,47,38,48,47,47,37,57,37,47,1.0
31,16,74,59,32,62,77,17,34,19,76,18,33,61,33,18,1.0
14,5,87,78,15,80,89,6,16,7,88,6,15,79,15,6,-1.0
35,53,37,55,36,58,40,54,38,56,39,54,36,57,37,55,1.0
45,40,50,47,46,49,53,42,47,43,52,42,46,48,46,42,1.0
35,26,64,55,36,58,67,27,38,29,66,27,36,57,37,28,1.0
45,38,52,47,45,49,55,39,47,41,54,39,45,48,46,40,1.0
43,32,56,49,43,51,60,34,45,36,59,35,44,50,44,35,1.0
34,20,70,56,36,59,73,22,37,23,72,21,35,58,36,22,1.0
37,45,45,53,38,56,48,46,40,48,47,46,38,55,39,47,1.0
21,13,79,69,23,72,81,14,24,15,80,13,22,71,23,14,1.0
44,43,47,46,46,49,50,45,47,46,49,44,45,48,46,45,-1.0
45,40,50,47,46,49,53,42,47,43,52,42,46,48,46,42,1.0
37,32,58,53,38,56,61,33,40,35,60,34,39,55,39,34,1.0
36,22,68,54,38,57,71,24,39,25,70,23,37,56,38,24,1.0
35,46,44,55,37,58,47,48,38,49,46,47,36,57,37,48,1.0
36,51,39,54,37,57,42,52,39,54,41,53,38,56,38,53,1.0
51,38,52,39,52,42,55,39,54,41,54,38,51,41,53,40,1.0
20,1,89,64,26,70,92,4,26,4,91,2,24,69,25,3,1.0
9,8,84,83,11,85,86,10,11,10,85,9,10,84,10,9,-1.0
38,32,58,52,40,55,61,34,41,35,60,33,39,54,40,34,1.0
34,26,64,56,35,59,67,27,37,29,66,27,35,58,36,28,1.0
36,44,46,54,37,57,49,45,39,47,48,46,38,56,38,46,1.0
36,44,46,54,38,57,49,46,39,47,48,46,38,56,38,46,1.0
0,1,89,94,1,95,92,4,1,4,91,3,0,94,0,3,1.0
26,12,80,64,28,67,82,13,29,14,81,13,28,66,28,13,1.0
34,11,81,56,36,59,83,12,37,13,82,11,35,58,36,12,1.0
22,11,81,68,24,71,83,12,25,13,82,11,23,70,24,12,1.0
31,17,73,59,32,62,76,18,34,20,75,19,33,61,33,19,1.0
45,39,51,47,46,49,54,41,47,42,53,40,45,48,46,41,1.0
50,31,59,42,51,44,62,33,52,34,61,33,51,43,51,33,1.0
36,51,39,54,37,57,42,52,39,54,41,53,38,56,38,53,1.0
50,40,50,40,50,43,53,40,53,43,52,40,50,42,52,42,1.0
29,11,81,61,31,64,83,12,32,13,82,11,30,63,31,12,1.0
22,13,79,68,24,71,81,14,25,15,80,13,23,70,24,14,1.0
31,57,33,59,31,62,36,57,34,60,35,59,33,61,33,59,1.0
27,10,82,63,29,66,84,11,30,12,83,11,29,65,29,11,1.0
28,11,81,62,30,65,83,12,31,13,82,11,29,64,30,12,1.0
37,46,44,53,37,56,47,46,40,49,46,48,39,55,39,48,1.0
34,52,38,56,36,59,41,54,37,55,40,54,36,58,36,54,1.0
51,36,54,39,53,42,57,38,54,39,56,37,52,41,53,38,1.0
35,32,58,55,37,58,61,34,38,35,60,33,36,57,37,34,1.0
39,43,47,51,40,54,50,44,42,46,49,45,41,53,41,45,1.0
44,43,47,46,46,49,50,45,47,46,49,44,45,48,46,45,-1.0
38,50,40,52,39,55,43,51,41,53,42,51,39,54,40,52,1.0
45,41,49,47,45,49,52,42,47,44,51,43,46,48,46,43,1.0
31,56,34,59,32,62,37,57,34,59,36,58,33,61,33,58,1.0
34,22,68,56,36,59,71,24,37,25,70,23,35,58,36,24,1.0
41,41,49,49,42,52,52,42,44,44,51,43,43,51,43,43,1.0
35,54,36,55,36,58,39,55,38,57,38,54,35,57,37,56,1.0
50,32,58,38,53,42,61,34,54,35,60,33,52,41,53,34,1.0
33,48,42,57,34,60,45,49,36,51,44,50,35,59,35,50,1.0
39,24,70,53,41,55,71,25,41,25,70,24,40,54,40,24,-1.0
50,38,52,40,52,43,55,40,53,41,54,38,50,42,52,40,1.0
31,58,32,59,31,62,35,58,34,61,34,59,32,61,33,60,1.0
0,1,89,94,1,95,92,4,1,4,91,3,0,94,0,3,1.0
36,33,57,54,37,57,60,34,39,36,59,35,38,56,38,35,1.0
45,36,54,47,46,49,57,38,47,39,56,38,46,48,46,38,1.0
21,1,89,61,28,68,92,4,28,4,91,3,27,67,27,3,1.0
46,32,58,38,51,44,61,34,52,35,60,34,51,43,51,34,1.0
41,46,44,49,43,52,47,48,44,49,46,47,42,51,43,48,1.0
44,1,89,44,48,48,92,4,48,4,91,2,46,47,47,3,1.0
25,10,82,65,27,68,84,11,28,12,83,11,27,67,27,11,1.0
42,40,48,50,43,52,52,43,44,44,51,43,43,51,43,43,1.0
35,51,39,55,37,58,42,53,38,54,41,53,37,57,37,53,1.0
39,34,56,51,41,54,59,36,42,37,58,36,41,53,41,36,1.0
23,13,79,67,25,70,81,14,26,15,80,14,25,69,25,14,1.0
34,47,43,56,36,59,46,49,37,50,45,48,35,58,36,49,1.0
45,43,47,47,45,49,50,44,47,46,49,45,46,48,46,45,1.0
35,25,65,55,36,58,68,26,38,28,67,26,36,57,37,27,1.0
44,37,53,48,45,50,56,39,46,40,55,39,45,49,45,39,1.0
0,1,91,94,1,95,93,3,1,3,92,2,0,94,0,2,1.0
30,12,80,60,32,63,82,13,33,14,81,12,31,62,32,13,1.0
41,13,77,49,44,52,80,16,44,16,79,14,42,51,43,15,-1.0
19,1,89,69,23,73,92,4,23,4,91,2,21,72,22,3,1.0
52,36,54,38,53,41,57,37,55,39,56,37,53,40,54,38,1.0
39,43,47,53,40,55,50,45,41,46,49,45,40,54,40,45,-1.0
37,31,59,53,38,56,62,32,40,34,61,33,39,55,39,33,1.0
49,37,51,41,51,44,55,40,52,41,54,38,49,43,51,40,1.0
36,30,60,54,37,57,63,31,39,33,62,32,38,56,38,32,1.0
52,36,54,38,53,41,57,37,55,39,56,37,53,40,54,38,1.0
35,53,37,55,37,58,40,55,38,56,39,53,35,57,37,55,1.0
37,9,83,53,38,56,85,9,40,11,84,9,38,55,39,10,-1.0
35,52,38,55,36,58,41,53,38,55,40,54,37,57,37,54,1.0
30,56,34,60,32,63,37,58,33,59,36,58,32,62,32,58,1.0
42,40,50,50,42,52,53,41,44,43,52,41,42,51,43,42,1.0
35,51,39,55,37,58,42,53,38,54,41,53,37,57,37,53,1.0
49,39,51,41,50,44,54,40,52,42,53,40,50,43,51,41,1.0
36,52,38,54,37,57,41,53,39,55,40,53,37,56,38,54,1.0
39,43,47,51,41,54,50,45,42,46,49,44,40,53,41,45,1.0
24,12,80,66,26,69,82,13,27,14,81,12,25,68,26,13,1.0
47,40,50,43,49,46,53,42,50,43,52,41,48,45,49,42,1.0
37,52,38,53,37,56,41,52,40,55,40,53,38,55,39,54,1.0
0,0,90,94,1,95,93,3,1,3,92,2,0,94,0,2,1.0
31,57,33,59,31,62,36,57,34,60,35,59,33,61,33,59,1.0
48,40,50,44,48,46,53,41,50,43,52,41,48,45,49,42,1.0
34,25,65,56,35,59,68,26,37,28,67,27,36,58,36,27,1.0
36,31,59,54,37,57,62,32,39,34,61,33,38,56,38,33,1.0
44,42,48,48,45,50,51,44,46,45,50,43,44,49,45,44,1.0
25,13,79,65,27,68,81,14,28,15,80,13,26,67,27,14,1.0
40,43,47,50,42,53,50,45,43,46,49,45,42,52,42,45,1.0
35,45,45,55,37,58,48,47,38,48,47,47,37,57,37,47,1.0
37,50,40,53,39,56,43,52,40,53,42,51,38,55,39,52,1.0
37,51,39,53,38,56,42,52,40,54,41,52,38,55,39,53,1.0
35,46,44,55,37,58,47,48,38,49,46,48,37,57,37,48,1.0
31,11,81,59,33,62,83,12,34,13,82,11,32,61,33,12,1.0
22,13,79,68,24,71,81,14,25,15,80,13,23,70,24,14,1.0
43,43,47,47,45,50,50,45,46,46,49,45,45,49,45,45,-1.0
35,46,44,55,37,58,47,48,38,49,46,48,37,57,37,48,1.0
36,52,38,54,37,57,41,53,39,55,40,53,37,56,38,54,1.0
38,30,60,52,39,55,63,31,41,33,62,31,39,54,40,32,1.0
44,38,52,48,44,50,55,39,46,41,54,40,45,49,45,40,1.0
33,10,82,57,35,60,84,11,36,12,83,11,35,59,35,11,1.0
35,46,44,55,37,58,47,48,38,49,46,47,36,57,37,48,1.0
31,11,81,59,33,62,83,12,34,13,82,12,33,61,33,12,1.0
37,33,57,53,39,56,60,35,40,36,59,35,39,55,39,35,1.0
35,52,38,55,36,58,41,53,38,55,40,54,37,57,37,54,1.0
31,10,82,59,33,62,84,11,34,12,83,10,32,61,33,11,1.0
33,47,43,57,35,60,46,49,36,50,45,49,35,59,35,49,1.0
37,45,45,53,39,56,48,47,40,48,47,46,38,55,39,47,1.0
51,37,53,39,53,42,56,39,54,40,55,37,51,41,53,39,1.0
32,56,34,58,33,61,37,57,35,59,36,57,33,60,34,58,1.0
37,51,39,53,38,56,42,52,40,54,41,52,38,55,39,53,1.0
39,44,46,53,40,55,49,46,41,47,48,46,40,54,40,46,-1.0
37,18,72,53,39,56,75,20,40,21,74,20,39,55,39,20,1.0
28,10,82,62,30,65,84,11,31,12,83,11,30,64,30,11,1.0
37,49,41,53,39,56,44,51,40,52,43,51,39,55,39,51,1.0
36,47,43,56,37,58,46,49,38,50,45,48,36,57,37,49,-1.0
31,17,73,59,33,62,76,19,34,20,75,18,32,61,33,19,1.0
39,47,43,51,41,54,46,49,42,50,45,49,41,53,41,49,1.0
36,45,45,54,37,57,48,46,39,48,47,47,38,56,38,47,1.0
47,39,51,45,48,47,54,41,49,42,53,41,48,46,48,41,1.0
38,22,68,52,39,55,71,23,41,25,70,24,40,54,40,24,1.0
1,1,89,91,3,93,92,4,3,4,91,3,2,92,2,3,1.0
35,47,43,55,37,58,46,49,38,50,45,48,36,57,37,49,1.0
32,56,34,58,33,61,37,57,35,59,36,57,33,60,34,58,1.0
45,43,47,45,46,48,50,44,48,46,49,44,46,47,47,45,-1.0
35,30,60,55,36,58,63,31,38,33,62,32,37,57,37,32,1.0
29,10,82,61,31,64,84,11,32,12,83,11,31,63,31,11,1.0
36,45,45,54,37,57,48,46,39,48,47,47,38,56,38,47,1.0
35,52,38,55,36,58,41,53,38,55,40,54,37,57,37,54,1.0
49,34,56,37,53,42,59,36,54,37,58,35,52,41,53,36,1.0
34,54,36,56,35,59,39,55,37,57,38,55,35,58,36,56,1.0
46,38,52,46,47,48,55,40,48,41,54,39,46,47,47,40,1.0
34,26,64,56,35,59,67,27,37,29,66,28,36,58,36,28,1.0
44,38,52,48,45,50,55,40,46,41,54,39,44,49,45,40,1.0
35,28,62,55,37,58,65,30,38,31,64,29,36,57,37,30,1.0
50,4,82,40,52,43,87,8,53,9,86,7,51,42,52,8,1.0
34,47,43,56,35,59,46,48,37,50,45,49,36,58,36,49,1.0
43,38,52,49,44,51,55,40,45,41,54,40,44,50,44,40,1.0
48,38,52,42,50,45,55,40,51,41,54,40,50,44,50,40,1.0
36,46,44,54,37,57,47,47,39,49,46,48,38,56,38,48,1.0
27,10,82,63,29,66,84,11,30,12,83,11,29,65,29,11,1.0
37,45,45,53,38,56,48,46,40,48,47,46,38,55,39,47,1.0
34,30,60,56,35,59,63,31,37,33,62,32,36,58,36,32,1.0
24,12,80,66,26,69,82,13,27,14,81,13,26,68,26,13,1.0
31,8,82,59,32,62,85,9,34,11,84,10,33,61,33,10,1.0
40,42,48,50,42,53,51,44,43,45,50,43,41,52,42,44,1.0
32,57,33,58,32,61,36,57,35,60,35,58,33,60,34,59,1.0
0,0,90,94,1,95,93,3,1,3,92,2,0,94,0,2,1.0
39,42,48,51,41,54,51,44,42,45,50,44,41,53,41,44,1.0
45,1,89,45,48,48,92,4,48,4,91,3,47,47,47,3,1.0
42,41,49,50,43,52,52,43,44,44,51,43,43,51,43,43,1.0
35,52,38,55,37,58,41,54,38,55,40,53,36,57,37,54,1.0
38,35,55,52,40,55,58,37,41,38,57,36,39,54,40,37,1.0
0,1,89,94,1,95,92,4,1,4,91,3,0,94,0,3,1.0
36,24,66,54,37,57,69,25,39,27,68,26,38,56,38,26,1.0
43,39,53,47,45,50,55,40,46,41,54,40,45,49,45,40,-1.0
49,37,53,41,51,44,56,39,52,40,55,39,51,43,51,39,1.0
21,13,79,69,23,72,81,14,24,15,80,13,22,71,23,14,1.0
44,38,52,48,45,50,55,40,46,41,54,40,45,49,45,40,1.0
49,17,67,41,51,44,73,22,52,23,72,22,51,43,51,22,1.0
35,31,59,55,36,58,62,32,38,34,61,33,37,57,37,33,1.0
47,40,50,43,49,46,53,42,50,43,52,41,48,45,49,42,1.0
31,7,85,59,33,62,87,8,34,9,86,7,32,61,33,8,1.0
37,43,47,53,39,56,50,45,40,46,49,45,39,55,39,45,1.0
30,10,82,60,32,63,84,11,33,12,83,11,32,62,32,11,1.0
25,11,81,65,27,68,83,12,28,13,82,11,26,67,27,12,1.0
27,12,80,63,29,66,82,13,30,14,81,12,28,65,29,13,1.0
49,33,57,43,49,45,60,34,51,36,59,35,50,44,50,35,1.0
34,54,36,56,35,59,39,55,37,57,38,55,35,58,36,56,1.0
31,56,34,59,33,62,37,58,34,59,36,57,32,61,33,58,1.0
35,29,61,55,37,58,64,31,38,32,63,30,36,57,37,31,1.0
36,50,40,54,38,57,43,52,39,53,42,52,38,56,38,52,1.0
37,45,45,53,38,56,48,46,40,48,47,46,38,55,39,47,1.0
40,42,48,50,41,53,51,43,43,45,50,43,41,52,42,44,1.0
35,52,38,55,37,58,41,54,38,55,40,53,36,57,37,54,1.0
27,12,80,63,29,66,82,13,30,14,81,12,28,65,29,13,1.0
25,12,80,65,27,68,82,13,28,14,81,12,26,67,27,13,1.0
28,11,81,62,30,65,83,12,31,13,82,11,29,64,30,12,1.0
42,46,44,48,44,51,47,48,45,49,46,46,42,50,44,48,1.0
0,0,90,94,1,95,93,3,1,3,92,2,0,94,0,2,1.0
38,52,38,52,38,55,41,52,41,55,40,52,38,54,40,54,1.0
37,8,84,53,39,56,86,9,40,10,85,8,38,55,39,9,-1.0
42,39,51,50,42,52,54,40,44,42,53,41,43,51,43,41,1.0
42,40,48,50,42,52,52,42,44,44,51,43,43,51,43,43,1.0
34,46,46,56,36,59,48,47,37,48,47,47,36,58,36,47,1.0
0,0,90,94,1,95,93,3,1,3,92,2,0,94,0,2,1.0
51,37,53,41,51,43,56,38,53,40,55,39,52,42,52,39,1.0
45,41,49,47,45,49,52,42,47,44,51,43,46,48,46,43,1.0
32,50,40,58,33,61,43,51,35,53,42,51,33,60,34,52,1.0
37,51,39,53,38,56,42,52,40,54,41,52,38,55,39,53,1.0
26,12,80,64,28,67,82,13,29,14,81,13,28,66,28,13,1.0
53,35,55,37,55,40,58,37,56,38,57,35,53,39,55,37,1.0
32,12,78,58,33,61,81,13,35,15,80,13,33,60,34,14,1.0
22,11,81,68,24,71,83,12,25,13,82,12,24,70,24,12,1.0
47,40,50,43,49,46,53,42,50,43,52,41,48,45,49,42,1.0
37,34,56,53,39,56,59,36,40,37,58,35,38,55,39,36,1.0
49,40,50,41,50,44,53,41,52,43,52,40,49,43,51,42,1.0
43,38,52,49,44,51,55,40,45,41,54,40,44,50,44,40,1.0
37,30,60,53,38,56,63,31,40,33,62,31,38,55,39,32,1.0
26,13,79,64,28,67,81,14,29,15,80,13,27,66,28,14,1.0
43,43,47,47,44,50,50,44,46,46,49,45,45,49,45,45,-1.0
50,38,52,40,51,43,55,39,53,41,54,39,51,42,52,40,1.0
43,39,51,47,45,50,54,41,46,42,53,41,45,49,45,41,-1.0
35,52,38,55,36,58,41,53,38,55,40,54,37,57,37,54,1.0
43,44,46,47,45,50,49,46,46,47,48,45,44,49,45,46,-1.0
45,44,46,45,46,48,49,45,48,47,48,44,45,47,47,46,-1.0
