@relation 'Sax dominant'

@attribute o1atLee numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMaa numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute destClass {1,3,2}

@data
4,86,13,63,36,32,94,89,5,42,49,71,19,44,22,46,6,1,7,45,22,88,6,72,21,44,49,73,5,72,6,45,6,0,95,0,0,50,0,49,0,23,0,22,0,94,1
4,88,8,68,39,33,94,90,4,43,50,76,16,43,17,45,5,1,6,44,17,89,5,77,17,44,50,78,4,77,5,44,5,0,95,0,0,51,0,50,0,18,0,17,0,94,3
5,83,17,57,38,28,94,87,7,37,52,66,22,41,27,43,8,1,9,42,27,86,8,67,25,40,52,68,7,67,8,42,8,0,95,0,0,53,0,52,0,28,0,27,0,94,3
5,83,17,57,38,30,94,87,7,38,51,66,22,42,27,44,8,1,9,43,27,86,8,67,25,41,51,68,7,67,8,43,8,0,95,0,0,52,0,51,0,28,0,27,0,94,2
3,87,17,55,44,24,94,90,4,31,57,65,22,36,28,38,5,1,6,37,28,89,5,66,26,35,57,67,4,66,5,37,5,0,95,0,0,58,0,57,0,29,0,28,0,94,3
3,85,13,53,45,21,94,89,4,30,59,65,22,34,27,36,6,1,7,35,27,88,4,65,27,35,59,68,5,67,6,35,6,0,95,0,0,60,0,59,0,28,0,27,0,94,3
4,84,10,66,27,45,94,88,6,51,38,74,14,55,19,57,7,1,8,56,19,87,6,74,18,55,38,76,6,75,7,56,7,0,95,0,0,39,0,38,0,20,0,19,0,94,1
3,87,9,77,50,18,94,90,4,31,63,80,13,31,13,32,5,1,6,31,13,89,4,80,13,31,63,82,5,81,5,31,5,0,95,0,0,64,0,63,0,14,0,13,0,94,1
4,86,16,56,39,27,94,89,5,36,53,66,22,40,27,42,6,1,7,41,27,88,6,67,26,40,53,68,5,67,6,41,6,0,95,0,0,54,0,53,0,28,0,27,0,94,3
3,83,14,68,47,23,94,88,6,34,59,73,19,34,20,36,7,1,8,34,20,87,6,73,18,33,59,75,6,74,6,35,7,0,95,0,0,60,0,59,0,21,0,20,0,94,1
3,85,14,70,42,24,94,89,5,37,56,74,18,37,19,39,6,1,7,38,19,88,5,74,18,37,56,76,5,75,6,38,6,0,95,0,0,57,0,56,0,20,0,19,0,94,3
3,85,13,57,43,23,94,89,4,32,57,67,20,36,25,38,6,1,7,37,25,88,5,68,25,37,57,70,5,69,6,37,6,0,95,0,0,58,0,57,0,26,0,25,0,94,1
3,87,19,51,43,25,94,90,4,31,56,62,24,37,31,39,5,1,6,38,31,89,5,63,29,36,56,64,4,63,5,38,5,0,95,0,0,57,0,56,0,32,0,31,0,94,3
4,84,17,55,39,29,94,88,6,36,52,65,22,41,28,43,7,1,8,42,28,87,7,66,26,40,52,67,6,66,7,42,7,0,95,0,0,53,0,52,0,29,0,28,0,94,1
5,83,17,57,39,27,94,87,7,36,53,66,22,40,27,42,8,1,9,41,27,86,8,67,26,40,53,68,7,67,8,41,8,0,95,0,0,54,0,53,0,28,0,27,0,94,3
4,88,7,71,41,33,94,90,4,42,51,78,14,43,15,44,5,1,6,43,15,89,5,79,15,43,51,80,5,79,5,43,5,0,95,0,0,52,0,51,0,16,0,15,0,94,3
3,85,14,70,43,25,94,89,5,37,56,74,18,37,19,39,6,1,7,38,19,88,5,74,18,37,56,76,5,75,6,38,6,0,95,0,0,57,0,56,0,20,0,19,0,94,3
4,84,17,55,38,30,94,88,6,37,51,65,22,42,28,44,7,1,8,43,28,87,7,66,26,41,51,67,6,66,7,43,7,0,95,0,0,52,0,51,0,29,0,28,0,94,2
3,85,13,55,41,23,94,89,4,33,56,66,21,37,26,39,6,1,7,38,26,88,5,67,26,38,56,69,5,68,6,38,6,0,95,0,0,57,0,56,0,27,0,26,0,94,2
4,86,13,65,36,34,94,89,5,43,48,72,18,45,21,47,6,1,7,46,21,88,6,73,21,46,48,74,5,73,6,46,6,0,95,0,0,49,0,48,0,22,0,21,0,94,1
3,87,13,71,47,21,94,90,4,33,60,75,17,33,18,35,5,1,6,34,18,89,4,75,18,34,60,77,4,76,5,34,5,0,95,0,0,61,0,60,0,19,0,18,0,94,3
5,83,17,57,38,30,94,87,7,38,51,66,22,42,27,44,8,1,9,43,27,86,8,67,25,41,51,68,7,67,8,43,8,0,95,0,0,52,0,51,0,28,0,27,0,94,2
3,87,13,57,41,23,94,90,4,32,56,68,19,37,25,39,5,1,6,38,25,89,5,69,25,38,56,70,4,69,5,38,5,0,95,0,0,57,0,56,0,26,0,25,0,94,2
5,83,17,57,38,28,94,87,7,37,52,66,22,41,27,43,8,1,9,42,27,86,8,67,25,40,52,68,7,67,8,42,8,0,95,0,0,53,0,52,0,28,0,27,0,94,3
3,83,14,68,43,25,94,88,6,37,56,73,19,37,20,39,7,1,8,37,20,87,6,73,18,36,56,75,6,74,6,38,7,0,95,0,0,57,0,56,0,21,0,20,0,94,3
4,84,17,55,40,24,94,88,6,33,55,65,22,38,28,40,7,1,8,39,28,87,7,66,26,37,55,67,6,66,7,39,7,0,95,0,0,56,0,55,0,29,0,28,0,94,3
4,84,18,54,37,27,94,88,6,35,52,64,22,41,29,43,7,1,8,42,29,87,7,65,27,40,52,66,6,65,7,42,7,0,95,0,0,53,0,52,0,30,0,29,0,94,2
3,83,15,69,47,19,94,88,6,31,61,73,18,32,20,34,7,1,8,32,20,87,6,73,18,31,61,75,6,74,6,33,7,0,95,0,0,62,0,61,0,21,0,20,0,94,3
3,87,13,57,41,21,94,90,4,31,57,68,19,36,25,38,5,1,6,37,25,89,5,69,25,37,57,70,4,69,5,37,5,0,95,0,0,58,0,57,0,26,0,25,0,94,3
3,85,14,70,46,22,94,89,5,34,59,74,18,34,19,36,6,1,7,34,19,88,5,74,17,33,59,76,5,75,5,35,6,0,95,0,0,60,0,59,0,20,0,19,0,94,2
3,85,12,60,45,21,94,89,4,32,59,69,20,34,23,36,6,1,7,35,23,88,5,70,22,34,59,72,5,71,6,35,6,0,95,0,0,60,0,59,0,24,0,23,0,94,2
4,88,13,61,37,31,94,90,4,38,50,70,17,43,23,45,5,1,6,44,23,89,5,71,22,43,50,72,4,71,5,44,5,0,95,0,0,51,0,50,0,24,0,23,0,94,3
4,84,17,55,35,31,94,88,6,38,49,65,21,44,28,46,7,1,8,45,28,87,7,66,27,44,49,67,6,66,7,45,7,0,95,0,0,50,0,49,0,29,0,28,0,94,2
3,85,9,65,48,20,94,89,4,29,61,73,15,32,19,34,6,1,7,33,19,88,5,74,19,33,61,76,5,75,6,33,6,0,95,0,0,62,0,61,0,20,0,19,0,94,3
3,85,14,70,40,26,94,89,5,39,54,74,18,39,19,41,6,1,7,40,19,88,5,74,18,39,54,76,5,75,6,40,6,0,95,0,0,55,0,54,0,20,0,19,0,94,3
4,84,18,54,41,27,94,88,6,34,54,64,23,39,29,41,7,1,8,40,29,87,7,65,27,38,54,66,6,65,7,40,7,0,95,0,0,55,0,54,0,30,0,29,0,94,3
3,87,12,74,38,26,94,90,4,40,53,77,15,40,16,42,5,1,6,41,16,89,4,77,16,41,53,79,4,78,5,41,5,0,95,0,0,54,0,53,0,17,0,16,0,94,1
3,83,15,71,46,24,94,88,6,35,58,74,18,35,19,37,7,1,8,36,19,87,6,74,18,35,58,76,6,75,7,36,7,0,95,0,0,59,0,58,0,20,0,19,0,94,3
5,83,17,55,39,25,94,87,7,34,54,65,22,39,28,41,8,1,9,40,28,86,8,66,26,38,54,67,7,66,8,40,8,0,95,0,0,55,0,54,0,29,0,28,0,94,3
3,83,14,68,43,27,94,88,6,38,55,73,19,38,20,40,7,1,8,39,20,87,6,73,19,38,55,75,6,74,7,39,7,0,95,0,0,56,0,55,0,21,0,20,0,94,3
3,85,14,70,41,23,94,89,5,37,56,74,18,37,19,39,6,1,7,38,19,88,5,74,19,38,56,76,5,75,6,38,6,0,95,0,0,57,0,56,0,20,0,19,0,94,1
4,86,14,58,37,31,94,89,5,39,50,68,20,43,25,45,6,1,7,44,25,88,6,69,24,43,50,70,5,69,6,44,6,0,95,0,0,51,0,50,0,26,0,25,0,94,3
4,84,15,55,40,24,94,88,6,32,55,66,20,38,27,40,7,1,8,39,27,87,7,67,26,38,55,68,6,67,7,39,7,0,95,0,0,56,0,55,0,28,0,27,0,94,3
3,85,14,56,41,23,94,89,4,32,56,66,20,37,26,39,6,1,7,38,26,88,5,67,25,37,56,69,5,68,6,38,6,0,95,0,0,57,0,56,0,27,0,26,0,94,3
4,84,14,58,37,27,94,88,6,37,52,68,20,41,25,43,7,1,8,42,25,87,7,69,24,41,52,70,6,69,7,42,7,0,95,0,0,53,0,52,0,26,0,25,0,94,3
3,87,14,56,39,25,94,90,4,34,54,67,20,39,26,41,5,1,6,40,26,89,5,68,25,39,54,69,4,68,5,40,5,0,95,0,0,55,0,54,0,27,0,26,0,94,2
3,85,13,57,45,21,94,89,4,30,59,67,20,34,25,36,6,1,7,35,25,88,5,68,25,35,59,70,5,69,6,35,6,0,95,0,0,60,0,59,0,26,0,25,0,94,3
3,85,15,55,43,23,94,89,4,31,57,65,21,36,27,38,6,1,7,37,27,88,5,66,25,35,57,68,5,67,6,37,6,0,95,0,0,58,0,57,0,28,0,27,0,94,1
3,85,14,56,43,23,94,89,4,32,57,66,21,36,26,38,6,1,7,37,26,88,5,67,23,34,57,69,5,68,6,37,6,0,95,0,0,58,0,57,0,27,0,26,0,94,2
4,84,15,61,37,29,94,88,6,38,51,69,19,42,24,44,7,1,8,43,24,87,7,70,22,41,51,71,6,70,7,43,7,0,95,0,0,52,0,51,0,25,0,24,0,94,1
3,83,14,68,42,26,94,88,6,38,55,73,19,38,20,40,7,1,8,38,20,87,6,73,18,37,55,75,6,74,6,39,7,0,95,0,0,56,0,55,0,21,0,20,0,94,2
3,83,15,67,43,23,94,88,6,36,57,72,20,36,21,38,7,1,8,36,21,87,6,72,19,35,57,74,6,73,6,37,7,0,95,0,0,58,0,57,0,22,0,21,0,94,3
5,83,17,57,39,29,94,87,7,37,52,66,22,41,27,43,8,1,9,42,27,86,8,67,25,40,52,68,7,67,8,42,8,0,95,0,0,53,0,52,0,28,0,27,0,94,3
3,85,14,54,41,23,94,89,4,32,56,65,21,37,27,39,6,1,7,38,27,88,5,66,27,38,56,68,5,67,6,38,6,0,95,0,0,57,0,56,0,28,0,27,0,94,3
3,85,12,56,40,24,94,89,4,34,55,67,20,38,25,40,6,1,7,39,25,88,4,67,25,39,55,70,5,69,6,39,6,0,95,0,0,56,0,55,0,26,0,25,0,94,3
4,88,10,64,37,33,94,90,4,41,49,73,16,44,20,46,5,1,6,45,20,89,5,74,19,44,49,75,4,74,5,45,5,0,95,0,0,50,0,49,0,21,0,20,0,94,1
5,83,17,57,39,29,94,87,7,37,52,66,22,41,27,43,8,1,9,42,27,86,8,67,25,40,52,68,7,67,8,42,8,0,95,0,0,53,0,52,0,28,0,27,0,94,1
4,88,12,64,36,38,94,90,4,44,46,72,17,47,21,49,5,1,6,48,21,89,5,73,21,48,46,74,4,73,5,48,5,0,95,0,0,47,0,46,0,22,0,21,0,94,3
5,85,15,61,37,29,94,88,6,39,51,69,20,42,24,44,7,1,8,43,24,87,7,70,22,41,51,71,6,70,7,43,7,0,95,0,0,52,0,51,0,25,0,24,0,94,3
3,87,14,56,41,25,94,90,4,32,55,67,19,38,26,40,5,1,6,39,26,89,5,68,26,39,55,69,4,68,5,39,5,0,95,0,0,56,0,55,0,27,0,26,0,94,3
3,85,14,70,43,25,94,89,5,37,56,74,18,37,19,39,6,1,7,38,19,88,5,74,18,37,56,76,5,75,6,38,6,0,95,0,0,57,0,56,0,20,0,19,0,94,3
3,83,12,70,50,18,94,88,6,29,63,75,16,30,18,32,7,1,8,31,18,87,6,75,18,31,63,77,6,76,7,31,7,0,95,0,0,64,0,63,0,19,0,18,0,94,3
3,87,11,73,46,16,94,90,3,30,62,76,14,31,16,33,5,1,6,32,16,89,5,78,15,31,62,79,4,78,5,32,5,0,95,0,0,63,0,62,0,17,0,16,0,94,3
3,87,9,77,53,13,94,90,3,26,67,79,12,26,13,28,5,1,6,27,13,89,5,81,13,27,67,82,4,81,5,27,5,0,95,0,0,68,0,67,0,14,0,13,0,94,2
3,85,14,54,43,21,94,89,4,30,58,65,21,35,27,37,6,1,7,36,27,88,5,66,27,36,58,68,5,67,6,36,6,0,95,0,0,59,0,58,0,28,0,27,0,94,3
3,83,13,67,48,20,94,88,6,30,61,73,17,32,20,34,7,1,8,33,20,87,6,73,20,33,61,75,6,74,7,33,7,0,95,0,0,62,0,61,0,21,0,20,0,94,3
4,84,18,54,38,26,94,88,6,34,53,64,22,40,29,42,7,1,8,41,29,87,7,65,28,40,53,66,6,65,7,41,7,0,95,0,0,54,0,53,0,30,0,29,0,94,3
3,83,15,67,44,26,94,88,6,37,56,72,20,37,21,39,7,1,8,37,21,87,6,72,19,36,56,74,6,73,6,38,7,0,95,0,0,57,0,56,0,22,0,21,0,94,1
3,83,14,70,48,18,94,88,6,30,62,74,17,31,19,33,7,1,8,31,19,87,6,74,17,30,62,76,6,75,6,32,7,0,95,0,0,63,0,62,0,20,0,19,0,94,3
5,83,17,57,38,26,94,87,7,36,53,66,22,40,27,42,8,1,9,41,27,86,8,67,25,39,53,68,7,67,8,41,8,0,95,0,0,54,0,53,0,28,0,27,0,94,1
3,85,13,55,41,23,94,89,4,32,56,66,20,37,26,39,6,1,7,38,26,88,5,67,26,38,56,69,5,68,6,38,6,0,95,0,0,57,0,56,0,27,0,26,0,94,1
4,86,14,62,37,29,94,89,5,39,51,70,19,42,23,44,6,1,7,43,23,88,6,71,22,42,51,72,5,71,6,43,6,0,95,0,0,52,0,51,0,24,0,23,0,94,3
3,85,14,54,45,21,94,89,4,30,59,65,22,34,27,36,6,1,7,35,27,88,5,66,26,34,59,68,5,67,6,35,6,0,95,0,0,60,0,59,0,28,0,27,0,94,3
4,88,8,66,40,32,94,90,4,42,51,75,17,43,18,44,5,1,6,43,18,89,5,76,18,43,51,77,5,76,5,43,5,0,95,0,0,52,0,51,0,19,0,18,0,94,1
3,85,10,64,46,22,94,89,4,31,59,72,16,34,20,36,6,1,7,35,20,88,5,73,19,34,59,75,5,74,6,35,6,0,95,0,0,60,0,59,0,21,0,20,0,94,3
3,85,14,70,42,24,94,89,5,37,56,74,18,37,19,39,6,1,7,38,19,88,5,74,19,38,56,76,5,75,6,38,6,0,95,0,0,57,0,56,0,20,0,19,0,94,3
3,85,14,52,43,23,94,89,4,31,57,64,22,36,28,38,6,1,7,37,28,88,5,65,27,36,57,67,5,66,6,37,6,0,95,0,0,58,0,57,0,29,0,28,0,94,1
4,86,17,55,40,26,94,89,5,35,54,65,23,39,28,41,6,1,7,40,28,88,6,66,26,38,54,67,5,66,6,40,6,0,95,0,0,55,0,54,0,29,0,28,0,94,1
3,85,14,70,51,21,94,89,5,31,62,74,18,31,19,33,6,1,7,32,19,88,5,74,19,32,62,76,5,75,6,32,6,0,95,0,0,63,0,62,0,20,0,19,0,94,1
4,88,9,67,37,35,94,90,4,44,48,75,16,45,18,47,5,1,6,46,18,89,5,76,18,46,48,77,4,76,5,46,5,0,95,0,0,49,0,48,0,19,0,18,0,94,3
3,85,13,57,43,23,94,89,4,32,57,67,20,36,25,38,6,1,7,37,25,88,5,68,25,37,57,70,5,69,6,37,6,0,95,0,0,58,0,57,0,26,0,25,0,94,3
3,85,15,67,45,23,94,89,5,35,58,72,20,35,21,37,6,1,7,35,21,88,5,72,19,34,58,74,5,73,5,36,6,0,95,0,0,59,0,58,0,22,0,21,0,94,3
3,85,13,55,43,23,94,89,4,31,57,66,20,36,26,38,6,1,7,37,26,88,5,67,24,35,57,69,5,68,6,37,6,0,95,0,0,58,0,57,0,27,0,26,0,94,2
4,84,17,55,41,27,94,88,6,34,54,65,22,39,28,41,7,1,8,40,28,87,7,66,27,39,54,67,6,66,7,40,7,0,95,0,0,55,0,54,0,29,0,28,0,94,3
3,83,15,65,45,23,94,88,6,35,58,71,21,35,22,37,7,1,8,36,22,87,6,71,22,36,58,73,6,72,7,36,7,0,95,0,0,59,0,58,0,23,0,22,0,94,3
3,87,20,52,44,24,94,90,4,31,57,62,25,36,31,38,5,1,6,37,31,89,5,63,29,35,57,64,4,63,5,37,5,0,95,0,0,58,0,57,0,32,0,31,0,94,2
3,83,14,66,48,22,94,88,6,33,60,72,20,33,21,35,7,1,8,33,21,87,6,72,19,32,60,74,6,73,6,34,7,0,95,0,0,61,0,60,0,22,0,21,0,94,1
4,86,17,55,42,26,94,89,5,35,55,65,24,38,28,40,6,1,7,39,28,88,6,66,26,37,55,67,5,66,6,39,6,0,95,0,0,56,0,55,0,29,0,28,0,94,2
4,86,11,67,37,33,94,89,5,42,49,74,16,44,19,46,6,1,7,45,19,88,6,75,19,45,49,76,5,75,6,45,6,0,95,0,0,50,0,49,0,20,0,19,0,94,3
5,83,17,57,39,27,94,87,7,36,53,66,22,40,27,42,8,1,9,41,27,86,8,67,26,40,53,68,7,67,8,41,8,0,95,0,0,54,0,53,0,28,0,27,0,94,3
3,83,15,71,44,26,94,88,6,37,56,74,18,37,19,39,7,1,8,38,19,87,6,74,18,37,56,76,6,75,7,38,7,0,95,0,0,57,0,56,0,20,0,19,0,94,3
3,85,12,56,40,24,94,89,4,34,55,67,20,38,25,40,6,1,7,39,25,88,4,67,25,39,55,70,5,69,6,39,6,0,95,0,0,56,0,55,0,26,0,25,0,94,2
4,88,9,65,38,34,94,90,4,42,49,74,16,44,19,46,5,1,6,45,19,89,5,75,19,45,49,76,4,75,5,45,5,0,95,0,0,50,0,49,0,20,0,19,0,94,1
5,83,17,57,38,28,94,87,7,37,52,66,22,41,27,43,8,1,9,42,27,86,8,67,25,40,52,68,7,67,8,42,8,0,95,0,0,53,0,52,0,28,0,27,0,94,2
5,83,12,62,27,45,94,87,7,50,38,71,16,55,22,57,8,1,9,56,22,86,7,71,19,53,38,73,7,72,8,56,8,0,95,0,0,39,0,38,0,23,0,22,0,94,1
4,86,17,55,40,26,94,89,5,34,54,65,22,39,28,41,6,1,7,40,28,88,6,66,27,39,54,67,5,66,6,40,6,0,95,0,0,55,0,54,0,29,0,28,0,94,3
3,87,13,71,43,23,94,90,4,36,57,75,17,36,18,38,5,1,6,37,18,89,4,75,18,37,57,77,4,76,5,37,5,0,95,0,0,58,0,57,0,19,0,18,0,94,1
3,85,14,70,38,28,94,89,5,41,52,74,18,41,19,43,6,1,7,42,19,88,5,74,18,41,52,76,5,75,6,42,6,0,95,0,0,53,0,52,0,20,0,19,0,94,1
3,87,9,75,49,19,94,90,4,31,62,79,13,31,14,33,5,1,6,32,14,89,4,79,14,32,62,81,4,80,5,32,5,0,95,0,0,63,0,62,0,15,0,14,0,94,3
3,83,14,66,41,25,94,88,6,38,55,72,20,38,21,40,7,1,8,38,21,87,6,72,19,37,55,74,6,73,6,39,7,0,95,0,0,56,0,55,0,22,0,21,0,94,2
4,84,17,55,38,26,94,88,6,35,53,65,22,40,28,42,7,1,8,41,28,87,7,66,27,40,53,67,6,66,7,41,7,0,95,0,0,54,0,53,0,29,0,28,0,94,3
4,84,17,55,40,26,94,88,6,34,54,65,22,39,28,41,7,1,8,40,28,87,7,66,26,38,54,67,6,66,7,40,7,0,95,0,0,55,0,54,0,29,0,28,0,94,3
3,87,20,52,44,24,94,90,4,31,57,62,25,36,31,38,5,1,6,37,31,89,5,63,29,35,57,64,4,63,5,37,5,0,95,0,0,58,0,57,0,32,0,31,0,94,2
4,86,20,52,43,25,94,89,5,32,56,62,25,37,31,39,6,1,7,38,31,88,6,63,28,35,56,64,5,63,6,38,6,0,95,0,0,57,0,56,0,32,0,31,0,94,3
3,87,20,52,43,25,94,90,4,32,56,62,25,37,31,39,5,1,6,38,31,89,5,63,29,36,56,64,4,63,5,38,5,0,95,0,0,57,0,56,0,32,0,31,0,94,1
3,89,8,72,45,23,94,91,3,35,58,78,14,35,15,37,4,1,5,36,15,90,4,79,15,36,58,80,3,79,4,36,4,0,95,0,0,59,0,58,0,16,0,15,0,94,3
4,84,17,55,40,26,94,88,6,33,54,65,21,39,28,41,7,1,8,40,28,87,7,66,27,39,54,67,6,66,7,40,7,0,95,0,0,55,0,54,0,29,0,28,0,94,3
3,83,14,68,48,22,94,88,6,33,60,73,19,33,20,35,7,1,8,33,20,87,6,73,18,32,60,75,6,74,6,34,7,0,95,0,0,61,0,60,0,21,0,20,0,94,1
3,83,15,65,43,25,94,88,6,37,56,71,21,37,22,39,7,1,8,38,22,87,6,71,21,37,56,73,6,72,7,38,7,0,95,0,0,57,0,56,0,23,0,22,0,94,3
4,84,16,60,37,33,94,88,6,40,49,68,20,44,25,46,7,1,8,45,25,87,7,69,23,43,49,70,6,69,7,45,7,0,95,0,0,50,0,49,0,26,0,25,0,94,3
