@relation 'Sax dominant'

@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atLccc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o2atMaaa numeric
@attribute o2atMabb numeric
@attribute o2atLabb numeric
@attribute o2atMbbc numeric
@attribute o2atLbbc numeric
@attribute o2atLccc numeric
@attribute o2atMaab numeric
@attribute o2atLaab numeric
@attribute o2atMbbb numeric
@attribute o2atLbbb numeric
@attribute o2atMbcc numeric
@attribute o2atLbcc numeric
@attribute o2atMbba numeric
@attribute o2atLbba numeric
@attribute o2atMbaa numeric
@attribute o2atLbaa numeric
@attribute o2atMabc numeric
@attribute o2atLabc numeric
@attribute o2atMbab numeric
@attribute o2atLbab numeric
@attribute o2atMccb numeric
@attribute o2atLccb numeric
@attribute o2atMaba numeric
@attribute o2atLaba numeric
@attribute o2atMcbb numeric
@attribute o2atLcbb numeric
@attribute o3atMbba numeric
@attribute o3atLbba numeric
@attribute o3atMaaa numeric
@attribute o3atMabb numeric
@attribute o3atLabb numeric
@attribute o3atLccc numeric
@attribute o3atMcbb numeric
@attribute o3atLcbb numeric
@attribute o3atMccb numeric
@attribute o3atLccb numeric
@attribute o3atMbbb numeric
@attribute o3atLbbb numeric
@attribute o3atMbaa numeric
@attribute o3atLbaa numeric
@attribute o3atMaab numeric
@attribute o3atLaab numeric
@attribute o3atMbbc numeric
@attribute o3atLbbc numeric
@attribute o3atMbcc numeric
@attribute o3atLbcc numeric
@attribute o3atMabc numeric
@attribute o3atLabc numeric
@attribute o3atMbab numeric
@attribute o3atLbab numeric
@attribute o3atMcbc numeric
@attribute o3atLcbc numeric
@attribute o3atMaba numeric
@attribute o3atLaba numeric
@attribute destClass {2.0,3.0,7.0,6.0,4.0,5.0,1.0}

@data
17,12,15,30,11,16,13,17,12,16,13,15,13,0,30,0,30,0,30,0,30,0,30,0,17,11,30,0,14,15,13,23,7,6,15,14,22,12,24,7,16,13,15,14,16,8,16,12,22,6,14,14,22,6,0,30,0,0,30,11,18,13,19,12,17,30,0,30,0,30,17,11,17,11,0,11,0,30,18,11,0,30,5.0
17,11,17,30,11,17,11,19,12,18,13,17,12,0,30,0,30,0,30,0,30,0,30,0,18,11,30,0,12,14,15,21,10,8,13,16,20,14,22,9,14,15,13,16,14,10,14,14,20,8,12,16,20,8,12,18,10,11,17,12,17,14,18,13,16,17,11,19,11,18,16,12,16,12,11,12,12,17,17,12,10,18,5.0
25,3,25,30,3,25,3,27,4,26,5,25,4,0,30,0,30,0,30,0,30,0,30,0,26,3,30,0,4,6,23,18,13,11,5,24,17,22,19,12,6,23,5,24,6,13,6,22,17,11,4,24,17,11,11,18,9,11,18,4,25,6,26,5,24,17,10,19,10,19,24,4,24,4,11,4,11,17,25,4,9,19,2.0
15,14,13,30,13,14,15,15,14,14,15,13,15,0,30,0,30,0,30,0,30,0,30,0,15,13,30,0,15,16,12,21,9,8,16,13,20,11,22,9,17,12,16,13,17,10,17,11,20,8,15,13,20,8,0,30,0,0,30,5,24,7,25,6,23,30,0,30,0,30,23,5,23,5,0,5,0,30,24,5,0,30,3.0
18,10,18,30,10,18,10,20,11,19,12,18,11,0,30,0,30,0,30,0,30,0,30,0,19,10,30,0,8,10,19,22,9,7,9,20,21,18,23,8,10,19,9,20,10,9,10,18,21,7,8,20,21,7,4,26,2,3,25,10,19,12,20,11,18,25,3,27,3,26,18,10,18,10,3,10,4,25,19,10,2,26,4.0
30,0,30,30,0,30,0,30,0,30,0,30,0,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,4,8,22,24,7,5,6,24,23,20,25,6,6,21,5,22,8,7,7,20,23,5,4,23,23,5,0,30,0,0,30,10,19,12,20,11,18,30,0,30,0,30,18,10,18,10,0,10,0,30,19,10,0,30,4.0
18,11,16,30,10,17,12,18,11,17,12,16,12,0,30,0,30,0,30,0,30,0,30,0,18,10,30,0,12,14,15,23,8,6,13,16,22,14,24,7,14,15,13,16,14,8,14,14,22,6,12,16,22,6,10,20,8,9,19,14,15,16,16,15,14,19,9,21,9,20,14,14,14,14,9,14,10,19,15,14,8,20,5.0
0,30,0,24,30,0,30,0,30,0,30,0,30,4,25,6,26,5,24,5,24,4,24,4,0,30,25,4,1,1,27,30,0,0,1,27,30,27,30,0,3,28,2,29,1,0,2,27,30,0,1,28,30,0,16,12,16,18,13,10,18,10,18,10,18,12,16,12,17,14,19,12,20,11,18,12,17,12,19,10,16,13,1.0
10,20,7,28,18,8,21,9,19,8,20,7,21,0,29,1,30,0,29,1,29,0,28,0,9,18,29,0,0,2,26,30,0,0,0,27,30,24,30,0,3,26,1,28,2,0,2,25,30,0,0,28,30,0,13,15,13,15,16,13,15,13,15,13,15,15,13,15,14,17,16,15,17,14,15,15,14,15,16,13,13,16,3.0
15,14,13,30,13,14,15,15,14,14,15,13,15,0,30,0,30,0,30,0,30,0,30,0,15,13,30,0,16,17,11,26,4,3,17,12,25,10,27,4,18,11,17,12,18,5,18,10,25,3,16,12,25,3,0,30,0,0,30,17,11,19,12,18,10,30,0,30,0,30,11,18,11,17,0,18,0,30,12,17,0,30,4.0
12,17,10,30,16,11,18,12,17,11,18,10,18,0,30,0,30,0,30,0,30,0,30,0,12,16,30,0,14,14,14,30,0,0,14,14,30,14,30,0,16,15,15,16,14,0,15,14,30,0,14,15,30,0,0,29,0,1,30,24,3,26,4,25,2,29,0,29,0,30,3,26,4,25,1,26,0,29,4,24,0,30,3.0
0,30,0,30,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,0,30,30,0,17,18,10,30,0,0,18,11,29,9,30,0,19,10,18,11,19,1,19,9,29,0,17,11,29,0,0,30,0,0,30,21,8,23,9,22,7,30,0,30,0,30,7,21,7,21,0,21,0,30,8,21,0,30,3.0
24,7,22,30,6,23,8,22,6,22,6,22,7,0,30,0,30,0,30,0,30,0,30,0,23,6,30,0,9,12,17,27,3,2,11,19,26,15,28,3,11,16,10,17,13,4,12,15,26,2,9,18,26,2,0,30,0,0,30,14,15,16,16,15,14,30,0,30,0,30,14,14,14,14,0,14,0,30,15,14,0,30,4.0
28,3,26,30,2,27,4,26,2,26,2,26,3,0,30,0,30,0,30,0,30,0,30,0,27,2,30,0,18,19,11,20,10,9,19,12,19,10,21,10,18,10,18,10,20,11,19,10,19,9,18,11,19,9,0,30,0,0,30,8,21,10,22,9,20,30,0,30,0,30,20,8,20,8,0,8,0,30,21,8,0,30,3.0
11,20,9,30,19,10,21,9,19,9,19,9,20,0,30,0,30,0,30,0,30,0,30,0,10,19,30,0,13,15,14,30,0,0,14,15,30,13,30,0,15,14,14,15,15,0,15,13,30,0,13,15,30,0,4,24,4,5,25,23,5,23,5,23,5,24,4,24,5,26,6,24,7,24,6,25,5,24,6,23,4,25,5.0
20,8,20,30,8,20,8,22,9,21,10,20,9,0,30,0,30,0,30,0,30,0,30,0,21,8,30,0,9,10,18,13,16,15,10,19,12,17,14,16,11,18,10,19,11,17,11,17,13,16,9,19,12,16,0,30,0,0,30,0,30,0,30,0,30,30,0,30,0,30,30,0,30,0,0,0,0,30,30,0,0,30,4.0
7,22,5,25,21,6,23,7,22,6,23,5,23,2,26,4,27,3,25,4,26,3,25,3,7,21,26,2,18,20,9,26,5,3,19,10,25,8,27,4,20,9,19,10,20,5,20,8,25,3,18,10,25,3,0,30,0,0,30,18,11,20,12,19,10,30,0,30,0,30,10,18,10,18,0,18,0,30,11,18,0,30,1.0
30,0,30,30,0,30,0,30,0,30,0,30,0,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,13,15,14,17,13,12,14,15,16,13,18,13,15,13,14,14,16,14,15,13,16,12,14,15,16,12,0,30,0,0,30,7,22,9,23,8,21,30,0,30,0,30,21,7,21,7,0,7,0,30,22,7,0,30,6.0
9,22,7,30,21,8,23,7,21,7,21,7,22,0,30,0,30,0,30,0,30,0,30,0,8,21,30,0,19,22,7,29,1,0,21,9,28,5,30,1,21,6,20,7,23,2,22,5,28,0,19,8,28,0,4,26,2,3,25,15,14,17,15,16,13,25,3,27,3,26,13,15,13,15,3,15,4,25,14,15,2,26,4.0
14,15,12,30,14,13,16,14,15,13,16,12,16,0,30,0,30,0,30,0,30,0,30,0,14,14,30,0,0,0,30,30,0,0,0,30,30,30,30,0,0,30,0,30,0,0,0,30,30,0,0,30,30,0,13,15,13,15,16,12,16,12,16,12,16,15,13,15,14,17,17,14,18,13,15,14,14,15,17,12,13,16,3.0
23,5,23,30,5,23,5,25,6,24,7,23,6,0,30,0,30,0,30,0,30,0,30,0,24,5,30,0,8,10,19,19,12,10,9,20,18,18,20,11,10,19,9,20,10,12,10,18,18,10,8,20,18,10,11,19,9,10,18,13,16,15,17,14,15,18,10,20,10,19,15,13,15,13,10,13,11,18,16,13,9,19,2.0
6,25,4,15,24,5,26,4,24,4,24,4,25,8,17,12,19,10,15,12,18,10,16,11,5,24,18,8,17,18,12,19,11,10,18,13,18,11,20,11,17,11,17,11,19,12,18,11,18,10,17,12,18,10,10,19,8,10,19,11,18,13,19,12,17,18,9,20,9,20,17,11,17,11,10,11,10,18,18,11,8,20,2.0
17,13,13,30,11,15,15,15,12,14,13,13,14,0,30,0,30,0,30,0,30,0,30,0,16,11,30,0,17,19,12,20,11,9,18,13,19,11,21,10,17,11,17,11,19,11,18,11,19,9,17,12,19,9,0,30,0,0,30,12,16,14,17,13,15,30,0,30,0,30,16,13,16,12,0,13,0,30,17,12,0,30,6.0
28,0,28,30,0,28,0,30,1,29,2,28,1,0,30,0,30,0,30,0,30,0,30,0,29,0,30,0,5,7,22,22,9,7,6,23,21,21,23,8,7,22,6,23,7,9,7,21,21,7,5,23,21,7,11,20,9,9,19,15,14,17,15,16,13,19,10,21,9,19,13,15,13,15,9,15,10,19,14,15,9,20,3.0
21,10,19,30,9,20,11,19,9,19,9,19,10,0,30,0,30,0,30,0,30,0,30,0,20,9,30,0,16,19,10,21,9,8,18,12,20,9,22,9,18,9,17,10,20,10,19,9,20,8,17,11,20,8,0,30,0,0,30,8,21,10,22,9,20,30,0,30,0,30,20,8,20,8,0,8,0,30,21,8,0,30,6.0
27,1,27,30,1,27,1,29,2,28,3,27,2,0,30,0,30,0,30,0,30,0,30,0,28,1,30,0,4,6,23,19,12,10,5,24,18,22,20,11,6,23,5,24,6,12,6,22,18,10,4,24,18,10,4,25,2,4,25,4,25,6,26,5,24,24,3,26,3,26,24,4,24,4,4,4,4,24,25,4,2,26,2.0
8,22,6,24,21,7,23,7,22,6,22,6,23,2,25,4,26,3,24,4,26,3,25,4,7,21,26,2,15,17,14,18,13,11,16,15,17,13,19,12,15,13,15,13,17,13,16,13,17,11,15,14,17,11,8,21,6,8,21,11,18,13,19,12,17,20,7,22,7,22,17,11,17,11,8,11,8,20,18,11,6,22,7.0
20,11,18,30,10,19,12,18,10,18,10,18,11,0,30,0,30,0,30,0,30,0,30,0,19,10,30,0,18,21,8,30,0,0,20,10,30,7,30,0,20,8,19,9,21,0,21,7,30,0,18,9,30,0,0,30,0,0,30,19,10,21,11,20,9,30,0,30,0,30,9,19,9,19,0,19,0,30,10,19,0,30,4.0
27,4,25,30,3,26,5,25,3,25,3,25,4,0,30,0,30,0,30,0,30,0,30,0,26,3,30,0,18,19,11,20,10,9,19,12,19,10,21,10,18,10,18,10,20,11,19,10,19,9,18,11,19,9,0,30,0,0,30,12,15,14,16,13,14,30,0,30,0,30,15,14,16,13,0,14,0,30,16,12,0,30,2.0
0,30,0,24,30,0,30,0,30,0,30,0,30,2,25,4,26,3,24,4,26,3,25,4,0,30,26,2,19,21,9,23,8,6,20,10,22,8,24,7,20,8,20,9,21,8,21,8,22,6,19,9,22,6,7,22,5,7,22,14,15,16,16,15,14,21,6,23,6,23,14,14,14,14,7,14,7,21,15,14,5,23,5.0
16,12,16,30,12,16,12,18,13,17,14,16,13,0,30,0,30,0,30,0,30,0,30,0,17,12,30,0,5,7,22,16,15,13,6,23,15,21,17,14,7,22,6,23,7,15,7,21,15,13,5,23,15,13,23,7,19,21,6,1,28,3,29,2,27,5,21,9,20,7,27,1,27,1,21,1,22,5,28,1,19,8,2.0
23,6,21,30,5,22,7,23,6,22,7,21,7,0,30,0,30,0,30,0,30,0,30,0,23,5,30,0,8,10,19,20,11,9,9,20,19,18,21,10,10,19,9,20,10,11,10,18,19,9,8,20,19,9,0,30,0,0,30,7,22,9,23,8,21,30,0,30,0,30,21,7,21,7,0,7,0,30,22,7,0,30,2.0
15,13,15,30,13,15,13,17,14,16,15,15,14,0,30,0,30,0,30,0,30,0,30,0,16,13,30,0,11,13,16,22,9,7,12,17,21,15,23,8,13,16,12,17,13,9,13,15,21,7,11,17,21,7,14,16,12,13,15,12,17,14,18,13,16,15,13,17,13,16,16,12,16,12,13,12,14,15,17,12,12,16,4.0
21,7,21,26,7,21,7,23,8,22,9,21,8,2,26,2,26,2,26,3,28,3,27,4,22,7,27,2,0,0,30,3,26,24,0,30,2,30,4,25,0,30,0,30,0,26,0,30,4,25,0,30,3,26,20,9,18,19,9,3,24,5,25,4,23,8,19,10,19,10,24,4,25,4,20,5,20,8,25,3,18,10,1.0
18,10,18,30,10,18,10,20,11,19,12,18,11,0,30,0,30,0,30,0,30,0,30,0,19,10,30,0,7,9,20,21,10,8,8,21,20,19,22,9,9,20,8,21,9,10,9,19,20,8,7,21,20,8,12,19,10,10,18,14,15,16,16,15,14,18,11,20,10,18,14,14,14,14,10,14,11,18,15,14,10,19,4.0
12,17,10,30,16,11,18,12,17,11,18,10,18,0,30,0,30,0,30,0,30,0,30,0,12,16,30,0,13,14,14,20,10,9,14,15,19,13,21,10,15,14,14,15,15,11,15,13,19,9,13,15,19,9,0,30,0,0,30,10,19,12,20,11,18,30,0,30,0,30,18,10,18,10,0,10,0,30,19,10,0,30,4.0
14,15,12,30,14,13,16,14,15,13,16,12,16,0,30,0,30,0,30,0,30,0,30,0,14,14,30,0,14,15,15,16,14,13,15,16,15,14,17,14,14,14,14,14,16,15,15,14,15,13,14,15,15,13,10,19,8,10,19,7,22,9,23,8,21,18,9,20,9,20,21,7,21,7,10,7,10,18,22,7,8,20,7.0
22,7,20,30,6,21,8,22,7,21,8,20,8,0,30,0,30,0,30,0,30,0,30,0,22,6,30,0,12,13,15,21,9,8,13,16,20,14,22,9,14,15,13,16,14,10,14,14,20,8,12,16,20,8,0,30,0,0,30,10,19,12,20,11,18,30,0,30,0,30,18,10,18,10,0,10,0,30,19,10,0,30,4.0
5,25,3,30,24,4,26,4,25,3,25,3,26,0,30,0,30,0,30,0,30,0,30,0,4,24,30,0,17,18,12,19,11,10,18,13,18,11,20,11,17,11,17,11,19,12,18,11,18,10,17,12,18,10,8,21,6,8,21,13,16,15,17,14,15,20,7,22,7,22,15,13,15,13,8,13,8,20,16,13,6,22,7.0
22,6,20,30,5,21,7,23,7,21,8,20,8,0,30,0,30,0,30,0,30,0,30,0,22,5,30,0,0,0,29,30,0,0,0,29,30,29,30,0,1,30,0,30,0,0,0,29,30,0,0,30,30,0,10,18,10,12,19,15,13,15,13,15,13,18,10,18,11,20,14,17,15,16,12,17,11,18,14,15,10,19,3.0
14,16,10,30,14,12,18,12,15,11,16,10,17,0,30,0,30,0,30,0,30,0,30,0,13,14,30,0,22,23,7,24,6,5,23,8,23,6,25,6,22,6,22,6,24,7,23,6,23,5,22,7,23,5,7,23,5,6,22,16,13,18,14,17,12,22,6,24,6,23,12,16,12,16,6,16,7,22,13,16,5,23,7.0
15,15,11,30,13,13,17,13,14,12,15,11,16,0,30,0,30,0,30,0,30,0,30,0,14,13,30,0,15,17,12,30,0,0,16,13,30,11,30,0,17,12,16,13,17,0,17,11,30,0,15,13,30,0,2,26,2,4,27,20,7,22,8,21,6,26,2,26,3,28,7,22,8,21,4,22,3,26,8,20,2,27,6.0
28,3,26,30,2,27,4,26,2,26,2,26,3,0,30,0,30,0,30,0,30,0,30,0,27,2,30,0,9,11,18,21,9,8,10,19,20,16,22,9,11,17,10,18,12,10,11,16,20,8,9,19,20,8,0,30,0,0,30,12,17,14,18,13,16,30,0,30,0,30,16,12,16,12,0,12,0,30,17,12,0,30,6.0
29,0,29,30,0,29,0,30,0,30,1,29,0,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,0,0,30,9,20,18,0,30,8,30,10,19,0,30,0,30,0,20,0,30,10,19,0,30,9,20,11,18,9,11,18,7,21,7,21,7,21,17,10,19,10,19,22,9,23,8,11,9,11,17,22,7,9,19,2.0
4,25,2,27,24,3,26,4,25,3,26,2,26,0,28,1,29,0,28,1,29,0,28,1,4,24,29,0,19,21,8,27,4,2,20,9,26,7,28,3,21,8,20,9,21,4,21,7,26,2,19,9,26,2,0,30,0,0,30,20,9,22,10,21,8,30,0,30,0,30,8,20,8,20,0,20,0,30,9,20,0,30,1.0
5,26,3,30,25,4,27,3,25,3,25,3,26,0,30,0,30,0,30,0,30,0,30,0,4,25,30,0,19,21,10,22,9,7,20,11,21,9,23,8,19,9,19,9,21,9,20,9,21,7,19,10,21,7,3,26,1,3,26,14,15,16,16,15,14,25,2,27,2,27,14,14,14,14,3,14,3,25,15,14,1,27,6.0
30,0,28,30,0,29,1,29,0,28,0,29,1,0,30,0,30,0,30,0,30,0,30,0,29,0,30,0,10,13,17,17,14,12,11,18,16,15,18,13,12,16,11,17,13,14,12,15,16,12,10,18,16,12,0,30,0,0,30,4,25,6,26,5,24,30,0,30,0,30,24,4,24,4,0,4,0,30,25,4,0,30,5.0
19,10,17,30,9,18,11,19,10,18,11,17,11,0,30,0,30,0,30,0,30,0,30,0,19,9,30,0,13,14,14,21,9,8,14,15,20,13,22,9,15,14,14,15,15,10,15,13,20,8,13,15,20,8,0,30,0,0,30,11,18,13,19,12,17,30,0,30,0,30,17,11,17,11,0,11,0,30,18,11,0,30,6.0
22,5,21,30,4,21,6,24,6,22,8,21,7,0,30,0,30,0,30,0,30,0,30,0,23,5,30,0,11,12,16,19,11,10,12,17,18,15,20,11,13,16,12,17,13,12,13,15,18,10,11,17,18,10,5,24,3,5,24,6,22,8,23,7,21,23,4,25,4,25,22,7,22,6,5,7,5,23,23,6,3,25,2.0
16,13,14,30,12,15,14,16,13,15,14,14,14,0,30,0,30,0,30,0,30,0,30,0,16,12,30,0,11,13,16,21,10,8,12,17,20,15,22,9,13,16,12,17,13,10,13,15,20,8,11,17,20,8,7,22,5,7,22,7,22,9,23,8,21,21,6,23,6,23,21,7,21,7,7,7,7,21,22,7,5,23,3.0
22,6,22,30,6,22,6,24,7,23,8,22,7,0,30,0,30,0,30,0,30,0,30,0,23,6,30,0,6,8,21,14,17,15,7,22,13,20,15,16,8,21,7,22,8,17,8,20,13,15,6,22,13,15,10,20,6,8,19,1,28,3,29,2,27,18,8,22,7,20,27,1,27,1,8,1,9,18,28,1,6,21,4.0
18,10,18,30,10,18,10,20,11,19,12,18,11,0,30,0,30,0,30,0,30,0,30,0,19,10,30,0,10,12,17,20,11,9,11,18,19,16,21,10,12,17,11,18,12,11,12,16,19,9,10,18,19,9,11,18,9,11,18,10,19,12,20,11,18,17,10,19,10,19,18,10,18,10,11,10,11,17,19,10,9,19,5.0
20,8,20,30,8,20,8,22,9,21,10,20,9,0,30,0,30,0,30,0,30,0,30,0,21,8,30,0,11,13,16,19,12,10,12,17,18,15,20,11,13,16,12,17,13,12,13,15,18,10,11,17,18,10,12,18,10,11,17,11,18,13,19,12,17,17,11,19,11,18,17,11,17,11,11,11,12,17,18,11,10,18,4.0
13,18,11,30,17,12,19,11,17,11,17,11,18,0,30,0,30,0,30,0,30,0,30,0,12,17,30,0,15,16,11,30,0,0,15,12,30,10,30,0,18,12,16,14,16,0,17,11,30,0,15,13,30,0,0,29,0,0,30,25,2,27,3,26,1,29,0,29,0,30,2,26,3,26,1,27,0,29,3,25,0,30,3.0
20,9,18,30,8,19,10,20,9,19,10,18,10,0,30,0,30,0,30,0,30,0,30,0,20,8,30,0,12,13,15,19,11,10,13,16,18,14,20,11,14,15,13,16,14,12,14,14,18,10,12,16,18,10,0,30,0,0,30,7,20,9,21,8,19,30,0,30,0,30,20,9,21,8,0,9,0,30,21,7,0,30,5.0
24,7,22,27,6,23,8,22,6,22,6,22,7,0,28,2,29,1,27,2,28,1,27,1,23,6,28,0,23,25,6,26,5,3,24,7,25,5,27,4,23,5,23,5,25,5,24,5,25,3,23,6,25,3,0,30,0,0,30,18,10,20,11,19,9,30,0,30,0,30,10,19,10,18,0,19,0,30,11,18,0,30,1.0
1,28,0,30,27,0,28,2,28,1,29,0,29,0,30,0,30,0,30,0,30,0,30,0,1,27,30,0,19,20,10,21,9,8,20,11,20,9,22,9,19,9,19,9,21,10,20,9,20,8,19,10,20,8,8,21,6,8,21,13,16,15,17,14,15,20,7,22,7,22,15,13,15,13,8,13,8,20,16,13,6,22,7.0
7,22,5,30,21,6,23,7,22,6,23,5,23,0,30,0,30,0,30,0,30,0,30,0,7,21,30,0,13,15,16,16,15,13,14,17,15,15,17,14,13,15,13,15,15,15,14,15,15,13,13,16,15,13,7,22,5,7,22,9,20,11,21,10,19,21,6,23,6,23,19,9,19,9,7,9,7,21,20,9,5,23,5.0
