@relation 'Sax dominant'

@attribute o1atMff numeric
@attribute o1atLff numeric
@attribute o1atMgg numeric
@attribute o1atLgg numeric
@attribute o1atMee numeric
@attribute o1atLee numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMef numeric
@attribute o1atLef numeric
@attribute o1atMfg numeric
@attribute o1atLfg numeric
@attribute o1atMgf numeric
@attribute o1atLgf numeric
@attribute o1atMfe numeric
@attribute o1atLfe numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMgh numeric
@attribute o1atLgh numeric
@attribute o1atMhg numeric
@attribute o1atLhg numeric
@attribute o1atMii numeric
@attribute o1atLii numeric
@attribute o1atMhh numeric
@attribute o1atLhh numeric
@attribute o1atMih numeric
@attribute o1atLih numeric
@attribute o1atMaa numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMhi numeric
@attribute o1atLhi numeric
@attribute o1atMfh numeric
@attribute o1atLfh numeric
@attribute o1atMjj numeric
@attribute o1atLjj numeric
@attribute o1atMjk numeric
@attribute o1atLjk numeric
@attribute o1atMkj numeric
@attribute o1atLkj numeric
@attribute o1atLkk numeric
@attribute o1atMij numeric
@attribute o1atLij numeric
@attribute o1atMji numeric
@attribute o1atLji numeric
@attribute o1atMeg numeric
@attribute o1atLeg numeric
@attribute o1atMdf numeric
@attribute o1atLdf numeric
@attribute o1atMge numeric
@attribute o1atLge numeric
@attribute o2atMbb numeric
@attribute o2atLbb numeric
@attribute o2atMjj numeric
@attribute o2atLjj numeric
@attribute o2atLkk numeric
@attribute o2atMbc numeric
@attribute o2atLbc numeric
@attribute o2atMcd numeric
@attribute o2atLcd numeric
@attribute o2atMde numeric
@attribute o2atLde numeric
@attribute o2atMgh numeric
@attribute o2atLgh numeric
@attribute o2atMhi numeric
@attribute o2atLhi numeric
@attribute o2atMij numeric
@attribute o2atLij numeric
@attribute o2atMjk numeric
@attribute o2atLjk numeric
@attribute o2atMeg numeric
@attribute o2atLeg numeric
@attribute o2atMcc numeric
@attribute o2atLcc numeric
@attribute o2atMii numeric
@attribute o2atLii numeric
@attribute o2atMce numeric
@attribute o2atLce numeric
@attribute o2atMgj numeric
@attribute o2atLgj numeric
@attribute o2atMdc numeric
@attribute o2atLdc numeric
@attribute o2atMcb numeric
@attribute o2atLcb numeric
@attribute o2atMkj numeric
@attribute o2atLkj numeric
@attribute o2atMji numeric
@attribute o2atLji numeric
@attribute o2atMaa numeric
@attribute o2atMab numeric
@attribute o2atLab numeric
@attribute o2atMef numeric
@attribute o2atLef numeric
@attribute o2atMfg numeric
@attribute o2atLfg numeric
@attribute o2atMgi numeric
@attribute o2atLgi numeric
@attribute o2atMee numeric
@attribute o2atLee numeric
@attribute o2atMdd numeric
@attribute o2atLdd numeric
@attribute o2atMed numeric
@attribute o2atLed numeric
@attribute o2atMeh numeric
@attribute o2atLeh numeric
@attribute o2atMhk numeric
@attribute o2atLhk numeric
@attribute o2atMik numeric
@attribute o2atLik numeric
@attribute o2atMdg numeric
@attribute o2atLdg numeric
@attribute o2atMba numeric
@attribute o2atLba numeric
@attribute o2atMff numeric
@attribute o2atLff numeric
@attribute o2atMfe numeric
@attribute o2atLfe numeric
@attribute o2atMgg numeric
@attribute o2atLgg numeric
@attribute o2atMgf numeric
@attribute o2atLgf numeric
@attribute o2atMei numeric
@attribute o2atLei numeric
@attribute o2atMhj numeric
@attribute o2atLhj numeric
@attribute o2atMbd numeric
@attribute o2atLbd numeric
@attribute o2atMdh numeric
@attribute o2atLdh numeric
@attribute o2atMdf numeric
@attribute o2atLdf numeric
@attribute o2atMfh numeric
@attribute o2atLfh numeric
@attribute o2atMhh numeric
@attribute o2atLhh numeric
@attribute o2atMih numeric
@attribute o2atLih numeric
@attribute o2atMfi numeric
@attribute o2atLfi numeric
@attribute o2atMhg numeric
@attribute o2atLhg numeric
@attribute o2atMcf numeric
@attribute o2atLcf numeric
@attribute o2atMfj numeric
@attribute o2atLfj numeric
@attribute o2atMfd numeric
@attribute o2atLfd numeric
@attribute o2atMac numeric
@attribute o2atLac numeric
@attribute o3atLkk numeric
@attribute o3atMjj numeric
@attribute o3atLjj numeric
@attribute o3atMcc numeric
@attribute o3atLcc numeric
@attribute o3atMdd numeric
@attribute o3atLdd numeric
@attribute o3atMee numeric
@attribute o3atLee numeric
@attribute o3atMbc numeric
@attribute o3atLbc numeric
@attribute o3atMcd numeric
@attribute o3atLcd numeric
@attribute o3atMde numeric
@attribute o3atLde numeric
@attribute o3atMef numeric
@attribute o3atLef numeric
@attribute o3atMkj numeric
@attribute o3atLkj numeric
@attribute o3atMji numeric
@attribute o3atLji numeric
@attribute o3atMih numeric
@attribute o3atLih numeric
@attribute o3atMhg numeric
@attribute o3atLhg numeric
@attribute o3atMgf numeric
@attribute o3atLgf numeric
@attribute o3atMfe numeric
@attribute o3atLfe numeric
@attribute o3atMed numeric
@attribute o3atLed numeric
@attribute o3atMdc numeric
@attribute o3atLdc numeric
@attribute o3atMcb numeric
@attribute o3atLcb numeric
@attribute o3atMhh numeric
@attribute o3atLhh numeric
@attribute o3atMgg numeric
@attribute o3atLgg numeric
@attribute o3atMff numeric
@attribute o3atLff numeric
@attribute o3atMfg numeric
@attribute o3atLfg numeric
@attribute o3atMgh numeric
@attribute o3atLgh numeric
@attribute o3atMii numeric
@attribute o3atLii numeric
@attribute o3atMbd numeric
@attribute o3atLbd numeric
@attribute o3atMgi numeric
@attribute o3atLgi numeric
@attribute o3atMik numeric
@attribute o3atLik numeric
@attribute o3atMdg numeric
@attribute o3atLdg numeric
@attribute o3atMbb numeric
@attribute o3atLbb numeric
@attribute o3atMij numeric
@attribute o3atLij numeric
@attribute o3atMjk numeric
@attribute o3atLjk numeric
@attribute o3atMdf numeric
@attribute o3atLdf numeric
@attribute o3atMaa numeric
@attribute o3atMab numeric
@attribute o3atLab numeric
@attribute o3atMeg numeric
@attribute o3atLeg numeric
@attribute o3atMba numeric
@attribute o3atLba numeric
@attribute o3atMhj numeric
@attribute o3atLhj numeric
@attribute o3atMdh numeric
@attribute o3atLdh numeric
@attribute o3atMhi numeric
@attribute o3atLhi numeric
@attribute o3atMce numeric
@attribute o3atLce numeric
@attribute o3atMeh numeric
@attribute o3atLeh numeric
@attribute o3atMfi numeric
@attribute o3atLfi numeric
@attribute o3atMge numeric
@attribute o3atLge numeric
@attribute o3atMfh numeric
@attribute o3atLfh numeric
@attribute o3atMcf numeric
@attribute o3atLcf numeric
@attribute o3atMhk numeric
@attribute o3atLhk numeric
@attribute o3atMfd numeric
@attribute o3atLfd numeric
@attribute o3atMgj numeric
@attribute o3atLgj numeric
@attribute o3atMcg numeric
@attribute o3atLcg numeric
@attribute o3atMac numeric
@attribute o3atLac numeric
@attribute o3atMig numeric
@attribute o3atLig numeric
@attribute o3atMei numeric
@attribute o3atLei numeric
@attribute o3atMec numeric
@attribute o3atLec numeric
@attribute o3atMhf numeric
@attribute o3atLhf numeric
@attribute destClass {2,3,7,6,4,5,1}

@data
20,14,28,9,15,17,12,25,4,31,0,31,16,15,21,10,21,10,16,15,13,18,5,26,0,31,0,31,5,26,0,31,13,18,29,2,29,2,31,0,31,1,31,0,0,0,31,31,0,21,2,31,0,31,0,31,0,0,31,0,31,0,16,10,13,15,16,10,15,24,21,10,9,16,15,18,13,18,12,20,11,20,11,21,10,22,10,19,12,18,14,20,10,18,13,20,11,18,12,16,15,21,9,20,10,5,6,25,19,12,19,12,20,11,18,12,18,12,18,12,19,12,21,10,21,10,19,12,6,25,19,12,18,12,19,11,19,11,19,11,21,11,16,13,19,12,19,12,20,12,20,11,20,10,20,11,19,11,19,13,20,11,18,12,6,15,6,22,12,9,28,12,20,13,18,2,29,10,21,12,18,13,17,24,8,19,13,17,15,16,16,15,17,14,18,13,19,10,21,2,29,16,15,15,16,14,17,14,16,15,15,18,14,2,21,15,14,18,7,12,16,1,31,18,12,23,7,12,17,0,0,31,13,16,0,31,16,12,12,15,16,14,10,18,13,15,14,14,14,17,14,15,10,17,16,7,13,18,15,12,10,16,0,29,16,15,13,14,10,19,15,16,7
31,9,31,0,20,12,17,15,15,23,7,31,21,10,31,0,31,0,21,10,18,13,16,16,8,24,7,23,15,15,0,31,18,13,31,0,31,0,31,0,31,0,31,0,0,0,31,31,0,31,0,31,0,31,0,31,0,0,31,0,31,0,21,0,18,10,21,0,11,31,19,13,11,12,20,14,18,15,17,17,15,17,14,18,13,20,12,16,16,13,19,17,13,14,17,17,14,13,17,11,19,19,11,17,13,0,0,31,15,16,16,15,17,14,15,16,14,17,14,16,16,15,18,12,18,12,15,16,0,31,15,15,15,15,16,15,15,15,16,14,18,14,12,18,15,15,15,16,16,15,17,14,17,13,16,14,16,14,14,16,16,14,14,15,0,20,8,22,10,8,25,10,21,12,19,5,26,9,22,11,20,13,18,23,9,21,11,19,11,17,13,16,15,13,18,11,20,9,22,5,26,18,12,17,14,15,17,16,15,18,13,20,11,5,22,18,12,20,8,11,15,4,28,20,10,22,8,11,18,1,2,29,13,15,2,29,19,10,11,13,19,12,9,20,13,13,16,12,13,15,16,13,9,18,19,8,11,18,18,10,9,15,2,26,18,12,13,12,9,20,16,13,2
29,2,31,1,28,4,26,10,19,21,8,31,28,2,29,1,30,2,29,3,27,5,20,11,9,22,9,22,20,11,0,31,26,4,31,0,31,0,31,0,31,0,31,0,0,0,31,31,0,29,0,31,0,31,0,31,0,0,31,0,31,0,28,1,26,2,29,2,5,31,21,9,9,6,25,8,22,13,18,21,10,21,10,21,9,22,9,20,11,8,24,21,9,9,19,21,10,9,22,6,25,21,9,21,9,0,0,31,20,11,20,10,21,10,20,17,11,21,12,18,21,11,22,10,22,9,13,11,0,31,20,10,20,10,20,10,20,10,21,10,21,10,6,22,13,11,13,11,21,10,21,10,21,9,21,10,20,10,9,11,21,10,12,10,0,25,0,31,1,0,31,0,31,0,31,0,31,0,31,0,31,0,31,31,0,30,2,28,4,17,14,10,21,0,31,0,31,0,31,0,31,27,12,15,20,9,31,10,21,17,14,29,3,0,31,17,3,29,0,0,21,0,31,29,1,31,0,0,31,0,0,31,0,21,0,31,27,1,0,14,27,3,0,31,0,14,10,3,0,21,10,14,0,31,27,0,0,31,17,1,0,21,0,31,17,4,0,3,0,31,10,14,6
31,1,31,0,29,9,20,16,13,31,0,31,30,2,31,0,31,0,29,1,21,10,14,17,0,31,0,31,14,17,0,31,21,10,31,0,31,0,31,0,31,0,31,0,0,0,31,31,0,31,0,31,0,31,0,31,0,0,31,0,31,0,30,0,21,2,29,0,10,24,23,7,6,10,20,13,17,15,15,22,8,23,8,23,8,24,6,19,9,12,19,23,8,13,15,23,8,13,18,11,20,24,7,23,7,5,6,25,19,11,22,9,23,8,18,14,15,17,16,15,19,9,23,7,24,7,16,9,6,25,22,11,19,12,22,8,22,8,19,9,23,8,11,18,16,9,16,12,22,9,22,8,22,8,23,9,22,8,13,12,23,8,16,12,6,20,0,29,8,0,31,0,31,0,31,0,31,0,31,0,31,0,31,30,1,23,9,20,12,15,16,12,19,0,31,0,31,0,31,0,31,19,15,14,18,11,31,12,19,15,16,22,11,0,31,15,11,22,1,0,19,0,31,22,8,30,1,0,31,0,0,31,0,19,0,31,19,8,0,16,19,11,0,31,0,16,12,11,0,19,12,16,0,31,19,1,0,31,15,8,0,19,0,31,15,12,0,11,0,31,12,16,6
28,3,31,2,27,5,25,22,7,31,0,31,27,3,28,2,29,3,28,4,26,6,8,23,0,31,0,31,8,23,0,31,25,5,31,0,31,0,31,0,31,0,31,0,0,0,31,31,0,28,0,31,0,31,0,31,0,0,31,0,31,0,27,2,25,3,28,3,9,25,22,9,8,10,21,15,16,20,11,21,10,21,9,22,9,23,9,21,10,14,20,21,9,15,11,22,10,15,16,10,21,22,8,21,9,4,5,26,20,10,21,10,21,10,20,10,20,15,20,10,21,10,22,9,22,9,21,11,5,26,20,10,20,10,21,10,20,10,21,10,22,9,10,16,21,10,20,11,21,10,21,9,21,9,21,10,21,9,15,11,21,10,20,10,5,21,1,29,3,0,31,0,31,1,31,0,31,0,31,0,31,2,29,30,2,28,4,26,6,17,14,11,20,2,29,0,31,0,31,0,31,25,13,16,19,10,28,11,20,17,14,27,5,0,31,17,5,27,1,0,20,0,31,27,3,29,1,0,29,0,0,31,2,20,0,31,25,3,0,14,25,5,0,31,2,14,11,5,2,20,11,14,0,29,25,1,0,29,17,3,0,20,0,31,17,6,2,5,0,31,11,14,4
26,5,29,4,25,8,22,31,0,31,0,31,25,5,26,4,27,5,26,6,23,9,0,31,0,31,0,31,0,31,0,31,22,8,30,1,30,1,31,0,31,0,31,0,0,0,31,31,0,26,1,31,0,31,0,31,0,0,31,0,31,0,25,4,22,5,26,5,10,24,24,6,6,11,20,15,15,22,8,23,7,24,7,24,7,25,6,23,8,15,19,24,7,15,9,24,7,16,15,11,20,24,6,24,6,5,6,25,23,8,23,8,24,7,22,8,22,14,22,8,23,8,24,7,25,7,23,8,6,25,23,8,22,8,23,7,23,7,23,8,24,7,11,15,23,8,23,8,23,8,23,7,23,7,24,8,23,7,16,9,24,7,22,8,6,20,2,28,5,0,31,0,31,0,31,0,31,0,31,0,31,0,31,29,3,26,6,21,10,15,16,8,23,0,31,0,31,0,31,0,31,20,15,14,22,7,31,8,23,15,16,25,9,0,31,15,10,25,2,0,23,0,31,25,5,28,2,0,31,0,0,31,0,23,0,31,21,5,0,16,21,10,0,31,0,16,8,10,0,23,8,16,0,31,21,2,0,31,15,5,0,23,0,31,15,10,0,10,0,31,8,16,4
31,0,31,0,31,10,18,22,8,31,0,31,31,0,31,0,31,0,31,0,19,11,8,22,0,31,0,31,9,23,0,31,20,12,31,0,31,0,31,0,31,0,31,0,0,0,31,31,0,31,0,31,0,31,0,31,0,0,31,0,31,0,31,0,20,0,31,0,0,31,21,10,9,0,31,3,27,6,24,20,11,20,11,21,10,22,10,10,18,3,31,20,10,4,25,20,11,4,27,0,31,21,9,20,10,0,0,31,10,22,13,18,20,11,8,24,5,26,6,25,10,12,21,10,21,10,6,18,0,31,12,20,9,21,19,16,13,17,10,11,21,11,0,27,6,12,6,22,14,12,20,11,20,10,14,11,19,11,4,22,14,11,6,21,0,31,0,30,2,11,24,20,18,23,9,6,25,12,19,21,10,23,7,31,1,29,3,28,4,27,5,25,7,24,8,21,10,12,19,6,25,27,4,26,6,24,7,24,6,26,4,28,3,6,19,26,3,28,0,21,6,5,31,28,2,30,0,21,7,0,0,31,23,6,0,31,27,2,21,4,27,3,12,10,23,4,24,3,24,7,24,4,12,7,27,0,21,8,26,2,12,6,0,25,27,4,23,3,12,10,25,5,2
31,6,31,0,23,11,18,17,12,25,4,31,24,7,31,0,31,0,24,7,19,12,13,18,5,26,5,26,13,18,0,31,19,12,31,0,31,0,31,0,31,0,31,0,0,0,31,31,0,31,0,31,0,31,0,31,0,0,31,0,31,0,24,0,19,7,24,0,8,24,22,8,8,9,22,11,19,13,17,21,9,22,9,22,9,23,8,15,10,11,21,22,9,12,18,22,9,12,19,9,22,22,8,22,8,5,6,25,15,15,21,9,22,9,15,17,12,18,13,18,15,10,22,9,23,9,13,10,6,25,21,14,16,15,21,9,21,9,16,10,22,9,9,19,13,10,13,15,21,9,21,9,21,9,22,9,21,9,12,15,22,9,13,15,6,22,2,28,5,0,31,0,31,8,31,0,31,0,31,0,31,10,21,29,3,26,6,24,8,22,10,18,13,10,21,0,31,0,31,0,31,23,9,21,12,17,19,18,13,21,9,25,7,0,31,21,7,25,2,0,13,0,31,25,5,28,2,0,21,0,0,31,10,13,0,31,23,5,0,9,23,7,0,31,10,9,18,7,10,13,18,9,0,21,23,2,0,21,21,5,0,13,0,31,22,8,10,7,0,31,18,10,5
31,0,31,0,31,8,20,21,9,27,2,31,31,0,31,0,31,0,31,0,22,10,10,22,3,28,3,28,9,21,0,31,21,9,31,0,31,0,31,0,31,0,31,0,0,0,31,31,0,31,0,31,0,31,0,31,0,0,31,0,31,0,31,0,21,0,31,0,3,31,31,0,0,3,27,10,21,23,8,31,0,31,0,31,0,31,0,31,0,9,27,31,0,10,8,31,0,10,21,4,28,31,0,31,0,0,0,31,31,0,31,0,31,0,31,7,22,20,23,8,31,0,31,0,31,0,23,0,0,31,31,0,31,0,31,0,31,0,31,0,31,0,3,21,23,0,23,0,31,0,31,0,31,0,31,0,31,0,10,0,31,0,23,0,0,27,16,13,20,3,28,3,27,4,27,3,29,3,28,4,27,4,27,14,17,10,21,8,23,7,24,4,26,4,26,3,27,3,27,2,28,7,23,6,26,4,26,5,26,6,24,9,22,3,28,7,23,10,17,4,27,2,31,9,21,14,16,4,27,0,0,31,5,27,0,31,8,21,4,24,8,22,4,28,5,24,5,23,4,26,5,24,4,27,8,17,3,26,7,21,4,27,0,29,7,23,5,23,3,27,4,24,6
28,4,31,1,25,9,20,15,14,28,1,31,26,5,29,2,29,2,26,5,21,10,15,16,2,29,2,29,15,16,0,31,21,10,31,0,31,0,31,0,31,0,31,0,0,0,31,31,0,29,0,31,0,31,0,31,0,0,31,0,31,0,26,2,21,5,26,2,9,23,26,4,4,10,21,12,18,14,16,26,5,26,5,26,4,27,4,16,7,12,20,26,4,13,17,26,5,13,18,10,21,26,4,26,4,6,7,24,16,14,24,6,26,5,16,16,13,17,14,17,17,6,27,5,27,4,14,7,7,24,23,13,17,14,25,5,24,6,17,5,26,5,10,18,14,6,14,14,25,5,26,5,26,4,25,5,25,5,13,14,25,5,14,14,7,21,4,26,11,0,31,0,31,1,31,0,31,0,31,0,31,2,29,27,5,20,12,18,14,15,16,13,18,2,29,0,31,0,31,0,31,17,15,14,17,12,28,12,18,15,15,19,13,0,31,15,13,19,4,0,18,0,31,19,11,26,4,0,29,0,0,31,2,18,0,31,17,11,0,16,17,13,0,31,2,16,13,13,2,18,13,16,0,29,17,4,0,29,15,11,0,18,0,31,15,14,2,13,0,31,13,16,5
31,0,31,0,31,3,27,14,15,31,0,31,31,0,31,0,31,0,31,0,27,3,16,15,0,31,0,31,16,15,0,31,28,4,31,0,31,0,31,0,31,0,31,0,0,0,31,31,0,31,0,31,0,31,0,31,0,0,31,0,31,0,31,0,28,0,31,0,8,26,19,11,10,9,22,12,18,15,14,18,12,19,12,19,12,20,10,18,13,12,21,19,12,12,15,19,12,13,18,9,22,20,11,19,11,3,4,27,18,13,18,13,19,12,17,14,15,17,16,15,18,13,19,11,20,11,16,13,4,27,18,13,17,13,18,12,18,12,18,13,19,12,9,18,16,13,16,13,18,13,18,12,18,12,19,13,18,12,13,14,19,12,16,13,4,22,0,31,0,0,31,0,31,0,31,0,31,0,31,0,31,0,31,31,0,31,1,29,3,20,12,10,22,0,31,0,31,0,31,0,31,28,10,18,20,8,31,9,21,19,11,30,2,0,31,19,2,30,0,0,21,0,31,30,0,31,0,0,31,0,0,31,0,21,0,31,28,0,0,11,28,2,0,31,0,11,9,2,0,22,9,11,0,31,28,0,0,31,19,0,0,21,0,31,20,3,0,2,0,31,10,12,5
31,0,31,0,31,5,22,20,9,31,0,31,31,0,31,0,31,0,31,0,24,7,10,21,0,31,0,31,10,21,0,31,24,7,31,0,31,0,31,0,31,0,31,0,0,0,31,31,0,31,0,31,0,31,0,31,0,0,31,0,31,0,31,0,24,0,31,0,0,31,31,0,0,0,31,0,31,8,23,31,0,31,0,31,0,31,0,17,0,0,31,31,0,0,23,31,0,0,31,0,31,31,0,31,0,0,0,31,17,14,31,0,31,0,16,22,7,31,8,23,17,0,31,0,31,0,8,0,0,31,31,13,17,14,31,0,31,0,17,0,31,0,0,31,8,0,8,14,31,0,31,0,31,0,31,0,31,0,0,14,31,0,8,14,0,31,15,15,15,12,23,12,18,13,18,7,24,12,19,13,18,13,18,15,15,15,15,14,16,14,16,13,17,13,17,12,18,12,18,7,24,14,16,14,17,13,17,14,17,14,17,15,16,7,19,15,17,16,16,13,18,6,31,15,16,16,15,13,18,0,0,31,14,18,0,31,15,16,13,17,15,16,13,19,14,17,14,17,13,17,14,17,13,18,15,16,12,17,15,16,13,18,0,24,14,16,14,17,12,18,13,16,6
31,4,31,0,25,9,21,13,17,31,0,31,26,5,31,0,31,0,26,5,22,10,18,14,0,31,0,31,17,13,0,31,21,9,31,0,31,0,31,0,31,0,31,0,0,0,31,31,0,31,0,31,0,31,0,31,0,0,31,0,31,0,26,0,21,5,26,0,2,31,27,3,3,3,28,10,22,16,15,26,4,27,4,27,4,28,3,23,5,8,27,27,4,10,15,27,4,9,21,3,28,27,3,27,3,0,0,31,23,8,26,5,27,4,21,13,15,20,16,14,23,5,27,4,28,4,17,5,0,31,26,7,22,8,26,4,26,4,23,5,27,4,3,22,17,5,17,9,26,5,26,4,26,4,27,5,26,4,10,9,27,4,16,8,0,28,7,23,9,0,31,7,31,12,22,0,31,0,31,8,23,12,18,24,8,22,10,20,12,18,14,16,16,13,19,8,23,0,31,0,31,19,13,17,15,15,18,15,15,17,13,21,11,0,31,17,11,21,7,8,15,0,31,21,9,23,7,8,18,0,0,31,12,15,0,31,19,9,8,13,19,11,0,23,12,13,15,11,13,16,15,13,0,18,19,7,8,19,17,9,0,15,0,31,18,12,12,11,0,23,16,14,4
31,0,31,0,31,0,31,14,15,31,0,31,31,0,31,0,31,0,31,0,31,0,16,15,0,31,0,31,16,15,0,31,31,0,31,0,31,0,31,0,31,0,31,0,0,0,31,31,0,31,0,31,0,31,0,31,0,0,31,0,31,0,31,0,31,0,31,0,4,31,25,6,5,5,26,9,22,17,14,24,7,24,7,25,6,26,6,23,8,8,25,24,6,9,14,24,7,9,22,5,26,25,5,24,6,0,0,31,23,8,23,8,24,7,22,12,16,21,17,13,23,8,25,6,25,6,18,8,0,31,23,8,22,8,23,7,23,7,23,7,25,7,5,22,18,8,18,9,24,8,24,7,24,6,24,7,23,7,9,9,24,7,17,8,0,26,8,22,13,0,31,8,31,10,21,0,31,0,31,8,22,11,19,23,9,18,14,16,16,15,17,14,18,11,20,9,22,0,31,0,31,15,16,14,17,13,19,13,17,14,16,17,15,0,31,14,15,17,8,9,17,0,31,17,13,22,8,9,20,0,0,31,11,17,0,31,15,13,9,16,15,15,0,22,11,16,13,15,11,18,13,16,0,20,15,8,9,20,14,13,0,17,0,31,15,16,11,15,0,22,14,17,7
31,0,31,0,29,6,24,31,0,31,0,31,30,1,31,0,31,0,30,1,25,7,0,31,0,31,0,31,0,31,0,31,24,6,31,0,31,0,31,0,31,0,31,0,0,0,31,31,0,31,0,31,0,31,0,31,0,0,31,0,31,0,30,0,24,1,30,0,8,25,23,8,7,9,22,12,18,21,9,22,8,22,8,23,8,24,8,22,9,12,21,22,8,12,10,23,8,13,18,9,22,23,7,22,8,4,5,26,22,9,22,9,22,8,21,9,21,17,21,9,22,9,23,8,23,8,22,9,5,26,22,9,21,9,22,8,22,8,22,9,23,8,9,18,22,9,22,9,22,9,22,8,22,8,22,9,22,8,13,10,23,9,21,9,5,22,2,28,7,0,31,0,31,8,31,0,31,0,31,0,31,9,22,29,3,24,8,19,13,17,15,13,18,9,22,0,31,0,31,0,31,18,14,16,17,12,21,13,18,16,14,23,12,0,31,16,12,23,2,0,18,0,31,23,7,28,2,0,22,0,0,31,9,18,0,31,18,7,0,14,18,12,0,31,9,14,13,12,9,18,13,14,0,22,18,2,0,22,16,7,0,18,0,31,17,13,9,12,0,31,13,15,6
29,2,31,0,28,8,21,16,13,31,0,31,28,2,30,1,30,1,29,3,22,9,14,17,0,31,0,31,14,17,0,31,22,9,31,0,31,0,31,0,31,0,31,0,0,0,31,31,0,30,0,31,0,31,0,31,0,0,31,0,31,0,28,1,22,2,29,1,8,26,22,8,8,8,22,12,18,14,16,21,9,22,9,22,9,23,8,21,10,11,21,22,9,12,16,22,9,12,19,9,22,22,8,22,8,3,4,27,21,10,21,10,22,9,20,15,14,18,15,16,21,10,22,9,23,9,15,10,4,27,21,10,20,10,21,9,21,9,21,10,22,9,9,19,15,10,15,11,21,10,21,9,21,9,22,10,21,9,12,11,22,9,15,10,4,22,4,26,7,0,31,0,31,8,31,0,31,0,31,0,31,10,21,27,5,24,8,22,10,20,12,19,13,10,21,0,31,0,31,0,31,21,11,19,12,18,19,18,12,19,11,23,9,0,31,19,9,23,4,0,12,0,31,23,7,26,4,0,21,0,0,31,10,12,0,31,21,7,0,11,21,9,0,31,10,11,18,9,10,13,18,11,0,21,21,4,0,21,19,7,0,12,0,31,20,10,10,9,0,31,19,12,4
31,0,31,0,31,6,24,15,13,23,6,31,31,0,31,0,31,0,31,0,24,6,14,16,7,24,7,24,15,17,0,31,25,7,31,0,31,0,31,0,31,0,31,0,0,0,31,31,0,31,0,31,0,31,0,31,0,0,31,0,31,0,31,0,25,0,31,0,0,31,25,6,5,0,31,6,25,11,20,24,7,24,7,25,6,26,6,23,8,5,31,24,6,6,20,24,7,6,25,0,31,25,5,24,6,0,0,31,23,9,23,8,24,7,22,19,10,24,11,20,23,8,25,6,25,6,11,8,0,31,23,8,22,8,23,7,23,7,23,7,25,7,0,25,11,8,11,9,24,8,24,7,24,6,24,7,23,7,6,9,24,7,11,8,0,31,9,21,13,7,27,10,22,11,20,3,28,8,23,10,20,11,19,22,10,18,14,16,16,15,17,14,18,12,20,11,21,8,23,3,28,15,16,14,17,13,19,13,17,14,16,17,15,3,23,14,15,17,9,10,17,2,31,17,13,21,9,10,19,0,0,31,11,17,0,31,15,13,10,16,15,15,8,20,11,16,13,15,12,18,13,16,8,19,15,9,11,20,14,13,8,17,0,28,15,16,11,15,8,21,14,17,3
31,0,31,0,31,2,28,10,20,31,0,31,31,0,31,0,31,0,31,0,28,2,20,10,0,31,0,31,21,11,0,31,29,3,31,0,31,0,31,0,31,0,31,0,0,0,31,31,0,31,0,31,0,31,0,31,0,0,31,0,31,0,31,0,29,0,31,0,0,31,18,13,12,0,31,3,28,7,24,17,14,17,14,18,13,19,13,16,15,2,31,17,13,3,24,17,14,3,28,0,31,18,12,17,13,0,0,31,16,16,16,15,17,14,15,23,6,27,7,24,16,15,18,13,18,13,7,15,0,31,16,15,15,15,16,14,16,14,16,14,18,14,0,28,7,15,7,16,17,15,17,14,17,13,17,14,16,14,3,16,17,14,7,15,0,31,0,31,1,0,31,9,31,22,18,0,31,0,31,11,20,22,8,31,0,30,2,29,3,27,5,25,7,23,9,11,20,0,31,0,31,28,4,26,6,24,8,24,6,26,4,29,2,0,31,26,2,29,0,11,6,0,31,29,1,31,0,11,8,0,0,31,22,6,0,31,28,1,11,4,28,2,0,20,22,4,24,2,23,7,24,4,0,8,28,0,11,9,26,1,0,6,0,31,27,3,22,2,0,20,25,5,3
