@relation 'Sax dominant'

@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atLee numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute destClass {2.0,3.0,7.0,6.0,4.0,5.0,1.0}

@data
57,45,48,81,12,72,33,21,13,82,49,46,60,36,73,22,49,46,13,82,73,22,59,35,60,22,49,36,13,46,2.0
70,35,56,85,8,74,23,19,9,86,58,37,71,24,75,20,58,37,9,86,75,20,71,24,71,20,58,24,9,37,6.0
69,61,30,77,16,72,24,21,17,78,32,63,70,25,73,22,32,63,17,78,73,22,70,25,70,22,32,25,17,63,5.0
69,41,50,79,12,76,22,17,14,81,52,43,71,24,77,18,52,43,14,81,77,18,71,24,71,18,52,24,14,43,4.0
67,46,47,83,10,80,23,13,11,84,47,47,70,25,81,14,48,47,11,84,81,14,69,25,70,14,48,26,11,47,4.0
71,36,54,85,6,77,22,16,8,87,56,39,72,22,78,17,56,38,8,87,78,17,72,23,72,17,57,23,8,39,4.0
67,35,57,86,5,76,26,17,7,88,59,37,68,27,77,18,58,36,7,88,77,18,68,27,68,18,59,27,7,37,6.0
69,40,50,79,12,77,24,16,14,81,53,43,69,25,78,16,52,42,14,81,78,17,70,25,70,17,53,25,14,43,7.0
64,42,51,80,13,73,29,21,14,81,51,43,65,29,74,22,52,43,14,81,73,21,65,30,65,22,52,30,14,43,5.0
57,58,33,81,12,74,33,19,13,82,35,60,60,36,75,20,35,60,13,82,75,20,59,35,60,20,35,36,13,60,2.0
60,56,33,80,13,75,30,18,14,81,35,59,63,32,76,19,36,59,14,81,76,19,62,32,63,19,36,33,14,59,3.0
67,36,55,77,14,73,26,20,16,79,57,38,68,27,74,21,57,38,16,79,74,21,68,27,68,21,57,27,16,38,7.0
63,47,46,83,10,79,29,14,11,84,47,48,65,31,80,15,47,48,11,84,80,15,64,30,65,15,47,31,11,48,4.0
68,53,37,75,18,72,24,21,19,76,40,56,70,26,73,22,39,55,19,76,73,22,69,25,70,22,40,26,19,56,3.0
64,46,47,82,11,79,28,14,12,83,48,47,66,30,80,15,48,47,12,83,80,15,65,29,66,15,48,30,12,47,2.0
66,52,40,76,17,79,26,15,18,77,42,54,68,28,80,16,41,53,18,77,79,15,67,27,68,16,42,28,18,54,2.0
73,27,66,87,6,81,20,13,7,88,67,28,74,21,82,14,67,28,7,88,81,13,74,21,74,14,67,21,7,28,2.0
59,47,45,73,18,81,33,12,20,75,47,49,61,35,82,13,46,48,20,75,82,13,60,34,61,13,47,35,20,49,6.0
69,49,42,66,24,73,24,20,27,69,44,51,70,25,74,21,44,51,26,68,74,21,70,25,70,21,44,25,27,51,3.0
74,33,56,86,7,77,19,16,8,87,59,36,75,20,78,17,59,36,8,87,78,17,75,20,75,17,59,20,8,36,2.0
64,44,49,84,9,80,28,13,10,85,50,45,66,30,81,14,50,45,10,85,81,14,65,29,66,14,50,30,10,45,3.0
63,45,48,83,10,74,29,17,11,84,49,46,65,31,76,19,49,46,11,84,76,19,64,30,65,19,49,31,11,46,2.0
72,55,37,75,18,79,21,14,19,76,39,57,73,22,80,15,38,56,19,76,80,15,73,22,73,15,39,22,19,57,3.0
61,55,38,68,25,71,30,20,26,69,39,56,63,32,73,22,39,56,26,69,73,22,63,32,63,22,39,32,26,56,1.0
74,38,54,83,10,76,20,18,11,84,56,40,75,21,77,19,55,39,11,84,76,18,74,20,75,19,56,21,11,40,2.0
68,29,64,88,5,72,25,21,6,89,65,30,69,26,73,22,65,30,6,89,73,22,69,26,69,22,65,26,6,30,4.0
71,45,46,76,15,78,21,15,17,78,48,47,73,23,79,16,48,47,17,78,79,16,72,22,73,16,48,23,17,47,3.0
63,56,35,79,14,71,28,22,15,80,37,58,65,30,72,23,37,58,15,80,72,23,65,30,65,23,37,30,15,58,1.0
73,38,50,90,3,78,20,15,4,91,54,42,74,21,79,16,53,41,4,91,79,16,74,21,74,16,54,21,4,42,3.0
67,39,49,74,17,72,26,21,19,76,53,43,68,27,73,22,52,42,19,76,73,22,68,27,68,22,53,27,19,43,5.0
66,34,57,77,12,71,27,22,15,80,59,36,67,28,72,23,59,36,15,80,72,23,67,28,67,23,59,28,15,36,1.0
52,60,31,77,17,76,37,15,17,77,33,62,55,40,78,17,33,62,18,78,78,17,55,40,55,17,33,40,17,62,1.0
67,31,59,83,10,72,26,21,11,84,62,34,68,27,73,22,61,33,11,84,73,22,68,27,68,22,62,27,11,34,7.0
80,47,45,80,13,82,14,12,14,81,47,49,81,15,83,13,46,48,14,81,82,12,80,14,81,13,47,15,14,49,1.0
54,53,38,75,16,71,40,22,17,77,40,54,55,41,72,23,40,55,18,77,72,23,54,40,55,23,40,41,18,55,2.0
58,46,47,80,11,74,32,19,13,82,48,47,61,35,75,20,48,47,13,82,75,20,60,34,61,20,48,35,13,47,4.0
62,47,46,84,9,81,29,11,10,85,47,48,64,31,83,13,47,48,10,85,82,12,64,31,64,13,47,31,10,48,1.0
69,41,53,85,8,77,24,16,9,86,53,42,70,24,78,17,53,41,9,86,78,17,70,25,70,17,54,25,9,42,6.0
71,44,49,83,8,78,22,15,10,85,50,45,72,23,79,16,50,45,10,85,79,16,72,23,72,16,50,23,10,45,5.0
67,42,49,72,17,72,26,21,20,75,51,44,68,27,73,22,51,44,20,75,73,22,68,27,68,22,51,27,20,44,4.0
65,49,41,75,16,71,27,22,18,77,43,52,67,28,72,23,43,51,18,77,72,23,66,28,67,23,44,29,18,52,3.0
70,29,64,88,5,78,23,15,6,89,64,30,71,23,79,16,65,30,6,89,79,16,71,24,71,16,65,24,6,30,7.0
70,48,45,79,12,78,23,15,14,81,46,49,71,24,79,16,46,49,14,81,79,16,71,24,71,16,46,24,14,49,6.0
60,46,47,81,12,72,30,21,13,82,48,47,62,33,73,21,48,47,13,82,73,22,62,32,63,22,48,33,13,47,4.0
71,37,53,82,11,72,23,22,12,83,56,40,72,24,73,23,55,39,12,83,72,22,71,23,72,23,56,24,12,40,5.0
70,44,49,83,10,75,22,18,11,84,50,45,72,24,76,19,50,45,11,84,76,19,71,23,72,19,50,24,11,45,4.0
71,35,56,81,10,76,21,17,12,83,58,37,73,23,77,18,58,37,12,83,77,18,72,22,73,18,58,23,12,37,4.0
63,57,34,79,14,72,29,21,15,80,36,59,65,31,73,22,36,59,15,80,73,22,64,30,65,22,36,31,15,59,3.0
65,45,46,67,23,70,28,23,26,70,48,47,66,29,71,24,48,47,25,69,71,24,66,29,66,24,48,29,26,47,2.0
65,43,50,77,14,80,26,13,16,79,51,44,66,28,81,13,51,44,16,79,81,14,67,28,67,14,51,28,16,44,6.0
58,50,40,79,14,72,33,21,15,80,43,53,60,35,73,22,42,52,15,80,73,22,60,35,60,22,43,35,15,53,6.0
60,45,48,79,14,74,30,19,15,80,48,46,63,32,75,20,49,46,15,80,75,20,62,32,63,20,49,33,15,46,5.0
72,40,49,79,12,77,21,16,14,81,52,43,72,22,78,16,52,43,14,81,78,17,73,22,73,17,52,22,14,43,5.0
59,58,32,78,15,73,32,20,16,79,34,61,61,33,74,21,34,60,16,79,74,21,61,34,61,21,35,34,16,61,6.0
65,51,40,72,19,77,25,16,21,74,42,53,68,28,78,17,42,53,21,74,78,17,67,27,68,17,42,28,21,53,6.0
60,47,46,82,11,74,30,19,12,83,47,48,62,33,75,19,47,48,12,83,75,20,62,32,63,20,47,33,12,48,4.0
68,40,50,75,16,72,25,21,18,77,53,43,69,26,73,22,52,42,18,77,73,22,69,26,69,22,53,26,18,43,5.0
68,39,51,75,16,72,25,21,18,77,54,42,69,26,73,22,53,41,18,77,73,22,69,26,69,22,54,26,18,42,4.0
68,35,55,85,6,77,25,16,8,87,58,38,68,26,78,16,57,37,8,87,78,17,69,26,69,17,58,26,8,38,7.0
71,43,51,87,6,79,21,14,7,88,51,44,73,22,80,15,51,43,7,88,80,15,72,22,73,15,52,23,7,44,3.0
72,46,43,83,10,78,19,15,11,84,46,49,74,21,79,16,46,49,11,84,79,16,74,21,74,16,46,21,11,49,2.0
62,46,47,74,17,81,29,12,19,76,48,47,64,31,82,13,48,47,19,76,82,13,64,31,64,13,48,31,19,47,6.0
61,45,48,82,11,70,31,23,12,83,48,46,63,32,71,24,49,46,12,83,71,24,62,32,63,24,49,33,12,46,1.0
64,45,48,82,11,81,28,12,12,83,49,46,66,30,82,13,49,46,12,83,82,13,65,29,66,13,49,30,12,46,2.0
74,33,56,86,7,77,19,16,8,87,59,36,75,20,78,17,59,36,8,87,78,17,75,20,75,17,59,20,8,36,2.0
69,34,57,87,6,77,22,16,7,88,58,36,71,23,78,17,59,36,7,88,78,17,71,24,71,17,59,24,7,36,5.0
67,43,50,81,12,72,25,20,13,82,51,44,68,27,74,21,51,44,13,82,73,21,68,26,69,22,51,27,13,44,5.0
68,30,63,85,8,72,25,21,9,86,64,31,69,26,73,22,64,31,9,86,73,22,69,26,69,22,64,26,9,31,7.0
65,51,40,72,19,77,25,16,21,74,42,53,68,28,78,17,42,53,21,74,78,17,67,27,68,17,42,28,21,53,6.0
66,45,48,79,12,80,25,13,14,81,49,46,67,27,81,13,49,46,14,81,81,14,68,27,68,14,49,27,14,46,6.0
65,52,39,80,13,72,27,21,14,81,41,54,67,29,73,22,41,54,14,81,73,22,66,28,67,22,41,29,14,54,4.0
69,56,35,74,17,78,23,15,19,76,37,58,71,25,79,16,37,58,19,76,79,16,70,24,71,16,37,25,19,58,5.0
68,44,47,76,15,72,25,21,17,78,49,46,69,26,73,22,49,46,17,78,73,22,69,26,69,22,49,26,17,46,2.0
69,26,68,84,9,71,25,23,10,85,69,27,70,26,72,24,68,26,10,85,71,23,69,25,70,24,69,26,10,27,5.0
67,35,56,86,7,71,26,22,8,87,58,37,68,27,72,23,58,37,8,87,72,23,68,27,68,23,58,27,8,37,4.0
62,44,49,74,17,80,29,13,19,76,50,45,64,31,81,14,50,45,19,76,81,14,64,31,64,14,50,31,19,45,5.0
70,36,56,84,9,72,24,22,10,85,58,38,71,25,73,23,57,37,10,85,72,22,70,24,71,23,58,25,10,38,4.0
59,46,45,71,20,70,32,23,22,73,47,48,61,34,71,24,47,48,22,73,71,24,61,34,61,24,47,34,22,48,7.0
63,46,44,65,26,69,29,24,28,67,47,49,65,31,70,25,46,48,28,67,70,25,64,30,65,25,47,31,28,49,2.0
65,45,48,74,17,81,27,12,19,76,48,46,67,28,82,13,49,46,19,76,82,13,66,28,67,13,49,29,19,46,6.0
67,52,39,79,12,76,25,17,14,81,41,54,69,27,77,18,41,54,14,81,77,18,68,26,69,18,41,27,14,54,6.0
64,46,47,82,11,79,26,14,12,83,47,47,67,28,80,15,48,47,12,83,80,15,66,28,67,15,48,29,12,47,4.0
63,47,46,82,11,80,28,13,12,83,47,48,64,30,81,13,47,48,12,83,81,14,65,30,65,14,47,30,12,48,4.0
71,39,50,86,6,80,20,13,8,88,53,42,73,22,81,14,53,42,7,87,81,14,73,22,73,14,53,22,8,42,2.0
72,54,35,77,14,79,21,14,16,79,38,57,73,22,80,15,38,57,16,79,80,15,73,22,73,15,38,22,16,57,5.0
68,28,63,79,12,73,26,20,14,81,65,30,69,27,74,21,65,30,14,81,74,21,68,26,69,21,65,27,14,30,6.0
70,54,37,75,16,77,22,16,18,77,39,56,72,24,78,17,39,56,18,77,78,17,71,23,72,17,39,24,18,56,5.0
66,45,49,76,15,79,25,14,17,78,50,46,67,27,80,14,49,45,17,78,80,15,68,27,68,15,50,27,17,46,5.0
77,37,55,85,8,79,17,15,9,86,57,39,78,18,80,16,56,38,9,86,79,15,77,17,78,16,57,18,9,39,6.0
74,39,49,90,3,80,19,13,4,91,53,43,75,20,81,14,52,42,4,91,81,14,75,20,75,14,53,20,4,43,4.0
68,29,63,87,6,73,25,20,7,88,65,31,69,26,74,21,64,30,7,88,74,21,69,26,69,21,65,26,7,31,7.0
69,45,48,84,9,76,24,17,10,85,49,46,69,25,77,17,49,46,10,85,77,18,70,25,70,18,49,25,10,46,6.0
72,50,41,84,9,76,21,17,10,85,43,52,73,22,77,18,43,52,10,85,77,18,73,22,73,18,43,22,10,52,4.0
68,28,65,78,13,72,25,21,15,80,66,29,69,26,73,22,66,29,15,80,73,22,69,26,69,22,66,26,15,29,3.0
74,34,56,90,4,78,19,15,5,91,59,37,75,20,79,16,58,36,4,90,79,16,75,20,75,16,59,20,5,37,3.0
75,44,45,76,15,78,18,15,17,78,48,47,76,19,79,16,48,47,17,78,79,16,76,19,76,16,48,19,17,47,2.0
58,45,49,82,11,75,32,18,12,83,50,46,61,35,76,19,49,45,12,83,76,19,60,34,61,19,50,35,12,46,5.0
57,51,40,72,19,78,34,15,21,74,42,53,59,36,79,16,42,53,21,74,79,16,59,36,59,16,42,36,21,53,1.0
51,58,33,75,16,74,37,19,18,77,35,60,55,41,75,20,35,60,18,77,75,20,54,40,55,20,35,41,18,60,3.0
