@relation 'Sax dominant'

@attribute o1atMaa numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atLcc numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute destClass {1,2}

@data
30,60,62,30,31,64,63,32,62,32,31,63,32,33,1.0
32,56,62,36,33,63,58,38,57,37,32,62,33,38,2.0
28,68,64,24,30,66,70,26,69,25,29,65,30,26,2.0
29,57,65,31,30,66,61,35,60,34,29,65,30,35,2.0
32,56,62,36,33,63,58,38,57,37,32,62,33,38,2.0
26,61,64,29,28,67,64,31,63,31,28,66,29,32,2.0
29,49,65,41,30,66,52,44,51,43,29,65,30,44,2.0
28,57,64,31,30,66,61,35,60,34,29,65,30,35,2.0
29,56,65,32,30,66,60,36,59,35,29,65,30,36,1.0
34,48,58,42,35,60,51,44,50,44,35,59,36,45,1.0
24,74,68,18,26,70,76,20,75,19,25,69,26,20,2.0
31,51,61,39,32,63,54,41,53,41,32,62,33,42,1.0
31,46,61,44,32,63,49,46,48,46,32,62,33,47,1.0
36,57,58,33,37,59,60,36,59,35,36,58,37,36,1.0
29,65,65,25,30,66,68,28,67,27,29,65,30,28,2.0
29,60,65,30,30,66,63,33,62,32,29,65,30,33,1.0
31,67,61,23,33,63,70,26,69,25,32,62,33,26,1.0
29,56,65,32,30,66,60,36,59,35,29,65,30,36,2.0
30,60,62,30,31,64,63,32,62,32,31,63,32,33,1.0
28,54,64,34,30,66,58,38,57,37,29,65,30,38,2.0
29,66,65,24,30,66,69,27,68,26,29,65,30,27,1.0
31,66,57,24,35,61,69,27,68,26,34,60,35,27,1.0
32,71,60,21,34,62,73,23,72,22,33,61,34,23,1.0
32,56,62,36,33,63,58,38,57,37,32,62,33,38,2.0
31,59,61,31,32,63,62,33,61,33,32,62,33,34,1.0
29,63,65,27,30,66,66,30,65,29,29,65,30,30,1.0
31,52,61,38,32,63,55,40,54,40,32,62,33,41,1.0
34,62,56,30,37,59,64,32,63,31,36,58,37,32,1.0
32,56,62,36,33,63,58,38,57,37,32,62,33,38,2.0
30,61,60,31,32,63,63,32,62,32,32,62,33,33,2.0
31,54,61,36,32,63,57,38,56,38,32,62,33,39,1.0
32,56,62,32,33,63,60,36,59,35,32,62,33,36,2.0
28,64,64,26,30,66,67,29,66,28,29,65,30,29,1.0
32,50,62,36,33,63,55,41,54,40,32,62,33,41,2.0
31,58,61,30,32,63,62,33,61,33,32,62,33,34,1.0
32,54,62,38,33,63,56,40,55,39,32,62,33,40,2.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
32,53,62,39,33,63,55,41,54,40,32,62,33,41,2.0
30,67,58,25,34,62,69,27,68,26,33,61,34,27,2.0
29,49,65,41,30,66,52,44,51,43,29,65,30,44,1.0
32,54,62,36,33,63,57,39,56,38,32,62,33,39,2.0
24,75,66,17,26,69,77,18,76,18,26,68,27,19,2.0
29,66,65,24,30,66,69,27,68,26,29,65,30,27,1.0
23,76,65,16,26,69,78,17,77,17,26,68,27,18,2.0
29,63,65,27,30,66,66,30,65,29,29,65,30,30,1.0
32,53,62,39,33,63,55,41,54,40,32,62,33,41,2.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
32,53,62,39,33,63,55,41,54,40,32,62,33,41,2.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
31,55,61,35,32,63,58,37,57,37,32,62,33,38,1.0
29,51,65,37,30,66,55,41,54,40,29,65,30,41,2.0
27,70,65,20,29,67,73,23,72,22,28,66,29,23,2.0
32,60,62,28,33,63,64,32,63,31,32,62,33,32,2.0
32,54,62,38,33,63,56,40,55,39,32,62,33,40,2.0
29,56,65,34,30,66,59,37,58,36,29,65,30,37,2.0
32,60,62,32,33,63,62,34,61,33,32,62,33,34,2.0
19,62,71,28,21,74,65,30,64,30,21,73,22,31,2.0
29,58,65,30,30,66,62,34,61,33,29,65,30,34,2.0
29,52,65,38,30,66,55,41,54,40,29,65,30,41,2.0
29,51,65,39,30,66,54,42,53,41,29,65,30,42,1.0
32,53,62,39,33,63,55,41,54,40,32,62,33,41,2.0
28,63,64,27,30,66,66,30,65,29,29,65,30,30,2.0
29,55,65,35,30,66,58,38,57,37,29,65,30,38,1.0
32,60,62,30,33,63,63,33,62,32,32,62,33,33,2.0
29,62,65,28,30,66,65,31,64,30,29,65,30,31,2.0
32,61,62,27,33,63,65,31,64,30,32,62,33,31,2.0
29,67,65,23,30,66,70,26,69,25,29,65,30,26,2.0
28,62,64,28,30,66,65,31,64,30,29,65,30,31,2.0
31,63,61,27,32,63,66,29,65,29,32,62,33,30,1.0
29,62,65,28,30,66,65,31,64,30,29,65,30,31,1.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
29,59,65,31,30,66,62,34,61,33,29,65,30,34,1.0
24,68,68,22,26,70,71,25,70,24,25,69,26,25,2.0
31,58,61,32,32,63,61,34,60,34,32,62,33,35,1.0
31,62,61,28,32,63,65,30,64,30,32,62,33,31,1.0
31,63,61,27,33,63,66,30,65,29,32,62,33,30,1.0
32,59,62,33,33,63,61,35,60,34,32,62,33,35,2.0
27,70,63,20,29,66,73,22,72,22,29,65,30,23,2.0
31,70,61,24,33,63,71,25,70,24,32,62,33,25,2.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
27,75,65,17,29,67,77,19,76,18,28,66,29,19,2.0
29,43,65,49,30,66,45,51,44,50,29,65,30,51,1.0
32,54,62,38,33,63,56,40,55,39,32,62,33,40,2.0
32,57,62,31,33,63,61,35,60,34,32,62,33,35,2.0
28,68,64,24,30,66,70,26,69,25,29,65,30,26,2.0
31,52,61,38,32,63,55,40,54,40,32,62,33,41,1.0
29,62,65,28,30,66,65,31,64,30,29,65,30,31,1.0
28,67,64,23,30,66,70,26,69,25,29,65,30,26,1.0
27,71,65,19,29,67,74,22,73,21,28,66,29,22,2.0
28,66,64,24,30,66,69,27,68,26,29,65,30,27,1.0
31,59,59,29,33,62,63,32,62,32,33,61,34,33,2.0
31,56,61,34,32,63,59,36,58,36,32,62,33,37,1.0
31,55,61,35,32,63,58,37,57,37,32,62,33,38,1.0
31,54,61,34,32,63,58,37,57,37,32,62,33,38,1.0
29,54,65,34,30,66,58,38,57,37,29,65,30,38,2.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
31,55,61,35,32,63,58,37,57,37,32,62,33,38,1.0
29,57,65,35,30,66,59,37,58,36,29,65,30,37,2.0
31,65,61,27,33,63,67,29,66,28,32,62,33,29,1.0
30,65,60,25,32,63,68,27,67,27,32,62,33,28,2.0
26,63,64,27,28,67,66,29,65,29,28,66,29,30,1.0
29,56,65,34,30,66,59,37,58,36,29,65,30,37,1.0
32,54,62,36,33,63,57,39,56,38,32,62,33,39,2.0
29,55,65,33,30,66,59,37,58,36,29,65,30,37,1.0
25,64,67,26,27,69,67,29,66,28,26,68,27,29,1.0
29,58,65,32,30,66,61,35,60,34,29,65,30,35,1.0
25,64,67,26,27,69,67,29,66,28,26,68,27,29,2.0
31,61,61,31,33,63,63,33,62,32,32,62,33,33,1.0
31,56,61,34,32,63,59,36,58,36,32,62,33,37,1.0
28,64,64,28,30,66,66,30,65,29,29,65,30,30,2.0
27,64,65,26,29,67,67,29,66,28,28,66,29,29,1.0
29,56,65,34,30,66,59,37,58,36,29,65,30,37,1.0
32,52,62,38,33,63,55,41,54,40,32,62,33,41,1.0
31,52,61,38,32,63,55,40,54,40,32,62,33,41,1.0
32,52,62,38,33,63,55,41,54,40,32,62,33,41,1.0
32,56,62,36,33,63,58,38,57,37,32,62,33,38,2.0
38,61,52,29,41,55,64,32,63,31,40,54,41,32,2.0
24,72,66,18,26,69,75,20,74,20,26,68,27,21,2.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
34,68,56,24,37,59,70,26,69,25,36,58,37,26,1.0
34,57,58,31,35,60,61,34,60,34,35,59,36,35,1.0
28,60,64,32,30,66,62,34,61,33,29,65,30,34,2.0
28,63,64,27,30,66,66,30,65,29,29,65,30,30,1.0
32,64,58,26,34,61,67,28,66,28,34,60,35,29,2.0
29,52,65,34,30,66,57,39,56,38,29,65,30,39,1.0
26,72,62,20,29,66,74,21,73,21,29,65,30,22,2.0
32,56,62,34,33,63,59,37,58,36,32,62,33,37,2.0
26,73,62,19,29,66,75,20,74,20,29,65,30,21,2.0
29,50,65,40,30,66,53,43,52,42,29,65,30,43,1.0
28,64,64,26,30,66,67,29,66,28,29,65,30,29,1.0
25,66,67,24,27,69,69,27,68,26,26,68,27,27,2.0
29,49,65,43,30,66,51,45,50,44,29,65,30,45,1.0
29,56,65,32,30,66,60,36,59,35,29,65,30,36,1.0
32,56,62,36,33,63,58,38,57,37,32,62,33,38,2.0
39,60,45,30,43,51,63,31,62,32,44,50,45,33,2.0
32,64,62,26,33,63,67,29,66,28,32,62,33,29,1.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
32,54,62,38,33,63,56,40,55,39,32,62,33,40,2.0
29,60,65,30,30,66,63,33,62,32,29,65,30,33,1.0
29,60,65,30,30,66,63,33,62,32,29,65,30,33,1.0
38,62,52,30,41,55,64,32,63,31,40,54,41,32,1.0
29,60,65,30,30,66,63,33,62,32,29,65,30,33,1.0
36,61,54,31,39,57,63,33,62,32,38,56,39,33,1.0
28,61,64,29,29,66,64,31,63,31,29,65,30,32,2.0
32,59,62,29,33,63,63,33,62,32,32,62,33,33,1.0
29,55,65,35,30,66,58,38,57,37,29,65,30,38,2.0
32,61,62,29,33,63,64,32,63,31,32,62,33,32,1.0
31,56,61,34,32,63,59,36,58,36,32,62,33,37,1.0
29,56,65,34,30,66,59,37,58,36,29,65,30,37,1.0
33,57,59,35,35,61,59,37,58,36,34,60,35,37,2.0
28,57,64,35,30,66,59,37,58,36,29,65,30,37,2.0
32,56,62,34,33,63,59,37,58,36,32,62,33,37,2.0
31,53,61,37,32,63,56,39,55,39,32,62,33,40,2.0
28,63,64,27,30,66,66,30,65,29,29,65,30,30,1.0
30,68,60,24,33,63,70,26,69,25,32,62,33,26,2.0
38,68,52,24,41,55,70,26,69,25,40,54,41,26,2.0
27,66,65,24,29,67,69,27,68,26,28,66,29,27,2.0
32,63,60,27,34,62,66,30,65,29,33,61,34,30,1.0
32,55,62,33,33,63,59,37,58,36,32,62,33,37,2.0
29,69,61,23,32,64,71,25,70,24,31,63,32,25,2.0
29,60,65,30,30,66,63,33,62,32,29,65,30,33,1.0
29,59,65,29,30,66,63,33,62,32,29,65,30,33,1.0
29,59,65,29,30,66,63,33,62,32,29,65,30,33,2.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
24,62,68,26,25,70,66,29,65,29,25,69,26,30,2.0
31,56,61,34,32,63,59,36,58,36,32,62,33,37,1.0
31,61,61,29,32,63,64,31,63,31,32,62,33,32,1.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
32,56,62,36,33,63,58,38,57,37,32,62,33,38,2.0
29,64,65,26,30,66,67,29,66,28,29,65,30,29,1.0
32,43,62,49,33,63,45,51,44,50,32,62,33,51,1.0
29,53,65,37,30,66,56,40,55,39,29,65,30,40,1.0
29,56,65,34,30,66,59,37,58,36,29,65,30,37,1.0
31,59,61,31,32,63,62,33,61,33,32,62,33,34,1.0
29,60,65,30,30,66,63,33,62,32,29,65,30,33,1.0
31,51,61,39,32,63,54,41,53,41,32,62,33,42,1.0
29,64,65,26,30,66,67,29,66,28,29,65,30,29,1.0
32,59,60,31,34,62,62,34,61,33,33,61,34,34,1.0
29,51,65,37,30,66,55,41,54,40,29,65,30,41,1.0
25,56,67,34,27,69,59,37,58,36,26,68,27,37,2.0
31,56,61,34,32,63,59,36,58,36,32,62,33,37,1.0
32,54,62,34,33,63,58,38,57,37,32,62,33,38,2.0
32,60,62,32,33,63,62,34,61,33,32,62,33,34,2.0
34,55,58,33,36,60,59,37,58,36,35,59,36,37,2.0
36,71,52,21,40,56,73,23,72,22,39,55,40,23,1.0
34,60,56,30,37,59,63,33,62,32,36,58,37,33,1.0
31,55,61,35,32,63,58,37,57,37,32,62,33,38,1.0
32,55,62,33,33,63,59,37,58,36,32,62,33,37,2.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
36,72,54,20,39,57,74,22,73,21,38,56,39,22,2.0
27,72,63,20,29,66,74,21,73,21,29,65,30,22,2.0
32,60,62,32,33,63,62,34,61,33,32,62,33,34,2.0
29,59,65,31,30,66,62,34,61,33,29,65,30,34,1.0
31,59,61,31,33,63,62,34,61,33,32,62,33,34,1.0
29,59,65,29,30,66,63,33,62,32,29,65,30,33,2.0
29,59,65,31,30,66,62,34,61,33,29,65,30,34,1.0
24,72,68,20,26,70,74,22,73,21,25,69,26,22,2.0
32,64,62,26,33,63,67,29,66,28,32,62,33,29,2.0
29,59,65,31,30,66,62,34,61,33,29,65,30,34,1.0
29,59,65,31,30,66,62,34,61,33,29,65,30,34,1.0
28,61,64,29,30,66,64,32,63,31,29,65,30,32,1.0
31,59,61,31,32,63,62,33,61,33,32,62,33,34,1.0
29,64,65,26,30,66,67,29,66,28,29,65,30,29,1.0
29,52,65,38,30,66,55,41,54,40,29,65,30,41,2.0
32,77,58,17,35,61,78,18,77,17,34,60,35,18,2.0
29,59,65,29,30,66,63,33,62,32,29,65,30,33,2.0
32,56,62,36,33,63,58,38,57,37,32,62,33,38,2.0
29,56,65,34,30,66,59,37,58,36,29,65,30,37,1.0
28,61,64,29,30,66,64,32,63,31,29,65,30,32,1.0
32,54,62,38,33,63,56,40,55,39,32,62,33,40,2.0
29,60,65,32,30,66,62,34,61,33,29,65,30,34,2.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
31,68,59,24,34,62,70,26,69,25,33,61,34,26,2.0
27,67,65,25,29,67,69,27,68,26,28,66,29,27,2.0
32,61,62,29,33,63,64,32,63,31,32,62,33,32,1.0
29,54,65,38,30,66,56,40,55,39,29,65,30,40,2.0
29,66,65,24,30,66,69,27,68,26,29,65,30,27,1.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
32,55,62,33,33,63,59,37,58,36,32,62,33,37,2.0
34,65,56,27,37,59,67,29,66,28,36,58,37,29,1.0
32,57,62,33,33,63,60,36,59,35,32,62,33,36,2.0
30,66,60,26,33,63,68,28,67,27,32,62,33,28,1.0
29,56,65,34,30,66,59,37,58,36,29,65,30,37,2.0
29,57,65,35,30,66,59,37,58,36,29,65,30,37,2.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
28,63,66,27,29,67,66,30,65,29,28,66,29,30,1.0
31,52,61,38,32,63,55,40,54,40,32,62,33,41,1.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
29,57,65,33,30,66,60,36,59,35,29,65,30,36,1.0
29,57,65,35,30,66,59,37,58,36,29,65,30,37,2.0
29,55,65,33,30,66,59,37,58,36,29,65,30,37,2.0
29,60,65,30,30,66,63,33,62,32,29,65,30,33,1.0
32,60,62,30,33,63,63,33,62,32,32,62,33,33,1.0
31,56,61,32,32,63,60,35,59,35,32,62,33,36,1.0
31,53,61,37,32,63,56,39,55,39,32,62,33,40,1.0
29,56,65,34,30,66,59,37,58,36,29,65,30,37,1.0
29,61,65,29,30,66,64,32,63,31,29,65,30,32,1.0
27,67,65,23,29,67,70,26,69,25,28,66,29,26,2.0
32,55,62,37,33,63,57,39,56,38,32,62,33,39,2.0
29,60,65,30,30,66,63,33,62,32,29,65,30,33,1.0
34,58,58,30,35,60,62,33,61,33,35,59,36,34,2.0
28,67,64,23,30,66,70,26,69,25,29,65,30,26,2.0
31,51,61,39,32,63,54,41,53,41,32,62,33,42,1.0
31,52,61,36,32,63,56,39,55,39,32,62,33,40,2.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
27,62,63,26,30,66,66,30,65,29,29,65,30,30,2.0
39,62,49,28,42,53,65,30,64,30,42,52,43,31,1.0
32,59,62,31,33,63,62,34,61,33,32,62,33,34,2.0
29,59,65,31,30,66,62,34,61,33,29,65,30,34,1.0
25,77,67,17,27,69,78,18,77,17,26,68,27,18,2.0
29,58,65,30,30,66,62,34,61,33,29,65,30,34,1.0
31,51,61,39,32,63,54,41,53,41,32,62,33,42,1.0
29,60,63,30,31,65,63,33,62,32,30,64,31,33,2.0
38,67,52,23,40,55,70,25,69,25,40,54,41,26,1.0
34,68,54,24,38,58,70,26,69,25,37,57,38,26,1.0
27,67,63,23,30,66,70,26,69,25,29,65,30,26,2.0
30,76,60,16,32,63,78,17,77,17,32,62,33,18,2.0
32,54,62,36,33,63,57,39,56,38,32,62,33,39,2.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
27,71,65,19,29,67,74,22,73,21,28,66,29,22,2.0
31,60,61,30,32,63,63,32,62,32,32,62,33,33,1.0
32,62,60,28,34,62,65,31,64,30,33,61,34,31,1.0
29,56,65,34,30,66,59,37,58,36,29,65,30,37,2.0
29,56,65,34,30,66,59,37,58,36,29,65,30,37,1.0
32,53,62,37,33,63,56,40,55,39,32,62,33,40,2.0
29,53,65,37,30,66,56,40,55,39,29,65,30,40,2.0
29,63,63,27,31,65,66,30,65,29,30,64,31,30,1.0
31,59,61,31,32,63,62,33,61,33,32,62,33,34,1.0
28,59,64,31,30,66,62,34,61,33,29,65,30,34,2.0
32,53,62,37,33,63,56,40,55,39,32,62,33,40,2.0
29,55,65,35,30,66,58,38,57,37,29,65,30,38,1.0
31,57,61,33,32,63,60,35,59,35,32,62,33,36,1.0
29,62,65,28,30,66,65,31,64,30,29,65,30,31,1.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
31,63,61,27,32,63,66,29,65,29,32,62,33,30,1.0
28,61,64,29,30,66,64,32,63,31,29,65,30,32,2.0
32,52,62,38,33,63,55,41,54,40,32,62,33,41,2.0
29,53,65,35,30,66,57,39,56,38,29,65,30,39,2.0
29,56,65,32,30,66,60,36,59,35,29,65,30,36,2.0
29,60,65,30,30,66,63,33,62,32,29,65,30,33,1.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
29,54,65,38,30,66,56,40,55,39,29,65,30,40,2.0
27,66,65,24,29,67,69,27,68,26,28,66,29,27,2.0
29,60,65,30,30,66,63,33,62,32,29,65,30,33,1.0
29,46,65,44,30,66,49,47,48,46,29,65,30,47,2.0
29,53,65,35,30,66,57,39,56,38,29,65,30,39,2.0
29,50,65,40,30,66,53,43,52,42,29,65,30,43,1.0
28,66,64,24,30,66,69,27,68,26,29,65,30,27,2.0
24,68,66,22,26,69,71,24,70,24,26,68,27,25,2.0
31,60,61,30,32,63,63,32,62,32,32,62,33,33,1.0
24,64,68,26,25,70,67,28,66,28,25,69,26,29,2.0
29,48,65,42,30,66,51,45,50,44,29,65,30,45,1.0
29,58,65,32,30,66,61,35,60,34,29,65,30,35,1.0
29,56,65,32,30,66,60,36,59,35,29,65,30,36,2.0
27,61,65,29,29,67,64,32,63,31,28,66,29,32,1.0
29,63,65,27,30,66,66,30,65,29,29,65,30,30,1.0
37,69,53,23,40,56,71,25,70,24,39,55,40,25,1.0
30,52,62,38,31,64,55,40,54,40,31,63,32,41,1.0
31,55,61,35,32,63,58,37,57,37,32,62,33,38,1.0
32,60,62,30,33,63,63,33,62,32,32,62,33,33,1.0
32,55,62,33,33,63,59,37,58,36,32,62,33,37,1.0
29,60,65,30,30,66,63,33,62,32,29,65,30,33,1.0
25,59,67,31,27,69,62,34,61,33,26,68,27,34,1.0
32,56,62,34,33,63,59,37,58,36,32,62,33,37,2.0
29,60,65,28,30,66,64,32,63,31,29,65,30,32,1.0
31,55,61,35,32,63,58,37,57,37,32,62,33,38,1.0
29,64,65,26,30,66,67,29,66,28,29,65,30,29,1.0
31,57,61,31,32,63,61,34,60,34,32,62,33,35,1.0
32,55,60,35,33,62,58,37,57,37,33,61,34,38,1.0
32,56,62,36,33,63,58,38,57,37,32,62,33,38,2.0
28,68,64,22,30,66,71,25,70,24,29,65,30,25,2.0
28,63,64,27,30,66,66,30,65,29,29,65,30,30,2.0
26,64,64,26,28,67,67,28,66,28,28,66,29,29,2.0
32,60,62,32,33,63,62,34,61,33,32,62,33,34,2.0
27,60,63,30,28,66,63,31,62,32,29,65,30,33,2.0
29,62,65,28,30,66,65,31,64,30,29,65,30,31,1.0
31,46,61,44,32,63,49,46,48,46,32,62,33,47,1.0
27,68,65,22,29,67,71,25,70,24,28,66,29,25,2.0
31,50,61,40,32,63,53,42,52,42,32,62,33,43,1.0
32,60,60,30,34,62,63,33,62,32,33,61,34,33,1.0
29,57,65,31,30,66,61,35,60,34,29,65,30,35,2.0
24,73,66,21,27,69,74,22,73,21,26,68,27,22,1.0
33,60,57,30,36,60,63,33,62,32,35,59,36,33,1.0
29,56,65,34,30,66,59,37,58,36,29,65,30,37,2.0
32,52,62,38,33,63,55,41,54,40,32,62,33,41,2.0
30,58,62,32,31,64,61,34,60,34,31,63,32,35,1.0
31,57,61,35,32,63,59,36,58,36,32,62,33,37,2.0
28,60,66,30,29,67,63,33,62,32,28,66,29,33,1.0
29,59,65,31,30,66,62,34,61,33,29,65,30,34,1.0
30,66,58,24,34,62,69,27,68,26,33,61,34,27,1.0
31,58,61,32,32,63,61,34,60,34,32,62,33,35,1.0
34,60,58,32,36,60,62,34,61,33,35,59,36,34,2.0
29,57,65,33,30,66,60,36,59,35,29,65,30,36,1.0
29,56,65,32,30,66,60,36,59,35,29,65,30,36,1.0
29,48,65,40,30,66,52,44,51,43,29,65,30,44,2.0
29,55,65,33,30,66,59,37,58,36,29,65,30,37,2.0
31,55,61,33,32,63,59,36,58,36,32,62,33,37,1.0
31,59,61,31,32,63,62,33,61,33,32,62,33,34,1.0
29,59,65,29,30,66,63,33,62,32,29,65,30,33,1.0
32,54,62,38,33,63,56,40,55,39,32,62,33,40,2.0
31,58,61,32,32,63,61,34,60,34,32,62,33,35,1.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
31,53,61,37,32,63,56,39,55,39,32,62,33,40,1.0
25,68,67,24,27,69,70,26,69,25,26,68,27,26,2.0
29,57,65,35,30,66,59,37,58,36,29,65,30,37,2.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
32,56,62,36,33,63,58,38,57,37,32,62,33,38,2.0
31,57,61,33,32,63,60,35,59,35,32,62,33,36,1.0
39,71,49,21,43,53,73,23,72,22,42,52,43,23,1.0
29,54,65,34,30,66,58,38,57,37,29,65,30,38,2.0
