@relation 'Sax dominant'

@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMaa numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atLee numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute destClass {2,1}

@data
73,36,58,75,13,17,79,59,37,15,81,19,77,75,21,15,77,14,76,58,36,74,20,19,18,76,14,80,59,21,15,37,15,21,18,36,19,37,58,20,19,21,1.0
78,33,59,76,11,16,81,61,35,13,83,18,78,80,16,13,78,12,77,60,34,79,15,14,17,77,12,82,61,16,13,35,13,16,17,34,18,35,60,15,18,16,2.0
75,35,57,73,12,17,80,59,37,14,82,20,76,77,19,14,76,13,75,58,36,76,18,17,19,75,13,81,59,19,14,37,14,19,19,36,20,37,58,18,20,19,1.0
74,41,53,61,12,23,80,54,42,14,82,29,67,76,20,14,67,13,66,53,41,75,19,18,28,66,13,81,54,20,14,42,14,20,28,41,29,42,53,19,29,20,2.0
73,33,59,76,11,16,81,61,35,13,83,18,78,75,21,13,78,12,77,60,34,74,20,19,17,77,12,82,61,21,13,35,13,21,17,34,18,35,60,20,18,21,2.0
76,34,58,75,13,17,79,60,35,14,81,18,76,78,18,14,77,14,76,59,35,77,17,16,18,76,14,80,60,18,15,36,15,18,18,35,19,35,59,17,19,18,1.0
76,35,55,75,13,17,79,58,38,15,81,19,77,78,18,15,77,14,76,57,37,77,17,16,18,76,14,80,58,18,15,38,15,18,18,37,19,38,57,17,19,18,1.0
76,35,53,70,13,16,79,57,38,14,81,20,74,78,18,14,75,14,74,56,38,77,17,16,20,73,13,80,57,18,15,39,15,18,20,38,21,38,56,17,21,18,1.0
75,35,55,74,13,18,79,57,38,15,81,20,76,77,18,15,76,14,75,57,37,76,18,17,19,75,14,80,58,19,15,38,15,19,19,37,20,38,57,18,20,19,1.0
73,36,58,57,13,33,79,59,37,15,81,36,60,75,21,15,60,14,59,58,36,74,20,19,35,59,14,80,59,21,15,37,15,21,35,36,36,37,58,20,36,21,1.0
79,39,51,73,13,19,79,54,42,15,81,21,75,81,15,15,75,14,74,53,41,80,14,13,20,74,14,80,54,15,15,42,15,15,20,41,21,42,53,14,21,15,2.0
82,37,49,75,12,17,80,53,41,14,82,18,77,84,11,14,77,13,76,53,41,83,11,10,18,76,13,81,54,12,14,42,14,12,18,41,19,42,53,11,19,12,2.0
73,38,54,75,11,17,81,56,40,13,83,19,77,76,20,13,77,12,76,55,39,75,19,17,18,76,12,82,56,20,13,40,13,20,18,39,19,40,55,19,19,20,2.0
78,37,53,75,13,17,79,55,40,15,81,19,77,80,15,15,77,14,76,55,39,79,15,14,18,76,14,80,56,16,15,40,15,16,18,39,19,40,55,15,19,16,1.0
85,44,44,74,13,18,79,47,48,14,81,20,75,87,8,15,76,14,75,47,47,86,8,7,19,75,14,80,48,9,15,48,15,9,19,47,20,48,47,8,20,9,2.0
85,44,46,71,12,19,80,48,47,13,82,22,73,87,8,14,74,13,73,48,46,86,8,7,21,73,13,81,49,9,14,47,14,9,21,46,22,47,48,8,22,9,2.0
81,36,54,75,12,17,80,56,39,14,82,19,77,83,12,14,77,13,76,56,38,82,12,11,18,76,13,81,57,13,14,39,14,13,18,38,19,39,56,12,19,13,2.0
79,36,52,76,12,16,80,54,39,13,82,17,77,82,12,13,78,13,77,55,39,81,13,11,17,77,13,81,56,13,13,40,14,14,17,39,17,39,55,13,18,13,2.0
78,35,55,75,12,17,80,58,38,14,82,19,77,80,16,14,77,13,76,57,37,79,15,14,18,76,13,81,58,16,14,38,14,16,18,37,19,38,57,15,19,16,2.0
90,48,42,69,13,21,79,44,51,14,81,24,71,92,3,15,72,14,71,44,50,91,3,2,23,71,14,80,45,4,15,51,15,4,23,50,24,51,44,3,24,4,2.0
76,39,51,71,13,19,79,53,42,15,81,22,74,79,16,15,74,14,73,53,41,78,16,14,21,73,14,80,54,17,15,42,15,17,21,41,22,42,53,16,22,17,1.0
78,36,52,75,14,17,78,56,40,16,80,19,77,80,16,16,77,15,76,55,39,79,15,14,18,75,14,79,56,16,16,40,16,16,18,39,19,40,55,15,19,16,1.0
75,37,53,72,13,18,79,56,40,15,81,21,75,77,19,15,75,14,74,55,39,76,18,17,20,74,14,80,56,19,15,40,15,19,20,39,21,40,55,18,21,19,1.0
78,36,52,73,13,17,79,55,39,14,81,19,75,80,15,14,76,14,75,55,39,79,15,14,19,75,14,80,56,16,15,40,15,16,19,39,20,39,55,15,20,16,1.0
80,38,52,74,13,18,79,54,41,15,81,20,76,82,13,15,76,14,75,54,40,81,13,12,19,75,14,80,55,14,15,41,15,14,19,40,20,41,54,13,20,14,2.0
75,33,59,77,11,15,81,61,35,13,83,17,79,77,19,13,79,12,78,60,34,76,18,17,16,78,12,82,61,19,13,35,13,19,16,34,17,35,60,18,17,19,2.0
77,38,54,75,12,17,80,56,40,14,82,19,77,79,17,14,77,13,76,55,39,78,16,15,18,76,13,81,56,17,14,40,14,17,18,39,19,40,55,16,19,17,2.0
79,38,52,75,12,17,80,55,41,14,82,19,77,81,15,14,77,13,76,54,40,80,14,13,18,76,13,81,55,15,14,41,14,15,18,40,19,41,54,14,19,15,1.0
75,36,58,75,12,17,80,59,37,14,82,19,77,77,19,14,77,13,76,58,36,76,18,17,18,76,13,81,59,19,14,37,14,19,18,36,19,37,58,18,19,19,2.0
72,36,56,57,13,31,79,58,38,15,81,35,61,74,22,15,61,14,60,57,37,73,21,20,34,60,14,80,58,22,15,38,15,22,34,37,35,38,57,21,35,22,1.0
75,35,59,76,12,16,80,60,36,14,82,18,78,77,19,14,78,13,77,59,35,76,18,17,17,77,13,81,60,19,14,36,14,19,17,35,18,36,59,18,18,19,2.0
80,39,51,74,13,18,79,54,42,15,81,20,76,82,14,15,76,14,75,53,41,81,13,12,19,75,14,80,54,14,15,42,15,14,19,41,20,42,53,13,20,14,2.0
74,33,57,63,13,27,79,60,36,15,81,30,66,76,20,15,66,14,65,59,35,75,19,18,29,65,14,80,60,20,15,36,15,20,29,35,30,36,59,19,30,20,1.0
76,34,56,76,12,16,80,58,36,13,82,17,77,79,16,13,78,13,77,58,36,78,16,14,17,77,13,81,59,16,13,37,14,17,17,36,17,36,58,16,18,16,2.0
73,41,53,54,12,32,80,54,42,14,82,37,59,75,21,14,59,13,58,53,41,74,20,19,36,58,13,81,54,21,14,42,14,21,36,41,37,42,53,20,37,21,2.0
73,33,59,63,13,27,79,61,35,15,81,30,66,75,21,15,66,14,65,60,34,74,20,19,29,65,14,80,61,21,15,35,15,21,29,34,30,35,60,20,30,21,1.0
80,39,51,74,13,18,79,54,42,15,81,20,76,82,14,15,76,14,75,53,41,81,13,12,19,75,14,80,54,14,15,42,15,14,19,41,20,42,53,13,20,14,2.0
76,34,58,70,13,18,79,60,36,15,81,22,74,78,18,15,74,14,73,59,35,77,17,16,21,73,14,80,60,18,15,36,15,18,21,35,22,36,59,17,22,18,1.0
81,43,47,75,13,17,79,49,46,14,81,19,76,83,12,15,77,14,76,49,45,82,12,11,18,76,14,80,50,13,15,46,15,13,18,45,19,46,49,12,19,13,2.0
78,39,51,75,13,17,79,53,42,15,81,19,77,80,15,15,77,14,76,53,41,79,15,14,18,76,14,80,54,16,15,42,15,16,18,41,19,42,53,15,19,16,1.0
74,33,57,75,13,17,79,59,36,15,81,19,77,76,19,15,77,14,76,59,35,75,19,18,18,76,14,80,60,20,15,36,15,20,18,35,19,36,59,19,19,20,1.0
75,32,58,77,12,15,80,60,34,13,82,16,78,78,17,13,79,13,78,60,34,77,17,15,16,78,13,81,61,17,13,35,14,18,16,34,16,34,60,17,17,17,2.0
75,33,57,74,13,18,79,59,36,15,81,20,76,77,18,15,76,14,75,59,35,76,18,17,19,75,14,80,60,19,15,36,15,19,19,35,20,36,59,18,20,19,1.0
75,36,54,72,13,18,79,57,39,15,81,21,75,77,19,15,75,14,74,56,38,76,18,17,20,74,14,80,57,19,15,39,15,19,20,38,21,39,56,18,21,19,1.0
77,36,54,74,12,18,80,56,39,14,82,20,76,79,16,14,76,13,75,56,38,78,16,15,19,75,13,81,57,17,14,39,14,17,19,38,20,39,56,16,20,17,2.0
75,38,56,75,12,17,80,57,39,14,82,19,77,77,19,14,77,13,76,56,38,76,18,17,18,76,13,81,57,19,14,39,14,19,18,38,19,39,56,18,19,19,2.0
76,34,56,72,13,18,79,58,37,15,81,21,75,78,17,15,75,14,74,58,36,77,17,16,20,74,14,80,59,18,15,37,15,18,20,36,21,37,58,17,21,18,1.0
73,41,53,66,13,20,79,54,42,15,81,25,71,75,21,15,71,14,70,53,41,74,20,19,24,70,14,80,54,21,15,42,15,21,24,41,25,42,53,20,25,21,2.0
75,32,56,76,13,16,79,60,35,14,81,17,77,77,19,14,78,14,77,59,35,76,18,17,17,77,14,80,60,19,15,36,15,19,17,35,18,35,59,18,18,19,1.0
73,34,56,66,12,24,80,59,36,13,82,26,68,75,21,13,69,13,68,58,36,74,20,19,26,68,13,81,59,21,14,37,14,21,26,36,27,36,58,20,27,21,1.0
78,37,55,74,12,18,80,57,39,14,82,20,76,80,16,14,76,13,75,56,38,79,15,14,19,75,13,81,57,16,14,39,14,16,19,38,20,39,56,15,20,16,2.0
77,33,57,76,12,16,80,59,36,14,82,18,78,79,16,14,78,13,77,59,35,78,16,15,17,77,13,81,60,17,14,36,14,17,17,35,18,36,59,16,18,17,2.0
80,36,54,76,12,16,80,56,38,13,82,17,77,83,12,13,78,13,77,56,38,82,12,10,17,77,13,81,57,12,13,39,14,13,17,38,17,38,56,12,18,12,2.0
73,39,55,51,11,35,81,56,40,13,83,40,56,75,21,13,56,12,55,55,39,74,20,19,39,55,12,82,56,21,13,40,13,21,39,39,40,40,55,20,40,21,2.0
80,39,53,76,11,16,81,55,41,13,83,18,78,82,14,13,78,12,77,54,40,81,13,12,17,77,12,82,55,14,13,41,13,14,17,40,18,41,54,13,18,14,2.0
77,38,52,75,13,17,79,54,41,15,81,19,77,79,16,15,77,14,76,54,40,78,16,15,18,75,13,80,55,17,15,41,15,17,18,40,19,41,54,16,19,17,1.0
70,36,56,55,11,29,81,57,37,12,83,34,60,73,22,12,61,12,60,57,36,72,22,20,33,60,12,82,58,22,12,38,13,23,34,37,34,37,57,22,35,22,2.0
73,33,57,69,13,19,79,60,36,15,81,23,73,75,21,15,73,14,72,59,35,74,20,19,22,72,14,80,60,21,15,36,15,21,22,35,23,36,59,20,23,21,1.0
74,34,58,75,13,17,79,60,36,15,81,19,77,76,20,15,77,14,76,59,35,75,19,18,18,76,14,80,60,20,15,36,15,20,18,35,19,36,59,19,19,20,1.0
78,39,49,72,13,18,79,52,43,15,81,21,75,80,15,15,75,14,74,52,42,79,15,14,20,74,14,80,53,16,15,43,15,16,20,42,21,43,52,15,21,16,1.0
73,35,59,63,14,25,78,60,36,16,80,29,67,75,21,16,67,15,66,59,35,74,20,19,28,65,14,79,60,21,16,36,16,21,28,35,29,36,59,20,29,21,1.0
69,38,56,45,12,45,80,57,39,14,82,48,48,71,25,14,48,13,47,56,38,70,24,23,47,47,13,81,57,25,14,39,14,25,47,38,48,39,56,24,48,25,2.0
81,42,48,70,12,20,80,50,45,13,82,23,72,83,12,14,73,13,72,50,44,82,12,11,22,72,13,81,51,13,14,45,14,13,22,44,23,45,50,12,23,13,2.0
77,35,53,72,14,18,78,57,38,15,80,20,74,79,17,15,75,15,74,56,38,78,16,15,20,74,15,79,57,17,16,39,16,17,20,38,21,38,56,16,21,17,1.0
80,36,54,75,12,17,80,56,39,14,82,19,77,82,13,14,77,13,76,56,38,81,13,12,18,76,13,81,57,14,14,39,14,14,18,38,19,39,56,13,19,14,2.0
78,33,57,76,11,16,81,59,36,13,83,18,78,80,15,13,78,12,77,59,35,79,15,14,17,77,12,82,60,16,13,36,13,16,17,35,18,36,59,15,18,16,2.0
77,34,58,76,12,16,80,60,36,14,82,18,78,79,17,14,78,13,77,59,35,78,16,15,17,76,12,81,60,17,14,36,14,17,17,35,18,36,59,16,18,17,2.0
64,38,56,43,10,49,82,57,39,12,84,51,45,65,31,12,45,11,44,56,38,64,30,30,50,44,11,83,57,31,12,39,12,31,50,38,51,39,56,30,51,31,2.0
76,37,57,74,12,18,80,58,38,14,82,20,76,78,18,14,76,13,75,57,37,77,17,16,19,75,13,81,58,18,14,38,14,18,19,37,20,38,57,17,20,18,2.0
77,36,52,73,13,17,79,56,39,14,81,19,75,79,17,14,76,14,75,55,39,78,16,15,19,75,14,80,56,17,15,40,15,17,19,39,20,39,55,16,20,17,1.0
82,39,51,76,12,16,80,54,42,14,82,18,78,84,12,14,78,13,77,53,41,83,11,10,17,76,12,81,54,12,14,42,14,12,17,41,18,42,53,11,18,12,2.0
72,35,57,65,13,25,79,59,36,14,81,27,67,74,22,14,68,14,67,58,36,73,21,20,27,67,14,80,59,22,15,37,15,22,27,36,28,36,58,21,28,22,1.0
83,40,50,76,12,16,80,52,42,14,82,17,78,85,10,14,78,13,77,52,42,84,10,9,17,77,13,81,53,11,14,43,14,11,17,42,18,43,52,10,18,11,2.0
74,35,59,74,13,18,79,60,36,15,81,20,76,76,20,15,76,14,75,59,35,75,19,18,19,75,14,80,60,20,15,36,15,20,19,35,20,36,59,19,20,20,1.0
76,35,53,67,13,21,79,57,38,14,81,24,70,78,18,14,71,14,70,56,38,77,17,16,24,69,13,80,57,18,15,39,15,18,24,38,25,38,56,17,25,18,1.0
75,34,58,75,13,17,79,60,36,15,81,19,77,77,19,15,77,14,76,59,35,76,18,17,18,75,13,80,60,19,15,36,15,19,18,35,19,36,59,18,19,19,1.0
68,43,51,47,11,45,81,52,44,13,83,47,49,70,26,13,49,12,48,51,43,69,25,24,46,48,12,82,52,26,13,44,13,26,46,43,47,44,51,25,47,26,2.0
71,36,58,53,13,35,79,59,37,15,81,39,57,73,23,15,57,14,56,58,36,72,22,21,38,55,13,80,59,23,15,37,15,23,38,36,39,37,58,22,39,23,1.0
76,36,56,75,12,17,80,58,38,14,82,19,77,78,18,14,77,13,76,57,37,77,17,16,18,76,13,81,58,18,14,38,14,18,18,37,19,38,57,17,19,18,2.0
74,33,57,64,12,26,80,60,36,14,82,29,67,76,20,14,67,13,66,59,35,75,19,18,28,66,13,81,60,20,14,36,14,20,28,35,29,36,59,19,29,20,1.0
80,35,55,75,12,17,80,57,38,14,82,19,77,82,13,14,77,13,76,57,37,81,13,12,18,76,13,81,58,14,14,38,14,14,18,37,19,38,57,13,19,14,2.0
76,35,55,73,14,19,78,58,38,16,80,21,75,78,18,16,75,15,74,57,37,77,17,16,20,74,15,79,58,18,16,38,16,18,20,37,21,38,57,17,21,18,1.0
77,36,54,74,13,18,79,56,39,15,81,20,76,79,16,15,76,14,75,56,38,78,16,15,19,75,14,80,57,17,15,39,15,17,19,38,20,39,56,16,20,17,1.0
77,36,58,76,13,16,79,59,37,15,81,18,78,79,17,15,78,14,77,58,36,78,16,15,17,76,13,80,59,17,15,37,15,17,17,36,18,37,58,16,18,17,2.0
78,36,52,75,13,17,79,55,39,14,81,18,76,80,15,14,77,14,76,55,39,79,15,14,18,76,14,80,56,16,15,40,15,16,18,39,19,39,55,15,19,16,1.0
76,37,55,77,11,15,81,56,38,12,83,16,78,79,16,12,79,12,78,56,38,78,16,14,16,78,12,82,57,16,12,39,13,17,16,38,16,38,56,16,17,16,2.0
