@relation 'Sax dominant'

@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atLcc numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute destClass {2.0,3.0,7.0,6.0,4.0,5.0,1.0}

@data
67,47,46,25,47,48,69,27,47,48,68,26,2.0
65,65,26,26,28,67,67,28,28,67,67,28,5.0
76,45,44,17,47,48,77,18,47,48,77,18,2.0
74,60,31,19,33,62,75,20,33,62,75,20,2.0
71,49,41,22,44,52,72,23,43,51,72,23,4.0
54,51,41,36,43,53,57,39,42,52,56,38,1.0
68,53,38,25,40,55,69,26,40,55,69,26,4.0
71,66,25,22,27,68,72,23,27,68,72,23,4.0
70,52,37,23,40,55,71,24,40,55,71,24,7.0
72,57,34,21,36,59,73,22,36,59,73,22,4.0
67,60,30,26,33,63,68,27,32,62,68,27,7.0
78,57,33,16,36,60,79,17,35,59,78,16,3.0
69,47,42,24,45,50,70,25,45,50,70,25,7.0
72,54,35,21,38,57,73,22,38,57,73,22,6.0
70,53,38,23,40,55,71,24,40,55,71,24,6.0
65,52,40,27,42,54,67,29,41,53,66,28,2.0
66,68,23,25,25,70,68,27,25,70,68,27,1.0
69,64,27,24,29,66,70,25,29,66,70,25,6.0
74,49,41,19,44,52,75,20,43,51,75,20,5.0
71,59,32,22,34,61,72,23,34,61,72,23,6.0
73,50,38,19,42,54,75,21,41,53,74,20,2.0
75,56,33,18,36,59,76,19,36,59,76,19,3.0
74,51,38,19,41,54,75,20,41,54,75,20,4.0
71,50,40,22,43,53,72,23,42,52,72,23,5.0
69,46,44,24,47,49,70,25,46,48,70,25,4.0
67,60,29,26,32,63,68,27,32,63,68,27,3.0
71,59,32,21,34,61,73,23,34,61,72,22,5.0
65,45,48,25,49,46,68,28,49,46,67,27,1.0
69,61,29,24,32,64,70,25,31,63,70,25,7.0
68,62,28,25,31,65,69,26,30,64,69,26,5.0
69,52,39,24,41,54,70,25,41,54,70,25,4.0
71,52,39,22,41,54,72,23,41,54,72,23,3.0
70,59,33,23,35,61,71,24,34,60,71,24,6.0
75,51,42,18,43,52,76,19,43,52,76,19,5.0
67,52,40,27,42,54,68,28,41,53,67,27,3.0
67,51,38,26,41,54,68,27,41,54,68,27,1.0
70,46,42,23,46,50,71,24,45,49,71,24,5.0
69,46,44,24,47,49,70,25,46,48,70,25,2.0
73,44,46,20,49,47,74,21,48,46,74,21,3.0
68,59,32,24,34,61,70,26,34,61,69,25,4.0
66,54,37,26,39,56,68,28,39,56,67,27,4.0
70,54,37,21,39,56,72,23,39,56,72,23,6.0
74,50,40,19,43,53,75,20,42,52,75,20,7.0
67,64,27,26,29,66,68,27,29,66,68,27,3.0
66,55,37,26,39,57,68,28,38,56,67,27,2.0
65,69,22,28,24,71,66,29,24,71,66,29,5.0
74,60,31,19,33,62,75,20,33,62,75,20,3.0
72,69,22,22,24,71,73,23,24,71,72,22,3.0
65,49,42,27,44,51,67,29,44,51,66,28,4.0
68,56,35,26,37,58,69,27,37,58,68,26,5.0
74,51,41,19,43,53,75,20,42,52,75,20,5.0
73,45,43,20,47,49,74,21,46,48,74,21,7.0
65,54,37,25,39,56,68,28,39,56,67,27,1.0
66,56,35,27,37,58,67,28,37,58,67,28,5.0
70,55,34,23,37,58,71,24,37,58,71,24,7.0
79,56,35,15,37,58,80,16,37,58,79,15,2.0
71,52,38,22,41,55,72,23,40,54,72,23,7.0
75,55,32,18,36,59,76,19,36,59,76,19,3.0
71,59,32,22,34,61,72,23,34,61,72,23,6.0
69,50,40,24,43,53,70,25,42,52,70,25,6.0
69,48,45,24,46,49,70,25,46,49,70,25,6.0
62,49,40,30,43,52,64,32,43,52,63,31,1.0
67,47,46,23,47,48,70,26,47,48,69,25,6.0
70,59,32,23,34,61,71,24,34,61,71,24,6.0
73,50,39,20,42,53,74,21,42,53,74,21,4.0
66,48,45,26,46,49,68,28,46,49,67,27,1.0
68,54,37,24,39,56,70,26,39,56,69,25,4.0
64,59,32,27,34,61,66,29,34,61,66,29,2.0
71,53,35,22,39,57,72,23,38,56,72,23,6.0
69,64,27,24,29,66,70,25,29,66,70,25,5.0
74,59,32,19,34,61,75,20,34,61,75,20,4.0
76,49,44,16,45,50,78,18,45,50,77,17,4.0
74,57,32,19,35,60,75,20,35,60,75,20,4.0
69,50,41,24,43,52,70,25,43,52,70,25,6.0
71,56,35,22,37,58,72,23,37,58,72,23,7.0
67,54,37,26,39,56,68,27,39,56,68,27,5.0
66,63,28,25,30,65,68,27,30,65,68,27,2.0
65,73,18,27,20,75,67,29,20,75,66,28,3.0
69,49,40,24,43,52,70,25,43,52,70,25,7.0
69,49,44,22,45,50,71,24,45,50,71,24,4.0
69,60,30,24,33,63,70,25,32,62,70,25,3.0
70,48,45,20,46,49,73,23,46,49,72,22,2.0
78,60,32,16,34,62,79,17,33,61,78,16,2.0
77,53,38,16,40,55,78,17,40,55,78,17,2.0
66,55,37,26,39,57,68,28,38,56,67,27,6.0
70,53,38,23,40,55,71,24,40,55,71,24,3.0
74,58,31,19,34,61,75,20,34,61,75,20,2.0
67,45,48,25,49,46,69,27,49,46,68,26,3.0
66,47,46,26,47,48,68,28,47,48,67,27,2.0
74,59,33,19,35,61,75,20,34,60,75,20,3.0
65,59,34,26,35,60,67,28,35,60,67,28,1.0
75,46,46,19,48,48,76,20,47,47,75,19,2.0
69,42,46,24,50,46,70,25,49,45,70,25,4.0
74,52,39,19,41,54,75,20,41,54,75,20,3.0
65,70,23,25,24,71,68,28,24,71,67,27,1.0
76,54,38,17,40,56,77,18,39,55,77,18,3.0
69,50,39,24,42,53,70,25,42,53,70,25,5.0
68,48,42,25,45,51,69,26,44,50,69,26,1.0
61,69,24,28,25,70,64,31,25,70,64,31,1.0
68,52,38,25,41,55,69,26,40,54,69,26,7.0
80,55,37,14,39,57,81,15,38,56,80,14,1.0
61,60,31,31,33,62,63,33,33,62,62,32,2.0
66,53,38,27,40,55,67,28,40,55,67,28,4.0
65,49,44,26,45,50,67,28,45,50,67,28,1.0
71,47,46,22,47,48,72,23,47,48,72,23,6.0
73,52,38,20,41,55,74,21,40,54,74,21,5.0
69,49,41,24,44,52,70,25,43,51,70,25,4.0
68,62,29,25,31,64,69,26,31,64,69,26,3.0
74,45,43,19,47,49,75,20,46,48,75,20,7.0
72,55,36,21,38,57,73,22,38,57,73,22,6.0
67,57,34,26,36,59,68,27,36,59,68,27,4.0
71,52,39,23,41,54,72,24,41,54,71,23,5.0
72,47,46,20,47,48,74,22,47,48,73,21,4.0
73,53,36,20,39,56,74,21,39,56,74,21,4.0
66,64,27,27,29,66,67,28,29,66,67,28,3.0
67,52,39,26,41,54,68,27,41,54,68,27,2.0
71,56,35,20,37,58,73,22,37,58,73,22,6.0
65,68,23,26,25,70,67,28,25,70,67,28,6.0
66,57,34,26,36,59,68,28,36,59,67,27,5.0
74,59,32,19,34,61,75,20,34,61,75,20,5.0
69,66,25,22,27,68,71,24,27,68,71,24,6.0
70,58,33,23,35,60,71,24,35,60,71,24,6.0
70,51,40,23,42,53,71,24,42,53,71,24,4.0
70,51,39,23,42,54,71,24,41,53,71,24,5.0
69,48,42,24,45,51,70,25,44,50,70,25,4.0
70,57,34,23,36,59,71,24,36,59,71,24,7.0
76,44,48,16,50,46,78,18,49,45,77,17,3.0
75,59,30,18,33,62,76,19,33,62,76,19,2.0
68,55,36,23,38,57,70,25,38,57,70,25,6.0
66,48,45,26,46,49,68,28,46,49,67,27,1.0
68,47,46,24,47,48,70,26,47,48,69,25,2.0
74,58,31,19,34,61,75,20,34,61,75,20,2.0
74,46,43,19,46,49,75,20,46,49,75,20,5.0
72,49,42,22,44,51,73,23,44,51,72,22,5.0
70,35,55,23,58,38,71,24,57,37,71,24,7.0
70,58,33,23,35,60,71,24,35,60,71,24,6.0
73,46,47,19,48,47,75,21,48,47,74,20,6.0
68,64,27,25,29,66,69,26,29,66,69,26,4.0
72,60,31,21,33,62,73,22,33,62,73,22,5.0
69,49,42,24,44,51,70,25,44,51,70,25,2.0
70,47,45,24,47,49,71,25,46,48,70,24,5.0
68,47,43,25,46,50,69,26,45,49,69,26,4.0
69,56,35,21,37,58,72,24,37,58,71,23,5.0
71,51,40,23,42,53,72,24,42,53,71,23,4.0
67,50,40,26,43,53,68,27,42,52,68,27,7.0
66,51,40,26,42,53,68,28,42,53,67,27,2.0
71,56,35,20,37,58,73,22,37,58,73,22,6.0
70,58,33,22,35,60,72,24,35,60,71,23,6.0
75,49,44,17,45,50,77,19,45,50,76,18,4.0
71,49,44,21,45,50,73,23,45,50,72,22,4.0
77,61,29,16,32,64,78,17,31,63,78,17,2.0
75,62,29,18,31,64,76,19,31,64,76,19,5.0
70,49,40,23,43,52,71,24,43,52,71,24,6.0
73,59,32,20,34,61,74,21,34,61,74,21,5.0
70,55,37,19,39,57,73,22,38,56,73,22,5.0
78,61,30,16,32,63,79,17,32,63,78,16,6.0
76,49,40,17,43,52,77,18,43,52,77,18,4.0
69,46,42,24,46,50,70,25,45,49,70,25,7.0
70,49,44,23,45,50,71,24,45,50,71,24,6.0
73,60,31,20,33,62,74,21,33,62,74,21,4.0
69,50,41,24,43,52,70,25,43,52,70,25,3.0
75,51,39,18,42,54,76,19,41,53,76,19,3.0
76,53,36,17,39,56,77,18,39,56,77,18,2.0
68,51,41,25,43,53,69,26,42,52,69,26,5.0
64,58,32,27,35,61,66,29,34,60,66,29,1.0
61,62,29,31,31,64,63,33,31,64,62,32,3.0
69,61,30,24,32,63,70,25,32,63,70,25,4.0
57,63,28,34,30,65,59,36,30,65,59,36,7.0
72,55,36,21,38,57,73,22,38,57,73,22,6.0
57,58,33,33,35,60,60,36,35,60,59,35,2.0
69,51,42,22,43,52,71,24,43,52,71,24,5.0
73,63,28,20,30,65,74,21,30,65,74,21,5.0
72,45,48,20,49,46,74,22,49,46,73,21,5.0
74,57,31,19,35,61,75,20,34,60,75,20,7.0
73,59,32,19,34,61,75,21,34,61,74,20,4.0
67,48,45,23,46,49,70,26,46,49,69,25,2.0
75,60,29,18,32,63,76,19,32,63,76,19,5.0
68,47,41,25,45,51,69,26,44,50,69,26,2.0
68,54,36,25,39,57,69,26,38,56,69,26,7.0
66,49,44,26,45,50,68,28,45,50,67,27,4.0
70,58,32,23,35,61,71,24,34,60,71,24,6.0
72,69,22,21,24,71,73,22,24,71,73,22,6.0
61,63,30,29,31,64,64,32,31,64,63,31,5.0
70,58,33,23,35,60,71,24,35,60,71,24,6.0
73,55,36,20,38,57,74,21,38,57,74,21,4.0
68,63,28,25,30,65,69,26,30,65,69,26,3.0
68,64,27,25,29,66,69,26,29,66,69,26,5.0
75,44,49,17,50,45,77,19,50,45,76,18,5.0
74,55,36,19,38,57,75,20,38,57,75,20,4.0
63,60,31,28,33,62,65,30,33,62,65,30,4.0
72,50,42,22,44,52,73,23,43,51,72,22,3.0
64,60,31,27,33,62,66,29,33,62,66,29,2.0
70,53,37,23,40,56,71,24,39,55,71,24,3.0
71,51,41,23,43,53,72,24,42,52,71,23,3.0
73,51,39,20,42,54,74,21,41,53,74,21,3.0
66,63,28,27,30,65,67,28,30,65,67,28,3.0
68,49,44,23,45,50,70,25,45,50,70,25,4.0
79,60,31,13,33,62,81,15,33,62,80,14,3.0
69,43,48,24,50,45,70,25,50,45,70,25,7.0
58,56,35,33,37,58,60,35,37,58,60,35,1.0
73,50,39,20,42,53,74,21,42,53,74,21,4.0
61,57,34,30,36,59,63,32,36,59,63,32,4.0
72,53,35,21,39,57,73,22,38,56,73,22,6.0
69,56,35,24,37,58,70,25,37,58,70,25,6.0
74,58,33,18,35,60,76,20,35,60,75,19,5.0
68,56,32,25,36,60,69,26,35,59,69,26,4.0
68,63,28,25,30,65,69,26,30,65,69,26,4.0
66,55,36,27,38,57,67,28,38,57,67,28,2.0
72,58,33,21,35,60,73,22,35,60,73,22,5.0
67,49,42,25,44,51,69,27,44,51,68,26,2.0
73,60,32,20,34,62,74,21,33,61,74,21,2.0
73,56,35,20,37,58,74,21,37,58,74,21,4.0
66,47,46,26,47,48,68,28,47,48,67,27,2.0
74,66,25,18,27,68,76,20,27,68,75,19,5.0
74,50,43,19,44,51,75,20,44,51,75,20,3.0
67,48,43,25,45,50,69,27,45,50,68,26,2.0
67,59,32,26,34,61,68,27,34,61,68,27,4.0
77,50,41,16,43,52,78,17,43,52,78,17,2.0
68,50,43,23,44,51,70,25,44,51,70,25,3.0
66,61,32,26,33,62,68,28,33,62,67,27,1.0
68,61,30,25,32,63,69,26,32,63,69,26,3.0
65,57,34,27,36,59,67,29,36,59,66,28,2.0
69,59,31,24,34,62,70,25,33,61,70,25,7.0
68,51,42,25,43,52,69,26,43,52,69,26,7.0
52,62,31,38,32,63,55,41,32,63,54,40,1.0
74,57,32,19,35,60,75,20,35,60,75,20,3.0
69,63,28,24,30,65,70,25,30,65,70,25,4.0
76,48,45,16,46,49,78,18,46,49,77,17,4.0
70,54,32,23,37,59,71,24,36,58,71,24,7.0
70,59,32,23,34,61,71,24,34,61,71,24,6.0
61,61,30,30,32,63,63,32,32,63,63,32,1.0
70,68,22,23,25,71,71,24,24,70,71,24,7.0
71,63,28,23,30,65,72,24,30,65,71,23,3.0
75,58,32,18,35,61,76,19,34,60,76,19,2.0
72,58,35,21,36,59,73,22,36,59,73,22,6.0
74,57,34,19,36,59,75,20,36,59,75,20,3.0
75,49,43,18,45,51,76,19,44,50,76,19,5.0
73,62,29,20,31,64,74,21,31,64,74,21,5.0
70,59,32,23,34,61,71,24,34,61,71,24,6.0
73,59,32,20,34,61,74,21,34,61,74,21,4.0
76,59,32,17,34,61,77,18,34,61,77,18,1.0
68,52,39,22,41,54,71,25,41,54,70,24,5.0
74,61,30,17,32,63,76,19,32,63,76,19,3.0
69,58,33,24,35,60,70,25,35,60,70,25,6.0
68,56,35,25,37,58,69,26,37,58,69,26,1.0
69,60,31,24,33,62,70,25,33,62,70,25,2.0
71,49,42,22,44,51,72,23,44,51,72,23,5.0
71,58,33,22,35,60,72,23,35,60,72,23,6.0
76,49,41,17,44,52,77,18,43,51,77,18,4.0
74,55,34,19,37,58,75,20,37,58,75,20,3.0
74,65,24,19,27,68,75,20,27,68,75,20,5.0
66,52,39,27,41,54,67,28,41,54,67,28,2.0
78,74,19,15,20,75,79,16,20,75,79,16,1.0
67,46,43,25,46,49,69,27,46,49,68,26,2.0
69,46,44,24,47,49,70,25,46,48,70,25,7.0
69,46,43,24,46,49,70,25,46,49,70,25,6.0
67,52,39,26,41,54,68,27,41,54,68,27,2.0
70,58,33,22,35,60,72,24,35,60,71,23,6.0
75,53,35,18,39,57,76,19,38,56,76,19,2.0
73,58,33,20,35,60,74,21,35,60,74,21,4.0
73,62,29,20,31,64,74,21,31,64,74,21,5.0
73,56,36,18,38,58,75,20,37,57,75,20,3.0
63,69,22,28,24,71,65,30,24,71,65,30,2.0
71,57,34,22,36,59,72,23,36,59,72,23,5.0
54,51,41,36,43,53,57,39,42,52,56,38,1.0
67,68,23,26,25,70,68,27,25,70,68,27,3.0
70,56,35,23,37,58,71,24,37,58,71,24,6.0
73,60,31,20,33,62,74,21,33,62,74,21,2.0
74,59,32,19,34,61,75,20,34,61,75,20,2.0
77,59,30,16,33,62,78,17,33,62,78,17,5.0
68,60,33,25,34,61,69,26,34,61,69,26,5.0
69,51,42,22,43,52,71,24,43,52,71,24,1.0
61,60,31,29,33,62,64,32,33,62,63,31,2.0
63,62,29,28,31,64,65,30,31,64,65,30,5.0
67,59,32,26,34,61,68,27,34,61,68,27,2.0
73,59,32,20,34,61,74,21,34,61,74,21,4.0
72,41,50,21,52,43,73,22,52,43,73,22,4.0
68,53,38,25,40,55,69,26,40,55,69,26,7.0
76,54,38,17,40,56,77,18,39,55,77,18,3.0
71,53,37,22,40,56,72,23,39,55,72,23,4.0
61,72,21,30,22,73,63,32,22,73,63,32,2.0
67,48,45,25,46,49,69,27,46,49,68,26,4.0
70,46,43,23,46,49,71,24,46,49,71,24,7.0
72,60,31,21,33,62,73,22,33,62,73,22,5.0
72,60,31,20,33,62,74,22,33,62,73,21,5.0
69,48,41,24,44,51,70,25,44,51,70,25,7.0
67,60,31,26,33,62,68,27,33,62,68,27,4.0
68,59,33,25,34,60,69,26,35,61,69,26,7.0
52,58,36,38,36,58,54,40,37,59,55,41,1.0
70,49,41,23,44,52,71,24,43,51,71,24,7.0
61,73,20,29,21,74,64,32,21,74,63,31,3.0
72,59,32,21,34,61,73,22,34,61,73,22,6.0
68,65,26,25,28,67,69,26,28,67,69,26,3.0
81,80,12,13,14,82,82,14,13,81,81,13,1.0
73,53,39,21,41,55,74,22,40,54,73,21,3.0
72,53,38,20,40,55,74,22,40,55,73,21,6.0
68,60,33,22,34,61,71,25,34,61,70,24,3.0
64,60,31,27,33,62,66,29,33,62,66,29,1.0
64,55,36,27,38,57,66,29,38,57,66,29,2.0
66,54,37,26,39,56,68,28,39,56,67,27,4.0
67,47,45,24,47,49,69,26,46,48,69,26,5.0
72,57,32,22,35,60,73,23,35,60,72,22,5.0
73,58,33,20,35,60,74,21,35,60,74,21,2.0
71,57,33,22,36,60,72,23,35,59,72,23,6.0
71,56,35,22,37,58,72,23,37,58,72,23,5.0
70,47,46,20,47,48,73,23,47,48,72,22,4.0
73,55,36,20,38,57,74,21,38,57,74,21,5.0
70,58,32,23,35,61,71,24,34,60,71,24,6.0
67,61,28,25,31,64,69,27,31,64,68,26,4.0
67,50,41,26,43,52,68,27,43,52,68,27,2.0
67,58,32,26,35,61,68,27,34,60,68,27,7.0
75,55,36,17,38,57,77,19,38,57,76,18,5.0
73,57,33,21,36,60,74,22,35,59,73,21,1.0
70,47,41,23,45,51,71,24,44,50,71,24,5.0
69,50,41,24,43,52,70,25,43,52,70,25,3.0
69,67,24,24,26,69,70,25,26,69,70,25,7.0
67,60,29,26,32,63,68,27,32,63,68,27,3.0
59,56,35,32,37,58,61,34,37,58,61,34,4.0
70,48,42,23,45,51,71,24,44,50,71,24,3.0
66,65,28,26,29,66,68,28,29,66,67,27,5.0
62,51,40,30,42,53,64,32,42,53,63,31,5.0
75,51,36,18,40,55,76,19,40,55,76,19,2.0
73,59,32,19,34,61,75,21,34,61,74,20,5.0
69,60,31,24,33,62,70,25,33,62,70,25,6.0
70,61,30,23,32,63,71,24,32,63,71,24,3.0
68,54,37,25,39,56,69,26,39,56,69,26,5.0
70,69,24,23,25,70,71,24,25,70,71,24,6.0
74,55,36,19,38,57,75,20,38,57,75,20,4.0
70,55,33,21,37,59,72,23,36,58,72,23,1.0
70,51,39,23,42,54,71,24,41,53,71,24,7.0
59,54,37,32,39,56,61,34,39,56,61,34,1.0
73,48,43,20,45,50,74,21,45,50,74,21,4.0
72,60,31,20,33,62,74,22,33,62,73,21,5.0
70,51,38,23,41,54,71,24,41,54,71,24,6.0
73,47,46,18,47,48,75,20,47,48,75,20,4.0
64,49,44,29,45,50,65,30,45,50,65,30,5.0
68,48,40,25,44,52,69,26,43,51,69,26,4.0
75,59,30,18,33,62,76,19,33,62,76,19,3.0
67,38,54,26,56,40,68,27,55,39,68,27,1.0
73,57,32,19,35,60,75,21,35,60,74,20,2.0
75,60,31,18,33,62,76,19,33,62,76,19,2.0
69,64,27,24,29,66,70,25,29,66,70,25,6.0
69,44,46,24,49,47,70,25,48,46,70,25,4.0
70,63,28,23,30,65,71,24,30,65,71,24,6.0
71,52,36,22,40,56,72,23,39,55,72,23,6.0
75,52,38,18,41,55,76,19,40,54,76,19,2.0
68,54,37,24,39,56,70,26,39,56,69,25,2.0
71,52,36,22,40,56,72,23,39,55,72,23,6.0
63,63,28,28,30,65,65,30,30,65,65,30,1.0
75,53,39,18,41,55,76,19,40,54,76,19,3.0
72,46,45,21,47,48,73,22,47,48,73,22,4.0
73,54,38,20,40,56,74,21,39,55,74,21,4.0
73,59,33,20,35,61,74,21,34,60,74,21,3.0
72,51,40,20,42,53,74,22,42,53,73,21,4.0
73,46,45,20,47,48,74,21,47,48,74,21,4.0
67,49,44,24,45,50,69,26,45,50,69,26,1.0
63,58,33,28,35,60,65,30,35,60,65,30,7.0
73,59,32,20,34,61,74,21,34,61,74,21,4.0
68,62,28,25,31,65,69,26,30,64,69,26,3.0
72,54,37,21,39,56,73,22,39,56,73,22,4.0
70,51,38,23,41,54,71,24,41,54,71,24,5.0
68,46,47,24,48,47,70,26,48,47,69,25,6.0
68,46,44,26,47,49,69,27,46,48,68,26,6.0
70,57,32,23,35,60,71,24,35,60,71,24,3.0
75,57,35,18,37,59,76,19,36,58,76,19,2.0
70,55,38,23,39,56,71,24,39,56,71,24,4.0
68,62,29,25,31,64,69,26,31,64,69,26,4.0
73,49,39,18,43,53,75,20,42,52,75,20,3.0
74,49,41,19,44,52,75,20,43,51,75,20,3.0
72,54,37,21,39,56,73,22,39,56,73,22,4.0
65,61,30,26,32,63,67,28,32,63,67,28,3.0
63,62,29,28,31,64,65,30,31,64,65,30,6.0
69,55,33,24,37,59,70,25,36,58,70,25,6.0
70,50,39,23,42,53,71,24,42,53,71,24,7.0
63,54,37,26,39,56,66,29,39,56,66,29,5.0
73,58,33,19,35,60,75,21,35,60,74,20,4.0
69,61,28,24,31,64,70,25,31,64,70,25,4.0
56,53,38,35,40,55,58,37,40,55,58,37,1.0
72,55,36,21,38,57,73,22,38,57,73,22,6.0
74,41,52,19,53,42,75,20,53,42,75,20,3.0
71,48,45,21,46,49,73,23,46,49,72,22,5.0
75,62,28,18,31,65,76,19,30,64,76,19,7.0
67,54,37,26,39,56,68,27,39,56,68,27,2.0
64,55,36,26,38,57,67,29,38,57,66,28,1.0
68,59,32,25,34,61,69,26,34,61,69,26,4.0
69,57,34,24,36,59,70,25,36,59,70,25,4.0
57,62,29,34,31,64,59,36,31,64,59,36,2.0
65,58,33,27,35,60,67,29,35,60,66,28,5.0
70,48,42,23,45,51,71,24,44,50,71,24,6.0
70,54,34,23,38,58,71,24,37,57,71,24,5.0
72,46,47,18,48,47,75,21,48,47,74,20,5.0
62,60,31,28,33,62,65,31,33,62,64,30,2.0
71,55,36,21,38,57,73,23,38,57,72,22,6.0
60,48,45,30,46,49,63,33,46,49,62,32,1.0
70,59,32,22,34,61,72,24,34,61,71,23,5.0
65,68,25,28,26,69,66,29,26,69,66,29,5.0
71,51,37,22,41,55,72,23,40,54,72,23,7.0
67,66,25,23,27,68,70,26,27,68,69,25,4.0
71,52,38,22,41,55,72,23,40,54,72,23,5.0
66,72,21,27,22,73,67,28,22,73,67,28,5.0
66,61,29,25,32,64,68,27,31,63,68,27,7.0
77,64,27,15,29,66,79,17,29,66,78,16,3.0
70,53,37,23,40,56,71,24,39,55,71,24,4.0
63,53,38,27,40,55,66,30,40,55,65,29,2.0
63,58,33,28,35,60,65,30,35,60,65,30,5.0
75,54,35,18,38,57,76,19,38,57,76,19,5.0
73,52,38,21,41,55,74,22,40,54,73,21,6.0
74,50,39,20,42,53,75,21,42,53,74,20,6.0
64,63,28,27,30,65,66,29,30,65,66,29,7.0
76,59,31,17,34,62,77,18,33,61,77,18,2.0
76,47,46,16,47,48,78,18,47,48,77,17,3.0
69,56,35,24,37,58,70,25,37,58,70,25,4.0
69,51,40,23,42,53,71,25,42,53,70,24,4.0
74,62,28,19,31,65,75,20,30,64,75,20,4.0
76,57,32,17,35,60,77,18,35,60,77,18,3.0
69,45,44,24,47,48,70,25,47,48,70,25,6.0
71,59,33,22,35,61,72,23,34,60,72,23,7.0
75,64,24,18,28,68,76,19,27,67,76,19,5.0
67,59,32,26,34,61,68,27,34,61,68,27,2.0
67,45,48,23,49,46,70,26,49,46,69,25,5.0
71,49,44,20,45,50,73,22,45,50,73,22,4.0
67,63,28,26,30,65,68,27,30,65,68,27,4.0
73,57,34,20,36,59,74,21,36,59,74,21,5.0
63,66,25,28,27,68,65,30,27,68,65,30,5.0
66,60,31,26,33,62,68,28,33,62,67,27,6.0
75,60,31,18,33,62,76,19,33,62,76,19,3.0
68,54,36,25,39,57,69,26,38,56,69,26,2.0
73,45,48,17,49,46,76,20,49,46,75,19,5.0
70,43,46,23,49,46,71,24,49,46,71,24,7.0
69,62,29,24,31,64,70,25,31,64,70,25,5.0
67,52,39,26,41,54,68,27,41,54,68,27,1.0
71,55,36,22,38,57,72,23,38,57,72,23,6.0
67,48,45,25,46,49,69,27,46,49,68,26,4.0
67,56,35,26,37,58,68,27,37,58,68,27,1.0
66,66,25,26,27,68,68,28,27,68,67,27,3.0
74,56,35,19,37,58,75,20,37,58,75,20,5.0
64,62,29,27,31,64,66,29,31,64,66,29,4.0
75,64,24,18,28,68,76,19,27,67,76,19,5.0
68,52,39,24,41,54,70,26,41,54,69,25,6.0
66,47,46,27,47,48,67,28,47,48,67,28,1.0
73,58,33,20,35,60,74,21,35,60,74,21,5.0
73,61,30,20,32,63,74,21,32,63,74,21,5.0
68,60,33,24,34,61,70,26,34,61,69,25,4.0
74,50,42,19,44,52,75,20,43,51,75,20,3.0
71,47,46,20,47,48,73,22,47,48,73,22,5.0
73,58,33,20,35,60,74,21,35,60,74,21,5.0
