@relation 'Sax dominant'

@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atLccc numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMaca numeric
@attribute o1atLaca numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMcac numeric
@attribute o1atLcac numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMbca numeric
@attribute o1atLbca numeric
@attribute destClass {2.0,1.0}

@data
38,56,36,55,34,64,30,63,28,26,62,54,66,28,64,27,35,56,36,58,34,57,37,54,38,30,62,29,36,27,37,28,38,28,36,30,65,26,35,28,34,29,36,28,37,26,37,30,38,29,36,29,1.0
27,65,27,64,23,61,30,60,29,23,58,62,65,27,63,26,25,66,25,67,23,67,27,62,28,31,58,30,27,26,27,29,28,27,25,31,64,24,25,29,23,30,27,29,27,24,27,30,27,30,27,30,2.0
30,63,28,62,24,56,38,55,37,35,54,60,57,36,56,36,26,64,27,66,24,65,29,60,30,38,54,37,28,36,29,37,30,36,27,38,57,35,26,37,24,37,28,37,29,35,29,38,30,37,28,37,2.0
32,62,30,61,28,62,32,61,30,28,60,60,64,30,62,29,29,62,30,64,28,63,31,60,32,32,60,31,30,29,31,30,32,30,30,32,63,28,29,30,28,31,30,30,31,28,31,32,32,31,30,31,2.0
28,65,26,64,23,55,39,54,38,36,53,62,56,37,55,37,24,66,25,68,23,67,27,63,28,39,53,38,26,37,27,38,28,37,25,39,56,36,24,38,23,38,26,38,27,36,27,39,28,38,26,38,2.0
32,61,30,60,26,66,28,65,26,24,64,58,68,26,66,25,28,62,29,64,26,63,31,58,32,28,64,27,30,25,31,26,32,26,29,28,67,24,28,26,26,27,30,26,31,24,31,28,32,27,30,27,1.0
28,63,29,62,27,66,23,65,24,18,62,61,70,21,68,21,28,63,28,65,27,64,29,61,30,25,62,24,29,21,29,24,31,22,29,26,69,18,28,24,27,25,29,24,30,18,30,23,28,25,29,24,1.0
28,65,27,64,25,72,20,71,20,16,70,63,74,18,73,18,26,65,27,67,25,66,28,63,29,21,70,20,27,18,28,20,29,18,27,21,74,17,26,20,25,20,27,20,28,17,28,20,28,20,27,20,2.0
22,67,22,66,15,67,22,66,24,18,63,63,70,20,69,21,18,70,19,72,16,71,22,64,23,24,63,23,22,21,22,24,24,21,19,25,70,18,18,24,16,24,22,24,23,18,23,23,22,24,22,23,2.0
21,71,20,70,17,78,15,77,15,13,76,69,79,14,78,14,18,72,19,74,18,73,21,70,22,16,76,15,20,14,21,15,22,14,19,16,79,13,18,15,18,15,20,15,21,13,21,15,21,15,20,15,2.0
27,65,26,64,22,64,27,63,27,21,60,62,67,24,66,24,24,66,25,68,22,67,27,62,28,28,60,27,26,24,27,27,28,24,25,28,67,21,24,27,22,27,26,27,27,21,27,27,27,27,26,27,2.0
28,66,26,65,24,62,31,61,30,26,59,64,64,28,63,28,25,66,26,68,24,67,27,64,28,31,59,30,26,28,27,30,28,28,26,31,64,26,25,30,24,30,26,30,27,26,27,31,28,30,26,30,2.0
36,58,34,57,32,66,28,65,26,24,64,56,68,26,66,25,33,58,34,60,32,59,35,56,36,28,64,27,34,25,35,26,36,26,34,28,67,24,33,26,32,27,34,26,35,24,35,28,36,27,34,27,1.0
35,59,33,58,31,70,24,69,22,20,68,57,72,22,70,21,32,59,33,61,31,60,34,57,35,24,68,23,33,21,34,22,35,22,33,24,71,20,32,22,31,23,33,22,34,20,34,24,35,23,33,23,1.0
29,64,27,63,23,56,38,55,36,34,54,62,58,36,56,35,25,65,26,67,24,66,28,62,29,38,54,37,27,35,28,36,29,36,26,38,57,34,25,36,24,37,27,36,28,34,28,38,29,37,27,37,2.0
21,72,19,71,15,68,23,67,21,16,63,69,73,18,71,17,17,73,18,75,15,74,20,69,21,23,66,22,19,17,20,21,21,18,18,23,72,16,17,21,15,22,19,21,20,16,20,23,21,22,19,22,1.0
33,61,31,60,29,67,27,66,25,23,65,59,69,25,67,24,30,61,31,63,29,62,32,59,33,27,65,26,31,24,32,25,33,25,31,27,68,23,30,25,29,26,31,25,32,23,32,27,33,26,31,26,1.0
33,58,33,57,29,67,23,66,23,17,63,55,71,20,69,20,31,59,31,61,29,60,33,55,34,24,63,23,33,20,33,23,35,21,32,25,70,17,31,23,29,24,33,23,34,17,34,23,33,24,33,23,1.0
35,59,33,58,31,65,28,64,26,22,62,57,68,25,66,24,32,59,33,61,31,60,34,57,35,28,62,27,33,24,34,26,35,25,33,28,67,22,32,26,31,27,33,26,34,22,34,28,35,27,33,27,1.0
35,59,33,58,31,63,31,62,29,27,61,57,65,29,63,28,32,59,33,61,31,60,34,57,35,31,61,30,33,28,34,29,35,29,33,31,64,27,32,29,31,30,33,29,34,27,34,31,35,30,33,30,1.0
35,55,33,54,29,56,34,55,32,27,51,50,60,30,59,30,31,58,31,59,29,59,35,52,36,35,52,34,35,30,35,32,36,30,31,35,60,27,31,34,29,34,35,34,35,27,35,34,35,34,33,34,2.0
5,88,3,87,0,71,20,70,18,11,68,85,76,15,74,14,1,89,2,91,0,90,4,86,5,20,69,19,3,14,4,18,5,15,2,20,75,13,1,18,0,19,3,18,4,13,4,20,5,19,3,19,1.0
30,64,28,63,26,66,28,65,26,24,64,62,68,26,66,25,27,64,28,66,26,65,29,62,30,28,64,27,28,25,29,26,30,26,28,28,67,24,27,26,26,27,28,26,29,24,29,28,30,27,28,27,2.0
6,87,4,86,0,85,9,84,7,5,83,84,87,7,85,6,2,88,3,90,0,89,5,84,6,9,83,8,4,6,5,7,6,7,3,9,86,5,2,7,0,8,4,7,5,5,5,9,6,8,4,8,1.0
23,71,21,70,19,59,32,58,30,23,54,69,64,27,62,26,20,71,21,73,19,72,22,69,23,32,55,31,21,26,22,30,23,27,21,32,63,23,20,30,19,31,21,30,22,23,22,32,23,31,21,31,1.0
7,84,5,83,3,71,20,70,18,16,68,81,74,18,72,17,4,85,5,87,3,86,6,81,8,21,68,19,7,18,7,18,9,19,6,22,73,16,5,20,3,21,6,19,8,16,7,20,7,20,5,20,1.0
35,59,33,58,31,62,32,61,30,28,60,57,64,30,62,29,32,59,33,61,31,60,34,57,35,32,60,31,33,29,34,30,35,30,33,32,63,28,32,30,31,31,33,30,34,28,34,32,35,31,33,31,1.0
33,61,31,60,29,63,31,62,29,27,61,59,65,29,63,28,30,61,31,63,29,62,32,59,33,31,61,30,31,28,32,29,33,29,31,31,64,27,30,29,29,30,31,29,32,27,32,31,33,30,31,30,1.0
34,59,32,58,28,66,28,65,26,24,64,57,68,26,66,25,30,60,31,62,29,61,33,57,34,28,64,27,32,25,33,26,34,26,31,28,67,24,30,26,29,27,32,26,33,24,33,28,34,27,32,27,1.0
35,58,34,57,32,66,27,65,26,24,64,56,68,26,66,25,33,58,34,60,32,59,35,56,36,28,64,27,34,25,35,26,36,26,34,28,67,24,33,26,32,27,34,26,35,24,35,27,35,27,34,27,1.0
25,68,24,67,22,52,39,51,38,32,48,66,56,36,54,35,23,68,24,70,22,69,25,66,26,40,48,39,24,35,25,38,26,36,24,40,55,32,23,38,22,39,24,38,25,32,25,39,25,39,24,39,2.0
27,61,25,60,14,69,23,68,22,19,66,55,71,21,70,21,20,66,21,68,15,67,27,55,28,24,66,23,26,21,27,22,28,21,21,24,71,19,20,23,15,23,26,23,27,19,27,23,27,23,25,23,2.0
32,60,32,59,30,62,29,61,29,26,59,58,65,27,63,27,31,60,31,62,30,61,32,58,33,30,60,29,32,27,32,29,34,28,32,31,64,26,31,29,30,30,32,29,33,26,33,29,32,30,32,29,1.0
15,75,15,75,9,86,6,85,6,3,84,73,88,4,87,4,12,78,12,79,10,78,15,73,16,6,85,6,15,4,15,6,16,4,13,7,88,4,12,6,10,6,15,6,16,4,16,6,15,6,15,6,2.0
20,74,18,73,16,60,34,59,32,30,58,72,62,32,60,31,17,74,18,76,16,75,19,72,20,34,58,33,18,31,19,32,20,32,18,34,61,30,17,32,16,33,18,32,19,30,19,34,20,33,18,33,2.0
18,73,14,72,12,60,31,59,28,25,56,69,63,28,62,27,13,75,15,77,12,76,17,70,19,32,56,30,17,28,18,28,19,28,15,32,63,25,14,31,12,31,16,30,18,25,17,31,18,30,14,31,2.0
21,71,19,70,14,83,11,82,9,7,81,67,85,9,83,8,16,73,17,75,14,74,20,68,21,11,81,10,19,8,20,9,21,9,17,11,84,7,16,9,14,10,19,9,20,7,20,11,21,10,19,10,2.0
7,84,5,83,2,71,19,70,18,13,68,80,75,16,73,16,3,86,4,88,2,87,6,82,7,20,68,19,6,16,6,18,8,17,4,21,74,14,3,19,2,20,6,19,7,14,7,20,7,20,5,19,1.0
21,72,19,71,15,68,26,67,24,22,66,69,70,24,68,23,17,73,18,75,15,74,20,69,21,26,66,25,19,23,20,24,21,24,18,26,69,22,17,24,15,25,19,24,20,22,20,26,21,25,19,25,1.0
31,61,29,60,26,62,31,61,29,28,60,58,64,30,62,29,28,62,29,64,26,63,31,58,32,32,60,31,30,29,31,29,32,30,29,32,63,28,28,30,26,31,30,30,31,28,31,31,31,31,29,31,2.0
30,64,28,63,26,56,38,55,37,35,54,62,57,36,56,36,27,64,28,66,26,65,29,62,30,38,54,37,28,36,29,37,30,36,28,38,57,35,27,37,26,37,28,37,29,35,29,38,30,37,28,37,2.0
15,79,13,78,11,84,10,83,8,6,82,77,86,8,84,7,12,79,13,81,11,80,14,77,15,10,82,9,13,7,14,8,15,8,13,10,85,6,12,8,11,9,13,8,14,6,14,10,15,9,13,9,2.0
37,57,35,56,33,58,35,57,33,29,55,55,61,32,59,31,34,57,35,59,33,58,36,55,37,35,55,34,35,31,36,33,37,32,35,35,60,29,34,33,33,34,35,33,36,29,36,35,37,34,35,34,1.0
15,77,14,76,9,83,11,82,9,7,81,74,85,9,83,8,11,79,11,80,10,80,14,75,15,11,81,10,14,8,14,9,15,9,11,11,84,7,11,9,10,10,14,9,14,7,14,11,15,10,14,10,2.0
14,77,12,76,5,75,19,74,17,15,73,72,77,17,75,16,8,80,9,82,5,81,13,73,14,19,73,18,12,16,13,17,14,17,9,19,76,15,8,17,5,18,12,17,13,15,13,19,14,18,12,18,2.0
26,67,25,66,23,70,23,69,22,20,68,65,72,22,70,21,24,67,25,69,23,68,26,65,27,24,68,23,25,21,26,22,27,22,25,24,71,20,24,22,23,23,25,22,26,20,26,23,26,23,25,23,1.0
9,84,7,83,3,72,22,71,20,18,70,81,74,20,72,19,5,85,6,87,3,86,8,81,9,22,70,21,7,19,8,20,9,20,6,22,73,18,5,20,3,21,7,20,8,18,8,22,9,21,7,21,1.0
30,61,30,60,26,68,22,67,22,17,66,58,72,19,70,19,28,62,28,64,26,63,30,58,31,23,67,22,30,19,30,22,32,20,29,24,71,19,28,22,26,23,30,22,31,19,31,22,30,23,30,22,1.0
32,61,30,60,26,69,25,68,23,21,67,59,71,23,69,22,28,62,29,64,27,63,31,59,32,25,67,24,30,22,31,23,32,23,29,25,70,21,28,23,27,24,30,23,31,21,31,25,32,24,30,24,1.0
34,60,32,59,30,61,31,60,29,23,58,58,65,27,63,26,31,60,32,62,30,61,33,58,34,31,58,30,32,26,33,29,34,27,32,31,64,24,31,29,30,30,32,29,33,24,33,31,34,30,32,30,1.0
8,82,6,81,0,81,11,80,8,6,78,77,84,9,82,7,3,85,4,87,0,86,7,78,9,12,78,10,7,8,8,9,9,9,4,12,83,6,3,10,0,11,6,9,8,6,7,11,8,10,6,11,1.0
12,80,10,79,5,70,23,69,21,17,67,76,73,20,71,19,7,82,8,84,5,83,11,77,12,23,67,22,10,19,11,21,12,20,8,23,72,17,7,21,5,22,10,21,11,17,11,23,12,22,10,22,1.0
33,60,32,59,30,68,21,67,20,13,63,58,74,16,72,15,31,60,32,62,30,61,33,58,34,22,66,21,32,15,33,20,34,16,32,22,73,14,31,20,30,21,32,20,33,14,33,21,33,21,32,21,1.0
17,73,15,72,9,62,29,61,26,22,58,68,66,26,64,24,12,76,13,78,9,77,16,69,18,30,58,28,16,25,17,27,18,26,13,30,65,22,12,28,9,29,15,27,17,22,16,29,17,28,15,29,2.0
4,90,2,89,0,73,21,72,19,17,71,88,75,19,73,18,1,90,2,92,0,91,3,88,4,21,71,20,2,18,3,19,4,19,2,21,74,17,1,19,0,20,2,19,3,17,3,21,4,20,2,20,2.0
36,58,34,57,32,62,32,61,30,28,60,56,64,30,62,29,33,58,34,60,32,59,35,56,36,32,60,31,34,29,35,30,36,30,34,32,63,28,33,30,32,31,34,30,35,28,35,32,36,31,34,31,1.0
29,65,27,64,25,58,36,57,34,32,56,63,60,34,58,33,26,65,27,67,25,66,28,63,29,36,56,35,27,33,28,34,29,34,27,36,59,32,26,34,25,35,27,34,28,32,28,36,29,35,27,35,2.0
33,55,32,54,23,58,31,57,31,24,53,50,62,28,61,28,28,59,29,61,24,60,34,50,35,33,53,32,33,28,34,31,35,28,29,33,62,24,28,32,24,32,33,32,34,24,34,31,33,32,32,32,2.0
34,60,32,59,30,69,25,68,23,21,67,58,71,23,69,22,31,60,32,62,30,61,33,58,34,25,67,24,32,22,33,23,34,23,32,25,70,21,31,23,30,24,32,23,33,21,33,25,34,24,32,24,1.0
32,60,33,60,31,53,39,52,39,35,51,59,55,37,54,37,32,61,31,61,31,61,32,59,33,39,51,39,33,37,32,39,33,37,32,40,55,36,32,39,31,39,33,39,33,36,33,39,32,39,33,39,2.0
32,58,33,57,29,59,29,58,30,23,54,55,64,26,62,26,31,59,31,61,29,60,33,55,34,31,55,30,33,26,33,30,35,27,32,32,63,23,31,30,29,31,33,30,34,23,34,29,32,31,33,30,1.0
23,68,24,67,21,67,24,66,25,21,64,65,69,23,68,23,22,69,22,70,21,70,24,66,25,26,64,25,24,23,24,25,25,23,22,26,69,21,22,25,21,25,24,25,24,21,24,24,23,25,24,25,2.0
34,60,32,59,30,60,34,59,32,30,58,58,62,32,60,31,31,60,32,62,30,61,33,58,34,34,58,33,32,31,33,32,34,32,32,34,61,30,31,32,30,33,32,32,33,30,33,34,34,33,32,33,2.0
26,67,22,66,20,67,27,66,23,23,65,64,69,25,67,23,21,68,23,70,20,69,24,64,26,27,65,25,24,24,25,23,26,25,23,27,68,23,22,25,20,26,23,24,25,23,24,27,26,25,22,26,2.0
16,76,14,75,12,72,20,71,17,15,69,73,75,18,73,16,13,77,14,79,12,78,15,74,17,21,69,19,15,17,16,18,17,18,14,21,74,15,13,19,12,20,14,18,16,15,15,20,16,19,14,20,1.0
36,58,34,57,32,67,27,66,25,23,65,56,69,25,67,24,33,58,34,60,32,59,35,56,36,27,65,26,34,24,35,25,36,25,34,27,68,23,33,25,32,26,34,25,35,23,35,27,36,26,34,26,1.0
27,67,25,66,23,67,27,66,25,23,65,65,69,25,67,24,24,67,25,69,23,68,26,65,27,27,65,26,25,24,26,25,27,25,25,27,68,23,24,25,23,26,25,25,26,23,26,27,27,26,25,26,1.0
35,57,34,56,30,64,29,63,28,26,62,55,66,28,64,27,32,58,33,60,31,59,35,55,36,30,62,29,34,27,35,28,36,28,33,30,65,26,32,28,31,29,34,28,35,26,35,29,35,29,34,29,1.0
33,60,32,59,30,64,29,63,28,26,62,58,66,28,64,27,31,60,32,62,30,61,33,58,34,30,62,29,32,27,33,28,34,28,32,30,65,26,31,28,30,29,32,28,33,26,33,29,33,29,32,29,1.0
23,69,21,68,16,70,24,69,22,20,68,66,72,22,70,21,18,71,19,73,17,72,22,67,23,24,68,23,21,21,22,22,23,22,19,24,71,20,18,22,17,23,21,22,22,20,22,24,23,23,21,23,2.0
4,90,2,89,0,80,14,79,12,10,78,88,82,12,80,11,1,90,2,92,0,91,3,88,4,14,78,13,2,11,3,12,4,12,2,14,81,10,1,12,0,13,2,12,3,10,3,14,4,13,2,13,1.0
8,84,6,83,0,90,4,89,2,0,88,80,92,2,90,1,3,86,4,88,0,87,7,80,8,4,88,3,6,1,7,2,8,2,4,4,91,0,3,2,0,3,6,2,7,0,7,4,8,3,6,3,2.0
38,47,37,46,35,57,30,56,26,25,52,42,62,29,60,26,36,51,36,52,35,52,38,45,42,33,53,30,42,28,41,28,43,29,37,34,61,25,37,32,36,33,39,29,42,25,39,30,39,30,38,32,1.0
22,68,21,67,13,83,10,82,10,8,81,64,84,9,83,9,17,71,18,73,14,72,22,64,23,11,81,10,21,9,22,10,23,9,18,11,84,8,17,10,14,10,21,10,22,8,22,10,22,10,21,10,1.0
13,79,11,78,5,74,17,73,15,7,69,75,79,12,77,11,8,81,9,83,5,82,12,75,13,17,69,16,11,11,12,15,13,12,9,17,78,7,8,15,5,16,11,15,12,7,12,17,13,16,11,16,1.0
9,81,8,80,1,93,2,92,0,0,92,75,94,1,92,0,3,85,3,86,1,86,8,78,9,2,92,1,8,0,8,0,9,1,3,2,93,0,3,0,1,1,8,0,8,0,8,2,9,1,8,1,2.0
