@relation 'Sax dominant'

@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMaa numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atLee numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMea numeric
@attribute o1atLea numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute destClass {2,1}

@data
79,32,38,88,60,54,4,6,90,40,56,62,34,81,15,40,34,61,33,39,55,5,89,6,56,5,55,13,80,14,62,15,5,33,6,34,39,33,40,15,5,14,61,14,39,14,6,15,1
79,28,35,85,58,57,7,9,87,35,59,62,31,83,12,37,33,62,32,36,58,8,86,9,59,8,58,9,82,12,63,13,8,32,9,33,36,32,37,13,8,12,62,12,36,12,9,13,1
86,40,30,82,50,60,8,11,85,33,63,52,43,88,7,33,43,52,42,32,62,10,84,11,63,10,62,6,87,7,53,8,10,42,11,43,32,42,33,8,10,7,52,7,32,7,11,8,2
83,24,22,81,64,66,7,11,85,24,70,66,26,87,7,25,28,67,27,25,68,9,84,11,70,10,69,5,86,8,68,8,10,27,11,28,25,27,26,9,10,8,67,8,25,8,11,9,2
94,47,23,75,43,69,17,19,77,24,71,45,49,95,0,24,50,45,49,24,70,18,76,19,71,18,70,0,94,0,46,0,18,49,19,50,24,49,25,1,18,0,45,0,24,0,19,1,2
88,44,34,82,48,54,10,12,84,37,58,49,45,90,5,38,46,49,45,37,57,11,83,12,58,11,57,4,89,5,50,6,11,45,12,46,37,45,38,6,11,5,49,5,37,5,12,6,2
94,47,29,74,45,63,18,20,76,30,65,47,48,95,1,31,49,46,48,30,64,19,75,20,65,19,64,0,94,0,47,1,19,48,20,49,30,48,31,1,19,0,46,0,30,0,20,1,2
78,30,45,93,62,47,1,2,94,47,49,64,32,80,16,47,32,63,31,46,48,1,93,2,49,1,48,14,79,15,64,16,1,31,2,32,46,31,47,16,1,15,63,15,46,15,2,16,1
78,27,40,93,65,52,1,2,94,42,54,67,29,80,16,42,29,66,28,41,53,1,93,2,54,1,53,14,79,15,67,16,1,28,2,29,41,28,42,16,1,15,66,15,41,15,2,16,1
94,45,34,80,47,58,12,14,82,36,60,49,47,95,1,36,47,48,46,35,59,13,81,14,60,13,59,0,94,0,49,1,13,46,14,47,35,46,36,1,13,0,48,0,35,0,14,1,2
84,34,32,83,54,52,9,11,85,38,58,58,38,86,10,38,38,57,37,37,57,10,84,11,58,10,57,8,85,9,58,10,10,37,11,38,37,37,38,10,10,9,57,9,37,9,11,10,1
79,29,42,93,63,50,1,2,94,44,52,65,31,81,15,44,31,64,30,43,51,1,93,2,52,1,51,13,80,14,65,15,1,30,2,31,43,30,44,15,1,14,64,14,43,14,2,15,1
81,30,40,93,58,52,1,2,94,41,54,61,33,85,10,41,34,61,33,41,53,1,93,2,54,1,53,7,84,10,62,10,1,33,2,34,41,33,42,11,1,10,61,10,41,10,2,11,1
82,29,41,93,61,51,1,2,94,43,53,64,32,85,11,43,32,62,31,42,52,1,93,2,53,1,52,8,84,9,64,11,1,31,2,32,42,31,43,11,1,10,63,10,42,10,2,11,1
79,31,46,93,61,46,1,2,94,48,48,63,33,81,15,48,33,62,32,47,47,1,93,2,48,1,47,13,80,14,63,15,1,32,2,33,47,32,48,15,1,14,62,14,47,14,2,15,1
84,42,43,92,48,45,0,1,94,45,48,50,43,88,7,47,45,49,44,46,48,1,93,2,49,1,48,4,87,6,51,8,1,44,2,45,46,44,47,8,1,7,50,7,46,7,2,8,2
93,30,25,89,58,61,1,2,92,29,64,62,33,94,2,30,33,61,33,29,63,1,91,3,66,3,65,1,93,1,62,2,3,33,4,34,29,33,30,2,3,1,61,1,29,1,4,2,1
88,41,33,79,51,59,13,15,81,35,61,53,43,90,6,35,43,51,41,33,60,14,80,15,61,14,60,4,89,4,53,6,14,42,15,43,33,42,35,6,14,5,52,4,34,5,15,6,2
93,26,14,88,62,76,2,4,91,16,78,66,29,94,2,17,29,65,28,15,77,3,90,4,79,3,78,1,93,1,66,2,4,29,5,30,16,28,17,2,4,1,65,1,16,1,5,2,1
87,35,31,80,53,57,10,13,83,34,61,56,38,90,5,35,39,56,38,34,60,12,82,13,61,12,60,3,89,5,57,6,12,38,13,39,34,38,35,6,12,5,56,5,34,5,13,6,1
93,26,33,91,64,57,1,2,93,35,59,67,28,94,2,36,28,66,27,34,58,1,92,2,60,1,59,1,93,1,67,2,2,28,3,29,35,27,36,2,2,1,66,1,35,1,3,2,1
87,33,36,93,59,56,1,2,94,37,58,61,34,89,7,38,35,60,34,37,57,1,93,2,58,1,57,5,88,6,61,7,1,34,2,35,37,34,38,7,1,6,60,6,37,6,2,7,1
83,33,41,93,59,51,1,2,94,43,53,61,35,86,10,43,35,60,34,42,52,1,93,2,53,1,52,7,85,9,61,10,1,34,2,35,42,34,43,10,1,9,60,9,42,9,2,10,1
80,32,37,88,60,55,4,6,90,39,57,62,34,82,14,39,34,61,33,38,56,5,89,6,57,5,56,12,81,13,62,14,5,33,6,34,38,33,39,14,5,13,61,13,38,13,6,14,1
76,34,41,93,58,51,1,2,94,43,53,60,36,79,17,43,36,59,35,42,52,1,93,2,53,1,52,14,78,16,60,17,1,35,2,36,42,35,43,17,1,16,59,16,42,16,2,17,1
94,47,27,78,43,65,14,16,80,28,67,46,49,95,1,29,50,45,49,28,66,15,79,16,67,15,66,0,94,0,46,1,15,49,16,50,28,49,29,1,15,0,45,0,28,0,16,1,2
94,35,23,85,51,61,1,3,90,26,64,55,37,95,0,29,37,55,38,27,64,3,89,3,67,5,66,0,94,0,56,1,5,39,6,40,28,39,29,1,5,0,55,0,28,0,6,1,2
79,35,41,93,57,51,1,2,94,42,53,59,36,82,14,43,37,58,36,42,52,1,93,2,53,1,52,11,81,13,59,14,1,36,2,37,42,36,43,14,1,13,58,13,42,13,2,14,1
94,25,23,91,63,67,1,2,93,25,69,66,28,95,0,25,28,66,28,25,68,1,92,2,70,2,69,0,94,0,67,0,2,28,2,29,25,28,26,0,2,0,66,0,25,0,3,1,2
94,38,22,88,54,70,2,4,91,24,71,56,40,95,1,24,40,55,39,23,71,4,90,5,72,4,71,0,94,0,56,1,4,39,5,40,23,39,24,1,4,0,55,0,23,0,5,1,2
94,32,28,80,56,54,10,13,83,35,61,59,36,95,0,35,36,59,34,33,59,11,82,13,61,11,60,0,94,0,60,1,12,35,13,36,34,34,35,1,12,0,59,0,34,0,13,1,2
88,39,26,91,53,60,1,2,93,31,64,55,41,90,6,31,41,54,39,29,63,1,92,3,65,1,64,4,89,5,55,6,2,40,3,41,30,39,31,6,2,5,54,5,30,5,3,6,2
93,27,6,84,63,82,2,4,89,9,83,66,29,94,2,10,29,65,29,9,83,4,88,6,86,6,85,1,93,1,66,2,6,29,7,30,9,29,10,2,6,1,65,1,9,1,7,2,1
82,30,40,90,62,52,2,4,92,42,54,64,32,84,12,42,32,63,31,41,53,3,91,4,54,3,53,10,83,11,64,12,3,31,4,32,41,31,42,12,3,11,63,11,41,11,4,12,1
84,36,39,91,54,51,1,3,93,42,54,57,39,86,10,42,39,56,38,41,53,2,92,3,54,2,53,8,85,9,57,10,2,38,3,39,41,38,42,10,2,9,56,9,41,9,3,10,2
86,38,41,89,54,49,1,4,92,43,52,56,39,88,8,44,40,55,39,43,51,3,91,4,52,3,51,6,87,7,56,8,3,39,4,40,43,39,44,8,3,7,55,7,43,7,4,8,2
90,39,18,89,53,74,3,5,91,20,76,55,41,92,4,20,41,54,40,19,75,4,90,5,76,4,75,2,91,3,55,4,4,40,5,41,19,40,20,4,4,3,54,3,19,3,5,4,2
88,39,39,90,53,53,2,4,92,41,55,55,41,91,5,41,41,54,40,40,54,3,91,4,55,3,54,2,90,4,55,5,3,40,4,41,40,40,41,5,3,4,54,4,40,4,4,5,1
89,33,22,90,55,66,2,3,92,26,69,59,37,91,5,26,37,58,36,25,69,3,91,4,70,3,69,3,90,4,59,5,3,36,4,37,25,36,26,5,3,4,58,4,25,4,4,5,2
94,35,18,85,55,70,1,5,90,21,73,58,37,95,1,22,37,57,36,20,72,4,89,5,74,5,73,0,94,0,58,1,5,37,6,38,21,37,22,1,5,0,57,0,21,0,6,1,2
85,25,33,93,67,55,1,2,94,36,59,69,26,87,9,37,27,68,26,36,58,1,93,2,59,1,58,7,86,8,69,9,1,26,2,27,36,26,37,9,1,8,68,8,36,8,2,9,1
81,22,26,90,70,62,2,3,92,30,65,72,24,83,13,30,24,71,23,29,64,2,91,4,66,3,65,11,82,12,72,13,3,23,4,24,29,23,30,13,3,12,71,12,29,12,4,13,1
84,35,40,93,57,52,1,2,94,41,54,59,36,86,10,42,37,58,36,41,53,1,93,2,54,1,53,8,85,9,59,10,1,36,2,37,41,36,42,10,1,9,58,9,41,9,2,10,1
80,30,38,93,62,54,1,2,94,40,56,64,32,82,14,40,32,63,31,39,55,1,93,2,56,1,55,12,81,13,64,14,1,31,2,32,39,31,40,14,1,13,63,13,39,13,2,14,1
81,33,36,93,57,56,1,2,94,38,58,60,36,84,12,38,36,59,35,37,57,1,93,2,58,1,57,9,83,11,60,12,1,35,2,36,37,35,38,12,1,11,59,11,37,11,2,12,1
93,26,4,83,64,82,3,4,88,9,83,67,29,94,2,9,29,66,27,7,82,3,87,8,87,6,86,1,93,1,67,2,7,28,8,29,8,27,9,2,7,1,66,1,8,1,8,2,1
93,30,26,91,62,62,1,2,93,30,65,64,32,94,2,30,32,63,31,29,64,1,92,3,66,2,65,1,93,1,64,2,2,31,3,32,29,31,30,2,2,1,63,1,29,1,3,2,1
85,43,35,91,49,57,1,3,93,36,59,51,44,88,8,37,45,50,44,36,58,2,92,3,59,2,58,5,87,7,51,8,2,44,3,45,36,44,37,8,2,7,50,7,36,7,3,8,1
94,37,24,89,53,64,1,2,92,28,66,56,40,95,1,28,40,55,38,26,65,1,91,4,68,2,67,0,94,0,56,1,3,39,4,40,27,38,28,1,3,0,55,0,27,0,4,1,2
94,23,25,91,69,63,1,2,93,29,66,71,25,95,1,29,25,70,24,28,66,2,92,3,67,2,66,0,94,0,71,1,2,24,3,25,28,24,29,1,2,0,70,0,28,0,3,1,2
81,34,42,93,58,50,1,2,94,44,52,60,36,83,13,44,36,59,35,43,51,1,93,2,52,1,51,11,82,12,60,13,1,35,2,36,43,35,44,13,1,12,59,12,43,12,2,13,1
94,45,28,83,47,64,5,9,87,30,66,49,47,95,1,30,47,48,46,29,65,8,86,9,66,8,65,0,94,0,49,1,8,46,9,47,29,46,30,1,8,0,48,0,29,0,9,1,2
86,33,40,92,53,48,0,2,94,43,52,56,37,89,5,43,38,57,37,43,51,1,93,2,52,1,51,4,88,6,58,6,1,37,2,38,43,37,44,7,1,6,57,6,43,6,2,7,2
80,28,43,93,64,49,1,2,94,45,51,66,30,82,14,45,30,65,29,44,50,1,93,2,51,1,50,12,81,13,66,14,1,29,2,30,44,29,45,14,1,13,65,13,44,13,2,14,1
94,47,34,81,45,58,9,12,84,34,60,46,47,95,0,35,49,46,48,35,59,11,83,12,60,11,59,0,94,0,47,0,11,48,12,49,35,48,36,1,11,0,46,0,35,0,12,1,2
84,39,38,86,49,54,6,8,88,38,56,53,41,87,9,40,43,52,42,39,55,7,87,8,56,7,55,6,86,8,53,9,7,42,8,43,39,42,40,9,7,8,52,8,39,8,8,9,1
94,35,30,82,51,60,10,11,84,31,62,56,38,95,1,33,40,55,38,31,62,11,83,12,63,11,62,0,94,0,56,1,11,39,12,40,32,39,33,1,11,0,55,0,32,0,12,1,2
93,42,36,83,50,56,9,11,85,38,58,52,44,94,2,38,44,51,43,37,57,10,84,11,58,10,57,1,93,1,52,2,10,43,11,44,37,43,38,2,10,1,51,1,37,1,11,2,2
93,41,31,87,51,59,3,5,90,34,61,53,43,94,2,34,43,52,41,32,60,4,89,6,62,4,61,1,93,1,53,2,5,42,6,43,33,41,34,2,5,1,52,1,33,1,6,2,2
93,30,29,91,60,61,1,3,93,31,64,63,32,94,2,32,33,62,31,30,62,1,92,3,64,1,63,1,93,1,63,2,2,32,3,33,31,31,32,2,2,1,62,1,31,1,3,2,1
79,30,44,93,62,48,1,2,94,46,50,64,32,81,15,46,32,63,31,45,49,1,93,2,50,1,49,13,80,14,64,15,1,31,2,32,45,31,46,15,1,14,63,14,45,14,2,15,1
80,30,38,86,62,54,6,8,88,40,56,64,32,82,14,40,32,63,31,39,55,7,87,8,56,7,55,12,81,13,64,14,7,31,8,32,39,31,40,14,7,13,63,13,39,13,8,14,1
82,32,42,93,60,50,1,2,94,44,52,62,34,85,11,44,34,61,33,43,51,1,93,2,52,1,51,8,84,10,62,11,1,33,2,34,43,33,44,11,1,10,61,10,43,10,2,11,1
85,30,38,93,62,54,1,2,94,40,56,64,32,87,9,40,32,63,31,39,55,1,93,2,56,1,55,7,86,8,64,9,1,31,2,32,39,31,40,9,1,8,63,8,39,8,2,9,1
94,36,25,90,56,65,2,3,92,28,67,58,38,95,1,28,38,57,37,27,66,2,91,4,68,3,67,0,94,0,58,1,3,37,4,38,27,37,28,1,3,0,57,0,27,0,4,1,2
91,24,23,91,64,65,1,2,93,27,68,68,28,92,4,27,28,67,27,26,67,1,92,3,69,2,68,3,91,3,68,4,2,27,3,28,26,27,27,4,2,3,67,3,26,3,3,4,1
94,27,4,85,63,84,3,4,89,7,85,66,29,95,1,8,29,65,29,7,84,3,88,6,88,6,87,0,94,0,66,1,6,29,7,30,7,29,8,1,6,0,65,0,7,0,7,1,2
92,40,37,94,42,45,0,0,95,40,51,48,43,93,2,44,47,48,42,39,51,0,94,1,52,0,51,2,92,2,49,3,0,46,1,47,43,46,44,3,0,2,48,2,43,2,1,3,1
84,15,38,93,75,52,1,2,94,41,55,77,18,86,9,41,18,77,17,40,54,1,93,2,55,1,54,8,85,9,78,10,1,17,2,18,40,17,41,10,1,9,77,9,40,9,2,10,1
89,37,33,88,51,53,2,3,91,35,56,54,38,91,4,37,40,54,38,35,55,2,90,4,58,2,57,3,90,4,55,4,4,40,5,41,37,38,38,5,4,4,54,4,37,4,5,5,1
94,33,7,82,51,75,2,5,88,10,79,57,35,95,1,14,38,56,35,10,78,4,87,7,82,5,81,0,94,0,57,1,7,38,8,39,13,36,14,1,7,0,56,0,13,0,8,1,2
90,41,29,78,49,61,14,16,80,31,64,51,43,92,3,31,44,51,43,31,63,15,79,16,64,15,63,2,91,3,52,3,15,43,16,44,31,43,32,4,15,3,51,3,31,3,16,4,2
81,30,39,93,62,53,1,2,94,41,55,64,32,83,13,41,32,63,31,40,54,1,93,2,55,1,54,11,82,12,64,13,1,31,2,32,40,31,41,13,1,12,63,12,40,12,2,13,1
83,27,39,94,65,53,0,1,95,41,55,67,29,85,11,41,29,66,28,40,54,0,94,1,55,0,54,9,84,10,67,11,0,28,1,29,40,28,41,11,0,10,66,10,40,10,1,11,1
85,38,44,91,52,48,1,3,93,45,50,54,40,87,8,46,41,54,40,45,49,2,92,3,50,2,49,7,86,8,55,9,2,40,3,41,45,40,46,9,2,8,54,8,45,8,3,9,2
92,39,27,86,53,65,4,7,89,28,67,55,40,94,2,29,41,54,40,28,66,6,88,7,67,6,66,0,93,1,55,2,6,40,7,41,28,40,29,2,6,1,54,1,28,1,7,2,2
82,26,36,88,64,52,2,3,91,39,54,66,28,84,11,39,28,66,27,38,53,2,90,4,56,3,55,10,83,11,67,11,4,28,4,29,39,27,40,11,4,11,66,11,39,11,5,12,1
81,31,41,93,61,51,1,2,94,43,53,63,33,83,13,43,33,62,32,42,52,1,93,2,53,1,52,11,82,12,63,13,1,32,2,33,42,32,43,13,1,12,62,12,42,12,2,13,1
93,41,38,80,51,54,12,14,82,40,56,53,43,94,2,40,43,52,42,39,55,13,81,14,56,13,55,1,93,1,53,2,13,42,14,43,39,42,40,2,13,1,52,1,39,1,14,2,2
83,41,43,88,51,45,4,6,90,45,49,53,41,86,10,47,43,52,42,46,48,5,89,6,49,5,48,7,85,9,53,10,5,42,6,43,46,42,47,10,5,9,52,9,46,9,6,10,2
86,43,36,81,49,54,11,13,83,38,57,50,44,89,6,39,45,50,44,38,56,12,82,13,57,12,56,4,88,6,51,7,12,44,13,45,38,44,39,7,12,6,50,6,38,6,13,7,2
81,31,36,82,61,56,10,12,84,37,58,63,32,83,13,38,33,62,32,37,57,11,83,12,58,11,57,11,82,12,63,13,11,32,12,33,37,32,38,13,11,12,62,12,37,12,12,13,1
93,36,28,81,52,60,9,11,84,31,63,56,39,94,2,32,39,55,38,30,62,10,83,11,64,11,63,1,93,1,56,2,11,39,12,40,31,39,32,2,11,1,55,1,31,1,12,2,1
90,24,29,89,64,61,1,4,92,32,64,67,28,92,3,32,28,67,27,31,63,3,91,4,64,3,63,2,91,3,68,4,3,27,4,28,31,27,32,4,3,3,67,3,31,3,4,4,2
79,30,41,93,62,51,1,2,94,43,53,64,32,81,15,43,32,63,31,42,52,1,93,2,53,1,52,13,80,14,64,15,1,31,2,32,42,31,43,15,1,14,63,14,42,14,2,15,1
