@relation 'Sax dominant'

@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atLee numeric
@attribute o1atMaa numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMea numeric
@attribute o1atLea numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute destClass {1,2}

@data
78,80,7,2,83,12,79,15,3,92,11,84,86,8,4,85,81,10,3,9,79,13,85,8,6,90,11,10,9,83,4,15,2,14,2,84,2,91,9,13,80,8,10,8,11,15,1.0
78,85,7,2,85,12,80,14,3,92,7,87,87,8,4,88,81,8,3,8,80,14,86,8,5,90,8,9,7,86,4,15,3,14,3,87,2,91,7,14,80,8,7,8,7,15,1.0
81,87,4,3,86,9,82,12,4,91,7,88,89,5,5,89,84,7,4,6,82,10,88,5,5,89,7,7,5,87,5,12,3,11,3,88,3,90,5,10,83,5,6,5,7,12,2.0
77,88,6,2,84,13,79,16,3,92,6,89,87,8,4,90,80,9,3,8,78,14,86,7,4,90,6,9,4,89,4,16,3,15,3,89,3,91,4,15,79,7,5,8,6,16,1.0
77,88,6,2,84,11,80,14,3,92,5,89,87,8,3,90,81,9,3,8,79,13,86,7,4,90,6,9,4,89,4,15,3,14,3,89,3,91,4,14,80,7,5,8,6,14,2.0
79,89,4,2,86,11,81,14,3,92,5,90,89,6,4,91,82,7,3,6,80,13,88,5,3,90,5,7,4,89,4,14,3,13,3,90,2,91,4,13,81,6,4,6,5,14,2.0
77,85,4,3,88,11,80,15,4,91,8,87,90,5,5,88,81,6,4,5,80,14,89,5,5,89,8,6,7,86,5,15,4,14,4,87,3,90,7,14,80,5,7,5,8,15,2.0
75,88,4,3,88,11,79,15,4,91,5,89,90,5,4,90,80,6,4,5,79,15,89,5,4,89,6,6,5,88,5,16,4,15,4,89,3,90,5,15,79,5,5,5,6,15,2.0
76,86,7,2,83,12,78,14,3,92,5,88,86,8,3,89,80,9,3,9,78,15,85,8,4,90,7,10,6,87,4,16,3,15,3,88,2,91,6,15,79,9,6,9,6,15,1.0
77,76,7,3,83,13,79,15,4,91,16,78,86,9,5,79,80,9,4,9,78,14,85,8,14,89,17,10,15,77,5,16,3,15,3,78,3,90,15,14,79,8,16,8,16,16,1.0
80,88,6,3,86,10,82,13,4,91,6,89,88,7,5,90,83,8,4,7,82,12,87,7,4,89,6,8,5,88,5,13,4,12,4,89,3,90,5,12,82,7,5,7,6,13,2.0
77,59,7,2,85,13,79,16,4,92,34,62,87,8,4,62,80,9,3,8,79,14,86,8,31,90,34,9,32,61,4,16,3,15,3,61,3,91,33,15,79,8,33,8,34,16,1.0
78,86,6,3,84,12,79,14,4,91,6,88,87,7,5,89,81,8,4,8,79,13,86,7,4,89,7,9,5,87,5,15,3,14,3,88,3,90,5,13,80,7,6,7,6,15,1.0
77,75,7,2,83,11,79,13,3,92,16,77,86,8,3,78,81,9,3,9,79,14,85,8,15,90,18,10,17,76,4,15,3,14,3,77,2,91,17,14,80,9,17,9,17,14,1.0
54,71,3,3,89,34,57,36,4,91,19,74,91,4,4,75,58,4,4,4,57,36,90,4,17,89,21,5,19,73,5,38,4,37,3,74,3,90,20,36,57,4,20,4,20,37,2.0
66,82,3,3,89,18,71,24,5,91,11,85,91,4,5,85,72,5,4,4,71,23,90,4,8,89,11,5,10,83,5,24,4,23,4,84,3,90,10,23,71,4,10,4,11,24,2.0
78,88,3,2,87,10,81,13,3,92,5,89,90,5,3,90,82,6,3,5,80,13,89,4,4,90,6,6,5,88,4,14,3,13,3,89,2,91,5,13,81,5,5,5,6,13,2.0
79,88,6,3,84,11,80,14,4,91,6,89,87,7,5,90,82,9,4,8,80,12,86,7,4,89,6,9,4,88,5,14,3,13,3,89,3,90,4,12,81,7,5,7,6,14,2.0
77,89,6,2,84,11,79,14,3,92,4,90,87,7,3,91,81,9,3,8,79,14,86,7,3,90,5,9,4,89,4,15,3,14,3,90,2,91,4,14,80,8,4,8,5,14,2.0
79,88,5,3,87,11,81,14,3,91,6,88,89,6,5,90,82,7,4,6,81,12,88,6,4,89,6,7,4,89,5,14,4,13,4,89,4,90,5,13,81,6,5,6,6,14,1.0
79,88,5,2,85,11,81,14,3,92,6,89,88,7,4,90,82,8,3,7,80,12,87,6,4,90,6,8,4,88,4,14,2,13,2,89,2,91,4,12,81,6,5,6,6,14,2.0
78,88,7,2,83,12,79,15,3,92,6,89,86,8,4,90,81,10,3,9,79,13,85,8,4,90,6,10,4,89,4,15,3,14,3,89,3,91,4,14,80,8,5,9,6,15,1.0
78,86,7,2,85,12,80,15,3,92,7,88,87,8,4,89,81,9,3,8,80,13,86,8,4,90,7,9,5,88,4,15,3,14,3,88,3,91,6,14,80,8,6,8,7,15,1.0
68,73,1,2,89,18,72,21,3,92,18,75,92,3,3,76,73,3,3,3,71,21,91,2,17,90,20,4,18,74,4,23,2,22,2,75,2,91,18,21,72,2,19,2,19,22,1.0
78,88,5,3,85,10,80,14,4,91,6,89,88,6,5,90,82,8,4,7,80,12,87,6,4,89,6,8,4,88,5,14,3,13,3,89,3,90,4,12,81,6,5,6,6,14,2.0
78,86,6,3,84,12,79,15,4,91,7,88,87,7,5,89,81,9,4,8,79,13,86,7,4,89,7,9,5,87,5,15,3,14,3,88,3,90,5,13,80,7,6,7,7,15,1.0
79,88,5,3,85,9,81,13,4,91,6,89,88,6,5,90,83,8,4,7,81,11,87,6,4,89,6,8,4,88,5,13,3,12,3,89,3,90,4,11,82,6,5,6,6,13,2.0
78,89,5,3,87,12,80,15,3,91,5,89,89,6,5,91,81,7,4,6,80,14,88,6,3,89,5,7,4,89,5,15,4,14,4,90,3,90,4,14,80,6,4,6,5,15,1.0
72,58,7,2,83,16,74,20,4,92,35,61,86,8,4,61,76,10,3,9,74,18,85,8,32,90,35,10,33,60,4,20,3,19,3,60,3,91,33,19,75,8,34,9,35,20,1.0
76,89,4,2,86,12,78,16,3,92,5,90,89,5,4,91,80,7,3,6,79,14,88,6,3,90,5,7,3,89,4,16,3,15,2,90,2,91,4,14,79,6,4,6,5,16,1.0
72,86,4,3,88,14,76,18,4,91,6,88,90,5,5,89,77,5,4,5,76,18,89,5,4,89,7,6,6,87,5,19,4,18,4,88,3,90,6,18,76,5,6,5,6,19,2.0
76,88,5,3,87,12,79,16,4,91,6,89,89,6,5,90,80,7,4,6,79,14,88,6,4,89,6,7,4,88,5,16,4,15,3,89,3,90,5,14,79,6,5,6,6,16,1.0
78,88,5,3,85,10,80,14,4,91,6,89,88,6,5,90,82,8,4,7,80,12,87,6,4,89,6,8,4,88,5,14,3,13,3,89,3,90,4,12,81,6,5,6,6,14,2.0
66,86,4,3,88,16,72,23,4,91,7,88,90,5,5,89,73,6,4,5,72,21,89,5,4,89,7,6,5,87,5,23,4,22,3,88,3,90,6,21,72,5,6,5,7,23,2.0
79,88,4,2,86,11,81,14,3,92,6,89,89,6,4,90,82,7,3,6,81,12,88,6,4,90,6,7,4,88,4,14,3,13,2,89,2,91,5,12,81,6,5,6,6,14,2.0
78,88,7,3,85,12,80,15,4,91,6,89,87,8,5,90,81,9,4,8,80,13,86,8,4,89,6,9,4,88,5,15,4,14,3,89,3,90,5,13,80,8,5,8,6,15,2.0
78,88,5,3,85,12,80,15,4,91,6,89,88,7,5,90,81,8,4,7,79,13,87,6,4,89,6,8,4,88,5,15,3,14,3,89,3,90,4,13,80,6,5,6,6,15,2.0
77,88,7,2,85,13,79,16,3,92,6,89,87,8,4,90,80,9,3,8,79,14,86,8,4,90,6,9,4,89,4,16,3,15,3,89,3,91,5,15,79,8,5,8,6,16,1.0
79,88,5,3,85,11,81,14,4,91,6,89,88,7,5,90,82,8,4,7,80,12,87,6,4,89,6,8,4,88,5,14,3,13,3,89,3,90,4,12,81,6,5,6,6,14,2.0
72,78,3,2,87,12,77,16,3,92,13,80,90,5,3,81,78,5,3,5,76,16,89,4,12,90,15,6,13,79,4,18,2,17,2,80,2,91,13,16,77,4,14,4,14,17,1.0
78,85,6,2,84,10,80,14,3,92,8,87,87,7,4,88,82,9,3,8,80,13,86,7,5,90,8,9,7,86,4,14,3,13,3,87,2,91,7,13,81,8,7,8,8,14,2.0
79,86,6,2,84,11,80,13,3,92,6,88,87,7,4,89,82,8,3,8,80,12,86,7,4,90,7,9,5,88,4,14,3,13,3,88,3,91,5,13,81,7,6,8,6,14,2.0
79,86,4,3,86,9,81,12,4,91,6,88,89,5,5,89,83,6,4,6,81,11,88,5,4,89,7,7,5,87,5,13,3,12,3,88,3,90,5,11,82,5,6,5,6,13,2.0
75,88,5,3,85,13,77,17,4,91,6,89,88,6,5,90,79,8,4,7,77,15,87,6,4,89,6,8,4,88,5,17,3,16,3,89,3,90,4,15,78,6,5,6,6,17,2.0
78,88,5,3,85,12,80,15,4,91,6,89,88,7,5,90,81,8,4,7,79,13,87,6,4,89,6,8,4,88,5,15,3,14,3,89,3,90,4,13,80,6,5,6,6,15,2.0
78,75,6,3,86,12,81,15,4,91,17,78,88,8,5,79,81,8,4,7,80,13,87,7,13,89,17,8,15,77,5,15,4,14,3,78,3,90,16,13,80,7,16,7,17,15,1.0
77,88,6,3,86,11,80,14,4,91,5,89,88,7,4,90,81,8,4,7,80,13,87,7,4,89,6,8,4,88,5,15,4,14,3,89,3,90,5,13,80,7,5,7,6,14,2.0
63,72,5,3,85,23,66,26,4,91,18,75,88,6,4,76,68,7,4,7,66,27,87,6,16,89,20,8,19,74,5,28,4,27,4,75,3,90,19,27,67,7,19,7,19,27,2.0
79,88,4,3,86,11,80,14,4,91,6,89,89,5,5,90,82,7,4,6,80,12,88,5,4,89,6,7,4,88,5,14,3,13,3,89,3,90,4,12,81,5,5,5,6,14,2.0
79,88,6,3,84,11,80,14,4,91,6,89,87,7,5,90,82,9,4,8,80,13,86,7,4,89,6,9,5,88,5,14,4,13,4,89,3,90,5,13,81,8,5,8,6,14,2.0
78,89,7,2,85,12,80,15,3,92,5,90,87,8,4,91,81,9,3,8,80,14,86,8,3,90,5,9,4,89,4,15,3,14,3,90,2,91,4,14,80,8,4,8,5,15,1.0
78,76,8,2,82,12,79,14,3,92,16,78,85,9,4,79,81,10,3,10,79,13,84,9,14,90,17,11,15,77,4,15,2,14,2,78,2,91,15,13,80,9,16,9,16,15,1.0
76,77,7,2,83,12,78,14,3,92,14,79,86,8,3,80,80,9,3,9,78,15,85,8,13,90,16,10,15,78,4,16,3,15,3,79,2,91,15,15,79,9,15,9,15,15,1.0
75,86,5,3,87,13,78,17,4,91,7,88,89,6,5,89,79,7,4,6,78,15,88,6,4,89,7,7,5,87,5,17,4,16,3,88,3,90,6,15,78,6,6,6,7,17,1.0
79,88,5,3,87,11,81,14,4,91,6,89,89,6,5,90,82,7,4,6,81,12,88,6,4,89,6,7,4,88,5,14,4,13,3,89,3,90,5,12,81,6,5,6,6,14,2.0
79,86,6,2,84,11,81,13,3,92,6,88,87,8,4,89,82,8,3,8,80,12,86,7,4,90,7,9,5,88,4,14,3,13,3,88,3,91,5,13,81,7,6,8,6,14,2.0
77,88,6,3,84,11,79,14,4,91,5,89,87,7,4,90,81,9,4,8,79,13,86,7,4,89,6,9,4,88,5,15,3,14,3,89,3,90,4,13,80,7,5,7,6,14,2.0
78,88,4,2,86,10,80,14,3,92,6,89,89,5,4,90,82,7,3,6,80,12,88,5,4,90,6,7,4,89,4,14,3,13,3,89,3,91,4,13,81,5,5,6,6,14,1.0
59,73,4,3,88,23,65,28,4,91,17,76,90,5,4,77,66,5,4,5,65,28,89,5,15,89,19,6,17,75,5,30,4,29,3,76,3,90,18,28,65,5,18,5,18,29,1.0
79,88,5,3,87,11,81,14,4,91,6,89,89,6,5,90,82,7,4,6,81,12,88,6,4,89,6,7,4,88,5,14,4,13,3,89,3,90,5,12,81,6,5,6,6,14,2.0
78,86,6,3,86,12,80,14,4,91,6,88,88,7,5,89,81,7,4,7,80,13,87,7,4,89,7,8,5,87,5,15,4,14,3,88,3,90,6,13,80,7,6,7,6,15,2.0
78,88,5,3,85,12,79,15,4,91,6,89,88,6,5,90,81,8,4,7,80,13,87,7,4,89,6,8,4,88,5,15,4,14,3,89,3,90,5,13,80,7,5,7,6,15,2.0
61,75,5,3,87,25,65,28,4,91,15,78,89,6,4,79,66,6,4,6,65,28,88,6,13,89,17,7,15,77,5,30,4,29,3,78,3,90,16,28,65,6,16,6,16,29,1.0
78,83,7,2,83,12,79,15,3,92,10,85,86,8,4,86,81,10,3,9,79,14,85,8,7,90,10,10,9,84,4,15,3,14,3,85,2,91,9,14,80,9,9,9,10,15,1.0
80,88,6,2,84,10,81,13,3,92,6,89,87,7,4,90,83,9,3,8,81,11,86,7,4,90,6,9,4,89,4,13,3,12,3,89,3,91,4,12,82,7,5,8,6,13,2.0
79,89,4,2,86,11,81,14,3,92,5,90,89,6,4,91,82,7,3,6,81,12,88,6,3,90,5,7,3,89,4,14,3,13,2,90,2,91,4,12,81,6,4,6,5,14,2.0
78,81,6,3,84,12,80,15,4,91,12,83,87,8,5,84,81,9,4,8,79,13,86,7,9,89,12,9,10,82,5,15,3,14,3,83,3,90,10,13,80,7,11,7,12,15,1.0
76,86,3,2,87,10,80,13,3,92,5,88,90,5,3,89,81,5,3,5,79,13,89,4,4,90,7,6,5,87,4,15,2,14,2,88,2,91,5,13,80,4,6,4,6,14,1.0
79,83,3,2,87,11,82,14,3,92,10,85,90,6,4,86,82,6,3,5,80,12,89,4,7,90,10,6,8,84,4,14,2,13,2,85,2,91,8,12,81,4,9,4,10,14,1.0
77,80,6,2,84,13,78,15,3,92,12,82,87,7,4,83,80,8,3,8,79,14,86,8,10,90,13,9,11,81,4,16,3,15,2,82,2,91,12,14,79,8,12,8,12,16,1.0
77,84,7,2,85,13,79,16,3,92,8,87,87,8,4,88,80,9,3,8,79,15,86,8,4,90,8,9,7,86,4,16,3,15,3,87,2,91,7,15,79,8,7,8,8,16,1.0
77,65,6,2,84,13,79,16,4,92,27,69,87,8,4,69,80,9,3,8,78,14,86,7,23,90,27,9,25,68,4,16,3,15,3,68,3,91,25,15,79,7,26,8,27,16,1.0
53,78,4,4,88,35,56,38,4,90,13,80,90,5,5,82,57,6,5,5,56,37,89,5,10,88,14,6,12,80,6,39,5,38,4,81,4,89,13,37,56,5,13,5,14,38,2.0
78,88,4,3,86,10,80,14,4,91,6,89,89,5,5,90,82,7,4,6,80,12,88,5,4,89,6,7,4,88,5,14,3,13,3,89,3,90,4,12,81,5,5,5,6,14,2.0
79,72,7,2,85,11,81,13,3,92,20,74,87,8,4,75,82,8,3,8,81,13,86,8,18,90,21,9,20,73,4,14,3,13,3,74,2,91,20,13,81,8,20,8,20,14,1.0
78,76,7,2,85,12,80,14,3,92,16,78,87,8,4,79,81,8,3,8,80,14,86,8,14,90,17,9,16,77,4,15,3,14,3,78,2,91,16,14,80,8,16,8,16,15,1.0
78,76,7,2,83,12,79,14,3,92,16,78,86,8,4,79,81,9,3,9,79,14,85,8,14,90,17,10,16,77,4,15,3,14,3,78,2,91,16,14,80,9,16,9,16,15,1.0
80,88,6,3,86,10,82,13,4,91,6,89,88,7,5,90,83,8,4,7,82,12,87,7,4,89,6,8,5,88,5,13,4,12,4,89,3,90,5,12,82,7,5,7,6,13,2.0
78,84,6,3,86,10,81,13,4,91,8,86,88,7,4,87,82,8,4,7,81,12,87,7,6,89,9,8,7,85,5,14,4,13,3,86,3,90,8,12,81,7,8,7,9,13,2.0
74,80,5,3,87,12,78,15,3,91,11,81,89,6,4,83,79,6,4,6,78,16,88,6,10,89,13,7,12,81,5,17,4,16,4,82,3,90,12,16,78,6,12,6,12,16,1.0
70,79,5,3,87,18,73,22,5,91,13,83,89,6,5,83,74,7,4,6,73,21,88,6,9,89,13,7,12,81,5,22,4,21,4,82,3,90,12,21,73,6,12,6,13,22,2.0
79,88,4,2,86,11,81,14,3,92,6,89,89,6,4,90,82,7,3,6,80,12,88,5,4,90,6,7,4,89,4,14,3,13,3,89,3,91,4,13,81,5,5,6,6,14,2.0
76,88,7,3,83,14,78,17,4,91,6,89,86,9,5,90,79,10,4,9,77,15,85,8,4,89,6,10,4,88,5,17,3,16,3,89,3,90,4,15,78,8,5,8,6,17,1.0
80,89,6,2,84,10,81,13,3,92,5,90,87,7,4,91,83,9,3,8,81,12,86,7,3,90,5,9,4,89,4,13,3,12,3,90,2,91,4,12,82,8,4,8,5,13,2.0
79,89,7,2,85,11,81,14,3,92,5,90,87,8,4,91,82,9,3,8,81,13,86,8,3,90,5,9,4,89,4,14,3,13,3,90,2,91,4,13,81,8,4,8,5,14,1.0
79,88,4,2,86,11,81,14,3,92,6,89,89,6,4,90,82,7,3,6,81,12,88,6,4,90,6,7,4,88,4,14,3,13,2,89,2,91,5,12,81,6,5,6,6,14,2.0
75,88,5,3,85,13,78,17,4,91,6,89,88,7,5,90,79,8,4,7,77,15,87,6,4,89,6,8,4,88,5,17,3,16,3,89,3,90,4,15,78,6,5,6,6,17,2.0
78,88,4,2,86,10,81,14,3,92,6,89,89,6,4,90,82,7,3,6,80,13,88,5,4,90,6,7,5,88,4,14,3,13,3,89,2,91,5,13,81,6,5,6,6,14,2.0
54,85,3,3,89,32,58,35,4,91,6,87,91,4,4,88,59,4,4,4,58,35,90,4,5,89,8,5,6,86,5,37,4,36,3,87,3,90,7,35,58,4,7,4,7,36,2.0
79,81,6,3,86,11,81,14,4,91,12,83,88,7,5,84,82,8,4,7,81,12,87,7,9,89,12,8,10,82,5,14,4,13,3,83,3,90,11,12,81,7,11,7,12,14,2.0
78,76,7,2,83,12,79,14,3,92,15,79,86,8,4,80,81,9,3,9,79,14,85,8,12,90,16,10,15,78,4,15,3,14,3,79,2,91,15,14,80,9,15,9,15,15,1.0
78,86,7,2,83,12,79,14,3,92,6,88,86,8,4,89,81,9,3,9,79,13,85,8,4,90,7,10,5,87,4,15,2,14,2,88,2,91,5,13,80,8,6,8,6,15,1.0
80,87,6,2,84,10,81,13,3,92,7,88,87,7,4,89,83,9,3,8,81,11,86,7,5,90,7,9,5,88,4,13,3,12,3,88,3,91,5,12,82,7,6,8,7,13,2.0
77,81,6,2,84,13,79,16,3,92,12,83,87,8,4,84,80,9,3,8,78,14,86,7,9,90,12,9,10,83,4,16,3,15,3,83,3,91,10,15,79,7,11,8,12,16,1.0
73,85,4,3,88,11,78,16,3,91,7,86,90,5,4,88,79,6,4,5,78,14,89,5,5,89,8,6,5,87,5,17,4,16,4,87,4,90,7,16,78,5,7,5,8,16,2.0
79,88,5,3,85,11,81,14,4,91,6,89,88,7,5,90,82,8,4,7,80,12,87,6,4,89,6,8,4,88,5,14,3,13,3,89,3,90,4,12,81,6,5,6,6,14,2.0
79,88,6,3,84,11,80,14,4,91,6,89,87,7,5,90,82,9,4,8,80,12,86,7,4,89,6,9,4,88,5,14,3,13,3,89,3,90,4,12,81,7,5,7,6,14,2.0
79,87,6,2,84,9,81,12,3,92,6,88,87,7,3,89,83,9,3,8,81,11,86,7,5,90,7,9,5,88,4,13,3,12,3,88,3,91,5,12,82,7,6,8,7,12,2.0
75,75,3,2,87,13,78,16,3,92,17,77,90,5,4,78,79,5,3,5,77,15,89,4,15,90,18,6,16,76,4,17,2,16,2,77,2,91,16,15,78,4,17,4,17,17,1.0
74,84,4,3,88,12,78,16,4,91,8,86,90,5,5,87,79,5,4,5,78,16,89,5,6,89,9,6,8,85,5,17,4,16,4,86,3,90,8,16,78,5,8,5,8,17,2.0
78,79,6,3,84,12,79,14,4,91,12,82,87,7,5,83,81,8,4,8,79,13,86,7,9,89,13,9,11,81,5,15,3,14,3,82,3,90,11,13,80,7,12,7,12,15,1.0
78,83,6,3,84,12,80,14,4,91,9,85,87,8,5,86,81,8,4,8,79,13,86,7,7,89,10,9,8,84,5,15,3,14,3,85,3,90,8,13,80,7,9,7,9,15,2.0
74,82,5,3,85,12,78,16,4,91,10,84,88,7,4,85,79,8,4,7,77,15,87,6,8,89,11,8,9,83,5,17,3,16,3,84,3,90,9,15,78,6,10,6,11,16,2.0
80,83,2,2,88,10,81,13,3,92,9,86,91,3,4,87,83,5,3,4,82,11,90,4,5,90,9,5,7,85,4,13,3,12,2,86,2,91,8,11,82,4,8,4,9,13,1.0
79,88,5,3,85,11,80,14,4,91,6,89,88,6,5,90,82,8,4,7,81,12,87,7,4,89,6,8,4,88,5,14,4,13,3,89,3,90,5,12,81,7,5,7,6,14,2.0
78,76,7,2,83,12,79,14,3,92,16,78,86,8,4,79,81,9,3,9,79,13,85,8,14,90,17,10,15,78,4,15,3,14,3,78,3,91,15,14,80,8,16,9,16,15,1.0
78,71,7,2,85,12,80,14,3,92,21,73,87,8,4,74,81,8,3,8,80,13,86,8,19,90,22,9,20,73,4,15,3,14,3,73,3,91,21,14,80,8,21,8,21,15,1.0
78,85,6,3,84,12,80,15,4,91,8,87,87,8,5,88,81,9,4,8,79,13,86,7,5,89,8,9,6,86,5,15,3,14,3,87,3,90,6,13,80,7,7,7,8,15,1.0
78,88,4,3,86,12,80,15,4,91,6,89,89,6,5,90,81,7,4,6,79,13,88,5,4,89,6,7,4,88,5,15,3,14,3,89,3,90,4,13,80,5,5,5,6,15,2.0
76,79,7,3,85,14,78,16,4,91,13,81,87,8,5,82,79,8,4,8,78,15,86,8,11,89,14,9,12,80,5,17,4,16,3,81,3,90,13,15,78,8,13,8,13,17,1.0
78,74,7,2,85,12,80,14,3,92,18,76,87,8,4,77,81,8,3,8,80,14,86,8,16,90,19,9,18,75,4,15,3,14,3,76,2,91,18,14,80,8,18,8,18,15,1.0
80,89,6,2,84,10,81,13,3,92,5,90,87,7,4,91,83,9,3,8,81,12,86,7,3,90,5,9,4,89,4,13,3,12,3,90,2,91,4,12,82,8,4,8,5,13,2.0
78,88,8,3,84,12,80,15,4,91,6,89,86,9,5,90,81,10,4,9,80,13,85,9,4,89,6,10,4,88,5,15,4,14,3,89,3,90,5,13,80,9,5,9,6,15,1.0
