@relation 'Sax dominant'

@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atLee numeric
@attribute o1atMaa numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute destClass {1,2}

@data
33,70,51,58,72,37,16,21,35,60,54,41,76,19,23,72,35,60,54,40,75,19,23,72,55,20,35,41,23,60,35,20,54,19,23,60,23,20,23,41,23,40,35,19,35,40,2.0
33,70,52,58,72,36,18,21,35,60,55,40,75,20,23,72,35,60,55,39,74,20,23,72,56,21,35,40,23,60,35,21,55,20,23,60,23,21,23,40,23,39,35,20,35,39,1.0
33,76,54,57,72,34,17,17,35,60,58,37,75,20,18,77,35,59,57,37,75,20,18,77,58,20,36,38,18,60,36,20,57,20,18,59,18,20,18,38,18,37,35,20,35,37,2.0
36,70,48,53,64,41,22,21,39,56,51,44,69,27,23,72,39,56,51,44,68,26,23,72,51,27,39,44,23,56,39,27,51,26,23,56,23,27,23,44,23,44,39,26,39,44,2.0
33,70,51,57,72,38,17,20,36,59,54,41,75,20,22,73,35,59,54,41,75,20,22,72,54,20,36,41,23,60,36,20,54,20,22,59,23,20,23,41,22,41,35,20,35,41,2.0
38,68,53,53,74,36,16,19,40,55,56,39,77,19,23,72,40,55,56,39,76,18,23,72,56,19,40,39,23,55,40,19,56,18,23,55,23,19,23,39,23,39,40,18,40,39,1.0
32,77,56,56,71,34,20,16,36,60,59,37,73,22,17,78,35,59,58,36,73,22,17,78,59,22,36,37,17,60,36,22,58,22,17,59,17,22,17,37,17,36,35,22,35,36,2.0
40,71,50,51,64,41,22,20,42,53,52,43,69,27,22,73,42,53,52,43,68,26,22,73,52,27,42,43,22,53,42,27,52,26,22,53,22,27,22,43,22,43,42,26,42,43,2.0
32,77,49,57,73,38,15,14,35,60,53,42,77,19,16,79,35,60,53,42,76,18,16,79,53,19,35,42,16,60,35,19,53,18,16,60,16,19,16,42,16,42,35,18,35,42,1.0
37,66,51,54,69,38,21,25,39,56,54,41,72,24,27,68,39,56,54,41,71,23,27,68,54,24,39,41,27,56,39,24,54,23,27,56,27,24,27,41,27,41,39,23,39,41,1.0
38,67,52,53,69,39,21,24,40,55,54,41,72,24,26,69,40,55,54,41,71,23,26,69,54,24,40,41,26,55,40,24,54,23,26,55,26,24,26,41,26,41,40,23,40,41,1.0
36,71,48,53,75,41,13,18,39,56,51,44,79,17,21,74,39,56,51,44,78,16,21,74,51,17,39,44,21,56,39,17,51,16,21,56,21,17,21,44,21,44,39,16,39,44,2.0
37,72,47,52,72,42,16,17,40,55,50,45,76,20,20,75,40,55,50,45,75,19,20,75,50,20,40,45,20,55,40,20,50,19,20,55,20,20,20,45,20,45,40,19,40,45,1.0
39,78,55,48,69,33,19,15,43,52,58,37,73,22,16,79,43,52,58,36,72,22,16,79,59,23,43,37,16,52,43,23,58,22,16,52,16,23,16,37,16,36,43,22,43,36,1.0
36,75,54,54,72,35,17,15,39,57,57,38,75,20,18,78,38,56,57,38,75,20,17,77,57,20,39,38,18,57,39,20,57,20,17,56,18,20,18,38,17,38,38,20,38,38,2.0
35,72,55,55,74,34,17,18,38,58,58,37,76,19,21,75,37,57,58,37,76,19,20,74,58,19,38,37,21,58,38,19,58,19,20,57,21,19,21,37,20,37,37,19,37,37,2.0
36,71,54,53,71,34,19,20,39,56,57,38,74,21,22,73,39,56,57,37,73,21,22,73,58,22,39,38,22,56,39,22,57,21,22,56,22,22,22,38,22,37,39,21,39,37,1.0
39,68,49,52,68,42,22,23,41,54,51,44,71,25,25,70,41,54,51,44,70,24,25,70,51,25,41,44,25,54,41,25,51,24,25,54,25,25,25,44,25,44,41,24,41,44,2.0
36,72,55,53,72,34,19,17,39,56,58,37,74,21,20,75,39,56,58,37,74,21,20,75,58,21,39,37,20,56,39,21,58,21,20,56,20,21,20,37,20,37,39,21,39,37,1.0
36,77,55,52,70,33,21,16,40,56,59,37,72,23,17,78,39,55,58,36,72,23,17,78,59,23,40,37,17,56,40,23,58,23,17,55,17,23,17,37,17,36,39,23,39,36,2.0
37,67,49,54,69,40,21,24,39,56,52,43,72,24,26,69,39,56,52,43,71,23,26,69,52,24,39,43,26,56,39,24,52,23,26,56,26,24,26,43,26,43,39,23,39,43,1.0
36,75,53,53,73,34,18,18,39,56,57,38,75,20,19,76,39,56,57,38,75,20,19,76,57,20,39,38,19,56,39,20,57,20,19,56,19,20,19,38,19,38,39,20,39,38,2.0
37,76,53,51,72,36,19,16,41,55,56,39,74,21,18,78,40,54,56,39,74,21,17,77,56,21,41,39,18,55,41,21,56,21,17,54,18,21,18,39,17,39,40,21,40,39,1.0
36,70,54,53,70,35,19,19,39,56,57,38,73,22,22,73,39,56,57,38,73,22,22,73,57,22,39,38,22,56,39,22,57,22,22,56,22,22,22,38,22,38,39,22,39,38,1.0
30,72,55,60,71,35,20,19,33,63,58,38,73,22,21,74,32,62,57,37,73,22,21,74,58,22,33,38,21,63,33,22,57,22,21,62,21,22,21,38,21,37,32,22,32,37,2.0
36,67,51,55,74,38,16,22,38,57,54,41,77,19,25,70,38,57,54,41,76,18,25,70,54,19,38,41,25,57,38,19,54,18,25,57,25,19,25,41,25,41,38,18,38,41,1.0
38,78,57,50,73,32,18,15,42,54,60,35,75,20,16,79,41,53,60,35,75,20,16,79,60,20,42,35,16,54,42,20,60,20,16,53,16,20,16,35,16,35,41,20,41,35,2.0
36,76,52,54,73,37,16,16,39,57,55,40,76,19,18,78,38,56,55,40,76,19,17,77,55,19,39,40,18,57,39,19,55,19,17,56,18,19,18,40,17,40,38,19,38,40,2.0
40,64,53,51,67,38,23,27,42,53,55,40,70,26,29,66,42,53,55,40,69,25,29,66,55,26,42,40,29,53,42,26,55,25,29,53,29,26,29,40,29,40,42,25,42,40,1.0
40,65,52,50,69,39,22,23,43,52,54,41,71,24,26,69,42,52,54,41,71,24,26,68,54,24,43,41,27,53,43,24,54,24,26,52,27,24,27,41,26,41,42,24,42,41,1.0
34,69,53,57,70,38,20,22,36,59,55,40,73,23,24,71,36,59,55,40,72,22,24,71,55,23,36,40,24,59,36,23,55,22,24,59,24,23,24,40,24,40,36,22,36,40,2.0
39,67,54,52,71,35,19,20,41,54,57,38,74,22,24,71,41,54,57,38,73,21,24,71,57,22,41,38,24,54,41,22,57,21,24,54,24,22,24,38,24,38,41,21,41,38,1.0
30,75,53,60,72,35,19,16,33,63,57,39,74,21,18,77,32,62,56,38,74,21,18,77,57,21,33,39,18,63,33,21,56,21,18,62,18,21,18,39,18,38,32,21,32,38,2.0
33,74,55,57,72,33,18,17,35,60,59,36,75,21,19,76,35,59,58,36,74,20,19,76,59,21,36,37,19,60,36,21,58,20,19,59,19,21,19,37,19,36,35,20,35,36,1.0
32,70,47,57,68,42,16,21,35,60,50,45,74,22,23,72,35,60,50,45,73,21,23,72,50,22,35,45,23,60,35,22,50,21,23,60,23,22,23,45,23,45,35,21,35,45,2.0
32,75,45,57,73,40,13,16,35,60,50,45,78,18,18,77,35,60,50,45,77,17,18,77,50,18,35,45,18,60,35,18,50,17,18,60,18,18,18,45,18,45,35,17,35,45,1.0
36,71,53,52,70,36,21,20,40,56,56,39,72,23,22,73,39,55,56,39,72,23,22,73,56,23,40,39,22,56,40,23,56,23,22,55,22,23,22,39,22,39,39,23,39,39,1.0
34,69,51,57,71,37,17,22,36,59,54,41,75,20,24,71,36,59,54,40,74,20,24,71,55,21,36,41,24,59,36,21,54,20,24,59,24,21,24,41,24,40,36,20,36,40,2.0
36,70,47,53,65,42,21,21,39,56,50,45,70,26,23,72,39,56,50,45,69,25,23,72,50,26,39,45,23,56,39,26,50,25,23,56,23,26,23,45,23,45,39,25,39,45,2.0
34,69,51,57,73,37,17,22,36,59,54,41,76,19,24,71,36,59,54,40,75,19,24,71,55,20,36,41,24,59,36,20,54,19,24,59,24,20,24,41,24,40,36,19,36,40,2.0
33,77,54,54,71,34,19,16,37,58,58,38,74,22,17,78,37,58,57,37,73,21,17,78,58,22,37,38,17,58,37,22,57,21,17,58,17,22,17,38,17,37,37,21,37,37,2.0
35,70,53,53,69,36,20,20,39,56,56,39,72,23,22,73,38,56,56,39,72,23,22,72,56,23,39,39,23,57,39,23,56,23,22,56,23,23,23,39,22,39,38,23,38,39,1.0
32,69,47,57,66,42,24,22,35,60,50,45,69,27,24,71,35,60,50,45,68,26,24,71,50,27,35,45,24,60,35,27,50,26,24,60,24,27,24,45,24,45,35,26,35,45,2.0
36,77,55,51,70,33,18,16,40,55,58,37,74,21,17,78,40,55,58,36,73,21,17,78,59,22,40,37,17,55,40,22,58,21,17,55,17,22,17,37,17,36,40,21,40,36,1.0
34,77,54,54,70,34,21,16,38,58,58,38,72,23,17,78,37,57,57,37,72,23,17,78,58,23,38,38,17,58,38,23,57,23,17,57,17,23,17,38,17,37,37,23,37,37,2.0
40,66,52,51,68,39,22,25,42,53,54,41,71,25,27,68,42,53,54,41,70,24,27,68,54,25,42,41,27,53,42,25,54,24,27,53,27,25,27,41,27,41,42,24,42,41,2.0
31,71,51,60,73,34,16,18,33,62,56,39,76,19,21,74,33,62,56,39,76,19,21,74,56,19,33,39,21,62,33,19,56,19,21,62,21,19,21,39,21,39,33,19,33,39,1.0
38,70,48,51,63,41,25,21,41,54,51,44,67,29,23,72,41,54,51,44,66,28,23,72,51,29,41,44,23,54,41,29,51,28,23,54,23,29,23,44,23,44,41,28,41,44,2.0
37,71,55,52,70,34,19,18,40,55,58,37,73,22,21,74,40,55,58,37,73,22,21,74,58,22,40,37,21,55,40,22,58,22,21,55,21,22,21,37,21,37,40,22,40,37,1.0
33,69,49,56,77,40,13,22,36,59,52,43,80,16,24,71,36,59,52,43,79,15,24,71,52,16,36,43,24,59,36,16,52,15,24,59,24,16,24,43,24,43,36,15,36,43,2.0
32,68,46,59,75,40,15,23,34,61,50,45,78,17,25,70,34,61,50,44,77,17,25,70,51,18,34,45,25,61,34,18,50,17,25,61,25,18,25,45,25,44,34,17,34,44,2.0
38,67,54,53,68,37,22,24,40,55,56,39,71,25,26,69,40,55,56,39,70,24,26,69,56,25,40,39,26,55,40,25,56,24,26,55,26,25,26,39,26,39,40,24,40,39,1.0
37,72,49,52,64,40,24,19,40,55,52,43,68,28,21,74,40,55,52,43,67,27,21,74,52,28,40,43,21,55,40,28,52,27,21,55,21,28,21,43,21,43,40,27,40,43,2.0
37,78,55,50,71,33,17,15,41,54,58,37,75,20,16,79,41,54,58,36,74,20,16,79,59,21,41,37,16,54,41,21,58,20,16,54,16,21,16,37,16,36,41,20,41,36,1.0
39,68,54,52,74,35,16,21,41,54,57,38,77,19,24,71,41,54,57,38,76,18,24,71,57,19,41,38,24,54,41,19,57,18,24,54,24,19,24,38,24,38,41,18,41,38,1.0
40,79,54,49,70,34,20,14,43,52,58,38,73,23,15,80,43,52,57,37,72,22,15,80,58,23,43,38,15,52,43,23,57,22,15,52,15,23,15,38,15,37,43,22,43,37,1.0
42,66,50,48,67,40,22,25,44,51,53,42,70,25,27,68,44,50,52,42,70,25,27,68,53,25,45,43,27,51,45,25,52,25,27,50,27,25,27,43,27,42,44,25,44,42,1.0
32,71,45,57,68,44,16,20,35,60,48,47,74,22,22,73,35,60,48,47,73,21,22,73,48,22,35,47,22,60,35,22,48,21,22,60,22,22,22,47,22,47,35,21,35,47,2.0
30,69,44,59,70,45,16,22,33,62,47,48,75,21,24,71,33,62,47,48,74,20,24,71,47,21,33,48,24,62,33,21,47,20,24,62,24,21,24,48,24,48,33,20,33,48,2.0
31,70,45,58,70,43,22,21,34,61,49,47,72,24,23,72,34,61,48,46,71,23,23,72,49,24,34,47,23,61,34,24,48,23,23,61,23,24,23,47,23,46,34,23,34,46,1.0
42,66,54,47,71,35,19,21,45,50,57,38,74,22,25,70,45,50,57,38,73,21,25,70,57,22,45,38,25,50,45,22,57,21,25,50,25,22,25,38,25,38,45,21,45,38,1.0
37,70,54,54,71,34,19,21,39,56,56,38,74,20,23,72,39,56,57,37,73,21,23,72,58,22,39,38,23,56,39,22,57,21,23,56,23,22,23,38,23,37,39,21,39,37,2.0
38,66,53,53,67,36,23,25,40,55,56,39,70,26,27,68,40,55,56,39,69,25,27,68,56,26,40,39,27,55,40,26,56,25,27,55,27,26,27,39,27,39,40,25,40,39,2.0
32,70,48,58,71,38,17,19,34,61,53,42,75,21,22,73,34,60,52,42,74,20,22,73,53,21,35,43,22,61,35,21,52,20,22,60,22,21,22,43,22,42,34,20,34,42,2.0
32,68,46,57,69,42,17,23,35,60,49,46,74,21,25,70,35,60,49,45,73,21,25,70,50,22,35,46,25,60,35,22,49,21,25,60,25,22,25,46,25,45,35,21,35,45,2.0
36,67,52,53,69,37,20,22,39,56,55,40,72,23,25,70,39,56,55,40,72,23,25,70,55,23,39,40,25,56,39,23,55,23,25,56,25,23,25,40,25,40,39,23,39,40,2.0
30,72,47,59,75,44,15,19,33,62,49,46,78,18,21,74,33,62,49,46,77,17,21,74,49,18,33,46,21,62,33,18,49,17,21,62,21,18,21,46,21,46,33,17,33,46,1.0
29,75,53,57,74,33,14,18,33,62,58,37,78,18,19,76,33,61,57,37,77,17,19,76,58,18,34,38,19,62,34,18,57,17,19,61,19,18,19,38,19,37,33,17,33,37,1.0
40,66,53,51,67,38,23,25,42,53,55,40,70,26,27,68,42,53,55,40,69,25,27,68,55,26,42,40,27,53,42,26,55,25,27,53,27,26,27,40,27,40,42,25,42,40,2.0
36,70,51,55,73,37,15,21,38,57,55,41,77,19,23,72,38,57,54,40,76,18,23,72,55,19,38,41,23,57,38,19,54,18,23,57,23,19,23,41,23,40,38,18,38,40,2.0
36,70,56,53,70,33,19,19,39,56,59,36,73,22,22,73,39,56,59,36,73,22,22,73,59,22,39,36,22,56,39,22,59,22,22,56,22,22,22,36,22,36,39,22,39,36,1.0
32,71,52,59,72,36,18,20,34,61,55,40,75,20,22,73,34,61,55,39,74,20,22,73,56,21,34,40,22,61,34,21,55,20,22,61,22,21,22,40,22,39,34,20,34,39,1.0
37,76,54,53,70,34,19,16,39,56,58,37,73,22,18,78,39,55,57,37,73,22,17,77,58,22,40,38,18,56,40,22,57,22,17,55,18,22,18,38,17,37,39,22,39,37,2.0
36,75,53,54,73,33,17,16,38,57,58,37,76,20,18,77,38,56,57,37,75,19,18,77,58,20,39,38,18,57,39,20,57,19,18,56,18,20,18,38,18,37,38,19,38,37,1.0
42,68,53,49,71,35,19,21,44,51,56,39,74,21,24,71,44,51,56,38,73,21,24,71,57,22,44,39,24,51,44,22,56,21,24,51,24,22,24,39,24,38,44,21,44,38,2.0
35,70,53,56,72,36,18,21,37,58,56,39,75,21,23,72,37,58,56,39,74,20,23,72,56,21,37,39,23,58,37,21,56,20,23,58,23,21,23,39,23,39,37,20,37,39,1.0
34,74,49,55,69,40,17,17,37,58,52,43,74,22,19,76,37,58,52,43,73,21,19,76,52,22,37,43,19,58,37,22,52,21,19,58,19,22,19,43,19,43,37,21,37,43,1.0
35,74,56,51,71,33,16,16,40,56,59,36,75,20,19,77,39,55,59,36,75,20,18,76,59,20,40,36,19,56,40,20,59,20,18,55,19,20,19,36,18,36,39,20,39,36,1.0
33,69,54,58,69,34,21,22,35,60,57,38,72,23,24,71,35,60,57,37,71,23,24,71,58,24,35,38,24,60,35,24,57,23,24,60,24,24,24,38,24,37,35,23,35,37,1.0
37,78,56,50,70,32,18,15,41,54,59,36,74,21,16,79,41,54,59,35,73,21,16,79,60,22,41,36,16,54,41,22,59,21,16,54,16,22,16,36,16,35,41,21,41,35,1.0
36,66,54,55,74,35,16,25,38,57,57,38,77,19,27,68,38,57,57,38,76,18,27,68,57,19,38,38,27,57,38,19,57,18,27,57,27,19,27,38,27,38,38,18,38,38,1.0
37,65,52,54,74,37,16,22,39,56,55,40,77,19,26,69,39,56,55,40,76,18,26,69,55,19,39,40,26,56,39,19,55,18,26,56,26,19,26,40,26,40,39,18,39,40,1.0
30,74,48,57,69,38,17,19,34,61,52,43,74,21,20,75,34,61,52,42,73,21,20,75,53,22,34,43,20,61,34,22,52,21,20,61,20,22,20,43,20,42,34,21,34,42,2.0
35,74,56,56,72,32,18,17,37,58,59,36,75,20,19,76,37,58,59,35,74,20,19,76,60,21,37,36,19,58,37,21,59,20,19,58,19,21,19,36,19,35,37,20,37,35,2.0
38,65,51,53,68,38,22,26,40,55,54,41,71,25,28,67,40,55,54,41,70,24,28,67,54,25,40,41,28,55,40,25,54,24,28,55,28,25,28,41,28,41,40,24,40,41,2.0
35,71,54,55,74,35,17,19,38,57,57,38,76,19,21,74,37,57,57,38,76,19,21,73,57,19,38,38,22,58,38,19,57,19,21,57,22,19,22,38,21,38,37,19,37,38,2.0
30,77,51,61,72,37,18,16,32,63,55,41,75,21,17,78,32,63,54,40,74,20,17,78,55,21,32,41,17,63,32,21,54,20,17,63,17,21,17,41,17,40,32,20,32,40,1.0
42,75,56,49,74,33,17,16,44,51,59,36,76,19,18,77,44,51,59,36,76,19,18,77,59,19,44,36,18,51,44,19,59,19,18,51,18,19,18,36,18,36,44,19,44,36,1.0
34,77,52,56,71,37,18,15,37,59,55,40,74,21,17,79,36,58,55,40,74,21,16,78,55,21,37,40,17,59,37,21,55,21,16,58,17,21,17,40,16,40,36,21,36,40,2.0
37,65,51,53,70,38,21,24,40,56,54,41,72,23,27,68,39,55,54,41,72,23,27,68,54,23,40,41,27,56,40,23,54,23,27,55,27,23,27,41,27,41,39,23,39,41,1.0
38,67,50,53,69,39,21,24,40,55,53,42,72,24,26,69,40,55,53,42,71,23,26,69,53,24,40,42,26,55,40,24,53,23,26,55,26,24,26,42,26,42,40,23,40,42,1.0
40,72,56,49,71,32,19,17,43,52,59,36,74,21,20,75,43,52,59,35,73,21,20,75,60,22,43,36,20,52,43,22,59,21,20,52,20,22,20,36,20,35,43,21,43,35,1.0
31,78,55,59,72,31,19,15,34,62,60,36,74,21,16,79,33,61,59,35,74,21,16,79,60,21,34,36,16,62,34,21,59,21,16,61,16,21,16,36,16,35,33,21,33,35,1.0
40,78,55,49,69,33,19,15,43,52,58,37,73,22,16,79,43,52,58,36,72,22,16,79,59,23,43,37,16,52,43,23,58,22,16,52,16,23,16,37,16,36,43,22,43,36,2.0
38,77,54,52,69,35,20,15,41,55,57,38,72,23,17,79,40,54,57,38,72,23,16,78,57,23,41,38,17,55,41,23,57,23,16,54,17,23,17,38,16,38,40,23,40,38,2.0
31,77,59,59,73,31,18,16,34,62,62,34,75,20,17,78,33,61,61,33,75,20,17,78,62,20,34,34,17,62,34,20,61,20,17,61,17,20,17,34,17,33,33,20,33,33,1.0
37,70,55,54,68,33,21,21,39,56,58,37,71,23,23,72,39,56,58,36,71,24,23,72,59,24,39,37,23,56,39,24,58,24,23,56,23,24,23,37,23,36,39,24,39,36,2.0
42,64,50,48,68,38,21,23,44,51,54,41,71,24,27,68,44,50,53,41,71,24,27,68,54,24,45,42,27,51,45,24,53,24,27,50,27,24,27,42,27,41,44,24,44,41,1.0
35,77,55,55,71,34,18,15,38,58,58,37,74,21,17,79,37,57,58,37,74,21,16,78,58,21,38,37,17,58,38,21,58,21,16,57,17,21,17,37,16,37,37,21,37,37,2.0
30,70,45,59,67,43,17,21,33,62,48,47,73,22,23,72,33,62,48,46,72,22,23,72,49,23,33,47,23,62,33,23,48,22,23,62,23,23,23,47,23,46,33,22,33,46,2.0
36,70,48,53,62,41,26,21,39,56,51,44,66,30,23,72,39,56,51,44,65,29,23,72,51,30,39,44,23,56,39,30,51,29,23,56,23,30,23,44,23,44,39,29,39,44,2.0
33,70,50,56,67,41,21,21,36,59,52,43,71,25,23,72,36,59,52,43,70,24,23,72,52,25,36,43,23,59,36,25,52,24,23,59,23,25,23,43,23,43,36,24,36,43,2.0
36,72,51,54,72,38,17,18,39,57,54,41,75,20,21,75,38,56,54,41,75,20,20,74,54,20,39,41,21,57,39,20,54,20,20,56,21,20,21,41,20,41,38,20,38,41,2.0
39,67,52,52,66,39,24,24,41,54,54,41,69,27,26,69,41,54,54,41,68,26,26,69,54,27,41,41,26,54,41,27,54,26,26,54,26,27,26,41,26,41,41,26,41,41,2.0
37,73,56,52,71,33,17,18,40,55,59,36,75,21,20,75,40,55,59,36,74,20,20,75,59,21,40,36,20,55,40,21,59,20,20,55,20,21,20,36,20,36,40,20,40,36,2.0
28,75,57,62,71,31,20,18,31,65,61,35,73,22,19,76,30,64,60,34,73,22,19,76,61,22,31,35,19,65,31,22,60,22,19,64,19,22,19,35,19,34,30,22,30,34,2.0
33,75,46,56,75,42,15,18,36,59,50,46,78,18,19,76,36,59,49,45,77,17,19,76,50,18,36,46,19,59,36,18,49,17,19,59,19,18,19,46,19,45,36,17,36,45,1.0
30,72,45,59,70,43,16,19,33,62,48,47,75,20,21,74,33,62,48,46,74,20,21,74,49,21,33,47,21,62,33,21,48,20,21,62,21,21,21,47,21,46,33,20,33,46,1.0
37,67,52,54,68,37,22,24,39,56,55,40,71,25,26,69,39,56,55,40,70,24,26,69,55,25,39,40,26,56,39,25,55,24,26,56,26,25,26,40,26,40,39,24,39,40,2.0
36,69,53,55,72,35,18,20,38,57,56,39,75,20,23,72,38,57,56,38,74,20,23,72,57,21,38,39,23,57,38,21,56,20,23,57,23,21,23,39,23,38,38,20,38,38,1.0
34,76,52,56,70,36,19,17,36,59,56,39,73,22,18,77,36,58,55,39,73,22,18,77,56,22,37,40,18,59,37,22,55,22,18,58,18,22,18,40,18,39,36,22,36,39,1.0
36,77,53,54,73,35,18,16,38,57,57,38,75,20,17,78,38,56,56,38,75,20,17,78,57,20,39,39,17,57,39,20,56,20,17,56,17,20,17,39,17,38,38,20,38,38,2.0
38,78,54,49,69,34,19,15,42,53,57,38,73,22,16,79,42,53,57,37,72,22,16,79,58,23,42,38,16,53,42,23,57,22,16,53,16,23,16,38,16,37,42,22,42,37,1.0
34,72,52,56,70,36,19,19,36,59,56,39,73,22,21,74,36,58,55,39,73,22,21,74,56,22,37,40,21,59,37,22,55,22,21,58,21,22,21,40,21,39,36,22,36,39,1.0
38,67,54,53,69,37,21,24,40,55,56,39,72,24,26,69,40,55,56,39,71,23,26,69,56,24,40,39,26,55,40,24,56,23,26,55,26,24,26,39,26,39,40,23,40,39,1.0
31,71,46,58,73,43,15,20,34,61,49,46,77,19,22,73,34,61,49,46,76,18,22,73,49,19,34,46,22,61,34,19,49,18,22,61,22,19,22,46,22,46,34,18,34,46,2.0
40,68,52,51,68,39,22,23,42,53,54,41,71,25,25,70,42,53,54,41,70,24,25,70,54,25,42,41,25,53,42,25,54,24,25,53,25,25,25,41,25,41,42,24,42,41,2.0
35,71,48,54,70,41,18,20,38,57,51,44,74,22,22,73,38,57,51,44,73,21,22,73,51,22,38,44,22,57,38,22,51,21,22,57,22,22,22,44,22,44,38,21,38,44,2.0
39,77,54,48,71,34,17,16,43,52,57,38,75,20,17,78,43,52,57,37,74,20,17,78,58,21,43,38,17,52,43,21,57,20,17,52,17,21,17,38,17,37,43,20,43,37,1.0
39,65,53,51,69,38,22,25,42,54,55,40,71,24,28,68,41,53,55,40,71,24,27,67,55,24,42,40,28,54,42,24,55,24,27,53,28,24,28,40,27,40,41,24,41,40,2.0
39,65,54,52,74,34,16,22,41,54,57,38,77,18,26,69,41,54,57,37,76,18,26,69,58,19,41,38,26,54,41,19,57,18,26,54,26,19,26,38,26,37,41,18,41,37,2.0
34,69,48,55,70,41,18,22,37,58,51,44,74,22,24,71,37,58,51,44,73,21,24,71,51,22,37,44,24,58,37,22,51,21,24,58,24,22,24,44,24,44,37,21,37,44,2.0
