@relation 'Sax dominant'

@attribute o1atMaaa numeric
@attribute o1atMabd numeric
@attribute o1atLabd numeric
@attribute o1atMbde numeric
@attribute o1atLbde numeric
@attribute o1atMeec numeric
@attribute o1atLeec numeric
@attribute o1atMeca numeric
@attribute o1atLeca numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atLeee numeric
@attribute o1atMaae numeric
@attribute o1atLaae numeric
@attribute o1atMdee numeric
@attribute o1atLdee numeric
@attribute o1atMadd numeric
@attribute o1atLadd numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMddb numeric
@attribute o1atLddb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbdd numeric
@attribute o1atLbdd numeric
@attribute o1atMdbc numeric
@attribute o1atLdbc numeric
@attribute o1atMdde numeric
@attribute o1atLdde numeric
@attribute o1atMddd numeric
@attribute o1atLddd numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMdbb numeric
@attribute o1atLdbb numeric
@attribute o1atMbbd numeric
@attribute o1atLbbd numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMcdb numeric
@attribute o1atLcdb numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMcee numeric
@attribute o1atLcee numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMeeb numeric
@attribute o1atLeeb numeric
@attribute o1atMcce numeric
@attribute o1atLcce numeric
@attribute o1atMebb numeric
@attribute o1atLebb numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbcd numeric
@attribute o1atLbcd numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMdcb numeric
@attribute o1atLdcb numeric
@attribute o1atMbbe numeric
@attribute o1atLbbe numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMded numeric
@attribute o1atLded numeric
@attribute o1atMedb numeric
@attribute o1atLedb numeric
@attribute o1atMcde numeric
@attribute o1atLcde numeric
@attribute o1atMdcd numeric
@attribute o1atLdcd numeric
@attribute o1atMbee numeric
@attribute o1atLbee numeric
@attribute o1atMeda numeric
@attribute o1atLeda numeric
@attribute o1atMdca numeric
@attribute o1atLdca numeric
@attribute o1atMabe numeric
@attribute o1atLabe numeric
@attribute o1atMeed numeric
@attribute o1atLeed numeric
@attribute o1atMdaa numeric
@attribute o1atLdaa numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMace numeric
@attribute o1atLace numeric
@attribute o1atMdda numeric
@attribute o1atLdda numeric
@attribute o1atMacd numeric
@attribute o1atLacd numeric
@attribute o1atMdeb numeric
@attribute o1atLdeb numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMebc numeric
@attribute o1atLebc numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMbad numeric
@attribute o1atLbad numeric
@attribute o1atMecb numeric
@attribute o1atLecb numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMade numeric
@attribute o1atLade numeric
@attribute o1atMaad numeric
@attribute o1atLaad numeric
@attribute o1atMdba numeric
@attribute o1atLdba numeric
@attribute o1atMeba numeric
@attribute o1atLeba numeric
@attribute o1atMaee numeric
@attribute o1atLaee numeric
@attribute o1atMedc numeric
@attribute o1atLedc numeric
@attribute o1atMbce numeric
@attribute o1atLbce numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMcec numeric
@attribute o1atLcec numeric
@attribute o1atMecc numeric
@attribute o1atLecc numeric
@attribute o1atMced numeric
@attribute o1atLced numeric
@attribute o1atMedd numeric
@attribute o1atLedd numeric
@attribute o1atMeea numeric
@attribute o1atLeea numeric
@attribute o1atMeaa numeric
@attribute o1atLeaa numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute o1atMcdc numeric
@attribute o1atLcdc numeric
@attribute o1atMdec numeric
@attribute o1atLdec numeric
@attribute o1atMceb numeric
@attribute o1atLceb numeric
@attribute o1atMede numeric
@attribute o1atLede numeric
@attribute o1atMbed numeric
@attribute o1atLbed numeric
@attribute o1atMbdc numeric
@attribute o1atLbdc numeric
@attribute o1atMbae numeric
@attribute o1atLbae numeric
@attribute o1atMdce numeric
@attribute o1atLdce numeric
@attribute o1atMcbe numeric
@attribute o1atLcbe numeric
@attribute o1atMbec numeric
@attribute o1atLbec numeric
@attribute o1atMcda numeric
@attribute o1atLcda numeric
@attribute o1atMecd numeric
@attribute o1atLecd numeric
@attribute o1atMdea numeric
@attribute o1atLdea numeric
@attribute o1atMeab numeric
@attribute o1atLeab numeric
@attribute o1atMdab numeric
@attribute o1atLdab numeric
@attribute o1atMaed numeric
@attribute o1atLaed numeric
@attribute o1atMadc numeric
@attribute o1atLadc numeric
@attribute destClass {1.0,-1.0}

@data
32,35,49,39,0,44,0,35,0,33,55,40,51,33,58,34,54,35,52,36,52,34,54,33,57,0,35,1,94,0,36,47,44,46,38,46,34,53,38,47,37,47,94,0,93,45,42,46,36,47,36,47,34,53,36,47,34,53,35,52,45,0,35,52,38,0,43,0,36,0,33,55,37,47,44,46,37,47,37,0,42,47,93,0,38,0,45,0,44,45,39,0,36,0,35,48,36,0,93,0,34,49,34,56,37,0,36,47,36,48,38,0,36,51,37,0,33,55,35,47,37,0,34,53,37,0,34,50,35,48,35,0,37,0,44,0,38,0,32,57,34,53,40,0,42,0,44,0,93,0,36,0,34,0,35,52,40,47,44,0,36,0,94,0,38,0,35,48,36,0,45,0,38,0,35,0,34,48,44,0,36,0,35,0,35,47,36,0,34,48,1.0
0,0,5,23,2,89,0,0,1,0,71,85,61,0,94,0,72,23,65,19,65,0,71,0,93,0,0,4,91,0,1,2,86,2,19,2,13,93,23,2,20,1,89,0,86,0,86,5,15,4,16,5,1,66,19,4,15,71,16,71,90,1,15,71,22,1,88,4,16,3,0,94,23,5,85,0,19,2,16,4,85,0,87,0,20,1,89,2,86,0,23,1,0,1,0,2,0,4,90,0,0,4,0,72,1,4,0,2,1,5,20,2,20,64,22,1,0,93,0,5,20,1,0,65,1,2,0,5,0,4,0,3,1,1,87,0,23,4,0,94,0,93,85,1,87,0,86,1,88,0,0,1,0,3,0,71,85,2,86,0,19,3,91,0,23,1,23,2,0,4,88,0,20,4,23,1,0,4,88,0,0,2,0,3,0,4,1,1,1,2,1.0
28,32,56,36,7,37,6,31,7,29,58,33,54,30,62,31,58,32,56,32,55,30,57,29,61,5,31,8,87,6,32,54,36,53,34,53,31,57,34,54,34,53,86,6,84,52,35,53,33,54,33,55,31,56,32,54,31,57,32,56,38,6,32,55,35,6,36,6,33,6,30,59,34,55,36,53,34,54,34,7,35,53,84,7,35,6,38,6,37,52,36,6,32,7,31,55,33,7,86,6,30,56,30,59,33,7,31,54,32,55,34,7,33,54,34,6,29,59,31,55,34,6,30,56,33,7,30,57,31,55,31,7,33,6,37,6,35,7,28,61,31,57,33,7,35,6,36,7,85,6,32,6,30,7,31,56,33,54,36,7,32,7,87,5,34,7,32,55,32,7,38,6,35,6,32,7,30,55,37,6,31,7,32,6,32,54,32,7,31,55,1.0
18,22,14,26,12,79,11,22,12,20,68,77,64,20,72,21,68,23,66,24,65,21,67,19,71,10,21,13,82,11,22,13,79,12,24,13,21,67,25,13,24,13,81,12,79,12,78,12,23,13,23,13,21,66,24,13,21,67,22,66,80,11,23,65,25,11,79,12,23,11,20,69,24,13,77,13,24,13,24,12,77,13,79,11,25,11,80,12,78,12,26,11,22,11,21,14,23,12,81,10,20,14,20,69,23,12,21,13,22,13,24,12,24,64,24,11,19,69,21,13,25,11,21,66,23,12,20,15,21,14,21,12,23,11,78,11,25,12,18,71,21,67,77,12,78,11,79,11,80,10,22,11,20,12,21,66,77,13,77,12,24,12,82,10,25,11,23,14,22,12,79,12,26,12,23,12,21,13,79,10,21,12,22,11,22,13,22,11,21,14,1.0
6,8,47,44,1,46,0,9,0,7,50,42,46,7,85,8,50,41,47,39,48,9,50,7,84,0,7,1,94,0,10,46,47,44,43,45,39,80,44,44,42,43,94,1,93,43,44,45,41,47,41,45,8,49,39,46,39,49,40,48,47,0,39,50,43,0,44,1,41,0,8,83,42,45,46,43,41,45,41,1,44,43,93,0,43,0,47,1,46,43,44,0,9,0,9,45,8,1,93,0,7,47,7,51,8,1,9,45,8,47,43,0,40,46,42,0,9,82,9,46,41,0,9,48,10,1,7,48,9,47,9,0,10,0,46,0,42,1,6,85,8,81,42,0,44,0,47,0,93,0,9,0,7,0,8,49,42,44,46,0,39,0,94,0,44,0,41,44,9,1,46,1,41,1,41,0,9,46,46,0,9,0,8,0,8,47,10,0,8,46,-1.0
0,1,49,44,0,45,0,0,0,0,50,41,46,0,94,1,51,40,48,40,48,0,50,0,93,0,0,1,94,0,1,46,45,45,43,46,39,93,43,46,42,45,94,0,93,44,43,45,41,48,41,49,1,48,40,47,39,50,40,51,46,0,40,50,43,0,44,0,41,0,1,94,42,47,45,45,42,47,42,1,43,45,93,0,43,0,46,0,45,44,44,0,0,0,0,47,1,1,93,0,0,48,0,51,1,0,0,46,1,47,43,0,41,46,42,0,0,93,0,49,42,0,0,48,1,0,0,49,0,48,0,0,1,0,45,0,43,0,0,94,0,93,41,0,43,0,45,0,93,0,0,0,0,0,0,51,41,46,45,0,40,0,94,0,43,0,40,47,0,1,46,0,43,0,40,0,0,47,45,0,0,0,0,0,0,48,1,0,1,47,1.0
0,1,55,38,7,39,7,0,8,0,55,35,51,0,94,1,56,34,53,35,53,0,55,0,93,6,0,9,86,6,1,52,37,50,37,52,34,93,36,52,36,51,85,6,83,50,36,50,36,54,35,55,1,53,35,52,34,55,34,56,40,6,35,55,38,7,38,6,36,8,1,94,35,52,37,51,36,53,37,9,36,51,83,6,38,7,39,6,37,50,39,7,0,7,0,53,1,9,85,6,0,54,0,56,1,7,0,52,1,52,37,7,35,51,36,7,0,93,0,55,37,8,0,53,1,7,0,55,0,54,0,8,1,7,38,7,37,7,0,94,0,93,35,7,37,7,37,6,84,6,0,7,0,8,0,56,35,51,37,7,35,7,86,6,36,7,34,53,0,9,39,6,38,6,34,8,0,52,38,6,0,7,0,8,0,54,1,7,1,53,1.0
30,34,50,37,0,43,0,34,0,32,57,39,53,32,60,32,57,32,55,35,53,32,55,30,59,0,33,1,94,0,34,48,43,46,36,48,32,55,36,48,34,49,94,0,93,46,41,46,34,49,34,48,32,55,35,48,32,55,32,55,44,0,34,53,36,0,42,0,34,0,32,57,34,48,43,48,36,49,35,0,41,49,93,0,36,0,44,0,43,46,37,0,34,0,34,50,35,0,93,0,32,50,32,58,35,0,34,48,34,48,36,0,34,53,34,0,30,57,32,48,36,0,33,55,35,0,32,51,32,50,32,0,35,0,43,0,35,0,30,59,32,55,39,0,41,0,43,0,93,0,34,0,32,0,32,55,39,48,43,0,35,0,94,0,36,0,32,50,33,0,44,0,37,0,32,0,33,48,43,0,34,0,34,0,34,49,34,0,32,50,1.0
30,33,54,36,6,38,6,34,7,32,58,34,54,31,60,32,57,32,55,33,54,32,56,30,59,5,33,8,87,6,33,53,37,52,34,53,31,55,34,52,34,53,86,6,84,51,36,52,33,53,33,53,32,56,33,54,31,55,32,55,39,6,33,54,35,6,37,6,33,6,31,57,34,53,36,53,34,53,34,6,35,53,84,6,35,6,39,6,37,51,36,6,34,6,33,55,34,7,86,5,32,55,31,59,34,7,33,53,33,54,34,7,34,54,34,6,30,57,32,53,35,6,32,56,35,7,32,56,32,55,32,7,35,6,37,6,35,6,30,59,31,55,34,7,36,6,37,6,85,5,34,6,32,7,31,55,34,54,36,7,33,7,87,5,34,6,32,54,33,6,38,6,36,6,32,7,32,54,38,5,33,7,33,6,33,53,33,6,32,55,1.0
31,33,54,38,0,38,0,35,0,33,56,34,52,31,59,32,54,34,52,33,54,33,56,33,58,0,34,1,94,0,35,53,38,52,37,53,33,54,37,52,36,51,94,0,93,51,36,52,35,53,35,52,32,54,33,54,33,54,34,52,39,0,33,54,37,0,37,0,35,0,31,56,36,52,38,51,35,53,36,0,36,51,93,0,37,0,39,0,38,51,38,0,35,0,35,53,34,0,93,0,33,55,32,57,35,0,35,53,34,54,37,0,34,52,36,0,33,56,35,52,35,0,33,54,36,0,33,56,35,55,35,0,36,0,38,0,37,0,31,58,33,54,34,0,36,0,38,0,93,0,35,0,33,0,34,52,34,52,38,0,33,0,94,0,37,0,34,52,36,0,39,0,36,0,34,0,33,54,38,0,35,0,33,0,33,53,35,0,32,53,1.0
8,12,14,35,12,80,10,10,11,9,59,78,55,10,84,11,60,32,57,32,57,9,59,9,82,10,10,13,82,11,12,12,79,11,32,12,30,80,33,12,32,11,81,11,79,11,79,11,31,12,32,13,11,57,32,12,30,59,31,58,81,11,31,58,34,11,80,11,32,11,10,82,33,12,78,11,32,12,33,13,78,11,79,11,33,11,81,11,79,11,35,11,10,11,9,12,12,13,81,10,9,13,10,60,12,12,9,12,12,12,32,12,32,55,33,10,9,81,11,13,33,11,9,57,12,12,10,14,9,13,10,12,12,11,79,10,34,12,8,83,11,80,78,11,79,10,79,11,80,10,10,11,9,12,11,58,78,11,78,11,32,12,82,10,33,11,32,12,11,13,80,11,34,11,32,11,9,12,80,10,9,12,11,11,11,12,12,11,11,12,1.0
32,35,53,39,0,40,0,36,0,34,55,36,51,33,58,34,54,35,52,35,52,34,54,33,57,0,35,1,94,0,36,51,40,50,38,51,34,53,38,51,37,50,94,0,93,49,38,50,36,51,36,51,34,53,35,52,34,53,35,52,41,0,35,52,38,0,39,0,36,0,33,55,37,51,40,50,37,51,37,0,38,50,93,0,38,0,41,0,40,49,39,0,36,0,36,52,36,0,93,0,34,53,34,56,37,0,36,51,36,52,38,0,36,51,37,0,33,55,35,51,37,0,34,53,37,0,34,54,35,53,35,0,37,0,40,0,38,0,32,57,34,53,36,0,38,0,40,0,93,0,36,0,34,0,35,52,36,51,40,0,35,0,94,0,38,0,35,52,36,0,41,0,38,0,35,0,34,52,40,0,36,0,35,0,35,51,36,0,34,52,1.0
