@relation 'Sax dominant'

@attribute o1atMaa numeric
@attribute o1atLee numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMea numeric
@attribute o1atLea numeric
@attribute destClass {1.0,-1.0}

@data
35,0,39,53,36,58,95,0,38,54,39,53,38,1,41,0,37,55,38,54,36,57,94,51,37,55,41,52,37,54,39,53,37,56,42,0,39,0,40,0,41,52,94,0,37,53,37,0,1.0
0,28,59,41,0,95,65,29,52,42,52,33,1,31,61,30,0,42,51,42,0,94,62,31,51,94,60,33,0,34,52,33,0,43,62,30,52,30,53,30,61,32,64,30,0,33,0,30,1.0
14,0,48,52,16,79,95,1,40,53,42,44,17,1,50,0,16,53,41,53,16,78,94,42,40,76,51,43,17,45,41,44,16,54,51,1,41,0,42,1,50,44,94,0,16,44,16,0,1.0
0,0,46,47,0,95,95,1,46,48,47,46,1,1,48,0,0,48,45,48,0,94,94,44,45,94,49,46,1,47,46,46,0,49,49,1,46,0,47,1,48,45,94,0,0,46,0,0,1.0
0,0,40,51,1,95,95,0,39,54,41,53,1,1,42,0,0,53,40,53,0,94,94,50,39,94,42,50,1,53,41,52,1,54,43,0,41,0,42,1,42,51,94,0,0,52,0,0,1.0
35,0,44,54,35,58,95,0,37,54,38,47,38,1,46,0,37,56,38,55,36,57,94,46,36,55,46,47,37,49,38,48,36,57,47,0,38,0,39,0,46,48,94,0,37,48,37,0,1.0
0,0,45,49,1,94,95,1,43,50,45,47,2,1,47,0,1,50,44,50,1,93,94,45,43,92,48,46,2,48,44,47,1,51,48,1,44,0,45,1,47,47,94,0,1,47,1,0,1.0
32,6,37,55,34,61,88,7,36,57,37,55,35,8,39,7,34,57,36,56,33,60,86,53,35,58,39,54,34,56,37,55,34,58,40,7,37,7,38,7,39,54,87,7,34,55,34,7,1.0
0,0,48,47,0,95,95,1,46,48,47,44,1,1,50,0,0,48,46,48,0,94,94,42,45,94,51,44,1,45,46,44,0,49,51,1,46,0,47,1,50,44,94,0,0,44,0,0,1.0
11,0,45,51,12,83,95,1,42,52,43,47,13,1,47,0,12,52,41,52,12,82,94,45,41,81,48,47,13,48,42,47,12,53,48,1,42,0,43,1,47,46,94,0,12,47,12,0,1.0
11,11,79,63,13,83,83,12,28,66,29,15,13,13,80,12,11,65,28,64,11,82,81,13,27,81,80,13,13,15,29,13,13,66,81,12,29,12,30,13,80,13,82,12,12,14,12,12,1.0
0,0,90,52,0,95,93,0,35,60,35,3,1,3,92,2,0,60,34,60,0,94,90,0,26,94,90,3,1,3,34,2,1,61,93,3,34,2,35,3,90,2,92,0,0,2,0,2,1.0
0,7,39,53,1,95,87,7,38,56,38,54,1,9,41,7,0,55,38,55,0,94,85,51,37,94,40,52,1,54,38,53,1,56,42,7,39,8,40,9,40,52,86,7,0,53,0,8,1.0
36,0,39,54,36,57,95,0,37,54,38,52,39,1,41,0,38,56,38,54,36,56,94,51,36,54,41,52,38,54,38,53,37,57,42,0,38,0,39,0,41,53,94,0,38,53,38,0,1.0
10,11,80,61,12,84,83,12,30,64,31,14,12,13,81,11,11,63,30,63,11,83,81,12,29,82,81,12,12,14,30,13,12,64,82,12,31,12,32,13,80,12,82,11,11,13,11,12,1.0
7,0,46,52,8,87,95,0,40,54,40,46,9,1,48,0,8,54,40,54,8,86,94,44,38,85,48,46,8,47,40,46,8,55,49,0,40,0,41,0,48,46,94,0,8,46,8,0,1.0
0,1,59,31,0,95,92,4,59,33,62,33,1,4,61,1,0,33,59,33,0,94,89,31,59,94,62,31,1,34,59,33,0,34,62,4,61,3,62,4,59,31,91,1,0,33,0,3,1.0
32,0,36,57,33,61,95,0,34,58,35,56,35,1,38,0,34,59,35,57,32,60,94,54,33,58,38,55,34,57,35,56,34,60,39,0,35,0,36,0,38,56,94,0,34,56,34,0,1.0
35,0,37,53,35,58,95,0,37,53,39,53,38,1,39,0,37,55,37,55,37,57,94,53,37,55,39,53,37,56,39,55,35,56,40,0,39,0,40,0,39,53,94,0,37,55,37,0,1.0
31,6,34,56,33,62,88,6,34,58,35,58,34,8,36,7,32,58,34,57,32,61,86,56,34,59,35,56,33,59,36,57,33,59,37,6,36,7,37,7,36,56,87,7,33,58,33,7,1.0
24,0,45,52,26,69,95,1,39,54,41,47,27,1,47,0,26,54,38,54,26,68,94,45,38,66,48,46,27,48,40,47,26,55,48,1,40,0,41,1,47,45,94,0,26,47,26,0,1.0
7,10,39,55,8,87,84,10,37,57,37,54,9,12,41,11,8,57,36,56,7,86,82,51,35,85,40,53,9,54,37,53,9,58,42,11,37,11,38,12,40,52,83,10,8,53,8,11,-1.0
0,7,39,52,1,95,87,7,38,55,39,54,1,9,41,7,0,54,39,54,0,94,85,51,38,94,40,51,1,54,39,53,1,55,42,7,40,8,41,9,40,52,86,7,0,53,0,8,1.0
0,0,50,50,0,95,95,1,42,51,44,42,1,1,52,0,0,51,43,51,0,94,94,40,42,94,53,41,1,43,43,42,0,52,53,1,43,0,44,1,52,42,94,0,0,42,0,0,1.0
0,2,48,44,0,95,93,3,48,45,50,44,1,3,50,2,0,45,48,45,0,94,92,42,48,94,51,43,1,45,49,44,0,46,51,3,49,2,50,3,50,43,92,2,0,44,0,2,1.0
17,12,79,71,19,76,82,13,21,73,21,14,20,14,80,13,19,73,21,71,17,75,80,13,19,73,80,14,19,15,21,14,19,74,81,13,21,13,22,13,79,14,81,12,19,14,19,13,1.0
34,0,44,53,35,59,95,0,38,54,39,48,37,1,46,0,36,55,38,55,36,58,94,46,37,56,46,47,36,49,39,48,36,56,47,0,39,0,40,0,46,47,94,0,36,48,36,0,1.0
0,0,39,51,1,95,95,0,39,54,41,54,1,1,41,0,0,53,39,53,0,94,94,51,39,94,41,51,1,54,41,53,1,54,42,0,41,0,42,1,41,51,94,0,0,53,0,0,1.0
10,10,80,60,12,84,84,11,31,63,32,14,12,12,81,11,10,62,31,61,10,83,82,12,30,82,81,12,12,14,32,12,12,63,82,11,32,11,33,12,81,12,83,11,11,13,11,11,1.0
0,0,42,49,1,95,95,0,42,52,43,51,1,1,44,0,0,51,41,51,0,94,94,48,41,94,44,49,1,51,43,50,1,52,45,0,43,0,44,1,44,48,94,0,0,50,0,0,1.0
28,0,31,60,29,65,95,0,31,61,32,61,31,1,33,0,29,62,30,61,29,64,94,59,30,62,33,60,30,62,32,60,30,63,34,0,32,0,33,0,33,59,94,0,30,61,30,0,1.0
0,0,39,51,1,95,95,0,39,54,41,54,1,1,41,0,0,53,39,53,0,94,94,51,39,94,41,51,1,54,41,53,1,54,42,0,41,0,42,1,41,51,94,0,0,53,0,0,1.0
0,1,50,40,0,95,93,3,50,42,53,42,1,3,52,1,0,42,50,42,0,94,91,40,50,94,53,40,1,43,51,42,0,43,53,3,52,2,53,3,51,40,92,1,0,42,0,2,1.0
32,0,41,55,34,61,95,0,35,57,37,51,35,1,43,0,34,57,36,56,33,60,94,49,35,58,43,49,34,52,37,51,34,58,44,0,37,0,38,0,43,50,94,0,34,51,34,0,1.0
0,0,46,46,1,95,94,0,46,49,46,47,1,2,48,1,0,48,44,48,0,94,92,44,44,94,47,46,1,47,46,46,1,49,49,1,46,1,47,2,48,44,93,1,0,46,0,1,-1.0
10,11,79,62,12,84,83,12,29,65,30,15,12,13,80,12,10,64,29,63,10,83,81,13,28,82,80,13,12,15,30,13,12,65,81,12,30,12,31,13,80,13,82,12,11,14,11,12,1.0
0,0,49,48,1,95,95,0,44,51,44,44,1,1,51,0,0,50,43,50,0,94,94,41,42,94,51,43,1,44,44,43,1,51,52,0,44,0,45,1,51,42,94,0,0,43,0,0,1.0
22,0,46,53,23,72,95,1,39,55,40,46,24,1,48,0,23,55,38,55,23,71,94,44,37,70,49,46,24,47,39,46,23,56,49,1,39,0,40,1,48,45,94,0,23,46,23,0,1.0
22,12,79,65,24,71,82,13,27,67,27,14,25,14,80,12,23,67,26,66,23,70,80,13,25,68,80,14,24,15,26,13,24,68,81,13,27,12,28,13,79,13,81,12,23,14,24,13,1.0
0,6,39,52,1,95,88,7,39,55,40,54,1,8,41,7,0,54,38,54,0,94,86,51,38,94,41,52,1,54,40,53,1,55,42,7,40,7,41,8,41,51,87,7,0,53,0,7,1.0
0,6,42,50,1,95,88,7,41,53,42,51,1,8,44,7,0,52,41,52,0,94,86,48,40,94,44,49,1,51,42,50,1,53,45,7,42,7,43,8,44,49,87,7,0,50,0,7,1.0
0,4,51,45,0,95,90,6,47,46,49,41,1,6,53,4,0,46,47,46,0,94,88,39,47,94,54,40,1,42,47,41,0,47,54,6,48,5,49,6,52,40,89,4,0,41,0,5,1.0
36,0,39,53,37,57,95,0,38,54,39,53,39,1,41,0,37,55,38,53,36,56,94,51,37,54,41,52,38,54,39,52,38,56,42,0,39,0,40,0,41,52,94,0,38,53,38,0,1.0
30,0,34,59,30,63,95,0,33,59,33,58,33,1,36,0,32,61,32,60,31,62,94,56,31,60,36,58,32,59,33,58,32,62,37,0,33,0,34,0,36,57,94,0,32,58,32,0,1.0
35,0,36,54,36,58,95,0,36,55,38,55,38,1,38,0,35,56,36,54,35,57,94,54,36,55,38,54,37,57,38,54,36,57,39,0,38,0,39,0,38,54,94,0,37,56,37,0,1.0
0,0,50,42,0,95,94,2,50,43,52,42,1,2,52,0,0,43,50,43,0,94,92,40,50,94,53,41,1,43,50,42,0,44,53,2,51,1,52,2,51,41,93,0,0,42,0,1,1.0
31,0,35,57,31,62,95,0,35,57,35,57,34,1,37,0,33,59,33,59,33,61,94,55,33,59,37,57,33,58,35,57,33,60,38,0,35,0,36,0,37,55,94,0,33,57,33,0,1.0
0,0,53,37,0,95,93,3,53,39,56,39,1,3,55,0,0,39,53,39,0,94,90,37,53,94,56,37,1,40,53,39,0,40,56,3,55,2,56,3,53,37,92,0,0,39,0,2,1.0
32,0,35,56,32,61,95,0,35,56,36,56,35,1,37,0,34,58,34,58,34,60,94,55,34,58,37,56,34,58,36,57,33,59,38,0,36,0,37,0,37,55,94,0,34,57,34,0,1.0
0,0,57,33,0,95,93,3,57,35,60,35,1,3,59,0,0,35,57,35,0,94,90,33,57,94,60,33,1,36,57,35,0,36,60,3,59,2,60,3,57,33,92,0,0,35,0,2,1.0
0,0,50,42,0,95,94,2,50,44,51,42,1,2,52,1,0,44,48,44,0,94,92,40,48,94,53,42,1,43,50,42,0,45,53,2,50,1,51,2,52,40,93,1,0,42,0,1,1.0
0,0,46,51,1,95,95,0,40,54,41,47,1,1,48,0,0,53,41,53,0,94,94,44,39,94,48,45,1,47,41,46,1,54,49,0,41,0,42,1,48,46,94,0,0,46,0,0,1.0
30,7,34,56,32,63,87,7,34,58,35,58,33,9,36,7,32,58,34,58,32,62,85,56,34,60,35,56,32,59,35,58,32,59,37,7,36,8,37,8,35,56,86,7,32,58,32,8,1.0
9,12,79,65,11,85,82,13,27,68,27,15,11,14,80,13,10,67,27,66,9,84,80,13,25,83,80,14,11,15,27,14,11,68,81,13,27,13,28,14,79,14,81,12,10,14,10,13,1.0
33,0,35,55,34,60,95,0,35,56,37,56,36,1,37,0,34,57,35,56,34,59,94,55,35,57,37,55,35,58,37,56,34,58,38,0,37,0,38,0,37,55,94,0,35,57,35,0,1.0
0,0,41,50,1,95,95,0,41,53,42,52,1,1,43,0,0,52,40,52,0,94,94,49,40,94,43,50,1,52,42,51,1,53,44,0,42,0,43,1,43,49,94,0,0,51,0,0,1.0
0,7,39,54,1,95,87,7,38,57,38,54,1,9,41,7,0,56,37,56,0,94,85,51,36,94,40,53,1,54,37,53,1,57,42,8,38,8,39,9,40,52,86,7,0,53,0,8,1.0
0,0,90,82,0,95,93,0,11,84,11,3,1,3,92,2,0,84,10,84,0,94,90,0,8,94,90,3,1,3,10,2,1,85,93,3,10,2,11,3,90,2,92,0,0,2,0,2,1.0
35,0,43,53,36,58,95,0,38,54,39,48,38,1,45,0,37,55,39,54,36,57,94,47,37,55,45,48,37,50,39,49,36,56,46,0,39,0,40,0,45,49,94,0,37,49,37,0,1.0
21,12,77,66,23,72,82,13,25,68,26,16,24,14,78,13,22,68,25,67,22,71,80,15,24,69,78,15,23,17,26,15,23,69,79,13,26,13,27,13,78,15,81,13,23,16,23,13,1.0
6,9,39,53,8,88,85,9,39,56,39,54,8,11,41,9,7,55,37,55,7,87,83,51,37,86,40,53,8,54,38,53,8,56,42,10,39,10,40,11,40,51,84,9,7,53,7,10,-1.0
7,9,40,54,9,87,85,9,38,57,38,53,9,11,42,10,8,56,38,55,7,86,83,50,36,85,41,52,9,53,38,52,9,57,43,10,38,10,39,11,41,52,84,9,8,52,8,10,-1.0
0,0,45,46,1,95,95,0,44,49,46,48,1,1,47,0,0,48,45,48,0,94,94,45,44,94,47,45,1,48,46,47,1,49,48,0,46,0,47,1,47,46,94,0,0,47,0,0,-1.0
22,12,79,64,24,71,82,13,28,66,28,14,25,14,80,12,23,66,27,65,23,70,80,13,26,68,80,14,24,15,27,13,24,67,81,13,28,12,29,13,79,13,81,12,23,14,24,13,1.0
15,12,78,72,17,78,82,13,20,74,20,15,18,14,79,13,16,74,19,73,16,77,80,14,18,75,79,15,17,16,20,14,17,75,80,13,20,13,21,13,79,14,81,13,17,15,17,13,1.0
10,10,81,62,12,84,84,11,30,65,30,13,12,12,82,10,11,64,29,64,11,83,82,11,28,82,82,12,12,13,29,12,12,65,83,11,30,11,31,12,81,11,83,10,11,12,11,11,1.0
0,0,46,51,1,95,95,0,41,54,41,47,1,1,48,0,0,53,40,53,0,94,94,44,39,94,48,46,1,47,41,46,1,54,49,0,41,0,42,1,48,45,94,0,0,46,0,0,1.0
33,0,43,55,33,60,95,0,37,55,37,49,36,1,45,0,35,57,36,57,35,59,94,47,35,57,45,49,35,50,37,49,35,58,46,0,37,0,38,0,45,48,94,0,35,49,35,0,1.0
10,11,79,62,12,84,83,12,29,65,30,15,12,13,80,12,11,64,30,63,10,83,81,13,28,82,80,13,12,15,30,14,12,65,81,12,30,12,31,13,79,14,82,11,11,14,11,12,1.0
0,0,50,45,1,95,95,0,45,48,47,43,1,1,52,0,0,47,47,47,0,94,94,40,45,94,52,40,1,43,47,42,1,48,53,0,47,0,48,1,52,42,94,0,0,42,0,0,-1.0
35,0,44,53,36,58,95,0,38,54,39,48,38,1,46,0,37,55,39,54,36,57,94,46,37,55,46,47,37,49,39,48,37,56,47,0,39,0,40,0,46,48,94,0,37,48,37,0,1.0
22,12,78,65,24,71,82,13,26,67,27,15,25,14,79,12,23,67,26,66,23,70,80,14,25,68,79,14,24,16,26,14,24,68,80,13,27,12,28,13,78,14,81,12,23,15,24,13,1.0
7,11,38,55,9,87,83,11,37,58,37,55,9,13,40,11,7,57,35,56,7,86,81,52,35,85,39,54,9,55,36,53,9,58,41,12,37,11,38,13,39,52,82,11,7,54,8,12,-1.0
35,0,39,51,37,58,95,0,39,53,41,53,38,1,41,0,37,53,39,53,37,57,94,51,39,55,41,51,37,54,41,53,37,54,42,0,41,0,42,0,41,51,94,0,37,53,37,0,1.0
0,7,37,53,1,95,87,7,37,56,38,56,1,9,39,7,0,55,37,55,0,94,85,53,37,94,38,53,1,56,38,55,1,56,40,7,39,8,40,9,38,53,86,7,0,55,0,8,1.0
21,10,80,64,23,72,84,11,27,66,28,13,24,12,81,10,23,66,27,66,23,71,82,12,26,69,81,12,23,14,27,13,23,67,82,11,28,11,29,11,80,12,83,10,23,13,23,11,1.0
2,0,44,50,4,91,95,1,42,51,44,48,5,1,46,0,4,51,42,51,4,90,94,46,42,88,47,47,5,49,43,48,4,52,47,1,43,0,44,1,46,47,94,0,4,48,4,0,1.0
0,7,39,52,1,95,87,7,38,55,39,54,1,9,41,7,0,54,39,54,0,94,85,51,38,94,40,51,1,54,39,53,1,55,42,7,40,8,41,9,40,52,86,7,0,53,0,8,1.0
35,0,38,54,36,58,95,0,37,55,38,54,38,1,40,0,36,56,37,54,35,57,94,52,36,55,40,53,37,55,38,53,37,57,41,0,38,0,39,0,40,53,94,0,37,54,37,0,1.0
21,12,78,66,23,72,82,13,25,68,26,15,24,14,79,13,23,68,26,67,22,71,80,14,24,69,79,14,23,16,26,15,23,69,80,13,26,13,27,13,78,15,81,12,23,15,23,13,1.0
0,11,46,46,0,95,84,12,45,48,47,46,1,12,48,11,0,48,45,48,0,94,83,44,44,94,49,45,1,47,46,46,0,49,49,12,46,11,47,12,48,45,83,11,0,46,0,11,-1.0
15,10,45,53,16,79,85,11,39,54,41,47,17,11,47,10,16,54,39,54,16,78,84,45,39,77,48,46,17,48,40,47,16,55,48,11,40,10,41,11,47,46,84,10,16,47,16,10,-1.0
0,3,49,41,1,95,91,4,49,44,51,44,1,5,51,4,0,43,49,43,0,94,89,41,49,94,51,41,1,44,51,43,1,44,52,4,51,4,52,5,51,41,90,4,0,43,0,4,-1.0
0,0,45,47,0,94,94,2,44,48,46,47,2,2,47,0,1,49,44,49,1,93,92,45,43,92,48,46,2,48,44,47,1,50,48,2,45,1,46,2,46,46,93,0,1,47,1,1,-1.0
0,5,58,42,0,95,90,6,50,43,52,34,1,6,60,5,0,43,51,43,0,94,89,32,50,94,61,33,1,35,51,34,0,44,61,6,51,5,52,6,60,34,89,5,0,34,0,5,1.0
0,0,45,48,0,95,95,1,44,49,46,47,1,1,47,0,0,49,44,49,0,94,94,45,44,94,48,46,1,48,45,47,0,50,48,1,45,0,46,1,47,46,94,0,0,47,0,0,1.0
0,0,46,45,1,95,95,0,45,48,47,47,1,1,48,0,0,47,46,47,0,94,94,44,45,94,48,44,1,47,47,46,1,48,49,0,47,0,48,1,48,45,94,0,0,46,0,0,1.0
0,1,81,38,0,95,93,2,54,40,55,9,1,3,85,1,0,40,52,40,0,94,91,5,52,94,85,9,1,10,53,9,0,41,86,3,54,2,55,3,84,7,92,1,0,9,0,2,1.0
0,1,49,45,0,95,94,2,48,46,49,43,1,2,51,1,0,46,47,46,0,94,93,41,47,94,52,43,1,44,48,43,0,47,52,2,48,1,49,2,51,42,93,1,0,43,0,1,1.0
0,6,39,53,1,95,88,7,38,56,39,54,1,8,41,7,0,55,38,55,0,94,86,51,37,94,41,52,1,54,39,53,1,56,42,7,39,7,40,8,41,52,87,7,0,53,0,7,1.0
27,7,44,60,28,66,87,7,31,61,31,47,30,9,46,7,29,62,31,62,29,65,85,46,30,63,45,47,28,49,31,48,28,63,47,7,32,8,33,7,45,47,86,7,29,48,29,8,1.0
0,0,50,46,0,95,95,1,46,48,47,42,1,1,52,0,0,48,45,48,0,94,94,40,44,94,53,42,1,43,46,42,0,49,53,1,46,0,47,1,52,41,94,0,0,42,0,0,1.0
0,0,41,53,1,95,95,0,39,56,39,52,1,1,43,0,0,55,39,55,0,94,94,49,37,94,43,51,1,52,39,51,1,56,44,0,39,0,40,1,43,51,94,0,0,51,0,0,1.0
35,0,39,52,36,58,95,0,39,53,40,53,38,1,41,0,37,54,38,54,37,57,94,51,38,55,41,52,37,54,40,53,37,55,42,0,40,0,41,0,41,51,94,0,37,53,37,0,1.0
2,1,65,55,2,92,93,2,32,60,33,25,4,3,68,1,3,61,32,61,3,91,91,23,27,90,68,25,3,27,32,26,2,62,69,2,33,2,34,2,67,25,92,1,3,26,3,2,-1.0
35,0,38,54,36,58,95,0,37,55,38,54,38,1,40,0,36,56,37,54,35,57,94,52,36,55,40,53,37,55,38,53,37,57,41,0,38,0,39,0,40,53,94,0,37,54,37,0,1.0
6,12,79,61,8,88,82,13,30,64,31,15,8,14,80,12,7,63,30,63,7,87,80,13,29,86,80,13,8,15,30,14,8,64,81,13,31,13,32,14,79,13,81,12,7,14,7,13,1.0
10,11,80,61,12,84,83,12,30,64,31,14,12,13,81,11,11,63,30,63,11,83,81,12,29,82,81,12,12,14,30,13,12,64,82,12,31,12,32,13,80,12,82,11,11,13,11,12,1.0
34,0,44,53,36,59,95,0,37,55,39,48,37,1,46,0,36,55,39,54,35,58,94,46,37,56,46,46,36,49,39,48,36,56,47,0,39,0,40,0,46,48,94,0,36,48,36,0,1.0
0,0,44,52,1,95,95,0,39,55,40,49,1,1,46,0,0,54,39,54,0,94,94,46,38,94,46,47,1,49,40,48,1,55,47,0,40,0,41,1,46,47,94,0,0,48,0,0,1.0
34,0,36,54,35,59,95,0,36,55,38,55,37,1,38,0,35,56,36,55,35,58,94,54,36,56,38,54,36,57,38,55,35,57,39,0,38,0,39,0,38,54,94,0,36,56,36,0,1.0
0,0,90,48,0,95,93,0,45,50,45,3,1,3,92,2,0,50,44,50,0,94,90,0,42,94,90,3,1,3,44,2,1,51,93,3,44,2,45,3,90,2,92,0,0,2,0,2,-1.0
0,6,38,54,1,95,88,7,37,57,38,55,1,8,40,7,0,56,37,56,0,94,86,52,36,94,40,53,1,55,38,54,1,57,41,7,38,7,39,8,39,53,87,6,0,54,0,7,1.0
0,0,48,47,0,95,95,1,45,48,47,44,1,1,50,0,0,48,46,48,0,94,94,42,45,94,51,43,1,45,46,44,0,49,51,1,46,0,47,1,50,44,94,0,0,44,0,0,1.0
30,7,34,57,31,63,87,7,34,58,34,58,33,9,36,7,32,59,33,59,32,62,85,56,33,60,35,57,32,59,34,58,32,60,37,7,35,8,36,8,35,56,86,7,32,58,32,8,1.0
