@relation 'Sax dominant'

@attribute o1atMaaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atLccc numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMbca numeric
@attribute o1atLbca numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute destClass {1,-1}

@data
34,36,53,36,53,44,37,48,36,56,39,47,47,45,46,44,37,46,35,55,42,51,39,45,44,45,45,45,36,46,43,46,38,45,36,47,37,51,34,55,38,45,47,44,36,47,38,45,1
0,1,94,0,93,0,0,5,0,94,1,5,90,2,89,2,0,4,0,93,85,93,1,2,87,4,88,5,1,4,85,4,0,2,0,4,0,93,0,94,0,4,90,0,0,4,0,5,1
31,34,56,33,56,23,34,28,33,59,36,27,67,25,66,24,34,26,32,58,62,54,36,25,64,25,65,26,34,26,62,26,35,25,33,27,34,54,31,58,35,25,67,23,33,27,35,26,1
21,24,66,24,66,11,24,14,23,69,26,13,81,12,80,12,25,13,23,68,78,64,26,12,79,12,80,12,24,13,78,13,25,12,23,13,25,64,21,68,25,12,81,11,24,13,26,12,1
38,40,51,38,50,41,39,46,39,53,41,46,49,43,48,42,40,44,38,52,44,48,42,44,46,42,46,44,40,45,44,44,41,43,39,45,40,49,38,53,41,42,48,41,38,45,40,44,-1
39,41,48,40,48,43,42,48,41,51,44,47,47,45,46,44,42,46,40,50,42,46,44,45,44,44,45,45,41,46,42,46,43,45,41,47,42,46,39,50,43,44,47,43,40,47,43,45,1
33,35,54,36,54,28,36,33,34,57,37,31,62,29,61,30,37,32,35,56,57,52,38,30,59,31,60,30,35,32,57,31,37,30,35,32,36,52,33,56,36,31,62,28,36,31,38,30,1
31,33,56,34,56,45,34,50,32,59,35,48,45,46,44,47,35,49,33,58,40,54,36,47,42,48,43,47,33,49,40,48,35,47,33,49,34,54,31,58,34,48,45,45,34,48,36,47,1
31,33,56,34,56,24,34,29,32,59,35,27,66,25,65,26,35,28,33,58,61,54,36,26,63,27,64,26,33,28,61,27,35,26,33,28,34,54,31,58,34,27,66,24,34,27,36,26,1
32,33,55,33,55,51,35,56,33,58,36,54,39,52,38,52,35,54,33,57,34,53,37,53,36,52,37,52,33,54,34,53,36,53,34,55,34,53,32,57,35,52,39,51,33,54,36,52,1
30,33,57,32,57,10,33,13,32,60,35,12,82,11,81,10,33,11,31,59,79,55,35,11,80,10,81,11,33,11,79,11,34,11,32,12,33,55,30,59,34,10,82,10,32,12,34,11,1
32,34,55,34,55,49,35,54,34,58,37,53,41,51,40,51,36,53,34,57,36,53,37,51,38,51,39,51,34,53,36,53,36,51,34,53,36,53,32,57,36,51,41,49,34,53,37,51,1
49,50,42,50,41,28,50,33,50,43,51,33,62,30,61,30,51,32,50,42,57,40,52,31,59,31,59,31,50,33,57,32,51,30,50,32,51,40,49,43,51,31,61,28,50,32,51,31,1
39,39,52,40,51,34,40,40,39,53,40,39,54,35,54,37,41,40,40,52,48,50,42,37,51,39,51,37,39,40,48,38,41,37,40,40,40,50,39,53,40,39,54,34,40,38,41,37,1
44,45,47,45,46,36,45,41,45,48,46,41,54,38,53,38,46,40,45,47,49,45,47,39,51,39,51,39,45,41,49,40,46,38,45,40,46,45,44,48,46,39,53,36,45,40,46,39,1
36,36,51,37,51,48,39,53,36,54,39,50,42,48,41,49,39,51,37,53,37,49,41,50,39,49,40,48,36,51,37,49,40,50,38,52,37,49,36,53,38,49,42,48,37,50,40,48,1
32,34,55,35,55,44,35,48,34,58,37,47,47,45,46,45,36,47,34,57,42,53,37,45,44,46,45,45,34,47,43,47,36,45,34,47,36,53,32,57,36,46,47,44,35,47,37,45,1
42,42,49,43,48,36,43,41,42,50,43,40,54,37,53,38,44,40,43,49,49,47,45,39,51,39,51,38,42,41,49,39,44,38,43,40,43,47,42,50,43,39,53,36,43,39,44,38,1
32,35,55,34,55,27,35,32,34,58,37,31,63,29,62,28,35,30,33,57,58,53,37,29,60,29,61,30,35,30,58,30,36,29,34,31,35,53,32,57,36,29,63,27,34,31,36,30,1
44,45,47,45,46,33,45,38,45,48,46,38,57,35,56,35,46,37,45,47,52,45,47,36,54,36,54,36,45,38,52,37,46,35,45,37,46,45,44,48,46,36,56,33,45,37,46,36,1
40,41,51,41,50,37,41,42,41,52,42,42,53,39,52,39,42,41,41,51,48,49,43,40,50,40,50,40,41,42,48,41,42,39,41,41,42,49,40,52,42,40,52,37,41,41,42,40,1
23,26,64,25,64,11,26,14,25,67,28,13,81,12,80,11,26,12,24,66,78,62,28,12,79,11,80,12,26,12,78,12,27,12,25,13,26,62,23,66,27,11,81,11,25,13,27,12,1
0,1,94,0,93,0,0,3,0,94,1,3,92,0,91,0,0,2,0,93,87,93,1,0,89,2,90,3,1,2,89,2,0,0,0,2,0,93,0,94,0,2,92,0,0,2,0,3,1
34,36,53,36,53,29,37,34,35,56,38,32,61,30,60,30,37,32,35,55,56,51,39,31,58,31,59,31,36,32,56,31,38,31,36,33,36,51,34,55,37,31,61,29,36,32,38,31,1
33,35,54,35,54,48,36,53,35,57,38,52,42,50,41,50,37,52,35,56,37,52,38,50,39,50,40,50,35,52,37,52,37,50,35,52,37,52,33,56,37,50,42,48,35,52,38,50,1
26,29,61,28,61,10,29,13,28,64,31,12,82,11,81,10,29,11,27,63,79,59,31,11,80,10,81,11,29,11,79,11,30,11,28,12,29,59,26,63,30,10,82,10,28,12,30,11,1
35,37,52,38,52,42,38,46,37,55,40,45,49,43,48,43,39,45,37,54,44,50,40,43,46,44,47,43,37,45,45,45,39,43,37,45,39,50,35,54,39,44,49,42,38,45,40,43,1
52,54,33,56,32,28,55,33,53,36,56,31,62,28,61,29,57,31,54,35,57,30,59,31,59,30,59,28,54,32,57,29,58,30,55,32,55,30,53,36,56,30,61,28,56,30,57,28,1
30,31,57,32,57,52,33,57,31,60,34,55,38,53,37,54,34,56,32,59,33,55,35,54,35,54,36,53,31,56,33,55,34,54,32,56,33,55,30,59,33,54,38,52,32,55,35,53,1
33,34,54,34,54,50,36,55,34,57,37,53,40,51,39,51,36,53,34,56,35,52,38,52,37,51,38,51,34,53,35,52,37,52,35,54,35,52,33,56,36,51,40,50,34,53,37,51,1
28,31,59,30,59,16,31,21,30,62,33,20,74,18,73,17,31,19,29,61,69,57,33,18,71,18,72,19,31,19,69,19,32,18,30,20,31,57,28,61,32,18,74,16,30,20,32,19,1
36,36,55,37,54,42,37,47,36,56,37,46,48,43,47,44,38,46,37,55,43,53,39,45,45,45,45,44,36,47,43,45,38,44,37,46,37,53,36,56,37,45,47,42,37,45,38,44,1
31,34,56,34,56,9,34,12,33,59,36,11,83,10,82,10,35,11,33,58,80,54,36,10,81,10,82,10,34,11,80,11,35,10,33,11,35,54,31,58,35,10,83,9,34,11,36,10,-1
33,35,54,36,54,28,36,33,34,57,37,31,62,29,61,30,37,32,35,56,57,52,38,30,59,31,60,30,35,32,57,31,37,30,35,32,36,52,33,56,36,31,62,28,36,31,38,30,1
41,41,50,42,49,36,42,41,41,51,42,40,54,37,53,38,43,40,42,50,49,48,44,39,51,39,51,38,41,41,49,39,43,38,42,40,42,48,41,51,42,39,53,36,42,39,43,38,1
47,47,44,47,43,37,48,42,47,45,48,41,53,38,52,38,48,40,47,44,48,42,50,40,50,39,50,39,47,41,48,39,49,39,48,41,47,42,47,45,48,39,52,37,47,40,48,39,1
16,19,71,19,71,12,19,15,18,74,21,14,80,13,79,13,20,14,18,73,77,69,21,13,78,13,79,13,19,14,77,14,20,13,18,14,20,69,16,73,20,13,80,12,19,14,21,13,1
34,35,53,36,53,44,37,49,35,56,38,47,46,45,45,45,37,47,35,55,41,51,39,46,43,46,44,45,35,47,41,46,38,46,36,48,36,51,34,55,37,46,46,44,36,47,38,45,1
36,37,51,36,51,48,39,53,37,54,40,51,42,49,41,48,38,50,36,53,37,49,41,50,39,48,40,49,37,50,37,49,40,50,38,52,37,49,36,53,39,48,42,48,36,51,39,49,1
27,30,60,30,60,9,30,12,29,63,32,11,83,10,82,10,31,11,29,62,80,58,32,10,81,10,82,10,30,11,80,11,31,10,29,11,31,58,27,62,31,10,83,9,30,11,32,10,1
37,39,50,37,50,46,40,51,39,53,42,50,44,48,43,46,39,48,37,52,39,48,42,48,41,46,42,48,39,48,39,48,41,48,39,50,39,48,37,52,41,46,44,46,37,50,40,48,1
26,27,61,28,61,56,29,61,27,64,30,59,34,57,33,58,30,60,28,63,29,59,31,58,31,58,32,57,27,60,29,59,30,58,28,60,29,59,26,63,29,58,34,56,28,59,31,57,1
36,36,51,37,51,48,39,53,36,54,39,50,42,48,41,49,39,51,37,53,37,49,41,50,39,49,40,48,36,51,37,49,40,50,38,52,37,49,36,53,38,49,42,48,37,50,40,48,1
46,47,42,47,41,37,48,42,47,44,49,41,53,38,52,38,49,40,47,43,48,39,51,40,50,38,50,38,47,41,48,39,50,39,48,41,48,39,46,44,49,38,52,37,47,40,49,38,1
31,33,56,33,56,46,34,50,32,59,35,48,45,47,44,46,34,48,32,58,40,54,36,47,42,47,43,48,34,48,41,47,35,47,33,49,33,54,31,58,34,47,45,46,33,48,35,48,1
40,42,47,42,47,41,43,46,42,50,45,45,49,43,48,43,44,45,42,49,44,45,45,43,46,43,47,43,42,45,44,45,44,43,42,45,44,45,40,49,44,43,49,41,42,45,45,43,-1
25,28,62,28,62,10,28,13,27,65,30,12,82,11,81,11,29,12,27,64,79,60,30,11,80,11,81,11,28,12,79,12,29,11,27,12,29,60,25,64,29,11,82,10,28,12,30,11,1
37,39,50,40,50,39,40,43,39,53,42,42,52,40,51,40,41,42,39,52,47,48,42,40,49,41,50,40,39,42,48,42,41,40,39,42,41,48,37,52,41,41,52,39,40,42,42,40,1
36,38,53,37,52,40,37,45,37,55,39,45,50,42,49,42,39,44,37,54,45,50,40,43,47,42,47,43,38,45,45,44,39,42,37,44,39,51,36,55,39,42,49,40,37,44,39,43,1
22,25,65,24,65,12,25,15,24,68,27,14,80,13,79,12,25,13,23,67,77,63,27,13,78,12,79,13,25,13,77,13,26,13,24,14,25,63,22,67,26,12,80,12,24,14,26,13,1
35,38,52,37,52,32,38,37,37,55,40,36,58,34,57,33,38,35,36,54,53,50,40,34,55,34,56,35,38,35,53,35,39,34,37,36,38,50,35,54,39,34,58,32,37,36,39,35,1
37,40,50,39,50,34,40,39,39,53,42,38,56,36,55,35,40,37,38,52,51,48,42,36,53,36,54,37,40,37,51,37,41,36,39,38,40,48,37,52,41,36,56,34,39,38,41,37,1
46,47,45,46,44,32,47,37,47,46,48,37,58,34,57,33,47,35,46,45,53,43,49,35,55,34,55,35,47,36,53,35,48,34,47,36,47,43,46,46,48,34,57,32,46,36,47,35,1
34,35,53,35,53,49,37,54,35,56,38,52,41,50,40,50,37,52,35,55,36,51,39,51,38,50,39,50,35,52,36,51,38,51,36,53,36,51,34,55,37,50,41,49,35,52,38,50,1
28,30,59,29,59,54,31,59,30,62,33,58,36,56,35,55,31,57,29,61,31,57,33,56,33,55,34,56,30,57,31,57,32,56,30,58,31,57,28,61,32,55,36,54,29,58,32,56,1
32,34,55,33,55,50,35,55,34,58,37,54,40,52,39,51,35,53,33,57,35,53,37,52,37,51,38,52,34,53,35,53,36,52,34,54,35,53,32,57,36,51,40,50,33,54,36,52,1
48,48,43,49,42,31,49,36,48,44,49,35,59,32,58,33,50,35,49,43,54,41,51,34,56,34,56,33,48,36,54,34,50,33,49,35,49,41,48,44,49,34,58,31,49,34,50,33,1
30,32,57,30,57,53,33,58,32,60,35,57,37,55,36,53,32,55,30,59,32,55,35,55,34,53,35,55,32,55,32,55,34,55,32,57,32,55,30,59,34,53,37,53,30,57,33,55,1
51,52,37,51,36,33,53,38,52,39,54,37,57,34,56,33,53,35,51,38,52,34,56,36,54,33,54,34,52,36,52,34,55,35,53,37,52,34,51,39,54,33,56,33,51,36,53,34,1
31,32,56,31,56,53,34,58,32,59,35,56,37,54,36,53,33,55,31,58,32,54,36,55,34,53,35,54,32,55,32,54,35,55,33,57,32,54,31,58,34,53,37,53,31,56,34,54,1
55,56,33,55,32,29,57,34,56,35,58,33,61,30,60,29,57,31,55,34,56,30,60,32,58,29,58,30,56,32,56,30,59,31,57,33,56,30,55,35,58,29,60,29,55,32,57,30,1
46,48,42,46,41,37,48,42,48,44,50,42,53,39,52,37,48,39,46,43,48,39,51,40,50,37,50,39,48,40,48,39,50,39,48,41,48,39,46,44,50,37,52,37,46,41,48,39,1
35,37,52,38,52,42,38,46,37,55,40,45,49,43,48,43,39,45,37,54,44,50,40,43,46,44,47,43,37,45,45,45,39,43,37,45,39,50,35,54,39,44,49,42,38,45,40,43,1
30,32,57,32,57,16,33,21,31,60,34,19,74,17,73,17,33,19,31,59,69,55,35,18,71,18,72,18,32,19,69,18,34,18,32,20,32,55,30,59,33,18,74,16,32,19,34,18,1
22,25,65,25,65,12,25,15,24,68,27,14,80,13,79,13,26,14,24,67,77,63,27,13,78,13,79,13,25,14,77,14,26,13,24,14,26,63,22,67,26,13,80,12,25,14,27,13,1
32,32,55,33,55,52,35,57,32,58,35,54,38,52,37,53,35,55,33,57,33,53,37,54,35,53,36,52,32,55,33,53,36,54,34,56,33,53,32,57,34,53,38,52,33,54,36,52,1
35,37,52,36,52,47,38,52,37,55,40,51,43,49,42,48,38,50,36,54,38,50,40,49,40,48,41,49,37,50,38,50,39,49,37,51,38,50,35,54,39,48,43,47,36,51,39,49,1
33,36,54,35,54,25,36,30,35,57,38,29,65,27,64,26,36,28,34,56,60,52,38,27,62,27,63,28,36,28,60,28,37,27,35,29,36,52,33,56,37,27,65,25,35,29,37,28,1
0,1,94,0,93,0,0,3,0,94,1,3,92,0,91,0,0,2,0,93,87,93,1,0,89,2,90,3,1,2,89,2,0,0,0,2,0,93,0,94,0,2,92,0,0,2,0,3,1
34,35,53,37,53,44,37,49,35,56,38,47,46,45,45,46,38,48,36,55,41,51,39,46,43,47,44,45,35,48,41,47,38,46,36,48,37,51,34,55,37,47,46,44,37,47,39,45,1
21,24,66,24,66,12,24,15,23,69,26,14,80,13,79,13,25,14,23,68,77,64,26,13,78,13,79,13,24,14,77,14,25,13,23,14,25,64,21,68,25,13,80,12,24,14,26,13,1
34,37,53,36,53,8,37,11,36,56,39,10,84,9,83,8,37,9,35,55,81,51,39,9,82,8,83,9,37,9,81,9,38,9,36,10,37,51,34,55,38,8,84,8,36,10,38,9,-1
32,35,55,35,55,8,35,11,34,58,37,10,84,9,83,9,36,10,34,57,81,53,37,9,82,9,83,9,35,10,81,10,36,9,34,10,36,53,32,57,36,9,84,8,35,10,37,9,-1
40,41,47,41,47,43,43,48,41,50,44,46,47,44,46,44,43,46,41,49,42,45,45,45,44,44,45,44,41,46,42,45,44,45,42,47,42,45,40,49,43,44,47,43,41,46,44,44,-1
23,26,64,25,64,12,26,15,25,67,28,14,80,13,79,12,26,13,24,66,77,62,28,13,78,12,79,13,26,13,77,13,27,13,25,14,26,62,23,66,27,12,80,12,25,14,27,13,1
14,17,73,17,73,12,17,15,16,76,19,14,80,13,79,13,18,14,16,75,77,71,19,13,78,13,79,13,17,14,77,14,18,13,16,14,18,71,14,75,18,13,80,12,17,14,19,13,1
25,28,62,27,62,10,28,13,27,65,30,12,82,11,81,10,28,11,26,64,79,60,30,11,80,10,81,11,28,11,79,11,29,11,27,12,28,60,25,64,29,10,82,10,27,12,29,11,1
35,37,52,38,52,42,38,46,37,55,40,45,49,43,48,43,39,45,37,54,44,50,40,43,46,44,47,43,37,45,45,45,39,43,37,45,39,50,35,54,39,44,49,42,38,45,40,43,1
31,33,56,34,56,45,34,50,33,59,36,49,45,47,44,47,35,49,33,58,40,54,36,47,42,48,43,47,33,49,40,49,35,47,33,49,35,54,31,58,35,48,45,45,34,49,36,47,1
24,27,63,27,63,11,27,14,26,66,29,13,81,12,80,12,28,13,26,65,78,61,29,12,79,12,80,12,27,13,78,13,28,12,26,13,28,61,24,65,28,12,81,11,27,13,29,12,1
42,43,45,45,45,37,45,41,43,48,46,39,54,38,53,38,46,40,44,47,49,43,47,38,51,39,52,38,44,40,50,39,46,38,44,40,45,43,42,47,45,39,54,37,45,39,47,38,-1
33,34,54,36,54,44,36,48,34,57,37,46,47,45,46,45,37,47,35,56,42,52,38,45,44,46,45,45,35,47,43,46,37,45,35,47,36,52,33,56,36,46,47,44,36,46,38,45,1
22,25,65,24,65,12,25,15,24,68,27,14,80,13,79,12,25,13,23,67,77,63,27,13,78,12,79,13,25,13,77,13,26,13,24,14,25,63,22,67,26,12,80,12,24,14,26,13,1
31,34,56,33,56,10,34,13,33,59,36,12,82,11,81,10,34,11,32,58,79,54,36,11,80,10,81,11,34,11,79,11,35,11,33,12,34,54,31,58,35,10,82,10,33,12,35,11,-1
35,36,52,35,52,49,38,54,36,55,39,52,41,50,40,49,37,51,35,54,36,50,40,51,38,49,39,50,36,51,36,50,39,51,37,53,36,50,35,54,38,49,41,49,35,52,38,50,1
33,36,54,35,54,29,36,34,35,57,38,33,61,31,60,30,36,32,34,56,56,52,38,31,58,31,59,32,36,32,56,32,37,31,35,33,36,52,33,56,37,31,61,29,35,33,37,32,1
23,26,64,25,64,10,26,13,25,67,28,12,82,11,81,10,26,11,24,66,79,62,28,11,80,10,81,11,26,11,79,11,27,11,25,12,26,62,23,66,27,10,82,10,25,12,27,11,1
41,42,50,42,49,37,42,42,42,51,43,42,53,39,52,39,43,41,42,50,48,48,44,40,50,40,50,40,42,42,48,41,43,39,42,41,43,48,41,51,43,40,52,37,42,41,43,40,1
34,36,53,37,53,28,37,33,35,56,38,31,62,29,61,30,38,32,36,55,57,51,39,30,59,31,60,30,36,32,57,31,38,30,36,32,37,51,34,55,37,31,62,28,37,31,39,30,1
32,34,55,34,55,49,35,54,34,58,37,53,41,51,40,51,36,53,34,57,36,53,37,51,38,51,39,51,34,53,36,53,36,51,34,53,36,53,32,57,36,51,41,49,34,53,37,51,1
21,24,66,24,66,12,24,15,23,69,26,14,80,13,79,13,25,14,23,68,77,64,26,13,78,13,79,13,24,14,77,14,25,13,23,14,25,64,21,68,25,13,80,12,24,14,26,13,1
41,46,47,44,46,24,43,27,43,49,46,27,69,25,67,24,45,25,43,48,65,44,46,25,66,24,67,27,46,26,66,26,45,24,43,25,45,44,41,49,45,24,68,24,44,26,45,27,-1
37,40,54,38,53,24,38,27,38,55,40,27,69,25,67,24,39,25,38,54,65,52,40,25,66,24,67,27,40,26,66,26,39,24,38,25,39,52,37,55,39,24,68,24,38,26,39,27,-1
46,47,41,46,41,38,49,43,47,44,50,41,52,39,51,38,48,40,46,43,47,39,51,40,49,38,50,39,47,40,47,39,50,40,48,42,47,39,46,43,49,38,52,38,46,41,49,39,-1
41,42,47,42,46,42,43,47,42,49,44,46,48,43,47,43,44,45,42,48,43,44,46,45,45,43,45,43,42,46,43,44,45,44,43,46,43,44,41,49,44,43,47,42,42,45,44,43,-1
48,49,43,49,42,29,49,34,49,44,50,34,61,31,60,31,50,33,49,43,56,41,51,32,58,32,58,32,49,34,56,33,50,31,49,33,50,41,48,44,50,32,60,29,49,33,50,32,1
42,42,49,43,48,36,43,41,42,50,43,40,54,37,53,38,44,40,43,49,49,47,45,39,51,39,51,38,42,41,49,39,44,38,43,40,43,47,42,50,43,39,53,36,43,39,44,38,1
41,41,46,43,46,42,44,47,41,49,44,44,48,42,47,44,45,46,43,48,43,44,46,44,45,44,46,42,41,46,43,44,45,44,43,46,43,44,41,48,43,44,48,42,43,44,46,42,1
0,1,94,0,93,0,0,4,0,94,1,4,91,1,90,1,0,3,0,93,86,93,1,1,88,3,89,4,1,3,87,3,0,1,0,3,0,93,0,94,0,3,91,0,0,3,0,4,1
46,47,45,46,44,36,47,41,47,46,48,41,54,38,53,37,47,39,46,45,49,43,49,39,51,38,51,39,47,40,49,39,48,38,47,40,47,43,46,46,48,38,53,36,46,40,47,39,1
34,37,53,37,53,26,37,31,36,56,39,30,64,28,63,28,38,30,36,55,59,51,39,28,61,29,62,29,37,30,59,30,38,28,36,30,38,51,34,55,38,29,64,26,37,30,39,29,1
27,29,60,29,60,6,30,9,28,63,31,7,86,6,85,6,30,7,28,62,83,58,32,7,84,6,85,6,29,7,83,6,31,7,29,8,29,58,27,62,30,6,86,6,29,7,31,6,1
43,44,48,44,47,34,44,39,44,49,45,39,56,36,55,36,45,38,44,48,51,46,46,37,53,37,53,37,44,39,51,38,45,36,44,38,45,46,43,49,45,37,55,34,44,38,45,37,1
34,36,53,36,53,47,37,52,36,56,39,51,43,49,42,49,38,51,36,55,38,51,39,49,40,49,41,49,36,51,38,51,38,49,36,51,38,51,34,55,38,49,43,47,36,51,39,49,1
34,35,53,35,53,49,37,54,35,56,38,52,41,50,40,50,37,52,35,55,36,51,39,51,38,50,39,50,35,52,36,51,38,51,36,53,36,51,34,55,37,50,41,49,35,52,38,50,1
8,8,83,10,83,11,9,19,8,84,9,18,75,14,75,15,10,19,9,84,67,82,10,15,71,19,71,17,8,19,67,18,10,15,9,19,9,82,8,84,9,19,75,11,10,18,10,17,-1
33,34,54,35,54,49,36,54,34,57,37,52,41,50,40,51,37,53,35,56,36,52,38,51,38,51,39,50,34,53,36,52,37,51,35,53,36,52,33,56,36,51,41,49,35,52,38,50,1
26,29,61,28,61,11,29,14,28,64,31,13,81,12,80,11,29,12,27,63,78,59,31,12,79,11,80,12,29,12,78,12,30,12,28,13,29,59,26,63,30,11,81,11,28,13,30,12,1
26,29,61,28,61,10,29,13,28,64,31,12,82,11,81,10,29,11,27,63,79,59,31,11,80,10,81,11,29,11,79,11,30,11,28,12,29,59,26,63,30,10,82,10,28,12,30,11,1
34,35,53,37,53,43,37,48,35,56,38,46,47,44,46,45,38,47,36,55,42,51,39,45,44,46,45,44,35,47,42,46,38,45,36,47,37,51,34,55,37,46,47,43,37,46,39,44,1
35,37,52,37,52,43,38,47,37,55,40,46,48,44,47,43,38,45,36,54,43,50,40,44,45,44,46,44,37,45,44,45,39,44,37,46,38,50,35,54,39,44,48,43,37,46,39,44,1
33,34,54,34,54,50,36,55,34,57,37,53,40,51,39,51,36,53,34,56,35,52,38,52,37,51,38,51,34,53,35,52,37,52,35,54,35,52,33,56,36,51,40,50,34,53,37,51,1
0,2,92,1,91,0,0,3,0,93,2,3,92,0,91,0,1,2,0,92,87,90,2,0,89,2,90,3,2,2,89,2,1,0,0,2,1,91,0,93,1,2,92,0,1,2,1,3,-1
33,35,54,36,54,27,36,32,34,57,37,30,63,28,62,29,37,31,35,56,58,52,38,29,60,30,61,29,35,31,58,30,37,29,35,31,36,52,33,56,36,30,63,27,36,30,38,29,1
44,44,47,45,46,34,45,39,44,48,45,38,56,35,55,36,46,38,45,47,51,45,47,37,53,37,53,36,44,39,51,37,46,36,45,38,45,45,44,48,45,37,55,34,45,37,46,36,1
30,32,57,32,57,17,33,22,31,60,34,20,73,18,72,18,33,20,31,59,68,55,35,19,70,19,71,19,32,20,68,19,34,19,32,21,32,55,30,59,33,19,73,17,32,20,34,19,1
36,38,51,38,51,32,39,37,37,54,40,35,58,33,57,33,39,35,37,53,53,49,41,34,55,34,56,34,38,35,53,34,40,34,38,36,38,49,36,53,39,34,58,32,38,35,40,34,1
31,33,56,34,56,24,34,29,32,59,35,27,66,25,65,26,35,28,33,58,61,54,36,26,63,27,64,26,33,28,61,27,35,26,33,28,34,54,31,58,34,27,66,24,34,27,36,26,1
