@relation 'Sax dominant'

@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMabd numeric
@attribute o1atLabd numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMdcb numeric
@attribute o1atLdcb numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMbdd numeric
@attribute o1atLbdd numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMddd numeric
@attribute o1atLddd numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMcde numeric
@attribute o1atLcde numeric
@attribute o1atMaaa numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMbcd numeric
@attribute o1atLbcd numeric
@attribute o1atMcdc numeric
@attribute o1atLcdc numeric
@attribute o1atMdde numeric
@attribute o1atLdde numeric
@attribute o1atLeee numeric
@attribute o1atMedd numeric
@attribute o1atLedd numeric
@attribute o1atMdee numeric
@attribute o1atLdee numeric
@attribute o1atMeed numeric
@attribute o1atLeed numeric
@attribute o1atMedc numeric
@attribute o1atLedc numeric
@attribute o1atMbce numeric
@attribute o1atLbce numeric
@attribute o1atMbdc numeric
@attribute o1atLbdc numeric
@attribute o1atMdda numeric
@attribute o1atLdda numeric
@attribute o1atMdab numeric
@attribute o1atLdab numeric
@attribute o1atMadd numeric
@attribute o1atLadd numeric
@attribute o1atMdaa numeric
@attribute o1atLdaa numeric
@attribute o1atMaad numeric
@attribute o1atLaad numeric
@attribute o1atMded numeric
@attribute o1atLded numeric
@attribute o1atMede numeric
@attribute o1atLede numeric
@attribute o1atMcee numeric
@attribute o1atLcee numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMbad numeric
@attribute o1atLbad numeric
@attribute o1atMacd numeric
@attribute o1atLacd numeric
@attribute o1atMced numeric
@attribute o1atLced numeric
@attribute o1atMcce numeric
@attribute o1atLcce numeric
@attribute o1atMbdb numeric
@attribute o1atLbdb numeric
@attribute o1atMedb numeric
@attribute o1atLedb numeric
@attribute o1atMcbd numeric
@attribute o1atLcbd numeric
@attribute o1atMbbd numeric
@attribute o1atLbbd numeric
@attribute o1atMdbb numeric
@attribute o1atLdbb numeric
@attribute o1atMdbd numeric
@attribute o1atLdbd numeric
@attribute o1atMdca numeric
@attribute o1atLdca numeric
@attribute o1atMdcd numeric
@attribute o1atLdcd numeric
@attribute o1atMcac numeric
@attribute o1atLcac numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMabe numeric
@attribute o1atLabe numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMddb numeric
@attribute o1atLddb numeric
@attribute o1atMeea numeric
@attribute o1atLeea numeric
@attribute o1atMcad numeric
@attribute o1atLcad numeric
@attribute o1atMead numeric
@attribute o1atLead numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute o1atMdac numeric
@attribute o1atLdac numeric
@attribute o1atMaca numeric
@attribute o1atLaca numeric
@attribute o1atMeec numeric
@attribute o1atLeec numeric
@attribute o1atMecb numeric
@attribute o1atLecb numeric
@attribute o1atMbde numeric
@attribute o1atLbde numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMbed numeric
@attribute o1atLbed numeric
@attribute o1atMbbe numeric
@attribute o1atLbbe numeric
@attribute o1atMecc numeric
@attribute o1atLecc numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMadc numeric
@attribute o1atLadc numeric
@attribute o1atMeeb numeric
@attribute o1atLeeb numeric
@attribute o1atMebb numeric
@attribute o1atLebb numeric
@attribute o1atMdba numeric
@attribute o1atLdba numeric
@attribute o1atMaae numeric
@attribute o1atLaae numeric
@attribute o1atMbee numeric
@attribute o1atLbee numeric
@attribute o1atMdbc numeric
@attribute o1atLdbc numeric
@attribute o1atMaee numeric
@attribute o1atLaee numeric
@attribute o1atMcae numeric
@attribute o1atLcae numeric
@attribute o1atMbca numeric
@attribute o1atLbca numeric
@attribute o1atMcdb numeric
@attribute o1atLcdb numeric
@attribute o1atMceb numeric
@attribute o1atLceb numeric
@attribute o1atMdce numeric
@attribute o1atLdce numeric
@attribute o1atMdbe numeric
@attribute o1atLdbe numeric
@attribute o1atMbae numeric
@attribute o1atLbae numeric
@attribute o1atMcda numeric
@attribute o1atLcda numeric
@attribute o1atMcec numeric
@attribute o1atLcec numeric
@attribute o1atMecd numeric
@attribute o1atLecd numeric
@attribute o1atMcbe numeric
@attribute o1atLcbe numeric
@attribute o1atMdec numeric
@attribute o1atLdec numeric
@attribute o1atMadb numeric
@attribute o1atLadb numeric
@attribute o1atMade numeric
@attribute o1atLade numeric
@attribute o1atMeab numeric
@attribute o1atLeab numeric
@attribute o1atMace numeric
@attribute o1atLace numeric
@attribute o1atMdea numeric
@attribute o1atLdea numeric
@attribute o1atMeac numeric
@attribute o1atLeac numeric
@attribute o1atMdad numeric
@attribute o1atLdad numeric
@attribute o1atMada numeric
@attribute o1atLada numeric
@attribute o1atMdeb numeric
@attribute o1atLdeb numeric
@attribute o1atMeda numeric
@attribute o1atLeda numeric
@attribute o1atMebd numeric
@attribute o1atLebd numeric
@attribute o1atMeaa numeric
@attribute o1atLeaa numeric
@attribute o1atMbda numeric
@attribute o1atLbda numeric
@attribute o1atMbec numeric
@attribute o1atLbec numeric
@attribute o1atMeba numeric
@attribute o1atLeba numeric
@attribute o1atMebc numeric
@attribute o1atLebc numeric
@attribute o1atMbeb numeric
@attribute o1atLbeb numeric
@attribute o1atMebe numeric
@attribute o1atLebe numeric
@attribute o1atMdae numeric
@attribute o1atLdae numeric
@attribute o1atMeca numeric
@attribute o1atLeca numeric
@attribute destClass {2.0,1.0}

@data
14,77,16,78,16,48,46,45,33,46,32,59,33,61,44,57,47,46,35,46,31,76,35,59,33,58,13,78,14,80,89,44,46,48,34,57,48,3,12,45,46,14,58,16,59,13,59,14,61,16,61,35,48,44,47,91,2,0,90,2,92,1,91,1,46,2,35,3,35,47,14,45,15,46,16,46,13,46,14,48,89,2,92,0,48,1,14,59,15,48,16,48,47,2,46,3,31,47,33,2,34,48,33,48,32,46,34,44,14,46,47,44,15,57,15,59,31,60,16,3,15,76,33,45,14,1,15,48,15,2,15,61,15,46,12,60,46,1,33,2,35,3,12,79,35,2,33,3,45,2,16,60,16,47,33,1,32,2,14,46,14,3,35,1,34,46,16,1,15,3,14,60,33,47,33,2,47,2,34,2,15,3,14,47,44,2,47,2,34,3,46,2,16,47,16,3,15,2,16,3,14,2,15,2,15,44,12,47,33,2,14,2,34,2,13,2,14,47,35,2,14,2,34,2,31,2,34,0,15,2,14,2,2.0
5,86,7,87,7,30,64,27,36,28,35,56,36,58,62,54,65,28,38,28,34,85,38,56,36,55,4,87,5,89,77,26,64,30,37,54,66,15,3,63,28,5,55,7,56,4,56,5,58,7,58,38,30,62,29,79,14,11,78,13,81,13,79,12,64,13,38,15,38,29,5,27,6,28,7,28,4,28,5,30,77,14,80,11,66,13,5,56,6,30,7,30,65,14,64,15,34,29,36,13,37,30,36,30,35,28,37,26,5,28,65,26,6,54,6,56,34,57,7,15,6,85,36,27,5,12,6,30,6,13,6,58,6,28,3,57,64,12,36,13,38,15,3,88,38,14,36,15,63,13,7,57,7,29,36,12,35,13,5,28,5,15,38,13,37,28,7,13,6,15,5,57,36,29,36,14,65,14,37,14,6,15,5,29,62,14,65,13,37,15,64,14,7,29,7,15,6,13,7,15,5,14,6,13,6,26,3,29,36,14,5,13,37,13,4,13,5,29,38,14,5,13,37,13,34,14,37,11,6,14,5,13,1.0
3,88,5,89,5,41,53,38,39,40,38,53,39,55,49,51,53,38,40,38,37,87,39,53,38,52,2,89,3,91,93,36,51,39,40,51,54,0,1,51,39,3,52,5,53,2,53,3,55,5,55,40,41,49,40,94,0,0,93,0,94,0,93,0,53,0,41,1,39,40,3,38,4,40,5,38,2,40,3,41,93,0,94,0,54,0,3,53,4,41,5,41,53,0,52,0,37,40,39,0,40,39,39,41,38,40,40,36,3,40,53,36,4,51,4,53,37,54,5,1,4,87,39,38,3,0,4,39,4,0,4,55,4,39,1,54,53,0,39,0,41,0,1,90,40,0,39,1,51,0,5,54,5,40,39,0,38,0,3,40,3,1,41,0,40,39,5,0,4,0,3,54,38,40,38,0,54,0,40,0,4,1,3,40,49,0,53,0,40,0,53,0,5,40,5,0,4,0,5,1,3,0,4,0,4,36,1,40,39,0,3,0,40,0,2,0,3,40,39,0,3,0,40,0,37,0,40,0,4,0,3,0,2.0
0,92,2,93,2,37,57,34,45,35,44,47,45,49,55,45,59,35,47,35,43,92,47,47,45,46,0,92,1,94,77,33,57,37,46,45,59,15,0,56,35,0,46,2,47,0,47,1,49,2,49,47,37,55,36,79,15,11,78,13,81,13,79,12,57,13,47,15,47,36,0,34,1,35,2,35,0,35,1,37,77,14,80,11,59,13,0,47,1,37,2,37,59,14,57,15,43,36,45,13,46,37,45,37,44,35,46,33,0,35,58,33,1,45,1,47,43,48,2,15,1,92,45,34,0,12,1,37,1,13,1,49,1,35,0,48,57,12,45,13,47,15,0,93,47,14,45,15,56,13,2,48,2,36,45,12,44,13,0,35,1,15,47,13,46,35,2,13,1,15,0,48,45,36,45,14,58,15,46,15,1,15,0,36,55,14,58,13,46,15,57,14,2,36,2,15,1,13,2,15,0,14,1,13,1,33,0,36,45,14,0,13,46,13,0,13,0,36,47,14,0,13,46,13,43,14,46,11,1,15,0,13,1.0
0,90,0,91,2,38,56,35,27,36,25,64,26,64,54,62,57,36,29,36,23,89,29,63,27,63,0,91,0,92,93,34,56,38,28,62,58,1,0,55,36,2,63,3,64,1,65,1,67,2,66,29,38,54,37,94,0,0,93,0,94,0,93,0,56,0,29,1,29,37,2,35,1,36,3,36,1,36,1,38,93,0,94,0,58,0,1,64,1,38,3,38,57,0,56,1,24,37,27,0,28,38,26,38,25,36,28,34,2,36,57,34,2,62,1,64,24,64,2,1,0,89,27,35,2,0,2,38,2,0,1,64,2,36,0,66,56,0,27,0,29,1,0,92,29,0,26,1,55,0,0,65,3,37,27,0,25,0,1,36,1,1,29,0,28,36,3,0,2,1,1,65,27,37,27,0,57,0,28,0,1,1,2,37,54,0,57,0,28,1,56,0,0,37,3,1,1,0,3,1,2,0,2,0,2,34,0,37,27,0,2,0,28,0,1,0,1,37,29,0,1,0,28,0,24,0,28,0,2,0,2,0,2.0
5,86,6,87,7,43,51,40,41,41,40,51,41,52,49,49,53,41,43,41,39,85,42,51,41,50,4,87,5,89,85,39,51,42,42,49,53,6,3,50,41,5,50,7,51,4,51,5,53,7,53,43,43,49,42,87,6,1,86,4,90,3,88,2,51,4,43,6,42,42,5,40,6,41,7,41,4,41,5,43,86,5,89,2,53,3,5,51,6,43,7,43,53,5,51,6,39,42,41,4,42,42,41,43,40,41,42,39,5,41,52,39,6,49,6,51,39,52,7,6,6,85,41,40,5,2,6,42,6,4,6,52,6,41,3,52,51,2,41,4,43,6,3,88,43,5,41,6,50,4,6,52,7,42,41,2,40,4,5,41,5,6,43,3,42,41,7,3,6,6,5,52,41,42,41,5,52,6,42,6,6,6,5,42,49,5,52,4,42,6,51,5,6,42,7,6,6,4,7,6,5,5,6,4,6,39,3,42,41,5,5,4,42,4,4,4,5,42,42,5,5,4,42,4,39,5,42,2,6,6,5,4,1.0
0,92,2,93,2,37,57,34,40,35,39,52,40,54,55,50,59,35,42,35,38,92,42,52,40,51,0,92,1,94,86,33,57,37,41,50,59,6,0,56,35,0,51,2,52,0,52,1,54,2,54,42,37,55,36,88,6,2,87,4,90,4,88,3,57,4,42,6,42,36,0,34,1,35,2,35,0,35,1,37,86,5,89,2,59,4,0,52,1,37,2,37,59,5,57,6,38,36,40,4,41,37,40,37,39,35,41,33,0,35,58,33,1,50,1,52,38,53,2,6,1,92,40,34,0,3,1,37,1,4,1,54,1,35,0,53,57,3,40,4,42,6,0,93,42,5,40,6,56,4,2,53,2,36,40,3,39,4,0,35,1,6,42,4,41,35,2,4,1,6,0,53,40,36,40,5,58,6,41,6,1,6,0,36,55,5,58,4,41,6,57,5,2,36,2,6,1,4,2,6,0,5,1,4,1,33,0,36,40,5,0,4,41,4,0,4,0,36,42,5,0,4,41,4,38,5,41,2,1,6,0,4,1.0
0,92,2,93,2,29,65,26,44,27,43,48,44,50,63,46,67,27,46,27,42,92,46,48,44,47,0,92,1,94,78,25,65,29,45,46,67,14,0,64,27,0,47,2,48,0,48,1,50,2,50,46,29,63,28,80,14,10,79,12,82,12,80,11,65,12,46,14,46,28,0,26,1,27,2,27,0,27,1,29,78,13,81,10,67,12,0,48,1,29,2,29,67,13,65,14,42,28,44,12,45,29,44,29,43,27,45,25,0,27,66,25,1,46,1,48,42,49,2,14,1,92,44,26,0,11,1,29,1,12,1,50,1,27,0,49,65,11,44,12,46,14,0,93,46,13,44,14,64,12,2,49,2,28,44,11,43,12,0,27,1,14,46,12,45,27,2,12,1,14,0,49,44,28,44,13,66,14,45,14,1,14,0,28,63,13,66,12,45,14,65,13,2,28,2,14,1,12,2,14,0,13,1,12,1,25,0,28,44,13,0,12,45,12,0,12,0,28,46,13,0,12,45,12,42,13,45,10,1,14,0,12,1.0
0,92,2,93,2,33,61,30,44,31,43,48,44,50,59,46,63,31,46,31,42,92,46,48,44,47,0,92,1,94,76,29,61,33,45,46,63,16,0,60,31,0,47,2,48,0,48,1,50,2,50,46,33,59,32,78,16,12,77,14,80,14,78,13,61,14,46,16,46,32,0,30,1,31,2,31,0,31,1,33,76,15,79,12,63,14,0,48,1,33,2,33,63,15,61,16,42,32,44,14,45,33,44,33,43,31,45,29,0,31,62,29,1,46,1,48,42,49,2,16,1,92,44,30,0,13,1,33,1,14,1,50,1,31,0,49,61,13,44,14,46,16,0,93,46,15,44,16,60,14,2,49,2,32,44,13,43,14,0,31,1,16,46,14,45,31,2,14,1,16,0,49,44,32,44,15,62,16,45,16,1,16,0,32,59,15,62,14,45,16,61,15,2,32,2,16,1,14,2,16,0,15,1,14,1,29,0,32,44,15,0,14,45,14,0,14,0,32,46,15,0,14,45,14,42,15,45,12,1,16,0,14,1.0
3,88,3,89,4,42,52,39,37,40,36,55,36,55,50,53,54,39,39,40,35,87,36,54,37,54,2,89,2,91,85,38,52,39,37,53,54,7,1,51,40,3,54,4,55,2,55,3,57,4,56,38,40,50,40,87,7,3,86,5,89,5,87,4,52,5,38,7,36,41,3,39,3,40,5,40,2,40,3,42,85,6,88,3,54,5,3,55,4,41,5,41,54,6,52,7,35,41,37,5,38,39,37,41,36,40,38,38,3,40,53,38,4,53,3,55,35,55,4,7,3,87,37,39,3,4,4,39,4,5,4,55,4,40,1,56,52,4,37,5,39,7,1,90,39,6,37,7,51,5,3,56,4,41,37,4,36,5,3,40,3,7,39,5,37,40,5,5,4,7,3,55,37,40,37,6,53,7,38,7,4,7,3,40,50,6,53,5,38,7,52,6,3,41,5,7,3,5,5,7,3,6,4,5,4,38,1,41,37,6,3,5,38,5,2,5,3,41,36,6,3,5,37,5,35,6,38,3,4,7,3,5,1.0
0,92,2,93,2,23,71,21,40,22,38,52,39,54,69,48,71,21,41,21,36,92,41,51,40,50,0,92,1,94,79,20,70,22,41,48,72,12,0,70,22,0,50,2,51,0,52,1,54,2,54,41,23,69,22,81,12,10,80,12,82,11,81,11,71,12,42,13,41,22,0,21,1,22,2,21,0,22,1,23,79,12,82,10,72,11,0,52,1,23,2,23,71,12,71,12,36,22,40,12,41,22,39,23,38,22,41,20,0,22,71,20,1,48,1,52,36,53,2,13,1,92,40,21,0,11,1,22,1,12,1,54,1,22,0,53,71,11,40,12,42,12,0,93,41,12,39,13,70,12,2,53,2,22,40,11,38,12,0,22,1,13,42,11,41,22,2,11,1,12,0,53,40,22,40,12,72,12,41,12,1,13,0,22,69,12,71,12,41,12,71,12,2,22,2,12,1,12,2,13,0,12,1,12,1,20,0,22,40,12,0,12,41,12,0,12,0,22,41,12,0,12,41,12,36,12,41,10,1,12,0,12,1.0
0,92,2,93,2,29,65,26,41,27,40,51,41,53,63,49,65,27,43,27,39,92,43,51,41,50,0,92,1,94,76,25,64,29,42,49,66,15,0,64,27,0,50,2,51,0,51,1,53,2,53,43,29,63,28,78,14,12,77,14,80,13,78,13,65,14,43,16,43,28,0,26,1,27,2,27,0,27,1,29,76,14,79,12,67,14,0,51,1,29,2,29,65,15,65,16,39,28,41,14,42,29,41,29,40,27,42,25,0,27,65,25,1,49,1,51,39,52,2,16,1,92,41,26,0,13,1,29,1,14,1,53,1,27,0,52,65,13,41,14,43,15,0,93,43,15,41,16,64,14,2,52,2,28,41,13,40,14,0,27,1,16,43,14,42,27,2,14,1,16,0,52,41,28,41,15,66,14,42,14,1,16,0,28,63,15,65,14,42,16,65,14,2,28,2,15,1,14,2,16,0,14,1,14,1,25,0,28,41,14,0,14,42,14,0,14,0,28,43,15,0,14,42,14,39,15,42,12,1,14,0,14,1.0
7,84,9,85,9,44,50,41,35,42,34,57,35,59,48,55,51,42,37,42,33,83,37,57,35,56,6,85,7,87,92,40,50,44,36,55,52,2,5,49,42,7,56,9,57,6,57,7,59,9,59,37,44,48,43,93,1,0,92,0,94,1,92,0,50,0,37,2,37,43,7,41,8,42,9,42,6,42,7,44,92,1,93,0,52,1,7,57,8,44,9,44,51,1,50,2,33,43,35,0,36,44,35,44,34,42,36,40,7,42,51,40,8,55,8,57,33,58,9,2,8,83,35,41,7,0,8,44,8,0,8,59,8,42,5,58,50,0,35,0,37,2,5,86,37,1,35,2,49,0,9,58,9,43,35,0,34,0,7,42,7,2,37,1,36,42,9,1,8,2,7,58,35,43,35,1,51,1,36,1,8,2,7,43,48,1,51,0,36,2,50,1,9,43,9,2,8,0,9,2,7,1,8,0,8,40,5,43,35,1,7,0,36,0,6,0,7,43,37,1,7,0,36,0,33,1,36,0,8,1,7,0,2.0
17,75,17,76,18,45,47,39,26,43,25,64,27,65,42,60,49,40,29,40,25,74,28,63,25,62,16,76,16,77,90,36,45,43,28,61,50,1,15,44,41,17,62,18,63,16,64,16,66,18,66,29,45,42,43,92,1,0,91,0,93,0,92,0,48,0,30,2,28,43,17,40,17,44,18,40,16,44,16,45,91,0,93,0,50,0,17,64,17,45,18,45,49,0,46,1,25,44,28,0,28,43,27,45,26,44,29,37,17,43,48,37,17,61,17,64,25,65,18,2,17,74,27,40,17,0,17,43,17,0,17,65,17,41,15,65,49,0,27,1,30,1,15,77,29,0,27,2,45,0,17,65,18,43,28,0,26,1,17,44,16,2,30,0,29,41,18,0,17,1,17,65,25,44,25,1,49,1,29,1,17,2,17,44,42,1,49,0,28,1,48,1,17,44,18,1,17,1,18,2,17,1,17,0,17,37,15,44,27,1,17,0,29,0,16,1,17,44,28,1,17,1,29,0,25,1,29,0,17,1,17,1,2.0
0,92,2,93,2,31,63,28,41,29,40,51,40,53,61,49,61,28,41,29,39,92,41,51,41,50,0,92,1,94,80,27,61,29,41,49,63,7,0,62,29,0,50,2,51,0,51,1,53,2,53,41,30,61,29,83,6,4,82,8,86,5,84,6,63,8,42,9,41,30,0,28,1,29,2,29,0,29,1,31,80,7,85,4,65,6,0,51,1,31,2,30,61,8,63,8,39,30,41,8,41,29,40,31,40,29,41,27,0,29,62,27,1,49,1,51,39,52,2,10,1,92,41,28,0,6,1,29,1,8,1,53,1,29,0,52,63,6,41,8,42,8,0,93,41,9,41,10,62,8,2,52,2,30,41,6,40,8,0,29,1,10,43,7,41,29,2,7,1,8,0,52,41,29,41,8,64,6,42,6,1,10,0,29,61,8,62,8,42,8,63,7,2,30,2,8,1,8,2,9,0,7,1,8,1,27,0,30,41,7,0,8,41,8,0,8,0,30,41,9,0,8,41,8,39,9,42,4,1,6,0,8,1.0
2,88,2,89,2,39,55,34,42,36,40,48,40,48,49,44,55,35,43,35,38,86,41,46,42,46,1,90,1,91,93,32,52,36,42,44,56,0,0,52,36,2,47,2,48,1,50,1,51,2,50,43,37,49,37,94,0,0,93,0,94,0,93,0,55,0,44,1,41,37,3,35,2,37,4,35,1,38,1,39,93,0,94,0,56,0,2,49,2,37,4,39,55,0,53,0,38,37,43,0,42,36,40,37,40,36,43,32,2,37,55,32,2,45,2,49,38,48,2,1,2,87,43,34,3,0,2,36,3,0,2,49,3,37,0,51,55,0,42,0,44,0,0,91,43,0,40,1,52,0,2,50,2,37,43,0,40,0,2,37,1,1,44,0,43,36,4,0,2,0,2,49,42,37,42,0,56,0,43,0,2,1,2,38,49,0,55,0,42,0,55,0,2,37,4,0,2,0,4,1,3,0,3,0,3,32,0,38,43,0,3,0,43,0,1,0,2,38,41,0,2,0,43,0,38,0,43,0,3,0,2,0,2.0
0,90,2,91,2,33,57,28,39,29,38,49,39,52,57,47,61,29,41,30,37,89,40,50,39,48,0,91,1,93,74,27,59,30,40,47,62,14,0,57,29,0,49,2,50,0,51,1,53,2,53,41,32,57,30,77,14,10,76,10,80,12,78,10,59,11,42,15,40,31,0,29,1,30,2,30,0,31,1,33,74,12,79,10,63,12,0,50,1,32,2,32,61,12,60,14,37,31,40,11,40,30,39,32,38,29,40,27,0,30,59,27,1,47,1,50,37,51,3,16,1,90,39,28,1,12,1,30,2,10,1,52,1,29,0,52,61,11,40,12,42,15,0,92,41,13,40,15,59,12,2,51,2,31,41,11,39,12,0,30,1,16,43,13,40,29,3,13,1,14,0,52,39,30,39,13,60,14,41,14,1,15,0,31,57,13,61,10,41,14,57,13,2,31,3,15,2,13,3,15,0,14,2,12,1,27,0,32,39,13,0,12,41,10,0,14,0,32,40,14,0,13,41,12,37,14,42,10,1,14,0,13,1.0
0,93,1,94,1,33,61,28,38,31,37,54,37,56,56,52,61,28,39,29,36,93,38,54,38,53,0,93,0,94,84,25,59,31,38,52,63,7,0,58,31,0,53,1,54,0,54,0,56,1,56,39,32,56,31,86,6,4,85,6,88,6,86,5,61,6,39,8,38,32,0,28,0,31,1,29,0,31,0,33,84,7,87,4,63,6,0,54,0,33,1,32,61,7,59,7,36,32,38,6,39,31,38,33,37,31,39,26,0,31,62,26,0,52,0,54,36,55,1,8,0,93,38,28,0,5,0,31,0,6,0,56,0,31,0,55,61,5,38,6,40,8,0,94,39,7,38,8,58,6,1,55,1,32,38,5,37,6,0,31,0,8,40,6,38,31,1,6,0,7,0,55,38,31,38,7,62,6,39,6,0,8,0,31,56,7,62,6,39,7,61,7,1,32,1,8,0,6,1,8,0,7,0,6,0,26,0,32,38,7,0,6,39,6,0,6,0,32,38,7,0,6,38,6,36,7,39,4,0,6,0,6,1.0
17,75,17,76,18,40,54,37,33,38,31,59,32,60,52,55,56,38,35,38,29,74,35,58,33,57,16,76,16,77,89,36,54,40,34,55,56,3,15,53,38,17,57,18,58,16,59,16,61,18,61,35,40,52,39,91,3,0,90,1,93,1,91,0,54,1,35,3,35,39,17,37,17,38,18,38,16,38,16,40,90,2,92,0,56,1,17,59,17,40,18,40,56,2,54,3,29,39,33,1,34,40,32,40,31,38,34,36,17,38,55,36,17,55,17,59,29,60,18,3,17,74,33,37,17,0,17,40,17,1,17,60,17,38,15,60,54,0,33,1,35,3,15,77,35,2,32,3,53,1,17,60,18,39,33,0,31,1,17,38,16,3,35,1,34,38,18,1,17,3,17,60,33,39,33,2,55,3,34,3,17,3,17,39,52,2,55,1,34,3,54,2,17,39,18,3,17,1,18,3,17,2,17,1,17,36,15,39,33,2,17,1,34,1,16,1,17,39,35,2,17,1,34,1,29,2,34,0,17,3,17,1,2.0
0,92,2,93,2,37,57,34,40,35,39,52,40,54,55,50,59,35,42,35,38,92,41,52,40,51,0,92,1,94,81,33,57,36,41,50,59,11,0,56,35,0,51,2,52,0,52,1,54,2,54,42,37,55,36,83,11,7,82,9,85,9,83,8,57,9,42,11,41,36,0,34,1,35,2,35,0,35,1,37,81,10,84,7,59,9,0,52,1,37,2,37,59,10,57,11,38,36,40,9,41,36,40,37,39,35,41,33,0,35,58,33,1,50,1,52,38,53,2,11,1,92,40,34,0,8,1,36,1,9,1,54,1,35,0,53,57,8,40,9,42,11,0,93,42,10,40,11,56,9,2,53,2,36,40,8,39,9,0,35,1,11,42,9,41,35,2,9,1,11,0,53,40,36,40,10,58,11,41,11,1,11,0,36,55,10,58,9,41,11,57,10,2,36,2,11,1,9,2,11,0,10,1,9,1,33,0,36,40,10,0,9,41,9,0,9,0,36,41,10,0,9,41,9,38,10,41,7,1,11,0,9,1.0
14,77,16,78,16,42,52,39,25,40,24,67,25,69,50,65,53,40,27,40,23,76,27,67,25,66,13,78,14,80,93,38,52,42,26,65,54,1,12,51,40,14,66,16,67,13,67,14,69,16,69,27,42,50,41,94,0,0,93,0,94,0,93,0,52,0,27,1,27,41,14,39,15,40,16,40,13,40,14,42,93,0,94,0,54,0,14,67,15,42,16,42,53,0,52,1,23,41,25,0,26,42,25,42,24,40,26,38,14,40,53,38,15,65,15,67,23,68,16,1,15,76,25,39,14,0,15,42,15,0,15,69,15,40,12,68,52,0,25,0,27,1,12,79,27,0,25,1,51,0,16,68,16,41,25,0,24,0,14,40,14,1,27,0,26,40,16,0,15,1,14,68,25,41,25,0,53,0,26,0,15,1,14,41,50,0,53,0,26,1,52,0,16,41,16,1,15,0,16,1,14,0,15,0,15,38,12,41,25,0,14,0,26,0,13,0,14,41,27,0,14,0,26,0,23,0,26,0,15,0,14,0,2.0
0,93,0,94,1,40,53,37,42,38,40,50,41,51,52,46,55,38,44,38,38,93,43,49,41,48,0,93,0,94,83,36,54,39,43,46,56,9,0,53,37,0,48,1,49,0,50,0,52,1,52,44,40,52,39,85,8,6,84,7,86,7,85,7,54,8,44,9,43,39,0,37,0,38,1,38,0,38,0,40,83,8,86,6,56,7,0,50,0,40,1,40,55,8,54,9,38,39,42,8,43,39,41,40,40,38,43,36,0,38,55,36,0,46,0,50,38,51,1,9,0,93,42,37,0,7,0,39,0,7,0,51,0,37,0,51,54,7,42,8,44,9,0,94,44,8,41,9,53,8,0,51,1,39,42,7,40,8,0,38,0,9,44,7,43,37,1,7,0,9,0,51,41,39,41,8,55,8,43,8,0,9,0,39,52,8,55,7,43,9,53,8,0,39,1,9,0,8,1,9,0,8,0,8,0,36,0,39,42,8,0,8,43,7,0,8,0,39,43,8,0,8,43,8,38,8,43,6,0,8,0,8,2.0
