@relation 'Sax dominant'

@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atLccc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute destClass {2,3,7,6,4,5,1}

@data
41,51,37,40,51,73,19,18,73,20,72,50,39,53,39,53,74,19,74,19,41,20,38,53,72,20,41,50,74,18,6
37,53,33,39,54,75,18,16,75,18,74,51,35,55,36,57,76,17,76,17,39,18,33,56,74,18,38,51,76,16,2
33,58,29,34,59,62,30,26,62,30,60,56,31,60,31,61,64,28,64,28,34,30,29,61,60,30,33,56,64,26,7
42,50,38,41,50,72,20,19,72,21,71,48,40,52,40,52,73,20,73,20,42,21,38,52,71,21,42,48,73,19,4
47,46,45,46,46,67,26,23,66,25,65,45,46,47,46,47,69,25,67,24,47,27,45,47,65,26,47,45,68,23,2
28,64,24,28,64,64,28,24,64,28,62,62,26,66,26,66,66,26,66,26,28,28,24,66,62,28,28,62,66,24,5
46,45,40,46,45,75,18,16,75,18,74,42,43,48,43,48,76,17,76,17,46,18,40,48,74,18,46,42,76,16,2
33,59,29,33,59,73,20,18,73,20,72,57,31,61,31,61,74,19,74,19,33,20,29,61,72,20,33,57,74,18,2
42,49,38,43,49,70,23,21,70,23,69,47,40,51,41,52,71,22,71,22,43,23,38,51,69,23,43,47,71,21,4
41,50,39,42,51,54,38,33,53,37,51,49,40,51,41,53,57,36,55,35,43,39,39,52,51,38,42,49,56,33,1
39,53,35,39,53,67,26,24,67,26,66,51,37,55,37,55,68,25,68,25,39,26,35,55,66,26,39,51,68,24,4
27,65,23,26,65,70,22,21,70,23,69,63,25,67,25,67,71,22,71,22,27,23,23,67,69,23,27,63,71,21,4
40,51,34,39,51,69,23,22,69,24,68,48,37,54,37,54,70,23,70,23,40,24,34,54,68,24,40,48,70,22,7
36,56,32,35,56,71,21,20,71,22,70,54,34,58,34,58,72,21,72,21,36,22,32,58,70,22,36,54,72,20,4
32,59,28,32,60,66,26,25,66,27,65,57,30,61,30,62,67,26,67,26,33,27,28,62,65,27,32,57,67,25,7
35,56,31,36,57,78,17,15,77,15,77,54,33,58,33,59,79,16,77,15,36,17,31,59,77,16,35,54,78,15,3
45,47,39,43,46,68,24,23,68,25,67,44,42,50,42,49,69,24,69,24,44,25,39,49,67,25,45,44,69,23,7
38,53,32,38,53,71,22,20,71,22,70,50,35,56,35,56,72,21,72,21,38,22,32,56,70,22,38,50,72,20,6
40,52,36,39,52,69,23,22,69,24,68,50,38,54,38,54,70,23,70,23,40,24,36,54,68,24,40,50,70,22,6
40,51,38,42,52,65,29,25,64,27,63,50,39,52,40,54,67,27,65,26,42,29,38,53,63,28,41,50,66,25,2
25,67,21,25,67,65,27,24,65,27,63,65,23,69,23,69,67,25,67,25,25,27,21,69,64,27,25,65,67,24,1
29,63,25,29,63,68,25,23,68,25,67,61,27,65,27,65,69,24,69,24,29,25,25,65,67,25,29,61,69,23,6
43,48,39,44,49,73,20,18,73,20,72,47,41,50,41,51,74,19,74,19,44,20,40,51,72,20,43,47,74,18,5
34,58,30,33,58,70,22,21,70,23,69,56,32,60,32,60,71,22,71,22,34,23,30,60,69,23,34,56,71,21,6
40,49,35,41,50,73,20,18,72,20,71,46,37,52,38,54,74,19,73,19,42,21,35,53,71,20,41,47,74,18,2
36,55,30,36,55,74,19,17,74,19,73,52,33,58,33,58,75,18,75,18,36,19,30,58,73,19,36,52,75,17,3
40,51,34,40,51,73,20,18,73,20,72,48,37,54,37,54,74,19,74,19,40,20,34,54,72,20,40,48,74,18,4
41,49,37,43,50,70,23,21,70,23,69,47,39,51,40,53,71,22,71,22,43,23,37,52,69,23,42,47,71,21,5
45,46,41,46,46,68,25,23,68,25,67,44,43,48,44,49,69,24,69,24,46,25,41,48,67,25,46,44,69,23,4
32,59,27,31,59,66,26,25,66,27,65,56,29,62,29,62,67,26,67,26,32,27,27,62,65,27,32,57,67,25,3
34,58,30,33,58,71,22,19,70,21,69,56,32,60,32,60,73,21,71,20,34,23,30,60,69,22,34,56,72,19,5
49,44,47,49,44,65,27,23,65,27,63,43,48,45,48,45,67,25,67,25,49,27,47,45,63,27,49,43,67,23,1
30,60,26,31,61,68,24,23,68,25,67,58,28,62,29,64,69,24,69,24,32,25,26,63,67,25,31,58,69,23,7
29,61,25,31,62,67,26,24,67,26,66,59,27,63,28,65,68,25,68,25,31,26,25,64,66,26,30,59,68,24,5
41,51,37,40,51,68,24,23,68,25,67,49,39,53,39,53,69,24,69,24,41,25,37,53,67,25,41,49,69,23,4
40,52,36,40,52,70,23,21,70,23,69,50,38,54,38,54,71,22,71,22,40,23,36,54,69,23,40,50,71,21,3
33,58,31,35,59,69,24,22,69,24,68,57,32,59,33,61,70,23,70,23,35,24,31,60,68,24,34,57,70,22,6
43,50,41,43,50,74,19,17,74,19,73,49,42,51,42,51,75,18,75,18,43,19,41,51,73,19,43,49,75,17,5
40,51,38,42,52,67,28,26,66,26,66,50,39,52,40,54,68,27,66,26,42,28,38,53,66,27,41,50,67,26,3
41,50,36,40,50,66,26,25,66,27,65,47,38,53,38,53,67,26,67,26,41,27,36,53,65,27,41,48,67,25,1
44,46,38,44,46,69,23,22,69,24,68,43,41,49,42,50,70,23,70,23,45,24,38,49,68,24,45,43,70,22,5
45,46,41,46,46,68,25,23,68,25,67,44,43,48,44,49,69,24,69,24,46,25,41,48,67,25,46,44,69,23,2
47,44,43,47,44,72,20,19,72,21,71,42,45,46,46,47,73,20,73,20,48,21,43,46,71,21,48,42,73,19,3
34,58,30,33,58,68,25,23,67,25,66,56,32,60,32,60,69,24,68,24,34,26,30,60,66,25,34,56,69,23,4
39,53,35,38,53,66,27,25,65,27,64,51,37,55,37,55,67,26,66,26,39,28,35,55,64,27,39,51,67,25,4
39,53,35,38,53,69,22,19,69,23,67,51,37,55,37,55,71,21,71,21,39,23,35,55,67,23,39,51,71,19,6
41,49,37,42,50,73,19,18,73,20,72,47,39,51,40,53,74,19,74,19,43,20,37,52,72,20,42,47,74,18,7
29,63,25,28,63,66,26,25,66,27,65,61,27,65,27,65,67,26,67,26,29,27,25,65,65,27,29,61,67,25,3
37,54,35,39,55,66,28,24,65,26,64,53,36,55,37,57,68,26,66,25,39,28,35,56,64,27,38,53,67,24,2
24,68,20,23,68,64,28,27,64,29,63,66,22,70,22,70,65,28,65,28,24,29,20,70,63,29,24,66,65,27,5
33,59,29,33,59,73,20,18,73,20,72,57,31,61,31,61,74,19,74,19,33,20,29,61,72,20,33,57,74,18,3
24,68,20,23,68,72,22,21,71,21,71,66,22,70,22,70,73,22,71,21,24,23,20,70,71,22,24,66,72,21,3
44,48,40,44,48,65,29,25,64,27,63,46,42,50,42,50,67,27,65,26,44,29,40,50,63,28,44,46,66,25,4
37,55,33,37,55,68,27,25,67,25,67,53,35,57,35,57,69,26,67,25,37,27,33,57,67,26,37,53,68,25,5
41,50,39,42,51,73,19,18,73,20,72,49,40,51,41,53,74,19,74,19,43,20,39,52,72,20,42,49,74,18,5
45,44,39,47,45,72,21,19,72,21,71,41,42,47,43,49,73,20,73,20,47,21,39,48,71,21,46,41,73,19,7
39,53,35,38,53,65,26,24,65,27,63,51,37,55,37,55,67,25,67,25,39,27,35,55,64,27,39,51,67,24,1
37,55,33,37,55,65,28,26,65,28,64,53,35,57,35,57,66,27,66,27,37,28,33,57,64,28,37,53,66,26,5
37,55,32,35,54,69,23,22,69,24,68,52,34,58,34,57,70,23,70,23,36,24,32,57,68,24,37,53,70,22,7
37,55,33,37,55,79,16,14,78,14,78,53,35,57,35,57,80,15,78,14,37,16,33,57,78,15,37,53,79,14,2
39,52,35,39,52,70,22,21,70,23,69,50,37,54,38,55,71,22,71,22,40,23,35,54,69,23,40,50,71,21,7
36,55,29,35,54,74,19,17,74,19,73,51,32,59,32,58,75,18,75,18,35,19,29,58,73,19,36,52,75,17,3
34,58,30,34,58,70,23,21,70,23,69,56,32,60,32,60,71,22,71,22,34,23,30,60,69,23,34,56,71,21,6
41,50,37,41,50,68,24,23,68,25,67,48,39,52,40,53,69,24,69,24,42,25,37,52,67,25,42,48,69,23,6
46,47,44,45,47,68,24,23,68,25,67,46,45,48,45,48,69,24,69,24,46,25,44,48,67,25,46,46,69,23,6
43,48,37,43,48,62,32,28,61,30,60,45,40,51,40,51,64,30,62,29,43,32,37,51,60,31,43,45,63,28,1
47,46,45,46,46,67,24,20,67,24,65,45,46,47,46,47,70,23,69,22,47,25,45,47,65,25,47,45,69,20,6
34,58,30,33,58,69,23,22,69,24,68,56,32,60,32,60,70,23,70,23,34,24,30,60,68,24,34,56,70,22,6
42,49,37,42,49,72,21,19,72,21,71,46,39,52,39,52,73,20,73,20,42,21,37,52,71,21,42,47,73,19,4
46,47,44,45,47,66,27,24,65,26,64,46,45,48,45,48,68,26,66,25,46,28,44,48,64,27,46,46,67,24,1
39,53,35,38,53,68,25,22,67,24,66,51,37,55,37,55,70,24,68,23,39,26,35,55,66,25,39,51,69,22,4
34,58,30,33,58,63,28,25,63,29,61,56,32,60,32,60,65,27,65,27,34,29,30,60,61,29,34,56,65,25,2
37,53,31,37,53,70,22,21,70,23,69,50,34,56,35,57,71,22,71,22,38,23,31,56,69,23,38,50,71,21,6
29,63,25,28,63,68,24,23,68,25,67,61,27,65,27,65,69,24,69,24,29,25,25,65,67,25,29,61,69,23,5
34,58,30,34,58,73,20,18,73,20,72,56,32,60,32,60,74,19,74,19,34,20,30,60,72,20,34,56,74,18,4
45,48,43,45,48,76,18,15,75,17,74,47,44,49,44,49,77,16,76,16,45,18,43,49,74,17,45,47,77,15,4
35,56,29,35,56,73,20,18,73,20,72,53,32,59,32,59,74,19,74,19,35,20,29,59,72,20,35,53,74,18,4
43,49,39,42,49,68,24,23,68,25,67,47,41,51,41,51,69,24,69,24,43,25,39,51,67,25,43,47,69,23,6
37,55,33,36,55,70,22,21,70,23,69,53,35,57,35,57,71,22,71,22,37,23,33,57,69,23,37,53,71,21,7
39,53,35,39,53,67,26,24,67,26,66,51,37,55,37,55,68,25,68,25,39,26,35,55,66,26,39,51,68,24,5
30,62,26,29,62,65,26,23,65,27,63,60,28,64,28,64,67,25,67,25,30,27,26,64,63,27,30,60,67,23,2
20,72,16,19,72,65,28,25,64,27,63,70,18,74,18,74,67,27,65,26,20,29,16,74,63,28,20,70,66,25,3
43,49,37,42,48,68,25,23,68,25,67,46,40,52,40,51,69,24,69,24,42,25,37,51,67,25,43,46,69,23,7
45,48,43,44,48,68,23,20,68,24,66,47,44,49,44,49,70,22,70,22,45,24,43,49,66,24,45,47,70,20,4
32,59,28,33,60,68,25,23,68,25,67,57,30,61,30,62,69,24,69,24,33,25,28,62,67,25,32,57,69,23,3
46,47,44,45,47,70,22,18,69,22,67,46,45,48,45,48,72,20,71,20,46,23,44,48,67,22,46,46,72,18,2
32,59,30,34,60,78,17,15,77,15,77,58,31,60,32,62,79,16,77,15,34,17,30,61,77,16,33,58,78,15,2
40,52,36,40,52,77,16,14,77,16,76,50,38,54,38,54,78,15,78,15,40,16,36,54,76,16,40,50,78,14,2
37,54,35,38,55,66,27,24,65,26,64,53,36,55,37,57,68,26,66,25,39,28,35,56,64,27,38,53,67,24,6
39,53,35,39,53,69,24,22,69,24,68,51,37,55,37,55,70,23,70,23,39,24,35,55,68,24,39,51,70,22,3
34,57,28,34,57,73,20,18,73,20,72,54,31,60,31,60,74,19,74,19,34,20,28,60,72,20,34,54,74,18,2
49,44,47,48,44,67,26,23,66,25,65,43,48,45,48,45,69,25,67,24,49,27,47,45,65,26,49,43,68,23,3
47,46,45,46,46,66,27,24,65,26,64,45,46,47,46,47,68,26,66,25,47,28,45,47,64,27,47,45,67,24,2
33,58,31,35,59,73,20,18,73,20,72,57,32,59,33,61,74,19,74,19,35,20,31,60,72,20,34,57,74,18,3
34,59,32,34,59,64,28,24,64,28,62,58,33,60,33,60,66,26,66,26,34,28,32,60,62,28,34,58,66,24,1
46,45,44,48,46,75,20,18,74,18,74,44,45,46,46,48,76,19,74,18,48,20,44,47,74,19,47,44,75,18,2
48,42,42,49,42,68,25,23,68,25,67,40,45,45,46,46,69,24,69,24,49,25,43,45,67,25,49,40,69,23,4
41,51,37,40,51,73,19,18,73,20,72,49,39,53,39,53,74,19,74,19,41,20,37,53,72,20,41,49,74,18,3
24,69,22,23,69,65,26,24,65,27,63,68,23,70,23,70,67,25,67,25,24,27,22,70,64,27,24,68,67,24,1
38,53,36,40,54,75,18,16,75,18,74,52,37,54,38,56,76,17,76,17,40,18,36,55,74,18,39,52,76,16,3
42,50,36,41,49,68,25,23,68,25,67,47,39,53,39,52,69,24,69,24,41,25,36,52,67,25,42,47,69,23,5
43,48,39,44,48,67,26,24,67,26,66,46,41,50,42,51,68,25,68,25,44,26,39,50,66,26,44,46,68,24,1
24,69,22,24,69,60,31,25,60,31,57,68,23,70,23,70,63,28,63,28,24,31,22,70,57,31,24,68,63,25,1
39,51,35,40,52,67,25,24,67,26,66,49,37,53,38,55,68,25,68,25,41,26,35,54,66,26,40,49,68,24,7
37,54,35,39,55,80,15,13,79,13,79,53,36,55,37,57,81,14,79,13,39,15,35,56,79,14,38,53,80,13,1
33,59,29,33,59,61,33,29,60,31,59,57,31,61,31,61,63,31,61,30,33,33,29,61,59,32,33,57,62,29,2
40,52,36,39,52,65,27,26,65,28,64,50,38,54,38,54,66,27,66,27,40,28,36,54,64,28,40,50,66,26,4
45,48,43,44,48,65,26,23,65,27,63,47,44,49,44,49,67,25,67,25,45,27,43,49,63,27,45,47,67,23,1
47,46,45,46,46,70,22,21,70,23,69,45,46,47,46,47,71,22,71,22,47,23,45,47,69,23,47,45,71,21,6
39,52,35,39,52,72,20,19,72,21,71,50,37,54,38,55,73,20,73,20,40,21,35,54,71,21,40,50,73,19,5
42,49,38,43,49,68,25,23,68,25,67,47,40,51,41,52,69,24,69,24,43,25,38,51,67,25,43,47,69,23,4
31,61,27,31,61,67,26,24,67,26,66,59,29,63,29,63,68,25,68,25,31,26,27,63,66,26,31,59,68,24,3
45,45,39,46,45,73,20,18,73,20,72,42,42,48,43,49,74,19,74,19,46,20,39,48,72,20,46,42,74,18,7
38,54,34,37,54,71,21,20,71,22,70,52,36,56,36,56,72,21,72,21,38,22,34,56,70,22,38,52,72,20,6
36,56,32,35,56,66,26,25,66,27,65,54,34,58,34,58,67,26,67,26,36,27,32,58,65,27,36,54,67,25,4
41,51,37,41,51,71,24,22,70,22,70,49,39,53,39,53,72,23,70,22,41,24,37,53,70,23,41,49,71,22,5
47,46,45,47,46,72,22,19,71,21,70,45,46,47,46,47,73,20,72,20,47,22,45,47,70,21,47,45,73,19,4
39,52,34,39,52,72,21,19,72,21,71,49,36,55,36,55,73,20,73,20,39,21,34,55,71,21,39,50,73,19,4
29,63,25,28,63,65,27,26,65,28,64,61,27,65,27,65,66,27,66,27,29,28,25,65,64,28,29,61,66,26,3
40,52,36,40,52,66,27,25,66,27,65,50,38,54,38,54,67,26,67,26,40,27,36,54,65,27,40,50,67,25,2
37,55,33,36,55,71,20,17,71,21,69,53,35,57,35,57,73,19,73,19,37,21,33,57,69,21,37,53,73,17,6
25,67,21,25,67,64,28,24,64,28,62,65,23,69,23,69,66,26,66,26,25,28,21,69,62,28,25,65,66,24,6
36,56,32,36,56,66,28,25,65,27,64,54,34,58,34,58,67,26,66,26,36,28,32,58,64,27,36,54,67,25,5
34,58,30,33,58,73,19,18,73,20,72,56,32,60,32,60,74,19,74,19,34,20,30,60,72,20,34,56,74,18,5
27,65,23,27,65,68,24,21,68,24,66,63,25,67,25,67,70,22,70,22,27,24,23,67,67,24,27,63,70,21,6
35,57,31,34,57,69,23,22,69,24,68,55,33,59,33,59,70,23,70,23,35,24,31,59,68,24,35,55,70,22,6
42,50,38,41,50,69,23,22,69,24,68,48,40,52,40,52,70,23,70,23,42,24,38,52,68,24,42,48,70,22,4
40,50,36,42,51,69,24,22,69,24,68,48,38,52,39,54,70,23,70,23,42,24,36,53,68,24,41,48,70,22,5
43,47,39,45,48,68,25,23,68,25,67,45,41,49,42,51,69,24,69,24,45,25,39,50,67,25,44,45,69,23,4
36,56,32,36,56,69,24,22,69,24,68,54,34,58,34,58,70,23,70,23,36,24,32,58,68,24,36,54,70,22,7
49,43,47,50,44,76,18,15,75,17,74,43,48,44,48,45,77,16,76,16,50,18,48,45,74,17,49,43,77,15,3
33,58,27,32,58,74,18,17,74,19,73,55,30,61,30,61,75,18,75,18,33,19,27,61,73,19,33,55,75,17,2
38,54,34,37,54,68,23,20,68,24,66,52,36,56,36,56,70,22,70,22,38,24,34,56,66,24,38,52,70,20,6
46,47,44,46,47,66,28,24,65,26,64,46,45,48,45,48,68,26,66,25,46,28,44,48,64,27,46,46,67,24,1
47,46,45,46,46,68,25,22,67,24,66,45,46,47,46,47,70,24,68,23,47,26,45,47,66,25,47,45,69,22,2
34,57,28,34,57,73,20,18,73,20,72,54,31,60,31,60,74,19,74,19,34,20,28,60,72,20,34,54,74,18,2
46,45,40,46,45,73,20,18,73,20,72,42,43,48,43,48,74,19,74,19,46,20,40,48,72,20,46,42,74,18,5
44,48,40,44,48,72,23,21,71,21,71,46,42,50,42,50,73,22,71,21,44,23,40,50,71,22,44,46,72,21,5
56,35,52,57,35,69,24,22,69,24,68,33,54,37,55,38,70,23,70,23,57,24,52,37,68,24,57,33,70,22,7
35,57,31,34,57,69,23,22,69,24,68,55,33,59,33,59,70,23,70,23,35,24,31,59,68,24,35,55,70,22,6
48,45,46,47,45,73,20,17,72,19,71,44,47,46,47,46,75,19,73,18,48,21,46,46,71,20,48,44,74,17,6
29,63,25,28,63,67,25,24,67,26,66,61,27,65,27,65,68,25,68,25,29,26,25,65,66,26,29,61,68,24,4
33,59,29,32,59,71,21,20,71,22,70,57,31,61,31,61,72,21,72,21,33,22,29,61,70,22,33,57,72,20,5
43,49,39,43,49,68,25,23,68,25,67,47,41,51,41,51,69,24,69,24,43,25,39,51,67,25,43,47,69,23,2
45,46,43,47,47,70,25,23,69,23,69,45,44,47,45,49,71,24,69,23,47,25,43,48,69,24,46,45,70,23,5
44,47,40,45,47,67,26,24,67,26,66,45,42,49,43,50,68,25,68,25,45,26,40,49,66,26,45,45,68,24,4
37,55,33,36,55,69,22,19,69,22,67,53,35,57,35,57,72,21,71,20,37,23,33,57,68,23,37,53,71,19,5
42,50,38,42,50,71,24,22,70,22,70,48,40,52,40,52,72,23,70,22,42,24,38,52,70,23,42,48,71,22,4
41,50,37,41,50,66,26,25,66,27,65,48,39,52,40,53,67,26,67,26,42,27,37,52,65,27,42,48,67,25,7
42,50,38,42,50,66,28,25,65,27,64,48,40,52,40,52,67,26,66,26,42,28,38,52,64,27,42,48,67,25,2
37,55,33,36,55,70,21,18,70,22,68,53,35,57,35,57,72,20,72,20,37,22,33,57,68,22,37,53,72,18,6
35,57,31,34,57,70,23,21,69,23,68,55,33,59,33,59,71,22,70,22,35,24,31,59,68,23,35,55,71,21,6
45,48,43,45,48,75,19,16,74,18,73,47,44,49,44,49,76,17,75,17,45,19,43,49,73,18,45,47,76,16,4
45,48,43,44,48,71,22,19,70,21,69,47,44,49,44,49,73,21,71,20,45,23,43,49,69,22,45,47,72,19,4
30,60,26,32,61,76,17,15,76,17,75,58,28,62,29,64,77,16,77,16,32,17,26,63,75,17,31,58,77,15,2
31,61,27,30,61,74,18,17,74,19,73,59,29,63,29,63,75,18,75,18,31,19,27,63,73,19,31,59,75,17,5
43,48,37,43,48,69,24,22,69,24,68,45,40,51,40,51,70,23,70,23,43,24,37,51,68,24,43,45,70,22,6
34,58,30,33,58,72,20,19,72,21,71,56,32,60,32,60,73,20,73,20,34,21,30,60,71,21,34,56,73,19,5
37,54,35,38,55,69,21,16,69,22,67,53,36,55,37,57,72,19,72,19,39,22,35,56,67,22,38,53,72,17,5
32,60,28,32,60,78,17,15,77,15,77,58,30,62,30,62,79,16,77,15,32,17,28,62,77,16,32,58,78,15,6
43,49,37,41,48,75,17,16,75,18,74,46,40,52,40,51,76,17,76,17,42,18,37,51,74,18,43,46,76,16,4
45,45,39,45,46,68,24,23,68,25,67,42,42,48,42,49,69,24,69,24,46,25,39,49,67,25,45,42,69,23,7
45,48,43,44,48,69,23,22,69,24,68,47,44,49,44,49,70,23,70,23,45,24,43,49,68,24,45,47,70,22,6
33,59,29,32,59,72,20,19,72,21,71,57,31,61,31,61,73,20,73,20,33,21,29,61,71,21,33,57,73,19,4
42,50,38,42,50,68,25,23,68,25,67,48,40,52,40,52,69,24,69,24,42,25,38,52,67,25,42,48,69,23,3
40,50,36,42,51,74,19,17,74,19,73,48,38,52,39,54,75,18,75,18,42,19,36,53,73,19,41,48,75,17,3
39,52,33,39,52,75,18,16,75,18,74,49,36,55,36,55,76,17,76,17,39,18,33,55,74,18,39,49,76,16,2
41,50,39,42,51,67,25,24,67,26,66,49,40,51,41,53,68,25,68,25,43,26,39,52,66,26,42,49,68,24,5
33,58,29,34,58,63,29,25,63,29,61,56,31,60,32,61,65,27,65,27,34,29,29,60,61,29,34,56,65,25,1
31,61,27,30,61,61,32,29,60,31,59,59,29,63,29,63,63,31,61,30,31,33,27,63,59,32,31,59,62,29,3
32,60,28,32,60,68,25,23,68,25,67,58,30,62,30,62,69,24,69,24,32,25,28,62,67,25,32,58,69,23,4
30,62,26,29,62,56,35,32,56,36,54,60,28,64,28,64,58,34,58,34,30,36,26,64,54,36,30,60,58,32,7
38,54,34,37,54,71,21,20,71,22,70,52,36,56,36,56,72,21,72,21,38,22,34,56,70,22,38,52,72,20,6
35,57,31,35,57,57,36,30,56,34,54,55,33,59,33,59,60,33,58,32,35,36,31,59,54,35,35,55,59,30,2
43,50,41,42,50,68,23,20,68,24,66,49,42,51,42,51,70,22,70,22,43,24,41,51,66,24,43,49,70,20,5
30,62,26,29,62,72,20,19,72,21,71,60,28,64,28,64,73,20,73,20,30,21,26,64,71,21,30,60,73,19,5
