@relation 'Sax dominant'

@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMcdc numeric
@attribute o1atLcdc numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMadd numeric
@attribute o1atLadd numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMdcd numeric
@attribute o1atLdcd numeric
@attribute o1atLddd numeric
@attribute o1atMabb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMadc numeric
@attribute o1atLadc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMdbb numeric
@attribute o1atLdbb numeric
@attribute o1atMadb numeric
@attribute o1atLadb numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMacd numeric
@attribute o1atLacd numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o2atMeea numeric
@attribute o2atLeea numeric
@attribute o2atMaaa numeric
@attribute o2atMccc numeric
@attribute o2atLccc numeric
@attribute o2atMcee numeric
@attribute o2atLcee numeric
@attribute o2atMcdd numeric
@attribute o2atLcdd numeric
@attribute o2atMddc numeric
@attribute o2atLddc numeric
@attribute o2atMaab numeric
@attribute o2atLaab numeric
@attribute o2atMabc numeric
@attribute o2atLabc numeric
@attribute o2atMbcc numeric
@attribute o2atLbcc numeric
@attribute o2atMcce numeric
@attribute o2atLcce numeric
@attribute o2atMeaa numeric
@attribute o2atLeaa numeric
@attribute o2atMdde numeric
@attribute o2atLdde numeric
@attribute o2atLeee numeric
@attribute o2atMedd numeric
@attribute o2atLedd numeric
@attribute o2atMccd numeric
@attribute o2atLccd numeric
@attribute o2atMddd numeric
@attribute o2atLddd numeric
@attribute o2atMdee numeric
@attribute o2atLdee numeric
@attribute o2atMeed numeric
@attribute o2atLeed numeric
@attribute o2atMdcc numeric
@attribute o2atLdcc numeric
@attribute o2atMdea numeric
@attribute o2atLdea numeric
@attribute o2atMcde numeric
@attribute o2atLcde numeric
@attribute o2atMacc numeric
@attribute o2atLacc numeric
@attribute o2atMcda numeric
@attribute o2atLcda numeric
@attribute o2atMaac numeric
@attribute o2atLaac numeric
@attribute o2atMdaa numeric
@attribute o2atLdaa numeric
@attribute o2atMdda numeric
@attribute o2atLdda numeric
@attribute o2atMbcd numeric
@attribute o2atLbcd numeric
@attribute o2atMcaa numeric
@attribute o2atLcaa numeric
@attribute o2atMcdc numeric
@attribute o2atLcdc numeric
@attribute o2atMdca numeric
@attribute o2atLdca numeric
@attribute o2atMedc numeric
@attribute o2atLedc numeric
@attribute o2atMccb numeric
@attribute o2atLccb numeric
@attribute o2atMcba numeric
@attribute o2atLcba numeric
@attribute o2atMbaa numeric
@attribute o2atLbaa numeric
@attribute o2atMdcd numeric
@attribute o2atLdcd numeric
@attribute o2atMcea numeric
@attribute o2atLcea numeric
@attribute o2atMcdb numeric
@attribute o2atLcdb numeric
@attribute o2atMdba numeric
@attribute o2atLdba numeric
@attribute o2atMbbc numeric
@attribute o2atLbbc numeric
@attribute o2atMeca numeric
@attribute o2atLeca numeric
@attribute o2atMbbb numeric
@attribute o2atLbbb numeric
@attribute o2atMdec numeric
@attribute o2atLdec numeric
@attribute o2atMabb numeric
@attribute o2atLabb numeric
@attribute o2atMdeb numeric
@attribute o2atLdeb numeric
@attribute o2atMeba numeric
@attribute o2atLeba numeric
@attribute o2atMcca numeric
@attribute o2atLcca numeric
@attribute o2atMcec numeric
@attribute o2atLcec numeric
@attribute o2atMceb numeric
@attribute o2atLceb numeric
@attribute o2atMcbc numeric
@attribute o2atLcbc numeric
@attribute o2atMded numeric
@attribute o2atLded numeric
@attribute o2atMeda numeric
@attribute o2atLeda numeric
@attribute o2atMeeb numeric
@attribute o2atLeeb numeric
@attribute o2atMced numeric
@attribute o2atLced numeric
@attribute o2atMbcb numeric
@attribute o2atLbcb numeric
@attribute o2atMbde numeric
@attribute o2atLbde numeric
@attribute o2atMbbd numeric
@attribute o2atLbbd numeric
@attribute o2atMbce numeric
@attribute o2atLbce numeric
@attribute o2atMbdb numeric
@attribute o2atLbdb numeric
@attribute o2atMbdd numeric
@attribute o2atLbdd numeric
@attribute o2atMbdc numeric
@attribute o2atLbdc numeric
@attribute o2atMeec numeric
@attribute o2atLeec numeric
@attribute o3atMccc numeric
@attribute o3atLccc numeric
@attribute o3atMcce numeric
@attribute o3atLcce numeric
@attribute o3atMcbb numeric
@attribute o3atLcbb numeric
@attribute o3atMccb numeric
@attribute o3atLccb numeric
@attribute o3atMbbb numeric
@attribute o3atMbbe numeric
@attribute o3atLbbe numeric
@attribute o3atMcbc numeric
@attribute o3atLcbc numeric
@attribute o3atMbce numeric
@attribute o3atLbce numeric
@attribute o3atMcdd numeric
@attribute o3atLcdd numeric
@attribute o3atLdde numeric
@attribute o3atMccd numeric
@attribute o3atLccd numeric
@attribute o3atMddd numeric
@attribute o3atLddd numeric
@attribute o3atMdcc numeric
@attribute o3atLdcc numeric
@attribute o3atMbcb numeric
@attribute o3atLbcb numeric
@attribute o3atMbbc numeric
@attribute o3atLbbc numeric
@attribute o3atMbcc numeric
@attribute o3atLbcc numeric
@attribute o3atMcbe numeric
@attribute o3atLcbe numeric
@attribute o3atMddc numeric
@attribute o3atLddc numeric
@attribute o3atMcdc numeric
@attribute o3atLcdc numeric
@attribute o3atMedc numeric
@attribute o3atLedc numeric
@attribute o3atMdcd numeric
@attribute o3atLdcd numeric
@attribute o3atMdce numeric
@attribute o3atLdce numeric
@attribute o3atMcde numeric
@attribute o3atLcde numeric
@attribute o3atMedd numeric
@attribute o3atLedd numeric
@attribute o3atMecc numeric
@attribute o3atLecc numeric
@attribute o3atMded numeric
@attribute o3atLded numeric
@attribute destClass {1.0,2.0}

@data
0,30,28,29,29,0,28,0,29,1,1,0,30,0,29,0,29,0,0,0,0,29,0,29,0,29,1,1,0,29,0,29,0,29,0,1,0,1,0,29,0,30,0,0,0,30,4,5,2,15,23,19,5,17,10,16,9,3,26,4,25,5,24,17,7,3,7,21,6,4,21,5,16,12,19,8,23,5,23,5,16,9,3,6,18,6,4,24,2,12,3,25,3,11,3,10,5,12,2,25,15,11,3,10,18,6,3,23,2,24,2,26,17,8,2,7,3,11,3,10,4,24,3,7,3,24,16,6,3,25,4,6,3,7,2,24,15,7,3,7,4,23,20,6,4,7,5,5,18,7,3,24,5,6,4,12,5,7,3,11,5,10,5,11,18,5,29,23,30,1,4,25,5,24,3,4,1,5,23,5,1,29,0,0,29,1,29,0,29,0,3,25,4,25,5,24,5,1,29,0,29,0,29,0,29,0,30,0,30,0,29,0,29,0,29,0,2.0
1,30,30,29,30,0,30,0,30,0,1,0,30,0,30,0,30,0,0,0,0,29,0,29,1,29,1,0,0,29,0,29,0,29,0,0,0,0,0,29,0,30,1,0,0,30,4,7,2,14,23,18,8,18,12,16,10,3,26,4,25,5,24,16,9,3,7,22,9,7,21,7,16,14,21,10,23,8,21,7,15,10,4,8,18,9,4,24,2,13,3,25,3,12,4,11,5,14,2,25,14,12,3,11,16,7,3,23,2,24,2,26,17,10,2,8,3,12,3,11,4,24,3,7,3,24,16,8,3,25,5,8,3,7,2,24,14,8,3,8,4,23,21,8,4,7,5,7,18,8,3,24,5,9,4,14,5,9,3,12,5,12,5,12,16,7,28,20,29,0,8,22,9,21,7,8,1,8,20,8,0,28,0,0,28,0,29,0,29,1,7,21,7,21,7,20,9,0,29,0,28,0,29,0,29,0,30,0,29,0,29,0,29,0,29,0,1.0
1,30,30,29,30,0,30,0,30,0,1,0,30,0,30,0,30,0,0,0,0,29,0,29,1,29,1,0,0,29,0,29,0,29,0,0,0,0,0,29,0,30,1,0,0,30,4,6,2,13,23,17,6,15,11,15,11,2,26,3,24,5,23,15,8,3,8,20,7,5,20,7,14,13,18,10,22,6,22,6,14,12,3,7,16,7,4,24,3,13,3,25,3,13,3,11,5,13,3,25,13,12,3,12,16,7,3,24,3,25,3,26,15,10,3,8,3,13,3,13,4,23,4,7,3,24,16,7,2,25,4,7,4,8,3,24,14,7,4,8,4,23,19,7,4,7,5,6,16,7,3,24,5,7,4,13,5,8,3,13,5,11,5,12,17,6,29,30,30,1,0,30,0,30,0,0,1,0,30,0,1,29,0,0,29,1,29,0,29,0,0,30,0,30,0,30,0,1,29,0,29,0,29,0,29,0,30,0,30,0,29,0,29,0,29,0,2.0
1,30,30,29,30,0,30,0,30,0,1,0,30,0,30,0,30,0,0,0,0,29,0,29,1,29,1,0,0,29,0,29,0,29,0,0,0,0,0,29,0,30,1,0,0,30,4,6,2,15,23,19,6,17,9,16,9,3,26,4,25,5,24,17,8,3,8,20,7,5,20,6,16,11,18,8,22,6,22,6,16,10,3,7,18,7,4,24,3,11,3,25,3,11,3,9,5,11,3,25,15,11,3,11,18,7,4,23,3,24,2,26,17,8,3,8,4,11,3,11,4,24,4,8,3,24,17,7,3,25,4,7,3,8,3,24,16,8,4,8,5,23,19,7,4,7,5,6,18,7,3,24,5,7,4,11,5,8,3,11,5,9,5,11,19,6,29,30,30,1,0,30,0,30,0,0,1,0,30,0,1,29,0,0,29,1,29,0,29,0,0,30,0,30,0,30,0,1,29,0,29,0,29,0,29,0,30,0,30,0,29,0,29,0,29,0,2.0
1,30,30,29,30,0,30,0,30,0,1,0,30,0,30,0,30,0,0,0,0,29,0,29,1,29,1,0,0,29,0,29,0,29,0,0,0,0,0,29,0,30,1,0,0,30,3,6,1,14,23,18,6,17,12,14,10,2,27,3,25,5,24,16,8,2,7,21,7,5,20,6,16,14,19,10,23,6,22,6,14,10,2,8,18,8,3,24,2,13,2,25,2,12,2,11,5,14,2,25,14,12,2,11,15,6,3,24,2,25,2,27,16,10,2,8,3,13,2,12,4,24,3,6,3,25,15,7,2,26,4,8,3,7,2,24,14,7,3,8,4,23,20,7,3,6,5,6,17,7,3,25,5,8,4,14,5,8,3,13,5,12,5,12,16,6,29,24,30,0,1,28,3,26,0,1,1,2,25,2,0,29,0,0,29,0,29,0,29,0,0,27,0,27,1,25,3,0,29,0,29,0,29,0,29,0,30,0,30,0,29,0,29,0,29,0,1.0
1,30,27,29,28,1,28,1,28,1,1,0,29,0,29,0,29,0,0,0,0,29,0,29,1,29,1,1,0,29,0,29,0,29,0,1,0,1,0,29,0,30,1,1,0,30,4,4,2,10,22,14,4,14,14,14,14,3,26,4,24,6,23,12,5,3,5,24,5,3,24,5,12,16,23,13,25,4,25,4,12,15,4,5,14,5,4,23,3,16,3,24,3,16,4,14,6,16,3,24,11,15,4,15,14,5,4,23,3,24,3,26,14,13,3,5,5,16,4,16,5,23,4,5,4,24,14,5,3,25,6,5,4,5,3,23,11,5,5,5,5,22,23,5,4,5,6,4,14,5,4,24,6,5,5,16,6,5,4,16,6,14,6,15,14,4,26,27,28,0,0,29,1,28,0,0,1,1,28,1,1,28,0,0,27,1,29,0,27,1,0,29,0,29,0,28,1,0,28,0,27,1,28,0,28,0,29,0,29,0,29,0,27,0,29,0,2.0
1,30,26,29,26,2,27,2,27,2,1,1,28,1,28,1,28,0,0,0,0,29,0,29,1,29,1,2,0,29,0,29,0,29,0,2,0,2,0,29,0,30,1,2,0,30,4,5,2,12,23,16,5,15,12,14,11,3,26,4,25,5,24,14,7,3,7,21,6,4,21,6,14,14,19,10,23,5,23,5,13,12,3,7,16,7,4,24,2,14,3,25,2,14,2,12,5,14,2,25,12,13,2,13,15,6,3,23,2,24,2,26,15,10,2,7,3,13,2,13,4,24,3,6,3,24,15,6,3,25,4,6,3,6,2,24,12,6,3,6,4,23,20,6,3,6,5,5,15,6,3,24,5,7,4,14,5,7,3,13,5,12,5,13,16,5,29,15,30,0,10,19,12,17,8,10,1,11,15,11,0,29,0,0,29,0,29,0,29,0,8,18,9,18,10,16,12,0,29,0,29,0,29,0,29,0,30,0,30,0,29,0,29,0,29,0,2.0
1,30,30,29,30,0,30,0,30,0,1,0,30,0,30,0,30,0,0,0,0,29,0,29,1,29,1,0,0,29,0,29,0,29,0,0,0,0,0,29,0,30,1,0,0,30,3,6,1,11,24,15,6,13,13,14,12,2,27,3,26,4,25,13,8,2,8,20,7,5,20,7,12,15,18,11,22,6,22,6,13,13,2,7,14,7,3,25,1,15,2,26,2,15,2,13,4,15,1,26,11,14,2,14,15,7,2,24,1,25,1,27,14,11,1,8,2,14,2,14,3,25,2,8,2,25,14,7,2,26,3,7,2,8,1,25,11,8,2,8,3,24,19,7,3,8,4,6,14,8,2,25,4,7,3,15,4,8,2,14,4,13,4,14,15,6,29,30,30,1,0,30,0,30,0,0,1,0,30,0,1,29,0,0,29,1,29,0,29,0,0,30,0,30,0,30,0,1,29,0,29,0,29,0,29,0,30,0,30,0,29,0,29,0,29,0,1.0
1,27,30,25,30,0,30,0,30,0,1,0,30,0,30,0,30,0,0,0,1,27,0,29,3,26,1,0,1,27,2,26,2,25,1,0,0,0,0,27,0,28,1,0,0,28,4,5,2,7,23,12,5,12,15,12,15,3,26,4,25,5,24,9,6,3,6,23,6,4,23,6,9,18,22,14,24,5,24,5,9,17,4,6,12,6,4,24,3,18,3,25,3,18,4,15,5,18,2,25,9,17,3,17,12,6,3,23,2,24,2,26,12,15,3,6,4,17,3,17,4,24,3,6,3,24,12,6,3,25,5,6,3,6,2,24,9,6,4,6,4,23,22,6,4,6,5,5,12,6,3,24,5,6,4,18,5,6,3,17,5,15,5,17,12,5,29,30,30,1,0,30,0,30,0,0,1,0,30,0,1,29,0,0,29,1,29,0,29,0,0,30,0,30,0,30,0,1,29,0,29,0,29,0,29,0,30,0,30,0,29,0,29,0,29,0,1.0
1,30,23,29,24,3,25,3,25,3,1,1,27,1,27,1,27,0,0,0,0,29,0,29,1,29,1,3,0,29,0,29,0,29,0,3,0,3,0,29,0,30,1,3,0,30,4,5,2,9,23,13,5,13,15,12,14,3,26,4,25,5,24,11,6,3,6,23,6,4,23,5,11,17,22,13,24,5,24,5,11,15,4,6,13,6,4,24,2,17,3,25,3,17,4,15,5,17,2,25,9,16,3,16,13,6,3,23,2,24,2,26,13,13,2,6,3,16,3,16,4,24,3,6,3,24,12,6,3,25,5,6,3,6,2,24,9,6,3,6,4,23,22,6,4,6,5,5,13,6,3,24,5,6,4,17,5,6,3,16,5,15,5,16,13,5,29,26,30,0,2,28,3,27,1,2,1,2,26,2,0,29,0,0,29,0,29,0,29,0,1,27,1,27,1,26,3,0,29,0,29,0,29,0,29,0,30,0,30,0,29,0,29,0,29,0,2.0
1,30,30,29,30,0,30,0,30,0,1,0,30,0,30,0,30,0,0,0,0,29,0,29,1,29,1,0,0,29,0,29,0,29,0,0,0,0,0,29,0,30,1,0,0,30,3,7,1,13,24,17,7,15,12,13,12,2,27,3,26,4,25,15,9,2,9,19,8,6,19,7,14,14,17,11,21,7,21,7,13,12,2,8,16,8,3,25,2,14,2,26,2,13,2,12,4,14,2,26,13,14,2,13,15,8,3,24,2,25,1,27,14,11,2,9,3,14,2,13,3,25,3,9,2,25,14,8,2,26,3,8,2,9,2,25,14,9,3,9,4,24,18,8,3,8,4,7,16,8,2,25,4,8,3,14,4,9,2,14,4,12,4,14,16,7,29,30,30,1,0,30,0,30,0,0,1,0,30,0,1,29,0,0,29,1,29,0,29,0,0,30,0,30,0,30,0,1,29,0,29,0,29,0,29,0,30,0,30,0,29,0,29,0,29,0,1.0
0,30,28,29,29,0,28,0,29,1,1,0,30,0,29,0,29,0,0,0,0,29,0,29,0,29,1,1,0,29,0,29,0,29,0,1,0,1,0,29,0,30,0,0,0,30,4,5,2,15,23,19,5,17,10,16,9,3,26,4,25,5,24,17,7,3,7,21,6,4,21,5,16,12,19,8,23,5,23,5,16,9,3,6,18,6,4,24,2,12,3,25,3,11,3,10,5,12,2,25,15,11,3,10,18,6,3,23,2,24,2,26,17,8,2,7,3,11,3,10,4,24,3,7,3,24,16,6,3,25,4,6,3,7,2,24,15,7,3,7,4,23,20,6,4,7,5,5,18,7,3,24,5,6,4,12,5,7,3,11,5,10,5,11,18,5,29,30,30,1,0,30,0,30,0,0,1,0,30,0,1,29,0,0,29,1,29,0,29,0,0,30,0,30,0,30,0,1,29,0,29,0,29,0,29,0,30,0,30,0,29,0,29,0,29,0,2.0
0,26,28,24,29,0,28,0,29,1,1,0,30,0,29,0,29,0,0,0,2,26,1,29,3,25,1,1,2,26,3,25,3,24,2,1,0,1,1,26,0,27,0,0,0,27,4,5,2,14,22,18,5,17,11,15,10,3,26,4,25,6,24,16,7,3,7,21,6,4,21,6,16,13,19,9,23,5,23,5,14,10,3,7,18,7,4,24,2,13,3,25,2,12,2,11,6,13,2,24,14,12,2,11,16,6,3,22,2,23,2,26,16,9,2,7,3,12,2,11,4,24,3,6,3,24,16,6,3,25,4,6,3,6,2,23,14,6,3,6,4,22,20,6,3,6,5,5,17,6,3,24,6,7,4,13,6,7,3,12,6,11,6,12,17,5,23,30,25,1,0,30,0,30,0,0,1,0,30,0,1,25,3,0,24,5,29,2,24,4,0,30,0,30,0,30,0,1,25,3,23,4,25,0,25,2,26,0,26,0,29,0,24,0,29,0,2.0
1,29,30,28,30,0,30,0,30,0,1,0,30,0,30,0,30,0,0,0,1,29,0,29,2,29,1,0,0,28,0,28,1,28,0,0,0,0,0,29,1,30,1,0,0,29,4,7,2,12,23,16,7,14,12,14,11,3,26,4,25,5,24,14,9,3,9,19,7,5,19,7,13,14,17,10,21,6,21,6,13,12,2,8,15,8,4,24,2,14,3,25,2,14,2,12,5,14,2,25,12,13,2,13,15,7,3,23,2,24,2,26,14,10,2,9,3,13,2,13,4,24,3,8,3,24,14,7,3,25,3,7,3,8,2,24,12,8,3,8,4,23,17,7,3,8,5,6,14,8,3,24,5,8,4,14,5,9,3,13,5,12,5,13,16,6,29,30,30,1,0,30,0,30,0,0,1,0,30,0,1,29,0,0,29,1,29,0,29,0,0,30,0,30,0,30,0,1,29,0,29,0,29,0,29,0,30,0,30,0,29,0,29,0,29,0,2.0
1,30,30,29,30,0,30,0,30,0,1,0,30,0,30,0,30,0,0,0,0,29,0,29,1,29,1,0,0,29,0,29,0,29,0,0,0,0,0,29,0,30,1,0,0,30,4,6,2,12,23,16,6,14,12,14,12,3,26,4,25,5,24,14,8,3,8,20,7,5,20,7,13,14,18,11,22,6,22,6,13,13,3,7,15,7,4,24,2,14,3,25,2,14,2,12,5,14,2,25,12,13,2,13,15,7,3,23,2,24,2,26,14,11,3,8,3,13,2,13,4,24,3,7,3,24,15,7,3,25,4,7,3,7,2,24,13,7,4,7,4,23,19,7,3,7,5,6,15,7,3,24,5,7,4,14,5,8,3,13,5,12,5,13,16,6,29,30,30,1,0,30,0,30,0,0,1,0,30,0,1,29,0,0,29,1,29,0,29,0,0,30,0,30,0,30,0,1,29,0,29,0,29,0,29,0,30,0,30,0,29,0,29,0,29,0,2.0
0,30,18,29,20,7,19,6,20,8,1,5,23,5,22,4,22,5,4,0,0,29,0,29,0,29,0,8,0,29,0,29,0,29,0,8,0,8,0,29,0,30,0,7,0,30,4,5,2,12,23,16,5,16,13,15,13,3,26,4,25,5,24,14,6,3,6,23,6,4,23,6,14,15,22,12,24,5,24,5,13,13,4,6,16,6,4,24,3,15,3,25,3,14,4,13,5,15,2,25,13,14,3,13,15,6,3,23,2,24,2,26,15,12,3,6,4,14,3,13,4,24,3,6,3,24,15,6,3,25,5,6,3,6,2,24,13,6,4,6,4,23,22,6,4,6,5,5,16,6,3,24,5,6,4,15,5,6,3,14,5,13,5,14,15,5,29,18,30,0,8,21,10,19,6,8,1,9,18,9,0,29,0,0,29,0,29,0,29,0,7,20,7,20,8,18,10,0,29,0,29,0,29,0,29,0,30,0,30,0,29,0,29,0,29,0,1.0
1,30,30,29,30,0,30,0,30,0,1,0,30,0,30,0,30,0,0,0,0,29,0,29,1,29,1,0,0,29,0,29,0,29,0,0,0,0,0,29,0,30,1,0,0,30,4,4,2,15,23,19,4,17,9,17,8,3,26,4,25,5,24,17,6,3,6,22,4,2,22,4,16,11,20,7,24,3,24,3,16,9,2,5,18,5,4,24,2,11,3,25,2,11,2,9,5,11,2,25,15,10,2,10,18,4,3,23,2,24,2,26,17,7,2,6,3,10,2,10,4,24,3,5,3,24,17,4,3,25,3,4,3,5,2,24,15,5,3,5,4,23,20,4,3,5,5,3,17,5,3,24,5,5,4,11,5,6,3,10,5,9,5,10,19,3,29,30,30,1,0,30,0,30,0,0,1,0,30,0,1,29,0,0,29,1,29,0,29,0,0,30,0,30,0,30,0,1,29,0,29,0,29,0,29,0,30,0,30,0,29,0,29,0,29,0,2.0
1,30,30,29,30,0,30,0,30,0,1,0,30,0,30,0,30,0,0,0,0,29,0,29,1,29,1,0,0,29,0,29,0,29,0,0,0,0,0,29,0,30,1,0,0,30,4,7,2,12,23,16,7,16,12,15,11,3,26,4,25,5,24,14,8,3,8,21,8,6,21,7,14,14,20,10,22,7,22,7,14,12,4,8,16,8,4,24,2,14,3,25,3,14,4,12,5,14,2,25,12,13,3,13,16,8,3,23,2,24,2,26,16,10,2,8,3,13,3,13,4,24,3,8,3,24,15,8,3,25,5,8,3,8,2,24,12,8,3,8,4,23,20,8,4,8,5,7,16,8,3,24,5,8,4,14,5,8,3,13,5,12,5,13,16,7,29,19,30,0,9,21,10,20,8,9,1,9,19,9,0,29,0,0,29,0,29,0,29,0,8,20,8,20,8,19,10,0,29,0,29,0,29,0,29,0,30,0,30,0,29,0,29,0,29,0,1.0
1,30,30,29,30,0,30,0,30,0,1,0,30,0,30,0,30,0,0,0,0,29,0,29,1,29,1,0,0,29,0,29,0,29,0,0,0,0,0,29,0,30,1,0,0,30,4,6,2,14,23,18,6,18,11,17,11,3,26,4,25,5,24,16,7,3,7,22,7,5,22,7,16,13,21,10,23,6,23,6,15,11,4,7,18,7,4,24,3,13,3,25,3,12,4,11,5,13,3,25,15,13,4,12,17,7,4,23,3,24,2,26,17,10,3,7,4,13,3,12,4,24,4,7,3,24,17,7,3,25,5,7,3,7,3,24,15,7,4,7,5,23,21,7,4,7,5,6,18,7,3,24,5,7,4,13,5,7,3,13,5,11,5,13,17,6,29,30,30,1,0,30,0,30,0,0,1,0,30,0,1,29,0,0,29,1,29,0,29,0,0,30,0,30,0,30,0,1,29,0,29,0,29,0,29,0,30,0,30,0,29,0,29,0,29,0,2.0
1,30,30,29,30,0,30,0,30,0,1,0,30,0,30,0,30,0,0,0,0,29,0,29,1,29,1,0,0,29,0,29,0,29,0,0,0,0,0,29,0,30,1,0,0,30,4,7,2,12,23,16,7,16,14,14,12,3,26,4,25,5,24,14,8,3,8,21,8,6,21,8,14,16,20,12,22,7,22,7,13,12,4,8,16,8,4,24,2,15,3,25,3,14,4,13,5,16,2,25,12,14,3,13,14,8,3,23,2,24,2,26,15,12,2,8,3,14,3,13,4,24,3,8,3,24,14,8,3,25,5,8,3,8,2,24,12,8,3,8,4,23,20,8,4,8,5,7,16,8,3,24,5,8,4,16,5,8,3,14,5,14,5,14,14,7,29,24,30,1,0,28,2,26,0,0,1,2,26,2,1,29,0,0,29,1,29,0,29,0,0,28,0,28,2,26,2,1,29,0,29,0,29,0,29,0,30,0,30,0,29,0,29,0,29,0,1.0
1,26,30,24,30,0,30,0,30,0,1,0,30,0,30,0,30,0,0,0,0,26,0,29,2,25,1,0,1,28,3,26,2,25,1,0,0,0,0,27,0,27,1,0,0,28,3,6,1,12,21,16,6,15,14,13,12,2,27,3,25,6,23,14,8,2,8,20,7,5,20,7,14,15,18,12,22,6,22,6,13,12,2,8,16,8,3,23,1,15,2,25,2,14,2,13,7,16,1,23,12,14,2,13,14,7,3,21,1,22,1,27,15,12,1,8,3,14,2,13,5,24,2,8,3,25,13,8,2,26,4,8,2,8,1,22,12,8,3,8,5,21,19,8,3,8,5,6,15,8,3,23,7,8,5,16,7,8,3,14,7,14,6,14,14,6,29,30,30,1,0,30,0,30,0,0,1,0,30,0,1,29,0,0,29,1,29,0,29,0,0,30,0,30,0,30,0,1,29,0,29,0,29,0,29,0,30,0,30,0,29,0,29,0,29,0,1.0
0,28,28,27,29,0,28,0,29,1,1,0,30,0,29,0,29,0,0,0,0,27,0,29,0,27,1,1,1,29,2,28,1,27,1,1,0,1,0,28,0,28,0,0,0,29,4,6,2,15,16,19,6,19,11,17,10,3,26,4,20,11,18,17,7,3,7,22,7,5,22,7,17,12,21,10,23,6,23,6,16,10,4,7,19,7,4,18,3,12,3,20,3,11,4,10,12,13,3,18,16,11,4,10,17,7,8,17,3,18,3,26,18,10,3,7,9,12,4,11,10,19,4,7,8,24,17,7,3,25,10,7,4,7,3,17,16,7,9,7,10,16,21,7,4,7,10,6,19,7,8,19,12,7,10,13,12,7,8,12,12,11,11,11,17,6,26,30,27,1,0,30,0,30,0,0,1,0,30,0,1,28,3,1,27,4,29,2,26,2,0,30,0,30,0,30,0,1,26,2,26,3,26,0,27,2,27,1,28,1,29,0,26,0,29,0,2.0
0,30,28,29,29,0,28,0,29,1,1,0,30,0,29,0,29,0,0,0,0,29,0,29,0,29,1,1,0,29,0,29,0,29,0,1,0,1,0,29,0,30,0,0,0,30,3,4,1,15,21,19,4,18,9,17,9,2,27,3,25,6,23,17,6,2,6,22,5,3,22,5,17,11,20,7,24,4,24,4,16,10,2,6,19,6,3,23,2,11,2,25,2,11,2,9,6,11,2,24,15,11,2,11,18,5,4,21,2,23,1,27,18,7,2,6,4,11,2,11,4,25,3,6,3,25,18,6,3,26,4,6,2,6,2,22,15,6,4,6,6,22,21,5,3,5,5,4,18,5,3,23,6,6,4,11,6,6,3,11,6,9,6,11,19,4,27,30,28,1,0,30,0,30,0,0,1,0,30,0,1,29,2,1,28,3,29,1,27,1,0,30,0,30,0,30,0,1,27,1,27,2,27,0,28,1,28,1,29,1,29,0,27,0,29,0,2.0
1,28,30,27,30,0,30,0,30,0,1,0,30,0,30,0,30,0,0,0,0,27,0,29,1,27,1,0,1,29,2,28,1,27,1,0,0,0,0,28,0,28,1,0,0,29,3,6,1,15,20,19,7,19,11,17,9,2,27,3,24,7,22,17,8,2,6,23,8,6,22,6,17,13,22,9,24,7,22,6,16,9,3,7,19,8,3,22,1,12,2,24,2,11,3,10,7,13,1,23,15,11,2,10,17,6,4,20,1,22,1,27,18,9,1,7,4,11,2,10,4,24,2,6,3,25,17,7,3,26,6,7,2,6,1,21,15,7,4,7,5,21,22,7,3,6,6,6,19,7,4,23,7,8,4,13,7,8,4,11,7,11,7,11,17,6,28,30,29,1,0,30,0,30,0,0,1,0,30,0,1,28,0,0,28,1,29,0,29,1,0,30,0,30,0,30,0,1,29,0,28,0,29,0,29,0,30,0,29,0,29,0,29,0,29,0,1.0
