@relation 'Sax dominant'

@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMaaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atLccc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMaca numeric
@attribute o1atLaca numeric
@attribute destClass {1,3,2}

@data
23,11,21,59,69,15,5,19,60,19,17,6,72,9,71,16,21,55,71,12,10,17,77,11,77,9,65,48,21,16,10,71,10,72,22,17,77,9,22,13,10,17,6,17,2.0
25,8,24,56,66,16,3,19,56,19,17,4,69,5,68,16,24,48,68,11,12,17,77,8,77,7,60,44,24,16,12,69,11,69,25,17,77,6,25,11,12,17,4,17,3.0
23,5,23,59,75,10,5,21,59,21,11,6,71,2,77,11,22,54,77,8,11,11,83,5,83,4,72,48,22,10,11,71,11,71,23,11,83,3,23,9,11,11,6,11,3.0
1,8,0,93,70,13,0,0,94,0,14,0,94,4,74,14,0,93,74,13,0,14,80,8,80,7,68,93,0,14,0,93,0,94,0,14,80,4,0,13,0,14,0,14,1.0
7,5,6,82,80,8,0,6,83,6,9,0,88,3,81,9,6,81,81,8,1,9,85,5,85,4,78,77,6,9,1,87,1,88,6,9,85,4,6,8,1,9,0,9,1.0
25,9,22,57,67,15,6,20,58,20,17,7,70,6,69,15,23,52,69,11,12,17,77,9,77,7,62,46,23,16,12,69,12,70,24,17,77,7,24,12,12,17,7,17,3.0
21,4,19,63,79,8,6,19,64,19,9,6,74,2,80,8,20,59,80,7,10,9,85,4,85,3,76,53,20,9,10,73,10,74,20,9,85,3,20,7,10,9,6,9,1.0
16,8,14,68,76,11,2,14,69,14,12,3,79,6,78,11,15,66,78,10,5,12,82,8,82,7,74,59,15,12,5,78,5,79,15,12,82,6,15,10,5,12,3,12,3.0
23,6,22,61,74,11,8,21,62,21,12,8,72,3,76,12,22,57,76,10,12,12,82,6,82,5,71,51,22,12,12,71,12,72,22,12,82,4,22,10,12,12,8,12,1.0
25,9,24,56,57,19,3,16,56,16,21,4,69,4,61,20,23,48,61,12,12,21,73,9,73,7,50,44,23,19,12,69,10,69,25,21,73,5,25,12,12,21,4,21,3.0
26,13,23,56,63,19,6,21,57,21,21,7,69,10,65,19,24,50,65,15,13,21,73,13,73,11,58,45,24,20,13,68,13,69,25,21,73,11,25,16,13,21,7,21,1.0
24,11,22,58,67,16,5,19,59,19,18,6,71,9,69,17,22,53,69,12,11,18,76,11,76,9,62,47,22,17,11,70,11,71,23,18,76,9,23,13,11,18,6,18,3.0
4,6,3,87,78,9,0,3,88,3,10,0,91,4,80,10,3,87,80,9,0,10,84,6,84,5,76,84,3,10,0,90,0,91,3,10,84,4,3,9,0,10,0,10,3.0
19,8,17,66,76,11,5,17,67,17,12,6,76,6,78,11,18,63,78,10,9,12,82,8,82,7,74,58,18,12,9,75,9,76,18,12,82,6,18,10,9,12,6,12,3.0
24,13,21,58,63,19,5,19,59,19,21,6,71,10,65,19,22,53,65,15,11,21,73,13,73,11,58,47,22,20,11,70,11,71,23,21,73,11,23,16,11,21,6,21,2.0
24,7,23,60,71,13,9,22,61,22,14,9,71,4,73,14,23,56,73,12,13,14,80,7,80,6,67,50,23,14,13,70,13,71,23,14,80,5,23,12,13,14,9,14,2.0
9,8,8,81,68,15,1,7,82,7,16,1,86,5,70,16,8,78,70,14,4,16,78,8,78,7,63,77,8,16,4,85,4,86,8,16,78,6,8,14,4,16,1,16,1.0
14,5,13,70,78,9,1,13,71,13,10,2,81,3,79,10,13,69,79,9,3,10,84,5,84,4,75,61,13,10,3,80,3,81,13,10,84,4,13,9,3,10,2,10,3.0
24,11,21,58,67,16,6,19,59,19,18,8,71,9,69,16,22,55,69,12,11,18,76,11,76,9,62,48,22,17,11,70,11,71,23,18,76,9,23,13,11,18,8,18,2.0
23,10,20,60,58,19,5,17,61,17,21,6,72,5,62,19,21,55,62,14,11,21,73,10,73,8,52,50,21,20,11,71,11,72,22,21,73,6,22,15,11,21,6,21,2.0
26,12,23,56,65,17,6,21,57,21,19,7,69,9,68,17,24,50,68,13,13,19,75,12,75,10,61,45,24,18,13,68,13,69,25,19,75,9,25,14,13,19,7,19,3.0
19,10,17,66,73,13,5,17,67,17,14,5,76,7,76,13,18,62,76,12,9,14,80,10,80,9,72,57,18,14,9,75,9,76,18,14,80,7,18,12,9,14,5,14,3.0
24,11,21,58,63,18,5,19,59,19,20,6,71,7,65,18,22,53,65,14,11,20,74,11,74,9,58,47,22,19,11,70,11,71,23,20,74,9,23,15,11,20,6,20,3.0
23,9,22,57,65,16,3,17,57,17,18,5,71,6,67,17,21,53,67,10,9,18,76,9,76,7,59,45,21,16,9,71,9,71,23,18,76,7,23,12,9,18,5,18,2.0
20,5,18,65,77,10,5,18,66,18,11,5,75,3,77,10,19,60,77,9,10,11,83,5,83,4,73,56,19,11,10,74,10,75,19,11,83,5,19,9,10,11,5,11,3.0
24,9,22,58,61,18,6,18,58,18,19,7,70,4,65,17,23,53,65,12,12,19,75,9,75,8,56,47,23,18,12,70,12,70,24,19,75,5,24,13,12,19,7,19,3.0
18,9,16,64,74,12,3,16,65,16,13,6,77,6,77,12,17,65,77,11,5,13,81,9,81,8,73,55,17,13,5,76,5,77,17,13,81,6,17,11,5,13,6,13,2.0
24,4,22,60,77,9,7,22,61,22,10,7,71,2,78,9,23,54,78,8,13,10,84,4,84,3,73,50,23,10,13,70,13,71,23,10,84,3,23,8,13,10,7,10,2.0
17,7,15,67,70,13,3,13,68,13,14,4,78,4,73,13,16,65,73,10,6,14,80,7,80,6,66,58,16,14,6,77,6,78,16,14,80,4,16,10,6,14,4,14,3.0
25,9,22,56,65,16,5,19,57,19,18,7,70,6,67,16,23,52,67,11,11,18,76,9,76,7,59,45,23,17,11,69,11,70,24,18,76,7,24,12,11,18,7,18,2.0
23,5,22,60,78,9,6,20,60,20,10,6,71,3,79,9,22,54,79,7,12,10,84,5,84,4,75,49,22,9,12,71,11,71,23,10,84,4,23,7,12,10,6,10,3.0
9,6,8,79,78,9,0,8,80,8,10,0,86,4,80,10,8,77,80,9,2,10,84,6,84,5,76,73,8,10,2,85,2,86,8,10,84,4,8,9,2,10,0,10,3.0
27,12,26,54,66,17,5,21,54,21,19,7,67,10,68,18,25,47,68,12,14,19,75,12,75,10,61,43,25,17,14,67,13,67,27,19,75,10,27,13,14,19,7,19,3.0
3,7,2,89,76,10,0,1,90,1,11,0,92,4,79,11,2,89,79,9,0,11,83,7,83,6,75,87,2,11,0,91,0,92,2,11,83,4,2,9,0,11,0,11,1.0
11,3,10,76,81,7,1,10,77,10,8,1,84,2,81,8,10,74,81,7,3,8,86,3,86,2,77,69,10,8,3,83,3,84,10,8,86,3,10,7,3,8,1,8,3.0
25,13,22,57,64,18,5,20,58,20,20,6,70,10,67,18,23,51,67,14,12,20,74,13,74,11,60,46,23,19,12,69,12,70,24,20,74,10,24,15,12,20,6,20,3.0
19,9,17,67,74,12,6,17,68,17,13,6,76,6,77,12,18,63,77,11,10,13,81,9,81,8,73,59,18,13,10,75,10,76,18,13,81,6,18,11,10,13,6,13,3.0
11,8,9,77,76,11,3,10,78,10,12,4,84,6,78,11,10,77,78,11,4,12,82,8,82,7,74,72,10,12,4,83,4,84,10,12,82,6,10,11,4,12,4,12,1.0
21,9,19,62,67,15,4,16,63,16,17,5,74,6,69,16,19,58,69,11,9,17,77,9,77,7,62,52,19,16,9,73,9,74,20,17,77,7,20,12,9,17,5,17,3.0
25,10,21,57,61,18,6,19,58,19,20,7,70,6,64,17,23,52,64,13,12,20,74,10,74,8,55,46,23,19,12,69,12,70,24,20,74,7,24,14,12,20,7,20,3.0
26,9,23,57,61,18,9,20,57,20,19,9,68,4,65,16,25,51,65,12,15,19,75,9,75,8,56,46,25,18,15,68,15,68,26,19,75,5,26,13,15,19,9,19,3.0
24,9,21,58,67,15,5,19,59,19,17,6,71,6,69,15,22,53,69,11,11,17,77,9,77,7,62,47,22,16,11,70,11,71,23,17,77,7,23,12,11,17,6,17,3.0
23,10,20,60,58,19,5,17,61,17,21,6,72,5,62,19,21,55,62,14,11,21,73,10,73,8,52,50,21,20,11,71,11,72,22,21,73,6,22,15,11,21,6,21,2.0
24,4,24,59,77,9,8,22,59,22,10,8,70,2,78,10,23,54,78,7,13,10,84,4,84,3,73,48,23,9,13,70,13,70,24,10,84,3,24,8,13,10,8,10,3.0
24,9,22,58,62,17,4,17,58,18,19,5,70,5,65,17,22,51,65,13,12,19,75,9,75,8,56,47,22,17,12,70,10,70,24,19,75,6,24,13,12,19,5,19,1.0
25,7,23,55,65,15,4,17,55,18,17,5,69,4,67,15,23,49,67,10,11,17,77,7,77,6,58,42,23,15,11,69,9,69,25,17,77,5,25,10,11,17,5,17,2.0
18,8,16,66,70,13,3,15,67,15,15,4,77,5,72,14,16,63,72,11,7,15,79,8,79,6,66,57,16,14,7,76,7,77,17,15,79,6,17,12,7,15,4,15,1.0
18,10,16,68,73,13,6,16,69,16,14,6,77,7,76,13,17,65,76,12,9,14,80,10,80,9,72,60,17,14,9,76,9,77,17,14,80,7,17,12,9,14,6,14,2.0
19,7,17,67,75,11,6,17,68,17,12,6,76,4,77,11,18,63,77,10,10,12,82,7,82,6,73,59,18,12,10,75,10,76,18,12,82,5,18,10,10,12,6,12,3.0
24,11,22,59,67,16,5,19,60,19,18,7,71,9,69,17,22,54,69,12,12,18,76,11,76,9,62,50,22,17,12,70,12,71,23,18,76,9,23,13,12,18,7,18,3.0
26,9,23,56,61,18,6,19,56,19,19,7,68,4,65,16,25,49,65,12,14,19,75,9,75,8,56,45,25,18,14,68,13,68,26,19,75,5,26,12,14,19,7,19,3.0
24,7,23,60,73,12,9,22,61,22,13,9,71,4,75,13,23,56,75,11,13,13,81,7,81,6,70,50,23,13,13,70,13,71,23,13,81,5,23,11,13,13,9,13,3.0
10,7,10,76,74,11,0,8,76,8,12,0,84,4,77,12,9,74,77,9,2,12,82,7,82,6,72,68,9,11,2,84,2,84,10,12,82,4,10,10,2,12,0,12,1.0
25,11,23,57,68,16,6,21,58,21,18,7,70,9,69,17,23,52,69,13,12,18,76,11,76,9,63,46,23,17,12,69,12,70,24,18,76,10,24,14,12,18,7,18,1.0
8,6,7,82,76,10,1,7,83,7,11,1,87,4,78,11,7,80,78,10,3,11,83,6,83,5,73,78,7,11,3,86,3,87,7,11,83,4,7,10,3,11,1,11,3.0
18,8,16,67,70,13,4,16,68,16,15,6,77,5,72,14,16,65,72,12,8,15,79,8,79,6,66,60,16,14,8,76,8,77,17,15,79,6,17,13,8,15,6,15,3.0
25,11,21,57,57,20,6,19,58,19,22,7,70,6,61,19,23,52,61,15,12,22,72,11,72,9,51,46,23,21,12,69,12,70,24,22,72,7,24,16,12,22,7,22,3.0
6,6,5,84,78,9,0,4,85,4,10,0,89,4,80,10,5,83,80,8,1,10,84,6,84,5,76,80,5,10,1,88,1,89,5,10,84,4,5,8,1,10,0,10,3.0
22,5,21,62,78,9,6,19,62,19,10,6,72,3,79,9,21,56,79,7,12,10,84,5,84,4,75,52,21,9,12,72,11,72,22,10,84,4,22,7,12,10,6,10,3.0
3,5,2,89,80,8,0,2,90,2,9,0,92,3,81,9,2,89,81,8,0,9,85,5,85,4,78,87,2,9,0,91,0,92,2,9,85,4,2,8,0,9,0,9,3.0
8,6,6,81,78,9,0,7,82,7,10,0,87,3,80,9,7,79,80,9,2,10,84,6,84,5,77,76,7,10,2,86,2,87,7,10,84,4,7,9,2,10,0,10,2.0
24,7,23,58,69,14,6,20,58,20,15,7,70,4,71,14,23,53,71,10,12,15,79,7,79,6,64,47,23,14,12,70,12,70,24,15,79,5,24,11,12,15,7,15,3.0
19,4,18,65,77,9,3,15,65,15,10,3,75,2,78,9,18,59,78,6,9,10,84,4,84,3,73,55,18,9,9,75,8,75,19,10,84,3,19,6,9,10,3,10,3.0
25,8,23,56,65,15,5,19,56,19,17,6,69,5,68,15,23,50,68,9,12,17,77,8,77,6,59,44,23,15,12,69,12,69,25,17,77,5,25,11,12,17,6,17,3.0
20,9,18,64,74,12,5,18,65,18,13,6,75,6,77,12,19,61,77,11,9,13,81,9,81,8,73,55,19,13,9,74,9,75,19,13,81,6,19,11,9,13,6,13,1.0
19,5,18,65,78,9,4,16,65,16,10,4,75,3,79,9,18,60,79,7,9,10,84,5,84,4,75,55,18,9,9,75,8,75,19,10,84,4,19,7,9,10,4,10,3.0
22,11,20,61,69,15,5,18,62,18,17,6,73,9,71,16,20,57,71,12,10,17,77,11,77,9,65,51,20,16,10,72,10,73,21,17,77,9,21,13,10,17,6,17,1.0
23,10,19,60,60,19,6,17,61,17,20,7,72,5,64,17,22,56,64,14,11,20,74,10,74,9,55,50,22,20,11,71,11,72,22,20,74,6,22,14,11,20,7,20,1.0
14,8,12,73,68,15,4,11,74,11,16,6,81,5,70,15,13,73,70,13,6,16,78,8,78,7,63,68,13,16,6,80,6,81,13,16,78,6,13,13,6,16,6,16,3.0
22,6,22,60,74,11,5,19,60,19,12,6,72,3,76,12,21,56,76,9,10,12,82,6,82,5,71,49,21,11,10,72,9,72,22,12,82,4,22,9,10,12,6,12,3.0
3,6,2,89,78,9,0,2,90,2,10,0,92,4,80,10,2,89,80,9,0,10,84,6,84,5,76,87,2,10,0,91,0,92,2,10,84,4,2,9,0,10,0,10,1.0
24,5,22,59,76,10,7,22,59,22,11,7,70,3,77,9,23,53,77,8,13,11,83,5,83,4,72,48,23,10,13,70,13,70,24,11,83,4,24,9,13,11,7,11,3.0
14,8,13,69,76,11,0,12,70,12,12,1,81,6,78,12,13,68,78,10,2,12,82,8,82,7,74,59,13,12,2,80,2,81,13,12,82,6,13,10,2,12,1,12,3.0
21,5,21,61,75,10,2,18,61,18,11,3,73,2,77,11,20,55,77,8,9,11,83,5,83,4,72,50,20,10,9,73,8,73,21,11,83,3,21,8,9,11,3,11,1.0
27,10,26,54,68,15,5,20,54,21,17,6,67,8,70,16,25,46,70,11,14,17,77,10,77,9,63,42,25,15,14,67,12,67,27,17,77,8,27,11,14,17,6,17,1.0
19,7,17,65,77,10,5,18,66,18,11,5,76,5,79,10,18,62,79,10,8,11,83,7,83,6,75,55,18,11,8,75,8,76,18,11,83,5,18,10,8,11,5,11,1.0
5,6,4,86,78,9,0,4,87,4,10,0,90,4,80,10,4,85,80,9,1,10,84,6,84,5,76,83,4,10,1,89,1,90,4,10,84,4,4,9,1,10,0,10,3.0
24,5,23,60,75,10,8,22,61,22,11,8,71,2,77,11,23,55,77,9,13,11,83,5,83,4,72,50,23,11,13,70,13,71,23,11,83,3,23,9,13,11,8,11,3.0
19,8,17,66,76,11,5,17,67,17,12,5,76,6,78,11,18,62,78,10,9,12,82,8,82,7,74,57,18,12,9,75,9,76,18,12,82,6,18,10,9,12,5,12,3.0
24,5,24,59,75,10,8,22,59,22,11,8,70,2,77,11,23,54,77,8,13,11,83,5,83,4,72,48,23,10,13,70,13,70,24,11,83,3,24,9,13,11,8,11,2.0
26,11,23,56,63,18,6,21,57,21,20,7,69,7,65,18,24,50,65,14,13,20,74,11,74,9,58,45,24,19,13,68,13,69,25,20,74,9,25,15,13,20,7,20,3.0
22,4,21,61,79,8,6,20,61,20,9,6,72,2,80,8,21,56,80,6,11,9,85,4,85,3,76,50,21,8,11,72,11,72,22,9,85,3,22,7,11,9,6,9,3.0
27,9,26,54,60,17,5,18,54,18,19,6,67,4,65,18,25,46,65,10,14,19,75,9,75,7,55,42,25,17,14,67,12,67,27,19,75,4,27,10,14,19,6,19,2.0
19,5,18,65,77,9,4,17,65,17,10,4,75,2,79,9,18,60,79,7,9,10,84,5,84,4,75,55,18,9,9,75,9,75,19,10,84,3,19,8,9,10,4,10,1.0
25,10,24,56,68,16,3,19,56,19,17,4,69,8,70,16,24,48,70,11,12,17,77,10,77,9,63,44,24,16,12,69,11,69,25,17,77,8,25,11,12,17,4,17,2.0
5,6,4,86,76,10,0,4,87,4,11,0,90,4,78,11,4,85,78,10,1,11,83,6,83,5,73,83,4,11,1,89,1,90,4,11,83,4,4,10,1,11,0,11,3.0
25,11,23,57,69,15,5,21,58,21,17,6,70,9,71,16,23,51,71,12,12,17,77,11,77,9,65,46,23,16,12,69,12,70,24,17,77,9,24,13,12,17,6,17,3.0
16,7,14,69,76,10,2,15,70,15,11,2,79,4,79,10,15,65,79,10,6,11,83,7,83,6,75,60,15,11,6,78,6,79,15,11,83,4,15,10,6,11,2,11,3.0
23,6,22,60,74,11,6,21,61,21,12,7,72,3,76,12,22,56,76,10,11,12,82,6,82,5,71,50,22,12,11,71,11,72,22,12,82,4,22,10,11,12,7,12,2.0
4,6,3,88,78,9,0,3,89,3,10,0,91,4,80,10,3,87,80,9,1,10,84,6,84,5,76,86,3,10,1,90,1,91,3,10,84,4,3,9,1,10,0,10,1.0
24,9,22,61,69,14,7,22,62,22,16,9,71,6,71,15,22,56,71,13,14,16,78,9,78,7,65,54,22,15,14,70,14,71,23,16,78,7,23,14,14,16,9,16,2.0
1,8,0,93,70,13,0,0,94,0,14,0,94,4,74,14,0,93,74,13,0,14,80,8,80,7,68,93,0,14,0,93,0,94,0,14,80,4,0,13,0,14,0,14,1.0
26,10,25,55,68,16,4,20,55,20,17,5,68,8,70,16,25,47,70,11,13,17,77,10,77,9,63,43,25,16,13,68,12,68,26,17,77,8,26,11,13,17,5,17,3.0
6,7,5,84,77,10,0,4,85,4,11,0,89,5,79,11,5,83,79,9,1,11,83,7,83,6,75,80,5,11,1,88,1,89,5,11,83,5,5,9,1,11,0,11,1.0
5,8,3,85,76,11,0,3,86,3,12,0,90,6,78,11,4,85,78,10,0,12,82,8,82,7,74,81,4,12,0,89,0,90,4,12,82,6,4,10,0,12,0,12,1.0
8,4,7,82,81,7,1,7,83,7,8,1,87,2,82,8,7,80,82,7,3,8,86,4,86,3,79,78,7,8,3,86,3,87,7,8,86,3,7,7,3,8,1,8,3.0
17,9,15,70,74,12,5,15,71,15,13,5,78,6,77,12,16,66,77,11,9,13,81,9,81,8,73,63,16,13,9,77,9,78,16,13,81,6,16,11,9,13,5,13,2.0
24,11,23,57,67,16,4,19,57,19,18,5,70,9,69,17,22,51,69,11,11,18,76,11,76,9,62,45,22,16,11,70,11,70,24,18,76,9,24,13,11,18,5,18,3.0
27,10,24,55,63,17,6,22,56,22,19,7,68,6,66,17,25,48,66,13,14,19,75,10,75,8,58,44,25,18,14,67,14,68,26,19,75,7,26,14,14,19,7,19,3.0
26,9,25,55,60,17,4,17,55,17,19,5,68,4,65,18,24,47,65,10,13,19,75,9,75,7,55,43,24,17,13,68,11,68,26,19,75,4,26,10,13,19,5,19,2.0
27,10,26,55,66,16,7,19,55,20,18,7,67,8,68,17,25,47,68,11,15,18,76,10,76,9,60,43,25,16,15,67,13,67,27,18,76,8,27,11,15,18,7,18,3.0
27,9,25,53,64,16,4,20,53,21,18,6,67,5,67,16,25,46,67,12,13,18,76,9,76,8,59,41,25,16,13,67,11,67,27,18,76,6,27,12,13,18,6,18,1.0
2,6,1,91,77,10,0,1,92,1,11,0,93,4,78,11,1,91,78,10,0,11,83,6,83,5,74,90,1,11,0,92,0,93,1,11,83,5,1,10,0,11,0,11,3.0
24,11,21,58,63,18,5,19,59,19,20,6,71,7,65,18,22,53,65,14,11,20,74,11,74,9,58,47,22,19,11,70,11,71,23,20,74,9,23,15,11,20,6,20,3.0
20,4,18,64,79,8,5,18,65,18,9,5,75,2,80,8,19,60,80,7,9,9,85,4,85,3,76,54,19,9,9,74,9,75,19,9,85,3,19,7,9,9,5,9,1.0
20,10,18,65,73,13,6,18,66,18,14,6,75,7,76,13,19,61,76,12,10,14,80,10,80,9,72,56,19,14,10,74,10,75,19,14,80,7,19,12,10,14,6,14,3.0
16,8,15,69,68,15,1,13,70,13,16,3,79,5,70,16,15,66,70,13,6,16,78,8,78,7,63,62,15,16,6,78,6,79,15,16,78,6,15,13,6,16,3,16,3.0
25,11,22,57,63,18,6,20,58,20,20,7,70,7,65,18,23,52,65,14,12,20,74,11,74,9,58,46,23,19,12,69,12,70,24,20,74,9,24,15,12,20,7,20,3.0
9,5,8,78,80,8,0,8,79,8,9,1,86,3,81,9,8,78,81,8,1,9,85,5,85,4,78,72,8,9,1,85,1,86,8,9,85,4,8,8,1,9,1,9,1.0
