@relation 'Sax dominant'

@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o2atMaa numeric
@attribute o2atMbb numeric
@attribute o2atLbb numeric
@attribute o2atLcc numeric
@attribute o2atMab numeric
@attribute o2atLab numeric
@attribute o2atMbc numeric
@attribute o2atLbc numeric
@attribute o2atMcb numeric
@attribute o2atLcb numeric
@attribute o2atMba numeric
@attribute o2atLba numeric
@attribute o3atLcc numeric
@attribute o3atMbc numeric
@attribute o3atLbc numeric
@attribute o3atMcb numeric
@attribute o3atLcb numeric
@attribute o3atMbb numeric
@attribute o3atLbb numeric
@attribute o3atMaa numeric
@attribute o3atMab numeric
@attribute o3atLab numeric
@attribute o3atMba numeric
@attribute o3atLba numeric
@attribute o3atMac numeric
@attribute o3atLac numeric
@attribute o3atMca numeric
@attribute o3atLca numeric
@attribute destClass {-1.0,1.0}

@data
6,23,15,14,15,7,24,7,15,16,15,16,24,7,15,7,10,21,20,3,11,21,25,7,24,6,10,20,16,14,17,14,17,13,31,0,0,31,0,31,0,17,0,17,1.0
0,31,2,26,28,0,31,0,27,3,28,4,31,0,27,0,0,16,31,10,0,31,19,13,18,12,0,31,12,17,14,17,14,15,31,0,0,31,0,31,0,14,0,14,1.0
7,20,12,17,18,9,22,9,18,13,17,13,22,8,18,9,4,11,26,16,5,27,13,18,13,18,4,26,2,28,4,27,3,26,24,1,4,27,4,27,4,4,4,3,1.0
11,18,26,1,3,12,19,12,3,28,2,28,19,11,3,12,23,31,7,0,24,8,31,0,31,0,23,7,21,7,25,6,24,3,31,0,0,31,0,31,0,25,0,24,-1.0
9,20,13,16,17,10,21,10,17,14,16,14,21,9,17,10,4,13,26,16,5,27,14,17,14,17,4,26,0,31,1,30,0,30,31,0,0,31,0,31,0,1,0,0,1.0
3,26,10,17,19,4,27,4,19,12,19,12,27,4,19,4,4,7,26,20,5,27,9,22,9,22,4,26,2,28,4,27,3,26,31,0,0,31,0,31,0,4,0,3,1.0
8,19,12,17,18,10,21,10,18,13,17,13,21,9,18,10,4,9,26,16,5,27,12,19,12,19,4,26,2,28,4,27,3,26,24,1,4,27,4,27,4,4,4,3,1.0
6,23,8,21,22,7,24,7,22,9,21,9,24,6,22,7,7,31,23,0,8,24,31,0,31,0,7,23,17,11,20,11,20,8,31,0,0,31,0,31,0,20,0,20,-1.0
8,21,19,10,11,9,22,9,11,20,10,20,22,8,11,9,14,29,14,0,16,16,30,1,30,1,15,15,24,6,26,5,25,4,31,0,0,31,0,31,0,26,0,25,-1.0
0,31,1,26,28,0,31,0,28,3,28,3,31,0,28,0,1,9,29,13,2,30,14,18,13,17,1,29,16,13,18,13,18,11,31,0,0,31,0,31,0,18,0,18,1.0
3,24,10,19,20,5,26,5,20,11,20,11,26,5,20,5,5,12,25,13,6,26,15,16,15,16,5,25,18,9,22,9,22,5,31,0,0,31,0,31,0,22,0,22,1.0
5,24,12,15,17,6,25,5,16,14,16,14,25,5,17,6,6,11,24,14,7,25,14,17,14,17,6,24,4,25,6,25,6,23,31,0,0,31,0,31,0,6,0,6,1.0
5,21,10,18,20,8,23,7,19,11,19,12,24,7,19,7,0,17,31,13,0,31,17,13,18,14,0,31,0,31,1,30,0,30,31,0,0,31,0,31,0,1,0,0,-1.0
6,21,11,18,19,8,23,8,19,12,18,12,23,7,19,8,4,7,26,23,5,27,8,24,7,23,4,26,3,27,5,26,4,25,31,0,0,31,0,31,0,5,0,4,1.0
1,28,6,22,24,2,29,2,23,7,23,8,29,1,23,2,0,7,31,16,0,31,11,20,11,20,0,31,7,22,10,21,9,19,31,0,0,31,0,31,0,10,0,9,1.0
8,19,12,17,18,10,21,10,18,13,17,13,21,9,18,10,4,14,26,13,5,27,16,15,16,15,4,26,3,27,5,26,4,25,31,0,0,31,0,31,0,5,0,4,1.0
6,23,14,13,15,7,24,7,15,16,15,16,24,7,15,7,19,27,11,2,20,12,28,3,28,3,19,11,11,19,13,18,12,17,31,0,0,31,0,31,0,13,0,12,-1.0
1,26,11,14,17,3,28,3,17,14,17,14,28,3,17,3,4,8,26,20,5,27,10,22,9,21,4,26,8,17,14,17,14,11,31,0,0,31,0,31,0,14,0,14,1.0
3,22,10,17,19,6,25,6,19,12,19,12,25,6,19,6,5,8,25,22,6,26,9,23,8,22,5,25,2,28,4,27,3,26,31,0,0,31,0,31,0,4,0,3,1.0
3,26,8,19,21,4,27,3,20,10,21,10,27,4,21,4,4,7,26,19,5,27,10,22,9,21,4,26,3,26,6,25,5,23,31,0,0,31,0,31,0,6,0,5,1.0
4,23,9,18,20,6,25,6,20,11,19,11,25,5,20,6,4,8,26,19,5,27,10,21,10,21,4,26,2,28,4,27,3,26,31,0,0,31,0,31,0,4,0,3,1.0
9,20,11,18,19,10,21,10,19,12,18,12,21,9,19,10,3,13,27,16,4,28,14,17,14,17,3,27,1,29,3,28,2,27,31,0,0,31,0,31,0,3,0,2,1.0
4,25,10,17,19,5,26,5,19,12,19,12,26,5,19,5,4,9,26,18,5,27,11,20,11,20,4,26,4,26,6,25,5,24,31,0,0,31,0,31,0,6,0,5,1.0
6,21,14,15,16,8,23,8,16,15,15,15,23,7,16,8,6,11,24,17,7,25,13,19,12,18,6,24,1,29,3,28,2,27,25,0,3,28,3,28,3,3,3,2,1.0
4,25,5,23,25,5,26,4,23,6,24,7,26,4,24,5,0,3,31,24,0,31,5,26,5,26,0,31,4,27,5,26,4,26,31,0,0,31,0,31,0,5,0,4,-1.0
4,25,5,23,25,5,26,5,24,6,24,7,26,4,24,5,0,8,31,13,0,31,13,18,13,18,0,31,5,24,8,23,7,21,29,0,1,30,1,30,1,8,1,7,1.0
8,19,12,17,18,10,21,10,18,13,17,13,21,9,18,10,5,15,25,14,6,26,16,15,16,15,5,25,2,28,4,27,3,26,31,0,0,31,0,31,0,4,0,3,1.0
4,25,14,15,16,5,26,5,16,15,15,15,26,4,16,5,15,27,15,1,16,16,29,3,28,2,15,15,22,7,25,6,24,4,31,0,0,31,0,31,0,25,0,24,1.0
3,24,10,17,19,5,26,5,19,12,19,12,26,5,19,5,4,8,26,19,5,27,10,21,10,21,4,26,4,26,6,25,5,24,31,0,0,31,0,31,0,6,0,5,1.0
8,21,16,13,14,9,22,9,14,17,13,17,22,8,14,9,13,31,17,0,14,18,31,0,31,0,13,17,15,15,17,14,16,13,31,0,0,31,0,31,0,17,0,16,1.0
6,23,17,12,13,7,24,7,13,18,13,18,24,7,13,7,17,22,13,8,18,14,23,9,22,8,17,13,25,5,25,5,26,4,27,2,2,28,3,28,3,26,3,26,1.0
3,26,9,18,20,4,27,4,20,11,20,11,27,4,20,4,4,7,26,19,5,27,10,22,9,21,4,26,4,24,7,24,7,21,31,0,0,31,0,31,0,7,0,7,1.0
8,21,19,10,11,9,22,9,11,20,11,20,22,9,11,9,17,26,13,4,18,14,27,5,26,4,17,13,27,2,29,2,29,0,31,0,0,31,0,31,0,29,0,29,-1.0
4,25,6,23,24,5,26,5,24,7,23,7,26,4,24,5,0,12,31,16,0,31,14,18,13,17,0,31,14,12,19,12,19,7,31,0,0,31,0,31,0,19,0,19,-1.0
8,19,12,17,18,10,21,10,18,13,17,13,21,9,18,10,5,9,25,18,6,26,11,20,11,20,5,25,3,27,5,26,4,25,31,0,0,31,0,31,0,5,0,4,1.0
9,20,10,19,20,10,21,10,20,11,19,11,21,9,20,10,0,18,30,11,1,31,19,12,19,12,0,30,0,31,1,30,0,30,31,0,0,31,0,31,0,1,0,0,-1.0
6,19,18,11,12,9,22,9,12,19,11,19,22,8,12,9,19,31,11,0,20,12,31,0,31,0,19,11,9,22,10,21,9,21,31,0,0,31,0,31,0,10,0,9,-1.0
6,21,12,15,17,8,23,8,17,14,16,14,23,7,17,8,5,11,25,18,6,26,12,19,12,19,5,25,2,28,4,27,3,26,31,0,0,31,0,31,0,4,0,3,1.0
3,26,9,19,21,4,27,4,20,10,21,11,27,4,20,4,0,25,31,4,0,31,26,5,26,5,0,31,6,23,9,22,8,20,31,0,0,31,0,31,0,9,0,8,-1.0
8,19,14,15,16,10,21,10,16,15,15,15,21,9,16,10,5,18,25,7,6,26,21,10,21,10,5,25,0,31,1,30,0,30,31,0,0,31,0,31,0,1,0,0,1.0
9,18,14,15,16,11,20,11,16,15,15,15,20,10,16,11,8,16,22,12,9,23,18,14,17,13,8,22,12,18,13,18,13,17,31,0,0,31,0,31,0,13,0,13,1.0
9,20,11,18,19,10,21,10,19,12,18,12,21,9,19,10,4,13,26,16,5,27,14,17,14,17,4,26,0,30,2,29,1,28,31,0,0,31,0,31,0,2,0,1,1.0
0,31,1,26,28,0,31,0,28,3,28,3,31,0,28,0,10,16,20,14,11,21,17,15,16,14,10,20,31,0,31,0,31,0,31,0,0,31,0,31,0,31,0,31,-1.0
8,19,11,18,19,10,21,10,19,12,18,12,21,9,19,10,5,11,25,18,6,26,12,19,12,19,5,25,2,28,4,27,3,26,31,0,0,31,0,31,0,4,0,3,1.0
6,21,12,17,18,8,23,8,18,13,17,13,23,7,18,8,6,10,24,17,7,25,12,19,12,19,6,24,4,26,6,25,5,24,31,0,0,31,0,31,0,6,0,5,1.0
4,25,7,21,23,5,26,5,22,8,22,9,26,4,22,5,0,3,31,20,0,31,7,24,7,24,0,31,6,25,7,24,6,24,31,0,0,31,0,31,0,7,0,6,-1.0
6,23,21,8,9,7,24,7,9,22,9,22,24,7,9,7,19,26,11,4,20,12,27,5,26,4,19,11,29,1,30,1,30,0,31,0,0,31,0,31,0,30,0,30,-1.0
8,19,11,18,19,10,21,10,19,12,18,12,21,9,19,10,5,11,25,16,6,26,13,18,13,18,5,25,4,26,6,25,5,24,31,0,0,31,0,31,0,6,0,5,1.0
4,25,10,17,19,5,26,5,19,12,18,12,26,4,19,5,4,10,26,15,5,27,13,18,13,18,4,26,5,25,7,24,6,23,31,0,0,31,0,31,0,7,0,6,1.0
9,18,13,16,17,11,20,11,17,14,16,14,20,10,17,11,5,13,25,16,6,26,14,17,14,17,5,25,2,28,4,27,3,26,27,0,2,29,2,29,2,4,2,3,1.0
5,22,11,17,19,7,24,7,18,12,18,13,24,6,18,7,0,25,31,4,0,31,26,5,26,5,0,31,3,27,5,26,4,25,31,0,0,31,0,31,0,5,0,4,-1.0
9,18,20,9,10,11,20,11,10,21,9,21,20,10,10,11,18,25,12,5,19,13,26,6,25,5,18,12,5,25,6,25,6,24,31,0,0,31,0,31,0,6,0,6,1.0
3,24,9,18,20,5,26,5,20,11,20,11,26,5,20,5,5,7,25,21,6,26,9,23,8,22,5,25,5,24,8,23,7,21,31,0,0,31,0,31,0,8,0,7,1.0
2,27,9,18,20,3,28,3,20,11,20,11,28,3,20,3,6,9,24,21,7,25,10,22,9,21,6,24,15,15,16,15,16,14,31,0,0,31,0,31,0,16,0,16,1.0
0,31,5,21,24,0,31,0,23,7,24,8,31,0,23,0,0,15,31,12,0,31,17,14,17,14,0,31,11,18,14,17,13,15,31,0,0,31,0,31,0,14,0,13,-1.0
3,26,10,17,19,4,27,4,19,12,19,12,27,4,19,4,5,10,25,20,6,26,11,21,10,20,5,25,13,15,16,15,16,12,31,0,0,31,0,31,0,16,0,16,1.0
5,22,10,19,20,7,24,7,20,11,20,11,24,7,20,7,1,8,29,21,2,30,9,22,9,22,1,29,2,28,4,27,3,26,31,0,0,31,0,31,0,4,0,3,1.0
7,20,12,17,18,9,22,9,18,13,17,13,22,8,18,9,5,12,25,17,6,26,13,18,13,18,5,25,4,26,6,25,5,24,31,0,0,31,0,31,0,6,0,5,1.0
8,19,13,16,17,10,21,10,17,14,16,14,21,9,17,10,5,16,25,11,6,26,18,13,18,13,5,25,2,28,4,27,3,26,31,0,0,31,0,31,0,4,0,3,1.0
5,24,13,16,17,6,25,6,17,14,17,14,25,6,17,6,12,25,18,5,13,19,26,6,25,5,12,18,24,4,27,4,27,1,31,0,0,31,0,31,0,27,0,27,1.0
8,19,12,17,18,10,21,10,18,13,17,13,21,9,18,10,4,9,26,11,5,27,15,17,14,16,4,26,1,29,3,28,2,27,31,0,0,31,0,31,0,3,0,2,1.0
7,22,16,13,14,8,23,8,14,17,13,17,23,7,14,8,16,22,12,5,18,14,24,7,24,7,17,13,25,5,25,5,26,4,27,2,2,28,3,28,3,26,3,26,-1.0
3,26,9,18,20,4,27,4,20,11,20,11,27,4,20,4,5,10,25,20,6,26,11,21,10,20,5,25,12,17,14,17,14,15,31,0,0,31,0,31,0,14,0,14,1.0
3,24,9,18,20,5,26,5,20,11,19,11,26,4,20,5,4,6,26,24,5,27,7,25,6,24,4,26,4,24,7,24,7,21,31,0,0,31,0,31,0,7,0,7,1.0
4,25,10,17,19,5,26,5,19,12,18,12,26,4,19,5,3,11,27,12,4,28,15,16,15,16,3,27,6,24,8,23,7,22,31,0,0,31,0,31,0,8,0,7,1.0
4,23,12,15,17,6,25,6,17,14,16,14,25,5,17,6,4,11,26,16,5,27,13,18,13,18,4,26,0,31,1,30,0,30,29,0,1,30,1,30,1,1,1,0,1.0
3,26,10,17,19,4,27,4,19,12,19,12,27,4,19,4,4,8,26,20,5,27,10,22,9,21,4,26,3,27,5,26,4,25,31,0,0,31,0,31,0,5,0,4,1.0
9,18,14,15,16,11,20,11,16,15,15,15,20,10,16,11,6,14,24,11,7,25,17,14,17,14,6,24,0,31,1,30,0,30,21,2,6,25,6,25,6,1,6,0,1.0
5,24,15,14,15,6,25,6,15,16,15,16,25,6,15,6,12,29,18,0,13,19,30,1,30,1,12,18,26,5,27,4,26,4,31,0,0,31,0,31,0,27,0,26,1.0
6,21,10,19,20,8,23,8,20,11,19,11,23,7,20,8,2,23,28,4,3,29,25,6,25,6,2,28,8,22,10,21,9,20,31,0,0,31,0,31,0,10,0,9,1.0
1,28,7,21,23,2,29,2,22,8,22,9,29,1,22,2,0,7,31,23,0,31,7,23,8,24,0,31,4,26,6,25,4,24,29,0,1,30,0,30,1,6,1,5,1.0
5,24,13,16,17,6,25,6,17,14,16,14,25,5,17,6,5,13,25,14,6,26,15,16,15,16,5,25,1,28,4,27,3,25,31,0,0,31,0,31,0,4,0,3,1.0
5,24,8,21,22,6,25,6,22,9,21,9,25,5,22,6,9,14,21,16,10,22,15,17,14,16,9,21,1,29,2,29,2,28,31,0,0,31,0,31,0,2,0,2,-1.0
9,20,20,9,10,10,21,10,10,21,9,21,21,9,10,10,17,23,13,7,18,14,24,8,23,7,17,13,26,3,28,3,28,1,31,0,0,31,0,31,0,28,0,28,-1.0
7,22,12,13,16,8,23,8,16,15,15,15,23,7,16,8,15,23,15,5,16,16,25,7,24,6,15,15,16,12,19,12,19,9,31,0,0,31,0,31,0,19,0,19,-1.0
5,24,9,19,21,6,25,6,20,10,20,11,25,5,20,6,0,22,31,6,0,31,23,7,24,8,0,31,3,27,5,26,4,25,31,0,0,31,0,31,0,5,0,4,-1.0
5,22,11,16,18,7,24,6,17,13,17,13,24,6,18,7,4,11,26,10,5,27,16,15,16,15,4,26,3,27,5,26,4,25,31,0,0,31,0,31,0,5,0,4,1.0
5,22,12,17,18,7,24,7,18,13,17,13,24,6,18,7,1,16,29,3,2,30,22,9,22,9,1,29,2,28,4,27,3,26,31,0,0,31,0,31,0,4,0,3,-1.0
6,21,11,18,19,8,23,8,19,12,18,12,23,7,19,8,0,11,30,14,1,31,14,17,14,17,0,30,2,27,5,26,4,24,31,0,0,31,0,31,0,5,0,4,1.0
9,20,20,9,10,10,21,10,10,21,9,21,21,9,10,10,22,31,8,0,23,9,31,0,31,0,22,8,27,3,29,2,28,1,31,0,0,31,0,31,0,29,0,28,-1.0
3,26,8,19,21,4,27,4,21,10,20,10,27,3,21,4,5,10,25,20,6,26,11,21,10,20,5,25,16,14,17,14,17,13,31,0,0,31,0,31,0,17,0,17,1.0
5,24,13,14,16,6,25,6,16,15,16,15,25,6,16,6,6,9,24,21,7,25,10,22,9,21,6,24,2,27,4,27,4,25,31,0,0,31,0,31,0,4,0,4,1.0
0,31,7,18,21,0,31,0,21,10,21,10,31,0,21,0,13,18,17,12,14,18,19,13,18,12,13,17,31,0,31,0,31,0,31,0,0,31,0,31,0,31,0,31,-1.0
5,24,13,14,16,6,25,6,16,15,15,15,25,5,16,6,9,31,21,0,10,22,31,0,31,0,9,21,16,13,19,12,18,10,31,0,0,31,0,31,0,19,0,18,1.0
7,22,17,12,13,8,23,8,13,18,12,18,23,7,13,8,17,22,13,8,18,14,23,9,22,8,17,13,24,5,25,5,26,3,29,0,0,30,1,30,1,26,1,26,1.0
4,25,6,22,24,5,26,5,23,7,23,8,26,4,23,5,0,12,31,17,0,31,13,18,13,18,0,31,2,28,4,27,3,26,31,0,0,31,0,31,0,4,0,3,-1.0
4,25,12,15,17,5,26,5,17,14,17,14,26,5,17,5,7,21,23,8,8,24,22,9,22,9,7,23,19,10,21,10,21,8,31,0,0,31,0,31,0,21,0,21,-1.0
3,26,9,18,20,4,27,4,20,11,20,11,27,4,20,4,5,11,25,15,6,26,14,18,13,17,5,25,9,18,13,18,13,14,31,0,0,31,0,31,0,13,0,13,1.0
3,26,5,24,25,4,27,4,25,6,25,6,27,4,25,4,5,7,25,23,6,26,8,24,7,23,5,25,7,21,10,21,10,18,31,0,0,31,0,31,0,10,0,10,1.0
6,21,10,17,19,8,23,8,19,12,19,12,23,8,19,8,5,10,25,15,6,26,13,18,13,18,5,25,3,27,5,26,4,25,31,0,0,31,0,31,0,5,0,4,1.0
4,25,9,18,20,5,26,5,20,11,19,11,26,4,20,5,4,11,26,12,5,27,15,16,15,16,4,26,4,25,7,24,6,22,31,0,0,31,0,31,0,7,0,6,1.0
6,23,16,13,14,7,24,7,14,17,14,17,24,7,14,7,17,29,13,0,18,14,30,1,30,1,17,13,20,9,23,8,22,6,31,0,0,31,0,31,0,23,0,22,1.0
8,19,11,18,19,10,21,10,19,12,18,12,21,9,19,10,4,8,26,21,5,27,9,22,9,22,4,26,3,27,5,26,4,25,31,0,0,31,0,31,0,5,0,4,1.0
8,19,16,13,14,10,21,10,14,17,14,17,21,10,14,10,20,31,10,0,21,11,31,0,31,0,20,10,10,21,11,20,10,20,31,0,0,31,0,31,0,11,0,10,-1.0
3,26,9,18,20,4,27,4,20,11,20,11,27,4,20,4,5,9,25,21,6,26,10,22,9,21,5,25,3,26,5,26,5,24,31,0,0,31,0,31,0,5,0,5,1.0
5,24,14,15,16,6,25,6,16,15,15,15,25,5,16,6,14,22,16,7,15,17,23,8,23,8,14,16,19,11,21,10,20,9,31,0,0,31,0,31,0,21,0,20,1.0
4,23,10,19,20,6,25,6,20,11,19,11,25,5,20,6,3,7,27,19,4,28,10,22,9,21,3,27,5,25,7,24,6,23,31,0,0,31,0,31,0,7,0,6,1.0
8,19,11,18,19,10,21,10,19,12,18,12,21,9,19,10,5,13,25,14,6,26,15,16,15,16,5,25,1,29,3,28,2,27,31,0,0,31,0,31,0,3,0,2,1.0
9,20,20,9,10,10,21,10,10,21,9,21,21,9,10,10,16,31,14,0,17,15,31,0,31,0,16,14,10,16,15,16,15,11,31,0,0,31,0,31,0,15,0,15,-1.0
6,21,10,18,20,8,23,8,19,11,19,12,23,7,19,8,0,11,31,16,0,31,13,18,13,18,0,31,1,29,3,28,2,27,27,0,2,29,2,29,2,3,2,2,-1.0
0,31,3,25,27,0,31,0,26,4,27,5,31,0,26,0,0,9,31,11,0,31,15,17,14,16,0,31,11,18,13,18,13,16,31,0,0,31,0,31,0,13,0,13,1.0
0,31,0,31,31,0,31,0,31,0,31,0,31,0,31,0,1,12,29,16,2,30,14,18,13,17,1,29,18,11,20,11,20,9,31,0,0,31,0,31,0,20,0,20,-1.0
6,23,11,16,18,7,24,7,18,13,17,13,24,6,18,7,18,31,12,0,19,13,31,0,31,0,18,12,26,5,27,4,26,4,31,0,0,31,0,31,0,27,0,26,-1.0
12,17,28,0,2,13,18,13,1,29,1,30,18,12,1,13,20,31,8,0,21,9,31,0,31,0,22,10,15,16,16,15,15,15,25,5,6,26,5,25,6,16,5,15,-1.0
5,24,15,14,15,6,25,6,15,16,14,16,25,5,15,6,12,26,18,1,13,19,28,3,28,3,12,18,24,5,27,4,26,2,31,0,0,31,0,31,0,27,0,26,1.0
5,22,8,19,21,7,24,6,20,10,20,10,24,6,21,7,4,8,26,22,5,27,9,23,8,22,4,26,4,25,6,25,6,23,31,0,0,31,0,31,0,6,0,6,1.0
3,26,10,19,20,4,27,4,20,11,19,11,27,3,20,4,5,9,25,21,6,26,10,22,9,21,5,25,14,15,16,15,16,13,31,0,0,31,0,31,0,16,0,16,1.0
4,25,6,22,24,5,26,5,23,7,23,8,26,4,23,5,0,1,31,27,0,31,3,29,2,28,0,31,9,20,11,20,11,18,31,0,0,31,0,31,0,11,0,11,-1.0
4,25,6,22,24,5,26,5,23,7,23,8,26,4,23,5,0,11,31,14,0,31,14,17,14,17,0,31,6,23,8,23,8,21,29,0,1,30,1,30,1,8,1,8,1.0
12,16,15,13,15,14,17,13,14,16,14,17,18,13,14,13,0,29,31,1,0,31,29,1,30,2,0,31,4,26,6,25,5,24,31,0,0,31,0,31,0,6,0,5,-1.0
7,20,12,17,18,9,22,9,18,13,17,13,22,8,18,9,3,9,27,20,4,28,10,21,10,21,3,27,1,29,3,28,2,27,31,0,0,31,0,31,0,3,0,2,1.0
3,26,7,20,22,4,27,4,22,9,22,9,27,4,22,4,4,8,26,22,5,27,9,23,8,22,4,26,11,17,14,17,14,14,31,0,0,31,0,31,0,14,0,14,1.0
4,25,11,16,18,5,26,4,17,13,18,13,26,5,18,5,5,7,25,18,6,26,10,21,10,21,5,25,3,26,5,26,5,24,31,0,0,31,0,31,0,5,0,5,1.0
1,26,10,16,19,3,28,3,18,12,18,13,28,2,18,3,0,17,31,5,0,31,21,9,22,10,0,31,5,24,7,23,6,21,21,2,5,25,5,25,6,8,6,7,1.0
0,31,5,23,25,0,31,0,24,6,25,7,31,0,24,0,0,5,31,12,0,31,12,19,12,19,0,31,9,20,10,20,11,18,28,1,1,29,2,29,2,11,2,11,1.0
7,22,13,16,17,8,23,8,17,14,16,14,23,7,17,8,14,25,16,3,15,17,27,5,26,4,14,16,29,1,30,1,30,0,31,0,0,31,0,31,0,30,0,30,-1.0
3,26,10,19,20,4,27,4,20,11,20,11,27,4,20,4,5,23,25,4,6,26,25,6,25,6,5,25,26,4,28,3,27,2,31,0,0,31,0,31,0,28,0,27,1.0
5,24,7,22,23,6,25,6,23,8,22,8,25,5,23,6,0,5,31,24,0,31,6,25,6,25,0,31,1,30,2,29,1,29,31,0,0,31,0,31,0,2,0,1,-1.0
3,26,9,18,20,4,27,4,20,11,20,11,27,4,20,4,5,9,25,21,6,26,10,22,9,21,5,25,7,22,9,22,9,20,31,0,0,31,0,31,0,9,0,9,1.0
2,27,9,18,20,3,28,3,20,11,20,11,28,3,20,3,5,8,25,22,6,26,9,23,8,22,5,25,8,20,11,20,11,17,31,0,0,31,0,31,0,11,0,11,1.0
3,26,5,20,23,4,27,4,23,8,23,8,27,4,23,4,4,7,26,23,5,27,8,24,7,23,4,26,3,27,5,26,4,25,31,0,0,31,0,31,0,5,0,4,1.0
9,20,19,10,11,10,21,10,11,20,10,20,21,9,11,10,18,31,12,0,19,13,31,0,31,0,18,12,21,7,25,6,24,3,31,0,0,31,0,31,0,25,0,24,-1.0
6,21,10,19,20,8,23,8,20,11,19,11,23,7,20,8,0,15,31,10,0,31,18,13,18,13,0,31,3,27,5,26,4,25,31,0,0,31,0,31,0,5,0,4,-1.0
0,31,5,24,25,0,31,0,25,6,25,6,31,0,25,0,0,21,30,2,1,31,25,6,25,6,0,30,10,19,13,18,12,16,31,0,0,31,0,31,0,13,0,12,1.0
7,22,15,14,15,8,23,8,15,16,14,16,23,7,15,8,13,29,17,0,14,18,30,1,30,1,13,17,13,17,15,16,14,15,31,0,0,31,0,31,0,15,0,14,1.0
3,26,6,21,23,4,27,4,23,8,22,8,27,3,23,4,4,8,26,22,5,27,9,23,8,22,4,26,10,18,13,18,13,15,31,0,0,31,0,31,0,13,0,13,1.0
4,23,10,19,20,6,25,6,20,11,19,11,25,5,20,6,4,7,26,23,5,27,8,24,7,23,4,26,7,22,9,22,9,20,31,0,0,31,0,31,0,9,0,9,1.0
