@relation 'Sax dominant'

@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atLee numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMaa numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute destClass {-1,1}

@data
83,36,5,32,74,50,52,16,87,7,36,57,18,77,53,39,18,41,86,7,53,40,37,57,18,76,18,58,55,8,54,8,18,57,19,9,37,40,37,8,38,8,37,40,18,40,1.0
85,41,7,30,76,47,62,16,87,8,31,63,17,78,50,44,18,45,86,8,50,44,31,63,17,77,17,64,51,9,50,8,17,63,18,9,32,44,31,8,32,9,31,44,17,44,-1.0
84,35,6,32,77,53,56,15,87,7,35,59,16,79,55,38,16,39,86,8,56,38,35,59,16,78,16,60,57,8,56,8,16,59,17,9,35,38,35,8,36,8,35,38,16,38,1.0
84,39,4,23,73,47,67,17,88,7,24,69,19,76,51,42,20,44,87,7,51,42,24,69,19,75,19,70,52,8,51,7,19,69,20,8,26,43,25,7,26,8,25,43,19,43,1.0
85,38,3,29,76,48,53,16,89,6,34,59,17,78,52,41,18,43,88,6,52,41,34,59,17,77,17,60,53,7,52,6,17,59,18,7,36,42,35,6,36,7,35,42,17,42,1.0
79,37,11,31,67,43,61,25,82,13,32,62,26,69,50,44,26,45,81,12,49,44,32,62,26,68,26,63,51,13,50,13,26,62,27,14,32,44,32,13,33,13,32,44,26,44,-1.0
81,42,7,32,73,46,58,19,85,11,34,60,20,75,50,45,21,46,84,10,49,45,34,60,20,74,20,61,50,11,49,10,20,60,21,11,35,45,34,10,35,11,34,45,20,45,-1.0
80,48,10,34,72,40,58,18,83,12,35,60,21,75,43,51,21,52,82,12,43,50,34,59,20,74,21,60,44,12,43,12,20,59,21,13,35,52,35,12,36,13,35,51,20,51,1.0
87,58,3,25,70,32,65,22,90,5,28,67,23,72,34,61,24,61,89,4,33,59,26,67,23,71,24,68,35,6,34,4,23,67,24,6,28,61,27,5,28,6,26,60,23,60,1.0
80,30,4,23,75,52,61,15,86,9,28,65,16,78,58,36,18,37,85,8,57,35,27,66,17,77,17,67,59,10,58,9,17,66,18,10,29,36,28,9,29,10,28,36,17,36,1.0
77,23,11,18,75,61,74,17,81,12,19,75,18,77,64,28,18,29,80,13,65,28,19,74,17,76,18,76,67,14,66,14,18,75,19,15,19,28,19,14,20,14,19,28,18,28,-1.0
87,40,3,25,74,46,65,18,90,4,27,67,19,76,49,44,20,45,89,4,49,42,25,67,19,75,19,68,51,6,50,4,19,67,20,6,28,44,27,5,28,6,26,44,19,44,1.0
89,41,3,24,76,37,66,16,91,4,25,68,17,78,45,48,18,50,90,4,45,48,25,68,17,77,17,69,46,4,45,4,17,68,18,5,26,49,26,4,27,5,26,49,17,49,1.0
85,46,5,23,77,42,69,15,88,7,24,70,16,79,45,49,16,50,87,7,45,49,24,70,16,78,16,71,46,7,45,7,16,70,17,8,24,49,24,7,25,7,24,49,16,49,1.0
81,35,7,39,74,49,51,14,85,11,42,53,17,78,55,41,18,41,84,10,54,40,41,53,17,77,18,54,55,11,54,10,17,53,18,11,42,41,41,10,42,11,41,40,17,40,-1.0
87,47,1,23,74,31,65,16,91,4,26,68,18,77,39,55,19,56,90,4,39,55,26,68,18,76,18,69,40,5,39,4,18,68,19,5,27,55,26,4,27,5,26,55,18,55,1.0
84,38,6,23,70,46,67,20,87,8,26,68,21,73,51,44,23,44,86,7,50,43,25,68,21,72,23,70,52,9,51,8,22,69,23,9,26,44,25,8,26,9,25,43,22,43,1.0
77,35,7,25,69,47,65,19,83,12,28,66,21,73,53,42,23,42,82,11,52,40,26,67,22,72,23,68,54,13,53,11,22,67,23,13,28,42,27,12,28,13,26,41,22,41,1.0
84,37,4,30,74,49,56,18,88,7,34,60,19,76,53,41,20,42,87,7,53,40,33,60,19,75,19,61,54,8,53,7,19,60,20,8,35,41,34,7,35,8,34,41,19,41,1.0
85,37,5,24,75,49,64,17,88,6,27,67,18,77,52,41,18,42,87,7,53,41,27,67,18,76,18,68,54,7,53,7,18,67,19,8,27,41,27,7,28,7,27,41,18,41,1.0
85,38,5,24,72,46,66,20,88,7,26,68,21,74,51,43,22,44,87,6,50,42,25,68,21,73,22,69,52,8,51,6,21,68,22,8,27,44,26,7,27,8,25,43,21,43,1.0
85,34,5,30,77,50,54,13,88,7,33,59,15,80,55,37,16,40,87,6,54,39,35,59,15,79,15,60,56,7,55,7,15,59,16,8,35,39,35,7,36,8,35,39,15,39,1.0
87,43,5,23,73,47,69,19,89,6,24,70,20,75,49,45,20,46,88,5,48,44,23,70,20,74,20,71,50,6,49,5,20,70,21,7,24,45,24,6,25,6,23,45,20,45,-1.0
80,37,6,26,72,45,62,18,85,10,28,65,20,75,51,42,21,44,84,8,49,43,29,64,19,74,20,66,52,10,51,10,20,65,21,11,29,43,29,10,30,11,29,43,20,43,1.0
84,39,6,25,76,49,63,16,87,7,28,66,17,78,51,42,17,43,86,8,52,42,28,66,17,77,17,67,53,8,52,8,17,66,18,9,28,42,28,8,29,8,28,42,17,42,1.0
74,42,16,32,71,48,58,21,77,17,34,60,22,73,49,44,22,45,76,18,50,44,34,60,22,72,22,61,51,18,50,18,22,60,23,19,34,44,34,18,35,18,34,44,22,44,1.0
84,40,6,23,73,46,65,19,87,9,26,68,20,75,51,44,21,45,86,7,49,44,26,68,20,74,20,69,51,9,50,8,20,68,21,9,27,44,26,8,27,9,26,44,20,44,1.0
82,45,8,29,75,39,63,17,85,10,30,64,18,77,44,50,19,51,84,10,44,50,30,64,18,76,18,65,45,11,44,10,18,64,19,11,31,50,30,10,31,11,30,50,18,50,1.0
79,43,11,33,69,47,57,19,82,13,34,58,21,73,49,44,22,46,81,13,49,45,35,59,22,72,21,60,50,13,49,13,22,59,23,14,35,44,35,13,36,13,35,45,22,45,1.0
83,44,3,24,69,40,66,21,88,8,26,67,22,72,46,49,24,50,87,6,44,49,26,67,22,71,23,69,46,8,45,7,23,68,24,8,27,49,26,7,27,8,26,49,23,49,1.0
86,46,6,32,72,46,60,20,88,8,33,61,21,74,48,47,22,48,87,7,47,47,33,61,21,73,21,62,48,8,47,7,21,61,22,8,34,47,33,7,34,8,33,47,21,47,-1.0
90,53,2,25,73,33,67,17,92,4,26,68,19,76,38,57,20,58,91,3,37,56,25,68,19,75,19,69,38,4,37,3,19,68,20,4,27,57,26,3,27,4,26,57,19,57,-1.0
79,38,7,26,73,48,60,19,84,10,29,64,20,75,51,41,21,43,83,10,51,41,29,64,20,74,20,65,53,11,52,11,20,64,21,12,30,42,30,11,31,12,30,42,20,42,1.0
84,27,6,21,77,61,71,15,87,7,22,72,16,79,63,30,16,31,86,8,64,30,22,72,16,78,16,73,65,8,64,8,16,72,17,9,22,30,22,8,23,8,22,30,16,30,-1.0
79,22,11,34,74,64,58,18,82,13,35,59,19,76,68,26,19,27,81,12,67,26,35,59,19,75,19,60,69,13,68,13,19,59,20,14,35,26,35,13,36,13,35,26,19,26,-1.0
85,36,5,24,77,50,66,15,88,5,26,68,16,79,52,40,16,41,87,7,54,40,26,68,16,78,16,69,55,7,54,7,16,68,17,8,26,40,26,7,27,7,26,40,16,40,1.0
87,32,3,20,75,46,70,17,90,5,22,72,18,77,54,40,19,41,89,4,53,38,20,72,18,76,19,73,55,6,54,4,18,72,19,6,23,41,22,5,23,6,21,40,18,40,-1.0
84,41,6,23,76,47,69,16,87,8,24,70,17,78,50,44,17,45,86,8,50,44,24,70,17,77,17,71,51,8,50,8,17,70,18,9,24,44,24,8,25,8,24,44,17,44,1.0
87,44,5,26,73,46,64,17,89,5,28,66,19,76,47,46,19,47,88,6,48,46,28,66,19,75,19,67,49,6,48,6,19,66,20,7,28,46,28,6,29,6,28,46,19,46,1.0
84,35,8,25,76,53,67,16,86,9,26,68,17,78,56,38,17,39,85,9,56,38,26,68,17,77,17,69,57,9,56,9,17,68,18,10,26,38,26,9,27,9,26,38,17,38,1.0
73,48,13,41,71,46,51,19,78,18,43,52,21,74,47,49,22,49,77,17,46,48,42,51,20,73,22,53,47,18,46,17,21,52,22,18,43,49,42,17,43,18,42,48,21,48,-1.0
83,40,3,24,73,46,68,19,88,7,25,69,20,75,50,44,21,45,87,7,50,44,25,69,20,74,20,70,51,8,50,7,20,69,21,8,26,44,25,7,26,8,25,44,20,44,1.0
87,39,3,25,73,45,67,19,90,5,26,68,20,75,50,44,21,45,89,4,49,44,26,68,20,74,20,69,51,6,50,5,20,68,21,6,27,44,26,5,27,6,26,44,20,44,1.0
78,39,8,22,74,51,66,18,83,12,25,69,19,76,53,41,19,42,82,11,52,41,25,69,19,75,19,70,54,12,53,12,19,69,20,13,25,41,25,12,26,12,25,41,19,41,-1.0
85,49,5,33,71,43,57,21,88,8,35,59,22,73,45,50,23,51,87,7,44,50,35,59,22,72,22,60,45,8,44,7,22,59,23,8,36,50,35,7,36,8,35,50,22,50,-1.0
85,45,5,26,73,43,66,19,88,7,27,67,20,75,46,48,21,49,87,7,46,47,26,67,20,74,20,68,47,8,46,7,20,67,21,8,28,48,27,7,28,8,27,48,20,48,1.0
82,41,6,25,72,45,65,18,86,9,27,66,19,75,49,45,21,46,85,9,49,44,26,66,19,74,20,68,50,10,49,9,19,67,21,10,28,45,27,9,28,10,27,44,20,45,1.0
84,36,4,33,76,50,53,16,88,6,35,57,17,78,53,38,18,41,87,6,53,40,37,57,17,77,17,58,55,6,54,7,17,57,18,8,36,40,37,7,38,8,37,40,17,40,1.0
86,24,4,18,78,58,74,14,89,5,19,75,15,80,63,30,15,31,88,5,63,29,18,75,15,79,15,76,65,6,64,6,15,75,16,7,19,30,19,6,20,6,19,30,15,30,-1.0
87,33,5,32,75,53,60,17,89,6,33,61,18,77,57,37,19,38,88,6,57,37,33,61,18,76,18,62,58,7,57,6,18,61,19,7,34,37,33,6,34,7,33,37,18,37,1.0
83,41,5,24,72,45,66,20,87,8,25,68,21,74,49,44,22,46,86,8,49,44,25,68,21,73,21,69,50,9,49,8,21,68,22,9,27,45,26,8,27,9,26,45,21,45,1.0
87,45,3,26,69,39,64,23,90,5,29,66,24,71,44,51,25,51,89,5,44,49,27,66,24,70,25,67,45,6,44,5,24,66,25,6,29,51,28,5,29,6,28,50,24,50,1.0
88,45,4,25,74,39,65,18,90,5,28,67,19,76,44,51,20,51,89,5,44,50,27,67,19,75,20,68,45,6,44,5,19,67,20,6,28,51,27,5,28,6,27,50,19,50,-1.0
85,45,5,26,69,39,64,21,88,7,29,66,23,72,44,51,24,51,87,6,43,50,28,65,22,71,24,67,45,8,44,7,23,66,24,8,29,51,28,7,29,8,28,50,23,50,1.0
88,46,2,22,75,36,68,17,91,4,23,70,18,77,42,51,19,53,90,3,41,51,23,70,18,76,18,71,43,5,42,4,18,70,19,5,25,52,24,4,25,5,24,52,18,52,1.0
84,38,6,24,74,44,68,18,87,6,25,69,19,76,48,44,19,45,86,8,50,44,25,69,19,75,19,70,51,8,50,8,19,69,20,9,25,44,25,8,26,8,25,44,19,44,1.0
86,34,4,24,76,52,66,16,89,4,26,68,17,78,54,38,17,39,88,6,56,38,26,68,17,77,17,69,57,6,56,6,17,68,18,7,26,38,26,6,27,6,26,38,17,38,1.0
76,47,14,38,68,43,54,24,79,17,40,55,25,70,46,50,26,50,78,16,45,49,39,55,25,69,26,56,46,17,45,16,25,55,26,17,40,50,39,16,40,17,39,49,25,49,1.0
79,37,7,24,74,47,64,18,84,10,26,67,19,76,51,41,20,43,83,10,51,41,26,67,19,75,19,68,53,11,52,11,19,67,20,12,27,42,27,11,28,12,27,42,19,42,1.0
75,41,13,40,70,47,48,20,79,16,42,50,21,73,50,43,22,45,78,16,50,44,43,51,22,72,21,52,51,16,50,16,22,51,23,17,43,43,43,16,44,16,43,44,22,44,-1.0
83,41,3,24,68,45,66,22,88,6,27,67,23,71,48,46,25,46,87,6,48,45,26,67,23,70,25,69,50,8,49,7,24,68,25,8,27,46,26,7,27,8,26,45,24,45,1.0
81,42,5,23,76,46,67,16,86,9,25,69,17,78,49,45,18,46,85,8,48,45,25,69,17,77,17,70,50,10,49,9,17,69,18,10,26,45,25,9,26,10,25,45,17,45,1.0
87,40,3,25,70,40,65,20,90,6,27,67,22,73,48,47,23,48,89,4,46,46,26,66,21,72,22,68,48,6,47,4,22,67,23,6,28,47,27,5,28,6,26,47,22,47,1.0
86,35,4,36,77,49,52,15,89,6,37,55,16,79,54,38,17,41,88,6,54,39,38,55,16,78,16,56,55,6,54,6,16,55,17,7,39,40,39,6,40,7,39,40,16,40,1.0
84,40,6,24,73,46,66,19,87,8,26,68,20,75,50,44,21,45,86,7,49,44,26,68,20,74,21,69,51,9,50,8,20,68,21,9,27,45,26,8,27,9,26,44,20,44,1.0
81,35,7,38,78,51,52,14,85,9,39,54,15,80,54,38,16,40,84,9,54,39,40,54,15,79,15,55,56,10,55,10,15,54,16,11,40,39,40,10,41,11,40,39,15,39,1.0
80,45,10,29,69,43,59,23,83,13,32,62,24,71,47,48,25,49,82,12,46,48,32,62,24,70,24,63,47,13,46,12,24,62,25,13,33,48,32,12,33,13,32,48,24,48,1.0
85,55,3,24,73,29,68,19,89,5,25,69,20,75,33,60,20,61,88,5,33,59,24,69,20,74,20,70,35,6,34,6,20,69,21,7,25,60,25,6,26,6,25,60,20,60,1.0
78,34,8,26,74,50,56,16,83,11,32,62,18,77,54,39,19,40,82,11,54,38,31,62,18,76,18,63,56,13,55,11,18,62,19,13,33,39,32,12,33,13,31,39,18,39,1.0
86,31,4,23,76,51,65,16,89,6,26,68,17,78,57,37,18,38,88,5,56,36,25,68,17,77,17,69,58,7,57,5,17,68,18,7,27,37,26,6,27,7,25,37,17,37,1.0
74,34,14,33,68,54,59,24,78,17,34,60,25,70,57,37,25,38,77,17,57,37,34,60,25,69,25,61,58,17,57,17,25,60,26,18,34,37,34,17,35,17,34,37,25,37,-1.0
85,49,7,29,70,43,61,22,87,9,31,63,23,72,45,50,24,51,86,8,44,50,31,63,23,71,23,64,45,9,44,8,23,63,24,9,32,50,31,8,32,9,31,50,23,50,-1.0
86,49,6,33,71,43,55,21,88,7,36,58,22,73,44,50,22,51,87,7,44,50,36,58,22,72,22,59,45,7,44,7,22,58,23,8,36,50,36,7,37,7,36,50,22,50,-1.0
82,27,8,20,75,59,70,17,85,9,22,72,18,77,62,31,18,32,84,8,61,31,22,72,18,76,18,73,64,10,63,10,18,72,19,11,22,31,22,10,23,10,22,31,18,31,-1.0
83,31,5,23,76,51,63,16,87,8,26,67,17,78,57,36,18,38,86,8,57,36,26,67,17,77,17,68,58,9,57,8,17,67,18,9,28,37,27,8,28,9,27,37,17,37,1.0
87,38,3,19,78,42,73,14,90,5,20,74,15,80,49,45,15,46,89,4,48,45,20,74,15,79,15,75,50,5,49,5,15,74,16,6,20,45,20,5,21,5,20,45,15,45,-1.0
84,38,4,22,78,46,68,14,88,6,24,70,15,80,50,43,15,44,87,6,50,41,22,70,15,79,15,71,52,7,51,7,15,70,16,8,24,43,24,7,25,7,24,43,15,43,1.0
75,40,13,38,73,52,52,19,79,17,40,54,20,75,54,41,21,42,78,16,53,41,40,54,20,74,20,55,54,17,53,16,20,54,21,17,41,41,40,16,41,17,40,41,20,41,-1.0
86,51,4,26,68,37,64,22,89,7,28,66,24,71,41,54,25,55,88,5,39,54,28,65,23,70,24,67,41,7,40,6,24,66,25,7,29,54,28,6,29,7,28,54,24,54,1.0
83,37,5,24,75,47,64,17,87,8,27,67,18,77,52,42,19,43,86,7,51,42,27,67,18,76,18,68,53,9,52,8,18,67,19,9,28,42,27,8,28,9,27,42,18,42,1.0
70,47,16,35,69,45,55,21,75,21,37,57,23,72,47,48,24,49,74,20,46,48,37,57,23,71,23,58,47,21,46,20,23,57,24,21,38,48,37,20,38,21,37,48,23,48,-1.0
80,35,10,31,75,53,57,17,83,11,34,60,18,77,55,38,18,39,82,12,56,37,33,60,18,76,18,61,57,12,56,12,18,60,19,13,34,38,34,12,35,12,34,38,18,38,1.0
85,46,5,31,72,44,59,20,88,7,32,61,21,74,46,47,22,49,87,7,46,47,32,61,21,73,21,62,47,7,46,7,21,61,22,8,33,48,33,7,34,8,33,48,21,48,1.0
82,31,8,22,74,55,70,18,85,9,23,71,19,76,58,35,19,36,84,9,58,35,23,71,19,75,19,72,60,10,59,10,19,71,20,11,23,35,23,10,24,10,23,35,19,35,-1.0
82,48,8,28,71,40,64,21,85,11,30,65,22,73,44,52,23,52,84,10,43,51,29,65,22,72,23,66,44,11,43,10,22,65,23,11,30,52,29,10,30,11,29,51,22,51,-1.0
86,48,4,26,70,34,64,20,89,6,29,66,22,73,40,55,23,55,88,5,39,53,27,66,22,72,23,67,41,7,40,5,22,66,23,7,29,55,28,6,29,7,27,54,22,54,1.0
84,42,6,31,70,48,57,18,87,8,35,60,21,74,50,45,22,45,86,8,50,43,33,59,20,73,22,61,51,9,50,8,20,60,22,9,35,45,34,8,35,9,34,43,21,44,1.0
82,34,4,23,75,50,67,17,87,8,24,69,18,77,55,38,19,40,86,7,54,39,25,69,18,76,18,70,56,9,55,8,18,69,19,9,26,39,25,8,26,9,25,39,18,39,1.0
84,39,4,25,74,45,63,16,88,7,28,66,18,77,50,44,19,45,87,7,50,43,27,66,18,76,18,67,51,8,50,7,18,66,19,8,29,44,28,7,29,8,28,44,18,44,1.0
75,47,15,33,69,45,57,21,78,18,35,59,23,72,47,48,24,49,77,17,46,48,35,59,23,71,23,60,47,18,46,17,23,59,24,18,36,48,35,17,36,18,35,48,23,48,1.0
85,46,3,23,76,42,69,16,89,6,24,70,17,78,45,49,17,50,88,6,45,49,24,70,17,77,17,71,46,6,45,6,17,70,18,7,24,49,24,6,25,6,24,49,17,49,1.0
80,32,12,37,73,56,53,19,82,14,39,55,20,75,60,35,21,36,81,13,59,35,39,55,20,74,20,56,60,14,59,13,20,55,21,14,40,35,39,13,40,14,39,35,20,35,-1.0
84,41,6,25,74,49,63,18,87,7,29,66,19,76,50,44,20,44,86,8,51,42,27,66,19,75,20,67,52,9,51,8,19,66,20,9,29,44,28,8,29,9,28,43,19,43,1.0
73,49,15,33,67,43,55,25,77,18,36,58,26,69,44,50,26,51,76,18,44,50,36,58,26,68,26,59,45,18,44,18,26,58,27,19,36,50,36,18,37,18,36,50,26,50,1.0
89,47,3,24,74,41,68,16,91,4,25,69,18,77,44,50,18,51,90,3,43,50,25,69,18,76,18,70,45,4,44,4,18,69,19,5,25,50,25,4,26,4,25,50,18,50,1.0
82,37,6,25,72,51,63,18,86,8,28,66,20,75,53,40,20,41,85,9,54,39,27,66,20,74,20,67,55,9,54,9,20,66,21,10,28,40,28,9,29,9,28,40,20,40,1.0
85,49,7,29,76,43,63,16,87,9,30,64,17,78,45,50,18,51,86,8,44,50,30,64,17,77,17,65,45,9,44,8,17,64,18,9,31,50,30,8,31,9,30,50,17,50,-1.0
87,32,3,24,76,52,62,16,90,4,28,66,17,78,56,37,17,38,89,5,57,36,27,66,17,77,17,67,58,5,57,5,17,66,18,6,28,37,28,5,29,5,28,37,17,37,-1.0
85,44,3,27,71,40,61,19,89,5,31,65,22,74,44,50,22,50,88,6,45,48,29,64,21,73,22,65,46,7,45,6,21,64,22,7,31,50,30,6,31,7,30,49,21,49,1.0
70,39,10,36,73,45,56,15,78,17,38,58,19,77,50,45,19,45,77,17,50,44,37,57,18,76,19,58,51,18,50,17,18,57,19,18,38,45,37,17,38,18,37,44,18,44,-1.0
73,43,11,40,77,47,52,15,79,16,41,53,16,79,49,45,16,46,78,16,49,45,41,53,16,78,16,54,50,16,49,16,16,53,17,17,41,45,41,16,42,16,41,45,16,45,-1.0
81,29,11,46,76,63,42,14,83,12,49,45,16,79,64,30,16,31,82,12,64,30,49,45,16,78,16,46,65,12,64,12,16,45,17,13,49,30,49,12,50,12,49,30,16,30,-1.0
82,50,8,29,72,38,63,20,85,10,30,64,21,74,41,53,21,54,84,10,41,53,30,64,21,73,21,65,42,10,41,10,21,64,22,11,30,53,30,10,31,10,30,53,21,53,1.0
80,43,4,26,71,45,64,21,86,9,28,66,22,73,48,46,23,47,85,8,47,44,26,66,22,72,22,67,49,10,48,8,22,66,23,10,29,46,28,9,29,10,27,46,22,46,1.0
89,58,3,26,69,32,64,23,91,4,27,66,24,71,34,59,24,61,90,3,33,60,28,66,24,70,24,67,35,4,34,4,24,66,25,5,28,60,28,4,29,4,28,60,24,60,1.0
89,50,1,24,72,38,68,20,92,3,25,69,21,74,41,53,21,54,91,3,41,52,24,69,21,73,21,70,42,3,41,3,21,69,22,4,25,53,25,3,26,3,25,53,21,53,-1.0
79,37,5,27,75,49,55,17,85,9,33,61,18,77,52,41,18,42,84,9,52,41,33,61,18,76,18,62,54,10,53,10,18,61,19,11,33,41,33,10,34,10,33,41,18,41,1.0
82,22,6,14,79,66,78,13,86,9,15,78,13,81,69,25,14,26,85,8,68,24,14,79,14,80,14,80,70,9,69,8,14,79,15,10,15,25,15,9,16,9,14,25,14,25,-1.0
83,35,7,23,73,51,69,19,86,9,24,70,20,75,55,39,21,40,85,8,54,39,24,70,20,74,20,71,56,10,55,9,20,70,21,10,25,39,24,9,25,10,24,39,20,39,1.0
83,44,3,28,70,44,62,20,88,7,31,64,22,73,47,48,23,48,87,6,46,46,29,64,22,72,23,65,48,8,47,6,22,64,23,8,31,48,30,7,31,8,29,47,22,47,1.0
84,37,6,25,72,47,65,18,87,7,28,67,20,75,51,43,21,43,86,8,52,41,26,67,20,74,21,68,53,9,52,8,20,67,21,9,28,43,27,8,28,9,27,42,20,42,1.0
76,23,4,22,74,47,54,12,84,8,29,62,15,79,56,33,16,36,83,9,57,32,28,61,14,78,15,64,60,10,59,11,14,63,17,12,30,34,31,11,32,11,31,33,16,35,1.0
79,35,7,25,70,49,65,18,84,11,27,67,21,74,54,40,22,41,83,10,53,40,27,66,20,73,22,68,55,11,54,11,21,67,22,12,27,41,27,11,28,12,27,40,21,40,1.0
80,48,6,33,71,42,59,19,85,11,34,60,21,74,45,50,22,51,84,10,44,50,34,60,21,73,21,61,45,11,44,10,21,60,22,11,35,50,34,10,35,11,34,50,21,50,-1.0
84,57,6,26,72,33,66,20,87,8,28,67,21,74,35,60,22,60,86,7,34,59,27,67,21,73,22,68,36,9,35,8,21,67,22,9,28,60,27,8,28,9,27,59,21,59,1.0
87,33,5,36,76,57,52,16,89,6,39,55,17,78,59,35,17,36,88,6,59,34,38,55,17,77,17,56,60,6,59,6,17,55,18,7,39,35,39,6,40,6,39,35,17,35,-1.0
81,40,5,25,71,48,65,19,86,8,28,67,21,74,50,44,22,44,85,8,50,43,27,67,21,73,22,68,52,10,51,9,21,67,22,10,28,44,27,9,28,10,27,43,21,43,1.0
90,44,2,25,72,44,65,20,92,4,28,67,21,74,48,48,22,48,91,3,47,46,26,67,21,73,22,68,48,4,47,3,21,67,22,4,28,48,27,3,28,4,27,47,21,47,1.0
