@relation 'Sax dominant'

@attribute o1atMhh numeric
@attribute o1atLhh numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMff numeric
@attribute o1atLff numeric
@attribute o1atMhi numeric
@attribute o1atLhi numeric
@attribute o1atMjk numeric
@attribute o1atLjk numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMfg numeric
@attribute o1atLfg numeric
@attribute o1atMdf numeric
@attribute o1atLdf numeric
@attribute o1atMhk numeric
@attribute o1atLhk numeric
@attribute o1atMig numeric
@attribute o1atLig numeric
@attribute o1atMge numeric
@attribute o1atLge numeric
@attribute o1atMkj numeric
@attribute o1atLkj numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMih numeric
@attribute o1atLih numeric
@attribute o1atLkk numeric
@attribute o1atMee numeric
@attribute o1atLee numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMaa numeric
@attribute o1atMgg numeric
@attribute o1atLgg numeric
@attribute o1atMii numeric
@attribute o1atLii numeric
@attribute o1atMij numeric
@attribute o1atLij numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMgh numeric
@attribute o1atLgh numeric
@attribute o1atMah numeric
@attribute o1atLah numeric
@attribute o1atMji numeric
@attribute o1atLji numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMjj numeric
@attribute o1atLjj numeric
@attribute o1atMhj numeric
@attribute o1atLhj numeric
@attribute o1atMfh numeric
@attribute o1atLfh numeric
@attribute o1atMfi numeric
@attribute o1atLfi numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMgb numeric
@attribute o1atLgb numeric
@attribute o1atMkg numeric
@attribute o1atLkg numeric
@attribute o1atMif numeric
@attribute o1atLif numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMgf numeric
@attribute o1atLgf numeric
@attribute o1atMef numeric
@attribute o1atLef numeric
@attribute o1atMgi numeric
@attribute o1atLgi numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMeg numeric
@attribute o1atLeg numeric
@attribute o1atMik numeric
@attribute o1atLik numeric
@attribute o1atMag numeric
@attribute o1atLag numeric
@attribute o1atMek numeric
@attribute o1atLek numeric
@attribute o1atMfc numeric
@attribute o1atLfc numeric
@attribute o1atMjh numeric
@attribute o1atLjh numeric
@attribute o1atMfd numeric
@attribute o1atLfd numeric
@attribute o1atMfe numeric
@attribute o1atLfe numeric
@attribute o1atMhg numeric
@attribute o1atLhg numeric
@attribute o1atMjg numeric
@attribute o1atLjg numeric
@attribute o1atMaj numeric
@attribute o1atLaj numeric
@attribute o1atMdg numeric
@attribute o1atLdg numeric
@attribute o1atMkh numeric
@attribute o1atLkh numeric
@attribute o1atMgd numeric
@attribute o1atLgd numeric
@attribute o1atMhf numeric
@attribute o1atLhf numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMgj numeric
@attribute o1atLgj numeric
@attribute o1atMgk numeric
@attribute o1atLgk numeric
@attribute o1atMfk numeric
@attribute o1atLfk numeric
@attribute o1atMki numeric
@attribute o1atLki numeric
@attribute o1atMjd numeric
@attribute o1atLjd numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMak numeric
@attribute o1atLak numeric
@attribute o1atMjf numeric
@attribute o1atLjf numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMje numeric
@attribute o1atLje numeric
@attribute o1atMei numeric
@attribute o1atLei numeric
@attribute o1atMhe numeric
@attribute o1atLhe numeric
@attribute o1atMcg numeric
@attribute o1atLcg numeric
@attribute o1atMhc numeric
@attribute o1atLhc numeric
@attribute o1atMdi numeric
@attribute o1atLdi numeric
@attribute o1atMai numeric
@attribute o1atLai numeric
@attribute o1atMdk numeric
@attribute o1atLdk numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMfj numeric
@attribute o1atLfj numeric
@attribute o1atMeh numeric
@attribute o1atLeh numeric
@attribute o1atMaf numeric
@attribute o1atLaf numeric
@attribute o1atMic numeric
@attribute o1atLic numeric
@attribute o1atMcf numeric
@attribute o1atLcf numeric
@attribute o1atMie numeric
@attribute o1atLie numeric
@attribute o1atMgc numeric
@attribute o1atLgc numeric
@attribute o1atMbf numeric
@attribute o1atLbf numeric
@attribute o1atMdh numeric
@attribute o1atLdh numeric
@attribute o1atMid numeric
@attribute o1atLid numeric
@attribute o1atMkf numeric
@attribute o1atLkf numeric
@attribute o1atMfb numeric
@attribute o1atLfb numeric
@attribute o1atMke numeric
@attribute o1atLke numeric
@attribute o1atMbk numeric
@attribute o1atLbk numeric
@attribute o1atMhd numeric
@attribute o1atLhd numeric
@attribute o1atMej numeric
@attribute o1atLej numeric
@attribute o1atMjc numeric
@attribute o1atLjc numeric
@attribute o1atMkd numeric
@attribute o1atLkd numeric
@attribute o1atMbg numeric
@attribute o1atLbg numeric
@attribute o1atMhb numeric
@attribute o1atLhb numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMck numeric
@attribute o1atLck numeric
@attribute o1atMch numeric
@attribute o1atLch numeric
@attribute destClass {-1,1}

@data
72,34,25,74,15,82,35,60,76,18,92,3,26,68,15,78,39,54,26,63,77,3,57,18,31,55,91,2,26,68,16,78,76,17,2,28,67,18,77,10,54,51,86,14,88,6,11,84,19,74,57,37,12,38,87,6,19,75,11,83,90,4,76,6,40,37,40,19,16,68,16,55,57,3,39,18,11,78,39,54,30,63,57,19,11,79,19,68,31,55,89,3,11,56,32,4,19,63,76,6,26,63,30,63,56,37,57,6,12,7,26,55,76,3,26,55,39,37,16,75,16,68,57,7,58,4,40,4,88,3,26,6,16,75,12,4,39,6,19,68,31,6,32,19,31,37,19,55,19,37,27,19,12,19,27,4,11,69,40,7,32,37,11,64,19,18,19,63,31,18,19,55,16,63,27,37,26,18,39,3,16,63,31,3,17,4,26,37,32,7,19,6,26,3,16,55,16,37,11,76,11,75,20,4,20,37,1.0
75,42,26,68,16,81,34,61,77,17,91,3,27,67,18,76,37,58,27,63,78,4,49,17,31,58,90,4,27,67,18,76,76,17,3,29,66,24,74,11,46,56,88,15,88,5,12,83,25,69,49,46,13,46,89,4,25,69,12,82,89,4,77,5,37,46,37,18,18,67,18,58,49,4,36,17,12,76,35,57,31,63,49,18,12,77,25,67,32,58,90,4,13,59,32,5,25,63,77,5,27,63,30,63,49,44,49,5,13,6,28,58,77,4,27,58,36,45,18,69,18,67,49,6,50,5,37,5,89,4,27,5,18,69,13,5,36,5,25,67,31,5,32,18,31,45,26,58,25,45,28,18,13,18,28,5,12,68,37,6,32,46,12,64,25,17,25,63,31,17,25,58,18,63,28,46,27,17,36,4,18,63,31,4,19,5,27,45,32,6,25,5,27,4,19,58,18,45,12,70,12,69,26,5,26,46,1.0
76,28,26,67,22,85,34,60,80,13,92,3,28,67,24,71,38,55,28,63,82,3,61,12,31,56,91,3,27,66,23,71,80,12,2,30,66,25,70,5,58,52,85,8,87,6,7,88,26,69,62,32,8,33,87,6,25,68,7,87,90,5,81,7,38,32,38,13,24,68,23,56,62,3,37,12,7,71,37,54,31,63,62,13,8,72,27,68,32,57,88,3,8,57,33,4,26,62,81,6,27,62,30,62,61,31,62,6,8,8,28,57,81,3,27,56,37,31,24,69,23,67,62,7,63,3,39,3,87,3,27,7,23,68,8,4,38,6,26,67,32,7,32,14,31,32,27,57,26,32,28,14,8,14,28,4,8,68,38,7,32,33,8,63,26,13,27,63,31,13,26,56,24,63,28,33,27,13,38,3,23,62,32,3,24,4,27,32,32,8,26,7,27,3,24,57,23,32,8,69,7,68,27,4,27,33,1.0
69,32,24,70,16,85,43,50,73,18,92,3,29,63,17,77,46,44,29,53,75,3,57,19,41,46,91,3,28,65,17,77,73,19,2,38,60,20,76,7,54,41,84,15,87,6,8,87,20,72,56,34,8,37,87,6,22,72,8,86,90,4,74,6,46,34,47,18,17,65,17,46,58,3,47,20,8,77,46,46,39,53,57,18,8,78,22,65,39,46,88,3,8,47,42,4,22,53,74,6,29,53,41,52,57,34,58,6,9,8,29,46,74,3,29,46,47,36,17,72,17,65,58,6,59,3,49,3,87,3,29,7,17,72,9,4,48,7,22,65,41,7,40,20,41,36,22,46,22,36,29,20,8,21,30,4,8,66,48,6,39,36,8,54,22,20,22,53,41,20,22,46,17,53,29,36,29,20,48,3,17,53,41,3,18,4,29,36,41,7,22,7,29,3,17,46,17,36,8,73,8,72,23,4,22,36,1.0
75,35,30,69,16,83,43,55,78,16,89,6,31,63,17,77,45,49,31,57,79,6,56,16,37,49,88,6,31,63,17,77,77,16,5,35,62,23,76,7,53,47,85,13,86,8,9,86,24,70,56,38,10,39,86,7,24,70,9,85,87,7,78,8,46,38,46,17,17,63,17,49,56,6,45,16,9,77,45,48,37,57,56,17,9,78,24,63,37,49,87,6,9,50,38,7,24,57,78,8,31,57,36,57,56,38,56,8,10,9,31,49,78,6,31,49,45,38,17,70,17,63,56,9,57,7,46,7,86,6,31,8,17,70,10,7,45,8,24,63,37,8,38,17,37,38,24,49,24,38,32,17,10,17,32,7,9,64,46,9,38,38,9,58,24,16,24,57,37,16,24,49,17,57,32,38,31,16,45,6,17,57,37,6,18,7,31,38,38,9,24,8,31,6,17,49,17,38,9,71,9,70,25,7,25,38,-1.0
74,28,23,73,15,84,50,51,76,15,90,3,25,69,15,78,52,40,25,53,79,4,64,16,40,41,89,4,25,69,16,78,77,16,3,39,67,19,77,8,62,38,84,12,84,6,9,86,20,73,63,29,9,31,85,7,20,74,9,85,87,6,76,7,52,29,52,15,16,69,16,41,64,5,53,16,9,78,52,40,40,53,63,15,9,79,20,69,40,41,87,3,9,42,42,5,20,53,78,8,25,53,40,53,64,29,64,8,9,9,25,41,78,5,25,41,53,29,16,74,16,69,63,7,65,4,54,4,86,5,25,8,16,74,10,6,53,8,20,69,41,8,40,16,41,30,20,41,20,30,25,16,9,17,26,5,9,70,52,7,40,30,9,54,20,16,20,53,41,16,20,41,16,53,25,30,25,16,53,5,16,53,41,5,17,5,25,30,40,8,20,8,25,5,16,41,16,30,9,75,9,74,21,5,20,30,1.0
70,32,23,69,16,84,41,50,73,18,91,3,24,68,18,76,45,46,24,55,76,3,59,19,37,46,90,3,23,68,18,76,74,19,3,32,67,21,74,8,56,43,84,14,86,5,9,86,22,71,58,34,10,36,86,6,22,71,9,85,89,4,74,6,46,35,46,19,18,69,18,48,59,4,46,19,9,76,45,46,36,55,58,19,9,77,22,69,38,47,88,3,10,49,39,5,22,56,74,7,23,55,36,54,59,34,59,7,10,8,26,47,75,4,24,47,46,34,18,71,18,69,58,7,60,4,47,4,87,3,25,7,18,71,10,5,46,7,22,69,38,7,38,20,38,34,24,48,23,35,26,20,10,20,26,5,9,70,46,7,38,36,9,57,23,19,22,56,38,19,22,48,18,56,26,36,25,19,46,4,18,56,38,4,19,5,25,34,38,8,23,7,25,4,19,48,18,35,9,72,9,71,24,5,24,36,1.0
62,31,28,70,15,84,43,49,69,23,91,3,32,61,16,78,44,45,32,52,70,4,58,25,41,47,90,3,32,61,16,78,68,24,3,39,56,20,77,6,55,45,89,18,89,4,8,87,22,72,57,33,8,36,89,3,22,72,8,86,89,3,69,4,44,33,46,23,16,61,16,48,59,4,46,25,8,78,44,46,39,51,59,23,8,79,22,61,40,47,91,4,8,49,43,5,22,52,68,3,32,52,40,51,58,33,58,4,9,5,32,48,69,3,33,48,46,34,16,72,16,61,59,4,60,4,47,4,90,3,33,4,16,72,9,5,46,4,22,61,42,4,42,24,42,35,22,48,22,35,34,25,9,26,34,5,8,62,46,4,40,34,8,53,22,25,22,52,42,25,22,48,16,52,32,35,33,25,46,4,16,52,42,4,17,5,33,35,42,5,22,4,33,4,16,48,16,35,8,73,8,72,23,5,22,35,1.0
71,29,30,64,24,86,34,61,75,18,88,6,31,63,25,69,36,58,31,62,77,8,60,18,32,57,87,7,30,63,25,69,74,17,4,31,62,28,68,6,57,56,80,13,81,11,7,88,29,65,61,33,7,34,82,10,29,65,7,87,84,10,76,12,36,33,36,18,25,63,25,58,61,7,36,18,7,69,36,57,32,62,61,18,7,70,29,63,32,58,83,7,7,59,33,8,29,62,76,11,30,62,31,61,60,33,61,12,8,13,31,58,76,7,31,58,36,33,25,65,25,63,62,12,62,8,37,8,82,7,31,12,25,65,8,8,36,12,29,63,32,12,32,18,32,33,29,58,29,33,31,18,7,19,32,8,7,64,37,12,32,33,7,63,29,18,29,62,32,18,29,58,25,62,31,33,31,18,36,7,25,62,32,7,26,8,31,33,33,12,29,12,31,7,25,58,25,33,7,66,7,65,30,8,29,33,-1.0
70,36,31,68,17,83,42,53,72,22,90,5,33,61,18,76,43,51,33,55,74,6,54,21,39,51,89,5,33,61,18,76,72,21,4,37,59,24,75,9,50,50,84,18,86,7,10,85,25,69,55,40,11,41,86,7,25,69,10,84,88,6,73,9,44,40,44,22,18,61,18,51,54,5,43,21,10,76,42,51,39,55,55,22,10,77,25,61,39,51,87,5,10,52,40,6,25,55,73,8,33,55,39,55,54,39,54,8,11,9,33,51,73,5,33,51,43,40,18,69,18,61,55,9,55,6,44,6,86,5,33,8,18,69,11,6,43,8,25,61,39,8,40,22,39,40,25,51,25,40,34,22,11,22,34,6,10,62,44,9,40,40,10,56,25,21,25,55,39,21,25,51,18,55,34,40,33,21,43,5,18,55,39,5,19,6,33,40,40,9,25,8,33,5,18,51,18,40,10,70,10,69,26,6,26,40,-1.0
72,38,30,69,15,83,35,57,75,19,92,3,33,61,17,77,36,57,33,59,76,3,51,19,36,57,91,2,32,61,17,77,75,18,2,35,58,23,75,9,46,57,82,16,84,10,10,85,24,70,51,43,11,44,83,10,24,70,10,84,90,8,75,10,36,43,36,19,18,61,17,58,51,3,36,19,10,77,36,57,35,58,51,19,10,78,25,61,36,58,85,3,11,59,37,3,24,58,75,10,32,58,35,57,50,43,51,10,11,11,33,59,75,3,33,58,36,43,17,70,17,61,51,10,52,3,37,3,84,3,33,10,17,70,11,4,36,10,24,61,36,10,36,19,36,43,25,59,24,43,33,20,11,20,34,4,11,62,36,10,36,43,11,59,24,19,25,59,36,19,24,58,18,59,33,44,33,19,36,3,17,58,36,3,18,4,33,43,36,10,24,10,33,3,18,59,17,43,10,71,10,70,25,4,25,44,1.0
76,52,25,68,21,80,32,63,80,13,93,2,26,68,22,72,32,60,27,65,82,3,36,12,28,60,92,2,25,67,22,72,80,12,1,27,67,24,71,12,32,58,89,8,90,3,13,82,25,69,37,55,14,58,90,3,24,69,13,81,91,3,81,4,34,57,34,14,22,68,22,60,37,2,33,12,13,72,32,59,29,65,37,13,13,73,25,68,29,61,91,2,14,61,30,3,25,65,81,3,26,64,28,64,36,55,37,3,14,5,27,61,81,2,26,60,33,56,22,69,22,68,38,4,38,3,35,3,90,2,26,4,22,69,14,3,34,3,24,68,29,4,30,14,28,57,26,61,25,57,27,14,14,14,27,3,13,69,35,5,30,58,14,66,25,13,26,65,28,13,25,60,23,65,27,58,26,13,34,2,22,65,29,2,23,3,26,57,30,5,25,4,26,2,23,61,22,57,13,70,13,69,26,3,26,58,1.0
67,24,22,69,14,84,47,49,71,21,92,3,24,67,15,79,48,43,25,55,74,3,63,20,37,43,91,2,24,68,15,79,72,17,2,31,66,21,78,8,58,41,83,15,87,5,9,86,21,71,64,28,10,31,86,6,22,71,9,85,90,3,73,7,50,29,50,21,15,69,15,44,64,3,50,20,9,79,49,43,37,55,64,21,9,80,22,69,37,44,88,3,9,45,39,4,22,56,73,6,24,55,37,55,60,29,64,7,10,8,25,44,73,3,24,43,49,29,15,71,15,69,64,7,65,3,51,3,87,3,25,7,15,71,10,4,50,7,22,69,38,7,38,22,37,29,23,44,22,30,26,22,10,22,26,4,9,70,50,7,38,30,9,57,23,21,23,56,38,20,22,44,15,56,26,30,25,20,50,3,15,56,38,3,16,4,24,29,38,8,23,7,25,3,15,44,15,30,9,72,9,71,24,4,24,30,1.0
72,21,18,74,17,80,52,63,72,17,90,5,19,74,18,76,54,37,19,66,76,5,69,18,28,37,89,5,18,74,17,76,74,17,3,25,74,18,75,12,67,34,78,16,81,10,13,82,18,75,68,22,13,25,81,12,18,74,13,81,87,10,75,11,54,24,54,19,18,75,18,38,70,5,55,19,13,76,55,37,27,66,68,17,13,77,19,75,28,38,82,5,13,39,29,6,18,65,75,12,18,65,27,65,68,23,70,12,14,14,19,38,75,5,19,37,55,24,18,75,17,75,70,11,71,5,57,6,81,5,19,13,17,75,14,6,56,13,18,74,28,13,28,19,28,24,19,38,19,24,19,19,13,20,20,6,13,76,56,13,28,24,13,67,19,19,19,66,28,19,19,37,18,66,19,24,19,19,56,5,17,66,28,5,19,6,19,24,29,13,19,13,19,5,18,38,18,24,13,76,13,75,20,6,19,24,-1.0
69,36,23,70,18,82,40,65,73,19,93,2,24,69,19,75,41,50,24,67,75,2,53,19,26,51,92,2,24,70,19,75,73,18,1,25,69,22,74,10,50,48,89,15,90,3,11,84,22,71,53,38,12,41,90,3,23,71,11,83,91,3,74,4,43,40,43,21,19,70,19,51,54,2,42,19,11,75,42,49,26,67,54,20,11,76,23,70,27,51,91,2,11,52,28,3,23,67,74,3,24,67,25,67,52,39,54,3,12,5,24,51,74,2,24,51,42,39,19,71,19,70,54,4,55,2,44,3,90,2,24,4,19,71,12,3,43,3,23,70,27,4,28,21,26,40,23,51,23,40,25,21,12,21,25,3,11,71,43,5,28,40,11,68,23,20,23,67,26,20,23,51,19,67,25,40,24,20,43,2,19,67,27,2,20,3,24,40,28,5,23,4,24,2,19,51,19,40,11,72,11,71,24,3,24,40,1.0
78,36,23,71,15,82,26,64,83,10,92,2,24,70,16,78,29,62,24,66,84,3,51,10,27,64,91,2,24,70,16,78,83,10,2,26,69,21,77,10,44,60,90,6,90,3,11,84,22,72,50,42,12,44,90,3,22,72,11,83,90,2,83,3,30,42,30,11,16,70,16,64,51,3,30,10,11,78,29,62,26,66,51,11,11,79,22,70,27,64,92,3,11,65,29,4,22,66,83,3,24,66,26,66,50,42,51,3,12,4,24,64,83,3,24,64,29,42,16,72,16,70,51,3,52,3,31,3,91,3,24,3,16,72,12,4,30,3,22,70,28,3,28,12,27,43,22,64,22,43,25,12,12,12,25,4,11,71,30,3,28,43,11,67,22,11,22,66,28,11,22,64,16,66,25,43,24,11,30,3,16,66,28,3,17,4,24,43,28,4,22,3,24,3,16,64,16,43,11,73,11,72,23,4,23,43,1.0
82,34,23,73,15,82,39,68,83,9,92,3,24,70,16,78,41,53,24,69,85,4,56,9,25,53,91,2,23,70,16,78,84,8,2,24,69,19,77,10,52,51,85,8,87,6,11,84,20,74,55,38,11,39,86,7,20,74,11,83,90,5,84,7,41,38,41,10,16,70,16,53,56,3,41,10,11,78,40,53,25,69,56,10,11,79,20,70,25,53,88,3,11,54,26,4,20,69,84,7,24,69,25,68,54,37,56,7,12,8,24,53,84,3,24,53,40,38,16,74,16,70,57,7,57,4,42,4,87,3,24,7,16,74,12,4,41,7,20,70,25,7,25,10,25,38,20,53,20,38,24,10,11,11,25,4,11,71,42,7,25,38,11,70,20,10,20,69,25,10,20,53,16,69,24,38,24,10,41,3,16,69,25,3,17,4,24,38,26,7,20,7,24,3,16,53,16,38,11,75,11,74,21,4,20,38,1.0
78,28,37,62,10,89,44,50,80,16,89,6,40,54,14,80,46,49,40,51,80,7,63,15,43,49,88,5,39,54,14,80,79,15,5,42,51,24,76,1,60,48,86,14,87,8,3,92,28,66,64,32,4,32,86,7,28,66,3,91,87,6,80,8,46,32,46,16,14,54,14,49,63,6,45,15,3,80,44,49,43,51,64,16,3,81,28,54,44,49,88,7,4,50,44,7,28,51,79,7,40,51,43,50,63,30,63,7,4,8,41,49,79,6,40,49,45,31,14,66,14,54,64,8,64,7,46,7,87,6,40,7,14,66,4,7,45,7,28,54,43,7,44,16,43,31,29,49,28,31,41,16,4,16,41,7,3,55,46,8,44,32,3,52,28,15,28,51,43,15,28,49,14,51,41,32,40,15,45,6,14,51,43,6,15,7,40,31,44,8,28,7,40,6,15,49,14,31,3,67,3,66,29,7,29,32,-1.0
61,35,22,71,15,81,29,64,69,24,95,0,24,68,15,78,31,60,24,65,70,0,50,25,28,61,94,0,25,69,16,77,69,22,0,28,66,19,77,9,41,57,89,17,91,3,11,84,20,72,49,42,12,45,91,3,21,73,10,83,94,1,69,3,33,44,33,26,16,69,16,61,50,0,33,25,11,78,31,60,28,64,50,25,11,79,21,69,29,60,92,0,11,62,30,1,21,65,69,3,25,65,28,65,47,42,50,3,12,4,25,61,69,0,25,61,33,43,16,73,16,69,50,3,51,0,34,1,91,0,25,3,16,73,12,1,33,3,21,69,29,3,30,26,29,44,21,61,21,44,26,26,12,26,26,1,11,70,33,4,30,44,11,66,21,25,21,65,29,25,21,61,16,65,26,44,25,25,33,0,16,65,29,0,17,1,25,44,30,4,21,3,25,0,16,61,16,44,11,74,11,73,22,1,22,44,1.0
71,32,23,69,19,83,41,58,75,18,91,3,24,68,19,74,43,50,25,61,77,4,56,18,31,49,90,3,24,68,20,74,75,17,3,28,67,21,73,9,52,47,87,13,88,4,10,85,22,70,57,36,11,38,88,4,22,71,10,84,89,3,75,5,45,38,45,19,20,69,20,50,57,4,44,18,10,74,43,48,32,61,57,19,10,75,22,69,33,50,90,3,11,51,33,5,22,62,75,4,24,61,30,61,56,36,56,5,11,6,26,50,76,3,25,49,44,36,20,71,20,69,57,6,58,5,45,5,89,3,25,5,20,71,11,5,44,5,22,69,32,5,33,19,32,37,24,50,23,37,26,19,11,19,26,5,10,70,45,6,33,38,10,63,23,18,23,62,32,18,23,50,20,62,26,38,25,18,44,4,20,62,32,4,21,5,25,37,33,6,23,5,25,4,21,50,20,37,10,72,10,71,24,5,24,38,1.0
69,29,24,67,17,81,37,62,73,19,93,1,26,66,20,73,41,52,27,65,75,2,58,19,28,51,92,2,24,67,20,73,73,18,1,26,66,23,69,9,53,47,83,15,85,7,11,84,23,68,58,34,12,36,86,7,24,68,11,83,91,5,74,8,42,35,43,20,21,68,21,52,59,2,41,19,11,73,41,51,29,65,59,20,11,74,25,67,29,53,87,2,12,53,30,3,25,65,74,7,25,64,28,63,57,34,59,7,12,9,27,53,74,2,25,52,41,34,20,69,21,68,59,9,60,3,43,3,86,2,26,8,21,69,12,3,42,7,24,68,29,7,30,21,28,34,26,53,25,35,27,21,12,21,27,3,12,69,43,9,29,36,12,66,25,20,26,65,28,19,25,52,22,66,27,36,25,20,42,2,21,65,29,2,22,3,25,35,30,9,25,8,26,2,22,53,21,35,11,70,11,69,26,3,26,36,1.0
74,31,24,69,17,84,42,51,78,14,91,3,27,64,18,76,44,48,27,54,79,4,57,16,39,47,90,3,26,65,18,76,77,14,3,35,62,21,75,8,53,46,85,12,87,6,9,86,21,71,56,35,9,37,87,5,22,71,9,85,89,3,78,6,44,36,45,16,18,66,18,49,58,4,45,16,9,76,44,47,38,54,58,15,9,77,22,66,39,48,89,4,9,50,40,5,22,55,77,5,26,54,37,53,56,35,57,6,10,7,28,48,78,3,28,48,45,36,18,71,18,66,58,6,59,4,46,5,88,3,28,6,18,71,10,5,45,6,22,66,39,6,40,16,39,36,23,49,23,36,29,16,10,17,29,5,9,67,45,7,39,36,9,56,23,16,22,55,39,16,23,49,18,55,28,36,28,16,45,4,18,55,39,4,19,5,28,36,40,7,23,6,28,4,18,49,18,36,9,72,9,71,24,5,23,36,1.0
77,32,24,71,16,82,41,55,78,14,92,3,24,69,17,77,43,50,25,58,80,3,58,14,36,51,91,2,24,69,17,77,79,14,2,33,68,21,76,10,54,49,87,13,89,4,11,84,22,72,57,36,11,37,88,5,22,72,11,83,90,3,79,4,43,36,43,15,17,69,17,51,58,3,43,15,11,77,42,51,35,57,57,15,11,78,22,69,36,51,90,3,11,52,37,4,22,58,79,5,25,58,36,57,57,35,58,5,12,6,25,51,79,3,25,51,42,36,17,72,17,69,58,5,59,4,44,4,89,3,25,5,17,72,12,4,43,5,22,69,36,5,36,15,36,36,22,51,22,36,25,15,11,16,26,4,11,70,44,5,36,36,11,59,22,15,22,58,36,15,22,51,17,58,25,36,25,15,43,3,17,58,36,3,18,4,25,36,37,5,22,5,25,3,17,51,17,36,11,73,11,72,23,4,22,36,1.0
72,32,23,70,18,82,35,65,75,18,92,2,24,69,19,75,41,51,24,67,77,3,58,17,26,53,91,2,24,68,19,75,76,17,2,25,67,22,74,10,54,47,88,14,89,3,11,84,23,71,58,36,12,37,89,4,22,71,11,83,90,2,75,4,41,37,41,19,19,69,19,53,58,3,41,17,11,75,40,52,25,66,58,18,11,76,23,69,28,52,91,2,12,54,28,4,23,67,76,4,25,66,26,66,57,35,58,4,12,5,26,53,76,3,25,53,40,35,19,71,19,69,58,4,59,3,42,4,90,3,25,4,19,71,12,4,41,4,22,69,27,4,28,19,26,36,24,53,23,36,26,19,12,19,26,4,11,70,41,5,28,37,11,68,23,18,23,67,27,18,23,53,19,67,26,37,25,18,41,3,19,67,27,3,20,4,25,36,28,5,23,4,25,3,20,53,19,36,11,72,11,71,24,4,24,37,1.0
73,30,24,72,13,85,48,52,77,16,92,3,28,63,15,79,49,40,29,56,79,3,58,15,38,42,91,3,28,63,15,79,77,15,2,34,56,20,77,7,54,38,86,11,88,5,8,87,21,73,59,32,9,36,88,5,21,73,8,86,90,4,78,6,52,33,52,16,15,63,15,42,59,3,51,16,8,79,50,42,36,53,59,16,8,80,21,63,36,40,89,3,8,43,39,3,21,56,78,5,31,56,38,53,58,33,59,5,9,7,29,42,78,3,31,42,51,35,15,73,15,63,59,6,60,3,53,3,88,3,31,6,15,73,9,4,52,6,21,63,38,6,38,16,38,35,21,42,21,35,31,17,9,17,32,4,8,64,52,6,38,33,8,57,21,16,21,56,38,16,21,42,15,56,31,35,31,16,52,3,15,56,38,3,16,4,31,35,38,6,21,6,31,3,15,42,15,35,8,74,8,73,22,4,22,35,1.0
67,35,23,71,18,79,45,69,70,23,91,4,23,70,19,75,47,47,24,70,71,4,55,23,23,46,90,3,23,70,19,75,70,23,3,23,69,21,74,13,51,45,88,21,89,5,14,81,22,72,54,39,14,40,88,5,22,72,14,80,89,4,70,5,47,39,47,24,19,70,19,47,55,4,47,23,14,75,46,46,24,69,55,24,14,76,22,70,24,47,90,4,14,48,25,4,22,70,70,5,23,70,23,69,54,38,55,5,14,6,24,47,70,4,23,47,46,38,19,72,19,70,55,5,56,4,48,4,89,4,24,5,19,72,15,5,47,5,22,70,24,5,24,24,23,38,22,47,22,39,24,24,14,25,25,4,14,71,47,5,24,39,14,71,22,24,22,70,24,23,22,47,19,70,24,39,24,24,47,4,19,70,24,4,20,4,23,39,24,5,22,5,24,4,19,47,19,39,14,73,14,72,23,4,22,39,-1.0
