@relation 'Sax dominant'

@attribute o1atMaa numeric
@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o2atMaa numeric
@attribute o2atMbb numeric
@attribute o2atLbb numeric
@attribute o2atLcc numeric
@attribute o2atMab numeric
@attribute o2atLab numeric
@attribute o2atMbc numeric
@attribute o2atLbc numeric
@attribute o2atMba numeric
@attribute o2atLba numeric
@attribute o2atMac numeric
@attribute o2atLac numeric
@attribute o3atLcc numeric
@attribute o3atMbb numeric
@attribute o3atLbb numeric
@attribute o3atMaa numeric
@attribute o3atMab numeric
@attribute o3atLab numeric
@attribute o3atMcb numeric
@attribute o3atLcb numeric
@attribute o3atMba numeric
@attribute o3atLba numeric
@attribute o3atMbc numeric
@attribute o3atLbc numeric
@attribute o4atMbb numeric
@attribute o4atLbb numeric
@attribute o4atLcc numeric
@attribute o4atMbc numeric
@attribute o4atLbc numeric
@attribute o4atMcb numeric
@attribute o4atLcb numeric
@attribute o4atMaa numeric
@attribute o4atMab numeric
@attribute o4atLab numeric
@attribute o4atMba numeric
@attribute o4atLba numeric
@attribute o4atMac numeric
@attribute o4atLac numeric
@attribute o5atLcc numeric
@attribute o5atMbb numeric
@attribute o5atLbb numeric
@attribute o5atMbc numeric
@attribute o5atLbc numeric
@attribute o5atMcb numeric
@attribute o5atLcb numeric
@attribute o5atMaa numeric
@attribute o5atMac numeric
@attribute o5atLac numeric
@attribute o5atMba numeric
@attribute o5atLba numeric
@attribute o5atMab numeric
@attribute o5atLab numeric
@attribute destClass {1,2}

@data
19,0,19,0,19,0,19,0,19,0,19,0,12,16,6,2,13,7,17,3,12,6,13,3,15,2,19,0,0,19,3,16,0,19,3,16,16,17,2,16,2,17,3,1,1,17,2,18,1,2,10,2,14,4,11,3,11,0,1,12,0,14,0,15,2.0
19,0,19,0,19,0,19,0,19,0,19,0,8,12,10,6,9,11,13,7,8,10,9,7,11,6,19,0,0,19,7,12,0,19,7,12,7,19,10,8,11,8,11,0,0,19,0,19,0,11,4,9,11,10,4,10,5,2,3,5,3,12,2,12,1.0
19,0,19,0,19,0,19,0,19,0,19,0,9,13,9,5,10,10,14,6,9,9,10,6,7,11,19,0,0,19,12,8,0,19,11,7,5,19,13,6,14,5,13,0,0,19,0,19,0,14,3,10,11,11,3,11,4,2,3,4,3,12,2,12,1.0
19,0,19,0,19,0,19,0,19,0,19,0,9,16,9,2,10,10,17,3,9,9,10,3,15,2,19,0,0,19,3,16,0,19,3,16,9,19,8,10,9,10,9,0,0,19,0,19,0,9,7,6,15,7,8,7,8,0,0,8,0,15,0,15,2.0
19,0,19,0,19,0,19,0,19,0,19,0,9,13,9,5,10,10,14,6,9,9,10,6,11,7,19,0,0,19,8,12,0,19,7,11,12,19,6,13,7,12,6,0,0,19,0,19,0,7,4,9,15,10,5,10,5,0,0,5,0,15,0,15,1.0
8,2,15,9,9,3,16,3,8,10,9,10,16,19,2,0,17,3,19,0,16,2,17,0,7,10,19,0,0,19,11,8,0,19,11,8,16,15,2,17,3,16,2,2,3,16,3,16,3,3,15,0,15,0,15,0,15,0,0,15,0,15,0,15,2.0
19,0,19,0,19,0,19,0,19,0,19,0,9,19,9,0,10,10,19,0,9,9,10,0,3,14,19,0,0,19,15,4,0,19,15,4,5,19,13,6,14,5,13,0,0,19,0,19,0,14,10,3,15,4,11,4,11,0,0,11,0,15,0,15,1.0
15,0,19,2,16,0,19,0,16,3,16,3,16,19,2,0,17,3,19,0,16,2,17,0,5,12,19,0,0,19,13,6,0,19,13,6,6,19,12,7,13,6,12,0,0,19,0,19,0,13,11,2,15,3,12,3,12,0,0,12,0,15,0,15,1.0
19,0,19,0,19,0,19,0,19,0,19,0,12,16,6,2,13,7,17,3,12,6,13,3,19,0,19,0,0,19,0,19,0,19,0,19,9,19,9,9,9,10,10,0,0,19,0,19,0,9,3,11,15,12,4,11,3,0,0,4,0,15,0,15,2.0
19,0,19,0,19,0,19,0,19,0,19,0,9,16,9,2,10,10,17,3,9,9,10,3,14,4,19,0,0,19,5,15,0,19,4,14,2,19,16,3,17,2,16,0,0,19,0,19,0,17,3,10,11,11,3,11,4,2,3,4,3,12,2,12,1.0
19,0,19,0,19,0,19,0,19,0,19,0,9,13,9,5,10,10,14,6,9,9,10,6,11,7,19,0,0,19,8,12,0,19,7,11,3,19,14,4,15,4,15,0,0,19,0,19,0,15,3,11,11,12,3,11,3,2,3,4,3,12,2,12,1.0
19,0,19,0,19,0,19,0,19,0,19,0,12,13,6,5,13,7,14,6,12,6,13,6,19,0,19,0,0,19,0,19,0,19,0,19,13,19,5,13,5,14,6,0,0,19,0,19,0,5,3,11,15,12,4,11,3,0,0,4,0,15,0,15,2.0
19,0,19,0,19,0,19,0,19,0,19,0,8,12,10,6,9,11,13,7,8,10,9,7,11,6,19,0,0,19,7,12,0,19,7,12,9,19,8,10,9,10,9,0,0,19,0,19,0,9,3,10,15,11,4,11,4,0,0,4,0,15,0,15,1.0
19,0,19,0,19,0,19,0,19,0,19,0,9,19,9,0,10,10,19,0,9,9,10,0,11,7,19,0,0,19,8,12,0,19,7,11,5,19,13,6,14,5,13,0,0,19,0,19,0,14,7,6,15,7,8,7,8,0,0,8,0,15,0,15,1.0
19,0,19,0,19,0,19,0,19,0,19,0,9,13,9,5,10,10,14,6,9,9,10,6,11,7,19,0,0,19,8,12,0,19,7,11,12,19,6,13,7,12,6,0,0,19,0,19,0,7,4,9,15,10,5,10,5,0,0,5,0,15,0,15,1.0
15,0,19,2,16,0,19,0,16,3,16,3,12,13,6,5,13,7,14,6,12,6,13,6,10,8,19,0,0,19,9,11,0,19,8,10,13,19,5,14,6,13,5,0,0,19,0,19,0,6,7,6,15,7,8,7,8,0,0,8,0,15,0,15,1.0
19,0,19,0,19,0,19,0,19,0,19,0,9,13,9,5,10,10,14,6,9,9,10,6,11,7,19,0,0,19,8,12,0,19,7,11,13,19,5,14,6,13,5,0,0,19,0,19,0,6,6,7,15,8,7,8,7,0,0,7,0,15,0,15,1.0
19,0,19,0,19,0,19,0,19,0,19,0,12,16,6,2,13,7,17,3,12,6,13,3,19,0,19,0,0,19,0,19,0,19,0,19,9,17,9,9,9,10,10,1,1,17,2,18,1,9,3,11,14,12,4,11,3,0,1,4,0,14,1,15,2.0
19,0,19,0,19,0,19,0,19,0,19,0,9,16,9,2,10,10,17,3,9,9,10,3,19,0,19,0,0,19,0,19,0,19,0,19,13,19,5,13,5,14,6,0,0,19,0,19,0,5,6,6,15,8,8,7,7,0,0,8,0,15,0,15,2.0
19,0,19,0,19,0,19,0,19,0,19,0,12,16,6,2,13,7,17,3,12,6,13,3,10,8,19,0,0,19,9,11,0,19,8,10,8,19,8,10,10,9,9,0,0,19,0,19,0,10,7,6,15,7,8,7,8,0,0,8,0,15,0,15,1.0
19,0,19,0,19,0,19,0,19,0,19,0,9,12,9,6,10,10,13,7,9,9,10,7,11,7,19,0,0,19,8,12,0,19,7,11,3,19,14,4,15,4,15,0,0,19,0,19,0,15,3,11,11,12,3,11,3,2,3,4,3,12,2,12,1.0
11,0,19,6,12,0,19,0,12,7,12,7,16,19,2,0,17,3,19,0,16,2,17,0,2,15,18,0,0,18,16,3,1,19,16,3,16,9,2,17,3,16,2,9,10,10,9,9,10,3,15,0,15,0,15,0,15,0,0,15,0,15,0,15,2.0
19,0,19,0,19,0,19,0,19,0,19,0,12,16,6,2,13,7,17,3,12,6,13,3,19,0,19,0,0,19,0,19,0,19,0,19,9,19,9,9,9,10,10,0,0,19,0,19,0,9,3,11,15,12,4,11,3,0,0,4,0,15,0,15,2.0
15,0,19,2,16,0,19,0,16,3,16,3,13,19,5,0,14,6,19,0,13,5,14,0,10,7,19,0,0,19,8,11,0,19,8,11,6,19,12,7,13,6,12,0,0,19,0,19,0,13,10,3,15,4,11,4,11,0,0,11,0,15,0,15,1.0
14,0,19,3,15,0,19,0,15,4,15,4,12,15,6,3,13,7,16,4,12,6,13,4,11,7,19,0,0,19,8,12,0,19,7,11,19,19,0,19,0,19,0,0,0,19,0,19,0,0,3,11,15,12,4,11,3,0,0,4,0,15,0,15,2.0
19,0,19,0,19,0,19,0,19,0,19,0,12,16,6,2,13,7,17,3,12,6,13,3,19,0,19,0,0,19,0,19,0,19,0,19,9,19,9,9,9,10,10,0,0,19,0,19,0,9,3,11,15,12,4,11,3,0,0,4,0,15,0,15,2.0
19,0,19,0,19,0,19,0,19,0,19,0,9,16,9,2,10,10,17,3,9,9,10,3,11,6,19,0,0,19,7,12,0,19,7,12,0,19,19,0,19,0,19,0,0,19,0,19,0,19,3,10,11,11,3,11,4,2,3,4,3,12,2,12,1.0
14,0,19,3,15,0,19,0,15,4,15,4,12,16,6,2,13,7,17,3,12,6,13,3,11,7,19,0,0,19,8,12,0,19,7,11,19,19,0,19,0,19,0,0,0,19,0,19,0,0,5,7,15,9,7,8,6,0,0,7,0,15,0,15,2.0
19,0,19,0,19,0,19,0,19,0,19,0,9,15,9,3,10,10,16,4,9,9,10,4,11,7,19,0,0,19,8,12,0,19,7,11,10,19,7,11,8,11,8,0,0,19,0,19,0,8,7,6,15,7,8,7,8,0,0,8,0,15,0,15,1.0
19,0,19,0,19,0,19,0,19,0,19,0,12,16,6,2,13,7,17,3,12,6,13,3,19,0,19,0,0,19,0,19,0,19,0,19,9,19,9,9,9,10,10,0,0,19,0,19,0,9,3,11,15,12,4,11,3,0,0,4,0,15,0,15,2.0
15,0,19,2,16,0,19,0,16,3,16,3,16,19,2,0,17,3,19,0,16,2,17,0,9,8,19,0,0,19,9,10,0,19,9,10,9,19,9,10,10,9,9,0,0,19,0,19,0,10,10,3,15,4,11,4,11,0,0,11,0,15,0,15,1.0
19,0,19,0,19,0,19,0,19,0,19,0,9,12,9,6,10,10,13,7,9,9,10,7,11,7,19,0,0,19,8,12,0,19,7,11,6,19,11,7,12,7,12,0,0,19,0,19,0,12,3,11,11,12,3,11,3,2,3,4,3,12,2,12,1.0
19,0,19,0,19,0,19,0,19,0,19,0,12,16,6,2,13,7,17,3,12,6,13,3,19,0,19,0,0,19,0,19,0,19,0,19,9,19,9,9,9,10,10,0,0,19,0,19,0,9,4,8,15,10,6,9,5,0,0,6,0,15,0,15,2.0
14,0,19,3,15,0,19,0,15,4,15,4,12,16,6,2,13,7,17,3,12,6,13,3,11,7,19,0,0,19,8,12,0,19,7,11,19,19,0,19,0,19,0,0,0,19,0,19,0,0,10,2,15,4,12,3,11,0,0,12,0,15,0,15,2.0
19,0,19,0,19,0,19,0,19,0,19,0,9,13,9,5,10,10,14,6,9,9,10,6,10,8,19,0,0,19,9,11,0,19,8,10,2,19,16,3,17,2,16,0,0,19,0,19,0,17,3,10,11,11,3,11,4,2,3,4,3,12,2,12,1.0
19,0,19,0,19,0,19,0,19,0,19,0,12,16,6,2,13,7,17,3,12,6,13,3,19,0,19,0,0,19,0,19,0,19,0,19,12,19,6,12,6,13,7,0,0,19,0,19,0,6,3,11,15,12,4,11,3,0,0,4,0,15,0,15,2.0
11,0,19,6,12,0,19,0,12,7,12,7,16,19,2,0,17,3,19,0,16,2,17,0,0,19,19,0,0,19,19,0,0,19,19,0,16,14,2,17,3,16,2,3,4,15,4,15,4,3,15,0,15,0,15,0,15,0,0,15,0,15,0,15,2.0
19,0,19,0,19,0,19,0,19,0,19,0,12,13,6,5,13,7,14,6,12,6,13,6,19,0,19,0,0,19,0,19,0,19,0,19,9,19,9,9,9,10,10,0,0,19,0,19,0,9,3,11,15,12,4,11,3,0,0,4,0,15,0,15,2.0
11,0,19,6,12,0,19,0,12,7,12,7,16,19,2,0,17,3,19,0,16,2,17,0,10,7,19,0,0,19,8,11,0,19,8,11,13,19,5,14,6,13,5,0,0,19,0,19,0,6,15,0,15,0,15,0,15,0,0,15,0,15,0,15,2.0
15,0,19,2,16,0,19,0,16,3,16,3,12,15,6,3,13,7,16,4,12,6,13,4,11,7,19,0,0,19,8,12,0,19,7,11,13,19,5,14,6,13,5,0,0,19,0,19,0,6,7,6,15,7,8,7,8,0,0,8,0,15,0,15,1.0
19,0,19,0,19,0,19,0,19,0,19,0,9,13,9,5,10,10,14,6,9,9,10,6,10,8,19,0,0,19,9,11,0,19,8,10,12,19,6,13,7,12,6,0,0,19,0,19,0,7,7,6,15,7,8,7,8,0,0,8,0,15,0,15,1.0
15,0,19,2,16,0,19,0,16,3,16,3,12,16,6,2,13,7,17,3,12,6,13,3,14,4,19,0,0,19,5,15,0,19,4,14,19,19,0,19,0,19,0,0,0,19,0,19,0,0,6,6,15,8,8,7,7,0,0,8,0,15,0,15,2.0
19,0,19,0,19,0,19,0,19,0,19,0,9,13,9,5,10,10,14,6,9,9,10,6,18,0,19,0,0,19,1,19,0,19,0,18,15,19,2,16,3,16,3,0,0,19,0,19,0,3,6,6,15,8,8,7,7,0,0,8,0,15,0,15,2.0
14,0,19,3,15,0,19,0,15,4,15,4,12,16,6,2,13,7,17,3,12,6,13,3,11,7,19,0,0,19,8,12,0,19,7,11,19,19,0,19,0,19,0,0,0,19,0,19,0,0,5,7,15,9,7,8,6,0,0,7,0,15,0,15,2.0
15,0,19,2,16,0,19,0,16,3,16,3,8,16,10,2,9,11,17,3,8,10,9,3,7,11,19,0,0,19,12,8,0,19,11,7,13,19,5,14,6,13,5,0,0,19,0,19,0,6,7,6,15,7,8,7,8,0,0,8,0,15,0,15,1.0
19,0,19,0,19,0,19,0,19,0,19,0,9,13,9,5,10,10,14,6,9,9,10,6,19,0,19,0,0,19,0,19,0,19,0,19,10,19,7,11,8,11,8,0,0,19,0,19,0,8,3,10,11,11,3,11,4,2,3,4,3,12,2,12,2.0
19,0,19,0,19,0,19,0,19,0,19,0,9,13,9,5,10,10,14,6,9,9,10,6,19,0,19,0,0,19,0,19,0,19,0,19,9,19,9,9,9,10,10,0,0,19,0,19,0,9,3,11,15,12,4,11,3,0,0,4,0,15,0,15,2.0
19,0,19,0,19,0,19,0,19,0,19,0,9,16,9,2,10,10,17,3,9,9,10,3,15,2,19,0,0,19,3,16,0,19,3,16,0,19,19,0,19,0,19,0,0,19,0,19,0,19,3,10,11,11,3,11,4,2,3,4,3,12,2,12,1.0
14,0,19,3,15,0,19,0,15,4,15,4,16,19,2,0,17,3,19,0,16,2,17,0,3,14,19,0,0,19,15,4,0,19,15,4,9,15,9,10,10,9,9,2,3,16,3,16,3,10,11,2,15,3,12,3,12,0,0,12,0,15,0,15,1.0
4,3,14,13,5,4,15,4,4,14,5,14,12,19,4,0,14,6,19,0,13,5,14,0,0,19,18,0,0,18,19,0,1,19,19,0,19,5,0,19,0,19,0,13,14,6,13,5,14,0,14,0,15,1,15,0,14,0,0,15,0,15,0,15,2.0
19,0,19,0,19,0,19,0,19,0,19,0,12,16,6,2,13,7,17,3,12,6,13,3,19,0,19,0,0,19,0,19,0,19,0,19,9,19,9,9,9,10,10,0,0,19,0,19,0,9,3,11,15,12,4,11,3,0,0,4,0,15,0,15,2.0
19,0,19,0,19,0,19,0,19,0,19,0,9,13,9,5,10,10,14,6,9,9,10,6,11,6,19,0,0,19,7,12,0,19,7,12,1,19,17,1,17,2,18,0,0,19,0,19,0,17,3,11,11,12,3,11,3,2,3,4,3,12,2,12,1.0
19,0,19,0,19,0,19,0,19,0,19,0,9,12,9,6,10,10,13,7,9,9,10,7,11,7,19,0,0,19,8,12,0,19,7,11,13,19,5,14,6,13,5,0,0,19,0,19,0,6,3,10,11,11,3,11,4,2,3,4,3,12,2,12,1.0
15,0,19,2,16,0,19,0,16,3,16,3,12,16,6,2,13,7,17,3,12,6,13,3,15,2,19,0,0,19,3,16,0,19,3,16,12,19,6,12,6,13,7,0,0,19,0,19,0,6,9,3,15,5,11,4,10,0,0,11,0,15,0,15,2.0
19,0,19,0,19,0,19,0,19,0,19,0,9,13,9,5,10,10,14,6,9,9,10,6,18,0,19,0,0,19,1,19,0,19,0,18,13,19,5,14,6,13,5,0,0,19,0,19,0,6,3,10,11,11,3,11,4,2,3,4,3,12,2,12,1.0
19,0,19,0,19,0,19,0,19,0,19,0,12,16,6,2,13,7,17,3,12,6,13,3,19,0,19,0,0,19,0,19,0,19,0,19,9,19,9,9,9,10,10,0,0,19,0,19,0,9,5,7,15,9,7,8,6,0,0,7,0,15,0,15,2.0
10,2,15,7,11,3,16,3,10,8,11,8,16,19,2,0,17,3,19,0,16,2,17,0,10,7,15,3,3,15,8,11,4,16,8,11,19,5,0,19,0,19,0,13,14,6,13,5,14,0,14,0,15,1,15,0,14,0,0,15,0,15,0,15,2.0
11,0,19,6,12,0,19,0,12,7,12,7,16,19,2,0,17,3,19,0,16,2,17,0,9,8,19,0,0,19,9,10,0,19,9,10,17,11,1,18,2,17,1,6,7,12,7,12,7,2,15,0,15,0,15,0,15,0,0,15,0,15,0,15,2.0
19,0,19,0,19,0,19,0,19,0,19,0,12,16,6,2,13,7,17,3,12,6,13,3,14,3,19,0,0,19,4,15,0,19,4,15,13,19,5,13,5,14,6,0,0,19,0,19,0,5,9,3,15,5,11,4,10,0,0,11,0,15,0,15,2.0
19,0,19,0,19,0,19,0,19,0,19,0,12,16,6,2,13,7,17,3,12,6,13,3,19,0,19,0,0,19,0,19,0,19,0,19,5,19,13,5,13,6,14,0,0,19,0,19,0,13,3,11,15,12,4,11,3,0,0,4,0,15,0,15,2.0
11,0,19,6,12,0,19,0,12,7,12,7,12,19,4,0,14,6,19,0,13,5,14,0,6,11,19,0,0,19,12,7,0,19,12,7,16,8,2,17,3,16,2,9,10,9,10,9,10,3,15,0,15,0,15,0,15,0,0,15,0,15,0,15,2.0
19,0,19,0,19,0,19,0,19,0,19,0,9,13,9,5,10,10,14,6,9,9,10,6,14,2,19,0,0,19,4,16,0,19,3,15,19,19,0,19,0,19,0,0,0,19,0,19,0,0,6,6,15,8,8,7,7,0,0,8,0,15,0,15,2.0
19,0,19,0,19,0,19,0,19,0,19,0,8,16,10,2,9,11,17,3,8,10,9,3,10,8,19,0,0,19,9,11,0,19,8,10,5,19,13,6,14,5,13,0,0,19,0,19,0,14,3,10,11,11,3,11,4,2,3,4,3,12,2,12,1.0
19,0,19,0,19,0,19,0,19,0,19,0,12,16,6,2,13,7,17,3,12,6,13,3,19,0,19,0,0,19,0,19,0,19,0,19,8,19,10,8,10,9,11,0,0,19,0,19,0,10,3,11,15,12,4,11,3,0,0,4,0,15,0,15,2.0
11,0,19,6,12,0,19,0,12,7,12,7,16,19,2,0,17,3,19,0,16,2,17,0,7,10,19,0,0,19,11,8,0,19,11,8,17,19,1,18,2,17,1,0,0,19,0,19,0,2,15,0,15,0,15,0,15,0,0,15,0,15,0,15,2.0
19,0,19,0,19,0,19,0,19,0,19,0,9,15,9,3,10,10,16,4,9,9,10,4,15,2,19,0,0,19,3,16,0,19,3,16,10,19,7,11,8,11,8,0,0,19,0,19,0,8,3,10,15,11,4,11,4,0,0,4,0,15,0,15,2.0
19,0,19,0,19,0,19,0,19,0,19,0,12,16,6,2,13,7,17,3,12,6,13,3,19,0,19,0,0,19,0,19,0,19,0,19,8,19,10,8,10,9,11,0,0,19,0,19,0,10,3,11,15,12,4,11,3,0,0,4,0,15,0,15,2.0
7,2,15,10,8,3,16,3,7,11,8,11,16,19,2,0,17,3,19,0,16,2,17,0,10,7,19,0,0,19,8,11,0,19,8,11,17,15,1,18,2,17,1,2,3,16,3,16,3,2,15,0,15,0,15,0,15,0,0,15,0,15,0,15,2.0
19,0,19,0,19,0,19,0,19,0,19,0,9,16,9,2,10,10,17,3,9,9,10,3,19,0,19,0,0,19,0,19,0,19,0,19,7,19,10,8,11,8,11,0,0,19,0,19,0,11,7,6,15,7,8,7,8,0,0,8,0,15,0,15,2.0
15,0,19,2,16,0,19,0,16,3,16,3,12,16,6,2,13,7,17,3,12,6,13,3,15,2,19,0,0,19,3,16,0,19,3,16,16,19,2,16,2,17,3,0,0,19,0,19,0,2,10,2,15,4,12,3,11,0,0,12,0,15,0,15,2.0
19,0,19,0,19,0,19,0,19,0,19,0,9,13,9,5,10,10,14,6,9,9,10,6,13,3,19,0,0,19,5,15,0,19,4,14,13,19,5,14,6,13,5,0,0,19,0,19,0,6,7,6,15,7,8,7,8,0,0,8,0,15,0,15,1.0
19,0,19,0,19,0,19,0,19,0,19,0,12,13,6,5,13,7,14,6,12,6,13,6,15,2,19,0,0,19,3,16,0,19,3,16,1,19,17,1,17,2,18,0,0,19,0,19,0,17,3,11,11,12,3,11,3,2,3,4,3,12,2,12,1.0
11,0,19,6,12,0,19,0,12,7,12,7,12,15,6,3,13,7,16,4,12,6,13,4,11,7,19,0,0,19,8,12,0,19,7,11,19,19,0,19,0,19,0,0,0,19,0,19,0,0,3,11,15,12,4,11,3,0,0,4,0,15,0,15,2.0
19,0,19,0,19,0,19,0,19,0,19,0,9,15,9,3,10,10,16,4,9,9,10,4,15,2,19,0,0,19,3,16,0,19,3,16,2,19,16,2,16,3,17,0,0,19,0,19,0,16,3,11,11,12,3,11,3,2,3,4,3,12,2,12,1.0
19,0,19,0,19,0,19,0,19,0,19,0,9,13,9,5,10,10,14,6,9,9,10,6,14,3,19,0,0,19,4,15,0,19,4,15,0,19,19,0,19,0,19,0,0,19,0,19,0,19,3,10,11,11,3,11,4,2,3,4,3,12,2,12,1.0
19,0,19,0,19,0,19,0,19,0,19,0,16,19,2,0,17,3,19,0,16,2,17,0,10,7,19,0,0,19,8,11,0,19,8,11,6,19,12,7,13,6,12,0,0,19,0,19,0,13,10,3,15,4,11,4,11,0,0,11,0,15,0,15,1.0
19,0,19,0,19,0,19,0,19,0,19,0,9,15,9,3,10,10,16,4,9,9,10,4,11,6,19,0,0,19,7,12,0,19,7,12,12,19,6,12,6,13,7,0,0,19,0,19,0,6,3,11,15,12,4,11,3,0,0,4,0,15,0,15,2.0
19,0,19,0,19,0,19,0,19,0,19,0,9,13,9,5,10,10,14,6,9,9,10,6,11,7,19,0,0,19,8,12,0,19,7,11,13,19,5,14,6,13,5,0,0,19,0,19,0,6,7,6,15,7,8,7,8,0,0,8,0,15,0,15,1.0
14,0,19,3,15,0,19,0,15,4,15,4,16,19,2,0,17,3,19,0,16,2,17,0,2,15,19,0,0,19,16,3,0,19,16,3,9,19,9,10,10,9,9,0,0,19,0,19,0,10,11,2,15,3,12,3,12,0,0,12,0,15,0,15,1.0
19,0,19,0,19,0,19,0,19,0,19,0,9,13,9,5,10,10,14,6,9,9,10,6,14,3,19,0,0,19,4,15,0,19,4,15,11,19,6,12,7,12,7,0,0,19,0,19,0,7,4,9,15,10,5,10,5,0,0,5,0,15,0,15,2.0
19,0,19,0,19,0,19,0,19,0,19,0,8,13,10,5,9,11,14,6,8,10,9,6,11,7,19,0,0,19,8,12,0,19,7,11,9,19,9,10,10,9,9,0,0,19,0,19,0,10,3,10,11,11,3,11,4,2,3,4,3,12,2,12,1.0
15,0,19,2,16,0,19,0,16,3,16,3,12,16,6,2,13,7,17,3,12,6,13,3,14,3,19,0,0,19,4,15,0,19,4,15,5,19,12,6,13,6,13,0,0,19,0,19,0,13,3,10,15,11,4,11,4,0,0,4,0,15,0,15,2.0
