@relation 'Sax dominant'

@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMaa numeric
@attribute o1atLee numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMea numeric
@attribute o1atLea numeric
@attribute destClass {2,3,4,1}

@data
75,20,60,58,16,15,28,64,78,15,65,27,16,77,18,28,29,17,18,66,67,17,67,26,27,65,77,17,18,67,28,27,68,17,19,18,28,17,28,27,17,76,20,74,18,27,18,17,4
76,16,60,65,15,14,23,69,79,15,68,25,15,78,17,26,24,16,17,71,69,15,67,23,21,71,78,14,17,72,23,25,70,16,18,17,23,16,22,25,17,77,17,75,17,25,17,16,3
76,16,64,59,13,14,26,67,79,16,71,23,14,80,16,24,27,17,14,68,71,15,69,20,23,67,78,14,15,69,27,23,72,17,16,17,26,15,25,22,14,79,17,77,14,23,15,16,3
77,17,61,57,12,13,27,65,80,13,67,24,13,81,15,26,29,16,13,66,69,14,68,23,26,65,79,14,15,67,27,26,70,14,15,16,28,14,27,24,13,80,19,78,13,25,14,15,3
77,17,55,62,13,13,25,67,80,15,66,28,13,80,16,29,26,16,14,69,66,13,64,26,23,68,79,13,16,70,26,29,67,16,16,16,25,14,23,27,14,79,18,77,14,28,15,15,1
78,17,61,57,12,14,25,67,80,15,69,24,13,81,14,26,27,15,14,68,69,14,68,23,24,67,79,14,14,69,26,25,70,15,15,16,26,15,25,25,13,80,15,78,14,25,14,15,2
70,23,59,64,20,20,27,68,73,21,64,30,22,73,23,30,27,23,20,68,65,21,64,27,24,66,72,21,23,69,27,30,66,23,23,23,26,21,25,27,20,72,22,70,21,29,22,22,1
70,21,59,60,20,20,28,65,73,20,64,28,21,73,23,29,29,23,21,66,66,21,64,27,27,65,72,20,23,67,28,29,67,22,23,23,28,21,27,27,21,72,22,70,21,28,22,22,3
77,18,60,63,14,15,23,68,79,16,68,24,15,79,17,27,26,17,16,69,68,16,68,24,23,69,78,16,16,70,25,26,69,16,17,17,25,16,25,26,16,78,19,76,16,26,16,16,4
76,17,63,59,15,14,24,67,79,15,69,23,15,78,17,25,26,16,17,69,70,16,69,22,23,67,78,15,17,70,25,24,71,16,18,17,25,16,25,24,15,77,15,75,17,24,17,16,2
72,20,58,66,19,18,22,68,75,18,64,26,19,74,20,29,25,19,21,70,66,20,65,27,23,68,74,19,20,71,23,27,67,19,22,21,24,20,24,28,19,73,20,71,21,28,21,20,4
74,18,56,63,17,16,25,67,77,16,64,27,18,76,18,29,27,17,19,68,66,18,65,27,25,67,76,17,18,69,25,27,67,17,20,19,26,18,26,28,18,75,21,73,19,28,19,18,4
78,17,59,56,13,14,25,66,80,14,67,24,14,80,15,27,28,15,15,67,68,14,67,23,24,65,79,14,15,68,26,26,69,14,16,16,27,15,26,26,13,79,16,77,15,26,15,15,4
75,18,58,61,15,15,25,67,78,16,66,26,16,78,17,28,27,17,16,68,67,16,66,25,24,66,77,16,17,69,26,27,68,17,18,18,26,16,25,26,15,77,19,75,16,27,17,17,2
76,16,58,61,14,14,21,68,79,15,67,22,15,79,17,27,26,17,16,69,68,16,67,25,24,69,78,15,16,70,24,26,69,15,17,17,25,16,25,26,16,78,17,76,16,26,16,16,4
75,17,65,60,15,15,26,66,78,17,71,23,15,78,18,24,27,18,16,68,71,16,69,22,25,66,77,15,18,69,26,24,72,17,18,18,26,16,25,22,15,77,18,75,16,23,17,17,1
71,23,65,59,20,19,27,64,74,21,68,25,20,73,23,27,29,22,21,66,68,20,67,25,27,65,73,20,23,67,29,27,69,22,23,22,28,20,27,25,21,72,21,70,21,26,22,21,3
73,21,61,62,18,17,26,67,76,18,66,27,19,75,21,28,27,20,19,68,67,19,66,25,24,67,75,18,20,69,27,27,68,20,21,20,26,19,26,26,19,74,20,72,20,27,20,19,3
75,16,62,58,13,15,26,65,78,15,68,23,13,80,15,25,28,17,15,67,70,16,68,23,26,66,77,15,14,68,27,23,71,17,16,18,27,17,26,24,14,79,18,77,15,24,15,17,1
78,14,60,64,13,12,22,71,81,13,69,23,15,80,16,25,24,15,15,71,70,14,69,24,23,69,80,13,16,72,23,25,71,14,16,15,23,14,23,24,13,79,16,77,15,24,15,14,3
75,17,69,58,13,15,26,66,78,15,71,19,15,80,16,22,29,18,13,66,73,16,72,19,26,64,77,16,16,67,27,22,74,16,16,18,28,16,27,19,13,79,20,77,14,21,15,17,1
71,23,59,59,19,19,29,65,74,20,64,29,21,74,22,30,30,22,20,65,65,21,65,26,26,64,73,21,22,66,29,30,66,21,22,22,29,21,29,28,20,73,23,71,21,29,21,21,2
80,14,60,60,9,10,24,69,83,11,69,24,10,84,12,25,25,13,10,70,70,11,69,21,21,69,82,11,12,71,25,25,71,13,12,13,24,11,23,23,10,83,14,81,10,24,11,12,2
77,17,59,65,13,13,19,71,80,14,67,23,14,80,16,27,23,16,13,72,68,14,67,24,20,70,79,14,16,73,21,27,69,14,16,16,22,14,21,24,13,79,15,77,14,26,15,15,3
75,19,59,56,14,15,27,65,78,16,66,27,14,79,17,28,28,18,15,67,67,16,66,24,24,66,77,16,17,68,28,28,68,18,17,18,27,17,26,26,15,78,16,76,16,27,16,17,1
77,19,53,58,13,13,24,65,80,13,62,27,13,80,14,31,28,14,15,67,64,15,62,29,26,65,79,13,14,68,25,29,65,13,16,16,27,15,27,30,13,79,18,77,15,30,15,15,4
74,16,70,62,13,16,26,69,77,16,72,21,15,80,16,21,26,19,15,69,74,17,72,19,24,68,76,16,16,70,26,21,75,19,16,19,25,18,24,20,14,79,18,77,15,20,15,18,1
77,16,58,64,14,13,21,69,80,13,66,24,14,79,17,27,24,16,14,71,68,15,68,22,19,69,79,15,17,72,24,27,69,16,17,16,23,15,23,24,14,78,16,76,16,26,16,15,3
77,14,62,51,13,13,30,64,80,14,70,23,15,80,16,24,31,16,14,64,71,14,69,20,27,62,79,13,16,65,31,24,72,16,16,16,30,14,29,22,13,79,17,77,14,23,15,15,1
72,24,52,57,19,18,26,63,75,18,59,30,19,74,20,34,30,19,21,65,61,19,60,31,27,64,74,19,20,66,27,32,62,18,22,21,29,20,28,33,20,73,21,71,21,33,21,20,4
77,18,60,63,15,13,23,70,80,14,67,26,15,79,16,27,24,15,15,71,68,15,67,23,20,70,79,14,16,72,23,26,69,15,17,16,23,15,23,25,15,78,15,77,16,26,16,15,3
74,18,58,64,17,16,24,68,77,16,65,27,17,76,19,28,25,18,18,70,67,17,65,26,23,69,76,16,19,71,24,27,68,18,20,19,24,17,23,26,18,75,18,73,18,27,19,18,4
76,18,56,59,13,14,23,68,79,14,64,26,14,80,16,29,26,17,13,69,66,15,65,24,21,67,78,15,15,70,25,28,67,16,16,17,25,15,24,26,13,79,15,77,14,28,15,16,1
80,13,57,62,12,12,23,69,82,12,68,24,13,81,14,26,25,13,14,70,69,13,68,24,23,68,81,12,14,71,23,25,70,12,15,14,24,13,24,25,12,80,16,78,14,25,14,13,4
73,22,62,57,17,17,28,64,76,19,67,27,17,76,19,28,29,19,18,66,67,17,65,24,25,65,75,17,19,67,28,27,68,19,20,20,28,18,26,26,18,75,19,73,18,27,19,19,2
72,20,62,56,18,18,30,64,75,19,67,26,20,75,21,27,31,21,18,64,68,18,66,24,28,62,74,18,21,65,31,27,69,21,21,21,30,18,28,24,18,74,22,72,18,26,20,20,1
80,16,60,59,12,10,23,67,83,10,67,23,12,81,14,26,26,12,13,69,69,12,69,22,22,67,82,12,14,70,25,25,70,12,15,13,25,12,25,24,12,80,15,78,14,25,14,12,4
73,19,67,61,17,17,27,65,76,18,70,23,17,76,20,24,28,20,19,67,71,19,70,23,27,67,75,18,19,68,28,23,72,20,20,20,27,19,27,23,19,75,21,73,19,23,19,19,4
80,13,59,62,10,10,22,70,83,11,69,23,11,83,12,25,24,12,12,71,70,11,68,22,21,71,82,10,12,72,23,24,71,12,13,13,23,12,22,24,12,82,14,80,12,24,12,12,3
77,16,62,57,13,13,27,65,80,15,70,24,13,80,16,25,28,16,14,67,70,13,68,22,25,66,79,13,16,68,28,25,71,16,16,16,27,14,25,23,14,79,17,77,14,24,15,15,1
72,19,57,56,17,18,25,65,75,18,64,25,18,76,20,29,29,21,19,66,66,20,64,28,28,64,74,18,20,67,27,29,67,19,20,21,28,20,28,28,17,75,18,73,19,28,19,20,1
72,18,60,59,16,18,25,66,75,18,66,24,17,77,19,27,28,21,16,67,68,18,66,23,24,65,74,18,19,68,27,27,69,20,19,21,27,18,25,24,16,76,19,74,16,26,18,20,1
78,15,55,56,12,12,25,66,81,13,66,25,13,81,15,28,28,15,14,67,67,13,65,23,23,67,80,12,14,68,26,27,68,13,15,15,27,14,26,27,14,80,16,78,14,27,14,14,3
73,20,58,57,18,17,28,65,76,18,65,27,20,75,21,29,30,20,19,65,66,18,65,26,27,63,75,18,21,66,29,29,67,19,21,20,29,18,28,27,18,74,21,72,19,28,20,19,3
74,19,57,62,17,16,24,67,77,16,64,27,17,76,19,29,26,18,18,69,66,18,66,25,22,67,76,18,19,70,25,28,67,18,20,19,25,18,25,27,17,75,18,73,19,28,19,18,4
77,14,64,66,14,13,22,72,80,13,70,21,16,80,16,23,24,16,15,71,72,15,70,22,23,71,79,13,16,72,22,23,73,14,16,16,23,15,23,22,15,79,18,78,15,22,15,15,4
76,14,60,60,13,14,27,65,79,14,68,23,14,80,16,25,29,17,14,66,70,14,68,22,26,65,78,14,16,67,29,25,71,17,16,17,28,15,26,23,14,79,22,77,14,24,15,16,1
75,15,57,55,14,15,26,63,78,15,66,22,15,79,17,27,31,18,15,64,68,16,66,24,28,63,77,15,16,65,29,26,69,16,17,18,30,16,29,25,15,78,21,76,15,26,16,17,2
77,14,60,60,13,13,23,68,80,13,68,22,14,80,16,25,26,16,14,69,70,14,68,23,24,68,79,13,16,70,24,25,71,14,16,16,25,14,24,23,14,79,16,77,14,24,15,15,3
74,17,65,63,16,16,23,69,77,16,69,22,17,77,18,24,25,18,17,70,71,18,70,21,22,68,76,17,18,71,23,23,72,17,19,19,24,18,24,22,16,76,17,74,18,23,18,18,2
73,19,57,62,17,17,23,67,76,18,65,26,17,76,19,29,26,19,18,69,66,19,65,27,24,68,75,18,18,70,24,27,67,18,20,20,25,19,25,27,18,75,18,73,19,28,19,19,4
79,13,63,63,11,11,21,71,82,11,70,21,11,83,12,23,23,13,11,72,72,12,71,19,19,71,81,12,12,73,22,22,73,13,13,14,22,13,21,21,11,82,13,81,12,22,12,13,3
76,16,64,62,15,14,26,69,79,14,69,24,16,79,17,24,26,17,16,69,71,16,69,23,25,68,78,14,17,70,26,24,72,17,17,17,25,16,25,23,15,78,18,77,16,23,16,16,3
73,19,61,63,18,17,25,66,76,17,66,25,18,75,19,27,27,18,19,68,68,18,67,24,24,67,75,18,19,69,25,25,69,18,21,20,26,18,25,25,19,74,21,72,19,26,20,19,4
78,14,64,59,11,12,24,69,81,13,71,22,12,82,14,23,25,15,12,70,72,14,71,20,22,68,80,13,14,71,25,23,73,15,14,15,24,14,24,21,11,81,13,79,13,22,13,14,1
71,20,62,60,18,19,28,66,74,20,67,25,21,75,21,27,30,22,19,65,68,20,66,24,27,64,73,19,21,66,29,27,69,21,21,22,29,20,28,25,19,74,24,72,19,26,20,21,3
78,13,63,55,12,12,25,66,81,13,71,21,12,81,15,23,27,15,13,68,72,13,70,20,24,66,80,12,15,69,27,23,73,15,15,15,26,13,25,21,12,80,13,78,13,22,14,14,1
70,23,57,56,19,20,30,64,73,21,63,30,21,74,22,31,31,23,20,64,64,21,63,27,27,63,72,21,21,65,31,30,65,23,22,23,30,22,29,29,20,73,22,71,21,30,21,22,1
78,13,65,62,11,12,19,71,81,13,72,18,12,82,14,22,23,15,12,72,73,13,71,19,20,70,80,12,14,73,22,22,74,14,14,15,22,13,21,20,11,81,12,79,12,21,13,14,2
71,22,56,60,18,19,27,65,74,19,62,30,18,75,21,31,28,22,18,67,64,19,62,27,24,65,73,19,21,68,27,31,65,21,21,22,27,19,25,28,18,74,20,72,18,30,20,21,1
79,14,58,59,13,11,23,66,82,12,68,22,13,80,15,26,27,13,15,68,69,13,69,24,25,67,81,13,14,69,26,24,70,13,16,14,26,13,26,25,14,79,17,77,15,25,15,13,4
74,20,58,61,15,16,25,67,77,17,65,28,15,78,18,29,26,19,15,69,66,16,64,25,22,67,76,16,18,70,25,29,67,18,18,19,25,16,23,26,15,77,17,75,15,28,17,18,1
77,17,59,57,12,13,27,66,80,14,67,26,13,81,15,27,28,16,13,67,68,13,66,24,25,66,79,13,15,68,28,27,69,16,15,16,27,14,25,25,13,80,17,78,13,26,14,15,1
77,15,61,59,12,11,22,68,81,12,68,22,12,81,14,25,25,14,14,70,70,14,69,23,23,69,80,13,13,71,23,23,71,13,15,15,24,14,24,24,13,80,13,78,14,24,14,14,4
71,22,60,62,18,19,27,66,74,20,65,29,18,75,21,29,27,22,20,68,66,20,65,27,25,67,73,20,21,69,27,29,67,22,21,22,26,21,25,28,19,74,20,72,20,28,20,21,3
73,18,58,61,17,17,26,67,76,17,65,28,17,76,20,28,26,20,18,69,67,18,65,25,23,67,75,17,20,70,26,28,68,20,20,20,25,18,24,26,17,75,17,73,18,27,19,19,3
