@relation 'Sax dominant'

@attribute o1atMaaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atLccc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute destClass {1,2}

@data
35,37,58,35,57,57,36,30,56,34,36,59,54,57,60,33,58,32,35,57,37,33,36,36,37,36,35,34,1
28,30,65,28,64,65,28,22,64,26,29,66,62,64,68,25,66,24,28,64,30,25,29,28,30,28,28,26,2
28,30,65,28,64,60,33,27,59,31,29,66,57,64,63,30,61,29,28,64,30,30,29,33,30,33,28,31,1
29,33,61,31,60,67,26,20,66,24,31,63,64,59,70,23,68,22,30,61,33,23,31,26,33,26,31,24,1
28,30,65,28,64,56,36,28,55,34,29,66,52,64,60,32,58,31,28,64,30,32,29,36,30,36,28,34,2
28,30,62,30,61,60,31,27,59,31,29,64,57,60,63,29,61,29,29,62,32,30,30,33,31,32,30,31,1
26,30,64,28,63,54,38,30,53,36,28,66,50,62,58,34,56,33,27,64,30,34,28,38,30,38,28,36,2
28,30,65,28,64,66,27,21,65,25,29,66,63,64,69,24,67,23,28,64,30,24,29,27,30,27,28,25,1
27,35,57,33,56,66,27,21,65,25,31,61,63,53,69,24,67,23,30,59,35,24,31,27,35,27,33,25,1
30,34,60,32,59,71,23,19,70,21,32,62,69,58,73,21,71,20,31,60,34,21,32,23,34,23,32,21,1
31,33,62,31,61,56,38,34,55,36,32,63,54,61,58,36,56,35,31,61,33,36,32,38,33,38,31,36,2
29,31,61,31,60,59,32,28,58,32,30,63,56,59,62,30,60,30,30,61,33,31,31,34,32,33,31,32,1
28,30,65,28,64,63,30,24,62,28,29,66,60,64,66,27,64,26,28,64,30,27,29,30,30,30,28,28,1
29,31,61,31,60,52,39,35,51,39,30,63,49,59,55,37,53,37,30,61,33,38,31,41,32,40,31,39,1
31,37,56,35,55,62,32,28,61,30,34,59,60,53,64,30,62,29,33,57,37,30,34,32,37,32,35,30,1
31,33,62,31,61,56,38,34,55,36,32,63,54,61,58,36,56,35,31,61,33,36,32,38,33,38,31,36,2
27,31,60,31,59,61,31,29,60,31,29,63,59,57,63,30,61,30,29,61,33,31,30,33,32,32,31,31,2
29,31,61,31,60,54,37,33,53,37,30,63,51,59,57,35,55,35,30,61,33,36,31,39,32,38,31,37,1
31,33,62,31,61,56,36,28,55,34,32,63,52,61,60,32,58,31,31,61,33,32,32,36,33,36,31,34,2
26,30,64,28,63,64,29,23,63,27,28,66,61,62,67,26,65,25,27,64,30,26,28,29,30,29,28,27,1
31,32,62,31,61,50,40,31,49,39,32,63,45,61,55,36,53,35,31,61,33,36,32,41,33,41,31,39,2
29,31,61,31,60,58,32,26,57,32,30,63,54,59,62,29,60,29,30,61,33,30,31,34,32,33,31,32,1
31,33,62,31,61,54,40,36,53,38,32,63,52,61,56,38,54,37,31,61,33,38,32,40,33,40,31,38,2
31,33,62,31,61,57,37,33,56,35,32,63,55,61,59,35,57,34,31,61,33,35,32,37,33,37,31,35,2
31,33,62,31,61,53,41,37,52,39,32,63,51,61,55,39,53,38,31,61,33,39,32,41,33,41,31,39,2
26,34,58,32,57,67,27,23,66,25,30,62,65,54,69,25,67,24,29,60,34,25,30,27,34,27,32,25,2
28,30,65,28,64,49,44,38,48,42,29,66,46,64,52,41,50,40,28,64,30,41,29,44,30,44,28,42,1
31,33,62,31,61,54,39,33,53,37,32,63,51,61,57,36,55,35,31,61,33,36,32,39,33,39,31,37,2
21,25,66,25,65,75,17,15,74,17,23,69,73,63,77,16,75,16,23,67,27,17,24,19,26,18,25,17,2
28,30,65,28,64,66,27,21,65,25,29,66,63,64,69,24,67,23,28,64,30,24,29,27,30,27,28,25,1
19,25,65,25,64,76,16,14,75,16,22,69,74,61,78,15,76,15,22,67,27,16,23,18,26,17,25,16,2
28,30,65,28,64,63,30,24,62,28,29,66,60,64,66,27,64,26,28,64,30,27,29,30,30,30,28,28,1
31,33,62,31,61,53,41,37,52,39,32,63,51,61,55,39,53,38,31,61,33,39,32,41,33,41,31,39,2
31,33,62,31,61,57,37,33,56,35,32,63,55,61,59,35,57,34,31,61,33,35,32,37,33,37,31,35,2
31,33,62,31,61,53,41,37,52,39,32,63,51,61,55,39,53,38,31,61,33,39,32,41,33,41,31,39,2
31,33,62,31,61,57,37,33,56,35,32,63,55,61,59,35,57,34,31,61,33,35,32,37,33,37,31,35,2
29,31,61,31,60,55,36,32,54,36,30,63,52,59,58,34,56,34,30,61,33,35,31,38,32,37,31,36,1
28,30,65,28,64,51,41,33,50,39,29,66,47,64,55,37,53,36,28,64,30,37,29,41,30,41,28,39,2
25,29,65,27,64,70,23,17,69,21,27,67,67,63,73,20,71,19,26,65,29,20,27,23,29,23,27,21,2
31,33,62,31,61,60,32,24,59,30,32,63,56,61,64,28,62,27,31,61,33,28,32,32,33,32,31,30,2
31,32,62,31,61,54,39,36,53,38,32,63,52,61,56,38,54,37,31,61,33,38,32,40,33,40,31,38,2
28,30,65,28,64,56,37,31,55,35,29,66,53,64,59,34,57,33,28,64,30,34,29,37,30,37,28,35,2
31,33,62,31,61,60,34,30,59,32,32,63,58,61,62,32,60,31,31,61,33,32,32,34,33,34,31,32,2
16,20,71,20,70,62,29,25,61,29,18,74,59,68,65,27,63,27,18,72,22,28,19,31,21,30,20,29,2
28,30,65,28,64,58,34,26,57,32,29,66,54,64,62,30,60,29,28,64,30,30,29,34,30,34,28,32,2
28,30,65,28,64,52,41,35,51,39,29,66,49,64,55,38,53,37,28,64,30,38,29,41,30,41,28,39,2
28,30,65,28,64,51,42,36,50,40,29,66,48,64,54,39,52,38,28,64,30,39,29,42,30,42,28,40,1
31,33,62,31,61,53,41,37,52,39,32,63,51,61,55,39,53,38,31,61,33,39,32,41,33,41,31,39,2
26,30,64,28,63,63,30,24,62,28,28,66,60,62,66,27,64,26,27,64,30,27,28,30,30,30,28,28,2
28,30,65,28,64,55,38,32,54,36,29,66,52,64,58,35,56,34,28,64,30,35,29,38,30,38,28,36,1
31,32,62,31,61,60,32,27,59,31,32,63,57,61,63,30,61,29,31,61,33,30,32,33,33,33,31,31,2
28,30,65,28,64,62,31,25,61,29,29,66,59,64,65,28,63,27,28,64,30,28,29,31,30,31,28,29,2
31,33,62,31,61,61,31,23,60,29,32,63,57,61,65,27,63,26,31,61,33,27,32,31,33,31,31,29,2
28,30,65,28,64,67,26,20,66,24,29,66,64,64,70,23,68,22,28,64,30,23,29,26,30,26,28,24,2
26,30,64,28,63,62,31,25,61,29,28,66,59,62,65,28,63,27,27,64,30,28,28,31,30,31,28,29,2
29,31,61,31,60,63,28,24,62,28,30,63,60,59,66,26,64,26,30,61,33,27,31,30,32,29,31,28,1
28,30,65,28,64,62,31,25,61,29,29,66,59,64,65,28,63,27,28,64,30,28,29,31,30,31,28,29,1
31,33,62,31,61,57,37,33,56,35,32,63,55,61,59,35,57,34,31,61,33,35,32,37,33,37,31,35,2
28,30,65,28,64,59,34,28,58,32,29,66,56,64,62,31,60,30,28,64,30,31,29,34,30,34,28,32,1
22,25,68,24,67,68,24,19,67,23,24,70,65,66,71,22,69,21,23,68,26,22,24,25,26,25,24,23,2
29,31,61,31,60,58,33,29,57,33,30,63,55,59,61,31,59,31,30,61,33,32,31,35,32,34,31,33,1
29,31,61,31,60,62,29,25,61,29,30,63,59,59,65,27,63,27,30,61,33,28,31,31,32,30,31,29,1
29,33,61,31,60,63,30,24,62,28,31,63,60,59,66,27,64,26,30,61,33,27,31,30,33,30,31,28,1
31,33,62,31,61,59,35,31,58,33,32,63,57,61,61,33,59,32,31,61,33,33,32,35,33,35,31,33,2
24,28,63,28,62,70,21,17,69,21,26,66,67,60,73,19,71,19,26,64,30,20,27,23,29,22,28,21,2
29,33,61,31,60,70,25,23,69,23,31,63,69,59,71,24,69,23,30,61,33,24,31,25,33,25,31,23,2
31,33,62,31,61,57,37,33,56,35,32,63,55,61,59,35,57,34,31,61,33,35,32,37,33,37,31,35,2
31,33,62,31,61,57,37,33,56,35,32,63,55,61,59,35,57,34,31,61,33,35,32,37,33,37,31,35,2
25,29,65,27,64,75,19,15,74,17,27,67,73,63,77,17,75,16,26,65,29,17,27,19,29,19,27,17,2
28,30,65,28,64,43,51,47,42,49,29,66,41,64,45,49,43,48,28,64,30,49,29,51,30,51,28,49,1
31,33,62,31,61,54,40,36,53,38,32,63,52,61,56,38,54,37,31,61,33,38,32,40,33,40,31,38,2
31,33,62,31,61,57,35,27,56,33,32,63,53,61,61,31,59,30,31,61,33,31,32,35,33,35,31,33,2
26,30,64,28,63,68,26,22,67,24,28,66,66,62,70,24,68,23,27,64,30,24,28,26,30,26,28,24,2
29,31,61,31,60,52,39,35,51,39,30,63,49,59,55,37,53,37,30,61,33,38,31,41,32,40,31,39,1
28,30,65,28,64,62,31,25,61,29,29,66,59,64,65,28,63,27,28,64,30,28,29,31,30,31,28,29,1
26,30,64,28,63,67,26,20,66,24,28,66,64,62,70,23,68,22,27,64,30,23,28,26,30,26,28,24,1
25,29,65,27,64,71,22,16,70,20,27,67,68,63,74,19,72,18,26,65,29,19,27,22,29,22,27,20,2
26,30,64,28,63,66,27,21,65,25,28,66,63,62,69,24,67,23,27,64,30,24,28,27,30,27,28,25,1
28,32,59,32,58,59,31,25,58,31,30,62,55,56,63,28,61,28,30,60,34,29,31,33,33,32,32,31,2
29,31,61,31,60,56,35,31,55,35,30,63,53,59,59,33,57,33,30,61,33,34,31,37,32,36,31,35,1
29,31,61,31,60,55,36,32,54,36,30,63,52,59,58,34,56,34,30,61,33,35,31,38,32,37,31,36,1
29,31,61,31,60,54,36,30,53,36,30,63,50,59,58,33,56,33,30,61,33,34,31,38,32,37,31,36,1
28,30,65,28,64,54,38,30,53,36,29,66,50,64,58,34,56,33,28,64,30,34,29,38,30,38,28,36,2
31,33,62,31,61,57,37,33,56,35,32,63,55,61,59,35,57,34,31,61,33,35,32,37,33,37,31,35,2
29,31,61,31,60,55,36,32,54,36,30,63,52,59,58,34,56,34,30,61,33,35,31,38,32,37,31,36,1
28,30,65,28,64,57,37,33,56,35,29,66,55,64,59,35,57,34,28,64,30,35,29,37,30,37,28,35,2
29,33,61,31,60,65,29,25,64,27,31,63,63,59,67,27,65,26,30,61,33,27,31,29,33,29,31,27,1
27,31,60,31,59,65,26,22,64,26,29,63,62,57,68,24,66,24,29,61,33,25,30,28,32,27,31,26,2
23,27,64,27,63,63,28,24,62,28,25,67,60,61,66,26,64,26,25,65,29,27,26,30,28,29,27,28,1
28,30,65,28,64,56,37,31,55,35,29,66,53,64,59,34,57,33,28,64,30,34,29,37,30,37,28,35,1
31,32,62,31,61,54,38,33,53,37,32,63,51,61,57,36,55,35,31,61,33,36,32,39,33,39,31,37,2
28,30,65,28,64,55,37,29,54,35,29,66,51,64,59,33,57,32,28,64,30,33,29,37,30,37,28,35,1
23,27,67,25,66,64,29,23,63,27,25,69,61,65,67,26,65,25,24,67,27,26,25,29,27,29,25,27,1
28,30,65,28,64,58,35,29,57,33,29,66,55,64,61,32,59,31,28,64,30,32,29,35,30,35,28,33,1
23,27,67,25,66,64,29,23,63,27,25,69,61,65,67,26,65,25,24,67,27,26,25,29,27,29,25,27,2
29,33,61,31,60,61,33,29,60,31,31,63,59,59,63,31,61,30,30,61,33,31,31,33,33,33,31,31,1
29,31,61,31,60,56,35,31,55,35,30,63,53,59,59,33,57,33,30,61,33,34,31,37,32,36,31,35,1
26,30,64,28,63,64,30,26,63,28,28,66,62,62,66,28,64,27,27,64,30,28,28,30,30,30,28,28,2
25,29,65,27,64,64,29,23,63,27,27,67,61,63,67,26,65,25,26,65,29,26,27,29,29,29,27,27,1
28,30,65,28,64,56,37,31,55,35,29,66,53,64,59,34,57,33,28,64,30,34,29,37,30,37,28,35,1
31,33,62,31,61,52,41,35,51,39,32,63,49,61,55,38,53,37,31,61,33,38,32,41,33,41,31,39,1
29,31,61,31,60,52,39,35,51,39,30,63,49,59,55,37,53,37,30,61,33,38,31,41,32,40,31,39,1
31,33,62,31,61,52,41,35,51,39,32,63,49,61,55,38,53,37,31,61,33,38,32,41,33,41,31,39,1
31,33,62,31,61,56,38,34,55,36,32,63,54,61,58,36,56,35,31,61,33,36,32,38,33,38,31,36,2
35,41,52,38,51,61,32,26,60,29,38,55,58,49,64,29,62,28,37,53,41,29,38,32,41,32,39,30,2
21,25,66,25,65,72,19,15,71,19,23,69,69,63,75,17,73,17,23,67,27,18,24,21,26,20,25,19,2
31,33,62,31,61,57,37,33,56,35,32,63,55,61,59,35,57,34,31,61,33,35,32,37,33,37,31,35,2
31,37,56,35,55,68,26,22,67,24,34,59,66,53,70,24,68,23,33,57,37,24,34,26,37,26,35,24,1
32,34,58,34,57,57,33,27,56,33,33,60,53,56,61,30,59,30,33,58,36,31,34,35,35,34,34,33,1
26,30,64,28,63,60,34,30,59,32,28,66,58,62,62,32,60,31,27,64,30,32,28,34,30,34,28,32,2
26,30,64,28,63,63,30,24,62,28,28,66,60,62,66,27,64,26,27,64,30,27,28,30,30,30,28,28,1
29,33,58,33,57,64,27,23,63,27,31,61,61,55,67,25,65,25,31,59,35,26,32,29,34,28,33,27,2
28,30,65,28,64,52,39,29,51,37,29,66,47,64,57,34,55,33,28,64,30,34,29,39,30,39,28,37,1
22,28,62,28,61,72,20,18,71,20,25,66,70,58,74,19,72,19,25,64,30,20,26,22,29,21,28,20,2
31,33,62,31,61,56,37,31,55,35,32,63,53,61,59,34,57,33,31,61,33,34,32,37,33,37,31,35,2
22,28,62,28,61,73,19,17,72,19,25,66,71,58,75,18,73,18,25,64,30,19,26,21,29,20,28,19,2
28,30,65,28,64,50,43,37,49,41,29,66,47,64,53,40,51,39,28,64,30,40,29,43,30,43,28,41,1
26,30,64,28,63,64,29,23,63,27,28,66,61,62,67,26,65,25,27,64,30,26,28,29,30,29,28,27,1
23,27,67,25,66,66,27,21,65,25,25,69,63,65,69,24,67,23,24,67,27,24,25,27,27,27,25,25,2
28,30,65,28,64,49,45,41,48,43,29,66,47,64,51,43,49,42,28,64,30,43,29,45,30,45,28,43,1
28,30,65,28,64,56,36,28,55,34,29,66,52,64,60,32,58,31,28,64,30,32,29,36,30,36,28,34,1
31,33,62,31,61,56,38,34,55,36,32,63,54,61,58,36,56,35,31,61,33,36,32,38,33,38,31,36,2
33,40,45,43,44,60,28,27,59,31,37,51,57,39,63,28,61,29,38,49,45,30,39,33,43,31,43,31,2
31,33,62,31,61,64,29,23,63,27,32,63,61,61,67,26,65,25,31,61,33,26,32,29,33,29,31,27,1
31,32,62,31,61,57,36,33,56,35,32,63,55,61,59,35,57,34,31,61,33,35,32,37,33,37,31,35,2
31,32,62,31,61,54,39,36,53,38,32,63,52,61,56,38,54,37,31,61,33,38,32,40,33,40,31,38,2
28,30,65,28,64,60,33,27,59,31,29,66,57,64,63,30,61,29,28,64,30,30,29,33,30,33,28,31,1
28,30,65,28,64,60,33,27,59,31,29,66,57,64,63,30,61,29,28,64,30,30,29,33,30,33,28,31,1
35,41,52,39,51,62,32,28,61,30,38,55,60,49,64,30,62,29,37,53,41,30,38,32,41,32,39,30,1
28,30,65,28,64,60,33,27,59,31,29,66,57,64,63,30,61,29,28,64,30,30,29,33,30,33,28,31,1
33,39,54,37,53,61,33,29,60,31,36,57,59,51,63,31,61,30,35,55,39,31,36,33,39,33,37,31,1
26,28,64,28,63,61,30,26,60,30,27,66,58,62,64,28,62,28,27,64,30,29,28,32,29,31,28,30,2
31,33,62,31,61,59,33,25,58,31,32,63,55,61,63,29,61,28,31,61,33,29,32,33,33,33,31,31,1
28,30,65,28,64,55,38,32,54,36,29,66,52,64,58,35,56,34,28,64,30,35,29,38,30,38,28,36,2
31,32,62,31,61,61,31,26,60,30,32,63,58,61,64,29,62,28,31,61,33,29,32,32,33,32,31,30,1
29,31,61,31,60,56,35,31,55,35,30,63,53,59,59,33,57,33,30,61,33,34,31,37,32,36,31,35,1
28,30,65,28,64,56,37,31,55,35,29,66,53,64,59,34,57,33,28,64,30,34,29,37,30,37,28,35,1
31,35,59,33,58,57,37,33,56,35,33,61,55,57,59,35,57,34,32,59,35,35,33,37,35,37,33,35,2
26,30,64,28,63,57,37,33,56,35,28,66,55,62,59,35,57,34,27,64,30,35,28,37,30,37,28,35,2
31,33,62,31,61,56,37,31,55,35,32,63,53,61,59,34,57,33,31,61,33,34,32,37,33,37,31,35,2
29,31,61,31,60,53,38,34,52,38,30,63,50,59,56,36,54,36,30,61,33,37,31,40,32,39,31,38,2
