@relation 'Sax dominant'

@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMeea numeric
@attribute o1atLeea numeric
@attribute o1atMaaa numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMcee numeric
@attribute o1atLcee numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMcdc numeric
@attribute o1atLcdc numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMcce numeric
@attribute o1atLcce numeric
@attribute o1atMeaa numeric
@attribute o1atLeaa numeric
@attribute o1atMdde numeric
@attribute o1atLdde numeric
@attribute o1atLeee numeric
@attribute o1atMedd numeric
@attribute o1atLedd numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMddd numeric
@attribute o1atLddd numeric
@attribute o1atMdee numeric
@attribute o1atLdee numeric
@attribute o1atMeed numeric
@attribute o1atLeed numeric
@attribute o1atMdea numeric
@attribute o1atLdea numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbbe numeric
@attribute o1atLbbe numeric
@attribute o1atMcde numeric
@attribute o1atLcde numeric
@attribute o1atMedc numeric
@attribute o1atLedc numeric
@attribute o1atMadd numeric
@attribute o1atLadd numeric
@attribute o1atMcda numeric
@attribute o1atLcda numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMdcd numeric
@attribute o1atLdcd numeric
@attribute o1atMdaa numeric
@attribute o1atLdaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMdda numeric
@attribute o1atLdda numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMbcd numeric
@attribute o1atLbcd numeric
@attribute o1atMadc numeric
@attribute o1atLadc numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMdca numeric
@attribute o1atLdca numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMbce numeric
@attribute o1atLbce numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMcbe numeric
@attribute o1atLcbe numeric
@attribute o1atMcea numeric
@attribute o1atLcea numeric
@attribute o1atMcdb numeric
@attribute o1atLcdb numeric
@attribute o1atMdba numeric
@attribute o1atLdba numeric
@attribute o1atMeca numeric
@attribute o1atLeca numeric
@attribute o1atMdec numeric
@attribute o1atLdec numeric
@attribute o1atMdeb numeric
@attribute o1atLdeb numeric
@attribute o1atMeba numeric
@attribute o1atLeba numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMcec numeric
@attribute o1atLcec numeric
@attribute o1atMceb numeric
@attribute o1atLceb numeric
@attribute o1atMded numeric
@attribute o1atLded numeric
@attribute o1atMdce numeric
@attribute o1atLdce numeric
@attribute o1atMeda numeric
@attribute o1atLeda numeric
@attribute o1atMeeb numeric
@attribute o1atLeeb numeric
@attribute o1atMced numeric
@attribute o1atLced numeric
@attribute o1atMdbb numeric
@attribute o1atLdbb numeric
@attribute o1atMadb numeric
@attribute o1atLadb numeric
@attribute o1atMbde numeric
@attribute o1atLbde numeric
@attribute o1atMbbd numeric
@attribute o1atLbbd numeric
@attribute o1atMacd numeric
@attribute o1atLacd numeric
@attribute o1atMbdb numeric
@attribute o1atLbdb numeric
@attribute o1atMeec numeric
@attribute o1atLeec numeric
@attribute o1atMecc numeric
@attribute o1atLecc numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMbdd numeric
@attribute o1atLbdd numeric
@attribute o1atMbdc numeric
@attribute o1atLbdc numeric
@attribute o1atMede numeric
@attribute o1atLede numeric
@attribute destClass {1.0,2.0}

@data
5,84,4,7,2,75,81,80,7,79,12,78,12,76,13,3,90,4,87,7,83,78,8,3,8,85,8,6,84,7,77,14,77,13,83,11,86,7,85,7,4,8,3,85,5,83,3,87,4,9,80,8,79,8,5,12,3,14,3,87,79,11,3,14,3,89,4,12,4,85,7,14,5,13,2,87,3,13,5,83,7,8,2,86,2,89,3,85,6,9,3,8,6,13,3,13,3,8,78,8,7,8,3,8,2,84,76,8,6,8,83,8,80,8,4,8,7,7,79,8,4,13,3,13,7,8,4,15,5,14,3,13,79,7,77,8,3,86,7,12,7,13,86,6,1.0
5,75,4,7,2,75,73,80,7,78,12,76,11,75,13,3,90,4,77,16,74,78,9,3,9,83,8,6,82,7,77,14,76,12,80,10,85,7,84,7,3,9,14,75,15,74,13,87,15,10,80,9,78,8,5,12,2,14,3,77,78,10,2,14,3,89,2,12,14,75,16,14,5,13,2,77,2,13,15,73,17,9,2,76,2,89,13,75,16,9,2,9,15,13,2,13,3,8,77,8,16,8,3,8,2,75,75,8,15,8,81,8,79,8,3,8,17,7,78,8,14,12,3,13,17,9,14,15,5,14,13,13,79,7,77,8,3,76,16,12,16,13,85,6,1.0
4,74,3,7,1,75,72,80,7,79,12,78,12,76,14,2,91,3,76,17,73,78,8,2,8,85,8,6,84,7,77,14,77,13,83,11,86,7,85,7,3,8,16,74,17,73,14,88,16,9,80,8,79,8,4,12,2,14,2,76,79,11,2,14,2,90,3,12,15,74,17,14,4,14,2,76,3,14,17,72,18,8,2,75,1,90,14,74,18,8,2,8,17,14,2,14,3,8,78,8,18,8,2,8,2,74,76,8,17,8,83,8,80,8,3,8,18,7,79,8,16,13,2,14,18,8,15,15,4,14,14,14,79,7,77,8,2,75,17,12,17,14,86,6,1.0
4,85,4,6,2,75,82,81,6,78,10,78,10,76,11,3,90,4,87,7,84,78,9,3,8,84,7,5,83,6,76,13,77,12,81,9,86,6,85,6,3,7,4,84,5,83,3,87,5,9,80,7,80,7,5,10,2,12,3,87,78,9,2,13,3,89,2,10,5,85,7,13,5,12,2,86,2,12,6,82,7,9,2,85,2,89,3,85,6,9,3,8,5,11,2,12,3,7,79,7,6,7,3,7,2,84,77,7,6,7,82,7,80,7,3,7,7,6,79,7,4,12,3,12,8,7,5,13,4,13,3,11,81,6,78,7,3,86,8,10,8,11,86,5,2.0
5,88,4,5,2,76,86,81,5,79,11,78,10,76,12,3,90,4,89,6,87,79,8,3,7,85,6,4,84,6,78,14,77,11,82,9,87,5,86,5,3,7,3,86,3,86,3,87,4,8,81,7,79,6,5,11,2,13,3,89,79,9,2,13,3,89,2,11,4,87,6,14,5,12,2,88,2,12,4,86,6,8,2,87,2,89,3,87,4,8,2,7,3,12,2,12,3,6,79,6,4,6,3,6,2,87,76,6,3,6,83,6,80,6,3,6,5,5,79,6,3,11,3,12,6,7,4,14,5,14,3,12,80,5,78,6,3,88,6,11,6,12,87,4,2.0
4,72,4,4,2,53,69,59,4,58,31,58,32,54,33,3,90,4,75,17,71,56,5,3,5,88,5,3,87,4,55,33,56,34,86,30,89,4,88,4,4,5,15,74,17,72,13,87,16,6,59,5,59,5,5,32,3,34,3,75,58,30,3,35,3,89,4,32,15,73,17,33,4,34,3,75,4,34,17,69,18,5,3,75,3,89,13,74,18,5,3,5,18,34,4,35,4,5,58,5,19,5,4,5,3,72,54,5,18,5,86,5,59,5,4,5,19,4,58,5,16,34,3,35,19,5,15,34,4,34,13,34,59,4,56,5,3,75,18,31,17,33,89,3,2.0
5,79,4,7,2,75,77,80,7,79,12,78,12,76,13,3,90,4,82,11,78,78,8,3,8,85,8,6,84,7,77,14,77,13,83,11,86,7,85,7,4,8,8,80,10,78,7,87,9,9,80,8,79,8,5,12,3,14,3,82,79,11,3,14,3,89,4,12,8,80,11,14,5,13,2,82,3,13,10,78,12,8,2,81,2,89,8,80,11,8,3,8,11,13,3,13,3,8,78,8,12,8,3,8,2,79,76,8,11,8,83,8,80,8,4,8,12,7,79,8,9,13,3,13,12,8,8,15,5,14,8,13,79,7,77,8,3,81,11,12,11,13,86,6,1.0
4,81,3,3,1,72,78,79,3,77,12,76,11,72,14,2,91,3,85,8,80,76,5,2,5,87,4,1,86,3,75,15,74,13,84,9,89,3,88,2,1,5,4,83,7,80,2,88,5,6,79,5,77,3,4,12,1,15,2,85,77,9,1,15,2,90,1,12,4,83,8,15,4,14,1,85,1,14,7,79,9,5,1,84,1,90,3,83,8,5,1,5,7,14,1,14,2,4,76,4,7,4,2,4,1,81,72,4,7,4,84,4,78,4,2,4,9,2,77,4,4,13,2,14,9,5,4,16,4,15,3,14,78,2,75,3,2,84,8,12,8,14,89,1,1.0
4,84,3,6,1,74,81,79,6,77,13,76,13,74,15,2,91,3,86,9,83,77,9,2,8,84,7,5,83,7,76,16,75,14,81,11,86,6,85,6,2,8,6,83,7,82,4,88,6,9,79,8,77,7,4,13,2,15,2,86,77,11,2,15,2,90,2,13,6,84,9,16,4,15,2,85,2,15,8,81,9,9,2,84,1,90,4,84,8,9,2,8,7,15,2,15,3,8,77,8,7,8,2,8,2,83,74,8,7,8,82,7,78,7,3,7,8,6,77,7,6,14,2,15,9,8,6,16,4,16,4,15,78,6,76,7,2,85,9,13,9,15,86,5,1.0
4,80,3,7,1,75,77,80,7,77,12,76,11,75,13,2,91,3,84,10,79,78,9,2,9,83,7,5,82,6,76,14,76,12,80,10,85,6,84,6,1,8,5,81,8,78,3,88,6,10,79,8,78,7,4,12,1,14,2,84,77,10,1,14,3,90,1,12,6,83,10,15,4,13,1,83,1,13,9,78,11,10,1,82,1,90,5,82,9,9,1,9,8,13,1,13,2,8,76,7,8,7,2,8,1,79,75,8,8,8,80,7,79,7,2,8,10,6,77,8,5,12,3,13,11,8,6,15,4,15,5,13,79,6,77,7,3,83,10,12,10,13,85,5,1.0
4,85,3,7,1,75,83,80,7,79,12,78,12,76,14,2,91,3,87,6,84,78,8,2,8,85,8,6,84,7,77,14,77,13,83,11,86,7,85,7,3,8,5,85,6,84,3,88,5,9,80,8,79,8,4,12,2,14,2,87,79,11,2,14,2,90,3,12,4,85,6,14,4,14,2,87,3,14,6,83,7,8,2,86,1,90,3,85,7,8,2,8,6,14,2,14,3,8,78,8,7,8,2,8,2,85,76,8,6,8,83,8,80,8,3,8,7,7,79,8,5,13,2,14,7,8,4,15,4,14,3,14,79,7,77,8,2,86,6,12,6,14,86,6,1.0
5,87,4,4,2,78,85,83,4,80,9,80,8,78,10,3,90,4,88,7,86,81,7,3,6,86,4,2,85,4,79,12,79,9,83,7,88,3,87,3,2,5,4,85,4,85,4,87,5,7,82,5,81,4,5,9,2,11,3,88,80,7,2,11,4,89,2,9,5,87,7,12,5,10,2,87,2,10,5,85,7,7,2,86,2,89,4,86,5,7,2,6,4,10,2,10,3,5,80,4,4,4,3,5,2,86,78,5,4,5,83,4,82,4,3,5,6,3,80,5,4,9,4,10,7,5,5,12,5,12,4,10,82,3,80,4,4,87,7,9,7,10,88,2,2.0
4,88,3,6,1,74,86,79,6,77,13,76,12,74,14,2,91,3,89,6,87,77,9,2,8,84,7,5,83,7,76,16,75,13,81,11,86,6,85,6,2,8,3,87,3,87,3,88,4,9,79,8,77,7,4,13,2,15,2,89,77,11,2,15,2,90,2,13,4,87,6,16,4,14,2,88,2,14,4,86,6,9,2,88,2,90,3,88,4,9,2,8,3,15,2,15,3,7,77,7,4,8,3,8,2,87,74,7,3,8,82,7,78,7,3,7,5,6,77,7,3,14,2,15,6,8,4,16,4,16,3,15,78,6,76,7,2,89,6,13,6,14,86,5,1.0
3,88,3,6,1,74,86,80,6,78,11,77,10,75,12,2,91,3,89,5,87,77,9,2,8,84,7,5,83,6,76,14,76,12,81,9,86,6,85,6,2,8,3,87,3,87,3,88,4,9,80,8,79,7,4,11,2,13,2,89,78,9,2,14,2,90,2,11,4,87,5,14,4,13,2,88,2,13,4,86,5,9,2,88,2,90,3,88,4,9,2,8,3,13,2,14,3,7,78,7,4,8,3,8,2,87,75,7,3,8,82,7,79,7,3,7,5,6,78,7,3,13,2,14,6,8,4,14,3,14,3,13,80,6,77,7,2,89,6,11,6,12,86,5,2.0
4,89,3,4,1,76,87,81,4,79,11,78,11,76,13,2,91,3,90,5,88,79,7,2,6,86,5,3,85,5,78,14,77,12,83,9,88,4,87,4,2,6,3,87,3,87,2,88,3,7,81,6,79,5,4,11,2,13,2,90,79,9,2,13,2,90,2,11,3,88,5,14,4,13,2,89,2,13,4,87,5,7,2,88,1,90,2,88,4,7,2,6,3,13,2,13,3,6,79,6,3,6,2,6,2,88,76,6,3,6,84,5,80,5,3,5,4,4,79,5,3,12,2,13,5,6,3,14,4,14,2,13,80,4,78,5,2,89,5,11,5,13,88,3,2.0
5,85,4,4,2,73,82,80,4,79,11,79,11,75,14,3,90,4,87,8,84,77,6,3,5,88,5,3,87,5,76,15,76,14,86,10,89,4,88,4,4,5,5,84,7,83,3,87,5,6,80,5,79,5,5,11,4,14,3,87,79,10,3,14,3,89,4,11,5,85,8,15,5,14,3,86,4,14,7,82,8,6,3,85,2,89,3,85,7,6,4,5,7,14,3,14,4,5,79,5,7,5,3,5,4,84,75,5,7,5,86,5,80,5,4,5,7,4,79,5,5,14,3,14,8,5,5,15,5,15,3,14,79,4,76,5,3,86,8,11,8,14,89,3,2.0
4,88,4,4,2,71,86,79,4,78,11,79,11,74,14,3,90,4,89,5,87,75,6,3,5,88,5,3,87,5,74,15,75,14,86,10,89,4,88,4,4,5,4,86,4,86,3,87,4,6,79,5,79,5,5,11,3,14,3,89,78,10,3,15,3,89,4,11,4,87,5,15,5,15,3,88,4,15,5,86,5,6,3,87,2,89,3,87,5,6,3,5,4,14,3,15,4,5,79,5,5,5,3,5,3,87,74,5,4,5,86,5,79,5,4,5,5,4,78,5,4,14,3,15,6,5,4,15,4,15,3,14,79,4,75,5,3,88,6,11,6,14,89,3,2.0
3,86,3,7,1,73,84,79,7,76,12,76,12,74,14,2,91,3,88,4,85,76,9,2,9,83,8,6,82,7,74,14,75,14,80,11,85,7,84,7,2,8,4,86,5,85,2,88,4,10,78,8,78,8,4,12,2,14,2,88,76,11,2,15,2,90,2,12,3,86,4,14,4,15,2,88,2,15,5,84,5,9,2,87,1,90,2,86,6,9,2,9,5,14,2,15,3,9,77,8,5,8,2,9,2,86,75,9,5,9,81,8,78,8,3,8,6,7,77,8,4,14,2,15,6,8,3,15,3,14,2,14,79,7,76,8,2,87,5,12,5,14,85,6,1.0
5,76,4,7,2,74,74,79,7,77,13,76,12,74,14,3,90,4,78,15,75,77,9,3,9,83,8,6,82,8,76,15,75,13,80,11,85,7,84,7,3,9,13,76,14,75,12,87,14,10,79,9,77,8,5,13,2,15,3,78,77,11,2,15,3,89,2,13,13,76,15,15,5,14,2,78,2,14,14,74,16,9,2,77,2,89,12,76,15,9,2,9,14,14,2,14,3,8,77,8,15,8,3,8,2,76,74,8,14,8,81,8,78,8,3,8,16,7,77,8,13,13,3,14,16,9,13,16,5,15,12,14,78,7,76,8,3,77,15,13,15,14,85,6,1.0
5,88,4,6,2,77,86,82,6,81,10,81,10,78,12,3,90,4,89,6,87,80,8,3,7,86,7,5,85,7,79,13,79,11,84,9,87,6,86,6,4,7,4,86,4,86,3,87,4,8,82,7,81,7,5,10,3,12,3,89,81,9,3,12,3,89,4,10,4,87,6,13,5,12,3,88,4,12,5,86,6,8,3,87,2,89,3,87,5,8,3,7,4,12,3,12,4,7,81,7,5,7,3,7,3,87,78,7,4,7,84,7,82,7,4,7,5,6,81,7,4,11,3,12,6,7,4,13,5,13,3,12,81,6,79,7,3,88,6,10,6,12,87,5,2.0
4,59,3,7,1,74,56,79,7,78,13,78,13,75,14,2,91,4,62,34,59,77,9,2,8,85,8,6,84,8,76,16,76,14,83,12,86,7,85,7,3,8,29,59,30,58,28,88,31,9,79,8,78,8,4,13,2,15,2,62,78,12,2,15,3,90,3,13,31,61,34,16,4,14,2,60,3,14,32,56,34,9,2,60,2,90,28,61,32,9,2,8,31,15,3,15,3,8,78,8,32,8,3,8,2,58,75,8,31,8,83,8,79,8,3,8,32,7,78,8,30,14,3,15,34,8,31,16,4,16,28,15,78,7,76,8,3,61,34,13,34,14,86,6,1.0
5,86,4,6,2,75,84,80,6,77,12,77,12,75,13,3,90,4,88,6,85,78,8,3,8,84,7,5,83,7,76,14,76,13,81,11,86,6,85,6,3,7,3,86,4,85,3,87,4,9,79,7,78,7,5,12,2,14,3,88,77,11,2,14,3,89,2,12,4,86,6,14,5,13,2,88,2,13,4,85,6,8,2,87,2,89,3,86,5,9,3,8,4,13,2,13,3,7,78,7,5,7,3,7,2,86,76,7,5,7,82,7,79,7,3,7,6,6,78,7,3,13,3,13,6,7,4,15,5,14,3,13,79,6,77,7,3,87,6,12,6,13,86,5,1.0
3,75,3,7,1,74,73,80,7,77,11,77,11,75,13,2,91,3,77,15,74,77,9,2,9,83,8,6,82,7,75,13,76,13,80,10,85,7,84,7,2,8,15,75,16,74,13,88,15,10,79,8,79,8,4,11,2,13,2,77,77,10,2,14,2,90,2,11,14,75,15,13,4,14,2,77,2,14,16,73,16,9,2,76,1,90,13,75,17,9,2,9,16,13,2,14,3,9,78,8,16,8,2,9,2,75,76,9,16,9,81,8,79,8,3,8,17,7,78,8,15,13,2,14,17,8,14,14,3,13,13,13,80,7,77,8,2,76,16,11,16,13,85,6,1.0
