@relation 'Sax dominant'

@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMaaa numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMbcd numeric
@attribute o1atLbcd numeric
@attribute o1atMdcb numeric
@attribute o1atLdcb numeric
@attribute o1atMeec numeric
@attribute o1atLeec numeric
@attribute o1atMeca numeric
@attribute o1atLeca numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atLeee numeric
@attribute o1atMdcd numeric
@attribute o1atLdcd numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMaad numeric
@attribute o1atLaad numeric
@attribute o1atMdee numeric
@attribute o1atLdee numeric
@attribute o1atMeed numeric
@attribute o1atLeed numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMadd numeric
@attribute o1atLadd numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMade numeric
@attribute o1atLade numeric
@attribute o1atMcdc numeric
@attribute o1atLcdc numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMedc numeric
@attribute o1atLedc numeric
@attribute o1atMcde numeric
@attribute o1atLcde numeric
@attribute o1atMcbe numeric
@attribute o1atLcbe numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMaee numeric
@attribute o1atLaee numeric
@attribute o1atMeeb numeric
@attribute o1atLeeb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaae numeric
@attribute o1atLaae numeric
@attribute o1atMbce numeric
@attribute o1atLbce numeric
@attribute o1atMcdb numeric
@attribute o1atLcdb numeric
@attribute o1atMbde numeric
@attribute o1atLbde numeric
@attribute o1atMcbd numeric
@attribute o1atLcbd numeric
@attribute o1atMdbc numeric
@attribute o1atLdbc numeric
@attribute o1atMddd numeric
@attribute o1atLddd numeric
@attribute o1atMeba numeric
@attribute o1atLeba numeric
@attribute o1atMebc numeric
@attribute o1atLebc numeric
@attribute o1atMacd numeric
@attribute o1atLacd numeric
@attribute o1atMbee numeric
@attribute o1atLbee numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMedd numeric
@attribute o1atLedd numeric
@attribute o1atMabe numeric
@attribute o1atLabe numeric
@attribute o1atMbca numeric
@attribute o1atLbca numeric
@attribute o1atMcce numeric
@attribute o1atLcce numeric
@attribute o1atMecd numeric
@attribute o1atLecd numeric
@attribute o1atMadb numeric
@attribute o1atLadb numeric
@attribute o1atMbdc numeric
@attribute o1atLbdc numeric
@attribute o1atMbdb numeric
@attribute o1atLbdb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMedb numeric
@attribute o1atLedb numeric
@attribute o1atMddb numeric
@attribute o1atLddb numeric
@attribute o1atMdbb numeric
@attribute o1atLdbb numeric
@attribute o1atMbbd numeric
@attribute o1atLbbd numeric
@attribute o1atMdbd numeric
@attribute o1atLdbd numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMdaa numeric
@attribute o1atLdaa numeric
@attribute o1atMadc numeric
@attribute o1atLadc numeric
@attribute o1atMeda numeric
@attribute o1atLeda numeric
@attribute o1atMace numeric
@attribute o1atLace numeric
@attribute o1atMcee numeric
@attribute o1atLcee numeric
@attribute o1atMecc numeric
@attribute o1atLecc numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMdce numeric
@attribute o1atLdce numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbdd numeric
@attribute o1atLbdd numeric
@attribute o1atMeea numeric
@attribute o1atLeea numeric
@attribute o1atMeaa numeric
@attribute o1atLeaa numeric
@attribute o1atMabd numeric
@attribute o1atLabd numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMebb numeric
@attribute o1atLebb numeric
@attribute o1atMcda numeric
@attribute o1atLcda numeric
@attribute o1atMede numeric
@attribute o1atLede numeric
@attribute o1atMdba numeric
@attribute o1atLdba numeric
@attribute o1atMdde numeric
@attribute o1atLdde numeric
@attribute o1atMdca numeric
@attribute o1atLdca numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMecb numeric
@attribute o1atLecb numeric
@attribute o1atMaca numeric
@attribute o1atLaca numeric
@attribute o1atMece numeric
@attribute o1atLece numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMdda numeric
@attribute o1atLdda numeric
@attribute o1atMbbe numeric
@attribute o1atLbbe numeric
@attribute o1atMebe numeric
@attribute o1atLebe numeric
@attribute o1atMbda numeric
@attribute o1atLbda numeric
@attribute o1atMdbe numeric
@attribute o1atLdbe numeric
@attribute o1atMbed numeric
@attribute o1atLbed numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMbec numeric
@attribute o1atLbec numeric
@attribute o1atMcec numeric
@attribute o1atLcec numeric
@attribute o1atMcea numeric
@attribute o1atLcea numeric
@attribute o1atMbad numeric
@attribute o1atLbad numeric
@attribute o1atMebd numeric
@attribute o1atLebd numeric
@attribute o1atMcac numeric
@attribute o1atLcac numeric
@attribute o1atMced numeric
@attribute o1atLced numeric
@attribute o1atMdac numeric
@attribute o1atLdac numeric
@attribute o1atMdec numeric
@attribute o1atLdec numeric
@attribute o1atMdeb numeric
@attribute o1atLdeb numeric
@attribute o1atMcad numeric
@attribute o1atLcad numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o1atMded numeric
@attribute o1atLded numeric
@attribute o1atMdab numeric
@attribute o1atLdab numeric
@attribute o1atMada numeric
@attribute o1atLada numeric
@attribute o1atMcae numeric
@attribute o1atLcae numeric
@attribute destClass {2,3,4,1}

@data
16,59,16,48,53,16,66,25,29,22,25,63,17,18,19,21,57,23,57,16,74,17,59,20,53,24,18,31,73,17,72,17,53,26,20,22,59,20,59,21,21,19,53,26,18,65,23,56,61,17,62,18,24,19,20,60,17,62,21,19,27,17,16,73,18,22,27,20,22,27,27,19,23,26,24,25,68,19,18,19,26,17,20,30,28,19,16,64,70,17,18,22,16,64,56,19,61,17,16,28,23,27,17,28,19,62,18,62,25,17,23,20,18,26,19,30,24,20,18,67,16,30,20,27,18,19,21,21,64,18,55,17,16,65,62,17,16,69,25,22,20,19,18,21,18,31,16,71,20,17,16,29,73,17,16,28,71,17,16,27,16,72,24,17,16,67,64,17,16,74,16,22,20,21,27,17,16,30,25,17,25,19,18,62,16,69,23,19,53,18,16,20,18,30,26,17,18,56,59,18,18,25,59,17,23,17,18,26,16,62,68,17,16,26,16,30,18,19,1
15,58,11,49,51,13,67,21,20,25,23,69,11,15,13,24,57,20,56,11,79,9,67,13,58,22,12,25,81,9,80,11,56,20,13,14,67,13,65,13,15,12,58,20,12,66,22,56,69,13,68,11,25,11,12,59,15,64,16,11,26,11,12,78,13,14,23,11,25,21,26,11,24,21,23,23,76,11,14,13,23,13,12,22,27,10,14,66,78,11,13,13,12,65,58,11,67,11,11,25,23,22,15,23,15,63,17,64,26,13,26,13,17,24,16,22,25,13,12,68,13,24,13,24,15,13,14,13,70,10,58,13,11,67,69,9,13,74,24,13,15,11,13,13,12,24,12,76,17,13,15,21,81,9,14,24,79,9,15,23,11,77,25,13,11,68,69,9,11,79,15,13,17,11,26,9,12,23,26,9,24,12,13,63,12,74,23,12,58,12,15,12,13,22,25,11,14,56,65,12,14,23,67,11,26,11,14,21,13,64,76,11,13,24,11,25,15,11,4
13,61,13,50,53,13,69,25,28,20,23,65,14,15,16,19,59,25,58,13,77,14,62,17,55,22,15,29,76,15,75,14,57,28,18,20,61,18,63,20,18,17,54,25,15,67,21,57,63,14,65,17,22,19,18,61,13,64,18,16,25,14,13,76,15,19,25,18,20,26,25,17,21,29,22,23,71,16,15,16,24,14,18,28,25,16,13,67,73,14,15,19,13,66,58,18,64,14,13,26,25,25,13,26,17,64,15,65,23,14,21,18,15,24,17,29,22,17,15,69,13,28,18,25,15,16,18,18,66,16,57,14,13,67,64,16,13,72,25,20,17,16,15,18,15,29,13,74,17,14,13,28,76,14,13,26,74,15,13,25,13,75,22,14,13,69,66,14,13,77,13,20,17,19,25,14,13,28,23,16,25,16,15,64,13,72,25,16,54,16,13,18,15,29,24,14,15,57,63,16,15,23,61,15,21,15,15,29,13,65,71,15,13,24,13,28,15,19,1
11,56,10,51,48,11,66,27,25,22,22,67,11,13,13,20,55,26,55,10,80,11,64,14,56,19,12,27,79,11,78,11,57,24,15,17,63,14,65,16,15,14,56,23,13,66,24,53,65,11,67,14,25,16,14,57,13,64,15,13,26,12,11,79,12,16,27,16,20,24,28,14,25,25,24,19,74,12,13,14,26,11,15,26,28,13,11,65,76,11,13,16,11,65,59,16,66,11,10,25,26,24,13,25,17,63,14,63,24,12,22,15,14,22,17,26,25,14,12,68,11,25,14,24,13,13,15,16,69,13,58,11,10,66,66,12,11,75,28,17,14,13,12,15,13,27,11,77,16,12,11,25,79,11,11,24,77,12,11,23,10,78,24,12,10,67,68,11,10,80,11,16,17,16,27,11,11,26,25,12,28,13,13,63,11,75,26,13,56,13,11,15,13,26,27,11,13,53,65,13,13,19,63,11,22,12,13,25,11,63,74,11,11,22,10,26,13,16,1
13,58,10,51,50,12,69,21,20,22,22,69,11,14,14,22,57,18,57,10,80,9,66,11,59,22,11,25,80,10,79,10,58,17,12,15,65,15,64,12,14,12,56,20,10,68,20,59,68,13,68,10,23,12,11,59,14,66,15,11,24,11,11,79,12,15,22,11,23,21,23,10,21,18,21,23,73,11,13,14,21,13,12,22,25,10,13,68,76,10,12,14,11,67,61,11,67,10,11,24,18,21,14,22,11,66,13,66,24,13,23,15,13,23,12,21,22,11,10,70,12,24,11,23,14,13,13,13,70,10,60,13,11,69,69,10,11,75,21,13,14,11,12,14,11,23,11,77,13,13,13,21,80,9,13,24,77,10,13,23,10,78,23,13,10,70,70,9,10,80,13,15,13,12,24,9,11,22,24,10,22,12,11,66,11,75,18,13,56,12,13,12,12,21,22,10,12,59,65,11,12,23,65,12,23,12,13,18,12,66,74,11,12,23,10,24,14,12,4
19,61,16,53,57,18,67,26,28,24,26,65,18,20,20,24,61,26,60,16,74,17,63,19,58,25,18,29,73,17,72,18,58,28,20,22,62,20,63,22,21,20,57,27,18,66,25,60,64,19,65,20,25,21,20,62,19,65,21,19,26,19,17,73,18,22,27,21,24,28,27,20,25,28,25,25,68,19,19,21,26,19,20,29,27,19,18,66,70,18,18,22,18,65,60,21,64,18,17,28,26,27,19,28,20,64,19,65,25,20,24,21,19,26,20,28,25,19,18,68,18,27,20,27,20,20,21,22,67,19,59,19,17,67,65,18,17,70,26,22,20,19,18,21,18,29,17,71,20,20,19,28,73,17,18,27,71,18,19,26,16,72,25,20,17,68,66,17,16,74,19,21,20,21,26,17,18,28,25,18,26,20,19,64,17,70,26,20,57,20,19,21,19,28,26,18,20,60,63,20,20,25,62,18,24,19,20,28,18,65,68,18,18,26,17,28,20,21,3
17,60,15,49,53,16,68,24,27,22,24,66,16,18,18,21,58,23,59,15,75,15,62,16,55,23,17,28,75,15,74,15,55,25,19,18,62,17,62,18,20,17,55,25,17,67,23,59,64,16,65,17,23,18,19,61,16,64,20,17,25,16,15,74,17,20,26,19,22,26,26,17,23,25,24,24,70,15,17,18,25,17,19,28,26,17,16,66,72,15,17,20,15,66,58,18,64,15,16,26,23,25,16,26,17,65,16,64,24,16,23,17,16,25,17,27,24,16,17,69,16,27,19,25,18,17,20,20,67,17,57,17,16,67,65,15,15,70,24,18,19,17,17,19,17,28,15,72,17,17,17,27,75,15,16,26,73,15,17,25,15,73,23,17,15,69,67,15,15,75,17,18,17,19,25,15,15,27,24,15,24,17,17,65,15,70,23,18,55,18,17,19,17,27,25,15,18,59,62,17,18,24,62,16,23,16,18,25,16,64,70,15,16,25,15,27,18,18,3
17,64,14,62,60,16,68,23,22,23,23,69,15,18,17,23,64,22,63,15,76,14,67,18,64,22,16,25,76,15,75,15,64,20,18,20,66,19,66,18,19,17,63,21,16,68,22,61,68,16,69,15,24,16,17,65,18,67,19,16,25,16,16,75,16,19,24,18,23,22,25,17,23,21,22,22,71,17,18,18,23,16,18,23,26,16,17,68,73,15,17,19,16,67,66,16,68,15,15,24,22,23,18,24,20,65,20,66,24,17,23,20,20,23,20,23,23,18,16,69,16,24,17,23,18,17,19,18,70,15,65,16,15,69,69,15,18,71,23,20,18,16,16,18,16,25,16,73,21,17,17,22,76,14,17,24,74,15,17,23,15,74,24,17,14,69,70,14,14,76,17,20,21,18,25,14,16,24,24,15,23,17,18,65,17,71,22,17,63,16,17,17,18,23,24,15,18,61,66,16,18,22,66,16,23,17,18,21,17,66,71,16,17,23,14,24,18,16,3
17,65,13,55,60,15,70,19,19,23,23,70,14,17,16,22,65,19,63,13,77,12,67,14,61,22,13,24,78,12,77,13,60,19,14,15,67,15,66,13,16,14,61,20,13,69,20,62,69,15,69,12,23,13,14,66,15,68,18,14,23,14,15,76,15,17,21,13,22,20,22,12,21,20,20,22,73,13,17,16,20,16,14,21,24,12,17,70,75,13,15,15,15,68,63,13,68,13,13,23,20,21,15,21,16,66,18,68,23,15,23,15,18,23,16,20,21,14,13,71,15,23,14,23,17,15,16,15,71,12,62,16,13,71,70,12,15,72,20,13,17,14,15,16,13,22,15,74,18,16,17,20,78,12,17,23,76,12,17,23,13,75,23,16,13,71,71,12,13,77,17,15,18,13,23,12,15,21,23,12,20,13,15,66,15,72,20,14,61,14,17,14,15,20,21,13,15,62,66,13,15,22,67,14,23,14,15,20,15,68,73,13,15,23,13,23,17,13,4
13,50,12,45,39,13,64,27,27,22,23,65,12,15,14,21,49,26,48,12,78,12,60,17,51,21,14,29,78,12,77,12,50,24,17,17,61,15,60,15,17,14,53,21,14,63,22,51,63,12,63,13,24,16,16,51,16,61,17,14,29,13,13,77,14,17,27,16,24,25,29,14,23,26,25,24,73,13,15,15,27,12,16,27,30,14,13,63,75,12,14,17,13,62,53,15,62,12,12,28,27,23,16,27,15,60,13,61,27,13,25,16,13,26,15,29,26,17,14,65,13,29,17,24,15,14,16,16,65,13,53,12,12,64,63,12,13,73,29,17,16,14,14,16,14,29,13,75,15,13,13,26,78,12,13,28,76,12,13,24,12,76,24,13,12,65,65,12,12,78,13,17,15,17,29,12,13,28,27,12,29,14,15,60,13,73,27,14,53,13,13,15,15,29,28,12,15,51,60,13,15,24,61,12,25,13,15,26,13,61,73,12,13,26,12,29,15,16,1
9,55,9,53,46,9,67,24,20,19,15,71,10,11,12,17,53,20,55,10,81,10,68,11,60,14,11,23,80,11,79,10,61,17,14,13,67,11,68,12,14,13,60,15,12,67,18,54,69,10,71,12,21,14,14,56,12,64,14,12,26,10,9,80,11,15,24,15,20,17,27,13,21,18,21,16,75,11,11,12,23,10,14,20,27,12,9,65,77,10,12,15,9,66,63,14,70,10,11,20,22,17,13,20,12,65,11,63,24,10,22,11,12,18,14,23,24,11,11,68,9,22,14,17,11,12,14,15,72,12,62,10,11,66,70,11,10,76,26,13,13,12,11,14,12,23,9,78,14,10,9,19,80,10,9,20,78,11,9,17,10,79,21,10,9,68,72,10,9,81,9,13,14,15,26,10,9,22,24,11,26,12,11,65,10,76,22,12,60,12,9,14,11,23,26,10,11,54,68,12,11,16,67,11,22,11,11,18,10,63,75,11,10,18,9,22,11,14,1
15,56,13,59,51,15,65,27,23,25,21,69,14,17,16,22,56,27,55,14,77,13,67,15,63,17,14,25,77,13,76,14,63,23,16,19,66,16,66,18,17,16,61,21,15,65,25,57,68,15,69,15,26,16,16,57,20,64,18,15,28,15,15,76,15,18,28,16,22,23,28,15,25,23,26,17,72,15,17,17,27,15,16,24,29,14,15,65,74,14,16,17,15,64,65,16,68,14,14,24,27,21,20,23,18,62,17,63,27,16,26,18,18,21,18,23,26,15,14,66,15,23,16,22,17,16,17,17,71,14,64,15,14,66,69,13,16,72,27,18,17,15,15,17,15,24,15,74,19,16,15,23,77,13,16,23,75,13,16,21,14,75,26,16,13,66,70,13,13,77,16,18,19,16,28,13,15,23,27,13,27,15,16,62,16,72,27,15,61,15,15,16,16,23,27,14,16,57,66,15,16,17,66,14,26,15,16,23,16,63,72,14,16,21,13,24,17,16,3
19,61,16,52,56,18,67,24,25,23,25,67,15,20,17,23,61,24,60,17,74,14,64,18,57,24,18,27,76,15,75,15,56,25,20,18,64,17,63,18,21,17,59,23,19,67,24,60,66,16,66,17,24,18,19,62,19,65,21,16,26,16,17,73,18,19,25,18,24,25,27,17,24,26,24,25,71,16,19,18,25,16,19,26,27,16,18,66,73,15,19,19,18,66,58,18,65,15,17,27,26,24,19,26,20,64,19,65,25,17,24,18,19,26,20,26,25,19,18,68,18,27,20,25,20,17,20,19,67,16,58,16,17,67,66,15,18,69,26,18,20,16,18,18,19,27,17,71,20,17,19,25,76,14,18,27,74,15,19,25,17,72,24,17,16,68,67,14,16,74,19,18,20,18,26,14,18,26,25,15,26,17,19,64,18,69,26,17,59,17,19,18,19,26,26,15,20,60,63,17,20,25,64,16,24,17,20,26,19,65,71,16,19,26,16,27,20,18,3
12,53,10,53,44,11,65,26,25,26,24,67,12,13,14,24,52,24,52,11,80,11,65,16,58,22,12,27,79,12,78,12,58,23,14,19,64,17,64,18,15,15,57,24,13,65,26,52,66,13,67,14,27,14,13,54,15,63,15,13,28,12,11,79,12,16,27,15,24,24,29,15,27,23,26,22,74,14,13,14,27,13,13,26,29,13,12,64,76,12,13,16,11,64,59,14,66,12,11,26,25,25,15,25,15,62,15,62,27,13,26,17,15,24,16,26,27,16,12,66,11,26,14,26,13,14,14,16,68,13,59,13,11,65,66,12,12,75,27,19,14,13,12,15,13,27,11,77,16,13,12,25,79,11,12,25,77,12,12,25,11,78,27,13,10,66,67,11,10,80,12,18,16,15,28,11,11,26,27,12,27,14,13,62,12,75,25,14,57,14,12,15,13,26,28,12,13,52,64,14,13,22,64,13,26,13,13,23,12,62,74,13,12,24,10,27,13,14,3
19,60,18,50,55,19,65,27,30,25,27,63,20,21,22,23,59,26,60,19,72,18,61,21,55,27,20,31,72,19,71,19,55,28,22,23,60,22,60,22,23,21,54,27,21,66,25,58,62,20,63,20,26,21,22,61,20,64,23,20,27,20,19,71,20,23,28,22,24,28,28,21,25,28,27,27,67,20,21,22,27,21,22,30,29,20,19,64,69,19,22,23,19,65,57,21,62,19,19,29,26,28,20,29,22,63,20,62,27,20,26,22,22,27,22,30,27,21,20,67,20,30,22,28,22,21,23,22,64,19,56,21,19,65,63,19,20,67,27,23,22,20,20,22,21,31,19,69,22,21,19,29,72,18,21,29,70,19,21,28,19,70,25,21,18,66,64,18,18,72,21,23,23,22,28,18,19,30,28,19,27,21,21,63,20,67,26,22,54,21,19,21,21,30,27,19,21,58,60,20,22,27,60,21,26,21,21,28,20,62,67,20,21,27,18,30,21,21,3
15,61,13,48,54,14,69,24,29,22,27,63,14,16,16,20,60,22,60,13,77,12,63,21,54,26,15,31,78,14,77,14,54,28,17,21,62,20,61,20,18,16,54,27,14,68,21,60,63,15,64,15,22,16,16,62,15,66,18,14,24,14,14,76,15,17,24,16,21,28,25,15,22,28,23,27,73,18,16,16,23,15,17,30,25,14,15,68,75,15,15,17,14,67,55,16,63,15,14,29,22,27,15,28,15,66,15,66,24,15,23,20,16,28,16,29,24,21,14,70,15,30,16,28,17,16,17,17,64,14,54,15,14,69,64,14,14,72,24,20,17,14,15,16,15,30,14,74,16,15,15,29,78,12,16,29,76,14,16,28,13,75,22,15,13,70,64,12,13,77,16,21,16,16,24,12,14,29,24,14,24,16,15,66,14,72,22,16,54,16,15,16,16,29,24,15,15,60,61,16,16,27,62,16,23,16,16,28,14,66,73,16,15,28,13,30,16,16,3
14,58,10,49,49,12,67,21,21,25,26,66,12,14,14,24,57,19,55,10,80,10,64,15,55,24,11,28,80,11,79,11,55,20,12,17,63,16,63,14,14,13,54,22,10,65,21,52,65,13,66,11,26,11,11,58,12,63,15,12,27,12,11,79,12,15,23,11,24,23,26,11,24,21,22,24,75,12,13,14,22,13,12,23,27,11,13,66,77,11,12,14,11,64,57,11,65,11,10,27,20,24,12,25,14,62,17,64,27,13,26,17,18,27,16,24,25,15,10,67,12,27,11,26,14,13,13,13,67,11,56,13,10,66,66,11,12,75,23,15,14,12,12,14,11,26,11,77,18,14,14,23,80,10,13,27,78,11,14,26,10,78,26,14,10,67,67,10,10,80,14,17,18,12,27,10,11,25,27,11,23,12,11,62,11,75,20,13,54,13,14,13,12,24,25,11,12,52,63,12,12,24,63,13,26,13,13,21,12,64,75,12,12,27,10,27,14,11,4
12,66,10,47,60,11,72,17,22,19,23,67,11,13,13,17,65,16,64,11,80,9,64,12,57,20,11,27,81,9,80,11,54,21,13,17,65,14,62,14,14,11,52,21,11,71,16,63,67,12,65,10,19,11,11,66,13,69,15,11,22,11,11,79,12,14,19,11,17,23,21,10,17,21,19,22,76,12,13,13,19,12,12,24,22,10,12,71,78,11,13,13,12,70,57,11,64,11,11,26,16,22,13,24,13,68,15,70,22,12,21,16,16,25,14,23,20,12,11,72,12,27,11,24,14,13,13,12,67,10,57,12,11,71,67,9,13,75,19,15,14,11,12,13,12,26,12,77,16,12,12,24,81,9,13,26,79,9,13,24,11,78,19,12,10,72,67,9,10,80,13,17,16,12,22,9,12,25,22,9,19,12,12,68,12,75,16,12,52,12,12,12,12,23,20,11,12,63,62,12,13,22,65,11,21,11,12,21,12,70,76,11,13,25,10,27,13,11,2
17,53,15,59,42,16,64,28,22,26,21,69,16,18,18,26,51,26,51,15,75,15,66,16,62,20,17,25,75,16,74,15,63,21,19,19,65,17,66,18,20,18,61,20,16,63,25,50,67,16,69,17,27,19,18,54,15,60,20,17,29,16,15,74,17,20,28,19,26,21,30,17,27,22,26,21,70,16,17,18,27,17,19,23,30,17,16,62,72,15,17,20,15,62,65,19,68,15,15,23,27,21,15,22,17,60,17,60,28,16,27,18,17,22,18,23,28,16,16,65,16,24,18,22,18,17,19,20,70,17,64,17,15,63,68,16,15,70,29,18,19,17,17,19,17,24,15,72,18,17,17,22,75,15,16,23,73,16,17,22,15,73,27,17,15,65,70,15,15,75,17,19,18,19,29,15,15,23,28,16,29,17,16,60,15,70,27,18,61,18,17,19,17,23,29,15,17,50,66,17,17,21,65,17,27,17,18,22,16,60,70,16,16,22,15,24,18,19,2
10,61,8,48,54,9,70,17,17,20,20,70,9,11,11,19,59,14,61,10,82,8,66,10,56,19,10,24,82,8,81,8,58,14,12,11,66,10,68,9,13,10,57,16,10,71,15,60,68,9,69,9,21,11,10,62,12,68,13,10,23,9,8,81,10,13,18,12,20,16,23,10,20,18,16,20,77,8,10,11,17,10,12,18,24,10,9,68,79,8,12,13,8,70,59,11,68,8,10,22,18,21,13,22,12,68,13,66,22,9,21,10,13,21,13,21,21,10,10,71,9,23,10,21,11,10,13,12,71,9,58,10,10,69,69,10,11,77,22,11,12,10,10,12,11,24,8,79,14,10,10,17,82,8,9,22,80,8,10,21,10,80,21,10,8,71,71,8,8,82,10,11,14,12,23,8,8,23,22,10,22,10,10,68,10,77,18,11,57,10,10,11,10,21,22,8,11,60,68,9,11,20,66,9,21,9,11,18,11,66,77,8,11,21,8,23,11,11,3
17,59,15,57,52,16,66,26,23,25,22,69,15,18,17,23,58,25,57,15,75,14,67,16,61,20,17,25,76,16,75,14,63,23,19,19,65,17,67,18,20,19,61,22,16,65,25,55,67,15,70,18,26,18,17,60,16,63,20,16,27,15,16,74,17,19,26,18,23,22,28,18,26,23,25,20,71,16,18,17,26,16,18,24,28,16,17,65,73,14,17,19,16,64,63,18,69,14,15,24,26,22,16,22,19,62,19,63,26,15,25,17,19,22,20,23,26,16,16,67,16,24,18,24,18,16,18,19,70,16,63,16,15,66,67,16,16,70,27,18,19,16,17,18,17,24,16,72,20,16,17,23,76,14,17,23,74,16,17,23,15,73,26,16,15,67,69,14,15,75,17,18,20,18,27,14,16,23,26,16,27,16,17,62,16,70,26,17,61,17,17,18,18,23,27,14,17,55,67,16,17,20,65,17,25,17,18,23,16,63,71,16,16,22,15,25,18,18,3
12,68,12,66,64,12,73,21,20,17,15,74,13,14,15,16,66,21,66,12,78,12,71,13,69,15,14,20,78,12,77,13,68,20,17,15,71,13,70,15,17,14,68,17,14,72,18,66,73,13,73,14,18,17,17,69,13,69,17,14,20,13,12,77,14,17,21,17,16,17,21,14,18,20,19,15,73,13,14,15,20,13,17,20,21,14,12,71,75,13,14,17,12,71,71,17,72,13,12,17,21,17,13,17,15,69,13,69,19,13,17,13,14,15,15,20,19,13,14,74,13,19,17,17,15,15,17,17,75,14,70,13,12,72,74,12,12,73,21,15,16,14,14,16,14,20,12,75,15,13,12,19,78,12,13,17,76,12,13,17,12,76,18,13,12,74,75,12,12,78,13,15,15,17,20,12,12,19,19,12,21,15,14,69,12,73,21,15,68,15,12,16,14,20,20,13,14,66,70,15,15,15,71,13,17,13,14,20,12,69,73,13,13,15,12,19,14,17,1
18,56,14,53,49,16,65,24,23,27,26,66,16,18,18,26,56,23,54,14,76,14,63,17,58,25,15,28,76,14,75,15,57,22,16,20,64,20,62,19,18,16,56,23,15,64,24,55,65,17,65,15,27,16,16,57,18,63,19,16,28,16,16,75,16,19,26,16,27,24,28,15,26,24,25,26,71,16,18,18,25,18,16,25,29,15,18,65,73,16,16,18,16,63,60,16,64,16,14,27,25,25,18,26,18,61,19,63,28,17,28,20,19,27,18,25,27,17,15,66,16,27,16,26,18,17,18,18,67,15,59,18,14,66,66,14,16,71,26,19,18,16,16,18,15,27,16,73,19,18,18,24,76,14,18,27,74,14,18,26,14,74,27,18,14,66,67,14,14,76,18,20,19,16,28,14,16,26,28,14,26,16,17,61,16,71,25,17,56,17,18,17,17,25,27,16,17,55,62,16,17,26,64,16,28,16,17,24,16,63,71,15,16,27,14,27,18,16,4
12,64,8,46,57,10,71,19,22,20,23,69,10,12,12,19,63,17,64,9,82,8,66,12,55,23,9,25,82,8,81,9,55,19,10,11,66,11,66,9,12,10,57,21,10,72,19,61,68,11,68,8,21,9,10,65,11,70,13,10,21,10,9,81,10,13,21,10,20,22,21,9,19,19,20,23,77,9,11,12,20,12,10,23,23,9,11,70,79,9,12,12,10,71,57,9,67,9,10,24,17,22,11,23,13,70,13,69,21,11,21,11,14,24,13,22,20,12,9,73,10,24,10,23,12,11,12,11,70,8,56,12,10,71,69,9,11,78,19,10,12,10,10,12,10,24,10,79,14,12,12,22,82,8,11,24,80,8,12,23,10,80,20,12,9,72,70,8,9,82,12,11,15,10,22,8,10,23,22,9,19,10,10,70,10,78,17,11,57,10,12,10,10,22,20,9,11,61,66,9,11,23,66,10,21,10,11,19,11,69,77,9,11,24,9,24,12,9,4
