@relation 'Sax dominant'

@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMbcd numeric
@attribute o1atLbcd numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMfed numeric
@attribute o1atLfed numeric
@attribute o1atMeee numeric
@attribute o1atLeee numeric
@attribute o1atMeed numeric
@attribute o1atLeed numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMdee numeric
@attribute o1atLdee numeric
@attribute o1atMggg numeric
@attribute o1atLggg numeric
@attribute o1atMhgf numeric
@attribute o1atLhgf numeric
@attribute o1atMfgg numeric
@attribute o1atLfgg numeric
@attribute o1atMggf numeric
@attribute o1atLggf numeric
@attribute o1atMfee numeric
@attribute o1atLfee numeric
@attribute o1atMdeg numeric
@attribute o1atLdeg numeric
@attribute o1atMegh numeric
@attribute o1atLegh numeric
@attribute o1atMeef numeric
@attribute o1atLeef numeric
@attribute o1atMhij numeric
@attribute o1atLhij numeric
@attribute o1atMjih numeric
@attribute o1atLjih numeric
@attribute o1atLkkk numeric
@attribute o1atMjkk numeric
@attribute o1atLjkk numeric
@attribute o1atMkkj numeric
@attribute o1atLkkj numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMeff numeric
@attribute o1atLeff numeric
@attribute o1atMedd numeric
@attribute o1atLedd numeric
@attribute o1atMdde numeric
@attribute o1atLdde numeric
@attribute o1atMddd numeric
@attribute o1atLddd numeric
@attribute o1atMcde numeric
@attribute o1atLcde numeric
@attribute o1atMedc numeric
@attribute o1atLedc numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMffg numeric
@attribute o1atLffg numeric
@attribute o1atMfff numeric
@attribute o1atLfff numeric
@attribute o1atMgfe numeric
@attribute o1atLgfe numeric
@attribute o1atMijj numeric
@attribute o1atLijj numeric
@attribute o1atMjji numeric
@attribute o1atLjji numeric
@attribute o1atMghi numeric
@attribute o1atLghi numeric
@attribute o1atMihg numeric
@attribute o1atLihg numeric
@attribute o1atMjjk numeric
@attribute o1atLjjk numeric
@attribute o1atMkjj numeric
@attribute o1atLkjj numeric
@attribute o1atMjjj numeric
@attribute o1atLjjj numeric
@attribute o1atMceg numeric
@attribute o1atLceg numeric
@attribute o1atMbce numeric
@attribute o1atLbce numeric
@attribute o1atMegj numeric
@attribute o1atLegj numeric
@attribute o1atMiih numeric
@attribute o1atLiih numeric
@attribute o1atMhgg numeric
@attribute o1atLhgg numeric
@attribute o1atMggh numeric
@attribute o1atLggh numeric
@attribute o1atMjii numeric
@attribute o1atLjii numeric
@attribute o1atMhhg numeric
@attribute o1atLhhg numeric
@attribute o1atMgff numeric
@attribute o1atLgff numeric
@attribute o1atMghh numeric
@attribute o1atLghh numeric
@attribute o1atMihh numeric
@attribute o1atLihh numeric
@attribute o1atMgjk numeric
@attribute o1atLgjk numeric
@attribute o1atMhhh numeric
@attribute o1atLhhh numeric
@attribute o1atMaaa numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMdef numeric
@attribute o1atLdef numeric
@attribute o1atMgii numeric
@attribute o1atLgii numeric
@attribute o1atMiii numeric
@attribute o1atLiii numeric
@attribute o1atMfgi numeric
@attribute o1atLfgi numeric
@attribute o1atMiij numeric
@attribute o1atLiij numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMffe numeric
@attribute o1atLffe numeric
@attribute o1atMefg numeric
@attribute o1atLefg numeric
@attribute o1atMijk numeric
@attribute o1atLijk numeric
@attribute o1atMcce numeric
@attribute o1atLcce numeric
@attribute o1atMede numeric
@attribute o1atLede numeric
@attribute o1atMceh numeric
@attribute o1atLceh numeric
@attribute o1atMhkk numeric
@attribute o1atLhkk numeric
@attribute o1atMehk numeric
@attribute o1atLehk numeric
@attribute o1atMdgi numeric
@attribute o1atLdgi numeric
@attribute o1atMgik numeric
@attribute o1atLgik numeric
@attribute o1atMikk numeric
@attribute o1atLikk numeric
@attribute o1atMcdg numeric
@attribute o1atLcdg numeric
@attribute o1atMhgh numeric
@attribute o1atLhgh numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbdg numeric
@attribute o1atLbdg numeric
@attribute o1atMbbd numeric
@attribute o1atLbbd numeric
@attribute o1atMghg numeric
@attribute o1atLghg numeric
@attribute o1atMgij numeric
@attribute o1atLgij numeric
@attribute o1atMcdf numeric
@attribute o1atLcdf numeric
@attribute o1atMdfg numeric
@attribute o1atLdfg numeric
@attribute o1atMfef numeric
@attribute o1atLfef numeric
@attribute o1atMefe numeric
@attribute o1atLefe numeric
@attribute o1atMegi numeric
@attribute o1atLegi numeric
@attribute o1atMdcd numeric
@attribute o1atLdcd numeric
@attribute o1atMcei numeric
@attribute o1atLcei numeric
@attribute o1atMeik numeric
@attribute o1atLeik numeric
@attribute o1atMehj numeric
@attribute o1atLehj numeric
@attribute o1atMhjk numeric
@attribute o1atLhjk numeric
@attribute o1atMghj numeric
@attribute o1atLghj numeric
@attribute o1atMdgj numeric
@attribute o1atLdgj numeric
@attribute o1atMabd numeric
@attribute o1atLabd numeric
@attribute o1atMbdh numeric
@attribute o1atLbdh numeric
@attribute o1atMdhj numeric
@attribute o1atLdhj numeric
@attribute o1atMded numeric
@attribute o1atLded numeric
@attribute o1atMdhk numeric
@attribute o1atLdhk numeric
@attribute o1atMdeh numeric
@attribute o1atLdeh numeric
@attribute o1atMfgf numeric
@attribute o1atLfgf numeric
@attribute o1atMdfh numeric
@attribute o1atLdfh numeric
@attribute o1atMfhk numeric
@attribute o1atLfhk numeric
@attribute o1atMgfg numeric
@attribute o1atLgfg numeric
@attribute o1atMihi numeric
@attribute o1atLihi numeric
@attribute o1atMdcb numeric
@attribute o1atLdcb numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMfik numeric
@attribute o1atLfik numeric
@attribute o1atMdfi numeric
@attribute o1atLdfi numeric
@attribute o1atMfgh numeric
@attribute o1atLfgh numeric
@attribute o1atMhjj numeric
@attribute o1atLhjj numeric
@attribute o1atMefh numeric
@attribute o1atLefh numeric
@attribute o1atMfhj numeric
@attribute o1atLfhj numeric
@attribute o1atMhhi numeric
@attribute o1atLhhi numeric
@attribute o1atMbdf numeric
@attribute o1atLbdf numeric
@attribute o1atMhii numeric
@attribute o1atLhii numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMgge numeric
@attribute o1atLgge numeric
@attribute o1atMgee numeric
@attribute o1atLgee numeric
@attribute o1atMcef numeric
@attribute o1atLcef numeric
@attribute o1atMfhi numeric
@attribute o1atLfhi numeric
@attribute o1atMfhh numeric
@attribute o1atLfhh numeric
@attribute o1atMbcf numeric
@attribute o1atLbcf numeric
@attribute o1atMcfi numeric
@attribute o1atLcfi numeric
@attribute o1atMcdc numeric
@attribute o1atLcdc numeric
@attribute o1atMfij numeric
@attribute o1atLfij numeric
@attribute o1atMfjk numeric
@attribute o1atLfjk numeric
@attribute o1atMcfj numeric
@attribute o1atLcfj numeric
@attribute o1atMcfh numeric
@attribute o1atLcfh numeric
@attribute o1atMgfd numeric
@attribute o1atLgfd numeric
@attribute o1atMfdd numeric
@attribute o1atLfdd numeric
@attribute o1atMbcg numeric
@attribute o1atLbcg numeric
@attribute o1atMcgj numeric
@attribute o1atLcgj numeric
@attribute o1atMcdh numeric
@attribute o1atLcdh numeric
@attribute o1atMddf numeric
@attribute o1atLddf numeric
@attribute o1atMdfj numeric
@attribute o1atLdfj numeric
@attribute o1atMace numeric
@attribute o1atLace numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMkji numeric
@attribute o1atLkji numeric
@attribute o1atMeeg numeric
@attribute o1atLeeg numeric
@attribute o1atMjkj numeric
@attribute o1atLjkj numeric
@attribute o1atMkjk numeric
@attribute o1atLkjk numeric
@attribute o1atMhih numeric
@attribute o1atLhih numeric
@attribute o1atMffh numeric
@attribute o1atLffh numeric
@attribute o1atMjig numeric
@attribute o1atLjig numeric
@attribute o1atMigf numeric
@attribute o1atLigf numeric
@attribute o1atMefi numeric
@attribute o1atLefi numeric
@attribute o1atMfdc numeric
@attribute o1atLfdc numeric
@attribute o1atMhge numeric
@attribute o1atLhge numeric
@attribute o1atMggi numeric
@attribute o1atLggi numeric
@attribute o1atMbde numeric
@attribute o1atLbde numeric
@attribute o1atMhik numeric
@attribute o1atLhik numeric
@attribute o1atMiig numeric
@attribute o1atLiig numeric
@attribute o1atMfeg numeric
@attribute o1atLfeg numeric
@attribute o1atMegg numeric
@attribute o1atLegg numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMfec numeric
@attribute o1atLfec numeric
@attribute o1atMecb numeric
@attribute o1atLecb numeric
@attribute o1atMacf numeric
@attribute o1atLacf numeric
@attribute o1atMiji numeric
@attribute o1atLiji numeric
@attribute o1atMehi numeric
@attribute o1atLehi numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMged numeric
@attribute o1atLged numeric
@attribute o1atMjij numeric
@attribute o1atLjij numeric
@attribute o1atMihf numeric
@attribute o1atLihf numeric
@attribute o1atMhfe numeric
@attribute o1atLhfe numeric
@attribute o1atMdgh numeric
@attribute o1atLdgh numeric
@attribute destClass {2,3,7,6,4,5,1}

@data
24,86,6,64,6,87,5,87,51,28,64,39,51,41,27,63,27,63,49,41,68,24,68,24,66,25,68,25,65,28,50,26,65,23,65,26,71,19,71,20,15,77,16,77,16,30,60,5,88,5,88,30,61,4,94,65,26,49,43,48,42,47,58,30,43,30,43,6,86,66,25,66,26,66,26,73,19,74,19,69,21,70,23,76,16,76,17,75,18,31,26,6,43,66,20,71,22,69,24,68,22,73,20,69,23,67,25,68,22,70,22,70,17,69,22,0,0,94,0,94,50,27,69,21,72,21,67,22,73,19,0,94,0,88,65,27,65,25,74,17,27,43,50,39,31,24,71,16,66,17,51,22,70,17,74,16,31,26,69,22,0,94,6,26,5,64,68,23,70,19,31,28,50,26,66,26,64,27,66,22,30,58,31,23,66,17,66,20,71,17,69,19,51,20,0,64,6,24,51,20,47,43,51,17,50,24,66,26,50,24,67,17,67,24,71,21,6,63,0,94,68,17,51,23,66,23,71,19,65,23,67,20,70,21,6,28,70,21,4,88,66,25,65,26,31,27,67,22,66,23,6,28,31,23,25,64,68,20,68,17,31,20,31,24,51,26,49,28,6,26,31,20,31,24,49,27,51,20,0,43,0,88,74,17,65,25,75,17,77,15,69,22,66,23,70,20,68,23,66,22,30,28,66,24,69,21,6,43,71,17,70,22,66,25,65,25,0,88,30,28,6,43,0,28,72,20,66,22,0,94,51,26,74,18,68,23,66,24,50,23,5.0
34,80,12,57,12,81,12,81,49,30,62,41,49,43,35,56,36,57,48,43,65,26,66,27,64,27,65,27,63,30,49,28,64,26,63,29,69,22,69,22,16,76,17,76,17,37,54,11,82,11,82,37,54,10,94,63,29,47,45,47,44,45,52,38,45,37,45,12,80,64,27,64,28,64,28,71,21,72,21,67,24,67,25,75,17,75,18,74,20,38,28,12,45,64,22,69,24,66,26,66,25,71,22,66,26,65,27,66,25,68,24,67,18,67,25,0,0,94,0,94,49,30,67,24,70,23,65,25,71,21,0,94,0,82,63,29,63,28,72,18,36,45,49,41,38,27,69,17,64,18,49,25,67,18,72,17,38,28,67,25,0,94,12,28,11,57,65,26,67,22,38,30,49,28,64,28,62,30,64,25,38,53,38,25,64,18,64,22,69,18,67,22,49,22,0,57,12,27,49,22,45,45,49,18,49,27,64,28,49,27,66,18,65,26,69,23,12,56,0,94,66,18,49,25,65,26,69,21,64,27,66,22,68,24,12,30,68,24,10,82,64,27,63,28,38,30,66,25,65,26,12,30,38,25,34,56,66,22,66,18,38,22,38,27,49,28,47,30,12,28,38,22,38,27,47,30,49,22,0,45,0,82,72,18,63,28,74,18,76,16,67,25,65,26,67,22,66,25,64,25,37,30,64,27,66,24,12,45,69,18,67,24,64,27,63,27,0,82,37,30,12,45,0,30,70,22,64,25,0,94,49,28,72,20,66,25,64,27,49,26,2.0
24,94,0,64,0,94,0,94,54,31,61,36,54,38,27,64,27,64,52,38,70,24,68,22,66,25,68,25,62,31,53,26,63,21,62,29,75,15,76,16,10,82,11,82,11,30,61,0,94,0,94,29,61,0,94,62,29,52,40,51,39,50,58,29,40,30,40,0,94,66,25,66,29,63,26,77,14,78,15,71,17,72,18,81,11,81,12,80,14,30,26,0,40,63,16,76,17,71,22,71,20,77,16,72,21,67,26,71,20,75,18,72,12,74,20,0,0,94,0,94,53,30,71,17,76,16,67,18,77,14,0,94,0,94,63,30,62,25,78,11,27,40,53,36,30,22,76,11,63,12,54,18,72,12,78,11,30,26,72,20,0,94,0,26,0,64,70,21,72,15,30,31,53,26,63,29,61,30,63,18,30,58,30,18,63,12,63,16,76,12,72,15,54,16,0,64,0,22,54,16,50,40,54,12,53,22,66,26,54,22,68,12,67,24,75,16,0,64,0,94,68,12,54,18,67,21,75,15,63,21,68,16,74,17,0,31,74,17,0,94,63,25,62,26,30,30,67,18,67,21,0,31,30,18,24,64,68,15,68,12,30,16,30,22,54,26,52,31,0,26,30,16,30,22,52,30,54,16,0,40,0,94,78,12,62,25,80,12,82,10,74,18,67,21,72,16,68,18,63,18,30,31,63,22,71,17,0,40,75,12,72,17,63,25,62,25,0,94,30,31,0,40,0,31,76,15,63,18,0,94,54,26,78,14,68,18,63,22,54,21,3.0
23,80,11,66,11,81,10,81,37,45,47,53,37,55,25,66,25,65,35,55,56,42,50,33,49,42,50,43,48,45,36,43,48,33,47,43,70,18,71,20,9,83,10,83,10,27,65,11,82,10,81,26,64,10,83,47,43,35,57,34,56,33,63,26,56,27,57,11,80,49,42,48,43,49,44,73,18,74,19,59,22,60,23,82,10,82,11,81,18,27,43,11,57,49,19,71,22,58,33,58,33,73,20,60,31,49,43,59,31,70,23,61,11,69,29,7,8,85,8,85,35,44,59,22,72,21,49,22,73,18,9,84,8,82,48,44,48,42,74,10,25,56,36,53,27,34,71,10,49,11,36,23,60,11,74,10,27,43,60,29,8,84,12,44,11,66,56,33,60,19,26,44,36,43,48,43,47,44,48,22,27,63,27,23,49,11,49,19,71,10,60,19,37,20,9,67,12,34,37,19,33,57,37,11,36,34,48,43,36,34,50,11,50,42,70,21,12,67,9,83,50,11,36,23,49,33,70,18,48,33,50,19,69,21,11,45,69,21,10,82,49,43,48,44,26,44,49,22,49,31,11,45,27,23,23,66,50,19,50,11,27,20,27,34,37,44,35,45,11,44,27,20,27,34,34,44,36,20,9,57,8,82,74,11,48,42,81,11,83,9,69,22,49,33,60,20,50,23,48,22,27,45,49,33,58,22,11,57,70,10,60,22,49,42,48,42,9,82,27,45,12,57,9,45,72,19,48,22,7,85,37,44,74,18,50,23,49,33,36,34,4.0
30,80,11,60,12,81,11,81,42,39,53,48,42,50,32,60,31,59,40,49,63,32,58,28,58,34,58,33,53,39,41,35,54,28,54,39,69,19,70,20,12,80,12,80,13,34,58,11,82,11,81,32,58,10,84,54,39,40,52,39,50,38,56,32,51,34,52,12,80,57,35,56,39,53,34,72,19,74,19,65,22,65,24,79,12,79,14,78,18,33,36,11,52,55,20,70,23,64,28,64,27,73,20,65,27,57,34,64,26,69,24,66,13,68,26,6,7,86,7,86,41,39,65,22,72,22,59,23,72,19,8,85,8,82,53,39,54,35,73,13,31,51,41,48,33,29,70,13,55,14,42,23,66,13,74,13,33,36,65,26,7,85,12,36,11,60,63,27,65,19,33,40,41,35,54,39,53,39,55,23,33,56,33,24,55,14,55,20,70,13,65,19,42,20,8,60,12,29,42,20,38,51,42,14,41,28,56,35,41,28,59,14,58,32,70,22,12,60,8,84,60,14,42,23,58,28,69,19,54,28,59,20,69,22,12,40,69,22,10,82,53,33,53,34,33,40,59,23,58,27,12,41,34,24,30,60,59,20,60,13,34,20,33,29,42,34,40,39,12,36,34,20,33,29,40,39,42,20,8,52,7,82,74,14,54,35,78,13,80,12,68,23,57,28,65,20,58,24,55,23,34,39,53,28,65,22,11,51,70,13,65,23,54,35,54,34,8,82,34,39,12,52,8,41,72,20,55,23,6,86,42,34,73,18,58,24,53,28,41,28,4.0
26,75,14,64,15,77,14,77,46,44,46,46,45,47,28,64,27,63,44,46,63,30,60,27,58,32,59,32,48,43,45,33,49,26,48,42,75,11,76,13,7,85,8,85,8,30,62,13,79,13,79,28,62,11,90,49,41,45,48,44,46,44,60,28,47,30,48,15,75,57,33,56,40,50,34,80,11,81,12,65,16,67,18,84,8,84,9,83,11,29,34,14,48,50,12,75,16,65,26,64,25,80,12,67,25,58,34,65,24,74,18,67,8,72,23,0,1,92,1,92,45,42,65,15,79,14,58,17,80,11,2,91,2,79,50,42,49,33,81,8,27,47,45,46,29,27,76,8,50,9,45,17,66,8,81,8,29,34,66,23,2,91,15,34,13,64,63,26,66,11,29,43,45,33,50,40,46,43,49,17,29,60,29,18,50,9,50,12,76,8,66,11,46,12,2,64,15,27,46,12,44,47,46,9,45,26,56,34,45,26,59,9,59,30,75,14,15,64,2,90,59,9,45,17,58,26,75,11,49,26,59,12,73,16,15,43,74,15,11,79,50,32,48,34,29,43,58,17,58,25,15,44,29,18,26,64,59,12,60,9,30,13,29,27,46,34,45,44,15,34,30,12,29,27,45,42,46,12,2,48,1,79,81,9,48,33,83,9,85,7,72,17,57,26,67,13,60,18,49,17,30,44,50,27,64,16,14,47,75,8,67,16,50,33,49,32,2,79,30,44,15,48,2,44,79,12,49,17,0,92,46,34,81,11,60,18,50,27,45,26,6.0
17,86,6,73,6,87,5,87,47,30,61,41,47,43,19,72,19,72,47,44,71,25,67,21,66,25,67,26,62,30,48,26,63,20,62,29,75,13,76,15,9,83,10,83,10,21,70,5,88,5,88,21,71,4,94,62,28,45,45,45,46,43,69,21,47,21,45,6,86,66,25,65,28,63,27,78,13,79,14,71,17,73,18,82,10,82,11,81,13,22,26,6,47,64,14,76,17,72,21,71,20,78,15,73,20,66,27,71,20,75,18,73,11,74,19,0,0,94,0,94,47,30,71,17,77,16,66,17,78,13,0,94,0,88,63,29,63,25,79,10,19,47,47,41,22,21,76,10,64,11,48,18,72,11,79,10,22,27,72,19,0,94,6,27,5,73,71,21,72,14,21,31,48,26,63,28,61,29,63,17,21,69,22,18,64,11,64,14,76,10,72,14,49,15,0,73,6,21,49,14,43,46,49,11,48,21,65,26,48,21,67,11,67,25,75,16,6,72,0,94,67,11,48,18,66,20,75,13,63,20,67,14,74,16,6,31,74,16,4,88,63,26,62,27,21,30,66,17,66,20,6,31,22,18,18,73,67,14,67,11,22,15,22,21,47,27,45,30,6,27,22,15,22,21,45,30,48,15,0,47,0,88,79,11,63,25,81,11,83,9,74,17,66,20,73,15,67,18,63,17,21,30,63,21,71,17,6,47,75,10,73,17,64,25,63,25,0,88,21,30,6,45,0,31,77,14,63,17,0,94,47,27,79,13,67,18,63,21,48,21,7.0
17,79,12,73,13,80,12,80,35,51,38,55,35,57,19,73,18,72,34,56,65,31,58,27,57,32,58,33,40,51,34,35,42,26,39,51,69,19,71,20,10,82,10,82,11,21,71,12,81,12,80,19,71,11,82,41,50,33,59,33,57,31,69,20,58,21,59,13,79,56,34,55,47,42,35,72,18,74,19,66,22,67,23,81,10,81,12,80,18,20,36,13,59,42,20,71,22,66,27,66,25,73,20,67,26,56,35,66,25,70,23,67,11,69,25,8,9,84,9,84,34,51,66,22,72,21,58,22,72,18,10,83,10,81,42,49,41,35,73,10,19,58,35,55,21,27,71,11,43,12,35,23,67,11,74,10,20,36,67,25,9,83,13,36,12,73,65,26,66,19,20,52,34,35,41,47,38,52,42,23,20,69,21,23,43,11,42,20,70,11,66,19,35,20,10,73,13,27,35,20,31,58,35,12,35,26,55,34,35,26,59,11,58,32,70,21,13,73,10,82,59,11,35,23,58,25,69,19,42,26,58,19,69,22,13,52,69,22,11,81,42,33,40,35,20,52,58,22,58,25,13,52,21,23,17,73,58,19,59,11,21,20,21,26,35,35,33,51,13,36,21,20,20,27,33,51,35,20,10,59,9,81,74,12,39,35,80,11,82,10,69,23,57,25,67,20,58,23,42,23,21,51,42,27,66,22,13,58,70,11,67,22,41,34,41,33,10,81,21,51,13,59,10,52,72,19,42,23,8,84,35,35,73,18,58,23,42,27,35,26,3.0
22,80,11,68,12,81,11,81,51,40,52,41,51,41,24,68,23,67,52,41,61,32,58,29,58,33,58,33,52,40,52,35,53,30,52,41,70,12,69,13,8,84,9,84,9,26,66,11,82,11,82,24,66,10,86,52,41,51,41,52,41,51,64,25,42,26,41,12,80,57,34,56,40,52,34,80,11,81,12,64,24,63,23,83,9,83,10,82,11,25,36,12,43,53,13,69,22,62,29,63,29,80,13,63,28,57,34,64,28,68,23,65,10,67,27,4,5,88,5,88,52,41,64,23,79,21,59,24,80,11,6,87,6,82,52,40,52,35,81,9,24,42,52,41,26,31,71,9,54,10,53,25,65,10,81,9,25,36,64,27,6,87,12,36,11,68,61,29,65,12,25,42,52,35,52,40,52,41,53,25,25,64,26,25,54,10,54,13,71,10,65,12,53,13,6,68,12,31,53,13,51,41,53,10,53,30,56,34,53,30,60,10,58,32,69,21,12,68,6,86,60,10,53,25,59,29,70,12,53,30,60,12,68,24,12,42,69,23,10,82,52,33,52,34,25,42,59,24,59,28,12,42,26,25,22,68,60,12,60,10,26,13,26,30,51,34,51,40,12,36,26,13,25,31,52,41,53,13,6,43,5,82,81,10,52,35,82,10,84,8,67,24,58,29,63,13,58,23,53,25,26,40,52,29,63,24,12,42,70,10,63,22,52,34,52,34,6,82,26,40,12,41,6,42,79,12,53,25,4,88,51,34,81,11,58,23,52,29,53,30,2.0
16,77,14,74,15,78,14,78,25,53,34,64,24,66,18,74,17,73,23,65,63,37,52,29,51,39,51,39,36,52,25,41,40,28,37,53,66,23,67,24,4,88,5,88,5,20,72,14,79,14,78,17,72,13,80,39,52,23,68,23,65,22,70,18,67,20,68,15,77,50,41,48,50,38,40,69,22,70,23,64,26,65,27,87,5,87,6,86,22,19,42,14,68,40,24,67,26,64,28,64,27,69,24,64,28,50,40,64,27,66,26,65,6,65,27,10,11,82,11,82,25,54,64,26,68,25,52,27,69,22,12,81,12,79,37,51,39,41,70,5,17,67,24,64,19,29,67,5,40,6,26,27,65,6,70,5,19,42,65,27,11,81,15,42,14,74,63,28,65,23,19,55,25,41,39,50,34,53,40,27,19,70,19,27,40,6,40,24,67,6,65,23,26,24,12,74,15,29,26,24,22,67,26,6,25,28,48,41,26,28,53,6,52,37,66,25,15,74,12,80,53,6,26,27,52,28,66,23,40,28,53,24,65,26,15,55,65,26,13,79,38,39,36,40,19,55,52,27,52,28,15,56,20,27,16,74,53,23,53,6,20,24,20,29,26,41,24,54,15,42,20,24,19,29,24,54,26,24,12,68,11,79,70,6,37,41,86,6,88,4,65,27,51,28,65,24,52,27,40,27,20,54,38,29,64,26,14,67,66,6,65,26,39,41,39,39,12,79,20,53,15,68,12,56,68,23,40,27,10,82,25,41,70,22,52,27,38,29,26,28,5.0
22,84,7,68,8,85,7,85,36,32,56,54,36,56,24,68,23,67,35,55,71,20,71,21,70,20,70,21,58,32,35,22,61,20,58,33,74,16,75,17,11,81,12,81,12,26,66,7,86,7,86,24,66,6,94,60,31,34,58,34,56,32,64,25,57,26,58,8,84,70,21,69,28,60,22,76,15,77,16,72,18,73,19,80,12,80,13,79,15,25,23,8,58,61,17,75,18,72,20,72,19,76,17,72,20,70,21,72,19,74,18,73,13,73,19,0,0,94,0,94,35,33,72,18,75,17,71,18,76,15,0,94,0,86,59,30,60,22,77,12,24,57,36,54,26,21,75,12,62,13,36,19,73,13,77,12,25,23,73,19,0,94,8,23,7,68,71,20,73,16,25,34,35,22,60,28,56,33,61,19,25,64,26,19,62,13,62,17,75,13,73,16,36,17,0,68,8,21,36,17,32,57,36,13,36,20,69,21,36,20,72,13,71,20,74,17,8,68,0,94,72,13,36,19,71,19,74,16,61,20,72,16,73,18,8,34,73,18,6,86,60,21,58,22,25,34,71,18,71,19,8,34,26,19,22,68,72,16,72,13,26,17,26,20,36,22,34,32,8,23,26,17,25,21,34,33,36,17,0,58,0,86,77,13,58,22,79,13,81,11,73,19,71,19,73,17,71,19,61,19,26,32,60,21,72,18,8,57,74,13,73,18,60,21,60,21,0,86,26,32,8,58,0,34,75,16,61,19,0,94,36,22,77,15,71,19,60,21,36,20,3.0
17,79,12,73,12,80,12,80,29,55,35,61,29,63,19,72,18,72,27,62,71,28,62,21,61,29,62,30,37,55,28,30,38,22,36,53,72,18,71,20,9,83,10,83,10,21,71,12,81,12,80,19,71,11,82,37,52,27,65,26,63,25,69,19,64,21,65,13,79,60,30,58,51,39,32,73,18,74,19,71,22,71,21,82,10,82,11,81,18,20,31,12,65,39,19,71,21,71,21,71,22,73,20,71,21,60,32,71,22,71,21,73,11,71,21,8,9,84,9,84,27,53,71,22,72,21,61,22,73,18,10,83,10,81,39,53,38,30,74,10,18,64,28,61,20,23,73,10,39,11,28,22,72,11,74,10,20,31,71,21,9,83,13,31,12,73,71,22,72,19,19,54,28,30,38,51,35,54,38,22,20,69,20,23,39,11,39,19,73,10,72,19,29,19,10,73,13,23,29,19,25,64,29,11,28,22,58,31,28,22,62,11,62,28,71,21,13,73,10,82,62,11,28,22,61,22,72,18,38,22,62,19,71,21,12,54,71,21,11,81,39,30,37,32,19,54,61,22,61,22,12,55,20,23,17,73,62,19,62,11,20,20,20,23,29,32,27,55,13,32,21,20,20,23,26,53,28,19,10,65,9,81,74,11,37,30,81,11,83,9,71,21,60,22,71,20,62,21,38,22,21,55,39,21,71,22,12,64,72,10,71,21,39,30,38,29,10,81,21,55,13,65,10,55,72,19,38,22,8,84,29,32,74,18,62,21,39,21,28,22,3.0
29,71,19,61,19,73,18,73,48,44,48,44,48,45,31,61,31,60,46,45,59,41,51,31,49,41,51,42,49,44,46,42,49,31,48,42,73,13,72,14,8,84,9,84,9,32,59,17,75,17,74,32,59,15,88,48,42,47,45,46,45,46,57,32,46,33,46,19,71,49,41,49,42,50,43,79,12,80,13,62,21,61,20,83,9,83,10,82,12,32,42,19,46,49,13,72,19,60,31,61,31,79,14,61,30,50,42,62,30,71,20,63,10,70,29,2,3,90,3,90,46,43,62,20,78,18,50,21,79,12,4,89,4,75,49,43,48,41,80,9,31,46,47,44,33,32,74,9,50,10,47,22,63,10,80,9,32,43,62,29,3,89,19,43,17,61,59,31,63,13,32,44,46,42,49,42,48,43,49,21,33,57,33,22,50,10,50,13,74,10,63,13,47,14,4,61,19,33,48,14,46,46,48,10,47,32,49,42,47,32,51,10,50,41,72,18,19,61,4,88,51,10,47,22,50,31,73,13,49,31,51,13,71,21,19,44,72,20,15,75,50,42,49,43,32,43,50,21,50,30,19,44,33,22,29,61,51,13,51,10,33,14,33,32,48,43,47,44,19,43,33,14,33,33,46,43,47,14,4,46,3,75,80,10,48,41,82,10,84,8,70,21,50,31,61,14,51,20,49,21,33,44,50,31,61,21,19,46,73,10,61,19,49,41,48,41,4,75,33,44,19,46,4,44,78,13,49,21,2,90,48,43,80,12,51,20,50,31,47,32,4.0
