@relation 'Sax dominant'

@attribute o1atMaaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMcee numeric
@attribute o1atLcee numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMdde numeric
@attribute o1atLdde numeric
@attribute o1atLeee numeric
@attribute o1atMedd numeric
@attribute o1atLedd numeric
@attribute o1atMcce numeric
@attribute o1atLcce numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMddd numeric
@attribute o1atLddd numeric
@attribute o1atMdee numeric
@attribute o1atLdee numeric
@attribute o1atMeed numeric
@attribute o1atLeed numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMbdd numeric
@attribute o1atLbdd numeric
@attribute o1atMbee numeric
@attribute o1atLbee numeric
@attribute o1atMbbe numeric
@attribute o1atLbbe numeric
@attribute o1atMbbd numeric
@attribute o1atLbbd numeric
@attribute o1atMcde numeric
@attribute o1atLcde numeric
@attribute o1atMaee numeric
@attribute o1atLaee numeric
@attribute o1atMbcd numeric
@attribute o1atLbcd numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMaae numeric
@attribute o1atLaae numeric
@attribute o1atMadd numeric
@attribute o1atLadd numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMaad numeric
@attribute o1atLaad numeric
@attribute o1atMdcb numeric
@attribute o1atLdcb numeric
@attribute o1atMedc numeric
@attribute o1atLedc numeric
@attribute o1atMbde numeric
@attribute o1atLbde numeric
@attribute o1atMacd numeric
@attribute o1atLacd numeric
@attribute o1atMbce numeric
@attribute o1atLbce numeric
@attribute o1atMdba numeric
@attribute o1atLdba numeric
@attribute o1atMddb numeric
@attribute o1atLddb numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMdca numeric
@attribute o1atLdca numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMdbb numeric
@attribute o1atLdbb numeric
@attribute o1atMabd numeric
@attribute o1atLabd numeric
@attribute o1atMeec numeric
@attribute o1atLeec numeric
@attribute o1atMecc numeric
@attribute o1atLecc numeric
@attribute destClass {1.0,2.0}

@data
19,24,68,23,67,44,51,48,45,46,45,38,53,38,54,48,13,22,71,37,65,21,69,25,55,39,53,39,52,79,15,11,78,13,46,15,46,46,77,44,81,13,79,12,45,46,41,46,41,13,39,15,39,48,48,15,25,13,40,47,23,53,22,15,25,46,25,53,22,55,22,48,39,46,46,13,41,15,25,47,40,15,23,46,39,45,21,53,23,46,23,52,38,46,25,48,46,12,45,13,2.0
22,25,68,24,67,40,59,43,46,44,46,30,61,30,62,46,10,24,70,29,66,23,68,26,63,31,61,31,60,79,11,8,78,12,43,12,42,48,76,44,82,10,80,10,42,48,31,47,33,11,31,14,30,50,45,12,26,11,31,49,24,61,24,14,26,47,26,61,24,63,24,50,31,48,44,12,32,13,26,49,32,13,24,48,31,46,23,61,24,48,24,60,30,48,26,50,44,10,42,12,1.0
19,23,71,21,70,36,58,38,53,38,53,31,60,31,62,40,8,21,73,30,69,20,71,23,62,32,60,32,59,83,9,7,82,9,38,9,37,54,81,52,85,8,83,8,37,54,32,54,34,9,32,11,31,56,39,9,23,9,32,55,21,60,21,11,23,54,23,60,21,62,21,56,32,54,38,9,33,10,23,55,33,10,21,54,32,53,20,60,21,54,21,59,31,54,23,56,38,8,37,9,1.0
22,26,68,24,67,39,56,43,47,43,47,33,58,33,60,45,12,24,70,32,66,23,68,26,60,33,58,34,57,79,13,11,78,13,42,13,41,48,77,45,81,12,79,12,41,49,34,48,36,13,34,15,33,51,44,13,26,13,34,50,24,58,24,15,26,48,26,58,24,60,24,51,34,49,43,13,35,14,26,50,35,14,24,49,34,47,23,58,24,49,24,57,33,49,26,51,43,12,41,13,2.0
19,23,71,21,70,36,59,38,53,38,53,30,61,30,63,40,11,21,73,29,69,20,71,23,63,31,61,31,60,78,13,9,77,13,38,13,37,54,75,52,81,11,79,11,37,54,31,54,33,12,31,15,30,56,39,13,23,12,31,55,21,61,21,15,23,54,23,61,21,63,21,56,31,54,38,13,32,14,23,55,32,14,21,54,31,53,20,61,21,54,21,60,30,54,23,56,38,11,37,13,1.0
12,14,78,14,77,54,46,60,32,58,32,40,50,40,50,60,14,13,80,38,76,13,78,14,51,41,48,41,48,80,15,13,79,13,57,15,57,33,79,30,81,14,79,13,56,33,44,32,44,14,41,15,41,34,60,15,16,14,43,34,14,50,14,15,16,33,14,49,13,52,14,36,42,34,58,13,44,15,15,35,43,15,14,34,42,32,13,50,14,34,14,48,40,34,15,35,58,13,56,13,2.0
18,22,72,20,71,52,51,55,35,56,34,38,53,39,55,58,20,20,74,37,70,19,72,22,55,41,53,39,52,72,19,18,71,20,55,22,54,38,70,32,74,19,72,19,54,36,41,35,41,20,39,22,39,38,57,21,22,20,41,38,20,53,20,22,22,35,22,53,20,55,20,38,39,36,56,20,41,21,22,38,41,22,20,36,39,34,19,53,20,36,20,52,38,36,22,38,56,19,54,20,1.0
18,20,72,20,71,55,52,59,32,59,31,34,56,35,56,61,17,19,74,32,70,19,72,21,57,38,54,36,54,75,17,15,74,17,58,19,57,35,73,29,77,16,75,16,57,33,38,32,38,17,35,19,35,35,60,18,22,17,38,35,20,56,20,19,22,32,22,55,20,58,20,35,36,33,59,17,38,18,22,35,38,19,20,33,36,31,19,56,20,33,20,54,34,33,21,35,59,16,57,17,1.0
23,27,67,25,66,43,61,47,44,47,43,31,61,32,63,49,13,25,69,31,65,24,67,27,63,32,62,31,61,79,13,11,78,13,46,15,45,46,77,41,81,12,79,12,45,45,33,44,33,13,32,15,32,47,48,14,27,13,33,47,25,61,25,15,27,44,27,62,25,63,25,47,31,45,47,13,33,14,27,47,33,15,25,45,31,43,24,61,25,45,25,61,31,45,27,47,47,12,45,13,2.0
27,28,66,27,65,40,58,42,49,42,49,31,60,31,61,44,5,28,67,30,65,27,65,29,62,32,60,32,59,86,6,4,85,6,42,6,41,50,84,48,88,5,86,5,41,50,32,50,34,6,32,8,31,52,43,6,29,6,32,51,27,60,28,8,29,50,29,60,28,62,28,52,32,50,42,6,33,7,29,51,33,7,27,50,32,49,27,60,27,50,27,59,31,50,29,52,42,5,41,6,1.0
27,28,66,27,65,40,58,42,49,42,49,31,60,31,61,44,10,28,67,30,65,27,65,29,62,32,60,32,59,79,12,8,78,12,42,12,41,50,76,48,82,10,80,10,41,50,32,50,34,11,32,14,31,52,43,12,29,11,32,51,27,60,28,14,29,50,29,60,28,62,28,52,32,50,42,12,33,13,29,51,33,13,27,50,32,49,27,60,27,50,27,59,31,50,29,52,42,10,41,12,1.0
22,26,68,24,67,46,56,50,40,50,40,33,58,33,60,52,15,24,70,32,66,23,68,26,60,33,58,34,57,76,16,14,75,16,49,16,48,41,74,38,78,15,76,15,48,42,34,41,36,16,34,18,33,44,51,16,26,16,34,43,24,58,24,18,26,41,26,58,24,60,24,44,34,42,50,16,35,17,26,43,35,17,24,42,34,40,23,58,24,42,24,57,33,42,26,44,50,15,48,16,2.0
27,28,66,27,65,36,59,38,53,38,53,30,61,30,62,40,10,28,67,29,65,27,65,29,63,31,61,31,60,79,12,8,78,12,38,12,37,54,76,52,82,10,80,10,37,54,31,54,33,11,31,14,30,56,39,12,29,11,31,55,27,61,28,14,29,54,29,61,28,63,28,56,31,54,38,12,32,13,29,55,32,13,27,54,31,53,27,61,27,54,27,60,30,54,29,56,38,10,37,12,1.0
22,26,68,24,67,49,56,53,37,53,37,33,58,33,60,55,12,24,70,32,66,23,68,26,60,34,58,34,57,79,13,11,78,13,52,13,51,39,77,35,81,12,79,12,51,39,34,38,36,13,34,15,33,41,54,13,26,13,34,40,24,58,24,15,26,38,26,58,24,60,24,41,34,39,53,13,35,14,26,40,35,14,24,39,34,37,23,58,24,39,24,57,33,39,26,41,53,12,51,13,1.0
22,25,68,24,67,38,59,44,45,44,45,30,61,30,62,46,11,24,70,29,66,23,68,26,63,31,61,31,60,78,13,9,77,13,42,13,41,48,75,42,81,11,79,11,41,48,31,46,33,12,31,15,30,50,45,13,26,12,31,49,24,61,24,15,26,46,26,61,24,63,24,50,31,48,44,13,32,14,26,49,32,14,24,48,31,45,23,61,24,48,24,60,30,48,26,50,44,11,41,13,1.0
15,19,75,17,74,56,50,58,30,60,30,36,54,36,56,62,19,17,77,34,73,16,75,19,56,38,53,38,52,71,18,16,70,20,59,22,57,32,68,28,74,17,72,18,58,32,40,31,40,19,37,22,37,34,60,20,19,19,39,33,17,54,17,22,19,31,19,53,17,56,17,34,38,32,60,20,40,20,19,33,39,22,17,32,38,30,16,54,17,32,17,52,36,32,19,34,60,18,58,20,1.0
19,23,71,21,70,37,56,41,48,41,49,33,58,32,60,43,15,21,73,32,69,20,71,23,60,32,58,34,57,74,17,13,73,17,40,17,39,49,71,47,77,15,75,15,39,51,34,50,36,16,34,19,33,53,42,17,23,16,33,51,21,58,21,19,23,50,23,58,21,60,21,53,34,51,41,17,35,18,23,51,34,18,21,51,34,49,20,58,21,51,21,57,33,51,23,53,41,15,39,17,1.0
18,22,72,20,71,52,55,54,38,54,37,34,57,35,59,56,14,20,74,33,70,19,72,22,59,37,57,35,56,78,14,12,77,14,54,16,53,40,76,36,80,13,78,13,53,38,37,38,37,14,35,16,35,40,55,15,22,14,37,40,20,57,20,16,22,38,22,57,20,59,20,40,35,38,54,14,37,15,22,40,37,16,20,38,35,37,19,57,20,38,20,56,34,38,22,40,54,13,53,14,2.0
22,26,68,24,67,46,61,50,41,50,40,31,61,32,63,52,13,24,70,31,66,23,68,26,63,32,62,31,61,79,13,11,78,13,49,15,48,43,77,38,81,12,79,12,48,42,33,41,33,13,32,15,32,44,51,14,26,13,33,44,24,61,24,15,26,41,26,62,24,63,24,44,31,42,50,13,33,14,26,44,33,15,24,42,31,40,23,61,24,42,24,61,31,42,26,44,50,12,48,13,2.0
19,23,71,21,70,38,56,42,48,42,48,33,58,33,60,44,11,21,73,32,69,20,71,23,60,33,58,34,57,78,13,9,77,13,41,13,40,49,75,46,81,11,79,11,40,50,34,49,36,12,34,15,33,52,43,13,23,12,34,51,21,58,21,15,23,49,23,58,21,60,21,52,34,50,42,13,35,14,23,51,35,14,21,50,34,48,20,58,21,50,21,57,33,50,23,52,42,11,40,13,1.0
27,29,66,27,65,39,55,41,49,41,50,34,57,33,59,43,5,28,67,33,65,27,65,29,59,33,57,35,56,86,6,4,85,6,41,6,40,49,84,49,88,5,86,5,40,51,35,51,37,6,35,8,34,53,42,6,29,6,34,51,27,57,28,8,29,51,29,57,28,59,28,53,35,51,41,6,36,7,29,51,35,7,27,51,35,50,27,57,27,51,27,56,34,51,29,53,41,5,40,6,1.0
8,10,82,10,81,62,37,66,28,64,27,49,41,50,41,66,18,9,84,47,80,9,82,11,42,52,39,51,39,76,19,17,75,17,64,19,64,29,75,26,77,18,75,17,63,28,53,28,53,18,50,19,50,30,66,19,12,18,53,30,10,41,10,19,12,28,12,40,10,43,10,30,51,28,64,17,53,19,12,30,53,19,10,28,51,27,9,41,10,28,10,39,49,28,11,30,64,17,63,17,2.0
22,26,68,24,67,48,61,50,42,50,41,31,61,32,63,52,13,24,70,31,66,23,68,26,63,32,62,31,61,79,13,11,78,13,50,15,49,43,77,40,81,12,79,12,49,42,33,42,33,13,32,15,32,44,51,14,26,13,33,44,24,61,24,15,26,42,26,62,24,63,24,44,31,42,50,13,33,14,26,44,33,15,24,42,31,41,23,61,24,42,24,61,31,42,26,44,50,12,49,13,2.0
15,19,75,17,74,52,51,56,35,56,34,38,53,39,55,58,14,17,77,37,73,16,75,19,55,41,53,39,52,78,14,12,77,14,55,16,54,38,76,32,80,13,78,13,54,36,41,35,41,14,39,16,39,38,57,15,19,14,41,38,17,53,17,16,19,35,19,53,17,55,17,38,39,36,56,14,41,15,19,38,41,16,17,36,39,34,16,53,17,36,17,52,38,36,19,38,56,13,54,14,1.0
19,21,71,21,70,62,62,66,25,66,24,27,64,28,64,68,16,20,73,26,69,20,71,22,65,29,63,28,63,76,16,14,75,16,65,18,64,27,74,22,78,15,76,15,64,26,30,25,30,16,28,18,28,28,67,17,23,16,30,28,21,64,21,18,23,25,23,64,21,66,21,28,28,26,66,16,30,17,23,28,30,18,21,26,28,24,20,64,21,26,21,63,27,26,22,28,66,15,64,16,2.0
23,27,67,25,66,46,61,50,41,50,40,31,61,32,63,52,16,25,69,31,65,24,67,27,63,32,62,31,61,76,16,14,75,16,49,18,48,43,74,38,78,15,76,15,48,42,33,41,33,16,32,18,32,44,51,17,27,16,33,44,25,61,25,18,27,41,27,62,25,63,25,44,31,42,50,16,33,17,27,44,33,18,25,42,31,40,24,61,25,42,25,61,31,42,27,44,50,15,48,16,2.0
27,28,66,27,65,40,58,42,49,42,49,31,60,31,61,44,4,28,67,30,65,27,65,29,62,32,60,32,59,87,5,3,86,5,42,5,41,50,85,48,89,4,87,4,41,50,32,50,34,5,32,7,31,52,43,5,29,5,32,51,27,60,28,7,29,50,29,60,28,62,28,52,32,50,42,5,33,6,29,51,33,6,27,50,32,49,27,60,27,50,27,59,31,50,29,52,42,4,41,5,1.0
18,20,72,20,71,66,63,69,21,70,20,26,65,27,65,72,13,19,74,25,70,19,72,21,66,29,64,27,64,79,12,11,78,13,69,15,68,24,77,18,81,12,79,12,68,22,29,21,29,13,27,15,27,24,71,14,22,13,29,24,20,65,20,15,22,21,22,65,20,67,20,24,27,22,70,13,29,14,22,24,29,15,20,22,27,20,19,65,20,22,20,64,26,22,21,24,70,12,68,13,2.0
24,26,69,24,68,38,56,41,48,42,48,33,58,33,60,44,14,25,70,32,68,24,68,26,60,33,58,34,57,75,15,12,74,16,41,16,40,49,72,46,78,14,76,14,40,50,34,49,36,15,34,18,33,52,43,16,26,15,34,51,24,58,25,18,26,49,26,58,25,60,25,52,34,50,42,16,35,17,26,51,35,17,24,50,34,48,24,58,24,50,24,57,33,50,26,52,42,14,40,16,1.0
22,26,68,24,67,41,56,45,45,45,45,33,58,33,60,47,11,24,70,32,66,23,68,26,60,34,58,34,57,80,12,10,79,12,44,12,43,47,78,43,82,11,80,11,43,47,34,46,36,12,34,14,33,49,46,12,26,12,34,48,24,58,24,14,26,46,26,58,24,60,24,49,34,47,45,12,35,13,26,48,35,13,24,47,34,45,23,58,24,47,24,57,33,47,26,49,45,11,43,12,2.0
15,19,75,17,74,56,45,58,31,60,30,44,47,45,49,62,17,17,77,43,73,16,75,19,49,47,47,45,46,75,15,15,74,17,59,19,57,34,73,28,77,15,75,16,58,32,47,31,47,17,45,19,45,34,60,17,19,17,47,34,17,47,17,19,19,31,19,47,17,49,17,34,45,32,60,17,47,17,19,34,47,19,17,32,45,30,16,47,17,32,17,46,44,32,19,34,60,16,58,17,1.0
19,23,71,21,70,45,58,49,41,49,41,31,60,31,62,51,14,21,73,30,69,20,71,23,62,32,60,32,59,75,16,12,74,16,48,16,47,43,72,39,78,14,76,14,47,43,32,42,34,15,32,18,31,45,50,16,23,15,32,44,21,60,21,18,23,42,23,60,21,62,21,45,32,43,49,16,33,17,23,44,33,17,21,43,32,41,20,60,21,43,21,59,31,43,23,45,49,14,47,16,1.0
22,26,68,24,67,45,56,49,41,49,41,33,58,33,60,51,9,24,70,32,66,23,68,26,60,34,58,34,57,82,10,8,81,10,48,10,47,43,80,39,84,9,82,9,47,43,34,42,36,10,34,12,33,45,50,10,26,10,34,44,24,58,24,12,26,42,26,58,24,60,24,45,34,43,49,10,35,11,26,44,35,11,24,43,34,41,23,58,24,43,24,57,33,43,26,45,49,9,47,10,2.0
22,22,68,24,67,59,62,62,28,63,27,27,64,28,62,65,13,22,70,26,66,23,68,24,64,30,62,28,63,79,12,11,78,13,62,15,61,31,77,25,81,12,79,12,61,29,30,28,30,13,28,15,28,31,64,14,26,13,30,31,24,64,24,15,26,28,26,64,24,66,24,31,28,29,63,13,30,14,26,31,30,15,24,29,28,27,23,64,24,29,24,63,27,29,24,31,63,12,61,13,2.0
24,26,69,24,68,37,58,39,52,39,52,31,60,31,62,41,9,25,70,30,68,24,68,26,62,32,60,32,59,82,10,8,81,10,39,10,38,53,80,51,84,9,82,9,38,53,32,53,34,10,32,12,31,55,40,10,26,10,32,54,24,60,25,12,26,53,26,60,25,62,25,55,32,53,39,10,33,11,26,54,33,11,24,53,32,52,24,60,24,53,24,59,31,53,26,55,39,9,38,10,1.0
22,26,68,24,67,51,61,51,39,53,38,31,61,32,63,55,17,24,70,31,66,23,68,26,63,33,62,31,61,75,15,15,74,17,53,19,51,41,73,37,77,15,75,16,52,39,33,39,33,17,32,19,32,41,53,17,26,17,33,41,24,61,24,19,26,39,26,62,24,63,24,41,31,39,53,17,33,17,26,41,33,19,24,39,31,38,23,61,24,39,24,61,31,39,26,41,53,16,52,17,2.0
8,10,82,10,81,65,45,67,25,67,24,41,49,42,49,69,18,9,84,39,80,9,82,11,50,45,47,43,47,76,17,17,75,17,67,19,66,27,75,23,77,17,75,17,66,25,45,25,45,18,42,19,42,27,68,18,12,18,45,27,10,49,10,19,12,25,12,48,10,51,10,27,43,25,67,17,45,18,12,27,45,19,10,25,43,24,9,49,10,25,10,47,41,25,11,27,67,17,66,17,2.0
23,27,67,25,66,45,61,47,45,47,44,31,61,32,63,49,13,25,69,31,65,24,67,27,63,32,62,31,61,79,13,11,78,13,47,15,46,46,77,43,81,12,79,12,46,45,33,45,33,13,32,15,32,47,48,14,27,13,33,47,25,61,25,15,27,45,27,62,25,63,25,47,31,45,47,13,33,14,27,47,33,15,25,45,31,44,24,61,25,45,25,61,31,45,27,47,47,12,46,13,2.0
14,18,73,18,72,54,49,60,32,58,32,34,55,34,55,60,10,16,76,31,70,16,74,18,56,37,52,36,52,82,12,8,81,10,57,12,57,34,80,30,84,10,82,9,56,33,39,32,39,10,35,12,35,34,60,12,20,10,38,34,18,55,17,12,20,33,18,53,16,57,17,36,37,34,58,10,39,12,19,35,38,12,18,34,37,32,16,55,18,34,18,52,34,34,19,35,58,9,56,10,2.0
15,19,75,17,74,57,45,59,30,61,29,44,47,45,49,63,19,17,77,43,73,16,75,19,49,46,47,45,46,71,18,16,70,20,60,22,58,32,68,27,74,17,72,18,59,31,47,30,47,19,45,22,45,33,61,20,19,19,47,33,17,47,17,22,19,30,19,47,17,49,17,33,45,31,61,20,47,20,19,33,47,22,17,31,45,29,16,47,17,31,17,46,44,31,19,33,61,18,59,20,1.0
24,26,69,24,68,36,56,38,52,38,53,33,58,32,60,40,8,25,70,32,68,24,68,26,60,32,58,34,57,81,10,6,80,10,38,10,37,52,78,52,84,8,82,8,37,54,34,54,36,9,34,12,33,56,39,10,26,9,33,54,24,58,25,12,26,54,26,58,25,60,25,56,34,54,38,10,35,11,26,54,34,11,24,54,34,53,24,58,24,54,24,57,33,54,26,56,38,8,37,10,1.0
19,21,71,21,70,56,61,58,31,59,30,28,63,29,63,62,23,20,73,27,69,20,71,22,64,31,62,29,62,67,22,20,66,23,59,26,57,34,64,28,70,21,68,22,58,32,31,31,31,23,29,26,29,34,60,24,23,23,31,34,21,63,21,26,23,31,23,63,21,65,21,34,29,32,60,24,31,24,23,34,31,26,21,32,29,30,20,63,21,32,21,62,28,32,22,34,60,22,58,24,2.0
19,23,71,21,70,45,61,49,41,49,41,31,61,31,63,51,13,21,73,31,69,20,71,23,63,31,62,31,61,79,13,11,78,13,48,15,47,43,77,39,81,12,79,12,47,43,33,42,33,13,32,15,32,45,50,14,23,13,32,44,21,61,21,15,23,42,23,62,21,63,21,45,31,43,49,13,33,14,23,44,32,15,21,43,31,41,20,61,21,43,21,61,31,43,23,45,49,12,47,13,2.0
19,21,71,21,70,61,63,65,26,65,25,26,65,27,65,67,16,20,73,25,69,20,71,22,66,28,64,27,64,76,16,14,75,16,64,18,63,28,74,23,78,15,76,15,63,27,29,26,29,16,27,18,27,29,66,17,23,16,29,29,21,65,21,18,23,26,23,65,21,67,21,29,27,27,65,16,29,17,23,29,29,18,21,27,27,25,20,65,21,27,21,64,26,27,22,29,65,15,63,16,2.0
