@relation 'Sax dominant'

@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atLcc numeric
@attribute o1atMaa numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o2atLcc numeric
@attribute o2atMbb numeric
@attribute o2atLbb numeric
@attribute o2atMaa numeric
@attribute o2atMab numeric
@attribute o2atLab numeric
@attribute o2atMcb numeric
@attribute o2atLcb numeric
@attribute o2atMba numeric
@attribute o2atLba numeric
@attribute o2atMbc numeric
@attribute o2atLbc numeric
@attribute o2atMac numeric
@attribute o2atLac numeric
@attribute o2atMca numeric
@attribute o2atLca numeric
@attribute o3atMbb numeric
@attribute o3atLbb numeric
@attribute o3atLcc numeric
@attribute o3atMbc numeric
@attribute o3atLbc numeric
@attribute o3atMaa numeric
@attribute o3atMab numeric
@attribute o3atLab numeric
@attribute o3atMba numeric
@attribute o3atLba numeric
@attribute o3atMca numeric
@attribute o3atLca numeric
@attribute o3atMcb numeric
@attribute o3atLcb numeric
@attribute o3atMac numeric
@attribute o3atLac numeric
@attribute destClass {2.0,1.0}

@data
18,17,12,11,13,19,19,13,18,12,12,18,12,12,13,13,10,20,18,11,12,19,21,11,12,19,20,10,12,10,12,11,29,31,1,30,2,0,0,31,0,31,0,1,29,1,0,2,1.0
31,30,0,0,1,31,31,0,31,0,0,30,0,0,1,0,0,31,31,0,0,31,31,0,0,31,31,0,0,0,0,0,29,25,1,30,2,2,4,27,4,27,4,1,29,1,4,2,2.0
24,16,2,12,14,18,27,5,26,4,13,17,13,4,14,5,16,12,31,0,0,31,14,18,0,31,13,17,0,17,0,18,25,13,5,26,6,16,17,14,17,14,17,5,25,5,17,6,1.0
22,26,8,2,4,28,23,9,22,8,3,27,3,8,4,9,22,8,30,0,0,30,9,23,1,31,8,22,0,22,1,23,29,9,1,30,2,21,22,10,21,9,21,1,29,1,22,2,2.0
20,15,10,13,15,17,21,11,20,10,14,16,14,10,15,11,8,22,23,4,6,25,23,9,6,25,22,8,6,8,6,9,29,31,1,30,2,0,0,31,0,31,0,1,29,1,0,2,1.0
20,14,10,16,17,15,21,11,20,10,16,14,16,10,17,11,12,18,30,0,0,30,19,13,1,31,18,12,0,12,1,13,25,11,5,26,6,19,20,12,19,11,19,5,25,5,20,6,1.0
16,26,10,2,4,28,19,13,18,12,3,27,3,12,4,13,15,15,29,1,1,29,16,16,2,30,15,15,1,15,2,16,29,9,1,30,2,21,22,10,21,9,21,1,29,1,22,2,2.0
6,26,24,4,5,27,7,25,6,24,4,26,4,24,5,25,11,19,14,14,15,15,20,12,16,16,19,11,15,11,16,12,30,22,0,31,1,8,9,23,8,22,8,0,30,0,9,1,2.0
26,21,4,9,10,22,27,5,26,4,9,21,9,4,10,5,24,6,27,3,3,27,7,25,4,28,6,24,3,24,4,25,29,13,1,30,2,17,18,14,17,13,17,1,29,1,18,2,2.0
16,27,14,1,3,29,17,15,16,14,2,28,2,14,3,15,22,8,31,0,0,31,9,23,0,31,8,22,0,22,0,23,30,5,0,31,1,24,25,6,25,6,25,0,30,0,25,1,2.0
18,18,12,10,12,20,19,13,18,12,11,19,11,12,12,13,12,18,31,0,0,31,19,13,0,31,18,12,0,12,0,13,29,10,1,30,2,19,20,11,20,11,20,1,29,1,20,2,1.0
22,13,7,17,18,14,23,8,23,8,17,13,17,8,18,8,9,20,31,0,0,31,21,10,0,31,21,10,0,10,0,10,22,17,6,24,7,12,12,18,13,18,13,7,23,7,13,8,1.0
19,23,9,7,8,24,21,11,20,10,7,23,7,10,8,11,8,22,31,0,0,31,23,9,0,31,22,8,0,8,0,9,30,9,0,31,1,20,21,10,21,10,21,0,30,0,21,1,2.0
21,27,7,1,2,29,23,8,22,8,2,28,2,8,3,9,13,15,31,0,0,31,17,15,0,31,16,14,0,14,0,15,30,7,0,31,1,18,21,10,21,10,21,0,30,0,21,1,2.0
15,29,14,1,2,30,16,15,16,15,1,29,1,15,2,15,0,31,31,0,0,31,31,0,0,31,31,0,0,0,0,0,30,9,0,31,1,18,20,11,20,11,20,0,30,0,20,1,2.0
16,16,14,14,15,17,17,15,16,14,14,16,14,14,15,15,9,17,31,0,0,31,20,12,0,31,19,11,0,11,0,12,30,16,0,31,1,11,13,18,13,18,13,0,30,0,13,1,2.0
23,29,6,1,2,30,24,7,24,7,1,29,1,7,2,7,22,7,31,0,0,31,8,23,0,31,8,23,0,23,0,23,30,4,0,31,1,25,26,5,26,5,26,0,30,0,26,1,2.0
21,14,9,16,17,15,22,10,21,9,16,14,16,9,17,10,10,20,31,0,0,31,21,11,0,31,20,10,0,10,0,11,24,12,6,25,7,18,19,13,18,12,18,6,24,6,19,7,1.0
18,16,12,14,15,17,19,13,18,12,14,16,14,12,15,13,8,22,31,0,0,31,23,9,0,31,22,8,0,8,0,9,29,10,1,30,2,19,20,11,20,11,20,1,29,1,20,2,1.0
24,18,6,10,12,20,25,7,24,6,11,19,11,6,12,7,28,2,31,0,0,31,3,29,0,31,2,28,0,28,0,29,29,13,1,30,2,16,17,14,17,14,17,1,29,1,17,2,2.0
22,29,4,1,2,30,25,7,24,6,1,29,1,6,2,7,10,18,31,0,0,31,20,12,0,31,19,11,0,11,0,12,27,10,3,28,4,17,19,12,19,12,19,3,27,3,19,4,1.0
20,15,10,15,16,16,21,11,20,10,15,15,15,10,16,11,10,20,31,0,0,31,21,11,0,31,20,10,0,10,0,11,26,13,4,27,5,16,17,14,17,14,17,4,26,4,17,5,1.0
20,14,6,14,15,16,23,8,22,8,15,15,15,8,16,9,10,20,31,0,0,31,21,11,0,31,20,10,0,10,0,11,26,11,4,27,5,18,19,12,19,12,19,4,26,4,19,5,1.0
25,13,5,17,18,14,26,6,25,5,17,13,17,5,18,6,13,15,31,0,0,31,17,15,0,31,16,14,0,14,0,15,24,13,6,25,7,16,17,14,17,14,17,6,24,6,17,7,1.0
22,13,8,17,18,14,23,9,22,8,17,13,17,8,18,9,11,19,31,0,0,31,20,12,0,31,19,11,0,11,0,12,21,14,9,22,10,16,17,15,16,14,16,9,21,9,17,10,1.0
6,28,22,0,2,30,8,24,7,23,1,29,1,23,2,24,8,19,16,14,14,16,21,10,15,17,21,10,14,10,15,10,30,10,0,31,1,16,19,13,18,12,18,0,30,0,19,1,2.0
21,29,6,1,2,30,23,8,23,8,1,29,1,8,2,8,5,22,29,0,1,30,24,7,1,30,24,7,1,7,1,7,26,28,4,27,5,1,2,29,2,29,2,4,26,4,2,5,1.0
31,29,0,1,2,30,31,0,31,0,1,29,1,0,2,0,25,5,29,1,1,29,6,26,2,30,5,25,1,25,2,26,29,5,1,30,2,25,26,6,25,5,25,1,29,1,26,2,2.0
31,26,0,2,4,28,31,0,31,0,3,27,3,0,4,0,2,27,28,1,2,29,28,3,2,29,28,3,2,3,2,3,25,31,5,26,6,0,0,31,0,31,0,5,25,5,0,6,1.0
19,29,7,1,2,30,22,10,21,9,1,29,1,9,2,10,18,10,31,0,0,31,12,20,0,31,11,19,0,19,0,20,29,9,1,30,2,20,21,10,21,10,21,1,29,1,21,2,1.0
19,26,9,2,3,28,21,10,20,9,2,27,3,10,4,11,6,24,31,0,0,31,25,7,0,31,24,6,0,6,0,7,27,25,3,28,4,4,5,26,5,26,5,3,27,3,5,4,1.0
17,15,13,15,16,16,18,14,17,13,15,15,15,13,16,14,15,15,31,0,0,31,16,16,0,31,15,15,0,15,0,16,29,11,1,30,2,18,19,12,19,12,19,1,29,1,19,2,1.0
19,14,11,16,17,15,20,12,19,11,16,14,16,11,17,12,10,20,31,0,0,31,21,11,0,31,20,10,0,10,0,11,23,14,7,24,8,15,16,15,16,15,16,7,23,7,16,8,1.0
18,15,12,13,15,17,19,13,18,12,14,16,14,12,15,13,12,18,31,0,0,31,19,13,0,31,18,12,0,12,0,13,29,11,1,30,2,18,19,12,19,12,19,1,29,1,19,2,1.0
28,13,2,17,18,14,29,3,28,2,17,13,17,2,18,3,17,13,31,0,0,31,14,18,0,31,13,17,0,17,0,18,24,12,6,25,7,17,18,13,18,13,18,6,24,6,18,7,1.0
11,29,15,1,2,30,14,18,13,17,1,29,1,17,2,18,19,11,28,2,2,28,12,20,3,29,11,19,2,19,3,20,29,10,1,30,2,20,21,11,20,10,20,1,29,1,21,2,2.0
22,29,8,1,2,30,23,9,22,8,1,29,1,8,2,9,12,16,24,2,4,26,18,14,5,27,17,13,4,13,5,14,30,7,0,31,1,17,21,11,20,10,20,0,30,0,21,1,2.0
22,12,6,18,19,13,24,8,23,7,18,12,18,7,19,8,12,18,31,0,0,31,19,13,0,31,18,12,0,12,0,13,21,15,9,22,9,14,14,16,15,16,15,9,21,9,15,10,1.0
31,29,0,1,2,30,31,0,31,0,1,29,1,0,2,0,4,23,27,3,3,27,25,6,4,28,25,6,3,6,4,6,30,18,0,31,0,8,10,21,10,20,10,0,30,0,11,1,2.0
18,29,12,1,2,30,19,13,18,12,1,29,1,12,2,13,18,12,31,0,0,31,13,19,0,31,12,18,0,18,0,19,29,12,1,30,2,17,18,13,18,13,18,1,29,1,18,2,2.0
16,27,10,1,3,29,19,13,18,12,2,28,2,12,3,13,17,13,28,1,2,29,14,17,1,29,13,17,2,17,2,18,30,16,0,31,1,13,14,17,14,17,14,0,30,0,14,1,2.0
21,29,8,1,2,30,22,9,22,9,1,29,1,9,2,9,0,31,28,1,2,29,31,0,2,29,31,0,2,0,2,0,29,12,1,30,2,15,17,14,17,14,17,1,29,1,17,2,2.0
20,20,7,4,7,24,22,8,22,9,7,23,7,9,8,9,9,21,31,0,0,31,22,10,0,31,21,9,0,9,0,10,29,31,1,30,2,0,0,31,0,31,0,1,29,1,0,2,1.0
21,21,9,7,9,23,22,10,21,9,8,22,8,9,9,10,9,21,31,0,0,31,22,10,0,31,21,9,0,9,0,10,25,18,5,26,6,11,12,19,12,19,12,5,25,5,12,6,1.0
21,26,9,4,5,27,22,10,21,9,4,26,4,9,5,10,16,14,17,13,13,17,15,17,14,18,14,16,13,16,14,17,26,17,4,27,5,11,13,19,12,18,12,4,26,4,13,5,2.0
17,29,13,1,2,30,18,14,17,13,1,29,1,13,2,14,22,8,26,4,4,26,9,23,5,27,8,22,4,22,5,23,30,8,0,31,1,22,23,9,22,8,22,0,30,0,23,1,2.0
22,29,7,1,2,30,23,8,23,8,1,29,1,8,2,8,0,31,31,0,0,31,31,0,0,31,31,0,0,0,0,0,29,17,1,30,2,12,13,18,13,18,13,1,29,1,13,2,2.0
19,13,11,17,18,14,20,12,19,11,17,13,17,11,18,12,15,14,31,0,0,31,15,16,0,31,15,16,0,16,0,16,24,11,6,25,7,18,19,12,19,12,19,6,24,6,19,7,1.0
21,26,8,2,4,28,22,9,22,9,3,27,3,9,4,9,0,31,31,0,0,31,31,0,0,31,31,0,0,0,0,0,29,18,1,30,2,9,11,20,11,20,11,1,29,1,11,2,2.0
31,27,0,1,3,29,31,0,31,0,2,28,2,0,3,0,16,13,31,0,0,31,14,17,0,31,14,17,0,17,0,17,29,17,1,30,2,8,11,20,11,20,11,1,29,1,11,2,2.0
17,14,13,16,17,15,18,14,17,13,16,14,16,13,17,14,7,23,31,0,0,31,24,8,0,31,23,7,0,7,0,8,29,20,1,30,2,9,10,21,10,21,10,1,29,1,10,2,1.0
20,23,10,5,7,25,21,11,20,10,6,24,6,10,7,11,8,22,31,0,0,31,23,9,0,31,22,8,0,8,0,9,29,28,1,30,2,1,2,29,2,29,2,1,29,1,2,2,1.0
17,16,12,12,13,18,18,12,18,13,13,17,13,13,14,13,7,21,31,0,0,31,23,9,0,31,22,8,0,8,0,9,29,12,1,30,2,17,18,13,18,13,18,1,29,1,18,2,1.0
19,16,11,12,14,18,20,12,19,11,13,17,13,11,14,12,10,20,31,0,0,31,21,11,0,31,20,10,0,10,0,11,29,12,1,30,2,17,18,13,18,13,18,1,29,1,18,2,1.0
20,14,9,16,17,15,21,10,21,10,16,14,16,10,17,10,12,15,31,0,0,31,17,14,0,31,17,14,0,14,0,14,24,13,6,25,7,16,17,14,17,14,17,6,24,6,17,7,1.0
28,24,1,2,5,27,29,2,29,1,3,26,4,2,5,2,7,23,31,0,0,31,24,8,0,31,23,7,0,7,0,8,29,25,1,30,2,2,4,27,4,27,4,1,29,1,4,2,1.0
30,24,0,2,5,27,31,1,30,0,4,26,4,0,5,1,17,11,31,0,0,31,13,19,0,31,12,18,0,18,0,19,28,23,2,29,3,6,7,24,7,24,7,2,28,2,7,3,1.0
19,15,11,15,16,16,20,12,19,11,15,15,15,11,16,12,0,25,31,0,0,31,28,3,0,31,28,3,0,3,0,3,23,12,5,25,7,17,18,13,18,13,18,6,24,6,18,7,1.0
20,24,8,2,5,27,22,10,21,8,3,26,4,9,5,10,16,12,31,0,0,31,14,18,0,31,13,17,0,17,0,18,29,16,1,30,2,11,13,18,13,18,13,1,29,1,13,2,2.0
31,29,0,1,2,30,31,0,31,0,1,29,1,0,2,0,18,11,31,0,0,31,12,19,0,31,12,19,0,19,0,19,29,28,1,30,2,1,2,29,2,29,2,1,29,1,2,2,2.0
20,13,10,17,18,14,21,11,20,10,17,13,17,10,18,11,15,15,31,0,0,31,16,16,0,31,15,15,0,15,0,16,26,12,4,27,5,17,18,13,18,13,18,4,26,4,18,5,1.0
16,29,14,1,2,30,17,15,16,14,1,29,1,14,2,15,18,12,30,0,0,30,13,19,1,31,12,18,0,18,1,19,29,5,1,30,2,25,26,6,25,5,25,1,29,1,26,2,2.0
24,14,5,13,15,16,25,6,25,6,15,16,15,6,15,6,21,7,26,2,4,28,8,22,3,27,9,23,4,23,3,22,26,14,1,28,3,13,15,16,15,16,15,3,28,3,15,3,2.0
25,13,5,17,18,14,26,6,25,5,17,13,17,5,18,6,12,18,31,0,0,31,19,13,0,31,18,12,0,12,0,13,25,14,5,26,6,15,16,15,16,15,16,5,25,5,16,6,1.0
3,30,25,0,1,31,5,27,4,26,0,30,0,26,1,27,11,19,29,1,1,29,20,12,2,30,19,11,1,11,2,12,30,0,0,31,0,30,30,1,30,0,30,0,30,0,31,1,2.0
21,15,6,13,15,17,23,8,23,8,14,16,14,8,15,8,15,14,31,0,0,31,15,16,0,31,15,16,0,16,0,16,22,10,6,24,7,19,19,11,20,11,20,7,23,7,20,8,1.0
5,28,23,0,2,30,7,25,6,24,1,29,1,24,2,25,0,31,31,0,0,31,31,0,0,31,31,0,0,0,0,0,30,7,0,31,1,22,23,8,23,8,23,0,30,0,23,1,2.0
28,14,2,16,17,15,29,3,28,2,16,14,16,2,17,3,21,9,26,4,4,26,10,22,5,27,9,21,4,21,5,22,22,19,8,23,9,11,12,20,11,19,11,8,22,8,12,9,2.0
31,16,0,14,15,17,31,0,31,0,14,16,14,0,15,0,20,9,29,1,1,29,10,20,1,30,10,21,1,21,2,21,25,21,5,26,6,8,9,22,9,22,9,5,25,5,9,6,2.0
21,17,8,11,13,19,22,9,22,8,11,18,12,9,13,9,9,21,31,0,0,31,22,10,0,31,21,9,0,9,0,10,29,26,1,30,2,3,4,27,4,27,4,1,29,1,4,2,1.0
22,13,8,17,18,14,23,9,22,8,17,13,17,8,18,9,11,19,31,0,0,31,20,12,0,31,19,11,0,11,0,12,25,12,5,26,6,17,18,13,18,13,18,5,25,5,18,6,1.0
21,15,9,15,16,16,22,10,21,9,15,15,15,9,16,10,11,19,31,0,0,31,20,12,0,31,19,11,0,11,0,12,26,19,4,27,5,10,11,20,11,20,11,4,26,4,11,5,1.0
21,11,9,17,19,13,22,10,21,9,18,12,18,9,19,10,10,20,31,0,0,31,21,11,0,31,20,10,0,10,0,11,22,13,8,23,9,16,17,14,17,14,17,8,22,8,17,9,1.0
23,10,7,20,21,11,24,8,23,7,20,10,20,7,21,8,15,15,31,0,0,31,16,16,0,31,15,15,0,15,0,16,25,17,5,26,6,12,13,18,13,18,13,5,25,5,13,6,1.0
31,27,0,1,3,29,31,0,31,0,2,28,2,0,3,0,21,8,28,1,2,29,9,22,2,29,9,22,2,22,2,22,29,12,1,30,2,17,18,13,18,13,18,1,29,1,18,2,2.0
30,26,0,2,4,28,31,1,30,0,3,27,3,0,4,1,6,24,31,0,0,31,25,7,0,31,24,6,0,6,0,7,25,31,5,26,6,0,0,31,0,31,0,5,25,5,0,6,1.0
31,23,0,3,6,26,31,0,31,0,5,25,5,0,6,0,1,28,31,0,0,31,29,2,0,31,29,2,0,2,0,2,29,28,1,30,2,1,2,29,2,29,2,1,29,1,2,2,2.0
17,26,12,0,3,29,18,13,18,12,1,28,2,13,3,13,15,11,17,9,10,19,14,16,10,20,13,16,11,17,12,18,28,3,2,29,3,27,28,4,27,3,27,2,28,2,28,3,1.0
20,24,9,4,6,26,21,10,21,10,5,25,5,10,6,10,0,31,26,3,4,27,31,0,4,27,31,0,4,0,4,0,30,16,0,31,1,11,13,18,13,18,13,0,30,0,13,1,1.0
21,29,7,1,2,30,23,9,22,8,1,29,1,8,2,9,4,23,25,2,4,27,25,6,4,27,25,6,4,6,4,6,29,23,1,30,2,6,7,24,7,24,7,1,29,1,7,2,1.0
31,28,0,0,2,30,31,0,31,0,1,29,1,0,2,0,0,31,25,1,3,27,31,0,4,28,31,0,3,0,4,0,29,27,1,30,2,1,3,29,2,28,2,1,29,1,3,2,2.0
28,22,2,4,7,25,29,3,28,2,6,24,6,2,7,3,25,5,31,0,0,31,6,26,0,31,5,25,0,25,0,26,30,11,0,31,0,18,18,12,19,12,19,0,30,0,19,1,2.0
18,16,12,14,15,17,19,13,18,12,14,16,14,12,15,13,9,21,31,0,0,31,22,10,0,31,21,9,0,9,0,10,29,12,1,30,2,17,18,13,18,13,18,1,29,1,18,2,1.0
24,16,6,12,14,18,25,7,24,6,13,17,13,6,14,7,13,17,31,0,0,31,18,14,0,31,17,13,0,13,0,14,24,12,6,25,7,17,18,13,18,13,18,6,24,6,18,7,1.0
12,30,16,0,1,31,14,18,13,17,0,30,0,17,1,18,15,15,21,7,8,22,16,16,9,23,15,15,8,15,9,16,30,1,0,31,1,29,30,2,29,1,29,0,30,0,30,1,2.0
16,29,14,1,2,30,17,15,16,14,1,29,1,14,2,15,18,12,31,0,0,31,13,19,0,31,12,18,0,18,0,19,29,9,1,30,2,20,21,10,21,10,21,1,29,1,21,2,2.0
21,24,7,2,4,27,23,8,22,7,3,26,4,8,5,9,11,19,31,0,0,31,20,12,0,31,19,11,0,11,0,12,29,16,1,30,2,13,14,17,14,17,14,1,29,1,14,2,1.0
22,16,8,14,15,17,23,9,22,8,14,16,14,8,15,9,11,19,31,0,0,31,20,12,0,31,19,11,0,11,0,12,27,13,3,28,4,17,18,14,17,13,17,3,27,3,18,4,1.0
23,25,7,3,5,27,24,8,23,7,4,26,4,7,5,8,24,6,25,5,5,25,7,25,6,26,6,24,5,24,6,25,29,15,1,30,2,15,16,16,15,15,15,1,29,1,16,2,2.0
17,17,13,11,13,19,18,14,17,13,12,18,12,13,13,14,22,6,29,1,1,29,8,24,2,30,7,23,1,23,2,24,30,13,0,31,1,13,16,16,15,15,15,0,30,0,16,1,2.0
17,14,13,16,17,15,18,14,17,13,16,14,16,13,17,14,14,12,31,0,0,31,15,17,0,31,14,16,0,16,0,17,30,16,0,31,1,11,13,18,13,18,13,0,30,0,13,1,2.0
22,16,8,14,15,17,23,9,22,8,14,16,14,8,15,9,10,20,31,0,0,31,21,11,0,31,20,10,0,10,0,11,25,20,5,26,6,9,10,21,10,21,10,5,25,5,10,6,1.0
