@relation 'Sax dominant'

@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMdde numeric
@attribute o1atLdde numeric
@attribute o1atLeee numeric
@attribute o1atMedd numeric
@attribute o1atLedd numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMddd numeric
@attribute o1atLddd numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMdee numeric
@attribute o1atLdee numeric
@attribute o1atMeed numeric
@attribute o1atLeed numeric
@attribute o1atMced numeric
@attribute o1atLced numeric
@attribute o1atMbcd numeric
@attribute o1atLbcd numeric
@attribute o1atMdcb numeric
@attribute o1atLdcb numeric
@attribute o1atMded numeric
@attribute o1atLded numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMcde numeric
@attribute o1atLcde numeric
@attribute o1atMcee numeric
@attribute o1atLcee numeric
@attribute o1atMede numeric
@attribute o1atLede numeric
@attribute o1atMbbd numeric
@attribute o1atLbbd numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMedc numeric
@attribute o1atLedc numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMbdd numeric
@attribute o1atLbdd numeric
@attribute o1atMdcd numeric
@attribute o1atLdcd numeric
@attribute o1atMcce numeric
@attribute o1atLcce numeric
@attribute o1atMcdc numeric
@attribute o1atLcdc numeric
@attribute o1atMbdc numeric
@attribute o1atLbdc numeric
@attribute o1atMeec numeric
@attribute o1atLeec numeric
@attribute o1atMeca numeric
@attribute o1atLeca numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMbbe numeric
@attribute o1atLbbe numeric
@attribute o1atMaae numeric
@attribute o1atLaae numeric
@attribute o1atMecb numeric
@attribute o1atLecb numeric
@attribute o1atMabd numeric
@attribute o1atLabd numeric
@attribute o1atMbde numeric
@attribute o1atLbde numeric
@attribute o1atMdaa numeric
@attribute o1atLdaa numeric
@attribute o1atMaad numeric
@attribute o1atLaad numeric
@attribute o1atMeda numeric
@attribute o1atLeda numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o1atMabe numeric
@attribute o1atLabe numeric
@attribute o1atMeeb numeric
@attribute o1atLeeb numeric
@attribute o1atMebe numeric
@attribute o1atLebe numeric
@attribute o1atMcbd numeric
@attribute o1atLcbd numeric
@attribute o1atMdce numeric
@attribute o1atLdce numeric
@attribute o1atMbae numeric
@attribute o1atLbae numeric
@attribute o1atMddb numeric
@attribute o1atLddb numeric
@attribute o1atMdbb numeric
@attribute o1atLdbb numeric
@attribute o1atMcdb numeric
@attribute o1atLcdb numeric
@attribute o1atMadd numeric
@attribute o1atLadd numeric
@attribute o1atMedb numeric
@attribute o1atLedb numeric
@attribute o1atMebb numeric
@attribute o1atLebb numeric
@attribute destClass {1.0,2.0}

@data
31,59,23,69,19,23,69,33,59,33,59,54,37,54,36,48,55,31,67,35,57,35,57,21,71,21,71,72,18,14,72,19,51,40,69,33,51,39,35,55,75,15,75,16,54,19,35,40,35,39,70,18,23,59,54,19,55,16,75,14,33,40,23,57,23,67,54,19,19,71,23,59,21,59,35,37,54,33,51,19,48,40,35,40,54,16,23,19,21,59,33,19,21,19,35,19,23,40,35,19,21,39,21,40,23,19,23,59,23,19,35,16,35,14,35,40,54,18,23,19,35,36,33,39,35,40,23,37,35,19,33,19,2.0
31,59,23,69,19,23,69,33,59,33,59,55,36,55,35,49,55,31,67,35,57,35,57,21,71,21,71,72,19,16,72,20,52,39,70,32,52,38,35,55,74,17,74,18,55,20,35,39,35,38,70,19,23,59,55,20,56,18,74,16,33,39,23,57,23,67,55,20,19,71,23,59,21,59,35,36,55,32,52,20,49,39,35,39,55,18,23,20,21,59,33,20,21,20,35,20,23,39,35,20,21,38,21,39,23,20,23,59,23,20,35,18,35,16,35,39,55,19,23,20,35,35,33,38,35,39,23,36,35,20,33,20,1.0
31,59,18,75,16,18,75,33,59,32,59,57,34,56,34,50,55,31,74,34,57,35,57,17,76,17,76,71,20,14,71,20,54,37,68,31,53,37,34,55,74,17,74,17,57,20,35,37,35,37,68,20,18,59,57,20,57,17,74,14,33,38,18,57,18,74,56,20,16,76,18,59,17,59,35,34,57,31,54,20,50,37,34,37,56,17,18,20,17,59,33,20,17,20,35,20,18,38,35,20,17,37,17,38,18,20,18,59,18,20,35,17,35,14,35,37,57,20,18,20,35,34,33,37,35,37,18,34,35,20,33,20,2.0
33,55,23,69,19,23,69,36,55,36,55,51,40,51,40,45,49,33,67,39,52,38,52,21,71,21,71,64,26,17,64,25,48,43,60,37,48,42,39,49,69,22,68,21,51,26,39,43,39,43,60,26,23,55,51,26,51,22,68,17,36,43,23,52,23,67,51,25,19,71,23,55,21,55,39,40,51,37,48,26,45,43,39,43,51,21,23,25,21,55,36,26,21,26,39,25,23,43,39,26,21,43,21,43,23,25,23,55,23,26,39,21,39,17,39,43,51,26,23,26,39,40,36,43,38,43,23,40,39,25,36,25,2.0
31,58,22,69,18,22,70,33,59,33,58,53,38,53,38,47,55,31,67,35,56,35,57,20,71,20,72,71,20,14,71,20,50,41,69,35,50,41,35,55,74,17,74,17,53,20,35,41,35,41,69,20,22,59,53,20,53,17,74,15,33,41,23,57,22,67,53,20,18,72,22,59,20,59,35,38,53,35,50,20,47,41,35,41,53,17,22,20,20,59,33,20,20,20,35,20,22,41,35,20,20,41,20,41,22,20,22,59,22,20,35,17,35,15,35,41,53,20,22,20,35,38,33,41,35,41,23,38,35,20,33,20,2.0
36,54,23,67,16,23,67,38,54,38,54,56,35,56,35,50,50,36,63,40,52,40,52,19,71,19,71,74,18,14,74,18,53,38,72,32,53,38,40,50,76,16,76,16,56,18,40,38,40,38,72,18,23,54,56,18,56,16,76,14,38,38,23,52,23,64,56,18,16,71,23,54,19,54,40,35,56,32,53,18,50,38,40,38,56,16,23,18,19,54,38,18,19,18,40,18,23,38,40,18,19,38,19,38,23,18,23,54,23,18,40,16,40,14,40,38,56,18,23,18,40,35,38,38,40,38,23,35,40,18,38,18,1.0
30,59,17,76,15,17,76,32,58,32,59,58,34,57,34,53,52,30,75,36,56,35,55,16,77,16,77,70,22,18,70,22,56,37,68,32,55,36,35,53,72,20,72,20,58,22,36,37,35,36,68,22,17,58,58,22,58,20,72,18,32,37,17,56,17,75,57,22,15,77,17,59,16,59,36,34,58,32,56,22,53,36,36,36,57,20,17,22,16,58,32,22,16,22,35,22,17,37,36,22,16,36,16,37,17,22,17,58,17,22,35,20,35,18,35,37,58,22,17,22,35,34,32,36,35,36,17,34,35,22,32,22,2.0
38,52,22,70,18,22,70,40,52,40,52,52,40,52,40,48,48,38,68,42,50,42,50,20,72,20,72,64,26,19,64,25,50,42,62,38,50,42,42,48,69,22,68,21,52,26,42,42,42,42,64,26,22,52,52,26,52,22,68,21,40,42,22,50,22,68,52,25,18,72,22,52,20,52,42,40,52,38,50,26,48,42,42,42,52,21,22,25,20,52,40,26,20,26,42,25,22,42,42,26,20,42,20,42,22,25,22,52,22,26,42,21,42,21,42,42,52,26,22,26,42,40,40,42,42,42,22,40,42,25,40,25,2.0
29,59,16,76,12,16,76,32,59,32,59,53,37,52,37,45,53,29,74,34,56,34,56,14,78,14,78,73,18,11,73,16,49,40,70,33,49,40,35,53,77,15,76,14,53,18,35,41,35,41,70,18,16,59,53,18,53,15,76,11,32,41,16,56,16,74,53,17,12,78,16,59,14,59,35,37,53,33,49,18,45,41,34,41,53,14,16,17,14,59,32,18,14,18,35,17,16,41,35,18,14,41,14,41,16,17,16,59,16,18,35,14,35,11,35,40,53,18,16,18,35,37,32,41,34,41,16,37,35,17,32,17,1.0
35,55,27,65,23,27,65,37,55,37,55,54,37,54,37,48,51,35,63,39,53,39,53,25,67,25,67,69,23,18,69,22,51,40,67,34,51,40,39,51,72,21,71,20,54,23,39,40,39,40,67,23,27,55,54,23,54,21,71,18,37,40,27,53,27,63,54,22,23,67,27,55,25,55,39,37,54,34,51,23,48,40,39,40,54,20,27,22,25,55,37,23,25,23,39,22,27,40,39,23,25,40,25,40,27,22,27,55,27,23,39,20,39,18,39,40,54,23,27,23,39,37,37,40,39,40,27,37,39,22,37,22,1.0
36,54,26,66,22,26,66,38,54,38,54,54,38,54,38,50,50,36,64,40,52,40,52,24,68,24,68,69,23,18,69,22,52,40,67,36,52,40,40,50,72,21,71,20,54,23,40,40,40,40,67,23,26,54,54,23,54,21,71,18,38,40,26,52,26,64,54,22,22,68,26,54,24,54,40,38,54,36,52,23,50,40,40,40,54,20,26,22,24,54,38,23,24,23,40,22,26,40,40,23,24,40,24,40,26,22,26,54,26,23,40,20,40,18,40,40,54,23,26,23,40,38,38,40,40,40,26,38,40,22,38,22,1.0
33,55,21,70,15,21,70,36,55,36,55,51,40,51,40,45,49,33,67,39,52,38,52,18,73,18,73,75,16,10,75,15,48,43,72,37,48,42,39,49,79,13,78,12,51,16,39,43,39,43,73,16,21,55,51,16,51,13,78,10,36,43,21,52,21,67,51,15,15,73,21,55,18,55,39,40,51,37,48,16,45,43,39,43,51,12,21,15,18,55,36,16,18,16,39,15,21,43,39,16,18,43,18,43,21,15,21,55,21,16,39,12,39,10,39,43,51,16,21,16,39,40,36,43,38,43,21,40,39,15,36,15,2.0
34,54,20,71,14,20,71,37,54,37,54,50,41,50,41,44,48,34,68,39,51,39,51,17,74,17,74,72,19,12,72,18,47,43,69,38,47,43,40,48,76,16,75,15,50,19,40,44,40,44,69,19,20,54,50,19,50,16,75,12,37,44,20,51,20,68,50,18,14,74,20,54,17,54,40,41,50,38,47,19,44,44,39,44,50,15,20,18,17,54,37,19,17,19,40,18,20,44,40,19,17,44,17,44,20,18,20,54,20,19,40,15,40,12,40,43,50,19,20,19,40,41,37,44,39,44,20,41,40,18,37,18,1.0
35,51,16,77,14,16,77,39,51,39,51,58,33,58,32,52,43,35,76,43,47,42,47,15,78,15,78,69,21,16,69,22,55,36,66,29,55,34,43,43,72,18,72,19,58,22,43,36,43,35,66,21,16,51,58,22,59,19,72,16,39,36,16,47,16,76,58,22,14,78,16,51,15,51,43,33,58,29,55,22,52,36,43,36,58,19,16,22,15,51,39,22,15,22,43,22,16,36,43,22,15,35,15,36,16,22,16,51,16,22,43,19,43,16,43,36,58,21,16,22,43,32,39,35,42,36,16,33,43,22,39,22,1.0
33,56,17,74,13,18,75,35,56,36,57,56,35,56,35,50,52,33,73,38,54,37,54,15,76,15,77,71,20,15,71,20,53,38,68,32,53,38,38,52,74,17,74,17,56,20,38,38,37,38,69,20,17,56,56,20,56,17,74,15,36,38,18,54,17,73,56,20,14,77,18,57,15,57,38,35,56,32,53,20,50,38,38,38,56,17,17,20,15,56,36,20,15,20,37,20,18,38,38,20,15,38,15,38,17,20,17,56,18,20,37,17,38,15,38,38,56,20,17,20,37,35,35,38,37,38,18,35,37,20,35,20,2.0
32,57,20,71,16,21,72,34,57,35,58,57,34,57,34,51,53,32,69,37,55,36,55,18,73,18,74,73,19,15,73,19,54,37,71,31,54,37,37,53,75,17,75,17,57,19,37,37,36,37,71,19,20,57,57,19,57,17,75,15,35,37,21,55,20,69,57,19,16,74,21,58,18,58,37,34,57,31,54,19,51,37,37,37,57,17,20,19,18,57,35,19,18,19,36,19,21,37,37,19,18,37,18,37,20,19,20,57,21,19,36,17,37,15,37,37,57,19,20,19,36,34,34,37,36,37,21,34,36,19,34,19,2.0
33,55,22,70,18,22,70,36,55,36,55,57,34,57,33,51,49,33,68,39,52,39,52,20,72,20,72,71,20,16,71,20,54,37,69,30,54,36,39,49,74,18,73,18,57,21,39,37,39,36,69,20,22,55,57,21,58,19,73,16,36,37,22,52,22,68,57,20,18,72,22,55,20,55,39,34,57,30,54,21,51,37,39,37,57,18,22,20,20,55,36,21,20,21,39,20,22,37,39,21,20,36,20,37,22,20,22,55,22,21,39,18,39,16,39,37,57,20,22,21,39,33,36,36,39,37,22,34,39,20,36,20,1.0
37,53,25,67,21,25,67,39,53,39,53,51,41,51,41,47,49,37,65,41,51,41,51,23,69,23,69,68,24,19,68,23,49,43,66,39,49,43,41,49,71,22,70,21,51,24,41,43,41,43,66,24,25,53,51,24,51,22,70,19,39,43,25,51,25,65,51,23,21,69,25,53,23,53,41,41,51,39,49,24,47,43,41,43,51,21,25,23,23,53,39,24,23,24,41,23,25,43,41,24,23,43,23,43,25,23,25,53,25,24,41,21,41,19,41,43,51,24,25,24,41,41,39,43,41,43,25,41,41,23,39,23,2.0
33,55,20,71,14,20,71,36,55,36,55,58,33,58,33,52,49,33,68,39,52,39,52,17,74,17,74,72,20,16,72,20,55,36,70,30,55,36,39,49,74,18,74,18,58,20,39,36,39,36,70,20,20,55,58,20,58,18,74,16,36,36,20,52,20,68,58,20,14,74,20,55,17,55,39,33,58,30,55,20,52,36,39,36,58,18,20,20,17,55,36,20,17,20,39,20,20,36,39,20,17,36,17,36,20,20,20,55,20,20,39,18,39,16,39,36,58,20,20,20,39,33,36,36,39,36,20,33,39,20,36,20,1.0
33,55,17,76,15,17,76,36,54,36,55,58,33,57,33,51,48,33,75,40,52,39,51,16,77,16,77,69,23,19,69,23,55,37,67,30,54,36,39,48,71,21,71,21,58,23,40,37,39,36,67,23,17,54,58,23,58,21,71,19,36,37,17,52,17,75,57,23,15,77,17,55,16,55,40,33,58,30,55,23,51,36,40,36,57,21,17,23,16,54,36,23,16,23,39,23,17,37,40,23,16,36,16,37,17,23,17,54,17,23,39,21,39,19,39,37,58,23,17,23,39,33,36,36,39,36,17,33,39,23,36,23,2.0
35,55,26,66,22,26,66,37,55,37,55,52,39,52,39,46,51,35,64,39,53,39,53,24,68,24,68,69,23,18,69,22,49,42,67,36,49,42,39,51,72,21,71,20,52,23,39,42,39,42,67,23,26,55,52,23,52,21,71,18,37,42,26,53,26,64,52,22,22,68,26,55,24,55,39,39,52,36,49,23,46,42,39,42,52,20,26,22,24,55,37,23,24,23,39,22,26,42,39,23,24,42,24,42,26,22,26,55,26,23,39,20,39,18,39,42,52,23,26,23,39,39,37,42,39,42,26,39,39,22,37,22,1.0
33,55,19,74,17,19,74,36,55,36,55,56,33,57,33,49,49,33,73,39,52,39,52,18,75,18,75,73,18,15,73,19,53,37,71,29,53,37,39,49,75,17,75,17,56,19,39,37,39,37,71,19,19,55,57,19,57,17,75,15,36,37,19,52,19,73,57,19,17,75,19,55,18,55,39,33,57,29,53,19,49,37,39,37,57,17,19,19,18,55,36,19,18,19,39,19,19,37,39,19,18,37,18,37,19,19,19,55,19,19,39,17,39,15,39,37,57,18,19,19,39,33,36,37,39,37,19,33,39,19,36,19,2.0
33,54,17,75,15,17,76,36,54,37,54,55,36,55,36,49,48,33,74,40,51,39,51,16,76,16,77,71,21,17,71,21,52,39,69,33,52,39,40,48,73,19,73,19,55,21,40,39,39,39,69,21,17,54,55,21,55,19,73,17,37,39,18,51,17,74,55,21,15,77,18,55,16,55,40,36,55,33,52,21,49,39,40,39,55,19,17,21,16,54,37,21,16,21,39,21,18,39,40,21,16,39,16,39,17,21,17,54,18,21,39,19,40,17,40,39,55,21,17,21,39,36,36,39,39,39,18,36,39,21,36,21,1.0
33,55,22,69,16,22,69,36,55,36,55,57,34,57,34,51,49,33,66,39,52,39,52,19,72,19,72,70,21,15,70,21,54,37,67,31,54,37,39,49,73,18,73,18,57,21,39,37,39,37,67,21,22,55,57,21,57,18,73,15,36,37,22,52,22,66,57,21,16,72,22,55,19,55,39,34,57,31,54,21,51,37,39,37,57,18,22,21,19,55,36,21,19,21,39,21,22,37,39,21,19,37,19,37,22,21,22,55,22,21,39,18,39,15,39,37,57,21,22,21,39,34,36,37,39,37,22,34,39,21,36,21,1.0
28,62,21,71,17,21,71,30,61,30,62,57,35,56,35,52,57,28,69,33,60,32,59,19,73,19,73,70,22,18,70,22,55,38,68,33,54,37,32,57,72,20,72,20,57,22,33,38,32,37,68,22,21,61,57,22,57,20,72,18,30,38,21,60,21,69,56,22,17,73,21,62,19,62,33,35,57,33,55,22,52,37,33,37,56,20,21,22,19,61,30,22,19,22,32,22,21,38,33,22,19,37,19,38,21,22,21,61,21,22,32,20,32,18,32,38,57,22,21,22,32,35,30,37,32,37,21,35,32,22,30,22,2.0
34,56,25,66,19,25,66,36,56,36,56,54,37,54,37,48,52,34,63,38,54,38,54,22,69,22,69,74,18,14,74,18,51,40,72,34,51,40,38,52,76,16,76,16,54,18,38,40,38,40,72,18,25,56,54,18,54,16,76,14,36,40,25,54,25,63,54,18,19,69,25,56,22,56,38,37,54,34,51,18,48,40,38,40,54,16,25,18,22,56,36,18,22,18,38,18,25,40,38,18,22,40,22,40,25,18,25,56,25,18,38,16,38,14,38,40,54,18,25,18,38,37,36,40,38,40,25,37,38,18,36,18,1.0
35,53,16,77,14,16,77,38,53,38,53,59,32,59,32,53,47,35,76,41,50,41,50,15,78,15,78,72,20,16,72,20,56,35,70,29,56,35,41,47,74,18,74,18,59,20,41,35,41,35,70,20,16,53,59,20,59,18,74,16,38,35,16,50,16,76,59,20,14,78,16,53,15,53,41,32,59,29,56,20,53,35,41,35,59,18,16,20,15,53,38,20,15,20,41,20,16,35,41,20,15,35,15,35,16,20,16,53,16,20,41,18,41,16,41,35,59,20,16,20,41,32,38,35,41,35,16,32,41,20,38,20,2.0
