@relation 'Sax dominant'

@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atLccc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMbca numeric
@attribute o1atLbca numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute o1atMcac numeric
@attribute o1atLcac numeric
@attribute o1atMaca numeric
@attribute o1atLaca numeric
@attribute destClass {2,3,4,1}

@data
20,71,19,70,17,68,21,20,69,20,70,22,19,68,68,68,18,72,18,73,21,23,72,21,70,20,20,21,21,21,22,22,19,22,19,24,71,20,20,20,20,22,17,73,19,22,20,22,21,20,17,23,3
21,70,20,69,18,65,22,18,67,21,68,22,21,67,64,67,19,71,20,72,23,24,71,20,70,19,21,22,22,20,23,20,20,23,20,24,71,18,22,21,21,22,18,72,20,23,21,22,22,18,18,23,2
17,67,17,66,11,70,14,13,72,14,73,16,16,65,69,60,12,73,11,74,19,17,76,14,75,13,18,16,20,15,21,15,13,18,13,19,76,13,18,15,18,16,12,74,17,16,18,16,20,13,12,18,3
18,73,18,72,15,68,19,14,70,19,70,18,19,70,66,70,17,74,17,75,19,20,74,15,74,16,19,20,19,16,20,16,17,20,17,20,74,14,19,19,18,20,15,75,18,19,19,18,19,14,15,20,3
16,73,15,72,11,73,13,10,75,13,76,14,15,70,72,68,12,76,12,77,17,15,79,11,78,11,16,14,17,12,18,12,13,15,13,16,79,10,16,13,16,14,11,77,15,14,16,14,17,10,11,15,3
18,72,18,71,15,71,17,14,73,17,74,17,18,70,71,68,16,74,15,75,19,18,76,15,75,16,19,18,19,16,20,16,16,18,16,19,76,14,18,17,18,18,15,75,18,17,19,17,19,14,15,18,3
19,69,21,68,15,66,20,15,68,21,69,19,20,66,64,64,17,72,16,73,21,21,73,16,72,17,21,21,21,17,22,17,17,21,17,22,73,15,20,21,19,21,15,73,21,20,21,19,21,15,15,21,4
23,66,21,65,16,68,20,17,70,19,71,21,22,64,68,61,17,70,18,71,24,22,73,19,72,18,22,20,23,19,24,19,18,21,18,22,73,17,23,19,23,20,17,71,21,21,22,21,23,17,17,21,2
19,69,19,68,15,71,16,14,73,16,74,16,19,66,71,64,16,72,16,73,21,18,76,15,75,15,20,17,21,16,22,16,17,18,17,19,76,14,20,16,19,17,15,73,19,17,20,16,21,14,15,18,2
20,69,23,68,19,65,21,18,67,23,68,20,21,66,64,66,21,70,19,71,22,22,71,18,70,20,23,23,23,20,24,20,21,23,21,24,71,18,21,23,20,23,19,71,23,21,23,20,23,18,19,23,4
19,69,20,68,15,70,18,15,72,18,73,17,20,66,70,64,17,72,16,73,21,19,75,16,74,17,21,19,21,17,22,17,17,19,17,20,75,15,20,18,19,19,15,73,20,18,21,17,21,15,15,19,3
22,69,20,68,17,69,19,16,71,18,72,20,21,66,69,65,18,71,19,72,23,21,74,18,73,17,21,19,22,18,23,18,19,20,19,21,74,16,22,18,22,19,17,72,20,20,21,20,22,16,17,20,2
15,77,15,76,14,73,15,12,75,15,76,15,15,75,73,75,15,77,14,78,16,16,78,13,77,14,16,16,16,14,17,14,15,16,15,17,78,12,15,15,15,16,14,78,15,15,16,15,16,12,14,16,3
17,73,17,72,15,67,18,14,69,19,70,18,17,70,65,70,16,74,16,75,19,20,74,15,73,16,18,19,19,16,20,16,17,20,17,21,74,14,18,19,17,19,15,75,18,19,18,18,19,14,15,20,4
17,74,16,73,14,69,18,14,71,17,72,18,17,71,68,71,15,75,16,76,19,20,75,16,74,15,17,18,18,16,19,16,16,19,16,20,75,14,18,17,17,18,14,76,16,19,17,18,18,14,14,19,3
14,73,14,73,11,66,17,11,68,16,69,16,14,71,62,69,12,77,12,77,16,18,75,12,74,12,16,18,17,13,17,13,13,19,13,20,75,11,15,16,14,18,11,77,14,18,16,17,17,11,11,19,1
19,68,19,67,16,66,19,16,68,20,68,19,20,65,64,63,17,71,17,72,21,21,72,17,72,18,21,21,22,18,23,18,18,22,18,22,72,16,21,20,20,21,16,72,20,20,21,19,22,16,16,22,4
21,71,16,70,15,68,19,17,70,17,71,22,18,68,68,67,15,73,17,74,21,22,73,19,72,17,18,19,20,19,21,19,17,21,17,22,73,17,20,17,21,19,15,74,16,21,18,22,20,17,15,21,1
16,70,14,69,9,69,15,9,71,13,72,15,16,67,67,64,11,75,11,76,18,17,77,11,76,11,17,16,18,12,19,12,12,17,12,18,77,10,17,13,16,16,10,76,14,16,17,15,18,10,10,17,3
19,72,19,71,16,68,20,17,70,20,71,20,19,69,68,69,18,73,17,74,20,21,73,18,72,19,20,21,20,19,21,19,18,21,18,22,73,17,19,20,19,21,16,74,19,20,20,20,20,17,16,21,2
16,74,18,73,14,69,18,14,71,19,72,17,17,71,68,71,16,75,15,76,18,19,75,15,74,16,18,19,18,16,19,16,16,19,16,20,75,14,17,19,16,19,14,76,18,18,18,17,18,14,14,19,4
20,69,17,68,12,68,16,11,71,15,72,18,18,65,67,63,14,73,15,74,20,18,76,14,75,13,19,17,20,14,21,14,15,18,15,19,76,11,19,15,21,17,12,74,17,17,19,19,20,11,12,18,1
17,71,19,70,14,68,17,13,70,18,71,16,18,67,66,67,17,73,15,74,19,18,75,13,74,15,20,19,20,15,21,15,17,19,17,20,75,13,18,18,17,19,14,74,19,17,20,16,20,13,14,19,4
19,73,17,72,15,62,23,17,64,22,65,24,18,70,59,70,16,74,17,75,20,25,70,19,69,18,18,23,19,19,20,19,17,24,17,25,70,17,19,22,19,23,15,75,17,24,18,24,19,17,15,24,2
20,72,19,71,16,67,21,16,69,20,70,21,20,69,66,69,18,73,18,74,21,22,73,18,72,18,20,21,20,18,21,18,18,21,18,22,73,16,20,20,20,21,16,74,19,21,20,21,20,16,16,21,3
15,74,13,73,10,69,15,9,70,14,71,16,14,71,65,69,11,77,12,78,17,18,77,11,76,10,14,15,16,11,17,11,12,17,12,18,77,10,16,15,15,15,10,78,14,17,14,16,16,10,10,17,4
20,70,19,69,18,65,20,17,67,20,67,21,20,67,63,67,19,71,19,72,21,22,71,18,71,18,21,22,22,19,23,19,20,23,20,23,71,17,21,20,21,22,18,72,19,21,21,21,22,17,18,23,2
19,69,21,68,15,67,20,16,69,21,70,19,20,67,66,65,17,72,16,73,21,21,73,17,72,18,21,21,21,18,22,18,17,21,17,22,73,16,20,21,19,21,16,73,21,20,21,19,21,16,16,21,4
19,68,19,67,15,70,16,15,72,16,73,16,19,64,70,63,17,71,16,72,21,18,75,15,74,16,21,18,22,17,23,17,18,19,18,20,75,15,20,16,19,18,15,72,19,17,21,16,22,15,15,19,4
19,72,18,71,16,68,19,17,70,19,71,20,18,69,68,69,17,73,17,74,20,21,73,18,72,18,19,20,20,19,21,19,18,21,18,22,73,17,19,19,19,20,16,74,18,20,19,20,20,17,16,21,2
23,69,20,68,19,63,23,18,66,21,67,24,22,66,63,66,20,70,21,71,24,25,70,21,69,20,22,23,23,21,24,21,21,24,21,25,70,18,23,21,23,23,19,71,20,24,22,24,23,18,19,24,1
17,71,17,70,11,74,15,11,76,14,77,14,18,68,74,65,13,75,13,76,19,16,79,13,78,13,18,15,18,13,19,13,13,15,13,16,79,11,18,14,17,15,11,76,17,15,18,14,18,11,11,15,4
20,69,19,68,13,71,18,14,73,17,74,18,20,66,71,63,15,73,15,74,21,19,76,16,75,16,20,18,20,16,21,16,15,18,15,19,76,14,20,17,20,18,13,74,19,18,20,18,20,14,13,18,3
23,67,22,66,19,67,20,18,69,20,70,21,22,64,67,63,20,69,20,70,24,22,72,19,71,19,23,21,24,20,25,20,21,22,21,23,72,18,23,20,23,21,19,70,22,21,23,21,24,18,19,22,2
19,73,17,72,17,68,18,15,70,18,71,19,18,71,67,71,17,73,18,75,20,20,74,16,73,16,18,19,19,17,21,17,18,20,19,21,74,15,19,18,19,19,17,74,17,19,19,19,20,15,17,20,2
23,69,18,68,17,68,19,17,70,17,71,22,20,66,68,65,17,71,19,72,23,22,73,19,72,17,20,19,22,19,23,19,19,21,19,22,73,17,22,17,23,19,17,72,18,21,20,22,22,17,17,21,1
14,73,15,72,11,65,17,12,68,18,69,17,14,70,63,68,12,76,11,77,16,19,74,13,73,14,16,19,17,15,18,15,13,20,13,21,74,12,15,18,14,19,11,77,15,18,16,17,17,12,11,20,4
19,66,20,65,14,67,17,14,69,18,70,17,19,64,65,60,16,71,14,72,21,19,74,14,73,16,21,19,22,16,23,16,16,20,16,21,74,14,20,19,19,19,15,72,21,18,21,17,22,14,15,20,4
15,74,18,73,14,71,15,12,73,17,74,14,16,71,70,71,16,75,14,76,17,16,77,12,76,14,18,17,18,14,19,14,16,17,16,18,77,12,16,17,15,17,14,76,18,15,18,14,18,12,14,17,4
16,74,16,73,11,73,14,10,75,14,76,14,16,70,72,70,14,76,13,77,17,15,79,11,78,12,17,15,17,12,18,12,14,15,14,16,79,10,16,14,16,15,11,77,16,14,17,14,17,10,11,15,3
16,75,15,74,13,68,17,13,70,17,71,18,15,72,66,72,14,76,14,77,17,19,75,14,74,14,16,18,17,15,18,15,15,19,15,20,75,13,16,17,16,18,13,77,15,18,16,18,17,13,13,19,2
16,73,17,72,13,70,17,13,72,17,73,16,17,70,69,69,15,75,14,76,18,18,76,14,75,15,18,18,18,15,19,15,15,18,15,19,76,13,17,17,16,18,13,76,17,17,18,16,18,13,13,18,4
19,69,19,69,15,68,19,17,70,19,71,19,18,67,68,65,16,73,16,73,20,20,73,18,72,18,20,20,21,19,21,19,17,21,17,22,73,17,19,19,19,20,15,73,19,20,20,20,21,17,15,21,2
17,71,18,70,15,65,19,16,67,20,68,19,17,68,63,67,16,73,15,74,19,21,72,16,71,17,19,21,20,18,21,18,17,22,17,23,72,16,18,20,17,21,15,74,18,20,19,19,20,16,15,22,4
23,69,21,68,19,62,24,19,64,23,65,25,22,66,60,66,20,70,21,71,24,26,69,21,68,20,22,24,23,21,24,21,21,25,21,26,69,19,23,23,23,24,19,71,21,25,22,25,23,19,19,25,3
19,68,19,67,14,68,19,14,69,18,70,18,20,66,66,63,16,72,15,73,21,20,74,15,73,16,21,20,21,16,22,16,16,20,16,21,74,15,20,18,19,20,15,73,19,19,21,18,21,15,15,20,4
17,72,16,71,10,72,16,11,74,15,75,16,17,70,71,67,12,76,12,77,18,17,78,13,77,13,17,16,17,13,18,13,12,16,12,17,78,11,17,15,17,16,11,77,16,16,17,16,17,11,11,16,2
16,72,19,71,14,71,16,14,73,18,74,15,17,69,71,68,16,74,14,75,18,17,76,14,75,16,19,18,19,16,20,16,16,18,16,19,76,14,17,18,16,18,14,75,19,16,19,15,19,14,14,18,4
23,68,18,67,18,65,21,18,67,18,68,23,21,65,64,64,18,70,20,71,24,24,71,20,70,18,21,21,23,20,24,20,20,23,20,24,71,18,23,18,23,21,18,71,18,23,21,23,23,18,18,23,1
20,65,19,64,13,63,21,16,65,20,66,21,20,64,60,59,14,71,14,72,22,23,71,17,70,17,21,22,22,18,23,18,15,23,15,24,71,16,21,20,20,22,15,72,19,22,21,21,22,16,15,23,2
16,75,16,74,13,72,16,13,74,16,75,16,16,72,72,72,15,76,14,77,17,17,77,14,76,15,17,17,17,15,18,15,15,17,15,18,77,13,16,16,16,17,13,77,16,16,17,16,17,13,13,17,2
20,71,19,70,17,68,18,15,70,18,71,19,19,68,67,68,18,72,18,73,21,20,74,16,73,16,20,19,21,17,22,17,19,20,19,21,74,15,20,18,20,19,17,73,19,19,20,19,21,15,17,20,2
16,72,19,71,14,67,19,14,69,20,70,17,18,69,65,68,16,74,15,75,19,20,74,15,73,16,19,20,19,16,20,16,16,20,16,21,74,14,18,20,16,20,14,75,19,19,19,17,19,14,14,20,4
18,72,18,71,14,69,18,13,70,18,71,18,18,69,67,68,16,74,15,75,19,19,75,14,74,15,19,19,19,15,20,15,16,19,16,20,75,14,18,18,18,19,14,75,18,18,19,18,19,14,14,19,3
18,71,17,70,13,69,17,14,71,17,72,18,17,68,68,66,14,74,14,75,19,19,75,15,74,15,18,18,19,16,20,16,15,19,15,20,75,14,18,17,18,18,13,75,17,18,18,18,19,14,13,19,3
17,70,17,70,12,68,17,12,69,17,70,17,16,68,65,65,13,75,13,75,18,18,75,13,74,13,18,18,19,14,19,14,14,19,14,20,75,13,17,17,17,18,12,75,17,18,18,18,19,13,12,19,3
19,71,15,70,12,73,14,12,75,12,76,16,17,68,73,67,13,74,15,75,20,17,78,14,77,12,17,14,19,14,20,14,15,16,15,17,78,12,19,12,19,14,13,75,15,16,17,16,19,12,13,16,1
18,68,18,67,12,71,16,14,73,16,74,16,18,65,71,61,13,73,13,74,20,18,76,15,75,15,19,17,20,16,21,16,14,18,14,19,76,14,19,16,18,17,12,74,18,17,19,16,20,14,12,18,2
25,68,21,67,20,66,22,19,68,20,69,24,23,65,66,65,21,69,22,70,25,24,71,21,70,20,23,22,24,21,25,21,22,23,22,24,71,19,24,20,25,22,20,70,21,23,23,24,24,19,20,23,1
24,66,23,65,20,65,21,18,67,21,68,22,23,64,64,63,21,68,21,69,25,23,71,19,70,19,24,22,25,20,26,20,22,23,22,24,71,18,24,21,24,22,21,69,23,22,24,22,25,18,21,23,3
17,74,17,73,14,72,18,14,73,16,74,17,18,71,71,71,16,75,16,76,19,19,77,16,75,15,18,17,18,15,19,16,16,17,16,19,76,14,18,16,17,18,14,76,17,18,18,17,18,14,14,18,4
17,73,17,72,13,66,19,13,69,19,70,19,17,70,65,69,15,75,14,76,18,20,74,15,73,16,18,20,18,16,19,16,15,20,15,21,74,13,17,19,17,20,13,76,17,19,18,19,18,13,13,20,2
20,68,23,67,17,67,19,16,69,21,70,18,21,64,66,64,20,70,18,71,22,20,73,16,72,18,23,21,23,18,24,18,20,21,20,22,73,16,21,21,20,21,17,71,23,19,23,18,23,16,17,21,4
18,70,21,69,16,69,17,14,71,19,72,16,19,68,68,67,18,72,16,73,20,18,75,14,74,16,21,19,21,16,22,16,18,19,18,20,75,14,19,19,18,19,17,73,21,17,21,16,21,14,17,19,4
16,69,18,68,11,68,18,12,70,17,71,16,18,67,66,63,13,74,12,75,19,19,76,14,74,14,19,18,19,14,20,15,13,18,13,20,75,12,18,17,16,19,12,75,18,18,19,16,19,12,12,19,4
19,69,17,68,14,66,17,13,69,17,70,18,18,65,65,64,15,72,16,73,21,20,74,15,73,15,19,18,21,16,22,16,17,20,17,21,74,13,20,17,19,18,14,73,18,19,19,18,21,13,14,20,2
20,66,22,65,14,69,17,12,71,18,72,16,21,65,67,61,16,71,15,72,22,18,76,13,75,14,22,18,22,14,23,14,16,18,16,19,76,12,21,18,20,18,16,72,22,17,22,16,22,12,16,18,4
19,71,16,70,13,70,17,13,72,15,73,18,18,68,69,66,14,74,15,75,20,19,76,15,75,14,18,17,19,15,20,15,15,18,15,19,76,13,19,15,19,17,13,75,16,18,18,18,19,13,13,18,1
23,67,21,66,19,66,22,20,67,20,68,22,22,64,65,63,20,69,21,70,24,24,71,21,69,20,23,22,24,21,25,22,21,23,21,25,70,20,23,20,23,23,19,70,21,23,23,23,24,20,19,24,3
21,70,20,69,18,66,20,17,68,20,69,21,20,67,65,67,19,71,19,72,22,22,72,18,71,18,21,21,22,19,23,19,20,22,20,23,72,17,21,20,21,21,18,72,20,21,21,21,22,17,18,22,3
16,73,15,73,11,72,17,13,74,15,75,17,16,71,72,69,13,77,12,77,17,17,77,15,76,15,17,17,17,15,17,15,13,17,13,18,77,13,16,15,16,17,11,77,15,17,17,17,17,13,11,17,1
16,73,17,72,13,70,17,12,71,17,72,16,17,70,68,69,15,75,14,76,18,18,76,13,75,14,18,18,18,14,19,14,15,18,15,19,76,13,17,17,16,18,13,76,17,17,18,16,18,13,13,18,3
19,72,14,71,12,69,17,14,71,15,72,20,16,69,68,67,12,75,14,76,19,20,75,16,74,14,16,17,18,16,19,16,14,19,14,20,75,14,18,15,19,17,12,76,14,19,16,20,18,14,12,19,1
21,71,19,70,17,64,23,19,66,22,67,24,20,68,63,68,18,72,19,73,22,25,70,21,69,20,20,23,21,21,22,21,19,24,19,25,70,19,21,22,21,23,17,73,19,24,20,24,21,19,17,24,2
15,74,11,73,8,64,17,9,67,16,68,19,13,72,60,69,8,78,10,79,16,20,75,12,74,11,13,17,15,12,16,12,10,19,10,20,75,9,15,16,15,17,9,79,12,19,13,19,15,9,9,19,2
16,72,16,71,12,74,13,11,76,13,77,13,16,69,74,67,13,75,13,76,18,15,79,12,78,12,17,14,18,13,19,13,14,15,14,16,79,11,17,13,16,14,12,76,16,14,17,13,18,11,12,15,3
20,71,15,70,13,68,18,15,70,16,71,21,17,69,67,67,13,74,15,75,20,21,74,17,73,15,17,18,19,17,20,17,15,20,15,21,74,15,19,16,20,18,14,75,15,20,17,21,19,15,14,20,1
13,71,17,71,11,68,16,11,70,17,71,13,15,69,65,66,13,76,11,76,16,16,76,11,75,13,18,18,18,13,18,13,13,18,13,19,76,11,15,17,13,18,11,76,17,16,18,14,18,11,11,18,4
21,70,17,69,14,69,18,14,71,16,72,20,19,67,68,65,15,73,16,74,21,20,75,16,74,15,19,18,20,16,21,16,16,19,16,20,75,14,20,16,21,18,14,74,17,19,19,20,20,14,14,19,1
17,70,18,69,12,67,19,12,69,18,70,17,19,67,64,64,14,74,14,75,20,20,75,14,74,14,19,19,19,14,20,14,14,19,14,20,75,12,19,18,17,19,12,75,18,19,19,17,19,12,12,19,3
19,72,15,71,12,70,16,11,72,14,73,18,17,69,68,67,13,75,14,76,19,18,77,13,76,12,17,16,18,13,19,13,14,17,14,18,77,11,18,14,19,16,12,76,15,17,17,18,18,11,12,17,1
18,69,21,69,17,65,20,17,66,21,67,19,19,67,63,66,19,72,17,72,20,21,71,17,70,18,21,22,22,19,22,19,19,23,19,24,71,17,19,22,18,22,17,72,21,21,21,20,22,18,17,23,4
17,71,17,70,14,61,22,13,61,21,62,22,17,69,55,66,14,74,14,75,19,24,71,15,69,14,18,22,19,15,20,16,15,23,15,25,70,15,18,21,17,23,14,75,17,23,18,22,19,15,14,24,3
19,69,18,68,15,68,18,14,69,17,70,18,19,66,66,64,16,72,16,73,21,20,74,15,73,15,20,19,21,16,22,16,17,20,17,21,74,15,20,17,19,19,15,73,18,19,20,18,21,15,15,20,4
18,74,13,73,12,70,16,13,72,14,73,19,15,71,69,70,12,76,14,77,18,19,76,15,75,13,15,16,17,15,18,15,14,18,14,19,76,13,17,14,18,16,12,77,13,18,15,19,17,13,12,18,1
17,69,19,68,10,70,16,10,71,16,72,15,18,65,66,62,13,74,12,75,19,17,78,11,76,11,19,16,19,11,20,12,13,16,13,18,77,10,18,16,17,17,10,75,19,16,19,15,19,10,10,17,4
19,72,18,71,16,70,17,15,72,17,73,18,18,69,70,69,17,73,17,74,20,19,75,16,74,16,19,18,20,17,21,17,18,19,18,20,75,15,19,17,19,18,16,74,18,18,19,18,20,15,16,19,2
23,69,18,68,17,66,20,17,68,18,69,23,20,66,65,65,17,71,19,72,23,23,72,19,71,17,20,20,22,19,23,19,19,22,19,23,72,17,22,18,23,20,17,72,18,22,20,23,22,17,17,22,1
17,69,17,68,10,69,15,9,70,15,71,15,17,65,65,62,12,74,12,75,19,17,77,10,76,10,18,16,19,11,20,11,13,17,13,18,77,10,18,15,17,16,10,75,17,16,18,15,19,10,10,17,4
21,69,22,68,17,66,21,15,68,21,69,20,22,67,64,66,19,71,19,72,23,22,73,17,72,17,22,21,22,17,23,17,19,21,19,22,73,15,22,21,21,21,18,72,22,21,22,20,22,15,18,21,4
13,74,13,73,9,65,16,9,67,17,68,16,13,71,61,69,10,77,10,79,15,18,75,10,74,11,14,18,15,12,17,12,11,19,12,20,75,10,14,17,13,18,9,78,13,17,15,16,16,10,9,19,3
19,71,15,70,12,64,19,13,66,17,67,21,17,68,60,67,13,74,15,75,20,22,73,15,72,13,17,19,19,15,20,15,15,21,15,22,73,13,19,17,19,19,13,75,15,21,17,21,19,13,13,21,1
20,73,17,72,15,67,21,16,69,19,70,22,19,70,66,70,17,74,17,75,20,22,73,18,72,18,19,21,19,18,20,18,17,21,17,22,73,16,19,19,20,21,15,75,17,21,19,22,19,16,15,21,1
21,67,17,67,15,65,20,16,67,17,68,21,19,65,63,62,15,72,17,72,22,22,72,18,71,16,20,20,22,18,22,18,17,22,17,23,72,16,21,17,21,20,15,72,17,22,20,22,22,16,15,22,1
18,72,16,71,12,68,17,11,70,16,71,18,17,69,65,67,13,75,14,76,19,19,76,13,75,12,17,17,18,13,19,13,14,18,14,19,76,11,18,16,18,17,12,76,16,18,17,18,18,11,12,18,3
22,68,21,67,18,65,21,16,67,20,68,21,22,66,63,65,19,70,20,71,24,23,72,18,71,17,22,21,23,18,24,18,20,22,20,23,72,16,23,20,22,21,19,71,21,22,22,21,23,16,19,22,3
18,71,18,70,15,66,19,15,68,20,69,19,18,68,64,67,16,73,16,74,20,21,73,16,72,17,19,20,20,17,21,17,17,21,17,22,73,15,19,20,18,20,15,74,19,20,19,19,20,15,15,21,4
17,73,16,72,13,72,16,11,74,15,75,15,18,72,71,70,14,75,15,77,19,17,78,13,77,13,17,16,17,13,19,13,14,16,15,17,78,11,18,15,17,16,14,76,16,16,18,15,18,11,14,16,4
17,75,13,74,11,73,15,12,75,13,76,17,15,72,73,71,12,77,13,78,17,17,78,14,77,13,15,15,16,14,17,14,13,16,13,17,78,12,16,13,17,15,11,78,13,16,15,17,16,12,11,16,1
18,69,18,69,13,68,18,13,70,17,71,18,18,68,66,65,14,74,14,74,20,19,75,15,74,14,19,18,20,15,20,15,15,19,15,20,75,13,19,17,18,18,14,74,18,19,19,18,20,13,14,19,2
18,68,18,68,12,72,14,11,74,14,75,14,17,66,71,62,13,74,13,74,19,15,78,12,77,12,19,15,20,13,20,13,14,16,14,17,78,11,18,14,18,15,12,74,18,15,19,15,20,11,12,16,3
17,70,18,70,14,67,19,15,68,19,69,18,17,68,65,66,15,74,15,74,19,20,73,16,72,16,19,20,20,17,20,17,16,21,16,22,73,16,18,19,17,20,14,74,18,20,19,19,20,16,14,21,2
17,72,20,71,16,67,19,16,69,21,70,18,18,69,66,69,18,73,16,74,19,20,73,16,72,18,20,21,20,18,21,18,18,21,18,22,73,16,18,21,17,21,16,74,20,19,20,18,20,16,16,21,4
12,75,13,74,10,69,15,9,70,14,71,14,13,74,65,71,11,78,10,79,15,17,77,10,76,10,14,16,15,11,16,11,11,17,11,18,77,10,14,15,12,16,11,79,13,16,14,14,15,10,11,17,3
17,75,16,74,14,71,17,12,73,16,74,17,17,73,70,72,15,76,15,77,18,18,77,14,76,14,17,17,17,14,18,14,15,17,15,18,77,12,17,16,17,17,14,77,16,17,17,17,17,12,14,17,3
19,69,20,68,17,67,18,16,69,19,70,18,19,66,66,65,18,71,17,72,21,20,73,16,72,17,21,20,22,18,23,18,19,21,19,22,73,16,20,19,19,20,17,72,20,19,21,18,22,16,17,21,4
17,74,13,73,10,74,14,11,76,12,77,16,15,71,74,69,11,77,12,78,17,16,79,13,78,12,15,14,16,13,17,13,12,15,12,16,79,11,16,12,17,14,10,78,13,15,15,16,16,11,10,15,1
