@relation 'Sax dominant'

@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMhh numeric
@attribute o1atLhh numeric
@attribute o1atMff numeric
@attribute o1atLff numeric
@attribute o1atMjj numeric
@attribute o1atLjj numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMfg numeric
@attribute o1atLfg numeric
@attribute o1atMjk numeric
@attribute o1atLjk numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMhi numeric
@attribute o1atLhi numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMgf numeric
@attribute o1atLgf numeric
@attribute o1atMkj numeric
@attribute o1atLkj numeric
@attribute o1atMih numeric
@attribute o1atLih numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMee numeric
@attribute o1atLee numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMgg numeric
@attribute o1atLgg numeric
@attribute o1atMii numeric
@attribute o1atLii numeric
@attribute o1atLkk numeric
@attribute o1atMaa numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMgh numeric
@attribute o1atLgh numeric
@attribute o1atMef numeric
@attribute o1atLef numeric
@attribute o1atMij numeric
@attribute o1atLij numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMeg numeric
@attribute o1atLeg numeric
@attribute o1atMgi numeric
@attribute o1atLgi numeric
@attribute o1atMeh numeric
@attribute o1atLeh numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMhg numeric
@attribute o1atLhg numeric
@attribute o1atMfe numeric
@attribute o1atLfe numeric
@attribute o1atMji numeric
@attribute o1atLji numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMfi numeric
@attribute o1atLfi numeric
@attribute o1atMhf numeric
@attribute o1atLhf numeric
@attribute o1atMge numeric
@attribute o1atLge numeric
@attribute o1atMfh numeric
@attribute o1atLfh numeric
@attribute o1atMik numeric
@attribute o1atLik numeric
@attribute o1atMfd numeric
@attribute o1atLfd numeric
@attribute o1atMhj numeric
@attribute o1atLhj numeric
@attribute o1atMfj numeric
@attribute o1atLfj numeric
@attribute o1atMcf numeric
@attribute o1atLcf numeric
@attribute o1atMei numeric
@attribute o1atLei numeric
@attribute o1atMgj numeric
@attribute o1atLgj numeric
@attribute o1atMdg numeric
@attribute o1atLdg numeric
@attribute o1atMgk numeric
@attribute o1atLgk numeric
@attribute o1atMhk numeric
@attribute o1atLhk numeric
@attribute o1atMig numeric
@attribute o1atLig numeric
@attribute o1atMdf numeric
@attribute o1atLdf numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMbf numeric
@attribute o1atLbf numeric
@attribute o1atMjh numeric
@attribute o1atLjh numeric
@attribute o1atMcg numeric
@attribute o1atLcg numeric
@attribute o1atMdh numeric
@attribute o1atLdh numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMhe numeric
@attribute o1atLhe numeric
@attribute o1atMck numeric
@attribute o1atLck numeric
@attribute o1atMjf numeric
@attribute o1atLjf numeric
@attribute o1atMfc numeric
@attribute o1atLfc numeric
@attribute o1atMbj numeric
@attribute o1atLbj numeric
@attribute o1atMgd numeric
@attribute o1atLgd numeric
@attribute o1atMjg numeric
@attribute o1atLjg numeric
@attribute o1atMdi numeric
@attribute o1atLdi numeric
@attribute o1atMkg numeric
@attribute o1atLkg numeric
@attribute o1atMch numeric
@attribute o1atLch numeric
@attribute o1atMif numeric
@attribute o1atLif numeric
@attribute o1atMbi numeric
@attribute o1atLbi numeric
@attribute o1atMib numeric
@attribute o1atLib numeric
@attribute o1atMdk numeric
@attribute o1atLdk numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMje numeric
@attribute o1atLje numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMdj numeric
@attribute o1atLdj numeric
@attribute o1atMkd numeric
@attribute o1atLkd numeric
@attribute o1atMki numeric
@attribute o1atLki numeric
@attribute o1atMkf numeric
@attribute o1atLkf numeric
@attribute o1atMcj numeric
@attribute o1atLcj numeric
@attribute o1atMbh numeric
@attribute o1atLbh numeric
@attribute o1atMkh numeric
@attribute o1atLkh numeric
@attribute o1atMhd numeric
@attribute o1atLhd numeric
@attribute o1atMej numeric
@attribute o1atLej numeric
@attribute o1atMid numeric
@attribute o1atLid numeric
@attribute destClass {1.0,2.0}

@data
32,64,66,35,45,53,87,14,19,86,34,61,48,47,88,7,21,74,68,25,29,61,34,61,48,47,88,7,69,25,21,74,38,59,27,72,53,44,76,22,6,7,29,66,56,39,40,55,79,15,8,87,29,61,40,47,56,26,40,39,29,66,56,38,40,55,78,16,8,87,48,26,48,38,40,47,48,39,79,7,34,55,70,16,48,17,29,55,40,26,57,17,34,47,57,7,70,7,56,25,34,55,21,61,21,66,21,55,69,16,29,47,34,39,21,66,40,38,29,7,48,16,29,55,21,17,34,47,56,16,34,26,56,7,29,39,48,25,21,26,21,25,34,7,21,61,40,16,8,74,34,17,34,7,78,7,48,7,29,17,21,39,69,7,34,38,40,17,34,25,2.0
31,65,67,31,49,51,86,17,17,86,33,62,52,43,87,8,19,76,69,24,28,62,33,62,52,43,87,8,70,24,19,76,38,60,26,74,57,40,73,21,7,7,28,67,60,35,41,54,76,18,8,87,28,62,41,43,60,25,41,35,28,67,60,34,41,54,75,19,8,87,52,25,52,34,41,43,52,35,76,8,33,54,71,19,52,20,28,54,41,25,61,20,33,43,61,8,71,8,60,24,33,54,19,62,19,67,19,54,70,19,28,43,33,35,19,67,41,34,28,8,52,19,28,54,19,20,33,43,60,19,33,25,60,8,28,35,52,24,19,25,19,24,33,8,19,62,41,19,8,76,33,20,33,8,75,8,52,8,28,20,19,35,70,8,33,34,41,20,33,24,1.0
31,68,63,33,46,53,85,14,16,82,34,61,50,45,86,9,17,78,66,29,24,61,33,61,49,45,86,9,66,29,17,78,37,59,22,77,56,42,75,26,8,11,24,71,59,36,39,56,78,17,12,83,25,62,40,46,59,29,40,36,24,70,59,36,39,55,78,17,12,83,50,29,49,36,39,45,50,36,78,9,33,55,66,17,50,17,25,56,40,29,59,17,34,46,59,9,66,9,59,29,34,56,17,62,17,71,17,56,66,17,25,46,34,36,17,70,39,36,25,9,49,17,24,55,17,17,33,45,59,17,34,29,59,9,25,36,49,29,17,29,17,29,34,9,17,61,39,17,12,78,34,17,33,9,78,9,49,9,25,17,17,36,66,9,33,36,40,17,33,29,2.0
34,64,56,39,45,48,90,19,20,80,37,58,46,46,92,4,22,73,59,35,28,58,37,57,47,46,91,3,59,35,22,73,41,55,25,71,49,44,67,32,2,11,28,67,52,41,43,51,72,23,13,82,28,58,44,47,52,36,44,43,27,67,52,41,43,51,71,23,13,82,48,36,48,42,44,47,48,43,72,4,37,51,60,23,48,24,28,51,44,36,53,24,37,47,53,4,60,4,52,35,37,51,22,58,22,67,22,51,59,23,28,47,37,43,22,67,44,42,28,4,48,23,28,51,22,24,37,47,52,23,37,36,52,3,28,43,48,35,22,36,22,35,37,4,22,58,44,23,13,73,37,24,37,3,71,3,48,3,28,24,22,43,59,3,37,42,44,24,37,35,2.0
32,63,63,35,45,52,87,16,19,85,34,60,48,45,88,7,21,74,67,28,29,60,34,60,48,46,88,7,67,28,21,74,36,58,27,72,54,43,73,24,6,8,29,66,57,37,38,55,76,19,9,86,30,61,40,46,57,28,40,38,29,65,57,38,39,55,76,19,9,86,49,28,48,38,39,46,49,38,76,7,34,55,67,19,49,19,30,56,40,28,57,19,35,47,57,7,67,7,57,28,34,56,21,61,21,66,21,56,67,19,30,47,35,38,21,65,39,38,30,7,48,19,29,55,21,19,34,46,57,19,35,28,57,7,30,38,48,28,21,28,21,28,35,7,21,60,39,19,9,74,35,19,34,7,76,7,48,7,30,19,21,38,67,7,34,38,40,19,34,28,2.0
38,58,65,31,50,49,82,15,16,88,40,55,53,42,84,10,20,75,68,26,35,55,40,55,52,42,84,11,68,26,20,75,42,53,33,71,57,39,75,23,9,5,35,60,60,35,44,51,77,17,6,89,35,55,44,42,60,27,44,35,35,60,60,33,44,51,77,17,6,89,53,27,53,34,44,42,53,35,78,10,40,51,68,17,53,18,35,51,44,27,60,18,40,42,61,11,69,10,60,26,40,51,20,55,20,60,20,51,68,17,35,42,40,35,20,60,44,34,35,11,53,17,35,51,20,18,40,42,60,17,40,27,60,11,35,35,53,26,20,27,20,26,40,11,20,55,44,17,6,75,40,18,40,11,77,11,53,11,35,18,20,35,68,11,40,34,44,18,40,26,1.0
28,68,64,33,51,47,81,18,15,82,30,65,54,40,84,11,16,79,68,27,25,64,30,64,54,40,84,11,67,27,16,79,39,62,23,78,57,37,73,24,8,11,25,70,59,35,43,51,75,20,12,83,25,65,44,40,60,27,44,36,25,70,59,35,43,51,75,20,12,83,55,28,54,35,43,40,54,36,75,11,30,51,68,20,55,20,25,52,44,28,60,20,31,41,60,11,68,11,59,27,30,52,16,65,16,70,16,52,67,20,25,41,31,36,16,70,43,35,25,11,54,20,25,51,16,20,30,40,59,20,31,28,59,11,25,36,54,27,16,28,16,27,31,11,16,64,43,20,12,79,31,20,30,11,75,11,54,11,25,20,16,36,67,11,30,35,44,20,30,27,2.0
38,62,59,37,48,48,87,20,19,82,40,55,50,45,89,6,21,74,61,34,30,55,40,55,50,45,88,6,61,34,21,74,43,53,27,72,54,43,70,32,5,9,30,65,56,39,45,50,72,23,11,84,30,55,45,45,56,34,45,39,30,65,56,39,45,50,72,22,11,84,50,34,50,39,45,45,50,39,73,7,40,50,61,23,50,23,30,50,45,34,56,23,40,45,56,7,61,7,56,34,40,50,21,55,21,65,21,50,61,22,30,45,40,39,21,65,45,39,30,7,50,22,30,50,21,23,40,45,56,22,40,34,56,6,30,39,50,34,21,34,21,34,40,7,21,55,45,22,11,74,40,23,40,6,72,6,50,6,30,23,21,39,61,6,40,39,45,23,40,34,2.0
28,68,63,34,42,54,89,12,12,83,31,64,47,47,91,4,14,81,67,28,25,64,31,63,46,48,90,4,67,28,14,81,35,61,23,79,53,43,76,24,3,10,25,70,57,38,37,57,79,16,11,84,25,64,38,48,57,28,38,38,24,70,57,37,38,57,79,15,11,84,47,28,47,38,38,48,47,38,80,5,31,57,67,16,47,16,25,57,38,28,57,16,31,48,57,5,67,5,57,28,31,57,14,64,14,70,14,57,67,15,25,48,31,38,14,70,38,38,25,5,47,15,25,57,14,16,31,48,57,15,31,28,57,4,25,38,47,28,14,28,14,28,31,5,14,64,38,15,11,81,31,16,31,4,79,4,47,4,25,16,14,38,67,4,31,38,38,16,31,28,1.0
35,62,63,34,46,49,80,20,22,82,37,58,48,47,83,12,24,71,65,30,31,58,37,58,48,47,82,12,65,29,24,71,42,56,29,69,55,45,70,27,10,9,31,64,58,37,44,51,72,22,11,84,31,58,44,47,58,30,44,37,31,64,58,37,44,51,72,22,11,84,48,30,48,37,44,47,48,37,73,12,37,51,65,23,48,23,31,51,44,30,58,23,37,47,58,13,66,13,58,29,37,51,24,58,24,64,24,51,65,22,31,47,37,37,24,64,44,37,31,13,48,22,31,51,24,23,37,47,58,22,37,30,58,12,31,37,48,29,24,30,24,29,37,13,24,58,44,22,11,71,37,23,37,12,72,12,48,12,31,23,24,37,65,12,37,37,44,23,37,29,1.0
36,61,61,37,47,50,82,20,22,82,38,57,49,46,85,10,24,71,63,32,32,57,38,57,49,46,84,10,63,31,24,71,41,55,30,69,54,44,70,29,8,9,32,63,56,39,43,52,72,22,11,84,32,57,43,46,56,32,43,39,32,63,56,39,43,52,72,22,11,84,49,32,49,39,43,46,49,39,73,10,38,52,63,23,49,23,32,52,43,32,56,23,38,46,56,11,64,11,56,31,38,52,24,57,24,63,24,52,63,22,32,46,38,39,24,63,43,39,32,11,49,22,32,52,24,23,38,46,56,22,38,32,56,10,32,39,49,31,24,32,24,31,38,11,24,57,43,22,11,71,38,23,38,10,72,10,49,10,32,23,24,39,63,10,38,39,43,23,38,31,1.0
35,61,58,39,46,48,86,12,15,83,38,57,48,45,88,7,17,78,62,33,30,57,37,57,48,45,87,7,62,32,17,78,41,54,26,76,50,43,80,29,6,8,30,65,53,41,43,51,81,14,10,85,30,57,44,46,53,33,44,42,30,65,52,41,43,50,81,13,10,85,49,33,49,42,44,46,49,42,82,8,38,51,62,14,49,14,30,51,44,33,53,14,38,46,53,8,62,8,53,33,38,51,17,57,17,65,17,51,62,13,30,46,38,42,17,65,44,42,30,8,49,13,30,51,17,14,38,46,53,13,38,33,53,7,30,42,49,33,17,33,17,33,38,8,17,57,44,13,10,78,38,14,38,7,81,7,49,7,30,14,17,42,62,7,38,42,44,14,38,33,2.0
33,66,60,40,45,49,88,14,16,82,36,59,48,46,90,5,18,77,64,30,27,59,36,58,46,47,89,5,65,30,18,77,40,56,25,75,49,44,74,25,4,9,27,68,52,43,42,52,77,17,11,84,27,59,43,47,52,30,43,43,26,68,52,41,43,52,77,17,11,84,48,30,48,43,43,47,48,43,78,6,36,52,65,18,48,18,27,52,43,30,52,18,36,47,52,6,65,6,52,30,36,52,18,59,18,68,18,52,65,17,27,47,36,43,18,68,43,43,27,6,48,17,27,52,18,18,36,47,52,17,36,30,52,5,27,43,48,30,18,30,18,30,36,6,18,59,43,17,11,77,36,18,36,5,77,5,48,5,27,18,18,43,65,5,36,43,43,18,36,30,1.0
33,68,64,31,51,42,82,17,13,84,37,58,54,40,84,11,14,81,67,27,24,58,37,58,54,40,84,11,67,27,14,81,47,54,21,80,57,38,71,24,9,9,24,71,60,35,49,45,75,20,10,85,24,58,50,41,60,28,50,35,24,71,60,34,49,45,74,20,10,85,54,28,54,34,50,41,54,35,75,11,37,45,68,20,54,21,24,45,50,28,61,21,37,41,61,11,68,11,60,27,37,45,14,58,14,71,14,45,67,20,24,41,37,35,14,71,50,34,24,11,54,20,24,45,14,21,37,41,60,20,37,28,60,11,24,35,54,27,14,28,14,27,37,11,14,58,50,20,10,81,37,21,37,11,74,11,54,11,24,21,14,35,67,11,37,34,50,21,37,27,1.0
32,65,64,34,48,47,85,16,12,85,34,60,51,43,86,9,14,82,67,28,27,60,34,60,51,44,86,9,67,28,13,81,41,58,25,80,55,41,75,25,8,8,27,68,58,37,44,50,77,18,9,86,27,61,45,44,58,28,45,37,27,67,58,37,44,50,77,18,9,86,51,28,51,37,44,44,51,37,77,9,34,50,67,18,51,18,28,51,45,28,58,18,35,44,58,9,67,9,58,28,35,50,14,61,14,68,14,51,67,18,28,44,35,37,13,67,44,37,28,9,51,18,27,50,14,18,34,44,58,18,35,28,58,9,28,37,51,28,14,28,13,28,35,9,13,60,44,18,9,82,35,18,34,9,77,9,51,9,28,18,14,37,67,9,34,37,45,18,34,28,2.0
33,63,66,32,48,52,84,16,16,85,35,60,52,43,85,10,18,77,69,26,29,59,35,59,51,43,85,10,69,26,18,77,38,57,27,75,57,40,75,23,9,8,30,66,60,35,40,54,77,18,9,86,30,60,41,43,60,26,41,35,29,65,60,35,40,54,77,18,9,86,52,26,51,35,40,43,52,35,77,10,35,54,69,18,52,18,30,55,41,26,60,18,36,44,60,10,69,10,60,26,35,55,18,60,18,66,18,55,69,18,30,44,36,35,18,65,40,35,30,10,51,18,29,54,18,18,35,43,60,18,36,26,60,10,30,35,51,26,18,26,18,26,36,10,18,59,40,18,9,77,36,18,35,10,77,10,51,10,30,18,18,35,69,10,35,35,41,18,35,26,2.0
