@relation 'Sax dominant'

@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMdde numeric
@attribute o1atLdde numeric
@attribute o1atLeee numeric
@attribute o1atMedd numeric
@attribute o1atLedd numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMdee numeric
@attribute o1atLdee numeric
@attribute o1atMeed numeric
@attribute o1atLeed numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMcee numeric
@attribute o1atLcee numeric
@attribute o1atMbce numeric
@attribute o1atLbce numeric
@attribute o1atMddd numeric
@attribute o1atLddd numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMbcd numeric
@attribute o1atLbcd numeric
@attribute o1atMbde numeric
@attribute o1atLbde numeric
@attribute o1atMbbd numeric
@attribute o1atLbbd numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMcde numeric
@attribute o1atLcde numeric
@attribute o1atMcdc numeric
@attribute o1atLcdc numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMacd numeric
@attribute o1atLacd numeric
@attribute o1atMdcd numeric
@attribute o1atLdcd numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMabd numeric
@attribute o1atLabd numeric
@attribute o1atMbdd numeric
@attribute o1atLbdd numeric
@attribute o1atMede numeric
@attribute o1atLede numeric
@attribute o1atMdcb numeric
@attribute o1atLdcb numeric
@attribute o1atMded numeric
@attribute o1atLded numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMedc numeric
@attribute o1atLedc numeric
@attribute o1atMcce numeric
@attribute o1atLcce numeric
@attribute destClass {2,3,7,6,4,5,1}

@data
10,83,8,10,83,72,34,53,38,54,39,73,19,74,19,55,36,51,82,9,84,9,84,56,36,78,14,13,78,15,73,20,79,14,79,14,73,20,74,14,56,15,77,18,56,34,56,20,56,15,54,20,10,39,74,15,72,20,10,82,9,39,10,20,74,18,51,38,10,20,56,19,79,13,55,20,77,15,8,84,74,15,73,15,2
11,82,9,9,82,64,43,48,45,48,43,67,24,67,24,49,44,47,81,10,83,9,83,48,43,80,12,11,80,13,66,26,81,12,81,12,65,26,68,12,49,13,79,22,49,43,49,26,49,13,48,26,10,44,68,13,64,26,10,81,10,45,11,27,68,23,47,44,10,27,49,24,81,11,49,26,79,13,9,83,67,13,66,13,3
16,76,12,15,76,69,36,52,40,52,39,70,22,71,22,54,38,50,74,14,78,14,78,53,38,75,17,16,75,18,70,22,76,17,76,17,70,23,71,17,54,18,74,21,54,36,54,23,54,18,52,23,16,40,71,18,69,23,16,74,14,40,16,23,71,21,50,40,16,23,54,22,76,16,54,23,74,18,12,78,71,18,70,18,4
17,75,13,17,75,71,39,48,43,49,44,72,20,73,20,50,41,46,73,15,77,15,77,50,41,78,14,13,78,15,72,20,79,14,79,14,72,21,73,14,51,15,77,19,51,39,51,21,51,15,49,21,17,44,73,15,71,21,17,73,15,44,17,21,73,19,46,43,17,21,51,20,79,13,50,21,77,15,13,77,73,15,72,15,4
9,84,7,8,84,66,36,51,41,50,39,67,25,68,25,54,38,48,83,8,85,8,85,52,38,72,20,19,72,21,67,25,73,20,73,20,67,26,68,20,53,21,71,24,53,36,53,26,53,21,50,26,9,40,68,21,66,26,9,83,8,40,9,26,68,24,49,41,9,26,53,25,73,19,54,26,71,21,7,85,68,21,67,21,5
14,79,12,14,79,73,45,46,47,46,47,75,18,75,18,47,46,45,78,13,80,13,80,46,46,84,11,9,83,9,74,18,85,10,83,9,74,19,75,10,47,11,83,17,47,45,47,19,47,11,46,19,14,47,75,11,73,19,14,78,13,47,14,19,75,17,45,47,14,19,47,18,84,9,47,19,83,10,12,80,75,9,74,11,1
9,84,7,9,84,75,28,60,32,60,32,76,16,77,16,62,30,58,83,8,85,8,85,62,30,81,13,12,80,12,76,17,82,13,80,12,76,17,77,13,62,14,80,15,62,28,62,17,62,14,60,17,9,32,77,14,75,17,9,83,8,32,9,17,77,15,58,32,9,17,62,16,81,12,62,17,80,13,7,85,77,12,76,14,3
14,79,12,13,79,60,52,36,56,36,55,62,28,64,28,38,54,34,78,13,80,13,80,37,54,74,17,17,74,19,61,29,75,17,75,18,62,30,64,18,38,19,73,26,38,52,37,30,38,18,36,30,14,56,63,18,60,30,14,78,13,56,14,30,63,26,34,56,14,30,37,28,75,17,38,30,73,18,12,80,64,19,62,18,4
15,78,13,14,78,60,51,37,55,36,54,63,29,62,29,39,53,35,77,14,79,14,79,37,53,72,20,19,72,21,62,30,73,20,73,20,61,30,64,20,38,21,71,28,38,51,38,31,39,21,37,31,14,55,64,20,60,30,15,77,14,55,15,31,63,28,35,55,15,32,38,30,73,19,39,30,71,21,13,79,62,21,62,20,3
15,78,13,14,78,54,50,41,52,40,51,58,32,58,33,42,51,40,77,14,79,14,79,40,51,73,19,18,73,20,57,34,74,19,74,19,56,35,59,19,41,20,72,31,41,50,41,35,42,20,41,35,14,52,59,19,54,34,15,77,14,52,15,35,59,31,40,52,15,36,41,33,74,18,42,35,72,20,13,79,58,20,57,19,3
17,75,13,17,75,69,46,42,50,42,50,71,21,71,21,44,48,40,73,15,77,15,77,43,48,77,15,14,77,16,71,22,78,15,78,15,70,22,72,15,44,16,76,20,44,46,44,23,44,16,42,23,17,50,72,16,69,22,17,73,15,50,17,23,72,20,40,50,17,23,44,21,78,14,44,22,76,16,13,77,71,16,71,16,4
8,85,6,7,85,70,38,50,42,50,41,71,21,72,21,52,40,48,84,7,86,7,86,51,40,76,16,15,76,17,71,21,77,16,77,16,71,22,72,16,52,17,75,20,52,38,52,22,52,17,50,22,8,42,72,17,70,22,8,84,7,42,8,22,72,20,48,42,8,22,52,21,77,15,52,22,75,17,6,86,72,17,71,17,3
13,80,11,12,80,65,42,46,46,46,45,66,26,67,26,48,44,44,79,12,81,12,81,47,44,75,17,16,75,18,66,26,76,17,76,17,66,27,67,17,48,18,74,25,48,42,48,27,48,18,46,27,13,46,67,18,65,27,13,79,12,46,13,27,67,25,44,46,13,27,48,26,76,16,48,27,74,18,11,81,67,18,66,18,5
16,75,12,16,76,73,52,35,56,36,56,74,18,75,18,37,54,33,73,14,77,14,78,37,54,80,12,11,80,13,74,18,81,12,81,12,74,19,75,12,38,13,79,17,38,52,38,19,38,13,36,19,17,57,75,13,73,19,16,73,14,57,17,19,75,17,33,56,17,19,38,18,81,11,37,19,79,13,12,78,75,13,74,13,4
15,78,13,14,78,59,39,49,43,49,42,60,29,63,30,51,41,47,77,14,79,14,79,50,41,70,21,21,70,23,60,30,71,21,71,22,61,32,62,22,51,23,69,28,51,39,50,31,51,22,49,31,15,43,61,22,59,31,15,77,14,43,15,31,62,28,47,43,15,31,50,29,71,21,51,32,69,22,13,79,63,23,61,22,1
11,81,7,10,81,66,45,47,45,48,46,67,24,68,24,47,45,47,79,9,83,9,83,48,46,75,16,16,75,18,67,25,76,16,76,17,67,25,69,17,49,18,74,23,48,45,48,26,49,17,48,26,11,47,68,17,66,25,11,79,9,47,11,26,68,23,47,46,11,26,48,24,76,16,47,25,74,17,7,83,68,18,68,17,6
11,81,7,10,81,72,35,51,41,51,39,73,19,74,19,54,38,48,79,9,83,9,83,52,37,78,14,13,78,15,73,19,79,14,79,14,73,20,74,14,53,15,77,18,54,35,53,20,53,15,51,20,11,40,74,15,72,20,11,79,9,40,11,20,74,18,48,40,11,20,53,19,79,13,54,20,77,15,7,83,74,15,73,15,4
3,90,1,3,90,79,32,54,36,55,38,81,14,79,13,56,34,52,89,2,91,2,91,58,35,82,13,11,81,11,80,15,83,12,81,11,79,13,81,12,58,13,81,13,57,32,58,15,58,13,55,15,3,38,81,13,79,14,3,89,2,38,3,15,80,13,52,37,3,15,58,14,82,11,56,13,81,12,1,91,79,11,80,13,3
17,75,13,17,75,64,30,61,32,61,32,65,27,66,27,62,31,60,73,15,77,15,77,61,31,69,23,22,69,24,65,27,70,23,70,23,65,28,66,23,62,24,68,26,62,30,62,28,62,24,61,28,17,32,66,24,64,28,17,73,15,32,17,28,66,26,60,32,17,28,62,27,70,22,62,28,68,24,13,77,66,24,65,24,2
25,67,21,24,67,49,51,37,55,37,54,50,40,53,41,39,53,35,65,23,69,23,69,38,53,72,20,19,72,21,50,40,73,20,73,20,51,43,51,20,39,21,71,39,39,51,39,41,39,21,37,41,25,55,51,21,49,42,25,65,23,55,25,41,52,39,35,55,25,41,39,40,73,19,39,43,71,21,21,69,53,21,50,21,2
24,69,22,24,69,61,39,46,45,45,45,64,28,63,28,49,42,43,68,23,70,23,70,47,42,70,22,21,70,23,63,29,71,22,71,22,62,29,65,22,48,23,69,27,48,39,48,30,49,23,46,31,24,45,65,22,61,29,24,68,23,45,24,30,64,27,43,45,24,31,48,29,71,21,49,29,69,23,22,70,63,23,63,22,6
18,73,14,19,74,64,36,52,40,52,40,66,27,66,27,54,38,50,71,16,75,16,76,53,38,70,23,21,70,23,65,27,71,22,71,22,65,28,66,22,54,23,69,26,54,36,54,28,54,23,52,28,19,40,66,23,64,28,18,71,16,40,19,28,66,26,50,40,19,28,54,27,71,21,54,28,69,23,14,76,66,23,65,23,3
7,86,5,6,86,70,37,49,43,49,41,70,21,72,21,52,40,46,85,6,87,6,87,50,39,77,14,14,77,16,70,21,78,14,78,15,71,22,72,15,51,16,76,20,52,37,50,22,51,15,49,22,7,42,71,15,70,22,7,85,6,42,7,22,71,20,46,42,7,22,50,21,78,14,52,22,76,15,5,87,72,16,71,15,6
11,82,9,11,82,73,36,51,40,52,41,74,18,75,18,53,38,49,81,10,83,10,83,54,38,78,14,13,78,15,74,19,79,14,79,14,74,19,75,14,54,15,77,17,54,36,54,19,54,15,52,19,11,41,75,15,73,19,11,81,10,41,11,19,75,17,49,40,11,19,54,18,79,13,53,19,77,15,9,83,75,15,74,15,2
18,74,14,18,74,56,46,39,51,40,52,59,32,60,32,42,48,36,72,16,76,16,76,42,48,70,22,21,70,23,58,33,71,22,71,22,58,34,60,22,43,23,69,30,43,46,43,34,43,23,40,34,18,52,60,23,56,34,18,72,16,52,18,34,60,30,37,51,18,34,43,32,71,21,42,34,69,23,14,76,60,23,58,23,7
17,75,13,17,75,69,41,47,45,47,45,70,22,71,22,49,43,45,73,15,77,15,77,48,43,77,15,14,77,16,70,22,78,15,78,15,70,23,71,15,49,16,76,21,49,41,49,23,49,16,47,23,17,45,71,16,69,23,17,73,15,45,17,23,71,21,45,45,17,23,49,22,78,14,49,23,76,16,13,77,71,16,70,16,4
11,82,9,10,82,62,44,47,46,47,45,65,28,64,27,48,45,46,81,10,83,10,83,47,45,80,12,11,80,13,64,29,81,12,81,12,63,28,66,12,48,13,79,26,48,44,48,30,48,13,47,30,11,46,66,13,62,29,11,81,10,46,11,30,65,26,46,46,11,30,48,28,81,11,48,28,79,13,9,83,64,13,64,13,2
17,76,15,17,76,54,57,30,61,30,62,58,33,58,33,32,59,28,75,16,77,16,77,32,60,72,20,19,72,21,57,35,73,20,73,20,56,35,59,20,33,21,71,31,32,57,33,36,33,21,30,36,17,62,59,21,54,35,17,75,16,62,17,36,59,31,28,62,17,36,33,33,73,19,32,35,71,21,15,77,58,21,57,21,5
0,94,0,0,94,74,35,53,39,53,39,75,17,76,17,55,37,51,94,0,94,0,94,54,37,78,14,13,78,15,75,17,79,14,79,14,75,18,76,14,55,15,77,16,55,35,55,18,55,15,53,18,0,39,76,15,74,18,0,94,0,39,0,18,76,16,51,39,0,18,55,17,79,13,55,18,77,15,0,94,76,15,75,15,2
21,71,17,21,71,71,48,38,53,38,54,72,20,73,20,40,50,35,69,19,73,19,73,40,51,76,16,15,76,17,72,20,77,16,77,16,72,21,73,16,41,17,75,19,41,48,41,21,41,17,38,21,21,54,73,17,71,21,21,69,19,54,21,21,73,19,35,53,21,21,41,20,77,15,40,21,75,17,17,73,73,17,72,17,2
11,81,7,11,81,69,37,51,41,51,41,70,22,71,22,53,39,49,79,9,83,9,83,52,39,73,19,18,73,20,70,22,74,19,74,19,70,23,71,19,53,20,72,21,53,37,53,23,53,20,51,23,11,41,71,20,69,23,11,79,9,41,11,23,71,21,49,41,11,23,53,22,74,18,53,23,72,20,7,83,71,20,70,20,4
21,70,19,22,71,47,47,42,49,43,50,50,43,49,42,43,48,41,69,20,71,21,73,44,49,72,21,18,71,20,49,44,74,20,72,19,48,43,51,20,45,22,70,41,44,47,45,45,45,22,43,45,23,51,51,22,47,44,22,69,21,51,23,45,50,41,41,50,23,45,45,43,73,18,43,43,70,21,19,72,49,20,49,22,1
14,78,10,14,78,66,40,48,44,48,44,68,25,68,25,50,42,46,76,12,80,12,80,49,42,71,22,20,71,22,67,25,72,21,72,21,67,26,68,21,50,22,70,24,50,40,50,26,50,22,48,26,14,44,68,22,66,26,14,76,12,44,14,26,68,24,46,44,14,26,50,25,72,20,50,26,70,22,10,80,68,22,67,22,4
12,81,10,11,81,63,52,36,55,36,55,66,27,65,26,38,53,34,80,11,82,11,82,38,54,75,17,16,75,18,65,28,76,17,76,17,64,27,67,17,39,18,74,25,38,52,39,29,39,18,36,29,12,56,67,18,63,28,12,80,11,56,12,29,66,25,35,56,12,29,39,27,76,16,38,27,74,18,10,82,65,18,65,18,4
11,82,9,10,82,67,34,53,38,54,38,68,24,69,24,55,36,51,81,10,83,10,83,55,36,72,20,19,72,21,68,24,73,20,73,20,68,25,69,20,56,21,71,23,56,34,56,25,56,21,54,25,11,39,69,21,67,25,11,81,10,39,11,25,69,23,51,38,11,25,56,24,73,19,55,25,71,21,9,83,69,21,68,21,7
17,75,13,17,75,68,36,52,40,52,40,70,22,70,22,54,38,50,73,15,77,15,77,53,38,75,17,16,75,18,70,23,76,17,76,17,69,23,71,17,54,18,74,21,54,36,54,24,54,18,52,24,17,40,71,18,68,23,17,73,15,40,17,24,71,21,50,40,17,24,54,22,76,16,54,23,74,18,13,77,70,18,70,18,4
18,75,16,17,75,64,44,40,49,41,50,65,27,66,27,43,46,37,74,17,76,17,76,44,47,68,24,23,68,25,65,27,69,24,69,24,65,28,66,24,45,25,67,26,44,44,45,28,45,25,41,28,18,51,66,25,64,28,18,74,17,51,18,28,66,26,38,50,18,28,45,27,69,23,43,28,67,25,16,76,66,25,65,25,7
13,79,9,13,79,76,43,46,45,47,47,78,17,76,16,47,44,45,77,11,81,11,81,48,45,79,16,14,78,14,77,17,80,15,78,14,76,16,78,15,49,16,78,16,48,43,49,18,49,16,47,18,13,47,78,16,76,17,13,77,11,47,13,18,77,16,45,46,13,18,49,17,79,14,47,16,78,15,9,81,76,14,77,16,3
11,82,9,10,82,66,34,55,38,55,36,67,25,68,25,57,36,53,81,10,83,10,83,55,35,72,20,19,72,21,67,25,73,20,73,20,67,26,68,20,56,21,71,24,57,34,56,26,56,21,55,26,11,37,68,21,66,26,11,81,10,37,11,26,68,24,53,37,11,26,56,25,73,19,57,26,71,21,9,83,68,21,67,21,7
18,74,14,17,74,68,34,54,38,54,37,70,23,70,23,56,36,52,72,16,76,16,76,55,36,73,20,18,73,20,69,23,74,19,74,19,69,24,70,19,56,20,72,22,56,34,56,24,56,20,54,24,18,38,70,20,68,24,18,72,16,38,18,24,70,22,52,38,18,24,56,23,74,18,56,24,72,20,14,76,70,20,69,20,6
21,71,17,21,71,65,41,50,42,50,43,66,25,67,25,51,41,49,69,19,73,19,73,51,42,74,17,17,74,19,66,26,75,17,75,18,66,26,68,18,52,19,73,24,51,41,51,27,52,18,50,27,21,43,67,18,65,26,21,69,19,43,21,27,67,24,50,43,21,27,51,25,75,17,51,26,73,18,17,73,67,19,67,18,6
19,71,15,21,72,53,45,44,47,45,49,57,37,55,36,45,46,43,69,17,73,18,75,46,47,87,8,6,86,6,55,38,88,7,86,6,54,37,57,7,47,8,86,35,46,45,47,39,47,8,45,39,21,49,57,8,53,38,20,69,18,49,21,39,56,35,43,48,21,39,47,37,87,6,45,37,86,7,15,74,55,6,55,8,2
14,79,12,14,79,58,54,34,58,33,58,60,30,62,31,36,56,32,78,13,80,13,80,34,56,69,23,22,69,24,59,30,70,23,70,23,60,33,61,23,35,24,68,29,35,54,35,31,36,24,34,32,14,58,61,23,58,32,14,78,13,58,14,31,61,29,32,58,14,32,35,31,70,22,36,33,68,24,12,80,62,24,59,23,1
16,77,14,16,77,54,49,37,53,37,55,58,32,58,33,39,51,35,76,15,78,15,78,39,52,70,22,21,70,23,57,34,71,22,71,22,56,35,59,22,40,23,69,31,39,49,40,35,41,23,38,36,16,55,59,22,54,34,16,76,15,55,16,35,59,31,35,54,16,36,40,33,71,21,39,35,69,23,14,78,58,23,57,22,6
6,87,4,6,87,70,45,47,45,48,47,71,21,72,21,47,45,47,86,5,88,5,88,48,46,78,14,13,78,15,71,21,79,14,79,14,71,22,72,14,49,15,77,20,48,45,49,22,49,15,48,22,6,47,72,15,70,22,6,86,5,47,6,22,72,20,47,46,6,22,49,21,79,13,47,22,77,15,4,88,72,15,71,15,5
16,76,12,15,76,67,51,37,55,37,54,69,23,69,23,39,53,35,74,14,78,14,78,38,53,76,16,15,76,17,69,24,77,16,77,16,68,24,70,16,39,17,75,22,39,51,39,25,39,17,37,25,16,55,70,17,67,24,16,74,14,55,16,25,70,22,35,55,16,25,39,23,77,15,39,24,75,17,12,78,69,17,69,17,6
14,78,10,14,78,66,32,57,34,58,36,69,24,68,23,58,33,56,76,12,80,12,80,59,34,75,17,16,75,18,68,25,76,17,76,17,67,24,70,17,60,18,74,22,59,32,60,26,60,18,58,26,14,36,70,18,66,25,14,76,12,36,14,26,69,22,56,35,14,26,60,24,76,16,58,24,74,18,10,80,68,18,68,18,2
12,80,8,11,80,72,40,46,44,47,45,73,19,74,19,48,42,44,78,10,82,10,82,49,43,76,16,15,76,17,73,19,77,16,77,16,73,20,74,16,50,17,75,18,49,40,50,20,50,17,47,20,12,46,74,17,72,20,12,78,10,46,12,20,74,18,44,45,12,20,50,19,77,15,48,20,75,17,8,82,74,17,73,17,3
12,80,8,11,80,69,35,53,39,53,38,70,22,71,22,55,37,51,78,10,82,10,82,54,37,76,16,15,76,17,70,22,77,16,77,16,70,23,71,16,55,17,75,21,55,35,55,23,55,17,53,23,12,39,71,17,69,23,12,78,10,39,12,23,71,21,51,39,12,23,55,22,77,15,55,23,75,17,8,82,71,17,70,17,4
15,77,11,15,77,67,38,49,42,50,43,68,24,69,24,51,40,47,75,13,79,13,79,51,40,72,20,19,72,21,68,24,73,20,73,20,68,25,69,20,52,21,71,23,52,38,52,25,52,21,50,25,15,43,69,21,67,25,15,75,13,43,15,25,69,23,47,42,15,25,52,24,73,19,51,25,71,21,11,79,69,21,68,21,5
12,80,8,11,80,65,34,54,38,54,37,66,26,67,26,56,36,52,78,10,82,10,82,55,36,70,22,21,70,23,66,26,71,22,71,22,66,27,67,22,56,23,69,25,56,34,56,27,56,23,54,27,12,38,67,23,65,27,12,78,10,38,12,27,67,25,52,38,12,27,56,26,71,21,56,27,69,23,8,82,67,23,66,23,4
13,80,11,12,80,60,44,47,46,47,45,63,28,63,28,48,45,46,79,12,81,12,81,47,45,72,20,19,72,21,62,30,73,20,73,20,61,30,64,20,48,21,71,26,48,44,48,31,48,21,47,31,13,46,64,21,60,30,13,79,12,46,13,31,64,27,46,46,13,31,48,28,73,19,48,30,71,21,11,81,63,21,62,21,3
16,76,12,15,76,65,51,38,53,39,54,68,25,67,24,39,52,37,74,14,78,14,78,40,53,77,15,14,77,16,67,26,78,15,78,15,66,25,69,15,41,16,76,23,40,51,41,27,41,16,39,27,16,55,69,16,65,26,16,74,14,55,16,27,68,23,37,54,16,27,41,25,78,14,39,25,76,16,12,78,67,16,67,16,5
12,81,10,12,81,58,41,50,43,49,43,61,29,62,30,51,42,49,80,11,82,11,82,49,42,70,22,21,70,23,60,30,71,22,71,22,60,32,62,22,50,23,69,28,50,41,50,31,51,23,50,32,12,43,62,22,58,31,12,80,11,43,12,31,62,28,49,43,12,32,50,30,71,21,51,32,69,23,10,82,62,23,60,22,1
16,77,14,16,77,67,47,40,51,41,52,68,24,69,24,42,49,38,76,15,78,15,78,42,49,71,21,20,71,22,68,24,72,21,72,21,68,25,69,21,43,22,70,23,43,47,43,25,43,22,41,25,16,52,69,22,67,25,16,76,15,52,16,25,69,23,38,51,16,25,43,24,72,20,42,25,70,22,14,78,69,22,68,22,7
