@relation 'Sax dominant'

@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute destClass {2,1}

@data
24,56,70,22,23,72,64,31,24,32,63,31,23,71,23,31,1
24,60,70,22,23,72,66,29,24,30,65,29,23,71,23,29,1
19,69,57,33,36,60,73,23,36,23,72,22,35,59,35,22,2
30,46,69,19,23,73,56,40,23,40,55,39,22,72,22,39,1
27,57,67,23,26,70,63,33,26,33,62,32,25,69,25,32,1
25,57,66,24,27,69,64,32,27,32,63,30,25,68,26,31,1
25,59,67,23,25,70,65,30,26,31,64,30,25,69,25,30,1
26,62,70,22,23,72,66,29,24,30,65,29,23,71,23,29,1
26,60,68,22,25,71,65,31,25,31,64,30,24,70,24,30,1
24,60,64,22,26,69,66,29,27,30,65,29,26,68,26,29,1
32,54,69,23,24,71,59,36,25,37,58,35,23,70,24,36,2
22,56,67,23,25,70,65,30,26,31,64,30,25,69,25,30,1
24,62,69,23,24,71,67,28,25,29,66,28,24,70,24,28,1
27,57,61,31,32,63,63,32,33,33,62,32,32,62,32,32,1
26,58,68,22,25,71,64,32,25,32,63,31,24,70,24,31,1
23,67,65,27,28,67,70,25,29,26,69,25,28,66,28,25,1
40,50,58,32,34,61,53,42,35,43,52,42,34,60,34,42,1
27,55,67,23,26,70,62,34,26,34,61,33,25,69,25,33,1
40,48,64,28,30,66,52,44,30,44,51,43,29,65,29,43,2
35,45,69,23,24,71,53,42,25,43,52,42,24,70,24,42,2
29,55,69,23,24,71,61,34,25,35,60,34,24,70,24,34,1
20,70,72,20,21,74,73,22,22,23,72,22,21,73,21,22,2
15,73,61,31,32,63,77,18,33,19,76,18,32,62,32,18,2
26,60,69,21,23,72,65,30,24,31,64,30,23,71,23,30,1
13,73,73,19,21,75,78,18,21,18,77,17,20,74,20,17,2
15,69,71,21,22,73,75,20,23,21,74,20,22,72,22,20,1
34,52,68,24,25,70,57,38,26,39,56,38,25,69,25,38,1
25,63,69,23,24,71,67,28,25,29,66,28,24,70,24,28,1
46,48,53,37,40,56,49,47,40,47,48,46,39,55,39,46,2
28,58,68,24,25,70,63,32,26,33,62,32,25,69,25,32,1
27,57,68,24,25,70,63,32,26,33,62,32,25,69,25,32,1
30,54,71,21,22,73,60,35,23,36,59,35,22,72,22,35,2
40,50,64,28,30,66,53,43,30,43,52,42,29,65,29,42,2
28,56,68,24,25,70,62,33,26,34,61,33,25,69,25,33,1
24,60,68,22,24,71,66,29,25,30,65,29,24,70,24,29,1
27,59,66,22,25,70,64,31,26,32,63,31,25,69,25,31,1
12,74,75,17,18,77,79,16,19,17,78,16,18,76,18,16,2
20,68,64,28,29,66,72,23,30,24,71,23,29,65,29,23,1
29,53,66,24,27,69,60,36,27,36,59,35,26,68,26,35,1
39,51,65,25,28,68,54,42,28,42,53,41,27,67,27,41,1
23,63,69,21,24,72,68,28,24,28,67,27,23,71,23,27,2
37,49,67,23,26,70,54,42,26,42,53,41,25,69,25,41,1
28,58,71,21,23,73,63,33,23,33,62,32,22,72,22,32,1
28,58,69,23,24,71,63,32,25,33,62,32,24,70,24,32,1
21,63,70,22,23,72,69,26,24,27,68,26,23,71,23,26,1
35,51,63,29,31,65,56,40,31,40,55,39,30,64,30,39,1
20,56,70,22,23,72,66,29,24,30,65,29,23,71,23,29,1
37,49,56,32,34,60,54,40,36,42,53,41,35,59,35,41,2
36,52,66,24,27,69,56,40,27,40,55,39,26,68,26,39,1
32,52,67,23,25,70,58,37,26,38,57,37,25,69,25,37,1
22,60,69,21,23,72,67,28,24,29,66,28,23,71,23,28,1
20,66,68,20,23,72,71,24,24,25,70,24,23,71,23,24,1
26,60,68,22,25,71,65,31,25,31,64,30,24,70,24,30,1
20,64,60,24,29,66,70,25,30,26,69,25,29,65,29,25,1
31,59,65,27,29,67,62,34,29,34,61,33,28,66,28,33,1
18,66,70,22,23,72,72,23,24,24,71,23,23,71,23,23,1
28,60,69,21,23,72,64,31,24,32,63,30,22,71,23,31,1
20,64,70,22,23,72,70,25,24,26,69,25,23,71,23,25,1
23,67,61,31,32,63,70,25,33,26,69,25,32,62,32,25,2
43,45,65,27,28,67,49,46,29,47,48,46,28,66,28,46,2
29,55,59,29,32,63,61,34,33,35,60,34,32,62,32,34,2
14,72,73,19,20,75,77,18,21,19,76,18,20,74,20,18,2
18,60,69,21,23,72,69,26,24,27,68,25,22,71,23,26,1
10,66,73,19,20,75,76,19,21,20,75,19,20,74,20,19,2
22,58,73,19,20,75,66,29,21,30,65,29,20,74,20,29,1
36,54,60,32,33,62,57,38,34,39,56,38,33,61,33,38,2
40,50,65,25,27,68,53,42,28,43,52,42,27,67,27,42,1
29,59,69,21,24,72,63,33,24,33,62,32,23,71,23,32,1
44,50,56,32,36,60,51,45,36,45,50,44,35,59,35,44,2
21,67,66,24,26,69,71,24,27,25,70,24,26,68,26,24,1
40,48,60,30,31,63,52,42,33,44,51,43,32,62,32,43,1
23,65,70,22,23,72,69,26,24,27,68,26,23,71,23,26,2
31,55,67,23,26,70,60,36,26,36,59,35,25,69,25,35,2
28,52,66,24,27,69,60,36,27,36,59,35,26,68,26,35,1
34,52,62,30,32,64,57,39,32,39,56,38,31,63,31,38,1
24,58,67,23,26,70,65,31,26,31,64,30,25,69,25,30,1
20,60,67,23,25,70,68,27,26,28,67,27,25,69,25,27,1
26,60,61,31,33,63,65,31,33,31,64,30,32,62,32,30,1
32,54,69,23,24,71,59,36,25,37,58,36,24,70,24,36,1
18,72,58,34,36,60,75,21,36,21,74,20,35,59,35,20,2
28,60,66,24,27,69,64,32,27,32,63,31,26,68,26,31,1
31,57,62,30,31,64,61,34,32,35,60,34,31,63,31,34,1
28,54,69,23,24,71,61,34,25,35,60,34,24,70,24,34,1
23,61,68,24,25,70,67,28,26,29,66,28,25,69,25,28,1
19,63,66,26,27,68,70,25,28,26,69,25,27,67,27,25,2
23,61,70,18,21,74,67,28,22,29,66,28,21,73,21,28,2
23,57,67,25,27,69,65,31,27,31,64,30,26,68,26,30,1
35,53,61,33,34,62,57,39,34,39,56,38,33,61,33,38,2
32,60,55,35,37,58,62,33,38,34,61,33,37,57,37,33,2
27,65,62,26,29,66,67,28,30,29,66,28,29,65,29,28,2
30,54,65,27,28,67,60,35,29,36,59,35,28,66,28,35,1
32,54,66,24,26,69,59,36,27,37,58,35,25,68,26,36,1
39,49,67,25,26,69,53,42,27,43,52,42,26,68,26,42,1
41,45,70,22,23,72,50,45,24,46,49,45,23,71,23,45,2
24,58,68,22,24,71,65,30,25,31,64,30,24,70,24,30,1
18,70,79,13,14,81,74,21,15,22,73,21,14,80,14,21,2
28,58,71,21,22,73,63,32,23,33,62,32,22,72,22,32,1
37,49,65,25,28,68,54,42,28,42,53,41,27,67,27,41,1
25,57,68,22,25,71,64,32,25,32,63,30,23,70,24,31,1
11,65,64,18,23,71,75,19,25,21,74,19,23,70,24,20,1
22,54,66,24,26,69,64,31,27,32,63,31,26,68,26,31,1
40,48,61,31,32,63,52,43,33,44,51,43,32,62,32,43,2
33,53,67,25,27,69,58,38,27,38,57,37,26,68,26,37,1
30,60,70,22,23,72,63,32,24,33,62,32,23,71,23,32,2
32,56,66,24,27,69,60,36,27,36,59,35,26,68,26,35,1
33,53,66,24,27,69,58,38,27,38,57,37,26,68,26,37,1
29,59,63,25,29,67,63,33,29,33,62,32,28,66,28,32,1
30,56,63,29,30,65,61,34,31,35,60,34,30,64,30,34,2
19,63,73,19,20,75,70,25,21,26,69,25,20,74,20,25,2
12,70,67,25,27,69,77,19,27,19,76,18,26,68,26,18,1
20,68,64,28,29,66,72,23,30,24,71,23,29,65,29,23,1
36,50,64,26,28,67,55,40,29,41,54,40,28,66,28,40,1
35,51,68,24,25,70,56,39,26,40,55,39,25,69,25,39,1
16,72,78,14,15,80,76,19,16,20,75,18,14,79,15,19,2
26,58,63,29,30,65,64,31,31,32,63,31,30,64,30,31,2
27,57,66,24,26,69,63,32,27,33,62,32,26,68,26,32,1
44,46,59,31,34,62,49,47,34,47,48,46,33,61,33,46,1
31,57,69,23,24,71,61,34,25,35,60,34,24,70,24,34,2
31,55,69,23,24,71,60,35,25,36,59,35,24,70,24,35,1
26,60,65,23,27,69,65,31,27,31,64,29,25,68,26,30,1
20,60,67,23,26,70,68,28,26,28,67,26,24,69,25,27,1
20,62,67,21,25,71,69,27,25,27,68,26,24,70,24,26,1
34,50,63,29,30,65,56,39,31,40,55,39,30,64,30,39,1
25,57,71,21,22,73,64,31,23,32,63,31,22,72,22,31,1
26,62,69,23,24,71,66,29,25,30,65,29,24,70,24,29,1
19,61,69,23,24,71,69,26,25,27,68,26,24,70,24,26,1
15,73,78,14,15,80,77,18,16,19,76,18,15,79,15,18,2
41,47,61,29,30,64,51,43,32,45,50,44,31,63,31,44,2
28,58,64,28,29,66,63,32,30,33,62,32,29,65,29,32,2
26,50,64,26,28,67,60,35,29,36,59,35,28,66,28,35,2
23,63,69,23,24,71,68,27,25,28,67,27,24,70,24,27,2
29,55,69,23,24,71,61,34,25,35,60,34,24,70,24,34,1
38,54,61,29,31,64,56,39,32,40,55,39,31,63,31,39,2
36,54,63,31,32,64,57,39,32,39,56,38,31,63,31,38,2
23,61,65,27,28,67,67,28,29,29,66,28,28,66,28,28,2
12,72,77,15,16,79,78,17,17,18,77,17,16,78,16,17,2
30,58,63,27,30,66,62,34,30,34,61,33,29,65,29,33,1
31,55,62,26,30,66,60,36,30,36,59,35,29,65,29,35,1
23,65,62,30,31,64,69,26,32,27,68,26,31,63,31,26,2
40,52,59,33,34,61,54,41,35,42,53,41,34,60,34,41,2
37,49,58,32,34,61,54,41,35,42,53,41,34,60,34,41,2
29,57,63,25,29,67,62,34,29,34,61,33,28,66,28,33,1
31,43,67,23,26,70,54,42,26,42,53,41,25,69,25,41,1
23,59,56,32,34,60,66,28,36,30,65,28,34,59,35,29,1
26,60,67,23,25,70,65,30,26,31,64,30,25,69,25,30,1
20,62,71,21,22,73,69,26,23,27,68,26,22,72,22,26,1
25,57,68,22,24,71,64,31,25,32,63,30,23,70,24,31,1
27,59,69,23,24,71,64,31,25,32,63,31,24,70,24,31,1
19,69,70,22,23,72,73,22,24,23,72,22,23,71,23,22,1
39,51,64,26,29,67,54,42,29,42,53,40,27,66,28,41,1
13,73,68,24,25,70,78,17,26,18,77,17,25,69,25,17,2
28,58,69,23,24,71,63,32,25,33,62,32,24,70,24,32,1
25,63,66,26,28,68,67,29,28,29,66,28,27,67,27,28,1
24,62,66,24,27,69,67,29,27,29,66,28,26,68,26,28,1
27,55,64,24,27,68,62,33,28,34,61,32,26,67,27,33,1
23,61,69,23,24,71,67,28,25,29,66,28,24,70,24,28,1
43,41,67,25,26,69,47,48,27,49,46,48,26,68,26,48,2
22,58,69,23,25,71,66,30,25,30,65,29,24,70,24,29,1
24,64,68,22,25,71,68,28,25,28,67,27,24,70,24,27,1
21,63,62,30,31,64,69,26,32,27,68,26,31,63,31,26,2
33,45,70,22,23,72,54,41,24,42,53,41,23,71,23,41,2
26,60,66,26,27,68,65,30,28,31,64,30,27,67,27,30,2
35,51,60,30,32,63,56,39,33,40,55,39,32,62,32,39,2
39,47,68,24,25,70,52,43,26,44,51,43,25,69,25,43,1
33,51,66,24,27,69,57,39,27,39,56,38,26,68,26,38,1
22,60,72,20,21,74,67,28,22,29,66,28,21,73,21,28,1
13,73,78,14,15,80,78,17,16,18,77,16,14,79,15,17,2
18,64,60,32,33,62,71,24,34,25,70,24,33,61,33,24,1
19,59,56,26,32,63,68,27,33,28,67,27,32,62,32,27,1
41,49,59,31,32,62,52,42,34,44,51,43,33,61,33,43,1
22,64,73,19,20,75,69,26,21,27,68,26,20,74,20,26,1
25,63,67,23,25,70,67,28,26,29,66,28,25,69,25,28,1
13,75,62,30,31,64,79,16,32,17,78,16,31,63,31,16,2
27,61,69,23,24,71,65,30,25,31,64,30,24,70,24,30,2
19,63,64,28,29,66,70,25,30,26,69,25,29,65,29,25,1
