@relation 'Sax dominant'

@attribute o1atMhh numeric
@attribute o1atLhh numeric
@attribute o1atMff numeric
@attribute o1atLff numeric
@attribute o1atMfg numeric
@attribute o1atLfg numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMfh numeric
@attribute o1atLfh numeric
@attribute o1atMfi numeric
@attribute o1atLfi numeric
@attribute o1atMdg numeric
@attribute o1atLdg numeric
@attribute o1atMke numeric
@attribute o1atLke numeric
@attribute o1atMea numeric
@attribute o1atLea numeric
@attribute o1atMkg numeric
@attribute o1atLkg numeric
@attribute o1atMgd numeric
@attribute o1atLgd numeric
@attribute o1atMge numeric
@attribute o1atLge numeric
@attribute o1atMig numeric
@attribute o1atLig numeric
@attribute o1atMgf numeric
@attribute o1atLgf numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMee numeric
@attribute o1atLee numeric
@attribute o1atMaa numeric
@attribute o1atLkk numeric
@attribute o1atMgg numeric
@attribute o1atLgg numeric
@attribute o1atMef numeric
@attribute o1atLef numeric
@attribute o1atMeg numeric
@attribute o1atLeg numeric
@attribute o1atMcf numeric
@attribute o1atLcf numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMgk numeric
@attribute o1atLgk numeric
@attribute o1atMej numeric
@attribute o1atLej numeric
@attribute o1atMag numeric
@attribute o1atLag numeric
@attribute o1atMah numeric
@attribute o1atLah numeric
@attribute o1atMhe numeric
@attribute o1atLhe numeric
@attribute o1atMfc numeric
@attribute o1atLfc numeric
@attribute o1atMhf numeric
@attribute o1atLhf numeric
@attribute o1atMfe numeric
@attribute o1atLfe numeric
@attribute o1atMdf numeric
@attribute o1atLdf numeric
@attribute o1atMkd numeric
@attribute o1atLkd numeric
@attribute o1atMkj numeric
@attribute o1atLkj numeric
@attribute o1atMgh numeric
@attribute o1atLgh numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMck numeric
@attribute o1atLck numeric
@attribute o1atMfa numeric
@attribute o1atLfa numeric
@attribute o1atMje numeric
@attribute o1atLje numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMfd numeric
@attribute o1atLfd numeric
@attribute o1atMhg numeric
@attribute o1atLhg numeric
@attribute o1atMhk numeric
@attribute o1atLhk numeric
@attribute o1atMbk numeric
@attribute o1atLbk numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMki numeric
@attribute o1atLki numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMeh numeric
@attribute o1atLeh numeric
@attribute o1atMaf numeric
@attribute o1atLaf numeric
@attribute o1atMjd numeric
@attribute o1atLjd numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMfj numeric
@attribute o1atLfj numeric
@attribute o1atMkh numeric
@attribute o1atLkh numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMik numeric
@attribute o1atLik numeric
@attribute o1atMai numeric
@attribute o1atLai numeric
@attribute o1atMjg numeric
@attribute o1atLjg numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMbi numeric
@attribute o1atLbi numeric
@attribute o1atMdk numeric
@attribute o1atLdk numeric
@attribute o1atMie numeric
@attribute o1atLie numeric
@attribute o1atMha numeric
@attribute o1atLha numeric
@attribute o1atMbg numeric
@attribute o1atLbg numeric
@attribute o1atMfk numeric
@attribute o1atLfk numeric
@attribute o1atMjk numeric
@attribute o1atLjk numeric
@attribute o1atMga numeric
@attribute o1atLga numeric
@attribute o1atMaj numeric
@attribute o1atLaj numeric
@attribute o1atMhd numeric
@attribute o1atLhd numeric
@attribute o1atMkf numeric
@attribute o1atLkf numeric
@attribute o1atMgc numeric
@attribute o1atLgc numeric
@attribute o1atMcg numeric
@attribute o1atLcg numeric
@attribute o1atMja numeric
@attribute o1atLja numeric
@attribute o1atMdh numeric
@attribute o1atLdh numeric
@attribute o1atMch numeric
@attribute o1atLch numeric
@attribute o1atMfb numeric
@attribute o1atLfb numeric
@attribute o1atMkb numeric
@attribute o1atLkb numeric
@attribute o1atMij numeric
@attribute o1atLij numeric
@attribute o1atMka numeric
@attribute o1atLka numeric
@attribute o1atMbf numeric
@attribute o1atLbf numeric
@attribute o1atMhj numeric
@attribute o1atLhj numeric
@attribute o1atMbh numeric
@attribute o1atLbh numeric
@attribute o1atMid numeric
@attribute o1atLid numeric
@attribute o1atMdj numeric
@attribute o1atLdj numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMei numeric
@attribute o1atLei numeric
@attribute o1atMak numeric
@attribute o1atLak numeric
@attribute o1atMif numeric
@attribute o1atLif numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMgi numeric
@attribute o1atLgi numeric
@attribute o1atMek numeric
@attribute o1atLek numeric
@attribute o1atMhc numeric
@attribute o1atLhc numeric
@attribute o1atMjf numeric
@attribute o1atLjf numeric
@attribute o1atMic numeric
@attribute o1atLic numeric
@attribute o1atMgb numeric
@attribute o1atLgb numeric
@attribute o1atMkc numeric
@attribute o1atLkc numeric
@attribute o1atMhi numeric
@attribute o1atLhi numeric
@attribute o1atMgj numeric
@attribute o1atLgj numeric
@attribute o1atMih numeric
@attribute o1atLih numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMib numeric
@attribute o1atLib numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMia numeric
@attribute o1atLia numeric
@attribute o1atMhb numeric
@attribute o1atLhb numeric
@attribute o1atMjc numeric
@attribute o1atLjc numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMii numeric
@attribute o1atLii numeric
@attribute o1atMdi numeric
@attribute o1atLdi numeric
@attribute o1atMcj numeric
@attribute o1atLcj numeric
@attribute o1atMci numeric
@attribute o1atLci numeric
@attribute o1atMjj numeric
@attribute o1atLjj numeric
@attribute o1atMji numeric
@attribute o1atLji numeric
@attribute o1atMbj numeric
@attribute o1atLbj numeric
@attribute o1atMjh numeric
@attribute o1atLjh numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMjb numeric
@attribute o1atLjb numeric
@attribute destClass {2.0,3.0,4.0,1.0}

@data
77,13,42,43,54,27,14,71,57,17,57,16,21,36,35,12,12,74,76,12,18,35,32,33,75,13,53,28,14,71,19,66,10,11,71,22,25,53,34,34,14,57,10,80,77,13,36,15,12,38,12,19,33,16,13,57,55,15,26,53,17,56,20,12,82,11,74,15,10,81,10,75,16,13,12,59,34,13,12,79,16,57,74,14,80,12,15,13,12,74,80,12,13,72,12,80,10,83,36,19,11,60,19,13,12,83,58,15,79,12,12,72,81,12,12,16,75,13,12,77,15,16,21,13,34,13,12,18,15,37,58,13,82,12,12,37,12,15,18,17,57,12,14,35,16,36,12,14,21,19,16,19,12,59,14,13,80,12,12,13,13,58,79,12,15,19,19,14,21,15,12,81,36,16,12,13,56,13,12,76,12,73,74,15,36,13,14,17,56,13,14,14,13,37,15,12,77,13,76,14,78,13,12,77,13,15,12,79,12,79,12,15,13,18,14,13,12,78,78,13,21,16,16,15,16,16,80,12,78,13,15,15,78,13,12,80,12,78,13,14,3.0
75,16,43,41,54,33,19,70,54,20,54,17,23,40,39,16,14,72,74,16,20,37,36,34,73,16,52,31,16,70,25,66,14,15,70,27,33,52,39,39,18,55,15,78,75,16,39,18,17,40,17,21,38,18,15,53,54,17,31,49,22,55,22,16,77,15,72,19,15,79,16,73,18,18,14,55,38,16,14,77,17,53,73,17,78,15,17,18,14,70,77,15,15,70,14,78,14,79,39,21,17,56,21,16,14,78,54,17,77,16,17,71,78,15,17,18,73,16,15,75,17,18,23,18,38,16,15,20,17,40,56,17,78,15,14,39,17,18,21,18,55,16,15,37,18,40,15,17,23,21,18,21,14,53,16,16,75,15,16,17,17,55,75,15,17,21,21,16,23,18,14,76,39,18,17,18,54,16,16,75,16,71,72,16,40,18,16,18,54,16,16,16,14,37,17,16,75,15,72,16,75,16,15,76,15,16,14,75,15,76,15,17,15,18,16,16,15,76,75,15,23,18,18,18,18,18,75,15,75,15,17,18,75,16,14,76,15,76,15,16,1.0
79,13,49,44,56,25,16,70,61,17,61,12,21,31,35,12,12,72,73,12,20,31,33,28,72,12,56,27,15,71,20,64,10,11,65,19,28,53,31,30,13,58,11,81,74,12,35,14,11,33,12,22,34,19,13,58,61,19,30,52,20,57,22,12,82,11,72,15,10,82,11,73,15,13,12,59,34,12,12,80,18,58,72,15,82,12,14,13,12,72,81,11,13,71,11,81,10,83,34,20,11,60,21,12,11,83,62,12,81,12,12,71,82,11,12,14,72,12,13,78,14,14,23,13,34,12,12,21,13,32,63,12,82,11,12,32,12,14,21,20,62,12,13,31,14,31,12,13,23,21,15,21,12,59,13,13,80,11,12,13,12,59,80,12,14,21,21,12,23,14,11,81,34,14,12,13,61,12,14,77,12,72,72,12,36,13,13,20,61,12,13,12,12,32,14,12,79,12,73,12,79,12,12,78,12,13,12,79,11,80,12,13,12,21,13,12,12,79,79,11,23,14,15,14,15,14,80,11,79,11,14,14,79,12,11,80,11,79,12,13,2.0
72,20,48,53,57,32,19,71,58,24,58,19,20,34,32,17,18,73,69,17,21,35,32,35,68,18,55,33,20,71,23,71,17,15,64,24,29,60,31,34,20,60,18,74,70,17,32,18,19,36,19,26,32,25,21,61,57,25,30,61,20,60,21,17,77,16,67,23,18,74,18,74,22,17,19,62,32,19,18,73,21,61,67,21,75,16,22,18,20,72,75,17,20,71,18,73,18,76,31,24,19,63,21,19,18,75,59,18,74,17,19,71,76,16,19,21,69,18,19,71,20,20,22,17,32,20,19,25,20,35,60,17,78,16,19,35,20,20,21,25,59,17,21,35,20,34,19,19,20,24,20,24,21,61,21,17,74,17,19,17,20,61,73,17,20,25,21,20,21,18,19,73,31,19,20,18,58,20,19,71,19,72,67,19,33,17,21,25,59,19,21,20,21,35,21,17,72,18,68,18,73,18,19,71,21,20,19,72,19,72,19,20,21,25,21,19,19,72,73,18,20,19,21,18,20,19,75,17,74,18,21,19,74,18,19,72,19,71,21,19,4.0
72,18,46,52,54,33,19,69,56,21,57,20,22,36,33,19,17,71,72,17,23,36,32,36,70,18,54,32,21,69,24,66,15,17,68,26,29,57,32,35,19,60,17,75,73,19,33,19,18,38,18,23,32,22,19,61,55,21,28,59,21,60,23,19,75,17,70,19,17,76,18,72,21,19,17,61,32,19,16,74,22,60,70,19,75,18,20,20,19,70,75,17,19,70,16,75,17,78,33,21,18,62,23,19,15,77,57,19,74,17,19,69,76,18,18,21,70,17,18,73,19,21,24,19,32,20,17,22,19,38,58,19,76,17,17,37,18,20,23,22,57,18,20,37,20,36,17,19,23,22,20,22,19,61,19,19,73,18,17,19,18,62,73,18,19,23,23,20,23,19,17,75,33,20,18,20,55,19,18,72,18,71,71,19,34,19,20,22,55,18,20,20,19,37,20,19,73,18,71,19,72,18,18,72,19,20,18,73,17,75,17,20,19,22,20,19,17,74,73,18,23,20,20,19,20,20,73,17,73,17,19,20,72,17,18,73,18,73,19,19,3.0
75,15,45,41,58,25,17,72,59,17,59,17,20,35,39,15,14,73,76,14,20,34,38,32,74,15,58,28,18,72,25,67,12,14,73,19,30,51,38,31,16,56,13,80,77,16,39,17,15,35,15,19,38,17,15,55,58,17,33,52,18,56,21,16,78,14,74,16,12,80,15,74,16,17,14,55,38,16,14,79,19,55,74,16,78,15,16,17,15,73,77,14,15,72,13,79,12,81,39,17,15,56,20,17,13,80,60,17,77,14,16,72,78,15,15,18,74,15,14,77,16,18,22,17,38,16,14,18,16,35,61,16,79,15,14,34,15,18,20,18,60,15,15,34,16,35,14,17,21,19,16,19,15,55,15,16,76,15,14,16,16,56,76,15,16,19,20,17,21,18,13,78,39,17,15,17,58,16,15,77,16,72,74,16,40,16,15,18,58,16,15,17,15,34,15,16,75,15,75,16,75,15,14,77,15,17,14,78,13,77,14,17,15,18,15,17,14,77,75,15,21,18,16,18,16,18,76,15,75,15,16,18,75,15,13,78,13,77,15,17,2.0
76,12,48,40,57,27,14,75,59,16,60,12,17,31,38,12,10,77,76,11,16,31,36,31,75,13,58,22,15,75,22,72,9,10,70,18,33,53,36,30,12,56,10,82,77,10,36,12,12,33,12,19,38,17,12,55,61,16,28,54,15,55,17,12,82,10,73,13,10,84,11,78,14,13,10,56,38,12,10,81,16,55,73,14,81,10,12,13,10,76,82,10,12,76,10,83,9,84,36,18,11,57,17,12,9,83,60,10,80,11,12,76,83,10,12,15,75,11,11,80,12,15,18,12,38,14,11,18,12,32,63,10,83,10,10,32,12,13,17,17,62,12,12,31,13,32,11,12,17,18,13,19,10,55,11,12,80,10,11,12,11,56,78,10,12,19,17,14,17,12,9,81,36,14,12,13,61,14,12,79,11,76,74,11,39,12,13,17,61,12,13,14,10,31,13,12,78,11,74,10,78,11,11,80,11,14,10,80,10,81,11,14,11,17,13,12,10,80,80,10,17,14,13,13,13,15,80,10,80,10,12,13,78,11,10,81,11,81,11,12,2.0
71,18,46,39,56,31,21,69,56,22,56,19,22,36,41,16,18,71,71,16,23,37,39,36,69,18,53,30,20,70,27,67,16,14,66,26,35,51,40,36,19,52,17,75,72,16,41,18,18,38,18,24,40,23,20,52,55,21,34,50,22,51,23,16,78,16,68,22,17,76,17,72,21,17,18,53,41,19,18,74,22,52,68,19,75,15,20,17,18,71,75,16,19,70,17,75,16,77,40,22,18,54,23,19,17,76,57,18,74,16,18,70,76,15,18,21,71,18,19,72,19,20,24,16,41,20,18,23,19,37,58,16,79,15,18,37,19,20,23,23,57,16,20,37,19,37,18,19,22,22,19,23,19,53,19,16,74,17,18,16,19,52,73,17,19,23,23,20,23,18,17,74,40,19,19,17,56,19,19,72,18,70,69,19,42,16,20,23,57,19,20,20,19,37,20,16,72,17,70,18,72,17,18,73,19,20,18,73,18,73,18,20,19,23,20,19,18,73,73,17,22,19,20,19,19,20,76,17,75,17,20,19,74,17,17,74,18,73,19,19,4.0
74,16,49,41,57,28,18,69,59,19,59,16,23,34,37,15,14,72,72,15,20,31,34,30,70,16,57,24,17,69,21,65,14,14,66,21,32,53,34,33,19,55,15,77,73,15,36,19,17,34,17,23,35,20,16,55,59,19,28,52,22,54,22,15,78,15,70,18,15,78,15,73,19,17,14,57,36,16,14,76,19,54,70,18,77,15,18,17,15,70,76,15,15,70,14,77,15,79,35,23,17,58,21,16,14,78,60,16,76,15,15,70,77,15,17,19,71,16,15,74,18,19,23,17,35,16,14,22,18,34,62,15,79,15,14,33,17,19,20,20,61,15,16,31,19,34,15,18,23,23,19,23,15,55,17,15,75,16,16,16,18,56,75,16,18,23,20,16,23,19,15,76,35,19,17,17,59,16,15,73,15,71,70,16,38,17,16,20,60,16,16,16,15,31,18,15,74,16,71,16,74,16,15,74,15,16,15,74,15,76,14,18,15,20,17,16,15,75,74,16,23,19,19,19,19,19,76,16,75,16,18,19,75,16,15,75,15,75,16,16,1.0
78,13,42,43,51,31,17,69,55,16,55,13,23,38,37,12,10,72,74,12,19,35,34,34,72,13,51,31,16,69,23,64,9,11,67,24,30,52,33,37,15,56,11,80,75,13,37,15,12,39,12,21,36,17,12,55,55,17,30,51,21,55,22,12,81,11,72,15,10,81,11,73,16,14,10,57,36,13,10,79,18,54,72,15,81,12,15,14,12,71,80,11,12,70,10,80,10,84,36,21,12,58,21,13,10,83,56,13,80,11,13,70,81,12,12,15,72,13,12,76,15,15,23,14,36,13,11,20,15,39,57,13,82,12,11,38,12,15,21,18,56,12,13,36,16,38,11,14,23,21,16,21,12,56,14,13,79,12,11,13,14,57,79,12,15,21,21,13,23,15,11,81,36,15,12,14,55,13,14,75,13,72,72,13,38,14,14,19,55,13,14,13,13,37,15,12,78,12,73,13,78,12,12,76,13,14,12,78,11,79,11,14,13,20,14,13,12,78,78,12,23,15,16,15,16,15,79,12,78,12,15,15,78,12,11,79,11,77,13,14,1.0
74,17,48,49,57,31,19,71,58,21,59,17,22,35,34,16,17,72,72,16,21,33,31,33,71,17,55,31,19,70,23,68,15,15,67,24,30,57,33,33,19,60,16,76,73,17,34,17,18,36,18,23,33,21,17,59,58,19,30,57,20,60,22,16,77,15,70,20,15,77,17,73,20,18,17,60,33,16,17,75,20,58,71,18,77,16,19,18,17,72,77,15,17,71,17,76,15,78,33,22,17,61,21,16,16,77,59,17,76,16,19,71,78,16,18,19,71,16,17,74,19,19,23,18,33,17,17,22,19,35,60,17,78,15,17,35,18,18,21,21,59,16,18,34,20,35,17,17,22,23,20,23,17,60,18,17,75,16,17,17,18,60,75,16,19,23,21,17,22,18,16,75,34,18,18,18,58,17,18,73,18,71,71,17,35,17,18,22,58,16,18,18,18,35,19,17,75,16,71,17,74,17,18,73,18,18,17,75,16,74,17,18,18,22,18,17,17,73,75,16,22,19,20,18,20,19,75,15,75,15,19,18,74,16,17,75,17,74,18,17,3.0
74,14,41,44,53,30,16,75,56,20,57,18,18,38,39,14,13,76,74,14,17,37,38,37,73,15,54,32,15,74,28,72,13,14,68,23,31,53,39,37,15,55,14,80,75,16,40,16,16,39,16,21,38,19,14,53,54,19,33,52,17,55,18,14,79,14,71,17,13,80,15,77,16,16,14,55,38,14,13,79,17,53,71,18,78,14,16,16,13,74,79,14,13,74,13,79,13,80,40,20,15,56,17,14,13,79,57,16,77,14,15,75,80,14,16,18,73,14,13,77,16,18,19,16,38,16,14,20,16,38,57,16,80,14,14,38,16,16,17,19,56,14,14,37,16,38,14,15,19,21,16,21,14,53,15,14,78,14,15,15,15,55,76,14,16,21,17,16,19,16,13,77,40,18,16,16,55,16,14,77,15,75,73,17,40,16,14,19,55,14,14,16,14,37,15,14,76,14,73,16,76,14,14,77,14,16,13,77,13,77,14,17,14,19,14,14,14,77,78,14,19,18,16,16,16,18,78,14,78,14,16,16,76,14,13,77,13,77,14,14,2.0
74,17,50,48,58,30,16,74,60,20,60,18,18,34,35,16,14,76,73,16,16,32,32,32,72,16,56,28,16,74,24,74,14,14,69,24,31,57,34,34,18,57,16,77,74,16,35,17,16,35,16,22,34,19,16,57,58,18,29,57,18,57,18,16,78,15,72,19,16,77,16,77,19,16,14,59,35,17,14,76,16,57,71,17,77,15,19,17,16,74,77,16,16,74,14,76,16,79,35,21,16,60,18,17,14,79,60,17,76,16,16,74,78,14,16,19,73,16,16,74,18,19,19,16,35,17,15,21,18,35,61,16,79,14,14,34,16,18,17,19,60,16,16,32,18,34,16,17,18,21,18,21,16,57,18,16,75,15,16,16,18,60,74,16,18,22,18,17,18,17,16,77,35,18,16,17,59,17,16,74,16,77,72,18,36,16,17,19,60,17,18,17,16,32,18,16,74,17,72,17,75,16,16,74,18,17,16,74,16,77,16,18,17,19,18,17,16,77,75,16,18,18,18,17,18,18,76,15,76,16,18,18,76,16,16,74,16,74,18,17,2.0
73,17,48,46,57,31,19,70,59,24,59,20,23,36,36,16,16,72,71,15,21,34,33,33,69,17,55,31,19,70,24,66,15,15,65,24,32,55,37,34,19,58,15,77,72,17,37,20,18,36,18,24,35,22,17,56,57,20,32,55,21,58,22,16,77,15,69,21,15,77,17,73,19,18,17,58,35,18,16,76,20,56,69,19,76,17,19,18,16,71,75,15,16,70,16,76,15,78,37,24,18,59,21,18,16,77,59,20,75,15,18,70,76,17,18,20,69,17,16,74,19,20,23,18,35,18,17,23,19,36,60,18,78,17,17,35,18,20,21,22,59,16,17,34,19,36,17,19,23,24,19,24,17,57,18,17,75,17,17,17,19,58,75,17,19,24,21,18,23,20,16,75,37,20,18,18,57,18,16,74,18,70,69,19,37,18,17,22,57,18,17,18,17,35,18,16,73,17,71,19,73,17,16,74,17,19,16,75,16,74,17,19,17,23,17,18,16,74,73,17,23,20,19,20,19,20,75,17,73,17,19,20,73,17,16,75,16,74,17,19,1.0
73,17,45,50,53,33,21,69,55,19,55,17,23,37,34,18,18,71,73,17,22,37,32,35,71,18,55,33,20,70,24,67,17,16,69,25,30,58,32,36,19,60,17,76,74,16,32,19,19,38,19,22,33,20,19,59,56,19,30,57,22,60,23,18,76,17,71,17,17,76,19,72,20,18,19,60,33,19,18,75,21,59,71,19,76,16,20,18,18,70,75,17,18,70,17,75,17,76,32,21,19,61,23,19,17,75,55,17,75,17,19,69,76,16,19,20,72,18,18,73,19,19,24,18,33,19,19,21,19,37,58,16,77,16,19,37,19,20,23,21,57,17,19,37,19,37,19,19,23,21,19,21,19,59,19,18,73,17,19,18,19,60,73,17,19,21,23,19,23,19,17,73,32,19,20,19,56,18,19,73,19,69,71,17,35,18,19,21,56,18,19,19,19,37,19,18,73,17,71,17,73,17,17,73,19,19,18,73,17,73,19,19,19,21,19,19,17,73,73,17,23,19,19,19,19,19,74,17,74,17,19,19,74,17,17,73,17,73,19,19,4.0
76,15,41,35,52,28,16,71,54,21,54,16,19,37,41,13,13,74,72,13,18,37,35,36,71,14,49,28,15,71,23,68,12,11,65,25,30,49,40,36,15,51,13,78,73,13,42,15,13,40,13,23,39,20,15,52,53,16,30,48,17,51,20,13,81,12,70,19,13,80,13,75,18,14,13,53,41,14,13,77,17,50,70,16,79,12,16,14,14,73,79,13,14,73,13,79,13,81,41,21,13,54,20,15,12,81,55,15,78,13,15,72,80,12,13,17,72,14,14,76,15,16,21,14,40,14,13,22,14,39,56,14,82,12,13,39,14,16,18,21,55,13,16,38,16,37,14,15,20,21,17,21,14,52,15,13,78,13,14,13,13,53,77,13,15,22,19,15,21,15,13,79,41,16,14,14,54,14,14,74,13,74,70,15,42,14,16,21,55,14,17,15,14,38,17,13,76,14,71,14,77,14,14,75,15,15,14,76,13,79,14,16,14,21,17,15,13,77,77,14,20,16,18,15,17,16,79,13,78,14,16,15,78,14,14,77,14,77,15,15,2.0
74,16,41,41,52,30,20,69,54,18,54,17,24,38,39,16,17,70,73,16,23,37,38,36,71,17,52,30,20,69,25,64,16,15,68,23,31,51,36,36,18,54,17,77,74,15,39,18,18,39,18,22,38,20,17,54,55,20,31,51,22,54,24,16,78,16,71,17,16,77,17,71,19,16,17,55,38,17,17,76,22,54,71,17,77,15,19,16,17,69,76,16,17,69,16,76,16,77,38,21,18,56,23,17,16,76,55,17,76,16,17,69,77,15,18,19,72,17,17,74,18,18,25,16,38,17,17,21,18,38,57,16,78,15,17,38,18,19,23,20,56,16,17,37,18,38,17,18,24,21,18,21,17,54,18,16,75,16,18,17,18,54,75,16,18,21,23,17,24,18,16,74,38,18,19,17,55,17,18,74,17,69,71,16,40,16,17,20,55,17,17,17,17,37,18,16,74,16,72,16,74,16,17,74,17,17,17,74,16,74,17,18,17,20,17,17,17,74,74,16,24,18,18,18,18,18,76,16,75,16,18,18,75,16,16,74,16,74,17,17,2.0
75,17,45,39,54,28,15,73,58,20,58,17,19,34,38,15,13,75,73,15,17,34,36,34,72,15,55,31,15,73,21,70,13,13,69,23,30,52,37,33,14,54,14,79,74,15,38,17,15,37,15,22,36,19,14,54,56,19,33,52,16,54,19,15,79,14,73,17,14,79,14,76,17,16,13,56,38,15,13,78,17,54,71,18,78,15,17,16,14,73,78,15,14,73,13,78,14,80,38,21,14,57,19,15,13,80,58,16,77,15,14,73,79,13,15,18,73,15,14,76,17,18,20,16,37,15,13,21,16,36,59,15,80,13,13,36,15,17,17,19,58,15,14,34,16,34,15,16,20,21,17,21,14,54,16,15,76,14,15,15,14,56,75,16,17,22,18,15,20,17,14,78,38,18,15,16,57,15,14,76,14,75,73,17,39,16,14,19,58,15,15,15,14,34,16,15,75,17,73,16,76,15,14,76,15,15,14,76,14,78,14,17,14,19,16,15,14,78,76,15,20,18,17,17,17,18,77,14,77,15,17,17,77,15,14,76,14,76,16,15,1.0
73,12,45,40,56,28,16,74,59,18,60,16,18,34,38,12,12,76,75,11,17,33,34,31,73,11,53,26,15,75,22,72,10,11,68,19,32,54,37,33,15,56,11,80,76,13,38,13,12,35,12,20,34,18,14,55,55,15,30,53,17,56,18,12,81,11,71,15,11,81,12,77,16,13,12,56,36,12,12,79,15,55,70,12,79,12,15,13,13,76,81,11,14,75,12,80,10,83,38,19,12,57,17,12,12,82,60,13,78,11,15,75,82,11,12,17,73,11,14,77,14,16,19,13,36,15,12,19,14,34,61,13,82,11,12,34,12,14,17,18,60,11,14,33,15,34,12,13,18,19,15,19,13,56,14,13,79,11,12,13,14,56,76,12,14,19,17,15,18,13,12,80,38,16,13,14,58,12,14,77,14,75,74,15,39,13,14,18,58,11,14,15,13,34,15,12,76,12,74,13,76,11,13,78,13,16,13,79,13,78,12,16,13,19,14,12,13,78,79,11,18,16,15,13,15,16,79,11,79,11,14,13,76,11,12,80,13,78,13,13,3.0
73,17,44,50,53,31,20,70,55,20,56,17,22,35,34,16,16,71,72,16,23,35,34,33,72,18,54,32,19,70,24,66,15,14,67,22,29,57,32,34,17,59,17,77,73,14,33,15,17,37,17,23,34,22,17,59,58,22,30,56,21,59,23,16,78,14,69,17,16,77,17,72,19,15,16,60,34,16,16,76,20,59,71,18,77,14,19,16,17,70,78,15,17,70,15,76,16,78,33,21,17,61,23,16,15,77,56,15,76,16,17,70,79,14,17,19,72,16,17,74,17,18,24,15,34,18,17,22,17,36,59,15,79,14,17,36,17,17,23,22,58,16,18,35,17,35,17,16,22,21,17,21,17,59,18,16,76,14,17,16,17,60,74,14,17,22,23,18,22,15,16,75,33,17,18,17,58,18,18,74,17,71,70,15,35,15,18,22,58,16,18,18,18,35,18,16,74,15,70,14,75,17,17,74,18,18,17,74,16,75,17,18,18,22,18,16,17,75,76,15,22,17,17,15,17,17,76,14,76,15,17,16,75,16,16,74,16,74,18,16,4.0
77,16,47,41,53,28,15,74,60,22,60,16,17,33,39,14,14,76,69,14,17,33,37,33,68,14,53,27,16,75,25,73,12,13,60,21,33,52,36,32,15,53,13,79,70,15,40,16,14,35,15,26,38,24,15,54,59,23,32,53,16,53,18,14,79,13,69,18,13,79,13,77,17,16,14,55,38,14,14,78,17,54,68,18,80,15,17,16,15,76,79,13,15,75,13,78,13,81,40,24,13,56,17,14,13,80,60,16,79,14,14,74,80,13,15,16,68,14,15,76,17,16,19,16,38,14,14,25,16,33,61,16,80,13,14,34,15,16,17,24,60,14,15,33,16,33,14,15,19,25,17,25,15,55,16,15,77,13,14,15,15,54,77,15,17,25,17,14,19,16,14,78,40,16,15,16,59,14,15,76,14,75,69,15,40,16,15,24,59,14,15,14,15,34,16,14,77,15,69,15,77,14,14,76,15,15,15,77,14,77,14,15,15,25,15,14,14,77,77,13,19,16,17,16,17,16,77,13,77,13,17,16,77,14,14,77,14,76,15,15,3.0
77,15,45,41,52,30,17,72,57,20,57,15,21,36,37,13,12,73,73,13,20,36,35,35,71,14,54,30,14,71,21,66,11,11,67,25,30,53,36,34,13,56,12,81,74,14,38,15,12,38,12,22,36,20,13,56,56,19,30,50,18,56,21,13,81,12,73,16,11,82,12,74,15,14,12,57,37,14,12,80,19,55,71,18,80,14,14,14,12,72,79,12,12,72,12,81,11,82,37,21,12,58,21,14,11,82,58,15,79,12,13,72,80,12,12,16,72,14,12,79,13,15,22,14,36,14,12,21,13,37,58,14,82,12,12,37,13,16,20,20,57,13,13,36,14,36,13,15,21,21,14,21,12,56,13,13,78,13,13,13,12,57,78,15,13,21,20,14,22,15,11,80,37,15,13,14,56,14,14,78,12,73,73,15,38,14,13,20,57,14,13,14,12,36,14,13,77,15,74,15,77,13,13,78,12,14,12,79,11,80,12,15,12,20,14,14,12,79,77,13,21,15,15,15,14,15,79,13,78,13,14,15,78,13,12,79,12,79,13,14,3.0
