@relation 'Sax dominant'

@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atLee numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMaa numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o2atMaa numeric
@attribute o2atMbb numeric
@attribute o2atLbb numeric
@attribute o2atMcc numeric
@attribute o2atLcc numeric
@attribute o2atMdd numeric
@attribute o2atLdd numeric
@attribute o2atMab numeric
@attribute o2atLab numeric
@attribute o2atMbc numeric
@attribute o2atLbc numeric
@attribute o2atMcd numeric
@attribute o2atLcd numeric
@attribute o2atLee numeric
@attribute o2atMde numeric
@attribute o2atLde numeric
@attribute o2atMed numeric
@attribute o2atLed numeric
@attribute o2atMdc numeric
@attribute o2atLdc numeric
@attribute o2atMce numeric
@attribute o2atLce numeric
@attribute o2atMba numeric
@attribute o2atLba numeric
@attribute o2atMec numeric
@attribute o2atLec numeric
@attribute o2atMcb numeric
@attribute o2atLcb numeric
@attribute o2atMdb numeric
@attribute o2atLdb numeric
@attribute o3atMdd numeric
@attribute o3atLdd numeric
@attribute o3atLee numeric
@attribute o3atMde numeric
@attribute o3atLde numeric
@attribute o3atMed numeric
@attribute o3atLed numeric
@attribute o3atMcc numeric
@attribute o3atLcc numeric
@attribute o3atMbb numeric
@attribute o3atLbb numeric
@attribute o3atMbc numeric
@attribute o3atLbc numeric
@attribute o3atMce numeric
@attribute o3atLce numeric
@attribute o3atMac numeric
@attribute o3atLac numeric
@attribute o3atMec numeric
@attribute o3atLec numeric
@attribute o3atMca numeric
@attribute o3atLca numeric
@attribute o3atMdc numeric
@attribute o3atLdc numeric
@attribute o3atMcb numeric
@attribute o3atLcb numeric
@attribute o3atMcd numeric
@attribute o3atLcd numeric
@attribute o3atMbe numeric
@attribute o3atLbe numeric
@attribute o3atMeb numeric
@attribute o3atLeb numeric
@attribute o3atMdb numeric
@attribute o3atLdb numeric
@attribute o3atMab numeric
@attribute o3atLab numeric
@attribute o3atMaa numeric
@attribute o3atMae numeric
@attribute o3atLae numeric
@attribute o3atMba numeric
@attribute o3atLba numeric
@attribute o3atMda numeric
@attribute o3atLda numeric
@attribute o3atMbd numeric
@attribute o3atLbd numeric
@attribute destClass {-1,1}

@data
24,6,5,14,25,23,15,4,25,6,14,15,5,7,25,5,23,7,15,16,5,26,24,6,4,26,4,16,5,6,15,6,24,6,5,16,15,6,15,7,24,6,5,7,15,6,10,12,20,14,18,31,16,11,21,13,19,15,17,0,31,0,31,0,14,16,15,0,10,20,14,0,12,18,12,16,26,17,2,28,3,27,3,10,31,0,31,0,31,12,4,0,31,12,3,0,31,12,19,0,31,11,19,0,4,0,3,0,19,0,31,0,0,4,0,31,0,19,0,19,1.0
24,7,5,14,19,22,15,10,25,6,15,15,11,8,25,6,23,8,15,16,11,20,23,8,10,20,11,16,11,6,15,8,23,6,11,16,15,6,15,8,23,6,11,8,15,6,9,11,21,16,19,31,14,10,22,12,20,17,15,0,31,0,31,0,16,14,17,0,9,21,16,0,11,19,11,14,27,26,1,29,2,28,2,1,31,0,31,0,31,3,3,0,31,3,2,0,31,3,28,0,31,2,28,0,3,0,2,0,28,0,31,0,0,3,0,31,0,28,0,28,1.0
31,0,0,28,6,31,1,22,31,0,29,2,24,0,31,0,31,0,29,2,23,7,31,0,24,8,24,2,24,0,29,0,31,0,23,2,29,0,29,0,31,0,23,0,29,0,0,0,31,6,31,31,20,0,31,0,31,9,23,0,31,0,31,0,8,22,9,0,0,31,8,0,0,31,0,22,21,17,5,24,7,23,6,6,29,0,31,0,30,10,7,0,30,10,6,0,30,9,20,0,30,9,20,1,8,1,7,0,21,0,31,0,0,8,0,31,0,21,0,21,1.0
25,8,4,17,15,19,10,12,26,4,17,11,13,10,26,4,20,10,19,12,14,17,20,8,13,17,13,12,14,5,18,9,21,5,14,12,19,5,19,10,21,4,14,10,19,4,3,4,27,6,26,26,24,4,28,5,27,7,25,1,28,3,28,3,6,24,7,3,3,27,6,3,4,26,4,24,30,3,0,31,0,30,0,24,15,10,31,13,18,26,1,0,18,26,0,0,18,26,5,13,18,25,5,13,1,13,0,13,5,0,31,0,0,1,0,31,0,5,13,5,1.0
22,11,7,5,30,16,24,0,23,8,5,24,1,13,23,8,18,13,6,25,0,30,18,12,0,31,0,25,1,8,6,12,18,8,0,25,6,8,6,13,18,8,0,13,6,8,16,24,13,30,6,31,0,17,14,25,7,31,1,0,31,0,31,0,30,0,31,0,17,14,30,0,24,6,24,0,30,29,0,31,0,30,0,0,31,0,31,0,31,1,1,0,31,1,0,0,31,1,30,0,31,0,30,0,1,0,0,0,30,0,31,0,0,1,0,31,0,30,0,30,-1.0
21,10,6,18,18,19,11,11,23,7,18,11,11,11,23,8,20,11,19,12,12,19,19,10,11,19,11,12,12,8,18,10,20,8,12,12,19,8,19,11,20,7,12,11,19,7,3,4,27,7,26,31,22,4,28,5,27,8,23,0,31,0,31,0,8,23,8,0,3,27,8,0,4,26,4,23,30,3,0,31,0,30,0,25,18,9,31,11,20,27,1,0,20,26,0,0,20,26,4,11,20,26,5,11,1,11,0,11,4,0,31,0,0,1,0,31,0,4,11,5,1.0
26,6,3,18,14,21,9,13,27,4,18,10,15,8,27,4,23,7,19,11,15,16,23,6,14,16,14,11,15,4,20,7,23,4,15,11,20,4,20,8,23,4,15,8,20,4,3,4,27,6,26,26,24,4,28,5,27,7,25,1,28,3,28,3,6,24,7,3,3,27,6,3,4,26,4,24,30,8,0,31,0,30,0,19,31,0,31,0,31,21,1,0,31,21,0,0,31,21,10,0,31,20,10,0,1,0,0,0,10,0,31,0,0,1,0,31,0,10,0,10,1.0
24,9,3,17,17,18,10,12,26,5,17,11,13,11,26,5,20,10,18,12,13,18,20,9,12,18,12,12,13,5,19,10,20,5,13,12,19,5,19,11,20,5,13,11,19,5,3,5,27,7,25,29,23,4,28,6,26,8,24,0,30,1,30,1,7,23,8,1,3,27,7,1,5,25,5,23,30,5,0,31,0,30,0,22,17,6,31,10,21,24,1,0,21,24,0,0,21,24,7,10,21,23,7,10,1,10,0,10,7,0,31,0,0,1,0,31,0,7,10,7,1.0
23,6,6,22,9,23,7,20,24,6,22,7,20,7,24,6,23,7,23,8,21,10,23,6,20,10,20,8,21,7,22,6,24,7,21,8,23,7,23,7,24,6,21,7,23,6,4,8,26,18,22,31,6,5,27,9,23,22,10,0,31,0,31,0,21,9,22,0,4,26,21,0,8,22,8,9,23,24,5,25,7,24,6,1,31,0,31,0,31,4,7,0,31,4,6,0,31,4,27,0,31,4,27,0,7,0,6,0,27,0,31,0,0,7,0,31,0,27,0,27,-1.0
23,8,6,14,24,21,13,5,24,7,15,14,6,9,24,7,22,9,16,15,6,25,22,8,5,25,5,15,6,7,16,8,22,7,6,15,16,7,16,9,22,7,6,9,16,7,13,17,17,24,13,31,3,14,18,18,14,26,5,0,31,0,31,0,26,5,26,0,13,17,26,0,17,13,17,5,25,31,1,28,4,27,3,0,31,0,31,0,31,0,4,0,31,0,3,0,31,0,31,0,31,0,31,0,4,0,3,0,31,0,31,0,0,4,0,31,0,31,0,31,-1.0
31,0,0,31,9,31,0,18,31,0,31,0,20,0,31,0,31,0,31,0,20,11,31,0,20,11,20,0,20,0,31,0,31,0,20,0,31,0,31,0,31,0,20,0,31,0,0,1,31,5,29,28,25,0,31,2,30,6,26,2,29,3,28,2,5,25,6,3,0,31,5,2,1,29,1,25,20,22,7,22,8,22,9,3,28,1,31,1,29,6,8,0,29,6,9,0,29,6,24,1,29,5,24,2,9,2,9,2,25,0,31,0,0,9,0,31,0,25,1,25,1.0
26,3,3,19,11,24,8,18,27,3,21,9,19,5,27,3,25,4,20,10,19,12,25,5,18,12,19,10,19,4,21,5,26,3,19,10,21,4,20,5,26,4,19,5,21,4,3,5,27,7,25,31,23,4,28,6,26,8,24,0,31,0,31,0,7,23,8,0,3,27,7,0,5,25,5,23,28,31,0,30,2,29,1,0,31,0,31,0,31,0,2,0,31,0,1,0,31,0,31,0,31,0,31,0,2,0,1,0,31,0,31,0,0,2,0,31,0,31,0,31,1.0
26,5,3,15,17,24,10,10,27,4,17,11,12,6,27,4,25,5,17,13,12,19,25,5,10,19,11,13,12,4,18,5,25,4,12,13,18,4,18,6,25,4,12,6,18,4,4,7,26,10,23,24,17,5,27,8,24,12,19,1,27,4,27,3,11,19,12,4,4,26,12,4,7,23,7,19,28,8,0,30,1,29,1,17,27,0,31,2,29,20,2,0,29,20,1,0,29,20,11,2,29,19,11,2,2,2,1,2,11,0,31,0,0,2,0,31,0,11,2,11,1.0
24,5,3,18,11,21,10,17,26,3,19,11,18,8,26,4,22,7,19,10,17,12,22,7,18,13,18,12,19,5,19,7,23,5,18,11,19,5,19,7,24,4,18,7,20,4,0,0,31,12,31,22,16,0,31,0,31,13,17,8,22,8,23,9,14,18,13,8,0,31,14,9,0,31,0,18,30,1,0,31,0,30,0,27,31,0,31,0,31,29,1,0,31,28,0,0,31,28,2,0,31,28,3,0,1,0,0,0,2,0,31,0,0,1,0,31,0,2,0,3,-1.0
24,7,3,19,15,20,8,14,26,4,20,9,15,9,26,4,21,7,19,10,15,16,21,8,14,16,14,10,15,5,21,8,22,4,15,10,21,5,20,9,22,5,15,9,21,5,3,5,27,6,25,31,24,4,28,6,26,7,25,0,31,0,31,0,6,24,7,0,3,27,6,0,5,25,5,24,30,8,0,31,0,30,0,19,31,0,31,0,31,21,1,0,31,21,0,0,31,21,10,0,31,20,10,0,1,0,0,0,10,0,31,0,0,1,0,31,0,10,0,10,1.0
31,2,0,24,12,27,4,16,31,0,25,5,18,3,31,0,28,3,25,5,17,13,28,2,17,14,17,6,18,0,26,2,28,0,17,5,25,0,25,3,28,0,17,3,26,0,0,0,31,0,31,31,25,0,31,0,31,3,28,0,31,0,31,0,3,28,3,0,0,31,3,0,0,31,0,28,25,14,3,27,4,26,4,9,29,0,31,0,30,13,4,0,30,13,4,0,30,13,17,0,30,12,17,1,5,1,4,1,18,0,31,0,0,5,0,31,0,18,0,18,1.0
22,8,5,18,17,19,11,12,24,6,18,11,12,10,24,7,21,10,19,12,13,18,20,9,12,18,12,12,13,7,18,9,21,7,13,12,19,7,19,10,21,6,13,10,19,6,2,4,28,7,26,31,23,3,29,5,27,8,24,0,31,0,31,0,7,23,8,0,2,28,7,0,4,26,4,23,30,14,0,31,1,30,0,15,31,0,31,0,31,16,1,0,31,16,0,0,31,16,15,0,31,16,15,0,1,0,0,0,15,0,31,0,0,1,0,31,0,15,0,15,1.0
26,7,1,18,26,22,9,3,28,3,20,10,4,8,28,3,23,8,20,11,4,27,23,8,3,27,4,11,4,3,20,8,23,3,4,11,20,3,20,8,23,3,4,8,20,3,11,20,16,24,10,31,6,13,18,21,11,25,7,0,31,0,31,0,24,6,25,0,13,18,24,0,20,10,20,6,22,21,6,24,8,23,7,2,31,0,31,0,31,6,8,0,31,6,7,0,31,6,25,0,31,6,25,0,8,0,7,0,25,0,31,0,0,8,0,31,0,25,0,25,-1.0
31,2,0,17,16,23,8,11,31,0,19,10,13,5,31,0,26,5,20,11,13,18,26,4,12,18,12,11,13,0,20,4,26,0,13,11,20,0,20,5,26,0,13,5,20,0,4,5,26,7,25,24,23,5,27,6,26,8,24,1,27,4,27,4,7,23,8,4,4,26,7,4,5,25,5,23,30,21,0,31,0,30,0,0,31,0,31,0,31,5,1,0,31,5,0,0,31,5,26,0,31,4,26,0,1,0,0,0,26,0,31,0,0,1,0,31,0,26,0,26,1.0
26,4,3,17,12,21,10,15,27,3,19,10,17,7,27,3,23,7,19,11,16,14,23,7,15,14,17,12,17,4,19,7,24,4,17,12,19,4,19,7,24,4,17,7,19,4,4,5,26,7,25,26,23,5,27,6,26,8,24,3,27,4,27,4,7,23,8,4,4,26,7,4,5,25,5,23,30,10,0,31,1,30,0,17,31,0,31,0,31,19,1,0,31,19,0,0,31,19,12,0,31,19,12,0,1,0,0,0,12,0,31,0,0,1,0,31,0,12,0,12,1.0
27,3,2,19,10,22,8,15,28,3,21,8,18,6,28,2,24,5,20,10,18,13,25,6,16,13,18,10,18,3,21,6,25,2,18,10,21,3,20,6,25,3,18,6,21,3,3,5,27,7,25,18,23,4,28,6,26,8,24,5,22,9,22,9,7,23,8,9,3,27,7,9,5,25,5,23,30,8,0,31,0,30,0,17,31,0,31,0,31,20,1,0,31,20,0,0,31,20,11,0,31,19,11,0,1,0,0,0,11,0,31,0,0,1,0,31,0,11,0,11,1.0
26,5,3,18,15,22,9,14,27,4,19,10,15,7,27,4,24,6,19,11,15,16,24,6,14,16,14,11,15,4,20,6,24,4,15,11,20,4,20,7,24,4,15,7,20,4,3,5,27,6,25,26,24,4,28,6,26,7,25,1,28,3,28,3,6,24,7,3,3,27,6,3,5,25,5,24,30,7,0,31,0,30,0,20,21,6,31,8,23,22,1,0,23,22,0,0,23,22,9,8,23,21,9,8,1,8,0,8,9,0,31,0,0,1,0,31,0,9,8,9,1.0
22,9,5,19,15,20,10,14,24,6,19,10,14,10,24,7,21,10,20,11,15,16,20,9,14,16,14,11,15,7,19,9,21,7,15,11,20,7,20,10,21,6,15,10,20,6,2,4,28,5,26,31,25,3,29,5,27,6,26,0,31,0,31,0,5,25,6,0,2,28,5,0,4,26,4,25,30,3,0,31,0,30,0,23,27,0,31,2,29,26,1,0,29,25,0,0,29,25,5,2,29,25,6,2,1,2,0,2,5,0,31,0,0,1,0,31,0,5,2,6,1.0
26,5,3,18,14,22,9,15,27,4,19,10,16,7,27,3,23,6,19,11,16,15,24,6,15,15,16,11,16,4,20,7,24,3,16,11,20,4,19,7,24,4,16,7,20,4,4,5,26,7,25,27,23,5,27,6,26,8,24,2,28,3,28,3,7,23,8,3,4,26,7,3,5,25,5,23,30,9,0,31,0,30,0,16,31,0,31,0,31,19,1,0,31,19,0,0,31,19,12,0,31,18,12,0,1,0,0,0,12,0,31,0,0,1,0,31,0,12,0,12,1.0
25,9,4,16,19,18,11,8,26,5,16,12,10,11,26,4,19,11,18,13,10,21,20,9,9,21,9,13,10,5,18,10,20,5,10,13,18,5,18,11,20,5,10,11,18,5,4,6,26,9,24,28,21,5,27,7,25,10,22,1,29,2,29,2,9,21,10,2,4,26,9,2,6,24,6,21,30,4,0,31,0,30,0,22,18,7,31,9,21,25,0,0,21,24,0,0,21,24,6,10,21,24,6,10,1,10,0,10,6,0,31,0,0,1,0,31,0,6,9,7,1.0
25,4,4,23,9,24,5,19,26,4,24,6,20,6,26,4,24,4,23,6,20,10,25,5,20,11,20,7,21,5,24,5,25,4,20,6,24,5,23,5,26,4,20,5,25,4,0,0,31,0,31,31,31,0,31,0,31,0,31,0,31,0,31,0,0,31,0,0,0,31,0,0,0,31,0,31,29,6,1,30,2,29,1,23,31,0,31,0,31,24,2,0,31,24,1,0,31,24,7,0,31,24,7,0,2,0,1,0,7,0,31,0,0,2,0,31,0,7,0,7,-1.0
26,4,3,24,10,25,5,18,27,4,24,5,20,5,27,3,25,5,25,6,19,11,26,4,19,12,19,6,20,4,25,4,26,4,19,6,25,4,25,5,26,4,19,5,25,4,0,0,31,2,31,29,23,0,31,0,31,5,26,0,30,1,30,1,5,26,5,1,0,31,5,1,0,31,0,26,23,10,3,26,5,25,4,17,25,2,29,3,27,19,5,1,27,19,5,1,27,18,12,4,26,18,11,4,6,4,5,4,12,1,30,0,1,6,0,30,1,12,3,12,1.0
21,10,6,18,18,19,11,11,23,7,18,11,11,11,23,8,20,11,19,12,12,19,19,10,11,19,11,12,12,8,18,10,20,8,12,12,19,8,19,11,20,7,12,11,19,7,4,6,26,8,24,31,22,5,27,7,25,9,23,0,31,0,31,0,8,22,9,0,4,26,8,0,6,24,6,22,30,6,0,31,0,30,0,21,27,0,31,2,29,23,1,0,29,23,0,0,29,23,8,2,29,22,8,2,1,2,0,2,8,0,31,0,0,1,0,31,0,8,2,8,1.0
26,4,3,15,22,25,12,7,27,3,16,13,7,5,27,4,26,5,17,14,8,23,25,4,7,23,7,14,8,4,16,4,26,4,8,14,17,4,17,5,26,3,8,5,17,3,13,16,17,21,14,31,9,14,18,17,15,22,10,0,31,0,31,0,21,9,22,0,13,17,21,0,16,14,16,9,15,28,13,17,14,16,14,1,31,0,31,0,31,2,15,0,31,2,14,0,31,2,29,0,31,1,29,0,15,0,14,0,29,0,31,0,0,15,0,31,0,29,0,29,1.0
26,6,3,18,14,21,9,15,27,4,19,10,16,8,27,3,22,8,20,11,16,15,23,7,15,15,15,11,16,4,20,7,23,4,16,11,20,4,20,8,23,4,16,8,20,4,3,4,27,7,24,26,23,4,28,6,26,8,24,3,27,4,27,4,7,23,8,4,3,27,7,4,5,25,5,23,30,10,0,31,1,30,0,17,31,0,31,0,31,19,1,0,31,19,0,0,31,19,12,0,31,19,12,0,1,0,0,0,12,0,31,0,0,1,0,31,0,12,0,12,1.0
23,8,6,14,23,21,15,6,24,7,14,15,7,9,24,7,22,9,15,16,7,24,22,8,6,24,6,16,7,7,15,8,22,7,7,16,15,7,15,9,22,7,7,9,15,7,10,14,20,17,16,31,11,11,21,15,17,19,13,0,31,0,31,0,18,12,19,0,10,20,18,0,14,16,14,12,26,25,2,28,3,27,3,0,31,0,31,0,31,3,4,0,31,3,3,0,31,3,28,0,31,2,28,0,4,0,3,0,28,0,31,0,0,4,0,31,0,28,0,28,1.0
25,7,4,12,26,22,17,1,26,5,12,17,3,8,26,5,23,8,13,18,3,28,23,7,2,28,2,18,3,5,13,7,23,5,3,18,13,5,13,8,23,5,3,8,13,5,16,18,14,21,12,31,9,17,15,19,13,22,10,0,31,0,31,0,21,9,22,0,16,14,21,0,18,12,18,9,21,26,7,23,8,22,8,3,27,2,28,2,27,4,8,1,28,4,8,2,28,4,27,3,28,3,26,3,8,3,8,3,27,1,29,1,2,9,2,29,2,27,2,26,1.0
26,4,3,18,10,25,9,17,27,4,19,9,19,5,27,3,25,5,20,10,18,12,26,4,17,12,18,11,19,4,20,4,26,4,19,11,20,4,20,5,26,4,19,5,20,4,3,5,27,7,25,27,23,4,28,6,26,8,24,0,29,2,29,2,7,23,8,2,3,27,7,2,5,25,5,23,28,16,0,30,2,29,1,7,31,0,31,0,31,11,2,0,31,11,1,0,31,11,20,0,31,11,20,0,2,0,1,0,20,0,31,0,0,2,0,31,0,20,0,20,1.0
