@relation 'Sax dominant'

@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atLee numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o2atMaa numeric
@attribute o2atMbb numeric
@attribute o2atLbb numeric
@attribute o2atMcc numeric
@attribute o2atLcc numeric
@attribute o2atMdd numeric
@attribute o2atLdd numeric
@attribute o2atLee numeric
@attribute o2atMab numeric
@attribute o2atLab numeric
@attribute o2atMbc numeric
@attribute o2atLbc numeric
@attribute o2atMcd numeric
@attribute o2atLcd numeric
@attribute o2atMde numeric
@attribute o2atLde numeric
@attribute o2atMce numeric
@attribute o2atLce numeric
@attribute o2atMba numeric
@attribute o2atLba numeric
@attribute o2atMed numeric
@attribute o2atLed numeric
@attribute o2atMbd numeric
@attribute o2atLbd numeric
@attribute o2atMcb numeric
@attribute o2atLcb numeric
@attribute o2atMac numeric
@attribute o2atLac numeric
@attribute o2atMdc numeric
@attribute o2atLdc numeric
@attribute o3atLee numeric
@attribute o3atMdd numeric
@attribute o3atLdd numeric
@attribute o3atMcc numeric
@attribute o3atLcc numeric
@attribute o3atMbb numeric
@attribute o3atLbb numeric
@attribute o3atMaa numeric
@attribute o3atMab numeric
@attribute o3atLab numeric
@attribute o3atMbc numeric
@attribute o3atLbc numeric
@attribute o3atMed numeric
@attribute o3atLed numeric
@attribute o3atMdc numeric
@attribute o3atLdc numeric
@attribute o3atMcb numeric
@attribute o3atLcb numeric
@attribute o3atMba numeric
@attribute o3atLba numeric
@attribute o3atMcd numeric
@attribute o3atLcd numeric
@attribute o3atMce numeric
@attribute o3atLce numeric
@attribute o3atMde numeric
@attribute o3atLde numeric
@attribute o3atMbd numeric
@attribute o3atLbd numeric
@attribute destClass {2.0,3.0,7.0,6.0,4.0,5.0,1.0}

@data
31,6,23,29,0,24,7,1,30,1,30,31,0,31,0,31,0,24,7,31,0,0,31,0,10,16,19,23,13,24,7,6,11,20,17,14,24,8,25,7,24,7,11,20,24,6,17,8,17,14,11,14,23,7,8,22,14,16,31,0,31,0,0,31,0,31,23,9,17,15,0,31,0,31,16,14,16,8,22,8,0,14,5.0
31,8,22,24,5,22,8,6,25,6,25,31,0,31,0,31,0,23,9,31,0,0,31,0,6,16,23,21,13,22,9,8,7,24,17,14,22,10,23,9,22,9,7,24,22,8,17,10,17,14,7,14,21,9,12,18,14,16,17,12,31,0,0,31,13,18,19,13,17,15,13,18,0,31,16,14,16,12,18,12,13,14,5.0
31,0,30,20,9,30,0,10,21,10,21,31,0,31,0,31,0,31,1,31,0,0,31,0,0,6,31,18,23,19,12,11,0,31,7,24,19,13,20,12,19,12,0,31,19,11,7,13,7,24,0,24,18,12,2,28,6,24,11,18,31,0,0,31,19,12,29,3,25,7,19,12,0,31,24,6,24,2,28,2,19,6,2.0
31,3,27,31,0,28,4,0,31,0,31,31,0,31,0,31,0,27,3,31,0,0,31,0,10,20,19,21,10,22,9,8,10,20,21,10,22,10,23,9,22,9,11,20,22,8,21,10,20,10,11,11,21,9,3,27,14,13,31,0,31,0,0,31,0,31,28,4,15,16,0,31,0,31,15,16,15,3,27,3,0,16,3.0
31,0,30,20,9,30,0,10,21,10,21,31,0,31,0,31,0,31,1,31,0,0,31,0,5,10,24,21,19,22,9,8,6,25,11,20,22,10,23,9,22,9,6,25,22,8,11,10,11,20,6,20,21,9,8,22,12,18,17,13,31,0,0,31,13,17,23,9,19,13,14,18,0,31,18,12,18,8,22,8,13,12,4.0
31,0,31,15,14,31,0,15,16,15,16,31,0,31,0,31,0,31,0,31,0,0,31,0,1,11,28,24,17,25,6,5,2,29,13,19,25,7,26,6,25,6,2,29,25,5,13,7,12,18,2,19,24,6,8,22,13,17,23,6,31,0,0,31,7,24,23,9,18,14,7,24,0,31,17,13,17,8,22,8,7,13,4.0
31,3,25,31,0,26,4,0,31,0,31,31,0,31,0,31,0,27,5,31,0,0,31,0,8,15,21,22,14,23,8,7,9,22,16,15,23,9,24,8,23,8,9,22,23,7,16,9,16,15,9,15,22,8,12,18,16,14,19,11,31,0,0,31,11,19,19,13,15,17,12,20,0,31,14,16,14,12,18,12,11,16,5.0
23,31,0,31,0,0,31,0,31,0,31,31,7,23,7,24,8,0,31,31,0,0,31,0,0,28,31,31,2,31,0,0,0,31,28,2,31,0,31,0,31,0,0,31,31,0,28,0,29,3,0,2,31,0,10,20,12,18,13,17,16,13,14,17,18,14,20,10,18,12,17,13,14,17,19,13,19,11,21,11,18,13,1.0
27,8,22,31,0,23,9,0,31,0,31,31,3,27,3,28,4,22,8,31,0,0,31,0,0,22,31,31,7,31,0,0,0,31,23,8,31,0,31,0,31,0,0,31,31,0,23,0,23,8,0,8,31,0,13,17,14,16,16,14,21,8,9,22,15,17,17,13,16,14,14,16,9,22,17,15,17,14,18,14,15,15,3.0
27,11,18,31,0,19,12,0,31,0,31,31,2,28,3,28,3,19,12,31,0,0,31,0,13,18,16,26,11,26,4,4,14,17,19,12,26,5,27,4,27,5,14,17,26,4,19,5,19,12,14,12,26,4,13,17,21,8,31,0,31,0,0,31,0,31,18,14,9,22,0,31,0,31,9,22,9,13,17,13,0,22,4.0
28,14,16,31,0,17,15,0,31,0,31,31,1,29,2,29,2,16,14,31,0,0,31,0,13,18,17,31,11,31,0,0,13,17,19,12,31,0,31,0,31,0,14,18,31,0,19,0,19,12,13,12,31,0,20,9,29,1,29,1,30,0,1,31,1,30,10,21,1,29,1,29,0,30,2,29,2,21,10,21,2,30,3.0
22,19,11,31,0,12,20,0,31,0,31,31,7,23,8,23,8,11,19,31,0,0,31,0,14,29,15,29,1,30,1,0,15,16,29,2,30,1,31,1,30,1,15,16,30,0,30,2,29,1,15,2,29,1,18,12,24,5,31,0,31,0,0,31,0,31,13,19,6,25,0,31,0,31,6,25,6,18,12,18,0,25,3.0
31,5,25,16,13,26,6,14,17,14,17,31,0,31,0,31,0,25,5,31,0,0,31,0,2,16,27,27,12,28,3,2,3,28,18,14,28,4,29,3,28,3,3,28,28,2,18,4,17,13,3,14,27,3,12,18,17,12,31,0,31,0,0,31,0,31,19,13,13,18,0,31,0,31,13,18,13,12,18,12,0,18,4.0
31,2,28,31,0,29,3,0,31,0,31,31,0,31,0,31,0,28,2,31,0,0,31,0,7,19,22,20,11,21,10,9,8,23,20,12,21,11,22,10,21,10,8,23,21,9,20,11,19,11,8,12,20,10,6,24,10,20,27,2,31,0,0,31,3,28,25,7,21,11,3,28,0,31,20,10,20,6,24,6,3,10,3.0
27,18,12,31,0,13,19,0,31,0,31,31,3,27,3,28,4,12,18,31,0,0,31,0,7,27,23,31,2,31,0,0,7,23,28,3,31,0,31,0,31,0,8,24,31,0,28,0,28,3,7,3,31,0,17,12,24,6,25,5,26,4,5,27,6,26,13,18,6,24,5,25,4,26,7,25,7,18,13,18,6,25,5.0
31,6,24,20,8,24,6,9,21,10,22,31,0,31,0,31,0,25,7,31,0,0,31,0,6,11,23,13,18,17,17,12,7,24,12,19,14,18,18,13,14,13,7,24,18,13,12,18,12,19,7,19,13,17,0,31,0,30,28,1,31,0,0,31,2,29,31,0,31,1,2,29,0,31,30,0,30,0,31,0,2,0,4.0
25,8,22,31,0,23,9,0,31,0,31,31,5,25,5,26,6,22,8,31,0,0,31,0,14,25,15,26,5,26,4,4,15,16,26,6,26,5,27,4,27,5,15,16,26,4,26,5,25,5,15,6,26,4,17,13,20,9,28,1,31,0,0,31,2,29,14,18,10,21,2,29,0,31,10,21,10,17,13,17,2,21,1.0
31,0,31,27,2,31,0,3,28,3,28,31,0,31,0,31,0,31,0,31,0,0,31,0,7,16,22,17,14,17,13,13,8,23,17,15,17,14,18,13,18,14,8,23,17,13,17,14,16,14,8,15,17,13,3,27,10,19,31,0,31,0,0,31,0,31,28,4,20,11,0,31,0,31,20,11,20,3,27,3,0,11,6.0
31,11,17,31,0,19,13,0,31,0,31,31,0,31,0,31,0,18,12,31,0,0,31,0,9,28,18,29,2,30,1,0,11,20,29,3,30,2,31,1,30,1,11,20,30,0,29,2,28,2,11,3,29,1,13,17,17,13,24,5,31,0,0,31,6,25,18,14,14,18,6,25,0,31,13,17,13,13,17,13,6,17,4.0
31,7,22,31,0,23,8,0,31,0,31,31,0,31,0,31,0,23,8,31,0,0,31,0,0,17,31,31,12,31,0,0,0,31,18,13,31,0,31,0,31,0,0,31,31,0,18,0,18,13,0,13,31,0,12,18,14,16,16,14,27,2,3,28,15,17,18,12,16,14,14,16,3,28,17,15,17,13,19,13,15,15,3.0
31,0,31,18,11,31,0,12,19,12,19,31,0,31,0,31,0,31,0,31,0,0,31,0,4,18,25,19,12,20,11,10,5,26,19,13,20,12,21,11,20,11,5,26,20,10,19,12,18,12,5,13,19,11,12,18,15,15,18,12,31,0,0,31,12,18,19,13,16,16,13,19,0,31,15,15,15,12,18,12,12,15,2.0
13,23,7,30,0,8,24,1,31,0,30,31,17,13,17,14,18,7,23,31,0,0,31,0,17,18,13,19,12,20,11,10,18,14,19,13,20,12,21,11,20,11,17,13,20,10,19,12,18,12,18,13,19,11,9,21,12,18,18,11,24,5,6,25,12,19,22,10,19,13,12,19,6,25,18,12,18,9,21,9,12,12,2.0
31,6,22,25,5,24,8,6,26,5,25,31,0,31,0,31,0,23,7,31,0,0,31,0,17,19,13,19,11,20,11,10,18,14,19,12,20,11,21,11,20,11,17,13,20,10,20,12,19,11,18,12,19,11,11,19,17,12,25,4,31,0,0,31,5,26,20,12,13,18,5,26,0,31,13,18,13,11,19,11,5,18,6.0
31,0,31,15,13,31,0,14,16,15,17,31,0,31,0,31,0,31,0,31,0,0,31,0,0,10,31,21,18,23,9,7,0,31,12,20,22,10,24,8,22,8,0,31,23,7,12,10,11,19,0,20,21,9,14,16,17,13,19,11,26,3,4,27,11,19,17,15,14,18,12,20,4,27,13,17,13,14,16,14,11,17,3.0
31,7,23,31,0,24,8,0,31,0,31,31,0,31,0,31,0,23,7,31,0,0,31,0,6,20,23,21,10,21,9,9,7,24,21,11,21,10,22,9,22,10,7,24,21,9,21,10,20,10,7,11,21,9,5,25,11,19,22,5,31,0,0,31,7,24,26,6,20,12,7,24,0,31,19,11,19,5,25,5,7,11,6.0
31,0,31,19,10,31,0,11,20,11,20,31,0,31,0,31,0,31,0,31,0,0,31,0,0,6,31,19,22,20,11,10,0,31,8,24,20,12,21,11,20,11,0,31,20,10,8,12,7,23,0,24,19,11,3,27,6,24,15,14,31,0,0,31,15,16,28,4,25,7,15,16,0,31,24,6,24,3,27,3,15,6,2.0
23,18,11,28,1,12,19,2,29,2,29,31,6,24,7,24,7,12,19,31,0,0,31,0,15,17,15,18,13,19,12,11,16,16,18,14,19,13,20,12,19,12,15,15,19,11,18,13,17,13,16,14,18,12,10,20,13,17,16,11,31,0,0,31,13,18,21,11,18,14,13,18,0,31,17,13,17,10,20,10,13,13,7.0
31,9,21,21,9,22,10,10,22,9,21,31,0,31,0,31,0,21,9,31,0,0,31,0,5,25,23,31,3,31,0,0,7,25,27,5,31,0,31,0,31,0,6,24,31,0,27,0,26,4,7,5,31,0,15,14,22,8,31,0,31,0,0,31,0,31,15,16,9,23,0,31,0,31,8,22,8,16,15,16,0,22,4.0
31,3,27,31,0,28,4,0,31,0,31,31,0,31,0,31,0,27,3,31,0,0,31,0,10,19,19,20,11,21,10,9,11,20,20,12,21,11,22,10,21,10,11,20,21,9,20,11,19,11,11,12,20,10,2,28,17,12,31,0,31,0,0,31,0,31,29,3,13,18,0,31,0,31,13,18,13,2,28,2,0,18,2.0
19,29,0,31,0,1,30,0,31,0,31,31,10,20,11,20,11,1,30,31,0,0,31,0,16,22,13,23,8,24,7,6,17,14,23,9,24,8,25,7,24,7,17,14,24,6,23,8,22,8,17,9,23,7,13,17,15,14,22,7,31,0,0,31,8,23,18,14,15,16,8,23,0,31,15,16,15,13,17,13,8,16,5.0
31,9,21,31,0,21,9,0,31,0,31,31,0,31,0,31,0,22,10,31,0,0,31,0,0,8,31,16,21,17,14,13,0,31,9,22,17,15,18,14,17,14,0,31,17,13,9,15,9,22,0,22,16,14,0,30,2,28,5,25,31,0,0,31,25,5,31,1,29,3,26,6,0,31,28,2,28,0,30,0,25,2,2.0
31,3,26,15,14,27,4,15,16,15,16,31,0,31,0,31,0,27,4,31,0,0,31,0,5,11,24,20,18,21,10,9,6,25,12,19,21,11,22,10,21,10,6,25,21,9,12,11,12,19,6,19,20,10,6,24,9,21,28,1,31,0,0,31,2,29,25,7,22,10,2,29,0,31,21,9,21,6,24,6,2,9,2.0
31,10,20,31,0,20,10,0,31,0,31,31,0,31,0,31,0,21,11,31,0,0,31,0,5,17,24,22,12,23,8,7,6,25,18,13,23,9,24,8,23,8,6,25,23,7,18,9,18,13,6,13,22,8,11,19,13,17,15,15,25,4,5,26,15,15,20,12,18,14,16,16,5,26,17,13,17,11,19,11,15,13,4.0
26,7,23,23,7,23,7,7,23,8,24,30,4,27,5,26,4,24,8,31,1,0,30,0,0,0,31,0,31,13,31,17,0,31,0,31,0,31,13,17,0,17,0,31,14,18,0,31,0,31,0,31,0,31,2,28,6,23,9,20,15,14,15,16,21,10,28,2,24,7,21,10,15,16,24,7,24,3,29,3,21,7,1.0
31,4,26,20,9,26,4,10,21,10,21,31,0,31,0,31,0,27,5,31,0,0,31,0,3,11,26,21,18,23,9,7,4,27,12,19,22,10,24,8,22,8,4,27,23,7,12,10,12,19,4,19,21,9,13,17,15,15,18,12,31,0,0,31,12,18,18,14,16,16,13,19,0,31,15,15,15,13,17,13,12,15,4.0
31,8,20,31,0,21,9,0,31,0,31,31,0,31,0,31,0,22,10,31,0,0,31,0,11,16,18,20,13,21,10,9,12,19,17,14,21,11,22,10,21,10,12,19,21,9,17,11,17,14,12,14,20,10,7,23,16,13,31,0,31,0,0,31,0,31,24,8,14,17,0,31,0,31,14,17,14,7,23,7,0,17,4.0
31,7,22,31,0,23,8,0,31,0,31,31,0,31,0,31,0,23,8,31,0,0,31,0,10,15,19,16,15,17,14,13,11,20,16,16,17,15,18,14,17,14,11,20,17,13,16,15,15,15,11,16,16,14,6,24,9,21,13,16,31,0,0,31,17,14,25,7,22,10,17,14,0,31,21,9,21,6,24,6,17,9,7.0
31,4,26,21,8,27,5,9,22,9,22,31,0,31,0,31,0,26,4,31,0,0,31,0,7,20,22,21,10,22,9,8,8,23,21,11,22,10,23,9,22,9,8,23,22,8,21,10,20,10,8,11,21,9,8,22,12,17,24,5,31,0,0,31,6,25,23,9,18,13,6,25,0,31,18,13,18,8,22,8,6,13,4.0
31,15,12,31,0,14,17,0,31,0,31,31,0,31,0,31,0,14,17,31,0,0,31,0,17,18,13,19,12,20,11,10,18,14,19,13,20,12,21,11,20,11,17,13,20,10,19,12,18,12,18,13,19,11,13,17,15,15,19,10,31,0,0,31,11,20,18,14,16,16,11,20,0,31,15,15,15,13,17,13,11,15,7.0
31,0,31,25,4,31,0,5,26,5,26,31,0,31,0,31,0,31,0,31,0,0,31,0,0,3,31,31,27,31,0,0,0,31,3,27,31,0,31,0,31,0,0,31,31,0,3,0,4,28,0,27,31,0,15,15,17,13,18,12,22,7,8,23,13,19,15,15,13,17,12,18,8,23,14,18,14,16,16,16,13,18,3.0
31,7,23,31,0,24,8,0,31,0,31,31,0,31,0,31,0,23,7,31,0,0,31,0,10,23,19,24,7,25,6,5,11,20,24,8,25,7,26,6,25,6,11,20,25,5,24,7,23,7,11,8,24,6,14,16,18,12,21,8,31,0,0,31,9,22,17,15,13,19,9,22,0,31,12,18,12,14,16,14,9,18,7.0
31,10,18,25,5,20,12,6,26,5,25,31,0,31,0,31,0,19,11,31,0,0,31,0,7,31,22,31,0,31,0,0,8,23,31,0,31,0,31,0,31,0,8,23,31,0,31,0,31,0,8,0,31,0,19,10,23,6,27,3,28,2,3,29,4,28,11,20,7,24,3,27,2,28,7,24,7,20,11,20,4,24,6.0
31,0,29,15,14,30,1,15,16,15,16,31,0,31,0,31,0,30,1,31,0,0,31,0,5,20,24,21,10,21,9,9,6,25,21,11,21,10,22,9,22,10,6,25,21,9,21,10,20,10,6,11,21,9,8,22,15,14,31,0,31,0,0,31,0,31,23,9,15,16,0,31,0,31,15,16,15,8,22,8,0,16,6.0
31,0,31,16,12,31,0,13,17,14,18,31,0,31,0,31,0,31,0,31,0,0,31,0,0,0,31,5,30,31,25,0,0,31,1,31,6,26,31,0,6,0,0,31,31,0,1,26,0,30,0,31,5,25,7,23,11,18,16,13,23,6,7,24,14,17,23,7,19,12,14,17,7,24,19,12,19,8,24,8,14,12,2.0
25,19,10,31,0,11,20,0,31,0,31,31,4,26,5,26,5,11,20,31,0,0,31,0,13,24,16,26,5,27,4,3,14,17,24,6,27,4,28,4,27,4,14,17,27,3,25,5,25,6,14,6,26,4,19,11,22,8,31,0,31,0,0,31,0,31,12,20,9,23,0,31,0,31,8,22,8,19,11,19,0,22,1.0
22,17,12,31,0,13,18,0,31,0,31,31,7,23,8,23,8,13,18,31,0,0,31,0,15,21,14,21,9,22,9,8,16,15,21,10,22,9,23,9,22,9,16,15,22,8,22,10,21,9,16,10,21,9,13,17,16,13,25,4,31,0,0,31,5,26,18,14,14,17,5,26,0,31,14,17,14,13,17,13,5,17,6.0
31,0,31,31,0,31,0,0,31,0,31,31,0,31,0,31,0,31,0,31,0,0,31,0,5,16,24,17,14,18,13,12,6,25,17,15,18,14,19,13,18,13,6,25,18,12,17,14,16,14,6,15,17,13,1,29,7,23,31,0,31,0,0,31,0,31,30,2,24,8,0,31,0,31,23,7,23,1,29,1,0,7,5.0
31,7,22,24,5,23,8,6,25,6,25,31,0,31,0,31,0,23,8,31,0,0,31,0,9,15,20,21,14,22,9,8,10,21,16,15,22,10,23,9,22,9,10,21,22,8,16,10,16,15,10,15,21,9,7,23,13,16,31,0,31,0,0,31,0,31,24,8,17,14,0,31,0,31,17,14,17,7,23,7,0,14,6.0
31,0,31,21,8,31,0,9,22,9,22,31,0,31,0,31,0,31,0,31,0,0,31,0,4,18,25,19,12,20,11,10,5,26,19,13,20,12,21,11,20,11,5,26,20,10,19,12,18,12,5,13,19,11,6,24,12,17,21,8,31,0,0,31,9,22,25,7,18,13,9,22,0,31,18,13,18,6,24,6,9,13,2.0
31,10,20,26,3,20,10,4,27,4,27,31,0,31,0,31,0,21,11,31,0,0,31,0,7,14,22,20,15,21,10,9,8,23,15,16,21,11,22,10,21,10,8,23,21,9,15,11,15,16,8,16,20,10,6,24,8,22,16,13,31,0,0,31,14,17,25,7,23,9,14,17,0,31,22,8,22,6,24,6,14,8,3.0
31,3,27,22,7,27,3,8,23,8,23,31,0,31,0,31,0,28,4,31,0,0,31,0,3,8,26,13,21,14,17,16,4,27,9,22,14,18,15,17,14,17,4,27,14,16,9,18,9,22,4,22,13,17,0,31,4,26,11,19,31,0,0,31,19,11,31,0,27,5,20,12,0,31,26,4,26,0,31,0,19,4,4.0
31,7,23,22,7,23,7,8,23,8,23,31,0,31,0,31,0,24,8,31,0,0,31,0,6,13,23,19,16,20,11,10,7,24,14,17,20,12,21,11,20,11,7,24,20,10,14,12,14,17,7,17,19,11,9,21,12,18,15,14,31,0,0,31,15,16,22,10,19,13,15,16,0,31,18,12,18,9,21,9,15,12,5.0
31,4,26,26,3,26,4,4,27,4,27,31,0,31,0,31,0,27,5,31,0,0,31,0,7,15,22,18,14,19,12,11,8,23,16,15,19,13,20,12,19,12,8,23,19,11,16,13,16,15,8,15,18,12,10,20,13,17,16,14,31,0,0,31,14,16,21,11,18,14,15,17,0,31,17,13,17,10,20,10,14,13,4.0
28,16,14,31,0,15,17,0,31,0,31,31,1,29,2,29,2,14,16,31,0,0,31,0,12,31,18,31,0,31,0,0,12,18,31,0,31,0,31,0,31,0,13,19,31,0,31,0,31,0,12,0,31,0,20,9,27,1,30,0,31,0,0,31,1,31,10,21,2,28,0,30,0,31,3,29,3,21,10,21,1,29,3.0
31,6,24,24,5,24,6,6,25,6,25,31,0,31,0,31,0,25,7,31,0,0,31,0,9,15,20,19,14,20,11,10,10,21,16,15,20,12,21,11,20,11,10,21,20,10,16,12,16,15,10,15,19,11,4,26,13,16,31,0,31,0,0,31,0,31,27,5,17,14,0,31,0,31,17,14,17,4,26,4,0,14,5.0
27,6,24,31,0,25,7,0,31,0,31,31,3,27,3,28,4,24,6,31,0,0,31,0,11,25,18,25,5,26,5,4,12,19,25,6,26,5,27,5,26,5,12,19,26,4,26,6,25,5,12,6,25,5,17,13,22,7,31,0,31,0,0,31,0,31,14,18,8,23,0,31,0,31,8,23,8,17,13,17,0,23,1.0
31,21,8,31,0,9,22,0,31,0,31,31,0,31,0,31,0,9,22,31,0,0,31,0,15,20,14,21,10,22,9,8,16,15,21,11,22,10,23,9,22,9,16,15,22,8,21,10,20,10,16,11,21,9,12,18,14,16,17,12,31,0,0,31,13,18,19,13,17,15,13,18,0,31,16,14,16,12,18,12,13,14,7.0
31,17,12,30,0,13,18,1,31,0,30,31,0,31,0,31,0,13,18,31,0,0,31,0,13,15,17,15,15,17,15,13,14,18,15,16,16,15,18,14,16,14,13,17,17,13,16,16,15,15,14,16,15,15,7,23,12,18,17,10,31,0,0,31,12,19,24,8,19,13,12,19,0,31,18,12,18,7,23,7,12,12,5.0
31,2,28,31,0,29,3,0,31,0,31,31,0,31,0,31,0,28,2,31,0,0,31,0,11,18,18,19,12,20,11,10,12,19,19,13,20,12,21,11,20,11,12,19,20,10,19,12,18,12,12,13,19,11,8,22,21,6,31,0,31,0,0,31,0,31,23,9,8,23,0,31,0,31,8,23,8,8,22,8,0,23,4.0
