@relation 'Sax dominant'

@attribute o1atMaa numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atLee numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute destClass {1,2}

@data
22,39,68,46,53,79,46,13,25,71,40,55,48,47,81,15,48,15,24,70,80,14,47,47,40,54,41,48,41,15,25,15,25,55,25,48,40,47,24,54,47,14,2.0
24,31,68,43,61,79,47,11,26,70,32,63,45,49,82,13,46,13,25,69,81,13,45,49,32,62,32,50,33,14,26,14,26,63,26,50,32,49,25,62,45,13,1.0
21,32,71,38,60,83,54,9,23,73,33,62,39,55,85,10,40,10,22,72,84,10,39,55,33,61,33,56,34,11,23,11,23,62,23,56,33,55,22,61,39,10,1.0
24,34,68,42,58,79,48,13,26,70,35,60,44,50,81,14,45,14,25,69,80,14,44,50,35,59,35,51,36,15,26,15,26,60,26,51,35,50,25,59,44,14,2.0
21,31,71,38,61,78,54,12,23,73,32,63,39,55,81,14,40,14,22,72,80,14,39,55,32,62,32,56,33,15,23,15,23,63,23,56,32,55,22,62,39,14,1.0
14,41,78,57,49,80,33,14,15,80,43,51,60,35,81,15,60,15,15,79,80,14,59,35,43,51,44,35,44,15,16,15,15,52,16,36,43,35,15,51,59,14,2.0
20,39,72,55,53,72,35,20,22,74,41,55,57,38,74,21,58,22,21,73,73,21,57,37,40,54,41,38,41,22,22,22,22,55,22,38,40,37,21,54,57,21,1.0
20,35,72,58,55,75,32,17,21,74,38,57,60,35,77,18,61,19,21,73,76,18,60,34,37,57,38,35,38,19,22,19,22,58,22,35,37,34,21,57,60,18,1.0
25,32,67,46,62,79,44,13,27,69,33,63,48,47,81,14,49,15,26,68,80,14,48,46,32,62,33,47,33,15,27,15,27,63,27,47,32,46,26,62,48,14,2.0
28,32,66,42,60,86,50,6,29,67,33,62,43,51,88,7,44,7,28,66,87,7,43,51,33,61,33,52,34,8,29,8,29,62,29,52,33,51,28,61,43,7,1.0
28,32,66,42,60,79,50,11,29,67,33,62,43,51,82,13,44,13,28,66,81,13,43,51,33,61,33,52,34,14,29,14,29,62,29,52,33,51,28,61,43,13,1.0
24,34,68,49,58,76,41,16,26,70,35,60,51,43,78,17,52,17,25,69,77,17,51,43,35,59,35,44,36,18,26,18,26,60,26,44,35,43,25,59,51,17,2.0
28,31,66,38,61,79,54,11,29,67,32,63,39,55,82,13,40,13,28,66,81,13,39,55,32,62,32,56,33,14,29,14,29,63,29,56,32,55,28,62,39,13,1.0
24,34,68,52,58,79,38,13,26,70,35,60,54,40,81,14,55,14,25,69,80,14,54,40,35,59,35,41,36,15,26,15,26,60,26,41,35,40,25,59,54,14,1.0
24,31,68,42,61,78,46,12,26,70,32,63,45,49,81,14,46,14,25,69,80,14,45,49,32,62,32,50,33,15,26,15,26,63,26,50,32,49,25,62,45,14,1.0
17,37,75,59,53,71,31,19,19,77,39,56,60,33,74,20,62,22,18,76,73,21,61,33,39,55,40,34,40,22,19,22,19,56,19,34,39,33,18,55,61,21,1.0
21,34,71,40,58,74,50,16,23,73,34,60,42,51,77,18,43,18,22,72,76,18,42,52,35,59,35,53,36,19,23,19,23,60,23,53,35,52,22,59,42,18,1.0
20,35,72,54,57,78,38,14,22,74,37,59,55,40,80,15,56,16,21,73,79,15,55,39,36,58,37,40,37,16,22,16,22,59,22,40,36,39,21,58,55,15,2.0
24,32,68,49,62,79,41,13,26,70,33,63,51,44,81,14,52,15,25,69,80,14,51,43,32,62,33,44,33,15,26,15,26,63,26,44,32,43,25,62,51,14,2.0
21,34,71,41,58,78,49,12,23,73,35,60,43,51,81,14,44,14,22,72,80,14,43,51,35,59,35,52,36,15,23,15,23,60,23,52,35,51,22,59,43,14,1.0
28,35,66,41,57,86,51,6,29,67,35,59,42,51,88,7,43,7,28,66,87,7,42,52,36,58,36,53,37,8,29,8,29,59,29,53,36,52,28,58,42,7,1.0
10,50,82,64,40,76,28,18,11,84,53,42,66,30,77,19,66,19,11,83,76,18,65,29,52,42,53,30,53,19,12,19,12,43,12,30,52,29,11,42,65,18,2.0
24,32,68,50,62,79,42,13,26,70,33,63,51,44,81,14,52,15,25,69,80,14,51,43,32,62,33,44,33,15,26,15,26,63,26,44,32,43,25,62,51,14,2.0
17,39,75,55,53,78,35,14,19,77,41,55,57,38,80,15,58,16,18,76,79,15,57,37,40,54,41,38,41,16,19,16,19,55,19,38,40,37,18,54,57,15,1.0
21,28,71,65,64,76,25,16,22,73,30,65,67,28,78,17,68,18,22,72,77,17,67,27,29,65,30,28,30,18,23,18,23,66,23,28,29,27,22,65,67,17,2.0
25,32,67,49,62,76,41,16,27,69,33,63,51,44,78,17,52,18,26,68,77,17,51,43,32,62,33,44,33,18,27,18,27,63,27,44,32,43,26,62,51,17,2.0
28,32,66,42,60,87,50,5,29,67,33,62,43,51,89,6,44,6,28,66,88,6,43,51,33,61,33,52,34,7,29,7,29,62,29,52,33,51,28,61,43,6,1.0
20,27,72,69,65,79,21,13,21,74,29,66,71,24,81,14,72,15,21,73,80,14,71,23,28,66,29,24,29,15,22,15,22,67,22,24,28,23,21,66,71,14,2.0
25,34,69,41,58,75,49,15,26,70,35,60,43,51,78,17,44,17,25,69,77,17,43,51,35,59,35,52,36,18,26,18,26,60,26,52,35,51,25,59,43,17,1.0
24,34,68,44,58,80,46,12,26,70,35,60,46,48,82,13,47,13,25,69,81,13,46,48,35,59,35,49,36,14,26,14,26,60,26,49,35,48,25,59,46,13,2.0
17,45,75,59,47,75,31,17,19,77,47,49,60,34,77,17,62,19,18,76,76,18,61,33,46,48,47,34,47,19,19,19,19,49,19,34,46,33,18,48,61,18,1.0
21,32,71,48,60,75,42,15,23,73,33,62,50,44,78,17,51,17,22,72,77,17,50,44,33,61,33,45,34,18,23,18,23,62,23,45,33,44,22,61,50,17,1.0
24,34,68,48,58,82,42,10,26,70,35,60,50,44,84,11,51,11,25,69,83,11,50,44,35,59,35,45,36,12,26,12,26,60,26,45,35,44,25,59,50,11,2.0
24,28,68,62,64,79,28,13,24,70,30,64,64,31,81,14,65,15,25,69,80,14,64,30,29,65,30,31,30,15,26,15,26,66,26,31,29,30,25,65,64,14,2.0
25,32,69,39,60,82,53,10,26,70,33,62,40,54,84,11,41,11,25,69,83,11,40,54,33,61,33,55,34,12,26,12,26,62,26,55,33,54,25,61,40,11,1.0
24,32,68,53,62,75,39,17,26,70,33,63,53,41,77,17,55,19,25,69,76,18,54,40,32,62,33,41,33,19,26,19,26,63,26,41,32,40,25,62,54,18,2.0
10,42,82,67,48,76,25,18,11,84,45,50,68,27,77,18,69,19,11,83,76,18,68,26,44,50,45,27,45,19,12,19,12,51,12,27,44,26,11,50,68,18,2.0
25,32,67,47,62,79,45,13,27,69,33,63,48,47,81,14,49,15,26,68,80,14,48,46,32,62,33,47,33,15,27,15,27,63,27,47,32,46,26,62,48,14,2.0
17,35,73,57,53,82,33,10,19,76,38,56,60,35,84,12,60,12,19,75,83,11,59,35,38,56,39,35,39,12,20,12,19,57,20,36,38,35,19,56,59,11,2.0
17,45,75,60,47,71,30,19,19,77,47,49,61,33,74,20,63,22,18,76,73,21,62,32,46,48,47,33,47,22,19,22,19,49,19,33,46,32,18,48,62,21,1.0
25,34,69,38,58,81,54,9,26,70,34,60,39,54,84,11,40,11,25,69,83,11,39,55,35,59,35,56,36,12,26,12,26,60,26,56,35,55,25,59,39,11,1.0
21,29,71,59,63,67,31,23,22,73,31,64,60,34,70,24,62,26,22,72,69,25,61,33,30,64,31,34,31,26,23,26,23,65,23,34,30,33,22,64,61,25,2.0
21,32,71,48,62,79,42,13,23,73,32,63,50,44,81,14,51,15,22,72,80,14,50,44,32,62,33,45,33,15,23,15,23,63,23,45,32,44,22,62,50,14,2.0
21,27,71,64,65,76,26,16,22,73,29,66,66,29,78,17,67,18,22,72,77,17,66,28,28,66,29,29,29,18,23,18,23,67,23,29,28,28,22,66,66,17,2.0
17,33,75,58,57,71,32,19,19,77,36,60,60,35,74,21,61,22,18,76,73,21,60,34,35,59,36,35,36,22,19,22,19,60,19,35,35,34,18,59,60,21,1.0
24,32,68,43,60,79,47,13,26,70,33,62,45,49,81,14,46,14,25,69,80,14,45,49,33,61,33,50,34,15,26,15,26,62,26,50,33,49,25,61,45,14,2.0
24,29,68,53,65,79,39,13,26,70,30,66,54,41,81,14,55,15,25,69,80,14,54,40,29,65,30,41,30,15,26,15,26,66,26,41,29,40,25,65,54,14,2.0
28,32,66,43,60,87,49,5,29,67,33,62,44,50,89,6,45,6,28,66,88,6,44,50,33,61,33,51,34,7,29,7,29,62,29,51,33,50,28,61,44,6,1.0
17,41,75,59,49,72,31,20,18,77,44,51,60,34,74,20,62,22,18,76,73,21,61,33,43,51,44,34,44,22,19,22,19,52,19,34,43,33,18,51,61,21,1.0
6,49,86,68,41,76,22,16,7,88,51,43,69,24,78,16,71,17,7,87,77,17,70,24,51,43,51,24,52,17,8,18,7,44,7,25,51,24,7,43,70,17,2.0
24,32,68,50,62,75,42,17,26,70,33,63,50,44,77,17,52,19,25,69,76,18,51,43,32,62,33,44,33,19,26,19,26,63,26,44,32,43,25,62,51,18,2.0
25,32,69,41,60,83,51,9,26,70,33,62,42,52,85,10,43,10,25,69,84,10,42,52,33,61,33,53,34,11,26,11,26,62,26,53,33,52,25,61,42,10,1.0
28,31,66,41,61,72,49,18,29,67,32,63,43,51,75,20,44,20,28,66,74,20,43,51,32,62,32,52,33,21,29,21,29,63,29,52,32,51,28,62,43,20,1.0
17,35,75,48,57,78,42,12,19,77,36,59,50,44,81,14,51,15,18,76,80,14,50,44,36,58,37,45,37,15,19,15,19,59,19,45,36,44,18,58,50,14,2.0
28,32,66,40,60,79,50,13,29,67,33,62,42,52,81,14,43,14,28,66,80,14,42,52,33,61,33,53,34,15,29,15,29,62,29,53,33,52,28,61,42,14,1.0
25,33,67,52,61,76,38,16,27,69,34,62,53,41,78,16,55,18,26,68,77,17,54,40,33,61,34,41,34,18,27,18,27,62,27,41,33,40,26,61,54,17,2.0
7,45,85,56,45,80,34,14,8,87,46,47,58,35,81,14,59,15,8,86,80,14,58,36,47,47,48,36,48,15,9,15,8,48,9,37,47,36,8,47,58,14,2.0
15,45,75,59,45,76,31,16,17,78,47,47,62,33,78,18,62,18,17,77,77,17,61,33,47,47,48,33,48,18,18,18,17,48,18,34,47,33,17,47,61,17,2.0
28,32,66,38,62,79,52,13,29,67,33,63,40,55,81,14,41,15,28,66,80,14,40,54,32,62,33,55,33,15,29,15,29,63,29,55,32,54,28,62,40,14,2.0
29,32,65,50,62,79,42,11,30,66,33,63,51,44,82,13,52,14,29,65,81,13,51,43,32,62,33,44,33,14,30,14,30,63,30,44,32,43,29,62,51,13,2.0
11,51,79,61,39,78,31,14,13,82,53,41,63,32,80,16,63,16,13,81,79,15,62,32,53,41,54,33,54,16,14,16,14,42,14,33,53,32,13,41,62,15,2.0
24,34,68,51,58,76,39,16,26,70,34,60,53,40,78,17,54,17,25,69,77,17,53,41,35,59,35,42,36,18,26,18,26,60,26,42,35,41,25,59,53,17,2.0
25,31,69,39,61,83,53,9,26,70,32,63,40,54,85,10,41,10,25,69,84,10,40,54,32,62,32,55,33,11,26,11,26,63,26,55,32,54,25,62,40,10,1.0
25,32,67,53,62,79,39,13,27,69,33,63,53,41,81,13,55,15,26,68,80,14,54,40,32,62,33,41,33,15,27,15,27,63,27,41,32,40,26,62,54,14,2.0
21,31,71,61,59,80,31,14,22,73,34,61,63,33,81,15,63,15,22,72,80,14,62,32,33,61,34,33,34,15,23,15,23,62,23,33,33,32,22,61,62,14,2.0
24,31,68,41,61,79,49,13,26,70,32,63,43,51,81,14,44,14,25,69,80,14,43,51,32,62,32,52,33,15,26,15,26,63,26,52,32,51,25,62,43,14,2.0
24,34,68,52,58,75,40,15,26,70,35,60,53,41,78,17,54,17,25,69,77,17,53,41,35,59,35,42,36,18,26,18,26,60,26,42,35,41,25,59,53,17,2.0
10,38,82,58,52,80,32,14,11,84,40,54,61,34,81,15,61,15,11,83,80,14,60,34,40,54,41,34,41,15,12,15,11,55,12,35,40,34,11,54,60,14,2.0
24,34,68,42,58,91,50,3,26,70,35,60,43,51,92,3,44,3,25,69,91,3,43,51,35,59,35,52,36,4,26,4,26,60,26,52,35,51,25,59,43,3,2.0
20,36,70,46,56,78,46,10,23,73,37,58,48,47,82,14,48,14,22,72,81,13,47,47,37,57,38,48,38,14,23,14,23,58,23,48,37,47,22,57,47,13,2.0
24,34,68,40,58,86,50,6,26,70,34,60,42,51,88,7,43,7,25,69,87,7,42,52,35,59,35,53,36,8,26,8,26,60,26,53,35,52,25,59,42,7,1.0
24,38,68,42,54,83,50,7,26,70,38,56,43,50,86,9,44,9,25,69,85,9,43,51,39,55,39,52,40,10,26,10,26,56,26,52,39,51,25,55,43,9,1.0
18,30,74,67,60,76,23,16,19,76,32,62,69,25,78,17,70,18,19,75,77,17,69,25,32,62,33,26,33,18,20,18,20,63,20,26,32,25,19,62,69,17,2.0
25,35,69,42,57,91,50,3,26,70,36,59,43,51,92,3,44,3,25,69,91,3,43,51,36,58,36,52,37,4,26,4,26,59,26,52,36,51,25,58,43,3,1.0
28,31,66,38,61,91,54,3,29,67,32,63,39,55,92,3,40,3,28,66,91,3,39,55,32,62,32,56,33,4,29,4,29,63,29,56,32,55,28,62,39,3,1.0
20,36,72,55,58,72,35,20,22,74,37,59,57,38,74,21,58,22,21,73,73,21,57,37,36,58,37,38,37,22,22,22,22,59,22,38,36,37,21,58,57,21,1.0
24,29,68,44,65,79,44,13,26,70,30,66,47,48,81,14,48,15,25,69,80,14,47,47,29,65,30,48,30,15,26,15,26,66,26,48,29,47,25,65,47,14,2.0
21,34,71,45,58,79,45,13,23,73,34,60,47,46,81,14,48,14,22,72,80,14,47,47,35,59,35,48,36,15,23,15,23,60,23,48,35,47,22,59,47,14,1.0
17,38,75,63,52,75,27,17,18,77,41,54,64,30,77,17,66,19,18,76,76,18,65,29,40,54,41,30,41,19,19,19,19,55,19,30,40,29,18,54,65,18,1.0
24,31,68,42,61,79,46,13,26,70,32,63,45,49,81,14,46,14,25,69,80,14,45,49,32,62,32,50,33,15,26,15,26,63,26,50,32,49,25,62,45,14,2.0
24,32,68,42,60,82,50,10,26,70,33,62,43,51,84,11,44,11,25,69,83,11,43,51,33,61,33,52,34,12,26,12,26,62,26,52,33,51,25,61,43,11,1.0
24,34,68,42,58,82,50,10,26,70,35,60,43,51,84,11,44,11,25,69,83,11,43,51,35,59,35,52,36,12,26,12,26,60,26,52,35,51,25,59,43,11,2.0
24,31,68,44,61,74,46,16,26,70,32,63,46,48,77,18,47,18,25,69,76,18,46,48,32,62,32,49,33,19,26,19,26,63,26,49,32,48,25,62,46,18,1.0
17,42,75,57,48,75,35,17,18,77,45,50,58,37,77,18,59,19,18,76,76,18,58,36,44,50,45,37,45,19,19,19,19,51,19,37,44,36,18,50,58,18,1.0
15,44,75,61,46,75,31,17,17,78,47,48,62,33,77,18,63,19,17,77,76,18,62,32,46,48,47,33,47,19,18,19,18,49,18,33,46,32,17,48,62,18,1.0
21,34,71,50,58,76,42,16,23,73,35,60,51,43,78,17,52,17,22,72,77,17,51,43,35,59,35,44,36,18,23,18,23,60,23,44,35,43,22,59,51,17,2.0
28,32,66,39,60,83,53,9,29,67,33,62,40,54,85,10,41,10,28,66,84,10,40,54,33,61,33,55,34,11,29,11,29,62,29,55,33,54,28,61,40,10,1.0
24,29,68,40,65,78,50,12,26,70,30,66,42,53,81,14,43,15,25,69,80,14,42,52,29,65,30,53,30,15,26,15,26,66,26,53,29,52,25,65,42,14,1.0
24,32,68,41,60,82,49,8,26,70,33,62,43,51,85,10,44,10,25,69,84,10,43,51,33,61,33,52,34,11,26,11,26,62,26,52,33,51,25,61,43,10,1.0
16,45,76,61,45,73,31,21,17,78,48,47,62,33,74,21,63,22,17,77,73,21,62,32,47,47,48,33,48,22,18,22,18,48,18,33,47,32,17,47,62,21,1.0
25,32,67,50,62,87,42,5,27,69,33,63,51,44,89,6,52,7,26,68,88,6,51,43,32,62,33,44,33,7,27,7,27,63,27,44,32,43,26,62,51,6,2.0
20,32,70,52,58,75,38,15,22,73,34,60,55,40,78,18,55,18,22,72,77,17,54,40,34,60,35,41,35,18,23,18,23,61,23,41,34,40,22,60,54,17,2.0
24,35,68,42,57,87,50,5,26,70,35,59,43,50,89,6,44,6,25,69,88,6,43,51,36,58,36,52,37,7,26,7,26,59,26,52,36,51,25,58,43,6,1.0
20,34,70,45,58,79,45,13,22,73,35,59,48,47,81,15,48,15,22,72,80,14,47,47,35,59,36,48,36,15,23,15,23,60,23,48,35,47,22,59,47,14,2.0
17,34,75,60,58,70,30,20,19,77,35,60,61,32,73,21,63,22,18,76,72,22,62,32,35,59,35,33,36,23,19,23,19,60,19,33,35,32,18,59,62,22,1.0
24,34,68,39,58,82,53,10,26,70,35,60,40,54,84,11,41,11,25,69,83,11,40,54,35,59,35,55,36,12,26,12,26,60,26,55,35,54,25,59,40,11,2.0
24,35,68,43,57,79,47,13,26,70,35,59,45,48,81,14,46,14,25,69,80,14,45,49,36,58,36,50,37,15,26,15,26,59,26,50,36,49,25,58,45,14,1.0
21,32,71,52,62,76,40,14,23,73,33,63,53,42,79,16,54,17,22,72,78,16,53,41,32,62,33,42,33,17,23,17,23,63,23,42,32,41,22,62,53,16,2.0
21,32,71,50,62,79,42,13,23,73,33,63,51,44,81,14,52,15,22,72,80,14,51,43,32,62,33,44,33,15,23,15,23,63,23,44,32,43,22,62,51,14,2.0
24,32,68,52,62,75,40,15,26,70,33,63,53,42,78,17,54,18,25,69,77,17,53,41,32,62,33,42,33,18,26,18,26,63,26,42,32,41,25,62,53,17,2.0
12,38,78,60,52,71,30,19,13,81,39,53,62,31,74,21,63,22,14,80,73,21,62,32,40,54,41,31,41,22,15,22,13,55,15,33,40,32,14,54,62,21,2.0
24,38,68,42,54,91,50,3,26,70,38,56,43,50,92,3,44,3,25,69,91,3,43,51,39,55,39,52,40,4,26,4,26,56,26,52,39,51,25,55,43,3,1.0
24,34,68,41,58,79,49,13,26,70,35,60,43,51,81,14,44,14,25,69,80,14,43,51,35,59,35,52,36,15,26,15,26,60,26,52,35,51,25,59,43,14,2.0
9,42,83,72,48,76,20,16,10,85,44,50,72,21,78,16,74,17,10,84,77,17,73,21,44,50,44,21,45,17,11,18,10,51,10,22,44,21,10,50,73,17,2.0
28,32,66,41,62,78,49,12,29,67,33,63,43,52,81,14,44,15,28,66,80,14,43,51,32,62,33,52,33,15,29,15,29,63,29,52,32,51,28,62,43,14,1.0
9,43,83,75,45,80,17,14,9,85,46,47,76,18,81,14,77,15,10,84,80,14,76,18,46,48,47,18,47,15,11,15,10,49,11,19,46,18,10,48,76,14,2.0
24,34,68,41,58,79,49,13,26,70,35,60,43,51,81,14,44,14,25,69,80,14,43,51,35,59,35,52,36,15,26,15,26,60,26,52,35,51,25,59,43,14,1.0
20,40,72,52,50,75,40,15,22,74,42,53,53,41,78,17,54,17,21,73,77,17,53,41,42,52,42,42,43,18,22,18,22,53,22,42,42,41,21,52,53,17,2.0
21,34,71,50,58,76,42,16,23,73,35,60,51,43,78,17,52,17,22,72,77,17,51,43,35,59,35,44,36,18,23,18,23,60,23,44,35,43,22,59,51,17,2.0
24,34,68,50,58,79,42,13,26,70,35,60,51,43,81,14,52,14,25,69,80,14,51,43,35,59,35,44,36,15,26,15,26,60,26,44,35,43,25,59,51,14,2.0
24,34,68,52,58,76,40,16,26,70,35,60,53,41,78,17,54,17,25,69,77,17,53,41,35,59,35,42,36,18,26,18,26,60,26,42,35,41,25,59,53,17,2.0
24,35,68,43,57,91,49,3,26,70,36,59,44,50,92,3,45,3,25,69,91,3,44,50,36,58,36,51,37,4,26,4,26,59,26,51,36,50,25,58,44,3,1.0
28,32,66,41,62,79,49,13,29,67,33,63,43,52,81,14,44,15,28,66,80,14,43,51,32,62,33,52,33,15,29,15,29,63,29,52,32,51,28,62,43,14,2.0
21,28,71,64,64,76,26,16,21,73,30,64,66,29,78,17,67,18,22,72,77,17,66,28,29,65,30,29,30,18,23,18,23,66,23,29,29,28,22,65,66,17,2.0
24,32,68,49,62,76,41,16,26,70,33,63,51,44,78,17,52,18,25,69,77,17,51,43,32,62,33,44,33,18,26,18,26,63,26,44,32,43,25,62,51,17,2.0
24,32,68,49,62,76,43,16,26,70,32,63,50,44,78,17,51,18,25,69,77,17,50,44,32,62,33,45,33,18,26,18,26,63,26,45,32,44,25,62,50,17,2.0
24,32,68,48,62,79,42,13,26,70,32,63,50,44,81,14,51,15,25,69,80,14,50,44,32,62,33,45,33,15,26,15,26,63,26,45,32,44,25,62,50,14,2.0
21,34,71,43,58,76,47,16,23,73,35,60,45,49,78,17,46,17,22,72,77,17,45,49,35,59,35,50,36,18,23,18,23,60,23,50,35,49,22,59,45,17,2.0
11,43,81,53,47,80,37,14,12,83,45,49,56,39,81,15,56,15,12,82,80,14,55,39,45,49,46,39,46,15,13,15,12,50,13,40,45,39,12,49,55,14,2.0
24,31,68,44,61,75,46,15,26,70,32,63,46,48,78,17,47,17,25,69,77,17,46,48,32,62,32,49,33,18,26,18,26,63,26,49,32,48,25,62,46,17,2.0
21,34,71,48,58,79,42,13,23,73,34,60,50,43,81,14,51,14,22,72,80,14,50,44,35,59,35,45,36,15,23,15,23,60,23,45,35,44,22,59,50,14,2.0
24,35,68,42,57,79,50,13,26,70,35,59,43,50,81,14,44,14,25,69,80,14,43,51,36,58,36,52,37,15,26,15,26,59,26,52,36,51,25,58,43,14,1.0
24,32,68,47,62,82,45,10,26,70,33,63,48,47,84,11,49,12,25,69,83,11,48,46,32,62,33,47,33,12,26,12,26,63,26,47,32,46,25,62,48,11,2.0
27,33,65,46,61,76,46,14,29,67,34,62,48,48,79,17,48,17,28,66,78,16,47,47,33,61,34,48,34,17,29,17,29,62,29,48,33,47,28,61,47,16,2.0
24,34,68,43,58,86,49,6,26,70,35,60,44,50,88,7,45,7,25,69,87,7,44,50,35,59,35,51,36,8,26,8,26,60,26,51,35,50,25,59,44,7,1.0
20,34,72,48,58,79,42,13,22,74,34,60,50,43,81,14,51,14,21,73,80,14,50,44,35,59,35,45,36,15,22,15,22,60,22,45,35,44,21,59,50,14,2.0
24,31,68,50,61,75,38,15,26,70,32,63,53,41,78,17,54,17,25,69,77,17,53,41,32,62,32,42,33,18,26,18,26,63,26,42,32,41,25,62,53,17,2.0
25,34,69,48,58,76,42,16,26,70,35,60,50,44,78,17,51,17,25,69,77,17,50,44,35,59,35,45,36,18,26,18,26,60,26,45,35,44,25,59,50,17,2.0
28,31,66,41,61,79,49,13,29,67,32,63,43,51,81,14,44,14,28,66,80,14,43,51,32,62,32,52,33,15,29,15,29,63,29,52,32,51,28,62,43,14,2.0
20,32,72,62,62,74,28,16,22,74,33,63,64,31,77,18,65,19,21,73,76,18,64,30,32,62,33,31,33,19,22,19,22,63,22,31,32,30,21,62,64,18,2.0
24,31,68,48,61,75,42,15,26,70,32,63,50,44,78,17,51,17,25,69,77,17,50,44,32,62,32,45,33,18,26,18,26,63,26,45,32,44,25,62,50,17,1.0
24,34,68,49,58,79,41,11,26,70,35,60,51,43,82,13,52,13,25,69,81,13,51,43,35,59,35,44,36,14,26,14,26,60,26,44,35,43,25,59,51,13,1.0
25,32,67,43,62,79,49,13,27,69,33,63,44,51,81,14,45,15,26,68,80,14,44,50,32,62,33,51,33,15,27,15,27,63,27,51,32,50,26,62,44,14,2.0
24,34,68,47,58,83,43,9,26,70,35,60,49,45,85,10,50,10,25,69,84,10,49,45,35,59,35,46,36,11,26,11,26,60,26,46,35,45,25,59,49,10,1.0
20,29,72,61,61,76,29,16,20,74,31,62,64,31,78,18,64,18,21,73,77,17,63,31,31,63,32,31,32,18,22,18,21,64,22,32,31,31,21,63,63,17,2.0
