@relation 'Sax dominant'

@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atLcc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o2atMaa numeric
@attribute o2atMbb numeric
@attribute o2atLbb numeric
@attribute o2atMba numeric
@attribute o2atLba numeric
@attribute o2atMab numeric
@attribute o2atLab numeric
@attribute o2atLcc numeric
@attribute o2atMbc numeric
@attribute o2atLbc numeric
@attribute o2atMcb numeric
@attribute o2atLcb numeric
@attribute o3atMaa numeric
@attribute o3atMbb numeric
@attribute o3atLbb numeric
@attribute o3atLcc numeric
@attribute o3atMab numeric
@attribute o3atLab numeric
@attribute o3atMbc numeric
@attribute o3atLbc numeric
@attribute o3atMba numeric
@attribute o3atLba numeric
@attribute o3atMcb numeric
@attribute o3atLcb numeric
@attribute o4atLcc numeric
@attribute o4atMbb numeric
@attribute o4atLbb numeric
@attribute o4atMcb numeric
@attribute o4atLcb numeric
@attribute o4atMba numeric
@attribute o4atLba numeric
@attribute o4atMaa numeric
@attribute o4atMab numeric
@attribute o4atLab numeric
@attribute o4atMbc numeric
@attribute o4atLbc numeric
@attribute o5atMaa numeric
@attribute o5atMbb numeric
@attribute o5atLbb numeric
@attribute o5atMab numeric
@attribute o5atLab numeric
@attribute o5atLcc numeric
@attribute o5atMbc numeric
@attribute o5atLbc numeric
@attribute o5atMcb numeric
@attribute o5atLcb numeric
@attribute o5atMba numeric
@attribute o5atLba numeric
@attribute destClass {2.0,3.0,7.0,6.0,4.0,5.0,1.0}

@data
14,18,0,0,18,1,19,3,15,4,15,4,15,19,3,16,4,15,3,0,19,0,19,0,8,10,10,8,9,11,11,9,8,10,10,8,16,2,19,3,17,0,19,0,0,19,2,16,7,15,6,8,7,0,15,0,15,0,8,7,7.0
19,11,7,8,12,7,11,0,19,0,19,0,19,19,0,19,0,19,0,0,19,0,19,0,9,19,8,0,10,9,19,0,10,9,19,0,15,3,16,3,15,2,16,2,3,17,4,16,0,10,15,0,15,4,10,4,11,5,0,15,4.0
19,4,14,15,5,14,4,0,19,0,19,0,19,19,0,19,0,19,0,0,19,0,19,0,11,12,7,6,12,8,13,7,11,7,12,6,9,9,19,10,10,0,19,0,0,19,9,9,0,5,15,0,15,9,6,10,5,9,0,15,2.0
19,19,0,0,19,0,19,0,19,0,19,0,6,14,12,7,13,6,12,3,15,4,15,4,13,15,5,3,14,6,16,4,13,5,15,3,19,0,19,0,19,0,19,0,0,19,0,19,6,15,7,7,8,0,15,0,15,0,7,8,5.0
19,1,17,17,1,18,2,0,19,0,19,0,0,19,19,0,19,0,19,0,19,0,19,0,6,8,12,10,7,13,9,11,6,12,8,10,6,12,10,13,7,9,11,8,8,10,12,6,12,15,1,13,2,0,15,0,15,0,13,2,2.0
19,2,16,17,3,16,2,0,19,0,19,0,5,19,13,5,13,6,14,0,19,0,19,0,9,12,8,6,10,9,13,7,10,9,12,6,12,6,19,7,13,0,19,0,0,19,6,12,0,15,15,0,15,0,15,0,15,0,0,15,2.0
19,2,16,16,2,17,3,0,19,0,19,0,0,19,19,0,19,0,19,0,19,0,19,0,12,14,6,4,13,7,15,5,12,6,14,4,17,1,19,2,18,0,19,0,0,19,1,17,13,15,0,14,1,0,15,0,15,0,14,1,4.0
19,0,19,19,0,19,0,0,19,0,19,0,2,7,16,2,16,3,17,11,8,12,7,11,0,3,19,14,0,19,4,15,0,19,4,15,6,12,10,13,7,9,11,8,8,10,12,6,10,11,4,11,5,3,12,4,11,3,10,4,1.0
19,0,19,19,0,19,0,0,19,0,19,0,0,19,19,0,19,0,19,0,19,0,19,0,8,13,9,5,9,10,14,6,9,10,13,5,19,0,19,0,19,0,19,0,0,19,0,19,11,15,3,11,3,0,15,0,15,0,12,4,4.0
19,6,11,12,7,12,7,0,19,0,19,0,2,19,16,3,17,2,16,0,19,0,19,0,11,12,7,6,12,8,13,7,11,7,12,6,15,3,19,4,16,0,19,0,0,19,3,15,0,15,15,0,15,0,15,0,15,0,0,15,4.0
19,4,13,14,5,14,5,0,19,0,19,0,7,19,11,8,12,7,11,0,19,0,19,0,7,8,11,10,8,12,9,11,7,11,8,10,12,6,18,7,13,1,19,0,0,18,6,12,8,15,6,9,7,0,15,0,15,0,8,6,7.0
19,6,12,13,7,12,6,0,19,0,19,0,8,19,9,9,10,9,10,0,19,0,19,0,12,13,6,5,13,7,14,6,12,6,13,5,15,3,19,4,16,0,19,0,0,19,3,15,0,15,15,0,15,0,15,0,15,0,0,15,4.0
19,18,0,0,18,1,19,0,19,0,19,0,12,19,6,13,7,12,6,0,19,0,19,0,10,11,8,7,11,9,12,8,10,8,11,7,18,0,19,1,19,0,19,0,0,19,0,18,7,15,6,8,7,0,15,0,15,0,8,7,7.0
19,4,13,14,5,14,5,0,19,0,19,0,7,19,11,7,11,8,12,0,19,0,19,0,0,19,19,0,0,19,19,0,0,19,19,0,0,18,5,18,0,13,6,12,13,6,19,1,0,0,15,0,15,15,0,15,0,15,0,15,3.0
19,10,7,8,11,8,11,0,19,0,19,0,13,19,5,14,6,13,5,0,19,0,19,0,15,16,3,2,16,4,17,3,15,3,16,2,19,0,19,0,19,0,19,0,0,19,0,19,6,13,7,7,8,1,13,1,14,2,7,8,7.0
19,13,4,5,14,5,14,0,19,0,19,0,17,19,1,18,2,17,1,0,19,0,19,0,6,19,12,0,6,12,19,0,7,13,19,0,9,9,11,9,9,7,11,7,8,12,10,10,0,3,15,0,15,11,3,11,4,12,0,15,6.0
19,3,15,16,4,15,3,0,19,0,19,0,12,19,6,12,6,13,7,0,19,0,19,0,10,13,7,5,11,8,14,6,11,8,13,5,17,1,19,2,18,0,19,0,0,19,1,17,0,15,15,0,15,0,15,0,15,0,0,15,6.0
19,0,19,19,0,19,0,0,19,0,19,0,10,19,8,10,8,11,9,0,19,0,19,0,0,0,19,19,0,19,0,19,0,19,0,19,0,19,12,19,0,7,13,6,6,12,19,0,3,6,11,4,12,8,7,9,6,8,3,11,2.0
17,14,3,4,15,4,15,0,18,1,18,1,2,19,16,3,17,2,16,0,19,0,19,0,17,19,1,0,18,2,19,0,17,1,19,0,19,0,19,0,19,0,19,0,0,19,0,19,0,9,15,0,15,5,9,5,10,6,0,15,1.0
19,19,0,0,19,0,19,0,19,0,19,0,12,19,6,13,7,12,6,0,19,0,19,0,12,14,6,4,13,7,15,5,12,6,14,4,19,0,19,0,19,0,19,0,0,19,0,19,2,15,11,3,12,0,15,0,15,0,3,12,6.0
19,0,17,18,1,18,1,0,19,0,19,0,15,19,2,16,3,16,3,0,19,0,19,0,7,9,11,9,8,12,10,10,7,11,9,9,9,9,19,10,10,0,19,0,0,19,9,9,0,15,15,0,15,0,15,0,15,0,0,15,5.0
19,7,11,12,8,11,7,0,19,0,19,0,7,19,10,8,11,8,11,0,19,0,19,0,12,13,6,5,13,7,14,6,12,6,13,5,16,2,19,3,17,0,19,0,0,19,2,16,0,15,15,0,15,0,15,0,15,0,0,15,6.0
19,0,19,19,0,19,0,0,19,0,19,0,3,19,12,5,14,5,14,0,19,0,19,0,10,11,8,7,11,9,12,8,10,8,11,7,11,7,18,8,12,1,19,0,0,18,7,11,3,14,11,4,12,0,15,1,14,0,3,11,2.0
19,2,15,16,3,16,3,0,19,0,19,0,0,19,18,1,19,0,18,0,19,0,19,0,11,13,7,5,12,8,14,6,11,7,13,5,12,6,16,7,13,3,17,2,2,16,6,12,3,15,11,4,12,0,15,0,15,0,3,11,3.0
19,0,19,19,0,19,0,0,19,0,19,0,5,19,12,6,13,6,13,0,19,0,19,0,4,6,14,12,5,15,7,13,4,14,6,12,6,12,18,13,7,1,19,0,0,18,12,6,7,15,6,8,7,0,15,0,15,0,8,7,4.0
19,0,19,19,0,19,0,0,19,0,19,0,0,19,18,1,19,0,18,0,19,0,19,0,10,12,8,6,11,9,13,7,10,8,12,6,15,3,19,4,16,0,19,0,0,19,3,15,10,15,3,11,4,0,15,0,15,0,11,4,5.0
19,0,19,19,0,19,0,0,19,0,19,0,3,19,14,4,15,4,15,0,19,0,19,0,9,11,9,7,10,10,12,8,9,9,11,7,16,2,19,3,17,0,19,0,0,19,2,16,11,15,2,12,3,0,15,0,15,0,12,3,4.0
19,18,0,1,19,0,18,0,19,0,19,0,11,19,5,12,6,13,7,0,19,0,19,0,12,19,6,0,12,6,19,0,13,7,19,0,13,5,14,5,13,4,14,4,5,15,6,14,0,2,15,0,15,12,2,12,3,13,0,15,3.0
19,2,16,17,3,16,2,0,19,0,19,0,4,19,13,5,14,5,14,0,19,0,19,0,10,11,8,7,11,9,12,8,10,8,11,7,11,7,19,8,12,0,19,0,0,19,7,11,0,12,15,0,15,2,13,3,12,2,0,15,5.0
16,7,11,12,8,11,7,1,17,2,17,2,19,19,0,19,0,19,0,0,19,0,19,0,16,18,2,0,17,3,19,1,16,2,18,0,19,0,19,0,19,0,19,0,0,19,0,19,0,10,15,0,15,3,11,4,11,4,0,15,1.0
19,17,1,1,17,2,18,0,19,0,19,0,8,19,10,9,11,8,10,0,19,0,19,0,12,13,6,5,13,7,14,6,12,6,13,5,18,0,19,1,19,0,19,0,0,19,0,18,7,15,6,8,7,0,15,0,15,0,8,7,7.0
19,14,4,4,14,5,15,0,19,0,19,0,11,19,7,12,8,11,7,0,19,0,19,0,6,8,12,10,7,13,9,11,6,12,8,10,14,4,19,5,15,0,19,0,0,19,4,14,6,15,7,7,8,0,15,0,15,0,7,8,5.0
19,3,15,16,4,15,3,0,19,0,19,0,12,19,5,13,6,13,6,0,19,0,19,0,10,11,8,7,11,9,12,8,10,8,11,7,16,2,19,3,17,0,19,0,0,19,2,16,0,15,15,0,15,0,15,0,15,0,0,15,4.0
19,1,17,17,1,18,2,0,19,0,19,0,0,19,19,0,19,0,19,0,19,0,19,0,9,14,8,4,10,9,15,5,10,9,14,4,17,1,19,2,18,0,19,0,0,19,1,17,13,15,1,13,1,0,15,0,15,0,14,2,3.0
19,0,19,19,0,19,0,0,19,0,19,0,5,19,12,6,13,6,13,0,19,0,19,0,7,9,11,9,8,12,10,10,7,11,9,9,13,5,19,6,14,0,19,0,0,19,5,13,0,15,15,0,15,0,15,0,15,0,0,15,6.0
19,9,9,10,10,9,9,0,19,0,19,0,19,19,0,19,0,19,0,0,19,0,19,0,12,14,6,4,13,7,15,5,12,6,14,4,13,5,19,6,14,0,19,0,0,19,5,13,0,15,15,0,15,0,15,0,15,0,0,15,5.0
19,0,19,19,0,19,0,0,19,0,19,0,5,19,13,5,13,6,14,0,19,0,19,0,10,19,8,0,10,8,19,0,11,9,19,0,11,7,14,7,11,4,14,4,5,15,8,12,0,0,15,0,15,15,0,15,0,15,0,15,3.0
19,9,9,10,10,9,9,0,19,0,19,0,11,19,4,13,6,13,6,0,19,0,19,0,16,17,2,1,17,3,18,2,16,2,17,1,19,0,19,0,19,0,19,0,0,19,0,19,0,10,15,0,15,4,10,4,11,5,0,15,1.0
19,0,19,19,0,19,0,0,19,0,19,0,2,19,15,3,16,3,16,0,19,0,19,0,9,10,9,8,10,10,11,9,9,9,10,8,14,4,19,5,15,0,19,0,0,19,4,14,10,15,1,12,3,0,15,0,15,0,12,3,5.0
19,0,19,19,0,19,0,0,19,0,19,0,14,19,4,14,4,15,5,0,19,0,19,0,8,19,9,0,9,10,19,0,9,10,19,0,18,0,19,0,18,0,19,0,0,19,1,19,2,9,11,3,12,5,9,5,10,6,3,12,2.0
19,0,19,19,0,19,0,0,19,0,19,0,13,19,5,13,5,14,6,0,19,0,19,0,9,11,8,7,10,9,12,8,10,9,11,7,12,6,19,7,13,0,19,0,0,19,6,12,4,15,9,5,10,0,15,0,15,0,5,10,3.0
19,15,3,4,16,3,15,0,19,0,19,0,14,19,4,14,4,15,5,0,19,0,19,0,13,19,5,0,13,5,19,0,14,6,19,0,17,1,18,1,17,0,18,0,1,19,2,18,0,7,15,0,15,6,8,7,8,7,0,15,4.0
19,4,14,15,5,14,4,0,19,0,19,0,7,19,10,8,11,8,11,0,19,0,19,0,14,15,4,3,15,5,16,4,14,4,15,3,19,0,19,0,19,0,19,0,0,19,0,19,0,11,15,0,15,2,12,3,12,3,0,15,4.0
19,6,12,13,7,12,6,0,19,0,19,0,12,19,5,13,6,13,6,0,19,0,19,0,11,12,7,6,12,8,13,7,11,7,12,6,8,10,19,11,9,0,19,0,0,19,10,8,0,7,15,0,15,6,8,7,8,7,0,15,6.0
19,0,19,19,0,19,0,0,19,0,19,0,8,19,10,8,10,9,11,0,19,0,19,0,10,12,7,6,11,8,13,7,11,8,12,6,12,6,19,7,13,0,19,0,0,19,6,12,2,15,11,3,12,0,15,0,15,0,3,12,7.0
19,16,2,3,17,2,16,0,19,0,19,0,8,19,10,8,10,9,11,0,19,0,19,0,13,19,5,0,13,5,19,0,14,6,19,0,15,3,16,3,15,2,16,2,3,17,4,16,0,4,15,0,15,10,4,10,5,11,0,15,3.0
19,0,19,19,0,19,0,0,19,0,19,0,4,19,13,5,14,5,14,0,19,0,19,0,12,14,6,4,13,7,15,5,12,6,14,4,11,7,19,8,12,0,19,0,0,19,7,11,0,4,15,0,15,10,5,11,4,10,0,15,2.0
19,19,0,0,19,0,19,0,19,0,19,0,7,19,11,8,12,7,11,0,19,0,19,0,11,12,7,6,12,8,13,7,11,7,12,6,19,0,19,0,19,0,19,0,0,19,0,19,3,13,10,4,11,1,13,1,14,2,4,11,5.0
19,2,16,17,3,16,2,0,19,0,19,0,2,19,16,2,16,3,17,0,19,0,19,0,12,15,5,3,13,6,16,4,13,6,15,3,15,3,19,4,16,0,19,0,0,19,3,15,0,15,15,0,15,0,15,0,15,0,0,15,3.0
19,19,0,0,19,0,19,0,19,0,19,0,7,19,10,8,11,8,11,0,19,0,19,0,3,19,15,0,3,15,19,0,4,16,19,0,6,12,7,12,6,11,7,11,12,8,13,7,0,0,15,0,15,15,0,15,0,15,0,15,3.0
19,5,13,14,6,13,5,0,19,0,19,0,15,19,2,16,3,16,3,0,19,0,19,0,12,14,6,4,13,7,15,5,12,6,14,4,13,5,19,6,14,0,19,0,0,19,5,13,0,5,15,0,15,9,6,10,5,9,0,15,4.0
19,19,0,0,19,0,19,0,19,0,19,0,19,19,0,19,0,19,0,0,19,0,19,0,8,19,9,0,9,10,19,0,9,10,19,0,10,8,12,8,10,6,12,6,7,13,9,11,0,0,15,0,15,15,0,15,0,15,0,15,5.0
19,0,19,19,0,19,0,0,19,0,19,0,12,19,6,12,6,13,7,0,19,0,19,0,9,12,8,6,10,9,13,7,10,9,12,6,12,6,19,7,13,0,19,0,0,19,6,12,0,15,15,0,15,0,15,0,15,0,0,15,5.0
19,1,17,17,1,18,2,0,19,0,19,0,10,19,7,11,8,11,8,0,19,0,19,0,9,12,8,6,10,9,13,7,10,9,12,6,13,5,19,6,14,0,19,0,0,19,5,13,7,15,6,8,7,0,15,0,15,0,8,7,7.0
17,9,9,10,10,9,9,0,18,1,18,1,11,19,6,12,7,12,7,0,19,0,19,0,15,16,3,2,16,4,17,3,15,3,16,2,19,0,19,0,19,0,19,0,0,19,0,19,0,11,15,0,15,2,12,3,12,3,0,15,1.0
19,6,12,13,7,12,6,0,19,0,19,0,8,19,9,9,10,9,10,0,19,0,19,0,13,15,5,3,14,6,16,4,13,5,15,3,19,0,19,0,19,0,19,0,0,19,0,19,0,11,15,0,15,3,11,3,12,4,0,15,5.0
19,3,15,16,4,15,3,0,19,0,19,0,10,19,8,10,8,11,9,0,19,0,19,0,8,11,9,7,9,10,12,8,9,10,11,7,15,3,19,4,16,0,19,0,0,19,3,15,0,15,13,1,14,0,15,0,15,0,1,14,7.0
19,8,10,11,9,10,8,0,19,0,19,0,9,19,9,9,9,10,10,0,19,0,19,0,0,19,19,0,0,19,19,0,0,19,19,0,0,19,2,19,0,16,3,15,16,3,19,0,0,0,15,0,15,15,0,15,0,15,0,15,2.0
19,0,19,19,0,19,0,0,19,0,19,0,0,19,19,0,19,0,19,0,19,0,19,0,10,13,7,5,11,8,14,6,11,8,13,5,16,2,19,3,17,0,19,0,0,19,2,16,9,15,4,10,5,0,15,0,15,0,10,5,7.0
19,1,17,18,2,17,1,0,19,0,19,0,0,19,18,0,18,1,19,0,19,0,19,0,9,13,8,5,10,9,14,6,10,9,13,5,12,6,17,7,13,2,18,1,1,17,6,12,3,15,9,5,11,0,15,0,15,0,4,10,3.0
19,7,11,12,8,11,7,0,19,0,19,0,8,19,10,8,10,9,11,0,19,0,19,0,12,15,5,3,13,6,16,4,13,6,15,3,18,0,19,1,19,0,19,0,0,19,0,18,0,15,15,0,15,0,15,0,15,0,0,15,6.0
19,6,12,12,6,13,7,0,19,0,19,0,4,19,14,5,15,4,14,0,19,0,19,0,8,9,10,9,9,11,10,10,8,10,9,9,14,4,18,5,15,1,19,0,0,18,4,14,14,15,0,15,1,0,15,0,15,0,14,0,6.0
