@relation 'Sax dominant'

@attribute o1atMaee numeric
@attribute o1atLaee numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMded numeric
@attribute o1atLded numeric
@attribute o1atMdcb numeric
@attribute o1atLdcb numeric
@attribute o1atMbcd numeric
@attribute o1atLbcd numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atLeee numeric
@attribute o1atMdcd numeric
@attribute o1atLdcd numeric
@attribute o1atMeed numeric
@attribute o1atLeed numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMbdb numeric
@attribute o1atLbdb numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMbde numeric
@attribute o1atLbde numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMbdd numeric
@attribute o1atLbdd numeric
@attribute o1atMddb numeric
@attribute o1atLddb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMcdc numeric
@attribute o1atLcdc numeric
@attribute o1atMedd numeric
@attribute o1atLedd numeric
@attribute o1atMcbd numeric
@attribute o1atLcbd numeric
@attribute o1atMbbe numeric
@attribute o1atLbbe numeric
@attribute o1atMddd numeric
@attribute o1atLddd numeric
@attribute o1atMedc numeric
@attribute o1atLedc numeric
@attribute o1atMbbd numeric
@attribute o1atLbbd numeric
@attribute o1atMdbb numeric
@attribute o1atLdbb numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMced numeric
@attribute o1atLced numeric
@attribute o1atMcce numeric
@attribute o1atLcce numeric
@attribute o1atMbdc numeric
@attribute o1atLbdc numeric
@attribute o1atMcec numeric
@attribute o1atLcec numeric
@attribute o1atMecd numeric
@attribute o1atLecd numeric
@attribute o1atMcbe numeric
@attribute o1atLcbe numeric
@attribute o1atMeec numeric
@attribute o1atLeec numeric
@attribute o1atMecb numeric
@attribute o1atLecb numeric
@attribute o1atMdce numeric
@attribute o1atLdce numeric
@attribute o1atMdbc numeric
@attribute o1atLdbc numeric
@attribute o1atMeeb numeric
@attribute o1atLeeb numeric
@attribute o1atMebb numeric
@attribute o1atLebb numeric
@attribute o1atMdde numeric
@attribute o1atLdde numeric
@attribute o1atMcde numeric
@attribute o1atLcde numeric
@attribute o1atMede numeric
@attribute o1atLede numeric
@attribute o1atMedb numeric
@attribute o1atLedb numeric
@attribute o1atMcdb numeric
@attribute o1atLcdb numeric
@attribute o1atMdec numeric
@attribute o1atLdec numeric
@attribute o1atMecc numeric
@attribute o1atLecc numeric
@attribute o1atMdbd numeric
@attribute o1atLdbd numeric
@attribute o1atMabd numeric
@attribute o1atLabd numeric
@attribute o1atMdee numeric
@attribute o1atLdee numeric
@attribute o1atMcee numeric
@attribute o1atLcee numeric
@attribute o1atMaaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMaed numeric
@attribute o1atLaed numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMaca numeric
@attribute o1atLaca numeric
@attribute o1atMacd numeric
@attribute o1atLacd numeric
@attribute o1atMade numeric
@attribute o1atLade numeric
@attribute o1atMaec numeric
@attribute o1atLaec numeric
@attribute o1atMadd numeric
@attribute o1atLadd numeric
@attribute o1atMaad numeric
@attribute o1atLaad numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMaeb numeric
@attribute o1atLaeb numeric
@attribute o1atMdaa numeric
@attribute o1atLdaa numeric
@attribute o1atMada numeric
@attribute o1atLada numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMadb numeric
@attribute o1atLadb numeric
@attribute destClass {1,3,2}

@data
1,3,13,60,83,5,30,19,31,19,62,36,29,47,29,46,2,71,11,87,2,66,17,66,17,13,20,71,13,32,5,17,61,18,60,70,14,31,14,31,15,10,93,63,18,83,5,30,17,19,6,80,10,72,5,18,20,18,21,30,41,70,5,67,5,29,18,63,5,72,5,31,5,73,2,31,6,72,4,31,17,33,3,19,7,83,4,72,5,87,3,32,6,29,20,71,5,67,5,31,11,0,21,87,2,73,2,0,0,94,0,61,0,47,0,61,0,6,0,61,0,61,0,20,0,6,0,6,0,15,0,21,0,94,0,7,0,21,0,21,0,94,0,93,0,21,1
1,3,13,60,83,5,30,19,31,19,62,38,29,49,29,48,2,71,11,87,2,66,17,66,17,13,20,71,13,32,5,19,61,20,60,70,14,31,14,31,15,12,93,63,18,83,5,30,17,21,6,80,10,72,5,20,20,20,21,30,41,70,5,67,5,29,18,63,5,72,5,31,5,73,2,31,6,72,4,31,17,33,3,21,7,83,4,72,5,87,3,32,6,29,20,71,5,67,5,31,11,0,21,87,2,73,2,0,0,94,0,61,0,49,0,61,0,6,0,61,0,61,0,20,0,6,0,6,0,15,0,21,0,94,0,7,0,21,0,21,0,94,0,93,0,21,3
1,4,21,51,83,6,40,25,34,19,45,28,34,39,28,38,3,66,11,87,4,55,20,54,13,22,26,65,14,41,5,27,52,24,51,63,10,39,14,42,15,20,93,51,19,84,5,39,15,29,6,81,9,67,7,28,26,29,27,33,32,63,6,55,4,30,24,51,6,66,5,40,4,67,4,40,7,67,3,35,20,42,4,29,7,84,3,66,4,87,3,42,7,35,20,65,6,55,7,41,11,0,27,87,3,67,3,0,0,94,0,52,0,39,0,52,0,7,0,52,0,52,0,20,0,6,0,7,0,15,0,27,0,94,0,7,0,27,0,27,0,94,0,93,0,27,2
1,3,17,56,86,4,35,16,35,16,68,32,33,43,34,42,2,75,11,89,3,72,14,71,15,17,17,75,12,36,3,21,57,22,56,74,13,35,13,36,14,14,93,69,15,87,4,34,15,23,4,85,11,76,4,22,17,23,18,34,37,74,4,72,3,34,15,69,4,75,4,35,3,76,3,35,5,76,3,36,14,37,3,23,5,87,3,75,3,89,2,37,5,33,17,75,4,72,4,36,11,0,18,89,2,76,2,0,0,94,0,57,0,43,0,57,0,5,0,57,0,57,0,17,0,4,0,5,0,14,0,18,0,94,0,5,0,18,0,18,0,94,0,93,0,18,3
1,3,15,62,88,3,31,12,31,11,73,41,31,50,30,50,2,81,5,90,3,77,12,76,10,15,11,82,7,31,2,19,62,19,62,80,6,31,6,31,7,12,93,75,11,89,4,31,10,19,3,88,4,82,4,19,11,19,12,31,46,80,3,77,3,30,11,75,3,81,4,31,3,82,3,31,4,82,2,31,12,31,3,19,4,89,2,81,2,90,2,31,4,31,11,82,3,77,4,31,5,0,12,90,2,82,2,0,0,94,0,63,0,51,0,63,0,4,0,62,0,63,0,12,0,3,0,4,0,7,0,12,0,94,0,4,0,12,0,12,0,94,0,93,0,12,1
1,5,36,37,82,6,54,18,50,14,58,17,48,27,45,26,4,72,8,86,4,65,13,64,9,36,19,71,10,55,6,43,38,41,37,70,7,53,10,55,11,35,93,62,13,83,4,53,10,45,7,80,6,73,6,44,19,45,20,49,18,70,6,65,5,46,17,62,7,73,5,54,5,74,5,54,8,73,4,51,13,56,5,45,8,83,4,73,5,86,4,56,7,49,15,71,7,65,7,55,8,0,20,86,4,74,4,0,0,94,0,38,0,27,0,38,0,7,0,38,0,38,0,15,0,7,0,8,0,11,0,20,0,94,0,8,0,20,0,20,0,94,0,93,0,20,1
1,3,19,55,85,4,36,20,36,19,60,32,33,43,34,42,2,71,11,88,2,65,16,65,17,19,20,71,13,37,4,24,56,24,55,71,13,36,13,37,14,17,93,63,19,85,4,36,17,25,5,83,10,72,5,24,20,25,21,36,37,71,4,66,4,34,19,63,5,72,4,37,4,73,3,37,6,72,4,37,16,38,3,25,6,85,4,72,4,88,3,38,5,33,20,71,5,66,5,37,11,0,21,88,2,73,2,0,0,94,0,56,0,43,0,56,0,5,0,56,0,56,0,20,0,5,0,6,0,14,0,21,0,94,0,6,0,21,0,21,0,94,0,93,0,21,3
1,3,11,66,86,3,27,13,27,12,73,43,26,53,26,53,2,79,6,89,3,77,12,75,11,11,12,80,9,27,2,14,66,14,66,77,8,27,8,27,9,8,93,74,12,87,4,27,11,14,4,85,6,81,5,14,12,14,13,27,50,78,4,77,4,26,12,74,4,79,4,27,4,81,3,27,5,81,2,27,12,27,3,14,5,87,2,79,2,89,2,27,5,26,12,80,3,77,5,27,6,0,13,89,2,81,2,0,0,94,0,67,0,54,0,67,0,5,0,66,0,67,0,13,0,3,0,5,0,9,0,13,0,94,0,5,0,13,0,13,0,94,0,93,0,13,3
1,4,26,47,85,5,44,22,40,18,53,27,39,36,35,35,3,69,11,88,4,61,18,60,13,27,23,69,14,45,4,32,48,30,47,67,11,43,14,46,15,24,93,57,18,86,5,43,14,34,5,84,10,70,6,33,23,34,24,39,29,67,5,61,3,36,21,57,5,69,5,44,3,70,4,44,6,70,3,41,18,46,4,34,6,86,3,69,3,88,3,46,6,40,19,69,5,61,6,45,11,0,24,88,3,70,3,0,0,94,0,48,0,36,0,48,0,6,0,48,0,48,0,19,0,5,0,6,0,15,0,24,0,94,0,6,0,24,0,24,0,94,0,93,0,24,3
1,3,14,56,86,4,37,26,30,19,45,30,30,42,24,41,2,67,9,89,3,56,19,55,14,14,25,67,14,36,3,22,57,17,56,65,10,34,13,37,14,11,93,51,20,87,4,36,15,22,4,85,8,68,5,21,25,22,26,31,34,65,4,56,2,26,25,51,4,67,4,37,2,68,3,37,5,68,2,31,19,37,3,22,5,87,2,67,2,89,2,37,5,30,20,67,4,56,5,36,9,0,26,89,2,68,2,0,0,94,0,57,0,42,0,57,0,5,0,57,0,57,0,20,0,4,0,5,0,14,0,26,0,94,0,5,0,26,0,26,0,94,0,93,0,26,3
1,4,18,53,83,6,38,25,34,21,48,29,32,40,29,39,3,66,13,87,4,57,20,56,15,19,26,66,16,39,5,24,54,23,53,64,13,37,16,40,17,16,93,53,21,84,6,37,17,26,6,81,12,67,7,25,26,26,27,33,33,64,6,57,4,30,24,53,6,66,6,38,4,67,4,38,7,67,4,35,20,40,4,26,7,84,4,66,4,87,3,40,7,33,22,66,6,57,7,39,13,0,27,87,3,67,3,0,0,94,0,54,0,40,0,54,0,7,0,54,0,54,0,22,0,6,0,7,0,17,0,27,0,94,0,7,0,27,0,27,0,94,0,93,0,27,2
1,3,14,57,84,4,35,22,32,18,56,31,32,44,28,43,2,70,9,88,2,63,18,63,14,14,21,70,14,35,4,22,58,20,57,69,12,33,13,35,14,13,93,59,19,85,4,35,15,22,5,82,9,71,5,21,21,22,22,33,36,69,4,64,3,29,21,59,5,71,4,36,3,72,3,36,6,71,3,33,18,36,3,22,6,85,3,71,3,88,2,36,5,32,19,70,5,64,5,35,9,0,22,88,2,72,2,0,0,94,0,58,0,44,0,58,0,5,0,58,0,58,0,19,0,5,0,6,0,14,0,22,0,94,0,6,0,22,0,22,0,94,0,93,0,22,3
1,3,12,57,84,3,35,24,30,18,46,30,29,44,24,43,2,66,8,88,2,56,17,56,13,12,23,67,11,35,3,22,58,18,57,66,8,33,10,35,11,12,93,53,19,85,3,35,14,22,5,82,6,68,4,21,23,22,24,31,34,67,3,57,3,26,23,54,5,68,4,36,3,70,3,36,6,68,3,31,17,36,3,22,6,85,2,68,2,88,2,36,4,29,19,68,4,57,5,35,8,0,24,88,2,70,2,0,0,94,0,58,0,44,0,58,0,4,0,58,0,58,0,19,0,4,0,6,0,11,0,24,0,94,0,6,0,24,0,24,0,94,0,93,0,24,3
1,4,16,54,85,5,38,28,32,22,44,31,32,42,26,41,3,64,12,88,4,54,23,53,16,17,28,64,18,38,4,25,55,21,54,62,13,36,17,39,18,15,93,48,23,86,5,37,17,26,5,84,11,65,6,25,28,26,29,32,33,62,5,54,3,27,27,48,5,64,5,38,3,65,4,38,6,65,3,33,23,39,4,26,6,86,3,64,3,88,3,39,6,33,23,64,5,54,6,38,12,0,29,88,3,65,3,0,0,94,0,55,0,42,0,55,0,6,0,55,0,55,0,23,0,5,0,6,0,18,0,29,0,94,0,6,0,29,0,29,0,94,0,93,0,29,2
1,4,22,49,85,5,42,20,40,18,55,27,38,37,34,36,3,71,10,88,4,63,17,62,13,23,21,71,12,43,4,29,50,28,49,69,11,41,12,44,13,20,93,60,18,86,5,41,13,31,5,84,9,72,6,30,21,31,22,39,29,69,5,63,3,35,19,60,5,71,5,42,3,72,4,42,6,72,3,41,17,44,4,31,6,86,3,71,3,88,3,44,6,39,19,71,5,63,6,43,10,0,22,88,3,72,3,0,0,94,0,50,0,37,0,50,0,6,0,50,0,50,0,19,0,5,0,6,0,13,0,22,0,94,0,6,0,22,0,22,0,94,0,93,0,22,2
1,4,23,48,85,5,44,21,41,18,55,27,39,36,35,35,3,71,10,88,4,63,17,62,13,24,21,71,13,44,4,31,49,29,48,69,11,42,12,45,13,20,93,60,19,86,5,43,13,32,5,84,9,72,6,31,21,32,22,41,28,69,5,63,3,36,20,60,5,71,5,44,3,72,4,44,6,72,3,42,17,45,4,32,6,86,3,71,3,88,3,45,6,40,19,71,5,63,6,44,10,0,22,88,3,72,3,0,0,94,0,49,0,36,0,49,0,6,0,49,0,49,0,19,0,5,0,6,0,13,0,22,0,94,0,6,0,22,0,22,0,94,0,93,0,22,1
1,4,26,49,87,4,44,17,43,15,60,30,41,39,39,38,3,76,5,89,4,68,14,67,11,26,16,76,8,43,3,33,50,33,49,75,7,43,7,44,8,24,93,65,16,88,4,43,12,33,4,87,4,77,5,33,16,33,17,43,32,75,4,68,3,39,16,65,4,76,4,44,4,77,4,44,5,77,3,43,14,44,4,33,5,88,3,76,3,89,3,44,5,41,16,76,4,68,5,43,5,0,17,89,3,77,3,0,0,94,0,50,0,39,0,50,0,5,0,50,0,50,0,16,0,4,0,5,0,8,0,17,0,94,0,5,0,17,0,17,0,94,0,93,0,17,3
1,5,20,51,82,7,40,25,36,21,48,28,34,38,31,37,4,66,13,86,5,57,20,56,15,21,26,66,16,41,6,26,52,25,51,64,13,39,16,42,17,17,93,53,21,83,7,39,17,28,7,80,12,67,8,27,26,28,27,35,31,64,7,57,5,32,24,53,7,66,7,40,5,67,5,40,8,67,5,37,20,42,5,28,8,83,5,66,5,86,4,42,8,35,22,66,7,57,8,41,13,0,27,86,4,67,4,0,0,94,0,52,0,38,0,52,0,8,0,52,0,52,0,22,0,7,0,8,0,17,0,27,0,94,0,8,0,27,0,27,0,94,0,93,0,27,3
1,5,22,50,82,7,41,25,37,21,48,28,35,38,32,37,4,66,13,86,5,57,20,56,15,23,26,66,16,42,6,28,51,27,50,64,13,40,16,43,17,20,93,53,21,83,7,40,17,30,7,80,12,67,8,29,26,30,27,36,31,64,7,57,5,33,24,53,7,66,7,41,5,67,5,41,8,67,5,38,20,43,5,30,8,83,5,66,5,86,4,43,8,36,22,66,7,57,8,42,13,0,27,86,4,67,4,0,0,94,0,51,0,38,0,51,0,8,0,51,0,51,0,22,0,7,0,8,0,17,0,27,0,94,0,8,0,27,0,27,0,94,0,93,0,27,2
1,3,14,56,86,4,35,26,30,21,45,32,30,44,25,43,2,65,12,89,3,55,22,54,16,15,27,65,16,36,3,22,57,19,56,63,12,34,16,37,17,14,93,50,21,87,4,34,17,24,4,85,11,66,5,23,27,24,28,29,35,63,4,55,2,26,25,50,4,65,4,35,2,66,3,35,5,66,2,31,22,37,3,24,5,87,2,65,2,89,2,37,5,31,22,65,4,55,5,36,12,0,28,89,2,66,2,0,0,94,0,57,0,44,0,57,0,5,0,57,0,57,0,22,0,4,0,5,0,17,0,28,0,94,0,5,0,28,0,28,0,94,0,93,0,28,3
1,3,12,58,84,3,34,27,29,21,42,31,26,45,22,44,2,63,10,88,2,52,18,52,15,12,26,64,13,34,3,21,59,17,58,63,10,32,12,34,13,12,93,49,22,85,3,34,16,21,5,82,7,65,4,20,26,21,27,30,36,64,3,53,3,24,26,50,5,65,4,35,3,67,3,35,6,65,3,30,18,35,3,21,6,85,2,65,2,88,2,35,4,26,22,65,4,53,5,34,10,0,27,88,2,67,2,0,0,94,0,59,0,45,0,59,0,4,0,59,0,59,0,22,0,4,0,6,0,13,0,27,0,94,0,6,0,27,0,27,0,94,0,93,0,27,3
1,4,36,37,83,5,54,18,50,13,59,17,49,27,45,26,3,73,7,87,4,65,13,65,8,36,18,71,10,55,5,44,38,41,37,71,6,53,9,55,10,35,93,63,13,84,4,54,9,45,6,81,5,74,6,44,18,45,19,50,18,71,5,66,4,46,17,63,6,74,4,55,4,75,4,55,7,74,3,51,13,56,4,45,7,84,3,74,4,87,3,56,6,50,14,72,6,66,6,55,7,0,19,87,3,75,3,0,0,94,0,38,0,27,0,38,0,6,0,38,0,38,0,14,0,6,0,7,0,10,0,19,0,94,0,7,0,19,0,19,0,94,0,93,0,19,1
1,3,13,62,86,3,31,13,31,12,73,40,31,49,30,49,2,79,6,89,2,76,13,76,11,13,12,79,9,31,3,18,62,18,62,78,8,31,8,31,9,9,93,74,12,87,3,31,11,18,4,85,6,80,4,18,12,18,13,31,44,78,3,77,4,30,12,74,4,80,3,31,4,81,3,31,5,80,2,31,13,31,3,18,5,87,2,80,3,89,2,31,4,31,12,79,4,77,5,31,6,0,13,89,2,81,2,0,0,94,0,63,0,50,0,63,0,4,0,62,0,63,0,13,0,4,0,5,0,9,0,13,0,94,0,5,0,13,0,13,0,94,0,93,0,13,1
